* Measurement data measured by REW V5.30
* Source: EXCL: Qudelix 5K (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jun 30, 2024 8:20:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TGXear Serratus R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 66.314 134.3469
20.600000 66.559 135.0213
20.900000 66.746 135.3173
21.200001 66.805 135.3200
21.400000 66.774 135.3122
21.799999 66.608 135.6572
22.000000 66.526 136.0920
22.400000 66.503 137.2543
22.700001 66.677 137.8548
23.000000 66.996 137.7350
23.299999 67.382 136.7535
23.600000 67.744 135.1164
24.000000 68.077 132.6902
24.299999 68.187 131.3310
24.700001 68.194 130.8899
25.000000 68.183 131.7610
25.400000 68.293 134.0217
25.799999 68.625 136.2220
26.200001 69.114 137.0448
26.500000 69.497 136.4994
26.900000 69.941 134.5596
27.200001 70.200 132.6269
27.600000 70.453 130.0622
28.000000 70.640 128.0376
28.500000 70.849 126.5757
29.000000 71.080 125.9529
29.500000 71.319 125.4443
30.000000 71.521 124.5880
30.400000 71.647 123.6813
30.700001 71.738 122.9888
31.100000 71.893 122.1814
31.500000 72.120 121.5498
32.000000 72.501 120.8965
32.500000 72.891 120.2977
33.000000 73.170 119.9279
33.500000 73.298 120.0842
34.000000 73.335 120.7148
34.500000 73.382 121.1894
35.000000 73.483 120.7152
35.500000 73.627 119.0822
36.000000 73.795 116.8441
36.500000 73.999 114.8439
37.000000 74.246 113.6077
37.500000 74.513 113.1347
38.200001 74.839 113.1072
38.700001 75.000 113.0110
39.500000 75.161 111.9953
40.000000 75.236 110.8732
40.599998 75.348 109.7442
41.200001 75.563 109.6342
41.799999 75.945 110.3944
42.500000 76.481 110.8129
43.099998 76.782 109.8647
43.700001 76.808 108.0690
44.400002 76.603 106.0968
45.000000 76.495 105.0489
45.500000 76.586 104.4004
46.200001 76.949 103.3020
46.799999 77.328 102.2038
47.500000 77.714 100.9708
48.200001 77.971 99.7233
48.700001 78.047 98.8740
49.400002 78.041 98.1433
50.000000 78.050 98.0753
50.799999 78.249 97.8708
51.500000 78.529 96.7453
52.200001 78.770 95.0523
53.000000 78.956 93.4150
53.799999 79.104 92.3944
54.500000 79.248 91.5933
55.200001 79.401 90.5932
56.000000 79.580 89.5992
57.000000 79.863 89.0767
58.000000 80.112 88.2756
59.000000 80.173 86.8752
60.000000 80.262 85.4564
60.799999 80.426 84.2988
61.500000 80.563 83.4122
62.200001 80.668 82.6610
63.000000 80.773 81.7238
64.000000 80.947 80.3186
65.000000 81.157 79.0977
66.000000 81.292 78.3196
67.000000 81.392 77.5864
68.000000 81.554 76.1313
69.000000 81.662 74.7871
70.000000 81.719 74.3073
71.000000 81.784 73.3110
72.000000 81.908 72.0086
73.000000 82.152 71.0211
74.000000 82.311 69.8230
75.000000 82.394 67.8943
76.199997 82.520 64.7486
77.500000 82.629 64.0195
78.800003 82.729 64.6286
80.000000 82.801 63.8562
81.199997 82.896 62.3412
82.500000 82.970 61.0863
83.800003 83.089 59.8953
85.000000 83.195 58.8328
86.199997 83.273 57.9465
87.500000 83.367 56.6467
88.500000 83.437 55.6121
90.000000 83.535 54.2148
91.199997 83.599 53.0000
92.500000 83.669 51.9402
93.800003 83.727 50.9462
95.000000 83.782 49.9575
96.199997 83.880 49.0384
97.500000 83.980 48.4034
98.800003 84.056 47.8783
100.000000 84.113 47.0025
101.500000 84.143 45.5485
103.000000 84.164 44.1599
104.400002 84.212 43.0219
106.000000 84.267 41.8224
107.500000 84.299 40.7487
109.000000 84.342 39.8018
110.599998 84.397 38.8866
112.000000 84.454 38.1457
113.800003 84.551 37.0791
115.000000 84.575 36.2382
117.199997 84.527 34.9292
118.000000 84.517 34.4524
120.599998 84.568 33.0868
122.000000 84.645 32.2674
124.099998 84.695 30.8545
125.000000 84.704 30.3524
126.500000 84.731 29.5960
128.000000 84.766 28.7944
131.500000 84.832 27.0926
132.000000 84.840 26.8325
134.000000 84.860 25.7258
136.000000 84.864 24.7345
138.000000 84.888 23.7573
140.000000 84.920 22.8007
143.000000 84.957 21.4855
145.000000 84.966 20.6366
147.500000 84.988 19.6572
150.000000 85.028 18.6531
152.500000 85.062 17.6629
155.000000 85.062 16.5344
157.500000 85.059 15.5727
160.000000 85.057 14.6700
162.500000 85.054 13.6991
165.000000 85.069 12.7558
167.500000 85.072 11.9131
170.000000 85.082 11.0669
172.500000 85.108 10.2241
175.000000 85.114 9.4473
177.500000 85.113 8.6397
180.000000 85.121 7.8001
182.500000 85.125 6.9839
185.000000 85.119 6.2404
187.500000 85.127 5.5872
190.000000 85.142 4.8894
192.500000 85.146 4.1184
195.000000 85.142 3.4814
197.500000 85.145 2.9031
200.000000 85.168 2.3213
203.000000 85.185 1.5237
206.000000 85.206 0.6815
209.000000 85.216 -0.1435
212.000000 85.214 -0.9856
214.000000 85.214 -1.4872
218.000000 85.214 -2.4685
220.000000 85.214 -2.9562
224.000000 85.221 -3.8664
227.000000 85.240 -4.5306
230.000000 85.257 -5.2534
233.000000 85.269 -6.0859
236.000000 85.296 -6.9697
240.000000 85.348 -8.2864
243.000000 85.364 -9.5011
247.000000 85.326 -11.3431
250.000000 85.248 -12.7051
254.000000 85.071 -14.0682
258.000000 84.849 -14.7125
262.000000 84.679 -14.8735
265.000000 84.602 -14.7414
269.000000 84.550 -14.4107
272.000000 84.529 -14.3723
276.000000 84.518 -14.5178
280.000000 84.527 -14.5909
285.000000 84.569 -14.6726
290.000000 84.625 -15.0856
295.000000 84.681 -15.6673
300.000000 84.736 -16.3820
304.000000 84.772 -17.0181
307.000000 84.791 -17.5126
311.000000 84.806 -18.1809
315.000000 84.813 -18.8398
320.000000 84.821 -19.5411
325.000000 84.808 -20.1905
330.000000 84.783 -20.8416
335.000000 84.766 -21.4652
340.000000 84.755 -21.9509
345.000000 84.742 -22.3833
350.000000 84.733 -22.8577
355.000000 84.733 -23.3323
360.000000 84.739 -23.7962
365.000000 84.740 -24.2373
370.000000 84.746 -24.6359
375.000000 84.762 -24.9894
382.000000 84.773 -25.5524
387.000000 84.783 -25.9617
395.000000 84.807 -26.5009
400.000000 84.827 -26.9299
406.000000 84.844 -27.5626
412.000000 84.867 -28.0497
418.000000 84.894 -28.5409
425.000000 84.924 -29.1599
431.000000 84.949 -29.7117
437.000000 84.976 -30.2577
444.000000 85.008 -30.8426
450.000000 85.035 -31.3736
455.000000 85.056 -31.8397
462.000000 85.084 -32.4662
468.000000 85.105 -33.0132
475.000000 85.130 -33.6086
482.000000 85.162 -34.2272
487.000000 85.182 -34.6493
494.000000 85.212 -35.2575
500.000000 85.239 -35.7829
508.000000 85.268 -36.4285
515.000000 85.292 -37.0060
522.000000 85.316 -37.5769
530.000000 85.346 -38.2354
538.000000 85.378 -38.9208
545.000000 85.402 -39.4875
552.000000 85.425 -40.0414
560.000000 85.450 -40.6859
570.000000 85.482 -41.4771
580.000000 85.517 -42.2629
590.000000 85.554 -43.0543
600.000000 85.599 -43.8289
608.000000 85.632 -44.4484
615.000000 85.656 -45.0057
622.000000 85.679 -45.5632
630.000000 85.705 -46.1778
640.000000 85.739 -46.9718
650.000000 85.773 -47.7684
660.000000 85.803 -48.5937
670.000000 85.827 -49.3855
680.000000 85.848 -50.1771
690.000000 85.866 -50.9617
700.000000 85.877 -51.7216
710.000000 85.885 -52.4717
720.000000 85.898 -53.1797
730.000000 85.906 -53.8483
740.000000 85.911 -54.5037
750.000000 85.916 -55.1173
762.000000 85.924 -55.8014
775.000000 85.937 -56.4940
788.000000 85.955 -57.1427
800.000000 85.975 -57.7281
812.000000 85.996 -58.3036
825.000000 86.025 -58.8892
838.000000 86.065 -59.4834
850.000000 86.110 -60.0904
862.000000 86.158 -60.7542
875.000000 86.202 -61.5981
885.000000 86.217 -62.3257
900.000000 86.205 -63.3389
912.000000 86.182 -63.9659
925.000000 86.160 -64.4322
938.000000 86.153 -64.7730
950.000000 86.160 -65.0513
962.000000 86.176 -65.3003
975.000000 86.206 -65.5951
988.000000 86.246 -65.9069
1000.000000 86.285 -66.2048
1015.000000 86.332 -66.5681
1030.000000 86.378 -66.9046
1044.000000 86.426 -67.1976
1060.000000 86.493 -67.5219
1075.000000 86.563 -67.8083
1090.000000 86.632 -68.1241
1106.000000 86.710 -68.4579
1120.000000 86.784 -68.7294
1138.000000 86.887 -69.0471
1150.000000 86.963 -69.2623
1172.000000 87.110 -69.7172
1180.000000 87.166 -69.9021
1206.000000 87.362 -70.5274
1220.000000 87.475 -70.8748
1241.000000 87.645 -71.4438
1250.000000 87.719 -71.7064
1265.000000 87.846 -72.1478
1280.000000 87.977 -72.6050
1315.000000 88.297 -73.7891
1320.000000 88.345 -73.9759
1340.000000 88.534 -74.8000
1360.000000 88.722 -75.6921
1380.000000 88.910 -76.6190
1400.000000 89.101 -77.6149
1430.000000 89.378 -79.1905
1450.000000 89.559 -80.3253
1475.000000 89.781 -81.8101
1500.000000 90.000 -83.3422
1525.000000 90.214 -84.9921
1550.000000 90.418 -86.7221
1575.000000 90.610 -88.5027
1600.000000 90.790 -90.3131
1625.000000 90.957 -92.1670
1650.000000 91.110 -94.0428
1675.000000 91.250 -95.9193
1700.000000 91.376 -97.7936
1725.000000 91.491 -99.6251
1750.000000 91.600 -101.4251
1775.000000 91.704 -103.2264
1800.000000 91.799 -105.0048
1825.000000 91.888 -106.7348
1850.000000 91.975 -108.4452
1875.000000 92.056 -110.1508
1900.000000 92.136 -111.8018
1925.000000 92.217 -113.4096
1950.000000 92.301 -115.0190
1975.000000 92.384 -116.6361
2000.000000 92.466 -118.2552
2030.000000 92.560 -120.2314
2060.000000 92.646 -122.1442
2090.000000 92.742 -124.0352
2120.000000 92.838 -126.0314
2140.000000 92.894 -127.3613
2180.000000 93.008 -129.9445
2200.000000 93.069 -131.2624
2240.000000 93.181 -133.9468
2270.000000 93.262 -135.9793
2300.000000 93.336 -138.0500
2330.000000 93.404 -140.1382
2360.000000 93.465 -142.2564
2400.000000 93.532 -145.1404
2430.000000 93.571 -147.3272
2470.000000 93.611 -150.2981
2500.000000 93.622 -152.5753
2540.000000 93.612 -155.6070
2580.000000 93.570 -158.6042
2620.000000 93.502 -161.5044
2650.000000 93.434 -163.6367
2690.000000 93.316 -166.3543
2720.000000 93.212 -168.2437
2760.000000 93.076 -170.5244
2800.000000 92.952 -172.7737
2850.000000 92.771 -175.4438
2900.000000 92.604 -177.8750
2950.000000 92.431 179.7110
3000.000000 92.240 177.4625
3040.000000 92.083 175.7998
3070.000000 91.963 174.6336
3110.000000 91.803 173.1865
3150.000000 91.641 171.8545
3200.000000 91.434 170.4087
3250.000000 91.234 169.2669
3300.000000 91.063 168.4601
3350.000000 90.960 167.9146
3400.000000 90.939 167.2010
3450.000000 90.945 165.9819
3500.000000 90.914 164.4433
3550.000000 90.840 162.9459
3600.000000 90.751 161.6134
3650.000000 90.662 160.4292
3700.000000 90.584 159.3653
3750.000000 90.522 158.3447
3820.000000 90.451 156.9451
3870.000000 90.413 155.9953
3950.000000 90.387 154.4072
4000.000000 90.379 153.2928
4060.000000 90.363 151.9067
4120.000000 90.348 150.5039
4180.000000 90.338 149.0746
4250.000000 90.329 147.2829
4310.000000 90.307 145.7375
4370.000000 90.291 144.2031
4440.000000 90.271 142.3581
4500.000000 90.263 140.7622
4550.000000 90.262 139.3435
4620.000000 90.266 137.2321
4680.000000 90.274 135.1933
4750.000000 90.252 132.5623
4820.000000 90.208 129.7770
4870.000000 90.159 127.6318
4940.000000 90.061 124.4630
5000.000000 89.941 121.5220
5080.000000 89.717 117.3533
5150.000000 89.441 113.4308
5220.000000 89.057 109.3885
5300.000000 88.470 104.8129
5380.000000 87.708 100.4282
5450.000000 86.870 96.9813
5520.000000 85.868 94.2961
5600.000000 84.539 92.4455
5700.000000 82.613 92.6647
5800.000000 80.428 97.3988
5900.000000 78.307 109.6216
