* Measurement data measured by REW V5.30
* Source: EXCL: Qudelix 5K (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Jun 30, 2024 9:17:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VE Monk Plus L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 68.649 -56.7585
20.600000 69.063 -57.3869
20.900000 69.480 -58.2229
21.200001 69.800 -59.0150
21.400000 69.949 -59.3869
21.799999 70.121 -59.5622
22.000000 70.170 -59.3802
22.400000 70.261 -58.8103
22.700001 70.346 -58.6045
23.000000 70.437 -58.8736
23.299999 70.511 -59.6496
23.600000 70.551 -60.7470
24.000000 70.558 -62.1538
24.299999 70.561 -62.7788
24.700001 70.629 -62.7707
25.000000 70.755 -62.2363
25.400000 71.018 -61.2452
25.799999 71.328 -60.4040
26.200001 71.614 -59.9849
26.500000 71.788 -59.9758
26.900000 71.958 -60.3147
27.200001 72.046 -60.7617
27.600000 72.129 -61.4611
28.000000 72.201 -62.0646
28.500000 72.330 -62.4017
29.000000 72.545 -62.2652
29.500000 72.826 -61.9994
30.000000 73.094 -61.9445
30.400000 73.257 -62.0977
30.700001 73.345 -62.2863
31.100000 73.436 -62.5818
31.500000 73.528 -62.9064
32.000000 73.682 -63.3847
32.500000 73.874 -63.9644
33.000000 74.051 -64.5169
33.500000 74.156 -64.7169
34.000000 74.192 -64.2154
34.500000 74.248 -63.0337
35.000000 74.427 -61.8746
35.500000 74.732 -61.6825
36.000000 75.038 -62.7072
36.500000 75.223 -64.2189
37.000000 75.267 -65.1545
37.500000 75.268 -64.9651
38.200001 75.398 -63.8029
38.700001 75.585 -63.6334
39.500000 75.881 -64.9766
40.000000 76.050 -65.9711
40.599998 76.281 -66.6056
41.200001 76.510 -66.6417
41.799999 76.680 -66.2892
42.500000 76.863 -65.8424
43.099998 77.115 -66.3072
43.700001 77.411 -67.9916
44.400002 77.619 -70.2066
45.000000 77.659 -70.5580
45.500000 77.705 -69.4776
46.200001 77.911 -67.5050
46.799999 78.145 -66.8765
47.500000 78.370 -67.3261
48.200001 78.578 -67.9642
48.700001 78.732 -68.1625
49.400002 78.929 -67.9352
50.000000 79.081 -67.4078
50.799999 79.288 -67.0509
51.500000 79.438 -67.4987
52.200001 79.555 -68.1103
53.000000 79.755 -68.3681
53.799999 80.039 -68.4496
54.500000 80.257 -68.5041
55.200001 80.429 -68.4903
56.000000 80.610 -68.8540
57.000000 80.775 -69.7868
58.000000 80.977 -69.6173
59.000000 81.266 -69.4817
60.000000 81.409 -70.4180
60.799999 81.585 -71.1436
61.500000 81.863 -71.7119
62.200001 82.103 -71.9819
63.000000 82.236 -71.5501
64.000000 82.351 -71.2899
65.000000 82.531 -72.5053
66.000000 82.828 -73.2056
67.000000 83.114 -73.0183
68.000000 83.245 -72.8316
69.000000 83.433 -73.3982
70.000000 83.674 -74.7578
71.000000 83.856 -75.3633
72.000000 84.079 -75.2697
73.000000 84.325 -75.4111
74.000000 84.536 -75.6563
75.000000 84.725 -76.2401
76.199997 84.915 -77.3892
77.500000 85.145 -77.9638
78.800003 85.421 -78.3146
80.000000 85.637 -78.9141
81.199997 85.841 -79.4634
82.500000 86.079 -80.1548
83.800003 86.319 -80.7982
85.000000 86.549 -81.2980
86.199997 86.762 -82.1060
87.500000 86.969 -82.9940
88.500000 87.137 -83.5762
90.000000 87.393 -84.4224
91.199997 87.597 -85.1562
92.500000 87.796 -85.9895
93.800003 87.991 -86.8079
95.000000 88.181 -87.6228
96.199997 88.374 -88.4323
97.500000 88.571 -89.0853
98.800003 88.757 -89.7443
100.000000 88.911 -90.7150
101.500000 89.114 -92.0543
103.000000 89.332 -93.2876
104.400002 89.517 -94.2937
106.000000 89.715 -95.4202
107.500000 89.896 -96.6197
109.000000 90.072 -97.8188
110.599998 90.257 -98.9887
112.000000 90.408 -99.9939
113.800003 90.580 -101.4405
115.000000 90.704 -102.5005
117.199997 90.942 -104.2963
118.000000 91.017 -104.9231
120.599998 91.234 -107.0961
122.000000 91.344 -108.1406
124.099998 91.503 -109.7636
125.000000 91.570 -110.4962
126.500000 91.675 -111.7300
128.000000 91.771 -112.9323
131.500000 91.964 -115.6947
132.000000 91.992 -116.0894
134.000000 92.095 -117.6428
136.000000 92.182 -119.2312
138.000000 92.266 -120.8078
140.000000 92.339 -122.3003
143.000000 92.423 -124.4367
145.000000 92.470 -125.8526
147.500000 92.522 -127.6483
150.000000 92.564 -129.3796
152.500000 92.600 -131.0065
155.000000 92.624 -132.6040
157.500000 92.639 -134.1336
160.000000 92.641 -135.5989
162.500000 92.641 -137.0506
165.000000 92.636 -138.4180
167.500000 92.628 -139.7447
170.000000 92.617 -141.0461
172.500000 92.600 -142.2966
175.000000 92.573 -143.4730
177.500000 92.543 -144.5681
180.000000 92.514 -145.6216
182.500000 92.481 -146.6659
185.000000 92.445 -147.6812
187.500000 92.407 -148.6405
190.000000 92.368 -149.5323
192.500000 92.328 -150.3594
195.000000 92.287 -151.1575
197.500000 92.245 -151.9421
200.000000 92.200 -152.6976
203.000000 92.147 -153.5916
206.000000 92.094 -154.4282
209.000000 92.046 -155.1969
212.000000 91.993 -155.9236
214.000000 91.956 -156.3962
218.000000 91.887 -157.2913
220.000000 91.855 -157.7248
224.000000 91.788 -158.5422
227.000000 91.738 -159.1165
230.000000 91.690 -159.6861
233.000000 91.646 -160.2206
236.000000 91.602 -160.7064
240.000000 91.534 -161.3051
243.000000 91.483 -161.7372
247.000000 91.425 -162.3429
250.000000 91.387 -162.7595
254.000000 91.333 -163.2651
258.000000 91.276 -163.7968
262.000000 91.216 -164.2813
265.000000 91.175 -164.6048
269.000000 91.121 -165.0268
272.000000 91.082 -165.3284
276.000000 91.030 -165.6992
280.000000 90.980 -166.0352
285.000000 90.920 -166.4467
290.000000 90.870 -166.8450
295.000000 90.823 -167.1547
300.000000 90.771 -167.4940
304.000000 90.729 -167.8498
307.000000 90.701 -168.1012
311.000000 90.666 -168.3660
315.000000 90.632 -168.5843
320.000000 90.591 -168.9135
325.000000 90.547 -169.3246
330.000000 90.495 -169.7577
335.000000 90.439 -170.1540
340.000000 90.384 -170.5382
345.000000 90.318 -170.9160
350.000000 90.243 -171.2961
355.000000 90.164 -171.6507
360.000000 90.074 -172.0033
365.000000 89.966 -172.4200
370.000000 89.819 -172.8894
375.000000 89.602 -173.0474
382.000000 89.285 -171.7154
387.000000 89.195 -170.0292
395.000000 89.288 -168.0078
400.000000 89.395 -167.4148
406.000000 89.509 -167.2366
412.000000 89.582 -167.3144
418.000000 89.624 -167.4586
425.000000 89.645 -167.6249
431.000000 89.646 -167.6701
437.000000 89.645 -167.6736
444.000000 89.654 -167.6755
450.000000 89.660 -167.6610
455.000000 89.663 -167.6363
462.000000 89.670 -167.6141
468.000000 89.676 -167.6093
475.000000 89.683 -167.5661
482.000000 89.691 -167.5139
487.000000 89.697 -167.4938
494.000000 89.704 -167.4767
500.000000 89.710 -167.4733
508.000000 89.720 -167.4578
515.000000 89.729 -167.4325
522.000000 89.739 -167.4180
530.000000 89.750 -167.4030
538.000000 89.761 -167.3751
545.000000 89.770 -167.3690
552.000000 89.782 -167.3747
560.000000 89.799 -167.3683
570.000000 89.816 -167.3729
580.000000 89.836 -167.4043
590.000000 89.857 -167.4277
600.000000 89.877 -167.4584
608.000000 89.893 -167.5216
615.000000 89.903 -167.6100
622.000000 89.912 -167.7011
630.000000 89.925 -167.8062
640.000000 89.939 -167.9649
650.000000 89.945 -168.1398
660.000000 89.946 -168.2988
670.000000 89.944 -168.4391
680.000000 89.939 -168.6376
690.000000 89.928 -168.8443
700.000000 89.910 -169.0207
710.000000 89.888 -169.1719
720.000000 89.862 -169.2988
730.000000 89.832 -169.4030
740.000000 89.802 -169.4653
750.000000 89.767 -169.5037
762.000000 89.727 -169.5035
775.000000 89.691 -169.4610
788.000000 89.656 -169.3637
800.000000 89.623 -169.2333
812.000000 89.595 -169.0780
825.000000 89.574 -168.9111
838.000000 89.559 -168.7719
850.000000 89.550 -168.7101
862.000000 89.536 -168.7307
875.000000 89.497 -168.8086
885.000000 89.449 -168.8155
900.000000 89.369 -168.6391
912.000000 89.308 -168.3516
925.000000 89.250 -167.8938
938.000000 89.208 -167.3942
950.000000 89.183 -166.9263
962.000000 89.165 -166.4502
975.000000 89.151 -165.9494
988.000000 89.143 -165.4578
1000.000000 89.139 -165.0075
1015.000000 89.136 -164.4508
1030.000000 89.136 -163.8743
1044.000000 89.142 -163.3170
1060.000000 89.156 -162.6646
1075.000000 89.174 -162.0361
1090.000000 89.195 -161.3966
1106.000000 89.226 -160.7134
1120.000000 89.260 -160.1119
1138.000000 89.311 -159.3566
1150.000000 89.351 -158.8650
1172.000000 89.431 -157.9722
1180.000000 89.462 -157.6622
1206.000000 89.568 -156.6998
1220.000000 89.628 -156.1693
1241.000000 89.733 -155.3691
1250.000000 89.782 -155.0352
1265.000000 89.864 -154.5116
1280.000000 89.949 -154.0293
1315.000000 90.166 -153.0002
1320.000000 90.198 -152.8699
1340.000000 90.326 -152.3753
1360.000000 90.452 -151.9021
1380.000000 90.580 -151.4610
1400.000000 90.715 -151.0446
1430.000000 90.924 -150.4805
1450.000000 91.062 -150.1490
1475.000000 91.237 -149.7747
1500.000000 91.416 -149.4512
1525.000000 91.603 -149.1724
1550.000000 91.792 -148.9435
1575.000000 91.989 -148.7298
1600.000000 92.187 -148.5935
1625.000000 92.388 -148.4836
1650.000000 92.601 -148.4463
1675.000000 92.821 -148.4927
1700.000000 93.046 -148.6338
1725.000000 93.275 -148.8278
1750.000000 93.511 -149.0622
1775.000000 93.755 -149.4195
1800.000000 94.002 -149.8712
1825.000000 94.255 -150.4474
1850.000000 94.509 -151.1584
1875.000000 94.763 -152.0030
1900.000000 95.016 -152.9663
1925.000000 95.268 -154.0970
1950.000000 95.509 -155.3933
1975.000000 95.739 -156.8254
2000.000000 95.959 -158.3972
2030.000000 96.199 -160.4843
2060.000000 96.408 -162.7318
2090.000000 96.589 -165.1198
2120.000000 96.734 -167.6579
2140.000000 96.808 -169.3841
2180.000000 96.912 -172.9241
2200.000000 96.937 -174.7336
2240.000000 96.929 -178.3361
2270.000000 96.876 179.0359
2300.000000 96.788 176.5218
2330.000000 96.670 174.1325
2360.000000 96.524 171.8719
2400.000000 96.291 169.0933
2430.000000 96.093 167.2439
2470.000000 95.812 165.0570
2500.000000 95.590 163.5997
2540.000000 95.284 161.9073
2580.000000 94.971 160.4812
2620.000000 94.658 159.3011
2650.000000 94.425 158.5561
2690.000000 94.118 157.7510
2720.000000 93.893 157.2720
2760.000000 93.601 156.7737
2800.000000 93.317 156.4154
2850.000000 92.976 156.1765
2900.000000 92.653 156.1201
2950.000000 92.348 156.2212
3000.000000 92.059 156.4542
3040.000000 91.843 156.7372
3070.000000 91.689 156.9944
3110.000000 91.497 157.3755
3150.000000 91.314 157.7768
3200.000000 91.093 158.3451
3250.000000 90.889 159.0023
3300.000000 90.704 159.7105
3350.000000 90.536 160.4326
3400.000000 90.380 161.1674
3450.000000 90.234 161.9111
3500.000000 90.095 162.6517
3550.000000 89.954 163.4189
3600.000000 89.808 164.2971
3650.000000 89.659 165.4015
3700.000000 89.541 167.0017
3750.000000 89.558 168.8489
3820.000000 89.682 169.8620
3870.000000 89.679 170.2678
3950.000000 89.680 171.3389
4000.000000 89.693 171.8982
4060.000000 89.699 172.5716
4120.000000 89.715 173.3442
4180.000000 89.755 174.1480
4250.000000 89.833 175.0207
4310.000000 89.918 175.6532
4370.000000 90.015 176.2107
4440.000000 90.148 176.8118
4500.000000 90.290 177.2462
4550.000000 90.427 177.4971
4620.000000 90.645 177.6180
4680.000000 90.851 177.4971
4750.000000 91.116 177.0703
4820.000000 91.400 176.1928
4870.000000 91.603 175.2619
4940.000000 91.878 173.5419
5000.000000 92.094 171.6790
5080.000000 92.342 168.6738
