* Measurement data measured by REW V5.30
* Source: EXCL: Qudelix 5K (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Jun 30, 2024 8:58:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VE Monk Plus R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 73.615 -74.2391
20.600000 73.811 -74.8345
20.900000 73.992 -75.6023
21.200001 74.132 -76.3567
21.400000 74.208 -76.7804
21.799999 74.350 -77.3676
22.000000 74.427 -77.5528
22.400000 74.607 -77.8608
22.700001 74.753 -78.1688
23.000000 74.891 -78.5989
23.299999 75.002 -79.1127
23.600000 75.079 -79.6101
24.000000 75.146 -80.0588
24.299999 75.197 -80.1695
24.700001 75.311 -80.1162
25.000000 75.446 -80.0993
25.400000 75.673 -80.3573
25.799999 75.909 -81.0123
26.200001 76.106 -81.8886
26.500000 76.220 -82.5083
26.900000 76.345 -83.0994
27.200001 76.437 -83.3467
27.600000 76.579 -83.5471
28.000000 76.738 -83.8209
28.500000 76.920 -84.4674
29.000000 77.037 -85.3180
29.500000 77.103 -86.0153
30.000000 77.183 -86.3636
30.400000 77.299 -86.4862
30.700001 77.422 -86.6005
31.100000 77.615 -86.8888
31.500000 77.809 -87.3434
32.000000 78.006 -87.9552
32.500000 78.142 -88.2903
33.000000 78.262 -88.1679
33.500000 78.419 -87.7731
34.000000 78.626 -87.5013
34.500000 78.837 -87.5767
35.000000 79.001 -87.8881
35.500000 79.108 -88.2022
36.000000 79.183 -88.4458
36.500000 79.264 -88.7609
37.000000 79.375 -89.3198
37.500000 79.532 -90.1483
38.200001 79.838 -91.5254
38.700001 80.093 -92.5078
39.500000 80.428 -94.0997
40.000000 80.507 -95.1292
40.599998 80.451 -96.0891
41.200001 80.377 -96.2463
41.799999 80.518 -95.7169
42.500000 80.959 -95.3378
43.099998 81.279 -95.1655
43.700001 81.406 -94.0393
44.400002 81.514 -91.5720
45.000000 81.705 -90.6071
45.500000 81.855 -91.5403
46.200001 81.955 -94.3486
46.799999 82.048 -96.4527
47.500000 82.295 -97.7734
48.200001 82.598 -98.2778
48.700001 82.788 -98.4045
49.400002 83.003 -98.7279
50.000000 83.113 -99.3755
50.799999 83.151 -100.1356
51.500000 83.215 -100.2695
52.200001 83.369 -100.4628
53.000000 83.548 -101.0059
53.799999 83.727 -101.3747
54.500000 83.907 -101.6400
55.200001 84.054 -102.0184
56.000000 84.160 -102.4788
57.000000 84.287 -103.2315
58.000000 84.484 -104.0265
59.000000 84.777 -104.4721
60.000000 85.054 -104.8552
60.799999 85.220 -105.3363
61.500000 85.348 -105.8943
62.200001 85.485 -106.4235
63.000000 85.660 -106.8371
64.000000 85.870 -107.2284
65.000000 86.053 -107.8480
66.000000 86.245 -108.6216
67.000000 86.440 -109.1985
68.000000 86.581 -109.7592
69.000000 86.695 -110.5028
70.000000 86.938 -111.0644
71.000000 87.307 -111.3863
72.000000 87.576 -111.8716
73.000000 87.646 -112.7469
74.000000 87.659 -113.8238
75.000000 87.770 -114.8203
76.199997 87.983 -115.7257
77.500000 88.196 -116.5049
78.800003 88.401 -117.3053
80.000000 88.613 -118.1974
81.199997 88.804 -119.1904
82.500000 89.012 -120.1935
83.800003 89.210 -121.1535
85.000000 89.390 -121.9425
86.199997 89.560 -122.8165
87.500000 89.729 -123.8303
88.500000 89.858 -124.6579
90.000000 90.047 -125.9001
91.199997 90.202 -126.7859
92.500000 90.380 -127.7778
93.800003 90.554 -128.8683
95.000000 90.709 -129.8855
96.199997 90.854 -130.8816
97.500000 91.007 -131.9413
98.800003 91.162 -133.0100
100.000000 91.291 -134.0221
101.500000 91.441 -135.3112
103.000000 91.600 -136.5784
104.400002 91.745 -137.7211
106.000000 91.900 -139.1211
107.500000 92.036 -140.4329
109.000000 92.165 -141.7133
110.599998 92.298 -143.1026
112.000000 92.413 -144.3285
113.800003 92.558 -145.9080
115.000000 92.642 -146.9512
117.199997 92.791 -148.9044
118.000000 92.847 -149.6059
120.599998 93.000 -151.7065
122.000000 93.076 -152.8614
124.099998 93.182 -154.6534
125.000000 93.223 -155.4277
126.500000 93.291 -156.7314
128.000000 93.357 -157.9962
131.500000 93.486 -160.8324
132.000000 93.501 -161.2411
134.000000 93.555 -162.8521
136.000000 93.609 -164.3700
138.000000 93.665 -165.8678
140.000000 93.708 -167.3480
143.000000 93.745 -169.5097
145.000000 93.769 -170.9367
147.500000 93.798 -172.6936
150.000000 93.813 -174.4153
152.500000 93.819 -176.0279
155.000000 93.813 -177.5918
157.500000 93.803 -179.1408
160.000000 93.792 179.3691
162.500000 93.777 177.9594
165.000000 93.754 176.5986
167.500000 93.728 175.2267
170.000000 93.704 173.9386
172.500000 93.675 172.7244
175.000000 93.638 171.5323
177.500000 93.598 170.3961
180.000000 93.556 169.2902
182.500000 93.516 168.2209
185.000000 93.474 167.1863
187.500000 93.427 166.1993
190.000000 93.383 165.2616
192.500000 93.339 164.3414
195.000000 93.290 163.4672
197.500000 93.241 162.6600
200.000000 93.195 161.8786
203.000000 93.142 160.9621
206.000000 93.086 160.0668
209.000000 93.031 159.1903
212.000000 92.973 158.3882
214.000000 92.935 157.8910
218.000000 92.867 156.9327
220.000000 92.833 156.4612
224.000000 92.765 155.5583
227.000000 92.713 154.8870
230.000000 92.661 154.2291
233.000000 92.610 153.6275
236.000000 92.561 153.0504
240.000000 92.501 152.3007
243.000000 92.453 151.7526
247.000000 92.383 151.0417
250.000000 92.339 150.5388
254.000000 92.287 149.9133
258.000000 92.235 149.2969
262.000000 92.186 148.7030
265.000000 92.149 148.2757
269.000000 92.099 147.7325
272.000000 92.063 147.3426
276.000000 92.018 146.8270
280.000000 91.973 146.3279
285.000000 91.921 145.7305
290.000000 91.866 145.1524
295.000000 91.814 144.6119
300.000000 91.768 144.0905
304.000000 91.731 143.6896
307.000000 91.705 143.3926
311.000000 91.668 143.0041
315.000000 91.631 142.5969
320.000000 91.593 142.1230
325.000000 91.561 141.6874
330.000000 91.530 141.2196
335.000000 91.504 140.7049
340.000000 91.482 140.0941
345.000000 91.462 139.4184
350.000000 91.432 138.5984
355.000000 91.380 137.5264
360.000000 91.272 136.2037
365.000000 91.051 134.9663
370.000000 90.730 134.5912
375.000000 90.455 135.5661
382.000000 90.361 137.4209
387.000000 90.402 137.9850
395.000000 90.443 138.0151
400.000000 90.437 137.9013
406.000000 90.409 137.7570
412.000000 90.369 137.6515
418.000000 90.328 137.6058
425.000000 90.276 137.6614
431.000000 90.234 137.7645
437.000000 90.197 137.9019
444.000000 90.165 138.0635
450.000000 90.147 138.2244
455.000000 90.136 138.3643
462.000000 90.128 138.5174
468.000000 90.126 138.6714
475.000000 90.129 138.8096
482.000000 90.132 138.8831
487.000000 90.136 138.9665
494.000000 90.145 139.0792
500.000000 90.152 139.1411
508.000000 90.166 139.2221
515.000000 90.180 139.2932
522.000000 90.196 139.3156
530.000000 90.213 139.3142
538.000000 90.228 139.3034
545.000000 90.241 139.2800
552.000000 90.255 139.2269
560.000000 90.271 139.1567
570.000000 90.290 139.0881
580.000000 90.311 139.0009
590.000000 90.335 138.8820
600.000000 90.357 138.7861
608.000000 90.374 138.7052
615.000000 90.389 138.6305
622.000000 90.404 138.5337
630.000000 90.420 138.3982
640.000000 90.437 138.2067
650.000000 90.448 138.0044
660.000000 90.454 137.8230
670.000000 90.460 137.6605
680.000000 90.461 137.4685
690.000000 90.456 137.2606
700.000000 90.447 137.0809
710.000000 90.435 136.9380
720.000000 90.422 136.8226
730.000000 90.405 136.7242
740.000000 90.386 136.6536
750.000000 90.367 136.5946
762.000000 90.344 136.5548
775.000000 90.323 136.5338
788.000000 90.303 136.4825
800.000000 90.276 136.3807
812.000000 90.237 136.2430
825.000000 90.179 136.1102
838.000000 90.109 136.0623
850.000000 90.040 136.1397
862.000000 89.977 136.3213
875.000000 89.917 136.5966
885.000000 89.873 136.8402
900.000000 89.812 137.2349
912.000000 89.772 137.5802
925.000000 89.730 137.9810
938.000000 89.689 138.4124
950.000000 89.657 138.8356
962.000000 89.629 139.2832
975.000000 89.602 139.8098
988.000000 89.575 140.3691
1000.000000 89.554 140.8942
1015.000000 89.535 141.5699
1030.000000 89.522 142.2796
1044.000000 89.513 142.9705
1060.000000 89.510 143.7792
1075.000000 89.516 144.5556
1090.000000 89.528 145.3466
1106.000000 89.545 146.1953
1120.000000 89.565 146.9494
1138.000000 89.599 147.9318
1150.000000 89.625 148.5974
1172.000000 89.685 149.8209
1180.000000 89.710 150.2573
1206.000000 89.804 151.6105
1220.000000 89.855 152.2937
1241.000000 89.935 153.2748
1250.000000 89.974 153.6757
1265.000000 90.045 154.3218
1280.000000 90.120 154.9543
1315.000000 90.300 156.3380
1320.000000 90.328 156.5275
1340.000000 90.445 157.2694
1360.000000 90.563 157.9706
1380.000000 90.681 158.6412
1400.000000 90.804 159.2917
1430.000000 90.988 160.2250
1450.000000 91.110 160.8082
1475.000000 91.273 161.5344
1500.000000 91.445 162.2136
1525.000000 91.614 162.8148
1550.000000 91.778 163.4133
1575.000000 91.951 164.0532
1600.000000 92.132 164.6344
1625.000000 92.321 165.1736
1650.000000 92.521 165.6698
1675.000000 92.723 166.0907
1700.000000 92.929 166.4425
1725.000000 93.144 166.7181
1750.000000 93.362 166.9011
1775.000000 93.578 166.9911
1800.000000 93.797 167.0134
1825.000000 94.023 166.9195
1850.000000 94.246 166.6415
1875.000000 94.459 166.1587
1900.000000 94.665 165.5296
1925.000000 94.869 164.8005
1950.000000 95.065 163.9326
1975.000000 95.244 162.9416
2000.000000 95.411 161.8722
2030.000000 95.594 160.4444
2060.000000 95.746 158.9001
2090.000000 95.871 157.2531
2120.000000 95.964 155.5374
2140.000000 96.009 154.3890
2180.000000 96.057 152.0320
2200.000000 96.057 150.8354
2240.000000 96.012 148.5501
2270.000000 95.947 146.9343
2300.000000 95.856 145.3781
2330.000000 95.738 143.9149
2360.000000 95.598 142.5839
2400.000000 95.380 141.0060
2430.000000 95.196 139.9959
2470.000000 94.933 138.8846
2500.000000 94.728 138.2269
2540.000000 94.443 137.5514
2580.000000 94.151 137.1177
2620.000000 93.862 136.9250
2650.000000 93.647 136.8961
2690.000000 93.358 137.0058
2720.000000 93.144 137.2154
2760.000000 92.868 137.6435
2800.000000 92.604 138.1175
2850.000000 92.273 138.6677
2900.000000 91.957 139.2657
2950.000000 91.660 139.9875
3000.000000 91.377 140.8156
3040.000000 91.160 141.5588
3070.000000 91.001 142.1634
3110.000000 90.796 143.0399
3150.000000 90.601 143.9822
3200.000000 90.368 145.2307
3250.000000 90.145 146.5430
3300.000000 89.925 147.9348
3350.000000 89.710 149.4762
3400.000000 89.501 151.1980
3450.000000 89.309 153.2084
3500.000000 89.166 155.5652
3550.000000 89.114 158.1094
3600.000000 89.169 160.3556
3650.000000 89.267 161.8506
3700.000000 89.330 162.7700
3750.000000 89.338 163.4422
3820.000000 89.256 164.4351
3870.000000 89.161 165.4339
3950.000000 89.021 167.5070
4000.000000 88.965 168.9724
4060.000000 88.923 170.7388
4120.000000 88.902 172.4555
4180.000000 88.895 174.1113
4250.000000 88.902 176.0063
4310.000000 88.932 177.4069
4370.000000 88.965 178.5120
4440.000000 89.016 179.8007
4500.000000 89.083 -179.0965
4550.000000 89.163 -178.2183
4620.000000 89.312 -177.1622
4680.000000 89.456 -176.4513
4750.000000 89.644 -175.8125
4820.000000 89.851 -175.5020
4870.000000 90.003 -175.4422
4940.000000 90.217 -175.6512
5000.000000 90.394 -176.0602
5080.000000 90.633 -176.9683
5150.000000 90.823 -178.1547
5220.000000 90.993 -179.7107
5300.000000 91.142 177.9489
5380.000000 91.218 175.1057
5450.000000 91.198 172.2242
5520.000000 91.080 169.0585
5600.000000 90.795 165.2950
5700.000000 90.201 160.9175
5800.000000 89.347 157.4258
5900.000000 88.283 155.4623
6000.000000 87.082 155.5698
6080.000000 86.087 157.3760
