* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 15, 2024 4:55:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vido Earbuds (Blue S2) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 70.820 -63.9093
20.600000 70.941 -64.3353
20.900000 71.068 -64.8081
21.200001 71.188 -65.2850
21.400000 71.264 -65.5927
21.799999 71.413 -66.1508
22.000000 71.490 -66.3927
22.400000 71.655 -66.8095
22.700001 71.791 -67.0912
23.000000 71.937 -67.3747
23.299999 72.088 -67.6705
23.600000 72.237 -67.9695
24.000000 72.431 -68.3357
24.299999 72.575 -68.5680
24.700001 72.770 -68.8425
25.000000 72.920 -69.0671
25.400000 73.120 -69.4634
25.799999 73.310 -69.9982
26.200001 73.481 -70.6211
26.500000 73.602 -71.0882
26.900000 73.765 -71.6532
27.200001 73.899 -72.0318
27.600000 74.097 -72.5269
28.000000 74.306 -73.0790
28.500000 74.546 -73.8681
29.000000 74.727 -74.6236
29.500000 74.853 -75.1461
30.000000 74.973 -75.4278
30.400000 75.097 -75.6535
30.700001 75.209 -75.9419
31.100000 75.370 -76.5578
31.500000 75.522 -77.3863
32.000000 75.677 -78.4351
32.500000 75.809 -79.1521
33.000000 75.966 -79.4564
33.500000 76.178 -79.6386
34.000000 76.419 -80.0492
34.500000 76.638 -80.7537
35.000000 76.807 -81.5180
35.500000 76.942 -82.0789
36.000000 77.078 -82.3850
36.500000 77.234 -82.6103
37.000000 77.398 -82.9645
37.500000 77.551 -83.5342
38.200001 77.735 -84.6076
38.700001 77.859 -85.4566
39.500000 78.064 -86.7080
40.000000 78.200 -87.2635
40.599998 78.373 -87.6415
41.200001 78.556 -87.8949
41.799999 78.726 -88.3039
42.500000 78.885 -89.1058
43.099998 79.010 -89.9820
43.700001 79.152 -90.9365
44.400002 79.338 -91.9807
45.000000 79.499 -92.6516
45.500000 79.633 -93.0925
46.200001 79.803 -93.8203
46.799999 79.908 -94.6173
47.500000 80.022 -95.5047
48.200001 80.214 -96.4402
48.700001 80.382 -97.3751
49.400002 80.555 -98.8817
50.000000 80.624 -99.8016
50.799999 80.728 -100.2603
51.500000 80.872 -100.6349
52.200001 80.986 -101.2104
53.000000 81.077 -101.6936
53.799999 81.199 -102.2950
54.500000 81.303 -103.2781
55.200001 81.380 -104.3527
56.000000 81.489 -105.2999
57.000000 81.668 -106.2924
58.000000 81.816 -107.3170
59.000000 81.937 -108.4774
60.000000 82.044 -109.7265
60.799999 82.133 -110.6194
61.500000 82.214 -111.3416
62.200001 82.290 -112.0575
63.000000 82.365 -112.8820
64.000000 82.455 -113.9265
65.000000 82.547 -114.9571
66.000000 82.631 -115.9262
67.000000 82.704 -116.8430
68.000000 82.777 -117.7991
69.000000 82.854 -118.7697
70.000000 82.926 -119.6526
71.000000 82.973 -120.4974
72.000000 83.006 -121.3335
73.000000 83.061 -122.2437
74.000000 83.122 -123.2553
75.000000 83.166 -124.1696
76.199997 83.211 -125.1538
77.500000 83.255 -126.1429
78.800003 83.313 -127.0065
80.000000 83.363 -127.8577
81.199997 83.389 -128.7435
82.500000 83.413 -129.6693
83.800003 83.445 -130.5940
85.000000 83.472 -131.4228
86.199997 83.497 -132.1893
87.500000 83.520 -132.9898
88.500000 83.530 -133.6046
90.000000 83.543 -134.4876
91.199997 83.556 -135.1172
92.500000 83.566 -135.7574
93.800003 83.561 -136.4276
95.000000 83.558 -136.9962
96.199997 83.563 -137.5404
97.500000 83.565 -138.1419
98.800003 83.562 -138.7454
100.000000 83.567 -139.2437
101.500000 83.596 -139.8621
103.000000 83.616 -140.4629
104.400002 83.614 -140.9092
106.000000 83.603 -141.4389
107.500000 83.596 -141.9633
109.000000 83.595 -142.4429
110.599998 83.594 -142.9528
112.000000 83.591 -143.3906
113.800003 83.582 -143.9156
115.000000 83.576 -144.2578
117.199997 83.571 -144.8683
118.000000 83.569 -145.0968
120.599998 83.557 -145.7225
122.000000 83.549 -145.9427
124.099998 83.546 -146.3403
125.000000 83.546 -146.5417
126.500000 83.534 -146.8642
128.000000 83.518 -147.1471
131.500000 83.518 -147.7991
132.000000 83.518 -147.8805
134.000000 83.513 -148.1758
136.000000 83.501 -148.4521
138.000000 83.497 -148.7674
140.000000 83.498 -149.0498
143.000000 83.491 -149.4634
145.000000 83.480 -149.7984
147.500000 83.444 -150.5734
150.000000 83.428 -150.9719
152.500000 83.464 -150.5737
155.000000 83.470 -150.6341
157.500000 83.467 -150.8404
160.000000 83.469 -151.0354
162.500000 83.469 -151.1563
165.000000 83.474 -151.2743
167.500000 83.485 -151.3987
170.000000 83.486 -151.5015
172.500000 83.479 -151.5856
175.000000 83.475 -151.7214
177.500000 83.469 -152.0110
180.000000 83.474 -152.1658
182.500000 83.489 -152.2207
185.000000 83.501 -152.2988
187.500000 83.507 -152.4392
190.000000 83.514 -152.5948
192.500000 83.515 -152.6528
195.000000 83.529 -152.5689
197.500000 83.565 -152.3922
200.000000 83.581 -152.4385
203.000000 83.566 -152.7046
206.000000 83.569 -152.7945
209.000000 83.583 -152.8972
212.000000 83.596 -153.0126
214.000000 83.605 -153.0714
218.000000 83.617 -153.1302
220.000000 83.625 -153.1623
224.000000 83.660 -153.2430
227.000000 83.685 -153.3122
230.000000 83.707 -153.3823
233.000000 83.730 -153.4226
236.000000 83.755 -153.4445
240.000000 83.786 -153.5494
243.000000 83.804 -153.7184
247.000000 83.838 -153.9178
250.000000 83.872 -154.0319
254.000000 83.922 -154.2247
258.000000 83.967 -154.5438
262.000000 84.007 -154.9593
265.000000 84.034 -155.4089
269.000000 84.063 -156.2649
272.000000 84.083 -156.9532
276.000000 84.069 -158.1697
280.000000 83.939 -159.7195
285.000000 83.539 -161.1763
290.000000 83.001 -160.1604
295.000000 82.728 -156.8201
300.000000 82.808 -153.9004
304.000000 82.965 -152.6037
307.000000 83.083 -152.0533
311.000000 83.222 -151.6316
315.000000 83.338 -151.4249
320.000000 83.450 -151.3430
325.000000 83.532 -151.2828
330.000000 83.595 -151.3000
335.000000 83.641 -151.3664
340.000000 83.671 -151.3784
345.000000 83.685 -151.2546
350.000000 83.699 -151.1852
355.000000 83.718 -151.1918
360.000000 83.731 -151.0910
365.000000 83.734 -150.8326
370.000000 83.742 -150.5272
375.000000 83.765 -150.2535
382.000000 83.807 -149.8105
387.000000 83.842 -149.4512
395.000000 83.907 -148.9710
400.000000 83.943 -148.7303
406.000000 83.983 -148.4711
412.000000 84.032 -148.1859
418.000000 84.084 -147.8675
425.000000 84.137 -147.5141
431.000000 84.184 -147.2138
437.000000 84.241 -146.8892
444.000000 84.314 -146.5109
450.000000 84.380 -146.2278
455.000000 84.435 -146.0034
462.000000 84.511 -145.7240
468.000000 84.577 -145.4927
475.000000 84.658 -145.2184
482.000000 84.740 -145.0003
487.000000 84.797 -144.8649
494.000000 84.878 -144.7053
500.000000 84.946 -144.5826
508.000000 85.037 -144.4306
515.000000 85.115 -144.2835
522.000000 85.197 -144.1600
530.000000 85.290 -144.0425
538.000000 85.379 -143.9428
545.000000 85.457 -143.8677
552.000000 85.533 -143.8271
560.000000 85.619 -143.7864
570.000000 85.727 -143.7095
580.000000 85.833 -143.7073
590.000000 85.940 -143.7521
600.000000 86.046 -143.8119
608.000000 86.126 -143.8871
615.000000 86.194 -143.9680
622.000000 86.260 -144.0604
630.000000 86.334 -144.1624
640.000000 86.424 -144.2908
650.000000 86.509 -144.4791
660.000000 86.586 -144.6894
670.000000 86.659 -144.8878
680.000000 86.727 -145.0928
690.000000 86.787 -145.2979
700.000000 86.840 -145.4891
710.000000 86.889 -145.6741
720.000000 86.935 -145.8354
730.000000 86.977 -145.9739
740.000000 87.018 -146.0911
750.000000 87.056 -146.1866
762.000000 87.100 -146.2625
775.000000 87.148 -146.3099
788.000000 87.196 -146.3294
800.000000 87.239 -146.3165
812.000000 87.285 -146.2738
825.000000 87.346 -146.1973
838.000000 87.415 -146.1533
850.000000 87.482 -146.1724
862.000000 87.547 -146.2875
875.000000 87.600 -146.5253
885.000000 87.620 -146.7022
900.000000 87.617 -146.7701
912.000000 87.614 -146.5818
925.000000 87.634 -146.2506
938.000000 87.673 -145.8953
950.000000 87.718 -145.5569
962.000000 87.773 -145.2287
975.000000 87.842 -144.8973
988.000000 87.916 -144.5898
1000.000000 87.987 -144.3198
1015.000000 88.081 -143.9791
1030.000000 88.181 -143.6441
1044.000000 88.281 -143.3516
1060.000000 88.400 -143.0481
1075.000000 88.518 -142.7856
1090.000000 88.644 -142.5559
1106.000000 88.785 -142.3458
1120.000000 88.910 -142.1982
1138.000000 89.075 -142.0563
1150.000000 89.186 -141.9788
1172.000000 89.400 -141.9303
1180.000000 89.478 -141.9516
1206.000000 89.730 -142.0608
1220.000000 89.870 -142.1436
1241.000000 90.084 -142.3777
1250.000000 90.174 -142.5080
1265.000000 90.325 -142.7512
1280.000000 90.476 -143.0524
1315.000000 90.815 -143.9277
1320.000000 90.863 -144.0711
1340.000000 91.051 -144.6935
1360.000000 91.231 -145.4064
1380.000000 91.401 -146.1820
1400.000000 91.563 -146.9906
1430.000000 91.796 -148.2667
1450.000000 91.941 -149.1891
1475.000000 92.109 -150.4016
1500.000000 92.259 -151.6245
1525.000000 92.401 -152.8820
1550.000000 92.529 -154.1883
1575.000000 92.641 -155.5030
1600.000000 92.743 -156.8286
1625.000000 92.832 -158.1588
1650.000000 92.907 -159.4701
1675.000000 92.975 -160.7690
1700.000000 93.035 -162.0542
1725.000000 93.086 -163.3411
1750.000000 93.130 -164.6066
1775.000000 93.171 -165.8654
1800.000000 93.205 -167.1494
1825.000000 93.227 -168.4235
1850.000000 93.243 -169.6637
1875.000000 93.257 -170.9086
1900.000000 93.264 -172.1801
1925.000000 93.262 -173.4684
1950.000000 93.250 -174.7467
1975.000000 93.233 -176.0113
2000.000000 93.210 -177.2789
2030.000000 93.171 -178.8441
2060.000000 93.112 179.5786
2090.000000 93.038 178.0349
2120.000000 92.951 176.4536
2140.000000 92.880 175.3740
2180.000000 92.692 173.2147
2200.000000 92.573 172.1615
2240.000000 92.263 170.1285
2270.000000 91.935 168.8943
2300.000000 91.515 168.5164
2330.000000 91.108 169.7999
2360.000000 90.963 172.4781
2400.000000 91.224 174.5171
2430.000000 91.458 174.1904
2470.000000 91.656 172.6057
2500.000000 91.700 170.9793
2540.000000 91.631 168.8492
2580.000000 91.474 167.0711
2620.000000 91.276 165.6475
2650.000000 91.115 164.7751
2690.000000 90.891 163.8094
2720.000000 90.720 163.2269
2760.000000 90.491 162.6121
2800.000000 90.265 162.1628
2850.000000 89.990 161.7789
2900.000000 89.721 161.5733
2950.000000 89.463 161.5312
3000.000000 89.214 161.6166
3040.000000 89.023 161.7751
3070.000000 88.884 161.9380
3110.000000 88.705 162.2187
3150.000000 88.533 162.5627
3200.000000 88.329 163.0648
3250.000000 88.136 163.6412
3300.000000 87.956 164.3005
3350.000000 87.789 165.0214
3400.000000 87.636 165.7888
3450.000000 87.494 166.6162
3500.000000 87.368 167.4892
3550.000000 87.255 168.3855
3600.000000 87.157 169.2902
3650.000000 87.070 170.2079
3700.000000 86.994 171.1320
3750.000000 86.926 172.0452
3820.000000 86.840 173.3556
3870.000000 86.790 174.3641
3950.000000 86.746 176.0704
4000.000000 86.746 177.1275
4060.000000 86.768 178.3135
4120.000000 86.805 179.3989
4180.000000 86.848 -179.5835
4250.000000 86.912 -178.4198
4310.000000 86.978 -177.4417
4370.000000 87.059 -176.4689
4440.000000 87.178 -175.3523
4500.000000 87.304 -174.4406
4550.000000 87.427 -173.7386
4620.000000 87.624 -172.8569
4680.000000 87.817 -172.2305
4750.000000 88.070 -171.6746
4820.000000 88.352 -171.3617
4870.000000 88.570 -171.3184
4940.000000 88.889 -171.5605
5000.000000 89.168 -172.0455
5080.000000 89.551 -173.0701
