* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 15, 2024 4:52:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vido Earbuds (Blue S2) R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 73.094 -69.4530
20.600000 73.228 -69.8788
20.900000 73.382 -70.3219
21.200001 73.542 -70.7740
21.400000 73.649 -71.0904
21.799999 73.860 -71.7615
22.000000 73.960 -72.1051
22.400000 74.146 -72.7633
22.700001 74.276 -73.2000
23.000000 74.402 -73.5791
23.299999 74.530 -73.9176
23.600000 74.662 -74.2479
24.000000 74.843 -74.7342
24.299999 74.980 -75.1576
24.700001 75.156 -75.7937
25.000000 75.281 -76.2976
25.400000 75.439 -76.9553
25.799999 75.590 -77.5519
26.200001 75.740 -78.0637
26.500000 75.856 -78.3948
26.900000 76.018 -78.7916
27.200001 76.145 -79.0847
27.600000 76.318 -79.5161
28.000000 76.488 -80.0246
28.500000 76.678 -80.7397
29.000000 76.838 -81.4222
29.500000 76.987 -81.9719
30.000000 77.154 -82.4508
30.400000 77.304 -82.8989
30.700001 77.419 -83.3117
31.100000 77.565 -83.9408
31.500000 77.695 -84.5755
32.000000 77.847 -85.2475
32.500000 78.010 -85.7865
33.000000 78.191 -86.3405
33.500000 78.368 -87.0043
34.000000 78.520 -87.6948
34.500000 78.657 -88.2828
35.000000 78.804 -88.7896
35.500000 78.968 -89.3715
36.000000 79.126 -90.1100
36.500000 79.261 -90.8988
37.000000 79.380 -91.5819
37.500000 79.510 -92.1443
38.200001 79.720 -92.9636
38.700001 79.862 -93.6373
39.500000 80.051 -94.6025
40.000000 80.167 -95.0607
40.599998 80.319 -95.6031
41.200001 80.470 -96.2700
41.799999 80.609 -97.0648
42.500000 80.759 -98.0851
43.099998 80.881 -98.9476
43.700001 81.005 -99.7013
44.400002 81.160 -100.4662
45.000000 81.290 -101.1410
45.500000 81.391 -101.7358
46.200001 81.541 -102.5978
46.799999 81.693 -103.4123
47.500000 81.864 -104.3426
48.200001 82.004 -104.8298
48.700001 82.113 -104.9014
49.400002 82.294 -105.2210
50.000000 82.420 -106.1057
50.799999 82.480 -107.6458
51.500000 82.512 -108.5593
52.200001 82.611 -109.1218
53.000000 82.758 -109.9684
53.799999 82.860 -111.1569
54.500000 82.925 -112.2727
55.200001 83.004 -113.3167
56.000000 83.114 -114.3372
57.000000 83.250 -115.3999
58.000000 83.369 -116.4959
59.000000 83.477 -117.6982
60.000000 83.580 -118.8234
60.799999 83.652 -119.7158
61.500000 83.700 -120.5242
62.200001 83.745 -121.2997
63.000000 83.808 -122.1261
64.000000 83.898 -123.1614
65.000000 83.976 -124.2208
66.000000 84.045 -125.2806
67.000000 84.107 -126.3100
68.000000 84.161 -127.2735
69.000000 84.208 -128.2028
70.000000 84.251 -129.1332
71.000000 84.290 -130.1025
72.000000 84.320 -131.0908
73.000000 84.349 -132.0245
74.000000 84.385 -132.8809
75.000000 84.422 -133.7116
76.199997 84.455 -134.6919
77.500000 84.485 -135.6953
78.800003 84.510 -136.7375
80.000000 84.522 -137.6732
81.199997 84.534 -138.5740
82.500000 84.540 -139.5078
83.800003 84.537 -140.4049
85.000000 84.527 -141.2102
86.199997 84.527 -141.9558
87.500000 84.532 -142.7573
88.500000 84.531 -143.3499
90.000000 84.531 -144.2669
91.199997 84.528 -144.9845
92.500000 84.517 -145.6579
93.800003 84.499 -146.2841
95.000000 84.484 -146.8300
96.199997 84.471 -147.3322
97.500000 84.464 -147.8689
98.800003 84.457 -148.3607
100.000000 84.444 -148.8179
101.500000 84.415 -149.4733
103.000000 84.387 -150.0997
104.400002 84.365 -150.5951
106.000000 84.340 -151.1260
107.500000 84.315 -151.5939
109.000000 84.299 -152.0435
110.599998 84.280 -152.5183
112.000000 84.250 -152.9092
113.800003 84.215 -153.3827
115.000000 84.198 -153.6836
117.199997 84.172 -154.2042
118.000000 84.162 -154.3828
120.599998 84.122 -154.9626
122.000000 84.101 -155.2565
124.099998 84.072 -155.6402
125.000000 84.059 -155.7809
126.500000 84.037 -155.9561
128.000000 84.013 -156.1176
131.500000 83.966 -156.7190
132.000000 83.960 -156.7901
134.000000 83.936 -157.0842
136.000000 83.910 -157.4005
138.000000 83.890 -157.6693
140.000000 83.873 -157.8044
143.000000 83.844 -158.0529
145.000000 83.812 -158.2908
147.500000 83.713 -158.6770
150.000000 83.671 -158.8789
152.500000 83.741 -158.8414
155.000000 83.738 -158.9431
157.500000 83.719 -159.0836
160.000000 83.709 -159.1809
162.500000 83.697 -159.2701
165.000000 83.685 -159.3711
167.500000 83.674 -159.4300
170.000000 83.664 -159.4984
172.500000 83.650 -159.6746
175.000000 83.639 -159.8734
177.500000 83.637 -159.9341
180.000000 83.637 -159.7986
182.500000 83.635 -159.7184
185.000000 83.633 -159.7762
187.500000 83.634 -159.8833
190.000000 83.636 -159.9538
192.500000 83.637 -159.9221
195.000000 83.640 -159.7748
197.500000 83.643 -159.4727
200.000000 83.647 -159.4924
203.000000 83.655 -159.7752
206.000000 83.666 -159.8338
209.000000 83.681 -159.8713
212.000000 83.695 -159.9312
214.000000 83.705 -159.9840
218.000000 83.730 -160.1077
220.000000 83.745 -160.1366
224.000000 83.782 -160.1146
227.000000 83.815 -160.1363
230.000000 83.848 -160.1887
233.000000 83.882 -160.2816
236.000000 83.921 -160.4192
240.000000 83.975 -160.5876
243.000000 84.029 -160.7553
247.000000 84.111 -161.0734
250.000000 84.172 -161.3567
254.000000 84.266 -161.8511
258.000000 84.381 -162.5147
262.000000 84.516 -163.4720
265.000000 84.632 -164.4242
269.000000 84.802 -166.1961
272.000000 84.910 -168.2361
276.000000 84.984 -172.0751
280.000000 84.852 -177.4588
285.000000 84.006 174.5866
290.000000 82.132 171.1699
295.000000 80.174 179.9222
300.000000 79.715 -166.6886
304.000000 80.134 -160.0712
307.000000 80.521 -157.3170
311.000000 80.982 -155.3329
315.000000 81.355 -154.3497
320.000000 81.701 -153.7340
325.000000 81.963 -153.4544
330.000000 82.168 -153.3096
335.000000 82.316 -153.2580
340.000000 82.434 -153.2654
345.000000 82.524 -153.2450
350.000000 82.570 -153.2726
355.000000 82.584 -153.3443
360.000000 82.583 -153.2325
365.000000 82.574 -152.8571
370.000000 82.570 -152.3467
375.000000 82.592 -151.7458
382.000000 82.651 -150.8066
387.000000 82.710 -150.2022
395.000000 82.814 -149.4754
400.000000 82.871 -149.1534
406.000000 82.930 -148.7890
412.000000 82.988 -148.3560
418.000000 83.044 -147.8716
425.000000 83.111 -147.3476
431.000000 83.174 -146.8974
437.000000 83.237 -146.4028
444.000000 83.313 -145.8071
450.000000 83.385 -145.3635
455.000000 83.450 -145.0333
462.000000 83.544 -144.5317
468.000000 83.624 -144.1015
475.000000 83.721 -143.6546
482.000000 83.823 -143.2795
487.000000 83.894 -143.0333
494.000000 83.988 -142.6789
500.000000 84.068 -142.3869
508.000000 84.176 -142.0307
515.000000 84.275 -141.7318
522.000000 84.375 -141.4838
530.000000 84.486 -141.2288
538.000000 84.597 -141.0007
545.000000 84.691 -140.8331
552.000000 84.780 -140.7010
560.000000 84.881 -140.5570
570.000000 85.012 -140.3385
580.000000 85.143 -140.1690
590.000000 85.273 -140.0417
600.000000 85.403 -139.9552
608.000000 85.506 -139.9232
615.000000 85.592 -139.9034
622.000000 85.672 -139.9003
630.000000 85.762 -139.9177
640.000000 85.873 -139.9695
650.000000 85.980 -140.0390
660.000000 86.087 -140.1007
670.000000 86.192 -140.2045
680.000000 86.288 -140.3400
690.000000 86.373 -140.4668
700.000000 86.455 -140.5981
710.000000 86.537 -140.7357
720.000000 86.616 -140.8859
730.000000 86.689 -141.0669
740.000000 86.758 -141.2740
750.000000 86.817 -141.4797
762.000000 86.874 -141.6933
775.000000 86.925 -141.8474
788.000000 86.970 -141.9088
800.000000 87.013 -141.8908
812.000000 87.060 -141.8434
825.000000 87.114 -141.7738
838.000000 87.168 -141.7251
850.000000 87.214 -141.7013
862.000000 87.251 -141.6421
875.000000 87.284 -141.4771
885.000000 87.311 -141.2885
900.000000 87.363 -140.9085
912.000000 87.414 -140.5677
925.000000 87.477 -140.1916
938.000000 87.547 -139.8039
950.000000 87.618 -139.4254
962.000000 87.696 -139.0470
975.000000 87.786 -138.6602
988.000000 87.882 -138.2789
1000.000000 87.975 -137.9266
1015.000000 88.098 -137.4972
1030.000000 88.229 -137.0885
1044.000000 88.359 -136.7483
1060.000000 88.513 -136.3902
1075.000000 88.663 -136.0751
1090.000000 88.820 -135.8032
1106.000000 88.993 -135.5628
1120.000000 89.148 -135.3954
1138.000000 89.351 -135.2198
1150.000000 89.491 -135.1348
1172.000000 89.755 -135.0935
1180.000000 89.851 -135.1105
1206.000000 90.163 -135.2598
1220.000000 90.334 -135.4117
1241.000000 90.586 -135.7388
1250.000000 90.692 -135.9093
1265.000000 90.868 -136.2278
1280.000000 91.043 -136.5891
1315.000000 91.441 -137.6143
1320.000000 91.497 -137.7825
1340.000000 91.715 -138.5151
1360.000000 91.923 -139.3148
1380.000000 92.121 -140.1682
1400.000000 92.310 -141.0627
1430.000000 92.580 -142.4808
1450.000000 92.750 -143.4740
1475.000000 92.947 -144.7410
1500.000000 93.134 -146.0364
1525.000000 93.309 -147.3701
1550.000000 93.474 -148.7260
1575.000000 93.629 -150.1040
1600.000000 93.777 -151.4992
1625.000000 93.917 -152.9262
1650.000000 94.047 -154.3769
1675.000000 94.170 -155.8528
1700.000000 94.285 -157.3551
1725.000000 94.391 -158.8959
1750.000000 94.487 -160.4574
1775.000000 94.575 -162.0328
1800.000000 94.655 -163.6534
1825.000000 94.723 -165.3077
1850.000000 94.781 -166.9817
1875.000000 94.829 -168.6834
1900.000000 94.864 -170.4177
1925.000000 94.883 -172.1628
1950.000000 94.890 -173.9117
1975.000000 94.884 -175.6727
2000.000000 94.863 -177.4403
2030.000000 94.815 -179.5417
2060.000000 94.745 178.3936
2090.000000 94.654 176.3891
2120.000000 94.541 174.4532
2140.000000 94.455 173.2111
2180.000000 94.256 170.9012
2200.000000 94.148 169.8622
2240.000000 93.943 168.0613
2270.000000 93.823 166.7303
2300.000000 93.700 165.0860
2330.000000 93.519 163.3545
2360.000000 93.295 161.8705
2400.000000 92.979 160.2759
2430.000000 92.743 159.2808
2470.000000 92.432 158.1379
2500.000000 92.200 157.4070
2540.000000 91.895 156.5868
2580.000000 91.593 155.9070
2620.000000 91.296 155.3813
2650.000000 91.075 155.0701
2690.000000 90.785 154.7774
2720.000000 90.573 154.6390
2760.000000 90.297 154.5600
2800.000000 90.031 154.5929
2850.000000 89.712 154.7648
2900.000000 89.409 155.0522
2950.000000 89.121 155.4440
3000.000000 88.845 155.9304
3040.000000 88.635 156.3846
3070.000000 88.484 156.7518
3110.000000 88.289 157.2780
3150.000000 88.102 157.8535
3200.000000 87.881 158.6233
3250.000000 87.671 159.4353
3300.000000 87.469 160.3171
3350.000000 87.282 161.2663
3400.000000 87.109 162.2657
3450.000000 86.950 163.2934
3500.000000 86.802 164.3251
3550.000000 86.664 165.3865
3600.000000 86.535 166.4662
3650.000000 86.415 167.5585
3700.000000 86.303 168.6885
3750.000000 86.203 169.8438
3820.000000 86.077 171.4927
3870.000000 85.994 172.6892
3950.000000 85.871 174.6967
4000.000000 85.803 176.0556
4060.000000 85.737 177.8851
4120.000000 85.721 179.9354
4180.000000 85.779 -178.0277
4250.000000 85.918 -176.0955
4310.000000 86.041 -174.8874
4370.000000 86.137 -173.8813
4440.000000 86.220 -172.6796
4500.000000 86.291 -171.5148
4550.000000 86.362 -170.4581
4620.000000 86.496 -168.9238
4680.000000 86.637 -167.6647
4750.000000 86.832 -166.2439
4820.000000 87.064 -164.9503
4870.000000 87.246 -164.1366
4940.000000 87.518 -163.1267
5000.000000 87.774 -162.3353
5080.000000 88.163 -161.4566
