* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	62.661290
20.290907	62.582020
20.586045	62.472401
20.885476	62.471998
21.189262	62.420135
21.497467	62.362415
21.810155	62.410492
22.127391	62.378834
22.449241	62.339052
22.775773	62.335366
23.107054	62.320743
23.443154	62.275395
23.784142	62.232136
24.130091	62.200523
24.481071	62.173117
24.837156	62.157507
25.198421	62.141669
25.564940	62.125602
25.936791	62.102282
26.314050	62.070539
26.696797	62.100879
27.085111	62.089313
27.479073	62.054265
27.878765	62.018707
28.284271	61.989622
28.695675	61.972207
29.113064	61.954538
29.536523	61.936612
29.966142	61.914496
30.402009	61.891794
30.844217	61.885591
31.292856	61.925265
31.748021	61.902186
32.209807	61.856908
32.678309	61.812116
33.153626	61.780552
33.635857	61.747396
34.125101	61.708214
34.621462	61.668462
35.125043	61.637837
35.635949	61.677427
36.154286	61.677955
36.680162	61.651526
37.213687	61.627723
37.754973	61.610322
38.304131	61.592668
38.861278	61.574757
39.426528	61.561259
40.000000	61.548210
40.581813	61.534971
41.172089	61.521539
41.770951	61.502512
42.378524	61.470844
42.994934	61.446485
43.620309	61.433526
44.254781	61.420378
44.898482	61.407040
45.551545	61.393507
46.214108	61.380503
46.886308	61.367464
47.568285	61.354235
48.260181	61.340814
48.962142	61.320746
49.674312	61.281082
50.396842	61.260810
51.129881	61.247790
51.873582	61.234580
52.628101	61.221178
53.393594	61.203658
54.170222	61.164050
54.958146	61.199020
55.757531	61.187001
56.568542	61.160470
57.391351	61.130984
58.226127	61.099190
59.073046	61.065430
59.932283	61.030445
60.804018	60.994951
61.688433	60.980515
62.585712	61.024316
63.496042	60.984739
64.419613	60.960357
65.356618	60.947365
66.307252	60.934184
67.271713	60.920812
68.250203	60.907246
69.242925	60.895386
70.250086	60.883353
71.271897	60.871145
72.308571	60.858759
73.360323	60.844973
74.427374	60.805426
75.509945	60.779598
76.608262	60.766616
77.722555	60.753445
78.853056	60.740083
80.000000	60.726526
81.163627	60.713606
82.344179	60.700544
83.541903	60.687292
84.757048	60.673847
85.989867	60.653604
87.240619	60.621904
88.509563	60.595736
89.796964	60.576061
91.103091	60.556100
92.428216	60.603873
93.772615	60.577657
95.136569	60.551060
96.520362	60.540401
97.924283	60.535064
99.348625	60.529649
100.793684	60.524156
102.259762	60.518582
103.747164	60.512927
105.256202	60.507190
106.787188	60.501370
108.340444	60.495465
109.916292	60.489474
111.515061	60.483683
113.137085	60.481243
114.782702	60.478768
116.452255	60.476257
118.146092	60.473710
119.864566	60.471125
121.608036	60.468503
123.376866	60.465842
125.171424	60.463143
126.992084	60.460405
128.839227	60.457627
130.713236	60.454808
132.614504	60.451949
134.543426	60.449047
136.500406	60.446104
138.485850	60.443118
140.500173	60.440088
142.543795	60.437014
144.617142	60.433896
146.720647	60.430732
148.854748	60.427522
151.019890	60.424266
153.216525	60.421529
155.445111	60.418960
157.706112	60.416354
160.000000	60.413710
162.327254	60.411027
164.688358	60.408305
167.083805	60.405544
169.514095	60.402743
171.979734	60.399901
174.481237	60.397018
177.019125	60.394092
179.593928	60.391124
182.206182	60.388113
184.856431	60.385059
187.545230	60.381959
190.273138	60.378815
193.040725	60.375625
195.848567	60.372388
198.697250	60.369105
201.587368	60.365773
204.519524	60.363921
207.494329	60.370770
210.512403	60.377719
213.574377	60.384768
216.680888	60.391921
219.832584	60.399177
223.030122	60.406539
226.274170	60.414008
229.565404	60.421585
232.904509	60.411524
236.292183	60.395804
239.729132	60.379855
243.216073	60.363675
246.753732	60.355703
250.342848	60.348039
253.984168	60.340263
257.678453	60.332373
261.426473	60.324369
265.229008	60.316249
269.086853	60.308011
273.000811	60.301103
276.971700	60.297070
281.000346	60.292977
285.087590	60.288825
289.234284	60.284613
293.441294	60.280340
297.709496	60.276004
302.039780	60.271605
306.433050	60.267143
310.890221	60.262615
315.412224	60.258022
320.000000	60.253361
324.654507	60.248633
329.376716	60.243837
334.167610	60.244100
339.028190	60.247704
343.959469	60.251360
348.962474	60.255069
354.038251	60.258832
359.187855	60.262650
364.412363	60.266523
369.712863	60.270453
375.090460	60.274440
380.546277	60.278485
386.081450	60.282588
391.697134	60.286752
397.394500	60.290976
403.174736	60.295261
409.039048	60.299609
414.988657	60.306683
421.024807	60.318606
427.148753	60.330702
433.361775	60.342973
439.665167	60.355423
446.060244	60.371959
452.548340	60.394487
459.130807	60.417343
465.809019	60.374101
472.584367	60.405792
479.458265	60.430371
486.432146	60.446020
493.507464	60.461897
500.685695	60.478005
507.968337	60.509074
515.356906	60.550379
522.852945	60.603306
530.458016	60.655725
538.173706	60.708868
546.001623	60.671545
553.943399	60.714011
562.000691	60.766875
570.175180	60.749686
578.468569	60.844620
586.882588	60.852047
595.418991	60.897850
604.079560	60.939756
612.866100	60.974399
621.780442	60.996892
630.824447	61.019712
640.000000	61.061457
649.309014	61.107889
658.753431	61.147689
668.335221	61.192293
678.056380	61.237713
687.918938	61.223484
697.924949	61.245744
708.076501	61.290600
718.375711	61.291799
728.824726	61.300062
739.425726	61.335143
750.180921	61.370735
761.092554	61.402439
772.162900	61.428805
783.394268	61.453876
794.789000	61.469457
806.349472	61.485264
818.078095	61.501301
829.977315	61.516049
842.049613	61.527967
854.297507	61.540058
866.723550	61.552325
879.330334	61.564771
892.120489	61.587521
905.096680	61.627259
918.261614	61.647862
931.618037	61.665400
945.168733	61.683194
958.916529	61.706882
972.864291	61.738604
987.014928	61.788772
1001.371391	61.856466
1015.936673	61.925145
1030.713812	61.899716
1045.705890	61.952629
1060.916032	62.012228
1076.347412	62.102050
1092.003245	62.193179
1107.886798	62.198532
1124.001383	62.297574
1140.350359	62.350684
1156.937137	62.434605
1173.765175	62.525292
1190.837983	62.614885
1208.159120	62.694203
1225.732199	62.773587
1243.560885	62.747085
1261.648894	62.945054
1280.000000	62.999070
1298.618029	63.090962
1317.506863	63.195485
1336.670442	63.303711
1356.112761	63.409944
1375.837875	63.429588
1395.849898	63.548111
1416.153002	63.627518
1436.751422	63.783664
1457.649452	63.919543
1478.851452	63.981078
1500.361842	64.079260
1522.185107	64.237287
1544.325799	64.395862
1566.788535	64.515504
1589.577999	64.594910
1612.698944	64.758054
1636.156190	64.947814
1659.954630	65.105042
1684.099226	65.288241
1708.595013	65.478140
1733.447100	65.716645
1758.660669	65.845800
1784.240977	65.983487
1810.193360	66.211421
1836.523229	66.482263
1863.236074	66.640972
1890.337467	66.849913
1917.833058	67.104127
1945.728583	67.298408
1974.029857	67.418031
2002.742782	67.747569
2031.873347	68.016366
2061.427625	68.175145
2091.411780	68.603738
2121.832065	68.734429
2152.694823	68.922299
2184.006490	69.251996
2215.773596	69.452300
2248.002765	69.611122
2280.700718	69.861472
2313.874274	70.105357
2347.530351	70.208125
2381.675966	70.366533
2416.318240	70.524524
2451.464399	70.658091
2487.121769	70.707927
2523.297789	70.730357
2560.000000	70.753113
2597.236057	70.758634
2635.013726	70.741202
2673.340883	70.723516
2712.225522	70.705437
2751.675750	70.652595
2791.699796	70.568152
2832.306004	70.477446
2873.502844	70.388027
2915.298905	70.278401
2957.702904	70.176335
3000.723683	70.018659
3044.370214	69.858939
3088.651599	69.760778
3133.577071	69.662571
3179.155999	69.482408
3225.397888	69.291278
3272.312380	69.186508
3319.909260	69.050272
3368.198452	68.914099
3417.190027	68.723500
3466.894200	68.600528
3517.321337	68.453589
3568.481954	68.273564
3620.386720	68.082446
3673.046457	67.971180
3726.472148	67.780458
3780.674934	67.620141
3835.666117	67.381247
3891.457165	67.221850
3948.059713	67.105869
4005.485564	66.735539
4063.746693	66.624834
4122.855250	66.468957
4182.823560	66.310706
4243.664130	65.967386
4305.389646	65.808615
4368.012981	65.623840
4431.547192	65.346301
4496.005531	65.206628
4561.401437	65.053041
4627.748549	64.800938
4695.060701	64.575509
4763.351932	64.436051
4832.636481	64.295790
4902.928797	64.061528
4974.243539	63.895243
5046.595577	63.760700
5120.000000	63.585513
5194.472115	63.394826
5270.027452	63.275421
5346.681766	63.165869
5424.451043	63.017119
5503.351500	62.826962
5583.399591	62.770888
5664.612008	62.667005
5747.005687	62.557461
5830.597810	62.416788
5915.405808	62.257346
6001.447367	62.195905
6088.740429	62.149384
6177.303198	62.070018
6267.154142	62.030682
6358.311998	61.999212
6450.795775	61.967284
6544.624761	61.935300
6639.818520	61.925075
6736.396904	61.914702
6834.380053	61.904178
6933.788400	61.893501
7034.642675	61.882668
7136.963909	61.865697
7240.773439	61.834466
7346.092914	61.802781
7452.944296	61.770636
7561.349867	61.808850
7671.332234	61.755928
7782.914330	61.703084
7896.119426	61.586135
8010.971128	61.453564
8127.493386	61.427400
8245.710500	61.268681
8365.647121	61.090936
8487.328260	60.852967
8610.779292	60.728992
8736.025961	60.513019
8863.094385	60.397692
8992.011061	60.014190
9122.802874	59.855516
9255.497097	59.615880
9390.121402	59.296214
9526.703863	59.121822
9665.272962	58.975310
9805.857594	58.502867
9948.487077	58.351149
10093.191154	58.192948
10240.000000	57.750718
10388.944230	57.580555
10540.054903	57.324866
10693.363532	57.021326
10848.902086	56.862589
11006.703001	56.629361
11166.799182	56.276716
11329.224017	56.144617
11494.011375	55.816091
11661.195620	55.554822
11830.811616	55.426640
12002.894734	55.152310
12177.480858	54.873778
12354.606395	54.708744
12534.308283	54.546778
12716.623996	54.309515
12901.591551	54.152647
13089.249521	54.013403
13279.637040	53.847961
13472.793808	53.658160
13668.760107	53.502628
13867.576801	53.378709
14069.285350	53.277651
14273.927818	53.040403
14481.546879	52.963940
14692.185828	52.864908
14905.888592	52.754374
15122.699734	52.582469
15342.664467	52.390976
15565.828661	52.410182
15792.238852	52.357278
16021.942256	52.339892
16254.986772	52.365778
16491.420999	52.339384
16731.294241	52.335989
16974.656520	52.397076
17221.558584	52.436859
17472.051922	52.475993
17726.188769	52.515609
17984.022122	52.555801
18245.605748	52.647464
18510.994194	52.689472
18780.242805	52.711985
19053.407727	52.734826
19330.545924	52.741935
19611.715189	52.741935
19896.974155	52.741935
20186.382308	52.741935
