* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
20.000000	56.385542
20.290907	56.385542
20.586045	56.385542
20.885476	56.385542
21.189262	56.380655
21.497467	56.354487
21.810155	56.327939
22.127391	56.347186
22.449241	56.326693
22.775773	56.348712
23.107054	56.339464
23.443154	56.377038
23.784142	56.330041
24.130091	56.338523
24.481071	56.347129
24.837156	56.355859
25.198421	56.364717
25.564940	56.373703
25.936791	56.382820
26.314050	56.387486
26.696797	56.390280
27.085111	56.393115
27.479073	56.395991
27.878765	56.398908
28.284271	56.401869
28.695675	56.404872
29.113064	56.407919
29.536523	56.411010
29.966142	56.414146
30.402009	56.417328
30.844217	56.420556
31.292856	56.423831
31.748021	56.427154
32.209807	56.430525
32.678309	56.433945
33.153626	56.437415
33.635857	56.440936
34.125101	56.444507
34.621462	56.447347
35.125043	56.449797
35.635949	56.452283
36.154286	56.454804
36.680162	56.457363
37.213687	56.459958
37.754973	56.462591
38.304131	56.465263
38.861278	56.467973
39.426528	56.470723
40.000000	56.473513
40.581813	56.476344
41.172089	56.479215
41.770951	56.482128
42.378524	56.485084
42.994934	56.488083
43.620309	56.491125
44.254781	56.494212
44.898482	56.497343
45.551545	56.500520
46.214108	56.503744
46.886308	56.506958
47.568285	56.510089
48.260181	56.513266
48.962142	56.516489
49.674312	56.519759
50.396842	56.523076
51.129881	56.526442
51.873582	56.529856
52.628101	56.533320
53.393594	56.536835
54.170222	56.540401
54.958146	56.544018
55.757531	56.547688
56.568542	56.551412
57.391351	56.555190
58.226127	56.559023
59.073046	56.562911
59.932283	56.566806
60.804018	56.570474
61.688433	56.574194
62.585712	56.577969
63.496042	56.581799
64.419613	56.585684
65.356618	56.589626
66.307252	56.593625
67.271713	56.597683
68.250203	56.601799
69.242925	56.605975
70.250086	56.610212
71.271897	56.614511
72.308571	56.618872
73.360323	56.623297
74.427374	56.627747
75.509945	56.632164
76.608262	56.636646
77.722555	56.641192
78.853056	56.645805
80.000000	56.650485
81.163627	56.655233
82.344179	56.660050
83.541903	56.664937
84.757048	56.669895
85.989867	56.674925
87.240619	56.680029
88.509563	56.685207
89.796964	56.690927
91.103091	56.696927
92.428216	56.703015
93.772615	56.709191
95.136569	56.715457
96.520362	56.721815
97.924283	56.728264
99.348625	56.734808
100.793684	56.741447
102.259762	56.751559
103.747164	56.777722
105.256202	56.804265
106.787188	56.835131
108.340444	56.866939
109.916292	56.879085
111.515061	56.891067
113.137085	56.903223
114.782702	56.915556
116.452255	56.928445
118.146092	56.954552
119.864566	56.981039
121.608036	56.999715
123.376866	57.015782
125.171424	57.032083
126.992084	57.048621
128.839227	57.065399
130.713236	57.082422
132.614504	57.099692
134.543426	57.121416
136.500406	57.147702
138.485850	57.170984
140.500173	57.181956
142.543795	57.193088
144.617142	57.204381
146.720647	57.215839
148.854748	57.227463
151.019890	57.251757
153.216525	57.278186
155.445111	57.299039
157.706112	57.316010
160.000000	57.333226
162.327254	57.350694
164.688358	57.368415
167.083805	57.386394
169.514095	57.404635
171.979734	57.428604
174.481237	57.454977
177.019125	57.477274
179.593928	57.494207
182.206182	57.511388
184.856431	57.528818
187.545230	57.546501
190.273138	57.564442
193.040725	57.582644
195.848567	57.605460
198.697250	57.631776
201.587368	57.654050
204.519524	57.665913
207.494329	57.677948
210.512403	57.690159
213.574377	57.702547
216.680888	57.724094
219.832584	57.763648
223.030122	57.792288
226.274170	57.818692
229.565404	57.836668
232.904509	57.846927
236.292183	57.857335
239.729132	57.867894
243.216073	57.878606
246.753732	57.889475
250.342848	57.912655
253.984168	57.939058
257.678453	57.956186
261.426473	57.964663
265.229008	57.973263
269.086853	57.981988
273.000811	57.990840
276.971700	57.999821
281.000346	58.008932
285.087590	58.029264
289.234284	58.055611
293.441294	58.076083
297.709496	58.086319
302.039780	58.096704
306.433050	58.107240
310.890221	58.117929
315.412224	58.128774
320.000000	58.149631
324.654507	58.175977
329.376716	58.199782
334.167610	58.218919
339.028190	58.238335
343.959469	58.258034
348.962474	58.278019
354.038251	58.298294
359.187855	58.321731
364.412363	58.353256
369.712863	58.387818
375.090460	58.427388
380.546277	58.452111
386.081450	58.474255
391.697134	58.496721
397.394500	58.519514
403.174736	58.542638
409.039048	58.570008
414.988657	58.601640
421.024807	58.637962
