* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -26.0 dBFS with no timing reference
* Dated: Jan 8, 2025 9:29:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AT AD500X (Worn Pads) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.919 -47.5752
20.600000 76.084 -48.3689
20.900000 76.265 -49.2434
21.200001 76.444 -50.1370
21.400000 76.562 -50.7376
21.799999 76.797 -51.9281
22.000000 76.914 -52.5026
22.400000 77.148 -53.5706
22.700001 77.325 -54.2841
23.000000 77.506 -54.9314
23.299999 77.691 -55.5438
23.600000 77.877 -56.1620
24.000000 78.118 -57.0502
24.299999 78.286 -57.7743
24.700001 78.491 -58.7840
25.000000 78.633 -59.5384
25.400000 78.818 -60.5027
25.799999 79.009 -61.4208
26.200001 79.207 -62.3247
26.500000 79.357 -63.0095
26.900000 79.550 -63.9279
27.200001 79.685 -64.6060
27.600000 79.854 -65.4806
28.000000 80.018 -66.3365
28.500000 80.225 -67.4550
29.000000 80.436 -68.6958
29.500000 80.639 -70.0110
30.000000 80.830 -71.2463
30.400000 80.977 -72.0947
30.700001 81.087 -72.6501
31.100000 81.236 -73.3357
31.500000 81.382 -74.0377
32.000000 81.549 -75.0284
32.500000 81.692 -76.1472
33.000000 81.819 -77.3236
33.500000 81.952 -78.5007
34.000000 82.098 -79.6716
34.500000 82.251 -80.8331
35.000000 82.395 -81.9426
35.500000 82.526 -82.9491
36.000000 82.651 -83.8627
36.500000 82.780 -84.7736
37.000000 82.914 -85.7900
37.500000 83.045 -86.9646
38.200001 83.208 -88.8289
38.700001 83.296 -90.2319
39.500000 83.350 -92.3402
40.000000 83.315 -93.3377
40.599998 83.225 -93.9500
41.200001 83.148 -93.9084
41.799999 83.151 -93.5482
42.500000 83.280 -93.3189
43.099998 83.470 -93.5123
43.700001 83.704 -94.0520
44.400002 83.989 -95.0897
45.000000 84.196 -96.2652
45.500000 84.322 -97.3135
46.200001 84.451 -98.6549
46.799999 84.557 -99.6563
47.500000 84.691 -100.8355
48.200001 84.795 -102.1299
48.700001 84.836 -103.0717
49.400002 84.863 -104.3959
50.000000 84.880 -105.6522
50.799999 84.875 -107.5475
51.500000 84.812 -109.0220
52.200001 84.699 -109.8906
53.000000 84.542 -110.1274
53.799999 84.374 -109.7788
54.500000 84.261 -109.0325
55.200001 84.243 -107.9797
56.000000 84.374 -106.7680
57.000000 84.675 -105.7174
58.000000 85.001 -105.0724
59.000000 85.347 -104.8499
60.000000 85.681 -105.6009
60.799999 85.888 -106.6006
61.500000 86.049 -107.3978
62.200001 86.217 -108.1269
63.000000 86.411 -109.0001
64.000000 86.643 -110.2501
65.000000 86.846 -111.7354
66.000000 87.006 -113.3120
67.000000 87.146 -114.8499
68.000000 87.277 -116.3816
69.000000 87.386 -117.9274
70.000000 87.450 -119.4744
71.000000 87.455 -120.8788
72.000000 87.427 -121.8980
73.000000 87.428 -122.5180
74.000000 87.491 -123.0891
75.000000 87.587 -123.8649
76.199997 87.707 -125.0012
77.500000 87.822 -126.3952
78.800003 87.889 -127.9053
80.000000 87.907 -129.2453
81.199997 87.922 -130.4769
82.500000 87.943 -131.6014
83.800003 87.962 -132.4556
85.000000 87.982 -133.1727
86.199997 88.013 -133.9870
87.500000 88.052 -134.9437
88.500000 88.081 -135.6762
90.000000 88.122 -136.8540
91.199997 88.145 -137.8320
92.500000 88.148 -138.8111
93.800003 88.136 -139.7560
95.000000 88.119 -140.5822
96.199997 88.100 -141.3261
97.500000 88.070 -142.1823
98.800003 88.051 -143.0019
100.000000 88.050 -143.5693
101.500000 88.032 -144.1689
103.000000 87.989 -144.9331
104.400002 87.945 -145.7080
106.000000 87.870 -146.4776
107.500000 87.780 -146.8857
109.000000 87.711 -146.8476
110.599998 87.699 -146.5939
112.000000 87.726 -146.5045
113.800003 87.779 -146.6020
115.000000 87.824 -146.7306
117.199997 87.923 -147.1754
118.000000 87.960 -147.4060
120.599998 88.053 -148.2138
122.000000 88.074 -148.7463
124.099998 88.107 -149.4720
125.000000 88.122 -149.7730
126.500000 88.147 -150.2965
128.000000 88.174 -150.8466
131.500000 88.208 -152.0453
132.000000 88.211 -152.2041
134.000000 88.217 -152.8406
136.000000 88.218 -153.4996
138.000000 88.225 -154.1732
140.000000 88.226 -154.7667
143.000000 88.215 -155.5077
145.000000 88.215 -155.9887
147.500000 88.213 -156.6205
150.000000 88.200 -157.2167
152.500000 88.191 -157.8550
155.000000 88.174 -158.4163
157.500000 88.168 -158.9140
160.000000 88.163 -159.4371
162.500000 88.151 -160.0057
165.000000 88.142 -160.4786
167.500000 88.129 -160.9282
170.000000 88.113 -161.4003
172.500000 88.100 -161.8410
175.000000 88.088 -162.2344
177.500000 88.068 -162.6458
180.000000 88.058 -163.0023
182.500000 88.054 -163.3823
185.000000 88.046 -163.8509
187.500000 88.033 -164.2572
190.000000 87.995 -164.7228
192.500000 87.960 -165.2817
195.000000 87.920 -165.7330
197.500000 87.871 -165.9456
200.000000 87.812 -166.0280
203.000000 87.782 -166.0255
206.000000 87.796 -166.1021
209.000000 87.794 -166.4041
212.000000 87.772 -166.7164
214.000000 87.758 -166.8486
218.000000 87.749 -167.1685
220.000000 87.745 -167.3886
224.000000 87.717 -167.7675
227.000000 87.696 -168.0243
230.000000 87.673 -168.3023
233.000000 87.629 -168.5614
236.000000 87.548 -168.8533
240.000000 87.520 -169.2200
243.000000 87.544 -169.3879
247.000000 87.546 -169.6806
250.000000 87.533 -169.9682
254.000000 87.498 -170.2683
258.000000 87.435 -170.4610
262.000000 87.368 -170.6165
265.000000 87.324 -170.6405
269.000000 87.277 -170.6299
272.000000 87.256 -170.6023
276.000000 87.238 -170.6178
280.000000 87.227 -170.6765
285.000000 87.198 -170.6900
290.000000 87.166 -170.6783
295.000000 87.153 -170.6536
300.000000 87.133 -170.6408
304.000000 87.106 -170.6670
307.000000 87.084 -170.6655
311.000000 87.059 -170.7123
315.000000 87.048 -170.7614
320.000000 87.053 -170.8046
325.000000 87.033 -170.7359
330.000000 87.002 -170.7292
335.000000 86.996 -170.8817
340.000000 86.990 -171.1544
345.000000 86.977 -171.2467
350.000000 86.966 -171.1803
355.000000 86.942 -171.1386
360.000000 86.920 -171.1250
365.000000 86.905 -171.1566
370.000000 86.888 -171.1848
375.000000 86.869 -171.1984
382.000000 86.851 -171.2290
387.000000 86.840 -171.1850
395.000000 86.781 -170.8593
400.000000 86.743 -170.7741
406.000000 86.710 -171.0293
412.000000 86.673 -171.0176
418.000000 86.638 -170.8269
425.000000 86.607 -170.7087
431.000000 86.580 -170.6010
437.000000 86.547 -170.3305
444.000000 86.511 -169.9341
450.000000 86.507 -169.6087
455.000000 86.511 -169.3498
462.000000 86.509 -168.9335
468.000000 86.520 -168.7061
475.000000 86.544 -168.5033
482.000000 86.564 -168.2026
487.000000 86.584 -168.0202
494.000000 86.629 -167.8966
500.000000 86.665 -167.8722
508.000000 86.695 -167.9117
515.000000 86.706 -167.9996
522.000000 86.701 -168.1046
530.000000 86.664 -168.0806
538.000000 86.623 -167.7417
545.000000 86.626 -167.3016
552.000000 86.654 -166.9766
560.000000 86.688 -166.7954
570.000000 86.724 -166.5911
580.000000 86.784 -166.3152
590.000000 86.863 -166.3680
600.000000 86.928 -166.7657
608.000000 86.950 -167.3853
615.000000 86.931 -168.0298
622.000000 86.853 -168.6507
630.000000 86.692 -169.0329
640.000000 86.472 -168.5889
650.000000 86.300 -167.5488
660.000000 86.215 -165.9233
670.000000 86.257 -164.3930
680.000000 86.357 -163.4199
690.000000 86.445 -162.7697
700.000000 86.528 -162.1617
710.000000 86.618 -161.7397
720.000000 86.702 -161.5433
730.000000 86.763 -161.3985
740.000000 86.809 -161.1351
750.000000 86.855 -160.8495
762.000000 86.914 -160.4626
775.000000 86.991 -160.0863
788.000000 87.088 -159.7730
800.000000 87.188 -159.7385
812.000000 87.248 -159.8997
825.000000 87.281 -159.7377
838.000000 87.338 -159.4455
850.000000 87.401 -159.3257
862.000000 87.445 -159.2744
875.000000 87.490 -159.1497
885.000000 87.522 -159.0152
900.000000 87.576 -158.7524
912.000000 87.621 -158.5663
925.000000 87.672 -158.3102
938.000000 87.732 -158.0332
950.000000 87.795 -157.7443
962.000000 87.864 -157.4572
975.000000 87.951 -157.1361
988.000000 88.070 -156.9559
1000.000000 88.172 -157.1467
1015.000000 88.250 -157.3963
1030.000000 88.330 -157.6215
1044.000000 88.360 -157.8535
1060.000000 88.396 -157.7575
1075.000000 88.438 -157.7059
1090.000000 88.488 -157.5431
1106.000000 88.560 -157.4399
1120.000000 88.618 -157.3414
1138.000000 88.691 -157.1194
1150.000000 88.753 -156.9896
1172.000000 88.858 -156.7485
1180.000000 88.904 -156.5809
1206.000000 89.131 -156.1441
1220.000000 89.270 -156.3233
1241.000000 89.427 -156.8864
1250.000000 89.477 -157.1286
1265.000000 89.540 -157.4330
1280.000000 89.600 -157.5468
1315.000000 89.816 -157.8375
1320.000000 89.854 -157.8936
1340.000000 90.021 -158.3583
1360.000000 90.145 -159.3082
1380.000000 90.179 -160.0064
1400.000000 90.249 -160.2272
1430.000000 90.397 -160.9521
1450.000000 90.515 -161.4770
1475.000000 90.652 -162.6893
1500.000000 90.682 -163.9599
1525.000000 90.685 -164.7317
1550.000000 90.727 -165.1885
1575.000000 90.822 -165.9836
1600.000000 90.879 -167.0739
1625.000000 90.865 -168.1808
1650.000000 90.830 -168.7348
1675.000000 90.870 -169.0184
1700.000000 90.972 -169.8543
1725.000000 90.990 -171.1983
1750.000000 90.975 -172.0004
1775.000000 90.985 -173.1358
1800.000000 90.916 -174.2720
1825.000000 90.854 -174.9021
1850.000000 90.822 -175.8359
1875.000000 90.731 -176.9345
1900.000000 90.585 -177.8263
1925.000000 90.394 -178.3196
1950.000000 90.219 -178.2310
1975.000000 90.062 -178.1324
2000.000000 89.838 -177.5794
2030.000000 89.670 -174.8999
2060.000000 89.941 -171.7259
2090.000000 90.437 -171.1376
2120.000000 90.785 -172.1913
2140.000000 90.953 -172.8376
2180.000000 91.327 -174.3179
2200.000000 91.513 -175.5240
2240.000000 91.758 -178.6315
2270.000000 91.842 179.1917
2300.000000 91.917 177.0584
2330.000000 91.945 174.7726
2360.000000 91.917 172.7330
2400.000000 91.941 171.0508
2430.000000 92.108 169.2775
2470.000000 92.267 165.9722
2500.000000 92.391 163.4690
2540.000000 92.656 159.7132
2580.000000 93.010 154.3234
2620.000000 93.283 147.1318
2650.000000 93.440 140.8146
2690.000000 93.560 130.4360
2720.000000 93.449 121.0887
2760.000000 92.885 107.6046
2800.000000 91.937 94.2940
2850.000000 90.577 77.9829
2900.000000 89.289 58.9440
2950.000000 87.793 37.0055
3000.000000 86.250 13.5065
3040.000000 85.300 -4.1442
3070.000000 84.984 -16.7117
3110.000000 84.889 -32.1903
3150.000000 85.005 -44.6130
3200.000000 85.557 -56.2462
3250.000000 86.278 -65.4033
3300.000000 87.020 -72.4709
3350.000000 87.787 -78.0472
3400.000000 88.537 -82.8667
3450.000000 89.236 -86.9794
3500.000000 89.921 -90.4813
3550.000000 90.604 -93.6444
3600.000000 91.299 -96.5110
3650.000000 92.036 -99.3312
3700.000000 92.823 -102.4003
3750.000000 93.645 -105.9884
3820.000000 94.802 -112.4567
3870.000000 95.562 -118.2569
3950.000000 96.521 -129.5145
4000.000000 96.904 -137.6060
4060.000000 97.032 -147.9244
4120.000000 96.766 -158.0825
4180.000000 96.121 -166.8777
4250.000000 95.114 -174.4215
4310.000000 94.198 -178.7729
4370.000000 93.340 178.5350
4440.000000 92.488 176.5819
4500.000000 91.872 175.2582
4550.000000 91.385 174.0056
4620.000000 90.601 172.5891
4680.000000 89.879 172.7258
4750.000000 89.190 174.5518
4820.000000 88.819 176.8835
4870.000000 88.725 177.8569
4940.000000 88.662 177.6966
5000.000000 88.543 176.4260
