* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -26.0 dBFS with no timing reference
* Dated: Jan 8, 2025 9:23:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AT AD500X (Worn Pads) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.556 -73.1707
20.600000 77.700 -73.6313
20.900000 77.865 -74.2121
21.200001 78.025 -74.8959
21.400000 78.124 -75.3923
21.799999 78.295 -76.3969
22.000000 78.368 -76.8607
22.400000 78.504 -77.6308
22.700001 78.608 -78.0570
23.000000 78.724 -78.3905
23.299999 78.854 -78.6957
23.600000 78.995 -79.0396
24.000000 79.188 -79.6345
24.299999 79.326 -80.1942
24.700001 79.493 -81.0523
25.000000 79.604 -81.7357
25.400000 79.743 -82.6406
25.799999 79.879 -83.4989
26.200001 80.022 -84.2992
26.500000 80.136 -84.8688
26.900000 80.293 -85.6059
27.200001 80.410 -86.1524
27.600000 80.554 -86.8752
28.000000 80.679 -87.5742
28.500000 80.808 -88.3715
29.000000 80.922 -89.0731
29.500000 81.049 -89.7588
30.000000 81.201 -90.5488
30.400000 81.333 -91.2863
30.700001 81.434 -91.8801
31.100000 81.566 -92.6777
31.500000 81.692 -93.4370
32.000000 81.842 -94.3053
32.500000 81.980 -95.0980
33.000000 82.108 -95.8412
33.500000 82.234 -96.5696
34.000000 82.364 -97.3382
34.500000 82.493 -98.1801
35.000000 82.609 -99.0494
35.500000 82.707 -99.8553
36.000000 82.796 -100.5764
36.500000 82.886 -101.3159
37.000000 82.969 -102.2082
37.500000 83.033 -103.2865
38.200001 83.079 -104.9258
38.700001 83.096 -106.0429
39.500000 83.108 -107.6724
40.000000 83.085 -108.5753
40.599998 82.997 -109.3545
41.200001 82.854 -109.4588
41.799999 82.727 -108.6554
42.500000 82.724 -106.8944
43.099998 82.881 -105.4158
43.700001 83.136 -104.5169
44.400002 83.471 -104.3889
45.000000 83.744 -104.9740
45.500000 83.945 -105.8144
46.200001 84.184 -107.2518
46.799999 84.361 -108.5263
47.500000 84.527 -109.9008
48.200001 84.635 -110.9507
48.700001 84.691 -111.4460
49.400002 84.781 -112.0754
50.000000 84.866 -112.9794
50.799999 84.924 -114.8135
51.500000 84.907 -116.4171
52.200001 84.873 -117.5843
53.000000 84.821 -118.5159
53.799999 84.704 -119.1267
54.500000 84.563 -119.2428
55.200001 84.452 -118.9241
56.000000 84.424 -118.1589
57.000000 84.534 -117.1335
58.000000 84.650 -116.7096
59.000000 84.679 -116.1597
60.000000 84.838 -115.0112
60.799999 85.095 -114.3172
61.500000 85.349 -114.0161
62.200001 85.611 -114.0206
63.000000 85.899 -114.5505
64.000000 86.198 -115.8184
65.000000 86.437 -117.3275
66.000000 86.603 -118.9749
67.000000 86.679 -120.4339
68.000000 86.729 -121.4491
69.000000 86.805 -122.1209
70.000000 86.924 -122.7491
71.000000 87.052 -123.6312
72.000000 87.144 -124.7170
73.000000 87.184 -125.7220
74.000000 87.203 -126.3619
75.000000 87.268 -126.6524
76.199997 87.433 -127.0705
77.500000 87.634 -128.0658
78.800003 87.781 -129.4737
80.000000 87.870 -130.8164
81.199997 87.935 -132.0456
82.500000 87.984 -133.3377
83.800003 88.008 -134.5424
85.000000 88.023 -135.4507
86.199997 88.052 -136.2516
87.500000 88.091 -137.2329
88.500000 88.110 -138.0848
90.000000 88.093 -139.3079
91.199997 88.049 -140.0164
92.500000 88.014 -140.4405
93.800003 88.028 -140.7087
95.000000 88.080 -141.0647
96.199997 88.138 -141.5511
97.500000 88.190 -142.1207
98.800003 88.233 -142.8560
100.000000 88.250 -143.7252
101.500000 88.253 -144.6401
103.000000 88.257 -145.4566
104.400002 88.246 -146.2527
106.000000 88.208 -147.0164
107.500000 88.152 -147.5105
109.000000 88.097 -147.7490
110.599998 88.076 -147.6777
112.000000 88.106 -147.5287
113.800003 88.197 -147.6405
115.000000 88.261 -147.9753
117.199997 88.354 -148.8770
118.000000 88.382 -149.2421
120.599998 88.440 -150.2731
122.000000 88.453 -150.7436
124.099998 88.469 -151.4653
125.000000 88.475 -151.7820
126.500000 88.483 -152.3036
128.000000 88.486 -152.7845
131.500000 88.493 -153.7590
132.000000 88.495 -153.8769
134.000000 88.510 -154.3537
136.000000 88.529 -154.8788
138.000000 88.545 -155.4136
140.000000 88.559 -155.9293
143.000000 88.565 -156.7882
145.000000 88.559 -157.3555
147.500000 88.545 -157.9698
150.000000 88.522 -158.5500
152.500000 88.535 -159.1328
155.000000 88.542 -159.6450
157.500000 88.550 -160.2242
160.000000 88.553 -160.7781
162.500000 88.531 -161.2668
165.000000 88.512 -161.7525
167.500000 88.497 -162.2158
170.000000 88.485 -162.6485
172.500000 88.478 -163.0894
175.000000 88.475 -163.5187
177.500000 88.466 -163.9143
180.000000 88.444 -164.3481
182.500000 88.426 -164.7628
185.000000 88.429 -165.1202
187.500000 88.420 -165.4507
190.000000 88.370 -165.8145
192.500000 88.324 -166.2591
195.000000 88.301 -166.8228
197.500000 88.270 -167.4307
200.000000 88.228 -167.5545
203.000000 88.175 -167.3387
206.000000 88.149 -167.2440
209.000000 88.135 -167.3736
212.000000 88.132 -167.7194
214.000000 88.124 -167.9370
218.000000 88.093 -168.2769
220.000000 88.083 -168.4363
224.000000 88.068 -168.7942
227.000000 88.052 -169.1081
230.000000 88.041 -169.4843
233.000000 88.043 -169.9149
236.000000 88.052 -170.4442
240.000000 88.000 -170.6835
243.000000 87.928 -170.6363
247.000000 87.861 -170.7342
250.000000 87.825 -170.9271
254.000000 87.781 -171.1930
258.000000 87.722 -171.3956
262.000000 87.665 -171.5795
265.000000 87.622 -171.6782
269.000000 87.556 -171.7463
272.000000 87.496 -171.7461
276.000000 87.413 -171.6933
280.000000 87.338 -171.5109
285.000000 87.270 -170.9537
290.000000 87.248 -170.2655
295.000000 87.271 -169.6413
300.000000 87.339 -169.3306
304.000000 87.408 -169.3985
307.000000 87.441 -169.5264
311.000000 87.461 -169.8399
315.000000 87.466 -170.2725
320.000000 87.440 -170.6919
325.000000 87.369 -170.9025
330.000000 87.282 -170.9331
335.000000 87.211 -170.6063
340.000000 87.147 -170.0338
345.000000 87.099 -169.3743
350.000000 87.103 -168.5491
355.000000 87.164 -167.6677
360.000000 87.282 -167.1797
365.000000 87.421 -167.0910
370.000000 87.541 -167.2911
375.000000 87.623 -167.7258
382.000000 87.680 -168.4039
387.000000 87.691 -168.7914
395.000000 87.689 -169.4137
400.000000 87.696 -169.6853
406.000000 87.669 -169.8421
412.000000 87.639 -170.0273
418.000000 87.616 -170.2081
425.000000 87.576 -170.2771
431.000000 87.549 -170.3254
437.000000 87.526 -170.3075
444.000000 87.508 -170.1901
450.000000 87.497 -170.1411
455.000000 87.484 -170.1546
462.000000 87.467 -170.0608
468.000000 87.462 -169.9361
475.000000 87.455 -169.8770
482.000000 87.446 -169.8356
487.000000 87.441 -169.8070
494.000000 87.438 -169.7472
500.000000 87.435 -169.6664
508.000000 87.428 -169.5670
515.000000 87.411 -169.4882
522.000000 87.378 -169.3703
530.000000 87.339 -169.0821
538.000000 87.334 -168.5537
545.000000 87.372 -168.0851
552.000000 87.427 -167.8004
560.000000 87.489 -167.6433
570.000000 87.561 -167.6122
580.000000 87.631 -167.7009
590.000000 87.689 -168.0826
600.000000 87.715 -168.7516
608.000000 87.679 -169.5317
615.000000 87.571 -170.1552
622.000000 87.391 -170.3295
630.000000 87.179 -169.4355
640.000000 87.111 -167.3508
650.000000 87.232 -166.0058
660.000000 87.355 -165.5166
670.000000 87.448 -165.2974
680.000000 87.511 -165.2580
690.000000 87.536 -165.1530
700.000000 87.560 -164.7899
710.000000 87.605 -164.3772
720.000000 87.663 -164.0545
730.000000 87.732 -163.8639
740.000000 87.785 -163.7966
750.000000 87.828 -163.6293
762.000000 87.892 -163.3373
775.000000 87.966 -163.2007
788.000000 88.025 -163.0982
800.000000 88.079 -162.9518
812.000000 88.137 -162.7605
825.000000 88.208 -162.6055
838.000000 88.291 -162.4323
850.000000 88.384 -162.4351
862.000000 88.459 -162.5972
875.000000 88.514 -162.8589
885.000000 88.533 -162.9984
900.000000 88.563 -163.0210
912.000000 88.580 -163.0267
925.000000 88.596 -162.7993
938.000000 88.646 -162.4744
950.000000 88.717 -162.2903
962.000000 88.789 -162.2563
975.000000 88.859 -162.3459
988.000000 88.907 -162.5500
1000.000000 88.920 -162.6532
1015.000000 88.946 -162.4036
1030.000000 89.004 -162.2286
1044.000000 89.046 -162.0986
1060.000000 89.113 -161.8479
1075.000000 89.185 -161.6985
1090.000000 89.250 -161.5446
1106.000000 89.338 -161.2076
1120.000000 89.445 -161.1301
1138.000000 89.560 -161.3507
1150.000000 89.605 -161.5308
1172.000000 89.665 -161.3614
1180.000000 89.704 -161.2041
1206.000000 89.875 -160.9518
1220.000000 89.962 -160.9799
1241.000000 90.086 -161.0137
1250.000000 90.135 -161.0361
1265.000000 90.203 -160.9567
1280.000000 90.289 -160.5404
1315.000000 90.755 -159.9902
1320.000000 90.834 -160.1298
1340.000000 91.107 -161.2634
1360.000000 91.249 -162.8407
1380.000000 91.279 -163.9332
1400.000000 91.310 -164.3253
1430.000000 91.499 -164.5355
1450.000000 91.684 -165.1864
1475.000000 91.841 -166.5853
1500.000000 91.927 -167.4458
1525.000000 92.126 -168.0522
1550.000000 92.385 -169.7712
1575.000000 92.475 -172.3290
1600.000000 92.397 -174.2950
1625.000000 92.336 -175.2191
1650.000000 92.370 -176.3300
1675.000000 92.356 -177.8031
1700.000000 92.293 -178.8618
1725.000000 92.285 -179.8663
1750.000000 92.200 178.6985
1775.000000 92.058 178.3213
1800.000000 92.085 178.3115
1825.000000 92.148 177.1714
1850.000000 92.099 175.7864
1875.000000 91.988 174.7002
1900.000000 91.840 174.0375
1925.000000 91.736 173.8705
1950.000000 91.677 173.5170
1975.000000 91.573 173.0460
2000.000000 91.440 173.2098
2030.000000 91.470 174.1484
2060.000000 91.611 173.1904
2090.000000 91.432 171.4205
2120.000000 91.033 172.0636
2140.000000 90.898 174.3001
2180.000000 91.361 178.6400
2200.000000 91.751 178.7899
2240.000000 92.214 176.7919
2270.000000 92.445 176.3573
2300.000000 92.941 175.7980
2330.000000 93.431 172.4370
2360.000000 93.517 168.1267
2400.000000 93.351 164.7308
2430.000000 93.319 163.3255
2470.000000 93.427 161.3188
2500.000000 93.523 159.3391
2540.000000 93.651 156.8309
2580.000000 93.916 154.0875
2620.000000 94.250 149.8904
2650.000000 94.454 146.0225
2690.000000 94.706 139.9962
2720.000000 94.861 134.7049
2760.000000 95.025 126.2588
2800.000000 94.938 116.0049
2850.000000 94.508 102.3440
2900.000000 93.823 87.3739
2950.000000 93.084 69.5127
3000.000000 91.812 47.3998
3040.000000 90.391 28.2960
3070.000000 89.264 13.1564
3110.000000 87.836 -7.7038
3150.000000 86.801 -28.1160
3200.000000 86.333 -51.3685
3250.000000 86.558 -70.0709
3300.000000 87.154 -84.0513
3350.000000 87.878 -94.7028
3400.000000 88.557 -102.9622
3450.000000 89.178 -109.1244
3500.000000 89.792 -113.7913
3550.000000 90.407 -117.4440
3600.000000 91.049 -120.3357
3650.000000 91.751 -122.7992
3700.000000 92.511 -125.3437
3750.000000 93.308 -128.1793
3820.000000 94.437 -132.9713
3870.000000 95.216 -137.0447
3950.000000 96.424 -144.5881
4000.000000 97.132 -150.3691
4060.000000 97.845 -158.3374
4120.000000 98.353 -167.3776
4180.000000 98.571 -176.8988
4250.000000 98.483 172.2143
4310.000000 98.173 163.5410
4370.000000 97.678 155.4553
4440.000000 96.847 147.3737
4500.000000 96.017 142.0074
4550.000000 95.299 138.4435
4620.000000 94.278 134.8762
4680.000000 93.445 133.0099
4750.000000 92.564 131.9010
4820.000000 91.827 131.6282
4870.000000 91.400 131.6219
4940.000000 90.922 131.3943
5000.000000 90.585 130.6707
5080.000000 90.107 128.5514
