* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -23.0 dBFS with no timing reference
* Dated: Jan 8, 2025 8:40:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AT AD500X (ZUniHyP) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.475 -82.0346
20.600000 82.585 -82.5627
20.900000 82.713 -83.1318
21.200001 82.846 -83.7290
21.400000 82.935 -84.1521
21.799999 83.110 -85.0606
22.000000 83.192 -85.5359
22.400000 83.345 -86.4859
22.700001 83.451 -87.1642
23.000000 83.552 -87.7947
23.299999 83.652 -88.3790
23.600000 83.754 -88.9323
24.000000 83.894 -89.6583
24.299999 84.001 -90.2141
24.700001 84.142 -90.9749
25.000000 84.245 -91.5480
25.400000 84.376 -92.2887
25.799999 84.504 -92.9836
26.200001 84.631 -93.6360
26.500000 84.727 -94.1118
26.900000 84.854 -94.7503
27.200001 84.947 -95.2425
27.600000 85.068 -95.9208
28.000000 85.184 -96.6198
28.500000 85.324 -97.5080
29.000000 85.457 -98.3850
29.500000 85.583 -99.2043
30.000000 85.701 -99.9207
30.400000 85.795 -100.4210
30.700001 85.868 -100.7769
31.100000 85.969 -101.2700
31.500000 86.071 -101.8258
32.000000 86.191 -102.6223
32.500000 86.299 -103.4736
33.000000 86.399 -104.2954
33.500000 86.499 -105.0456
34.000000 86.602 -105.7289
34.500000 86.705 -106.3623
35.000000 86.808 -106.9648
35.500000 86.911 -107.5723
36.000000 87.014 -108.2239
36.500000 87.112 -108.9217
37.000000 87.201 -109.6227
37.500000 87.286 -110.2844
38.200001 87.405 -111.1487
38.700001 87.486 -111.7485
39.500000 87.610 -112.6698
40.000000 87.692 -113.2300
40.599998 87.801 -113.9423
41.200001 87.908 -114.7054
41.799999 88.002 -115.4377
42.500000 88.095 -116.1672
43.099998 88.167 -116.7048
43.700001 88.235 -117.1935
44.400002 88.321 -117.7453
45.000000 88.408 -118.3000
45.500000 88.481 -118.8738
46.200001 88.560 -119.7833
46.799999 88.608 -120.5217
47.500000 88.668 -121.2515
48.200001 88.750 -121.9132
48.700001 88.820 -122.3916
49.400002 88.915 -123.0683
50.000000 88.984 -123.6247
50.799999 89.058 -124.3169
51.500000 89.122 -124.9385
52.200001 89.193 -125.6541
53.000000 89.276 -126.5573
53.799999 89.351 -127.4171
54.500000 89.409 -128.1044
55.200001 89.460 -128.7889
56.000000 89.506 -129.6072
57.000000 89.556 -130.6561
58.000000 89.601 -131.6294
59.000000 89.647 -132.4865
60.000000 89.680 -133.3414
60.799999 89.686 -133.9806
61.500000 89.685 -134.4535
62.200001 89.688 -134.8596
63.000000 89.696 -135.2478
64.000000 89.723 -135.6422
65.000000 89.774 -136.1139
66.000000 89.816 -136.6708
67.000000 89.841 -137.0902
68.000000 89.875 -137.4252
69.000000 89.925 -137.8564
70.000000 89.988 -138.3391
71.000000 90.061 -138.8041
72.000000 90.129 -139.3512
73.000000 90.172 -140.0515
74.000000 90.175 -140.7524
75.000000 90.151 -141.1939
76.199997 90.141 -141.2216
77.500000 90.227 -141.0367
78.800003 90.383 -141.2171
80.000000 90.526 -141.7533
81.199997 90.651 -142.5344
82.500000 90.756 -143.5485
83.800003 90.828 -144.5762
85.000000 90.871 -145.4924
86.199997 90.898 -146.3729
87.500000 90.916 -147.2762
88.500000 90.926 -147.9076
90.000000 90.939 -148.7398
91.199997 90.948 -149.3170
92.500000 90.956 -149.8971
93.800003 90.963 -150.4743
95.000000 90.972 -150.9911
96.199997 90.983 -151.4833
97.500000 90.997 -152.0111
98.800003 91.012 -152.5478
100.000000 91.027 -153.0517
101.500000 91.046 -153.7076
103.000000 91.060 -154.3488
104.400002 91.066 -154.9197
106.000000 91.061 -155.5603
107.500000 91.049 -156.1296
109.000000 91.036 -156.6463
110.599998 91.020 -157.1539
112.000000 91.006 -157.5652
113.800003 90.990 -158.0500
115.000000 90.981 -158.3625
117.199997 90.965 -158.8922
118.000000 90.958 -159.0779
120.599998 90.943 -159.6469
122.000000 90.941 -159.9326
124.099998 90.932 -160.3036
125.000000 90.927 -160.4322
126.500000 90.922 -160.6249
128.000000 90.924 -160.8074
131.500000 90.942 -161.2958
132.000000 90.945 -161.3757
134.000000 90.959 -161.6906
136.000000 90.972 -161.9762
138.000000 90.987 -162.2494
140.000000 91.003 -162.5211
143.000000 91.032 -163.0054
145.000000 91.053 -163.3614
147.500000 91.076 -163.7982
150.000000 91.088 -164.2495
152.500000 91.093 -164.6773
155.000000 91.100 -165.0640
157.500000 91.111 -165.4215
160.000000 91.128 -165.7926
162.500000 91.147 -166.1796
165.000000 91.164 -166.6015
167.500000 91.174 -167.0685
170.000000 91.169 -167.5475
172.500000 91.156 -167.8986
175.000000 91.155 -168.1455
177.500000 91.162 -168.4301
180.000000 91.168 -168.7269
182.500000 91.173 -169.0512
185.000000 91.177 -169.3746
187.500000 91.183 -169.6733
190.000000 91.195 -169.9743
192.500000 91.207 -170.2843
195.000000 91.216 -170.6119
197.500000 91.222 -170.9557
200.000000 91.225 -171.3023
203.000000 91.226 -171.6956
206.000000 91.229 -172.0723
209.000000 91.231 -172.4492
212.000000 91.234 -172.8142
214.000000 91.236 -173.0843
218.000000 91.234 -173.6468
220.000000 91.229 -173.9180
224.000000 91.216 -174.4405
227.000000 91.203 -174.8085
230.000000 91.187 -175.1578
233.000000 91.168 -175.4911
236.000000 91.151 -175.8040
240.000000 91.134 -176.1814
243.000000 91.120 -176.4201
247.000000 91.103 -176.7515
250.000000 91.089 -177.0230
254.000000 91.066 -177.3527
258.000000 91.045 -177.6185
262.000000 91.034 -177.8391
265.000000 91.034 -178.0129
269.000000 91.038 -178.3054
272.000000 91.040 -178.5724
276.000000 91.038 -178.9805
280.000000 91.028 -179.3723
285.000000 91.013 -179.7721
290.000000 91.008 179.8127
295.000000 91.003 179.3191
300.000000 90.998 178.7816
304.000000 90.986 178.2860
307.000000 90.968 177.8978
311.000000 90.937 177.3810
315.000000 90.894 176.8583
320.000000 90.826 176.3117
325.000000 90.752 175.8417
330.000000 90.670 175.4747
335.000000 90.592 175.2064
340.000000 90.517 175.0135
345.000000 90.451 174.9021
350.000000 90.392 174.7800
355.000000 90.339 174.6875
360.000000 90.305 174.6094
365.000000 90.280 174.3853
370.000000 90.240 174.0106
375.000000 90.173 173.6260
382.000000 90.048 173.2337
387.000000 89.949 173.1348
395.000000 89.801 173.2117
400.000000 89.715 173.3816
406.000000 89.628 173.7071
412.000000 89.571 174.1046
418.000000 89.533 174.3950
425.000000 89.485 174.6357
431.000000 89.440 174.8399
437.000000 89.406 175.1533
444.000000 89.391 175.4892
450.000000 89.383 175.6313
455.000000 89.368 175.7094
462.000000 89.347 175.8506
468.000000 89.330 175.8683
475.000000 89.284 175.8649
482.000000 89.226 176.0581
487.000000 89.192 176.2795
494.000000 89.153 176.5944
500.000000 89.120 176.8622
508.000000 89.080 177.2958
515.000000 89.055 177.7508
522.000000 89.040 178.2658
530.000000 89.042 178.9059
538.000000 89.065 179.5069
545.000000 89.101 -179.9821
552.000000 89.140 -179.5563
560.000000 89.193 -178.9273
570.000000 89.329 -178.1703
580.000000 89.512 -177.9410
590.000000 89.672 -178.2756
600.000000 89.786 -178.8417
608.000000 89.848 -179.4271
615.000000 89.883 -179.9706
622.000000 89.885 179.3811
630.000000 89.821 178.7685
640.000000 89.690 178.7230
650.000000 89.620 179.5384
660.000000 89.669 -179.5545
670.000000 89.806 -178.9099
680.000000 89.990 -178.9260
690.000000 90.128 -179.5532
700.000000 90.200 179.7629
710.000000 90.239 179.2162
720.000000 90.281 178.8718
730.000000 90.345 178.3939
740.000000 90.381 177.7649
750.000000 90.404 177.2151
762.000000 90.428 176.5092
775.000000 90.417 175.7129
788.000000 90.395 175.2486
800.000000 90.404 174.8307
812.000000 90.415 174.2573
825.000000 90.415 173.6256
838.000000 90.411 172.9427
850.000000 90.393 172.2350
862.000000 90.348 171.5031
875.000000 90.255 170.8560
885.000000 90.185 170.8423
900.000000 90.208 170.8319
912.000000 90.230 170.1896
925.000000 90.217 169.5087
938.000000 90.211 168.7816
950.000000 90.193 167.7991
962.000000 90.108 166.6895
975.000000 89.978 165.8367
988.000000 89.849 165.0206
1000.000000 89.680 164.2518
1015.000000 89.435 164.0168
1030.000000 89.255 164.0403
1044.000000 89.092 164.1132
1060.000000 88.953 164.2077
1075.000000 88.801 163.9708
1090.000000 88.590 163.9385
1106.000000 88.346 164.3134
1120.000000 88.130 165.0140
1138.000000 87.927 166.8619
1150.000000 87.920 168.0810
1172.000000 87.907 168.6827
1180.000000 87.857 168.9182
1206.000000 87.726 170.5022
1220.000000 87.730 171.3595
1241.000000 87.719 171.8745
1250.000000 87.675 172.1365
1265.000000 87.601 172.9305
1280.000000 87.565 173.9122
1315.000000 87.536 176.1953
1320.000000 87.549 176.6374
1340.000000 87.676 177.9880
1360.000000 87.793 178.7319
1380.000000 87.905 179.2525
1400.000000 87.969 179.7707
1430.000000 88.139 -179.3528
1450.000000 88.231 -179.1240
1475.000000 88.339 -178.7961
1500.000000 88.451 -178.5488
1525.000000 88.534 -178.5487
1550.000000 88.587 -178.3587
1575.000000 88.656 -177.9897
1600.000000 88.716 -177.7413
1625.000000 88.791 -177.1995
1650.000000 88.884 -176.8131
1675.000000 88.987 -176.2187
1700.000000 89.159 -175.6828
1725.000000 89.344 -175.6139
1750.000000 89.509 -175.6740
1775.000000 89.675 -175.8335
1800.000000 89.840 -176.1466
1825.000000 89.994 -176.6729
1850.000000 90.122 -177.3439
1875.000000 90.199 -177.9886
1900.000000 90.303 -178.3419
1925.000000 90.409 -179.1904
1950.000000 90.428 179.8386
1975.000000 90.368 179.2885
2000.000000 90.307 179.7085
2030.000000 90.412 -179.2314
2060.000000 90.641 -178.8697
2090.000000 90.847 -179.1051
2120.000000 91.057 -179.0065
2140.000000 91.255 -179.1044
2180.000000 91.634 179.9006
2200.000000 91.824 179.3390
2240.000000 92.205 177.8816
2270.000000 92.571 176.6155
2300.000000 92.917 173.9968
2330.000000 93.069 171.1165
2360.000000 93.193 169.1149
2400.000000 93.475 166.1556
2430.000000 93.657 163.4771
2470.000000 93.888 159.7212
2500.000000 94.055 156.6818
2540.000000 94.321 152.3484
2580.000000 94.630 146.8461
2620.000000 94.882 140.1210
2650.000000 95.049 134.0764
2690.000000 95.049 124.3419
2720.000000 94.849 116.5518
2760.000000 94.312 105.8122
2800.000000 93.607 95.7030
2850.000000 92.782 80.8519
2900.000000 91.448 62.8620
2950.000000 89.576 43.4648
3000.000000 87.498 23.0680
3040.000000 86.171 4.8960
3070.000000 85.507 -9.8777
3110.000000 85.173 -29.6262
3150.000000 85.458 -47.3107
3200.000000 86.442 -65.2305
3250.000000 87.620 -79.2601
3300.000000 88.786 -89.9009
3350.000000 89.926 -98.2652
3400.000000 91.022 -105.2535
3450.000000 92.093 -111.3539
3500.000000 93.152 -117.0881
3550.000000 94.207 -122.7908
3600.000000 95.250 -128.8260
3650.000000 96.277 -135.3363
3700.000000 97.280 -142.7034
3750.000000 98.189 -151.1857
3820.000000 99.193 -164.7529
3870.000000 99.657 -175.4276
3950.000000 99.879 166.8445
4000.000000 99.734 155.7565
4060.000000 99.267 142.5118
4120.000000 98.442 129.6281
4180.000000 97.222 117.6703
4250.000000 95.286 106.1782
4310.000000 93.312 99.5667
4370.000000 91.240 96.2518
4440.000000 88.923 96.2542
4500.000000 87.204 98.5963
4550.000000 86.010 100.8861
4620.000000 84.445 103.0547
4680.000000 82.917 105.2157
4750.000000 80.859 109.5428
4820.000000 78.394 118.4234
4870.000000 76.602 133.0686
4940.000000 75.911 171.3585
5000.000000 77.810 -163.0501
5080.000000 80.962 -150.0332
5150.000000 83.406 -146.0535
5220.000000 85.552 -145.7175
5300.000000 87.633 -148.2448
5380.000000 89.450 -152.3274
5450.000000 90.990 -157.1063
5520.000000 92.467 -164.0483
