* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -23.0 dBFS with no timing reference
* Dated: Jan 8, 2025 8:44:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AT AD500X (ZUniHyP) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.385 -83.5199
20.600000 83.498 -84.1225
20.900000 83.625 -84.7677
21.200001 83.751 -85.4126
21.400000 83.835 -85.8430
21.799999 83.999 -86.7064
22.000000 84.078 -87.1384
22.400000 84.233 -87.9978
22.700001 84.345 -88.6347
23.000000 84.455 -89.2628
23.299999 84.562 -89.8812
23.600000 84.668 -90.4889
24.000000 84.809 -91.2797
24.299999 84.914 -91.8559
24.700001 85.053 -92.6000
25.000000 85.156 -93.1408
25.400000 85.289 -93.8425
25.799999 85.417 -94.5271
26.200001 85.539 -95.1982
26.500000 85.627 -95.6937
26.900000 85.741 -96.3440
27.200001 85.825 -96.8237
27.600000 85.937 -97.4512
28.000000 86.050 -98.0639
28.500000 86.192 -98.8127
29.000000 86.333 -99.5629
29.500000 86.470 -100.3456
30.000000 86.594 -101.1752
30.400000 86.685 -101.8608
30.700001 86.749 -102.3754
31.100000 86.832 -103.0494
31.500000 86.916 -103.7021
32.000000 87.026 -104.4844
32.500000 87.138 -105.2206
33.000000 87.252 -105.9001
33.500000 87.367 -106.5366
34.000000 87.481 -107.1719
34.500000 87.588 -107.8362
35.000000 87.685 -108.5156
35.500000 87.775 -109.1816
36.000000 87.868 -109.8419
36.500000 87.964 -110.5327
37.000000 88.056 -111.2534
37.500000 88.138 -111.9417
38.200001 88.250 -112.7541
38.700001 88.339 -113.2761
39.500000 88.479 -114.1869
40.000000 88.553 -114.7838
40.599998 88.635 -115.4554
41.200001 88.726 -116.1191
41.799999 88.820 -116.8566
42.500000 88.911 -117.7533
43.099998 88.975 -118.4355
43.700001 89.047 -119.0547
44.400002 89.144 -119.8347
45.000000 89.226 -120.5696
45.500000 89.288 -121.1650
46.200001 89.366 -121.9025
46.799999 89.429 -122.4755
47.500000 89.500 -123.1632
48.200001 89.568 -123.9057
48.700001 89.617 -124.4494
49.400002 89.691 -125.1873
50.000000 89.758 -125.7818
50.799999 89.847 -126.5584
51.500000 89.920 -127.2997
52.200001 89.984 -128.1346
53.000000 90.045 -129.1181
53.799999 90.097 -130.0084
54.500000 90.140 -130.7079
55.200001 90.178 -131.4033
56.000000 90.210 -132.2533
57.000000 90.236 -133.3632
58.000000 90.252 -134.3969
59.000000 90.255 -135.3512
60.000000 90.226 -136.2080
60.799999 90.182 -136.7074
61.500000 90.144 -136.9943
62.200001 90.110 -137.1884
63.000000 90.081 -137.3290
64.000000 90.066 -137.3946
65.000000 90.085 -137.3810
66.000000 90.132 -137.3587
67.000000 90.193 -137.3667
68.000000 90.260 -137.3499
69.000000 90.344 -137.2754
70.000000 90.453 -137.2665
71.000000 90.575 -137.4403
72.000000 90.700 -137.7731
73.000000 90.821 -138.2318
74.000000 90.928 -138.8202
75.000000 91.014 -139.4953
76.199997 91.094 -140.2821
77.500000 91.177 -140.8936
78.800003 91.296 -141.4571
80.000000 91.422 -142.2915
81.199997 91.524 -143.3349
82.500000 91.585 -144.4857
83.800003 91.605 -145.4375
85.000000 91.629 -146.0593
86.199997 91.680 -146.6240
87.500000 91.746 -147.4069
88.500000 91.788 -148.0924
90.000000 91.826 -149.1030
91.199997 91.844 -149.8716
92.500000 91.862 -150.6345
93.800003 91.880 -151.3381
95.000000 91.890 -151.9767
96.199997 91.900 -152.6039
97.500000 91.910 -153.2568
98.800003 91.918 -153.8833
100.000000 91.924 -154.4648
101.500000 91.934 -155.2058
103.000000 91.940 -155.9363
104.400002 91.941 -156.6111
106.000000 91.936 -157.3721
107.500000 91.921 -158.0598
109.000000 91.900 -158.7223
110.599998 91.875 -159.3802
112.000000 91.849 -159.9069
113.800003 91.809 -160.5249
115.000000 91.780 -160.9143
117.199997 91.728 -161.5501
118.000000 91.706 -161.7525
120.599998 91.636 -162.3354
122.000000 91.610 -162.5851
124.099998 91.571 -162.8485
125.000000 91.555 -162.9362
126.500000 91.535 -163.0422
128.000000 91.526 -163.1243
131.500000 91.539 -163.3678
132.000000 91.543 -163.4161
134.000000 91.560 -163.6495
136.000000 91.579 -163.9547
138.000000 91.598 -164.3313
140.000000 91.611 -164.7188
143.000000 91.612 -165.2813
145.000000 91.609 -165.6330
147.500000 91.602 -166.0743
150.000000 91.590 -166.4591
152.500000 91.577 -166.7861
155.000000 91.568 -167.0802
157.500000 91.568 -167.3301
160.000000 91.574 -167.5631
162.500000 91.582 -167.8288
165.000000 91.590 -168.1181
167.500000 91.598 -168.4080
170.000000 91.605 -168.7157
172.500000 91.611 -169.0359
175.000000 91.616 -169.3591
177.500000 91.619 -169.6801
180.000000 91.621 -169.9800
182.500000 91.634 -170.3396
185.000000 91.662 -170.7287
187.500000 91.671 -170.9176
190.000000 91.645 -171.1170
192.500000 91.620 -171.4740
195.000000 91.605 -171.8026
197.500000 91.593 -172.0737
200.000000 91.582 -172.2921
203.000000 91.568 -172.5154
206.000000 91.560 -172.6841
209.000000 91.563 -172.8339
212.000000 91.574 -173.0313
214.000000 91.582 -173.1998
218.000000 91.592 -173.5631
220.000000 91.594 -173.7593
224.000000 91.599 -174.1429
227.000000 91.601 -174.3947
230.000000 91.607 -174.6468
233.000000 91.611 -174.9194
236.000000 91.614 -175.2098
240.000000 91.617 -175.6117
243.000000 91.619 -175.8997
247.000000 91.622 -176.3259
250.000000 91.621 -176.6687
254.000000 91.612 -177.1067
258.000000 91.594 -177.5244
262.000000 91.569 -177.9183
265.000000 91.548 -178.1998
269.000000 91.517 -178.5519
272.000000 91.490 -178.7583
276.000000 91.451 -178.9782
280.000000 91.414 -179.1152
285.000000 91.375 -179.1681
290.000000 91.364 -179.1190
295.000000 91.387 -179.0344
300.000000 91.443 -179.1133
304.000000 91.495 -179.4027
307.000000 91.528 -179.7197
311.000000 91.557 179.7330
315.000000 91.561 179.1050
320.000000 91.544 178.4459
325.000000 91.521 177.7992
330.000000 91.487 177.1898
335.000000 91.439 176.5991
340.000000 91.364 176.0430
345.000000 91.277 175.6611
350.000000 91.193 175.4772
355.000000 91.125 175.4576
360.000000 91.090 175.4667
365.000000 91.072 175.3224
370.000000 91.044 175.0370
375.000000 90.994 174.7621
382.000000 90.902 174.5916
387.000000 90.849 174.6628
395.000000 90.803 174.7682
400.000000 90.792 174.8459
406.000000 90.795 174.8559
412.000000 90.805 174.7827
418.000000 90.818 174.5530
425.000000 90.810 174.1285
431.000000 90.783 173.7665
437.000000 90.749 173.4684
444.000000 90.712 173.1140
450.000000 90.673 172.7660
455.000000 90.627 172.4785
462.000000 90.554 172.2335
468.000000 90.499 172.1022
475.000000 90.431 171.9300
482.000000 90.364 171.8397
487.000000 90.320 171.8160
494.000000 90.263 171.7747
500.000000 90.219 171.7318
508.000000 90.159 171.6902
515.000000 90.098 171.6785
522.000000 90.040 171.7524
530.000000 89.991 171.8363
538.000000 89.946 171.9043
545.000000 89.918 171.9505
552.000000 89.894 171.7675
560.000000 89.834 171.3212
570.000000 89.635 170.8317
580.000000 89.398 171.8298
590.000000 89.353 173.3490
600.000000 89.407 174.1832
608.000000 89.453 174.3641
615.000000 89.465 174.2517
622.000000 89.428 174.0334
630.000000 89.319 173.9692
640.000000 89.138 174.8303
650.000000 89.076 176.8453
660.000000 89.239 178.6613
670.000000 89.497 179.2133
680.000000 89.691 178.8348
690.000000 89.787 178.1600
700.000000 89.809 177.5830
710.000000 89.795 177.3212
720.000000 89.783 177.3161
730.000000 89.797 177.3522
740.000000 89.808 177.2869
750.000000 89.800 177.3109
762.000000 89.805 177.6130
775.000000 89.852 177.9213
788.000000 89.935 178.1797
800.000000 90.031 178.2374
812.000000 90.147 178.2451
825.000000 90.294 177.8553
838.000000 90.426 177.1311
850.000000 90.521 176.1194
862.000000 90.557 174.8546
875.000000 90.493 173.4145
885.000000 90.381 172.8513
900.000000 90.293 172.6547
912.000000 90.260 172.4051
925.000000 90.245 172.1005
938.000000 90.241 171.5726
950.000000 90.224 170.9337
962.000000 90.175 170.2224
975.000000 90.101 169.5248
988.000000 89.999 168.7547
1000.000000 89.843 168.2027
1015.000000 89.676 168.4238
1030.000000 89.590 168.3070
1044.000000 89.482 168.2254
1060.000000 89.381 168.0903
1075.000000 89.244 167.7533
1090.000000 89.050 167.8271
1106.000000 88.896 168.5237
1120.000000 88.805 168.9174
1138.000000 88.685 169.4597
1150.000000 88.604 169.7847
1172.000000 88.467 170.6193
1180.000000 88.426 170.8889
1206.000000 88.254 171.8115
1220.000000 88.149 172.6610
1241.000000 88.025 174.4012
1250.000000 88.002 175.3691
1265.000000 88.041 177.0652
1280.000000 88.183 178.5641
1315.000000 88.580 178.9890
1320.000000 88.608 178.8618
1340.000000 88.621 178.2629
1360.000000 88.502 178.5415
1380.000000 88.464 -179.8257
1400.000000 88.650 -178.3102
1430.000000 89.017 -178.1152
1450.000000 89.166 -178.8112
1475.000000 89.194 -179.6288
1500.000000 89.222 -179.4498
1525.000000 89.362 -179.7589
1550.000000 89.379 179.0816
1575.000000 89.264 178.5901
1600.000000 89.169 179.0666
1625.000000 89.173 179.7889
1650.000000 89.259 -179.7936
1675.000000 89.337 -179.9560
1700.000000 89.350 179.8101
1725.000000 89.353 179.6376
1750.000000 89.292 179.4510
1775.000000 89.213 179.9365
1800.000000 89.226 -179.1605
1825.000000 89.307 -178.7122
1850.000000 89.355 -178.7596
1875.000000 89.329 -178.4937
1900.000000 89.376 -177.6898
1925.000000 89.466 -177.6478
1950.000000 89.428 -177.8218
1975.000000 89.312 -176.9387
2000.000000 89.320 -174.6592
2030.000000 89.708 -172.1910
2060.000000 90.172 -172.5004
2090.000000 90.360 -173.6467
2120.000000 90.477 -173.6729
2140.000000 90.596 -173.7045
2180.000000 90.783 -173.6602
2200.000000 90.929 -173.2851
2240.000000 91.285 -173.2847
2270.000000 91.561 -173.2771
2300.000000 91.920 -173.4220
2330.000000 92.330 -174.1738
2360.000000 92.762 -175.5502
2400.000000 93.257 -178.7275
2430.000000 93.475 178.5113
2470.000000 93.688 175.5905
2500.000000 93.895 173.5463
2540.000000 94.191 170.4119
2580.000000 94.519 167.0287
2620.000000 94.866 162.8852
2650.000000 95.148 159.4089
2690.000000 95.526 153.5344
2720.000000 95.752 148.4030
2760.000000 96.023 140.5454
2800.000000 96.171 130.9615
2850.000000 96.035 116.9326
2900.000000 95.467 101.4619
2950.000000 94.641 84.2543
3000.000000 93.328 64.0660
3040.000000 91.844 46.7997
3070.000000 90.600 33.1520
3110.000000 88.947 13.7495
3150.000000 87.598 -7.2905
3200.000000 86.622 -34.1494
3250.000000 86.547 -57.2021
3300.000000 87.137 -74.6160
3350.000000 88.029 -87.4689
3400.000000 88.921 -97.3884
3450.000000 89.753 -104.8828
3500.000000 90.577 -110.7555
3550.000000 91.392 -115.7024
3600.000000 92.216 -120.2524
3650.000000 93.023 -124.8428
3700.000000 93.802 -129.5846
3750.000000 94.536 -134.7389
3820.000000 95.432 -142.9507
3870.000000 95.895 -149.5435
3950.000000 96.189 -160.2147
4000.000000 96.145 -166.1544
4060.000000 95.955 -172.2141
4120.000000 95.689 -177.2471
4180.000000 95.373 178.5718
4250.000000 94.976 174.8704
4310.000000 94.658 172.4904
4370.000000 94.384 170.4709
4440.000000 94.038 168.3706
4500.000000 93.701 167.3015
4550.000000 93.431 167.1004
4620.000000 93.128 167.7390
4680.000000 92.966 169.1512
4750.000000 92.997 171.7888
4820.000000 93.367 174.4387
4870.000000 93.796 175.7447
4940.000000 94.606 176.6310
5000.000000 95.468 175.8882
5080.000000 96.698 172.1944
5150.000000 97.716 166.5223
5220.000000 98.639 158.8712
5300.000000 99.478 147.1525
5380.000000 99.743 132.5654
5450.000000 99.328 119.3973
5520.000000 98.424 107.5045
