* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -23.0 dBFS with no timing reference
* Dated: Jan 8, 2025 9:45:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AT AD500X (ZUniHyS) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.324 -92.3945
20.600000 88.422 -93.0856
20.900000 88.530 -93.8409
21.200001 88.637 -94.6077
21.400000 88.708 -95.1212
21.799999 88.847 -96.1418
22.000000 88.915 -96.6422
22.400000 89.049 -97.6111
22.700001 89.149 -98.3088
23.000000 89.248 -98.9886
23.299999 89.346 -99.6605
23.600000 89.442 -100.3330
24.000000 89.565 -101.2350
24.299999 89.652 -101.9110
24.700001 89.764 -102.8001
25.000000 89.846 -103.4518
25.400000 89.952 -104.2990
25.799999 90.057 -105.1237
26.200001 90.159 -105.9291
26.500000 90.234 -106.5226
26.900000 90.332 -107.3077
27.200001 90.405 -107.8999
27.600000 90.500 -108.7031
28.000000 90.589 -109.5147
28.500000 90.688 -110.4908
29.000000 90.779 -111.3569
29.500000 90.875 -112.1122
30.000000 90.983 -112.8533
30.400000 91.072 -113.5040
30.700001 91.134 -114.0324
31.100000 91.207 -114.7613
31.500000 91.272 -115.4737
32.000000 91.351 -116.3085
32.500000 91.440 -117.1208
33.000000 91.532 -117.9676
33.500000 91.614 -118.8314
34.000000 91.682 -119.6339
34.500000 91.746 -120.3353
35.000000 91.816 -120.9873
35.500000 91.891 -121.6703
36.000000 91.957 -122.4014
36.500000 92.010 -123.1223
37.000000 92.057 -123.7729
37.500000 92.110 -124.3547
38.200001 92.205 -125.1610
38.700001 92.278 -125.7922
39.500000 92.382 -126.8791
40.000000 92.431 -127.5595
40.599998 92.478 -128.3476
41.200001 92.521 -129.1077
41.799999 92.568 -129.8494
42.500000 92.633 -130.6807
43.099998 92.696 -131.3412
43.700001 92.761 -131.9527
44.400002 92.829 -132.6377
45.000000 92.875 -133.2195
45.500000 92.910 -133.6989
46.200001 92.966 -134.3837
46.799999 93.028 -135.0398
47.500000 93.099 -135.9156
48.200001 93.149 -136.8099
48.700001 93.174 -137.3869
49.400002 93.207 -138.1051
50.000000 93.239 -138.7030
50.799999 93.278 -139.5372
51.500000 93.300 -140.2649
52.200001 93.311 -140.9499
53.000000 93.317 -141.6730
53.799999 93.324 -142.3432
54.500000 93.334 -142.9140
55.200001 93.344 -143.4853
56.000000 93.350 -144.1036
57.000000 93.361 -144.7796
58.000000 93.385 -145.4003
59.000000 93.418 -146.0185
60.000000 93.450 -146.6624
60.799999 93.465 -147.1950
61.500000 93.468 -147.6465
62.200001 93.465 -148.0509
63.000000 93.460 -148.4198
64.000000 93.466 -148.7352
65.000000 93.495 -148.9854
66.000000 93.545 -149.3012
67.000000 93.604 -149.7475
68.000000 93.662 -150.3283
69.000000 93.707 -150.9847
70.000000 93.734 -151.6297
71.000000 93.749 -152.2323
72.000000 93.755 -152.7756
73.000000 93.756 -153.2148
74.000000 93.762 -153.5253
75.000000 93.787 -153.7622
76.199997 93.850 -154.1780
77.500000 93.913 -154.9630
78.800003 93.926 -155.7782
80.000000 93.915 -156.2771
81.199997 93.915 -156.5832
82.500000 93.950 -156.8406
83.800003 94.017 -157.1982
85.000000 94.087 -157.7056
86.199997 94.150 -158.4009
87.500000 94.189 -159.2815
88.500000 94.197 -159.9423
90.000000 94.184 -160.7967
91.199997 94.168 -161.3362
92.500000 94.155 -161.8207
93.800003 94.151 -162.2517
95.000000 94.158 -162.6112
96.199997 94.173 -162.9383
97.500000 94.195 -163.3252
98.800003 94.219 -163.7807
100.000000 94.242 -164.2576
101.500000 94.267 -164.9136
103.000000 94.283 -165.6243
104.400002 94.287 -166.3107
106.000000 94.275 -167.0938
107.500000 94.251 -167.7929
109.000000 94.216 -168.4319
110.599998 94.169 -169.0106
112.000000 94.123 -169.4257
113.800003 94.064 -169.8716
115.000000 94.029 -170.1162
117.199997 93.973 -170.4562
118.000000 93.954 -170.5523
120.599998 93.908 -170.7641
122.000000 93.900 -170.8387
124.099998 93.901 -170.9791
125.000000 93.905 -171.0616
126.500000 93.914 -171.2333
128.000000 93.924 -171.4248
131.500000 93.943 -171.9043
132.000000 93.945 -171.9743
134.000000 93.956 -172.2630
136.000000 93.967 -172.5458
138.000000 93.980 -172.8112
140.000000 93.998 -173.0989
143.000000 94.034 -173.5820
145.000000 94.058 -173.9480
147.500000 94.084 -174.4582
150.000000 94.105 -175.0248
152.500000 94.117 -175.5998
155.000000 94.121 -176.1762
157.500000 94.120 -176.7239
160.000000 94.116 -177.2408
162.500000 94.109 -177.7375
165.000000 94.099 -178.2055
167.500000 94.092 -178.6443
170.000000 94.091 -179.0738
172.500000 94.091 -179.5420
175.000000 94.087 179.9366
177.500000 94.077 179.4019
180.000000 94.061 178.8676
182.500000 94.037 178.3286
185.000000 94.001 177.8238
187.500000 93.955 177.3993
190.000000 93.910 177.0979
192.500000 93.877 176.8784
195.000000 93.860 176.6595
197.500000 93.852 176.3968
200.000000 93.847 176.0663
203.000000 93.834 175.6057
206.000000 93.814 175.1316
209.000000 93.787 174.6903
212.000000 93.760 174.2769
214.000000 93.742 173.9952
218.000000 93.700 173.4210
220.000000 93.676 173.1369
224.000000 93.621 172.5806
227.000000 93.572 172.1884
230.000000 93.517 171.8582
233.000000 93.461 171.6235
236.000000 93.415 171.4657
240.000000 93.373 171.2771
243.000000 93.350 171.1103
247.000000 93.324 170.7725
250.000000 93.297 170.4509
254.000000 93.246 170.0789
258.000000 93.193 169.8225
262.000000 93.153 169.6015
265.000000 93.127 169.4078
269.000000 93.091 169.0962
272.000000 93.059 168.8438
276.000000 93.007 168.5084
280.000000 92.947 168.2524
285.000000 92.875 168.0842
290.000000 92.820 167.9904
295.000000 92.783 167.9002
300.000000 92.768 167.7083
304.000000 92.753 167.3951
307.000000 92.730 167.1203
311.000000 92.684 166.7694
315.000000 92.622 166.4964
320.000000 92.543 166.3322
325.000000 92.473 166.2219
330.000000 92.408 166.1627
335.000000 92.349 166.1763
340.000000 92.302 166.2682
345.000000 92.271 166.3614
350.000000 92.252 166.3739
355.000000 92.239 166.3565
360.000000 92.235 166.3074
365.000000 92.233 166.1365
370.000000 92.217 165.8951
375.000000 92.187 165.6772
382.000000 92.138 165.5103
387.000000 92.114 165.4796
395.000000 92.101 165.3421
400.000000 92.096 165.1870
406.000000 92.090 164.9559
412.000000 92.086 164.6886
418.000000 92.082 164.3056
425.000000 92.052 163.7425
431.000000 92.008 163.3458
437.000000 91.973 163.0259
444.000000 91.936 162.5698
450.000000 91.895 162.1203
455.000000 91.852 161.7424
462.000000 91.789 161.2303
468.000000 91.728 160.7415
475.000000 91.632 160.1562
482.000000 91.518 159.6860
487.000000 91.433 159.3878
494.000000 91.303 159.0177
500.000000 91.184 158.7998
508.000000 91.019 158.5668
515.000000 90.855 158.4622
522.000000 90.678 158.5777
530.000000 90.488 159.0430
538.000000 90.327 159.7073
545.000000 90.210 160.3563
552.000000 90.098 160.9836
560.000000 89.977 161.9507
570.000000 89.892 163.4203
580.000000 89.886 164.8255
590.000000 89.931 165.8972
600.000000 89.991 166.7116
608.000000 90.050 167.1616
615.000000 90.090 167.3473
622.000000 90.099 167.4323
630.000000 90.065 167.7175
640.000000 90.043 168.7227
650.000000 90.109 169.8810
660.000000 90.253 170.9286
670.000000 90.476 171.5068
680.000000 90.695 171.2607
690.000000 90.847 170.6418
700.000000 90.951 170.0074
710.000000 91.026 169.3983
720.000000 91.094 168.8219
730.000000 91.156 168.1381
740.000000 91.192 167.3134
750.000000 91.187 166.4965
762.000000 91.144 165.7922
775.000000 91.108 165.3862
788.000000 91.109 165.0464
800.000000 91.115 164.5485
812.000000 91.118 164.1030
825.000000 91.136 163.5321
838.000000 91.150 162.7498
850.000000 91.141 161.8701
862.000000 91.096 160.8414
875.000000 90.966 159.7994
885.000000 90.835 159.5382
900.000000 90.737 159.6248
912.000000 90.713 159.4506
925.000000 90.693 159.0367
938.000000 90.666 158.4487
950.000000 90.623 157.6931
962.000000 90.530 156.9213
975.000000 90.417 156.3843
988.000000 90.306 155.6506
1000.000000 90.137 155.0574
1015.000000 89.938 155.0947
1030.000000 89.787 154.9153
1044.000000 89.611 154.8766
1060.000000 89.470 155.2438
1075.000000 89.378 155.2089
1090.000000 89.216 155.1464
1106.000000 89.062 155.4702
1120.000000 88.914 155.7277
1138.000000 88.719 156.7566
1150.000000 88.650 157.3843
1172.000000 88.567 158.1361
1180.000000 88.531 158.2501
1206.000000 88.377 158.9066
1220.000000 88.287 159.2739
1241.000000 88.124 160.3823
1250.000000 88.085 161.0552
1265.000000 88.056 162.1024
1280.000000 88.066 163.3064
1315.000000 88.253 165.3426
1320.000000 88.295 165.3420
1340.000000 88.429 164.7968
1360.000000 88.558 164.7433
1380.000000 88.508 164.6770
1400.000000 88.385 165.5338
1430.000000 88.463 166.3568
1450.000000 88.540 166.1332
1475.000000 88.535 165.6491
1500.000000 88.493 165.5963
1525.000000 88.523 165.7069
1550.000000 88.541 165.3295
1575.000000 88.500 164.7119
1600.000000 88.371 164.2571
1625.000000 88.230 164.5284
1650.000000 88.135 164.8918
1675.000000 88.035 165.4532
1700.000000 87.993 166.1550
1725.000000 87.954 166.6148
1750.000000 87.930 167.3240
1775.000000 87.945 167.7243
1800.000000 87.919 167.9343
1825.000000 87.866 168.2094
1850.000000 87.787 168.7058
1875.000000 87.723 169.6326
1900.000000 87.710 170.6112
1925.000000 87.728 171.5040
1950.000000 87.738 172.0781
1975.000000 87.659 172.8722
2000.000000 87.611 174.9059
2030.000000 87.812 177.5555
2060.000000 88.120 179.0280
2090.000000 88.419 179.9169
2120.000000 88.708 -179.2952
2140.000000 88.930 -178.7565
2180.000000 89.456 -178.1429
2200.000000 89.767 -178.1373
2240.000000 90.414 -179.3707
2270.000000 90.858 178.5266
2300.000000 91.111 175.6242
2330.000000 91.201 173.4102
2360.000000 91.310 172.0209
2400.000000 91.578 170.2319
2430.000000 91.809 168.5696
2470.000000 92.152 166.1133
2500.000000 92.464 163.9782
2540.000000 92.946 160.1292
2580.000000 93.407 154.9385
2620.000000 93.841 148.5838
2650.000000 94.150 142.7043
2690.000000 94.411 132.9916
2720.000000 94.411 124.5794
2760.000000 94.076 112.4349
2800.000000 93.358 100.4992
2850.000000 92.396 85.5803
2900.000000 91.178 67.5875
2950.000000 89.530 48.0289
3000.000000 87.807 26.2206
3040.000000 86.612 7.1927
3070.000000 85.996 -7.7094
3110.000000 85.633 -26.9374
3150.000000 85.854 -43.8185
3200.000000 86.682 -61.1058
3250.000000 87.726 -74.5266
3300.000000 88.815 -84.9447
3350.000000 89.867 -93.4583
3400.000000 90.835 -100.5980
3450.000000 91.764 -106.5558
3500.000000 92.706 -111.8905
3550.000000 93.660 -117.0931
3600.000000 94.609 -122.5428
3650.000000 95.543 -128.3549
3700.000000 96.440 -134.8579
3750.000000 97.262 -142.0601
3820.000000 98.218 -153.4919
3870.000000 98.708 -162.4325
3950.000000 99.099 -177.5360
4000.000000 99.086 172.8076
4060.000000 98.787 161.3404
4120.000000 98.171 150.3824
4180.000000 97.232 140.4420
4250.000000 95.756 131.0822
4310.000000 94.272 125.7905
4370.000000 92.746 123.3309
4440.000000 91.169 123.6453
4500.000000 90.132 125.0068
4550.000000 89.430 125.8522
4620.000000 88.436 126.4697
4680.000000 87.474 127.6401
4750.000000 86.274 130.5878
4820.000000 85.060 136.1298
4870.000000 84.316 142.4157
4940.000000 83.784 153.9005
5000.000000 83.942 163.6338
5080.000000 84.665 173.4232
5150.000000 85.511 179.9608
5220.000000 86.549 -174.8553
5300.000000 87.951 -170.9976
5380.000000 89.564 -169.4086
5450.000000 91.164 -170.5563
5520.000000 92.793 -175.2076
5600.000000 94.361 174.9427
5700.000000 95.455 157.8137
5800.000000 95.402 138.8141
5900.000000 94.251 121.0597
