* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -23.0 dBFS with no timing reference
* Dated: Jan 8, 2025 9:51:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AT AD500X (ZUniHyS) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.713 -93.6580
20.600000 89.809 -94.3363
20.900000 89.916 -95.0632
21.200001 90.024 -95.7951
21.400000 90.096 -96.2885
21.799999 90.238 -97.2901
22.000000 90.308 -97.7949
22.400000 90.442 -98.7959
22.700001 90.538 -99.5269
23.000000 90.631 -100.2359
23.299999 90.722 -100.9255
23.600000 90.812 -101.6028
24.000000 90.927 -102.4986
24.299999 91.011 -103.1681
24.700001 91.118 -104.0522
25.000000 91.197 -104.7015
25.400000 91.303 -105.5410
25.799999 91.410 -106.3521
26.200001 91.520 -107.1449
26.500000 91.603 -107.7335
26.900000 91.707 -108.5120
27.200001 91.780 -109.0875
27.600000 91.867 -109.8356
28.000000 91.943 -110.5572
28.500000 92.032 -111.4343
29.000000 92.121 -112.3223
29.500000 92.218 -113.2620
30.000000 92.322 -114.2531
30.400000 92.406 -115.0481
30.700001 92.467 -115.6199
31.100000 92.547 -116.3263
31.500000 92.624 -116.9630
32.000000 92.715 -117.6907
32.500000 92.800 -118.4005
33.000000 92.876 -119.1357
33.500000 92.947 -119.9009
34.000000 93.016 -120.6774
34.500000 93.087 -121.4404
35.000000 93.157 -122.1631
35.500000 93.224 -122.8276
36.000000 93.290 -123.4452
36.500000 93.358 -124.0610
37.000000 93.427 -124.7215
37.500000 93.497 -125.4365
38.200001 93.591 -126.4707
38.700001 93.655 -127.1882
39.500000 93.744 -128.2759
40.000000 93.791 -128.9341
40.599998 93.846 -129.7406
41.200001 93.903 -130.5980
41.799999 93.958 -131.4756
42.500000 94.011 -132.3972
43.099998 94.046 -133.0280
43.700001 94.074 -133.5473
44.400002 94.108 -134.1361
45.000000 94.145 -134.7180
45.500000 94.183 -135.2681
46.200001 94.243 -136.0569
46.799999 94.302 -136.6712
47.500000 94.375 -137.3304
48.200001 94.438 -138.0044
48.700001 94.474 -138.4942
49.400002 94.522 -139.1853
50.000000 94.572 -139.8348
50.799999 94.635 -140.8222
51.500000 94.669 -141.6794
52.200001 94.691 -142.4338
53.000000 94.711 -143.2377
53.799999 94.722 -144.0708
54.500000 94.717 -144.8006
55.200001 94.703 -145.4492
56.000000 94.694 -146.0481
57.000000 94.704 -146.7105
58.000000 94.714 -147.3594
59.000000 94.724 -147.9946
60.000000 94.731 -148.6584
60.799999 94.739 -149.1640
61.500000 94.749 -149.6059
62.200001 94.752 -150.0473
63.000000 94.744 -150.4832
64.000000 94.740 -150.9210
65.000000 94.751 -151.3290
66.000000 94.775 -151.6776
67.000000 94.813 -152.0456
68.000000 94.847 -152.5547
69.000000 94.867 -153.1506
70.000000 94.876 -153.6974
71.000000 94.878 -154.1216
72.000000 94.884 -154.4082
73.000000 94.920 -154.6613
74.000000 94.986 -155.0732
75.000000 95.049 -155.7193
76.199997 95.082 -156.7153
77.500000 95.056 -157.8016
78.800003 94.988 -158.5816
80.000000 94.920 -158.9118
81.199997 94.875 -159.0062
82.500000 94.866 -159.0035
83.800003 94.902 -159.0161
85.000000 94.964 -159.2120
86.199997 95.036 -159.6341
87.500000 95.101 -160.3481
88.500000 95.123 -161.0042
90.000000 95.106 -161.9503
91.199997 95.060 -162.5671
92.500000 94.998 -163.0139
93.800003 94.942 -163.2737
95.000000 94.898 -163.3895
96.199997 94.862 -163.3679
97.500000 94.846 -163.2240
98.800003 94.860 -163.0649
100.000000 94.891 -162.9925
101.500000 94.936 -162.9914
103.000000 94.992 -163.0467
104.400002 95.052 -163.1630
106.000000 95.125 -163.3750
107.500000 95.192 -163.6496
109.000000 95.257 -163.9679
110.599998 95.329 -164.3487
112.000000 95.394 -164.7445
113.800003 95.471 -165.3802
115.000000 95.514 -165.8851
117.199997 95.565 -166.8609
118.000000 95.576 -167.2113
120.599998 95.580 -168.2181
122.000000 95.570 -168.5787
124.099998 95.556 -169.0309
125.000000 95.552 -169.2134
126.500000 95.550 -169.4905
128.000000 95.559 -169.7415
131.500000 95.619 -170.3146
132.000000 95.631 -170.4023
134.000000 95.682 -170.8289
136.000000 95.731 -171.3173
138.000000 95.776 -171.8879
140.000000 95.816 -172.5022
143.000000 95.862 -173.3822
145.000000 95.887 -173.9830
147.500000 95.913 -174.7481
150.000000 95.936 -175.5332
152.500000 95.957 -176.3415
155.000000 95.964 -177.1204
157.500000 95.964 -177.9000
160.000000 95.956 -178.6978
162.500000 95.941 -179.4560
165.000000 95.922 179.8566
167.500000 95.902 179.1985
170.000000 95.882 178.5421
172.500000 95.854 177.8895
175.000000 95.820 177.3441
177.500000 95.798 176.9310
180.000000 95.796 176.4742
182.500000 95.793 175.8962
185.000000 95.782 175.2889
187.500000 95.767 174.6710
190.000000 95.747 174.0528
192.500000 95.723 173.4453
195.000000 95.697 172.8458
197.500000 95.668 172.2747
200.000000 95.634 171.7212
203.000000 95.587 171.0608
206.000000 95.542 170.4081
209.000000 95.499 169.8105
212.000000 95.460 169.2320
214.000000 95.433 168.8392
218.000000 95.363 168.0512
220.000000 95.327 167.6599
224.000000 95.257 166.8866
227.000000 95.202 166.2883
230.000000 95.140 165.6847
233.000000 95.070 165.0866
236.000000 94.987 164.5178
240.000000 94.861 163.8817
243.000000 94.769 163.4512
247.000000 94.644 162.9955
250.000000 94.549 162.7579
254.000000 94.435 162.5877
258.000000 94.345 162.4701
262.000000 94.267 162.2751
265.000000 94.212 162.0849
269.000000 94.135 161.7740
272.000000 94.069 161.5399
276.000000 93.970 161.2938
280.000000 93.869 161.1754
285.000000 93.753 161.1302
290.000000 93.645 161.1544
295.000000 93.560 161.3369
300.000000 93.509 161.5303
304.000000 93.486 161.5607
307.000000 93.470 161.4980
311.000000 93.449 161.3032
315.000000 93.420 161.0194
320.000000 93.361 160.6459
325.000000 93.279 160.2879
330.000000 93.186 160.0462
335.000000 93.092 159.9194
340.000000 92.992 159.8568
345.000000 92.902 159.9155
350.000000 92.826 160.0245
355.000000 92.756 160.1695
360.000000 92.694 160.3415
365.000000 92.647 160.5174
370.000000 92.616 160.6705
375.000000 92.594 160.7509
382.000000 92.564 160.6518
387.000000 92.533 160.5189
395.000000 92.466 160.4044
400.000000 92.419 160.3672
406.000000 92.368 160.2760
412.000000 92.309 160.1174
418.000000 92.231 160.0476
425.000000 92.141 160.1560
431.000000 92.082 160.3223
437.000000 92.035 160.4536
444.000000 91.979 160.6455
450.000000 91.950 160.8942
455.000000 91.944 161.0425
462.000000 91.938 161.0798
468.000000 91.920 161.0088
475.000000 91.889 160.8939
482.000000 91.855 160.8069
487.000000 91.837 160.7285
494.000000 91.809 160.5639
500.000000 91.775 160.3695
508.000000 91.710 160.0475
515.000000 91.631 159.7996
522.000000 91.527 159.7581
530.000000 91.422 160.0256
538.000000 91.358 160.2220
545.000000 91.291 160.1463
552.000000 91.172 160.1126
560.000000 90.999 160.7567
570.000000 90.915 162.4880
580.000000 91.009 163.6883
590.000000 91.137 164.0252
600.000000 91.219 163.7420
608.000000 91.233 163.3393
615.000000 91.202 162.9058
622.000000 91.108 162.5397
630.000000 90.940 162.8413
640.000000 90.850 164.6445
650.000000 90.994 166.0815
660.000000 91.187 166.2576
670.000000 91.312 165.8365
680.000000 91.365 165.4058
690.000000 91.395 165.2299
700.000000 91.444 165.1145
710.000000 91.503 164.7966
720.000000 91.544 164.3907
730.000000 91.574 164.0208
740.000000 91.603 163.5964
750.000000 91.621 163.1443
762.000000 91.642 162.6100
775.000000 91.660 161.9348
788.000000 91.686 161.2319
800.000000 91.702 160.3470
812.000000 91.691 159.2987
825.000000 91.646 158.0760
838.000000 91.553 156.7815
850.000000 91.413 155.6411
862.000000 91.225 154.7050
875.000000 90.991 154.0136
885.000000 90.800 153.8125
900.000000 90.543 154.0348
912.000000 90.375 154.3184
925.000000 90.208 154.6845
938.000000 90.069 155.3819
950.000000 89.994 155.9655
962.000000 89.931 156.2147
975.000000 89.847 156.3663
988.000000 89.746 156.5043
1000.000000 89.611 156.7006
1015.000000 89.435 157.6536
1030.000000 89.358 158.7827
1044.000000 89.314 159.7524
1060.000000 89.306 160.9749
1075.000000 89.390 161.9816
1090.000000 89.522 162.2144
1106.000000 89.602 161.7097
1120.000000 89.558 161.0332
1138.000000 89.395 161.0609
1150.000000 89.318 161.6016
1172.000000 89.278 162.6544
1180.000000 89.285 163.0291
1206.000000 89.390 163.6341
1220.000000 89.395 163.4650
1241.000000 89.338 163.7563
1250.000000 89.328 164.0899
1265.000000 89.355 164.8087
1280.000000 89.454 165.4133
1315.000000 89.760 165.1131
1320.000000 89.797 164.9036
1340.000000 89.896 163.6721
1360.000000 89.884 162.3702
1380.000000 89.773 161.1383
1400.000000 89.595 160.6108
1430.000000 89.438 160.7634
1450.000000 89.385 160.4015
1475.000000 89.197 159.9210
1500.000000 89.023 160.6512
1525.000000 89.031 161.0185
1550.000000 88.930 160.2984
1575.000000 88.720 160.4749
1600.000000 88.589 161.2186
1625.000000 88.510 161.7615
1650.000000 88.430 162.1866
1675.000000 88.344 162.7291
1700.000000 88.291 163.3358
1725.000000 88.246 163.5845
1750.000000 88.129 163.7420
1775.000000 87.984 164.5971
1800.000000 87.929 165.8047
1825.000000 87.922 166.5700
1850.000000 87.872 167.1802
1875.000000 87.808 168.1557
1900.000000 87.788 169.3372
1925.000000 87.822 170.3859
1950.000000 87.843 171.1528
1975.000000 87.837 172.1929
2000.000000 87.890 173.8581
2030.000000 88.184 175.4675
2060.000000 88.433 174.8366
2090.000000 88.421 174.1840
2120.000000 88.339 174.7065
2140.000000 88.311 175.3967
2180.000000 88.262 177.6221
2200.000000 88.333 179.4753
2240.000000 88.793 -177.1779
2270.000000 89.302 -175.8388
2300.000000 89.857 -175.4221
2330.000000 90.507 -175.9157
2360.000000 91.108 -178.5938
2400.000000 91.410 176.4851
2430.000000 91.414 173.8523
2470.000000 91.379 171.5581
2500.000000 91.378 170.7394
2540.000000 91.585 169.9316
2580.000000 91.815 168.2195
2620.000000 92.154 166.9783
2650.000000 92.529 164.9833
2690.000000 92.956 161.1074
2720.000000 93.265 157.7020
2760.000000 93.636 151.9150
2800.000000 93.884 144.9937
2850.000000 93.932 135.1610
2900.000000 94.028 125.1296
2950.000000 94.179 110.2563
3000.000000 93.587 91.2989
3040.000000 92.647 75.0393
3070.000000 91.752 61.9655
3110.000000 90.334 43.2751
3150.000000 88.844 23.1255
3200.000000 87.446 -4.0424
3250.000000 87.001 -31.4122
3300.000000 87.447 -54.7678
3350.000000 88.360 -73.1846
3400.000000 89.281 -87.1931
3450.000000 90.180 -97.5043
3500.000000 91.090 -105.5223
3550.000000 92.007 -112.1638
3600.000000 92.943 -118.1637
3650.000000 93.879 -124.1813
3700.000000 94.777 -130.5845
3750.000000 95.606 -137.4584
3820.000000 96.556 -148.2908
3870.000000 97.025 -156.5027
3950.000000 97.415 -169.9083
4000.000000 97.441 -178.3176
4060.000000 97.212 171.9399
4120.000000 96.751 162.9263
4180.000000 96.090 154.7761
4250.000000 95.086 146.5222
4310.000000 94.023 140.7166
4370.000000 92.783 136.6751
4440.000000 91.256 134.7314
4500.000000 89.987 134.8473
4550.000000 88.916 136.2989
4620.000000 87.493 141.5950
4680.000000 86.571 149.0114
4750.000000 86.136 160.4838
4820.000000 86.673 171.3218
4870.000000 87.429 176.0493
4940.000000 88.544 178.5392
5000.000000 89.336 178.1406
5080.000000 90.150 176.1525
5150.000000 90.667 173.2925
5220.000000 90.940 170.4338
5300.000000 91.212 168.0004
5380.000000 91.493 165.2798
5450.000000 91.760 162.9344
5520.000000 92.147 159.8929
5600.000000 92.610 154.0327
5700.000000 92.643 142.8280
5800.000000 91.668 131.5161
5900.000000 89.790 124.2350
6000.000000 87.530 125.3212
