* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Jan 12, 2025 4:09:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Aust (ZUniHyS) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 98.172 -134.4411
20.600000 98.185 -135.1666
20.900000 98.200 -135.9052
21.200001 98.219 -136.6119
21.400000 98.235 -137.0757
21.799999 98.271 -138.0118
22.000000 98.291 -138.4895
22.400000 98.331 -139.4583
22.700001 98.360 -140.1831
23.000000 98.390 -140.8958
23.299999 98.422 -141.5941
23.600000 98.457 -142.2829
24.000000 98.509 -143.1968
24.299999 98.549 -143.8797
24.700001 98.600 -144.7735
25.000000 98.635 -145.4186
25.400000 98.676 -146.2375
25.799999 98.712 -147.0263
26.200001 98.741 -147.8193
26.500000 98.755 -148.4314
26.900000 98.760 -149.2630
27.200001 98.752 -149.8773
27.600000 98.733 -150.6468
28.000000 98.715 -151.3392
28.500000 98.708 -152.1216
29.000000 98.725 -152.8869
29.500000 98.753 -153.6884
30.000000 98.779 -154.5138
30.400000 98.791 -155.1636
30.700001 98.795 -155.6340
31.100000 98.793 -156.2348
31.500000 98.787 -156.8079
32.000000 98.780 -157.5011
32.500000 98.780 -158.2005
33.000000 98.789 -158.9396
33.500000 98.801 -159.7157
34.000000 98.808 -160.4770
34.500000 98.809 -161.1638
35.000000 98.807 -161.7657
35.500000 98.804 -162.3285
36.000000 98.796 -162.9068
36.500000 98.780 -163.5195
37.000000 98.757 -164.1518
37.500000 98.729 -164.7803
38.200001 98.689 -165.6152
38.700001 98.658 -166.1493
39.500000 98.607 -166.8615
40.000000 98.578 -167.2342
40.599998 98.545 -167.6393
41.200001 98.516 -168.0127
41.799999 98.495 -168.3660
42.500000 98.481 -168.7856
43.099998 98.471 -169.1648
43.700001 98.456 -169.5367
44.400002 98.434 -169.9057
45.000000 98.417 -170.1407
45.500000 98.409 -170.2886
46.200001 98.413 -170.4716
46.799999 98.430 -170.6522
47.500000 98.460 -170.9202
48.200001 98.497 -171.2497
48.700001 98.524 -171.5162
49.400002 98.561 -171.9262
50.000000 98.592 -172.3179
50.799999 98.633 -172.9200
51.500000 98.665 -173.4982
52.200001 98.693 -174.0599
53.000000 98.724 -174.6604
53.799999 98.757 -175.2870
54.500000 98.789 -175.9219
55.200001 98.823 -176.6650
56.000000 98.857 -177.6180
57.000000 98.867 -178.8678
58.000000 98.825 179.8538
59.000000 98.729 178.6251
60.000000 98.605 177.6054
60.799999 98.495 177.0299
61.500000 98.396 176.7508
62.200001 98.305 176.6612
63.000000 98.224 176.7054
64.000000 98.166 176.8547
65.000000 98.150 177.0030
66.000000 98.163 177.0114
67.000000 98.185 176.7969
68.000000 98.203 176.4221
69.000000 98.212 175.9809
70.000000 98.205 175.5422
71.000000 98.188 175.1584
72.000000 98.175 174.8266
73.000000 98.166 174.5463
74.000000 98.167 174.3113
75.000000 98.182 174.0613
76.199997 98.214 173.6683
77.500000 98.250 173.1302
78.800003 98.280 172.4977
80.000000 98.301 171.8584
81.199997 98.319 171.2675
82.500000 98.351 170.6761
83.800003 98.402 169.9558
85.000000 98.440 168.9953
86.199997 98.444 167.8861
87.500000 98.412 166.6447
88.500000 98.357 165.7736
90.000000 98.262 164.7745
91.199997 98.201 164.0976
92.500000 98.142 163.3560
93.800003 98.079 162.5771
95.000000 98.005 161.8684
96.199997 97.917 161.2068
97.500000 97.810 160.5834
98.800003 97.703 160.0919
100.000000 97.608 159.7325
101.500000 97.498 159.3473
103.000000 97.393 158.9910
104.400002 97.296 158.6718
106.000000 97.180 158.3478
107.500000 97.068 158.0894
109.000000 96.955 157.8874
110.599998 96.836 157.8198
112.000000 96.735 157.9018
113.800003 96.621 158.1573
115.000000 96.564 158.3802
117.199997 96.489 158.9360
118.000000 96.472 159.1508
120.599998 96.473 159.7843
122.000000 96.505 160.0322
124.099998 96.563 160.2454
125.000000 96.596 160.2882
126.500000 96.662 160.2592
128.000000 96.734 160.1042
131.500000 96.890 159.3051
132.000000 96.913 159.1431
134.000000 97.003 158.3556
136.000000 97.073 157.3674
138.000000 97.120 156.2567
140.000000 97.138 155.0460
143.000000 97.110 153.2303
145.000000 97.061 152.0698
147.500000 96.976 150.6845
150.000000 96.864 149.4320
152.500000 96.734 148.3027
155.000000 96.600 147.3921
157.500000 96.466 146.6559
160.000000 96.345 146.0216
162.500000 96.243 145.4380
165.000000 96.150 144.7865
167.500000 96.060 143.9887
170.000000 95.963 143.1426
172.500000 95.851 142.3169
175.000000 95.727 141.5242
177.500000 95.585 140.7755
180.000000 95.437 140.0980
182.500000 95.288 139.4232
185.000000 95.133 138.7634
187.500000 94.968 138.1814
190.000000 94.797 137.6895
192.500000 94.621 137.2551
195.000000 94.436 136.8751
197.500000 94.238 136.6206
200.000000 94.045 136.6584
203.000000 93.869 136.8317
206.000000 93.713 136.6921
209.000000 93.531 136.5486
212.000000 93.342 136.5280
214.000000 93.219 136.5852
218.000000 92.978 136.8186
220.000000 92.863 136.9696
224.000000 92.649 137.3541
227.000000 92.499 137.7398
230.000000 92.369 138.2219
233.000000 92.270 138.6483
236.000000 92.182 138.8744
240.000000 92.051 139.0098
243.000000 91.932 139.1396
247.000000 91.761 139.4709
250.000000 91.637 139.8528
254.000000 91.488 140.4706
258.000000 91.358 141.1869
262.000000 91.254 141.9867
265.000000 91.208 142.5946
269.000000 91.188 143.2727
272.000000 91.187 143.5699
276.000000 91.179 143.7029
280.000000 91.153 143.7295
285.000000 91.118 143.7352
290.000000 91.082 143.5125
295.000000 91.020 143.0740
300.000000 90.927 142.5138
304.000000 90.832 142.0728
307.000000 90.746 141.7560
311.000000 90.615 141.3823
315.000000 90.477 141.0925
320.000000 90.299 140.8093
325.000000 90.110 140.5818
330.000000 89.909 140.3903
335.000000 89.694 140.2593
340.000000 89.470 140.2498
345.000000 89.239 140.3975
350.000000 89.006 140.6236
355.000000 88.773 140.8901
360.000000 88.535 141.2176
365.000000 88.290 141.6151
370.000000 88.032 142.1520
375.000000 87.774 142.8848
382.000000 87.431 144.1094
387.000000 87.192 145.1109
395.000000 86.817 146.9614
400.000000 86.592 148.2305
406.000000 86.332 149.9545
412.000000 86.094 151.8703
418.000000 85.877 153.8681
425.000000 85.642 156.3851
431.000000 85.460 158.7717
437.000000 85.310 161.3289
444.000000 85.180 164.4572
450.000000 85.109 167.3374
455.000000 85.098 169.8631
462.000000 85.163 173.2626
468.000000 85.258 175.9631
475.000000 85.408 178.9856
482.000000 85.620 -178.0839
487.000000 85.810 -176.1375
494.000000 86.112 -173.8122
500.000000 86.386 -172.1644
508.000000 86.771 -170.3285
515.000000 87.120 -169.0960
522.000000 87.466 -168.1961
530.000000 87.852 -167.5216
538.000000 88.224 -167.2513
545.000000 88.527 -167.3322
552.000000 88.798 -167.6560
560.000000 89.064 -168.2066
570.000000 89.339 -169.0030
580.000000 89.559 -169.8632
590.000000 89.729 -170.7921
600.000000 89.847 -171.6256
608.000000 89.919 -172.1127
615.000000 89.978 -172.4579
622.000000 90.035 -172.7710
630.000000 90.098 -173.0851
640.000000 90.174 -173.4506
650.000000 90.243 -173.7701
660.000000 90.312 -174.0180
670.000000 90.387 -174.2459
680.000000 90.469 -174.4871
690.000000 90.556 -174.7625
700.000000 90.646 -175.0926
710.000000 90.741 -175.4918
720.000000 90.838 -175.9917
730.000000 90.932 -176.6415
740.000000 91.012 -177.4605
750.000000 91.065 -178.4055
762.000000 91.090 -179.5394
775.000000 91.084 179.3001
788.000000 91.043 178.1883
800.000000 90.987 177.2693
812.000000 90.913 176.4036
825.000000 90.803 175.5916
838.000000 90.675 175.0258
850.000000 90.562 174.7485
862.000000 90.472 174.6065
875.000000 90.403 174.4007
885.000000 90.354 174.1041
900.000000 90.249 173.4813
912.000000 90.123 173.0324
925.000000 89.952 172.7920
938.000000 89.773 172.9332
950.000000 89.635 173.3736
962.000000 89.541 173.9033
975.000000 89.471 174.3753
988.000000 89.404 174.6779
1000.000000 89.327 174.9296
1015.000000 89.220 175.4944
1030.000000 89.159 176.4244
1044.000000 89.180 177.2418
1060.000000 89.258 177.5845
1075.000000 89.305 177.2692
1090.000000 89.279 176.7375
1106.000000 89.186 176.3004
1120.000000 89.072 176.1070
1138.000000 88.905 176.1531
1150.000000 88.791 176.3862
1172.000000 88.605 177.2216
1180.000000 88.552 177.6312
1206.000000 88.471 178.9957
1220.000000 88.469 179.4748
1241.000000 88.452 179.7739
1250.000000 88.429 179.8398
1265.000000 88.374 179.9556
1280.000000 88.303 -179.8845
1315.000000 88.096 -179.1329
1320.000000 88.068 -178.9732
1340.000000 87.967 -178.2796
1360.000000 87.879 -177.5808
1380.000000 87.792 -176.8719
1400.000000 87.710 -176.1199
1430.000000 87.606 -174.9327
1450.000000 87.547 -174.1662
1475.000000 87.472 -173.2627
1500.000000 87.390 -172.3096
1525.000000 87.314 -171.3229
1550.000000 87.241 -170.3759
1575.000000 87.155 -169.4344
1600.000000 87.056 -168.3846
1625.000000 86.957 -167.1818
1650.000000 86.869 -165.8311
1675.000000 86.798 -164.3721
1700.000000 86.743 -162.8762
1725.000000 86.704 -161.3853
1750.000000 86.672 -159.9068
1775.000000 86.642 -158.3878
1800.000000 86.622 -156.7807
1825.000000 86.621 -155.1442
1850.000000 86.635 -153.5511
1875.000000 86.656 -152.0010
1900.000000 86.677 -150.4850
1925.000000 86.690 -148.9527
1950.000000 86.699 -147.3016
1975.000000 86.719 -145.4974
2000.000000 86.760 -143.5955
2030.000000 86.837 -141.2424
2060.000000 86.947 -138.8487
2090.000000 87.091 -136.4591
2120.000000 87.265 -134.1130
2140.000000 87.399 -132.5721
2180.000000 87.715 -129.6387
2200.000000 87.892 -128.3121
2240.000000 88.254 -126.0225
2270.000000 88.504 -124.5212
2300.000000 88.729 -122.9992
2330.000000 88.946 -121.2983
2360.000000 89.179 -119.3943
2400.000000 89.539 -116.6441
2430.000000 89.854 -114.4425
2470.000000 90.364 -111.4448
2500.000000 90.819 -109.3008
2540.000000 91.526 -106.7574
2580.000000 92.343 -104.8855
2620.000000 93.219 -104.0463
2650.000000 93.866 -104.1221
2690.000000 94.676 -104.9158
2720.000000 95.242 -105.8371
2760.000000 95.953 -107.3484
2800.000000 96.628 -109.1415
2850.000000 97.435 -111.7792
2900.000000 98.202 -114.9298
2950.000000 98.913 -118.6940
3000.000000 99.539 -123.0429
3040.000000 99.965 -126.7934
3070.000000 100.242 -129.7364
3110.000000 100.551 -133.8060
3150.000000 100.787 -137.9733
3200.000000 100.974 -143.1797
3250.000000 101.059 -148.2072
3300.000000 101.067 -152.9883
3350.000000 101.000 -157.6330
3400.000000 100.835 -162.0942
3450.000000 100.573 -166.0650
3500.000000 100.250 -169.2992
3550.000000 99.911 -171.7791
3600.000000 99.600 -173.6980
3650.000000 99.321 -175.2895
3700.000000 99.065 -176.6272
3750.000000 98.828 -177.7090
3820.000000 98.532 -178.8513
3870.000000 98.352 -179.4537
3950.000000 98.132 179.8745
4000.000000 98.038 179.5675
4060.000000 97.973 179.2261
4120.000000 97.961 178.8206
4180.000000 97.995 178.2353
4250.000000 98.080 177.2288
4310.000000 98.173 176.0543
4370.000000 98.269 174.5750
4440.000000 98.373 172.5354
4500.000000 98.461 170.5919
4550.000000 98.543 168.8160
4620.000000 98.688 165.9076
4680.000000 98.833 162.6910
4750.000000 98.947 157.6540
4820.000000 98.857 151.2723
4870.000000 98.591 146.3266
4940.000000 97.900 139.7996
5000.000000 97.048 135.3717
5080.000000 95.686 132.0007
5150.000000 94.442 131.7291
5220.000000 93.300 133.9611
5300.000000 92.333 139.2187
5380.000000 91.997 145.6380
5450.000000 92.229 149.3820
5520.000000 92.605 149.6236
5600.000000 92.739 146.7093
5700.000000 92.252 142.6853
5800.000000 91.401 141.3445
5900.000000 90.605 142.5432
