* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Jan 12, 2025 4:11:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Aust (ZUniHyS) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 99.083 -139.5710
20.600000 99.106 -140.2322
20.900000 99.134 -140.9634
21.200001 99.163 -141.7321
21.400000 99.181 -142.2651
21.799999 99.210 -143.3543
22.000000 99.219 -143.8896
22.400000 99.232 -144.8859
22.700001 99.241 -145.5380
23.000000 99.254 -146.1052
23.299999 99.275 -146.6086
23.600000 99.306 -147.0831
24.000000 99.355 -147.7327
24.299999 99.392 -148.2614
24.700001 99.430 -149.0276
25.000000 99.447 -149.6313
25.400000 99.452 -150.4378
25.799999 99.444 -151.2149
26.200001 99.433 -151.9568
26.500000 99.429 -152.5045
26.900000 99.433 -153.2517
27.200001 99.443 -153.8389
27.600000 99.459 -154.6546
28.000000 99.473 -155.4749
28.500000 99.483 -156.4288
29.000000 99.488 -157.2436
29.500000 99.495 -157.9394
30.000000 99.504 -158.5944
30.400000 99.510 -159.1295
30.700001 99.511 -159.5407
31.100000 99.511 -160.0932
31.500000 99.509 -160.6424
32.000000 99.510 -161.3317
32.500000 99.514 -162.0464
33.000000 99.514 -162.7873
33.500000 99.504 -163.5172
34.000000 99.486 -164.1923
34.500000 99.467 -164.7994
35.000000 99.450 -165.3611
35.500000 99.436 -165.9118
36.000000 99.425 -166.4751
36.500000 99.414 -167.0575
37.000000 99.401 -167.6538
37.500000 99.387 -168.2507
38.200001 99.359 -169.0530
38.700001 99.334 -169.5820
39.500000 99.285 -170.3508
40.000000 99.250 -170.7983
40.599998 99.203 -171.3007
41.200001 99.154 -171.7324
41.799999 99.115 -172.0715
42.500000 99.094 -172.3980
43.099998 99.094 -172.6964
43.700001 99.100 -173.0595
44.400002 99.097 -173.5726
45.000000 99.074 -174.0537
45.500000 99.040 -174.4424
46.200001 98.984 -174.9335
46.799999 98.943 -175.3306
47.500000 98.908 -175.7810
48.200001 98.879 -176.1172
48.700001 98.865 -176.2354
49.400002 98.856 -176.2760
50.000000 98.853 -176.2795
50.799999 98.853 -176.2878
51.500000 98.860 -176.2833
52.200001 98.879 -176.2907
53.000000 98.911 -176.3963
53.799999 98.958 -176.7261
54.500000 99.016 -177.2598
55.200001 99.079 -177.9587
56.000000 99.131 -178.7887
57.000000 99.144 -179.7305
58.000000 99.119 179.3428
59.000000 99.087 178.5252
60.000000 99.068 178.1234
60.799999 99.071 177.9025
61.500000 99.076 177.5154
62.200001 99.079 176.9269
63.000000 99.086 176.1230
64.000000 99.072 175.0960
65.000000 99.006 174.2105
66.000000 98.911 173.4427
67.000000 98.802 172.8396
68.000000 98.698 172.4781
69.000000 98.601 172.1851
70.000000 98.511 171.9804
71.000000 98.433 171.8974
72.000000 98.358 171.9507
73.000000 98.301 172.0743
74.000000 98.269 172.1685
75.000000 98.257 172.2847
76.199997 98.263 172.3608
77.500000 98.274 172.2744
78.800003 98.281 172.2031
80.000000 98.296 172.2316
81.199997 98.324 172.1638
82.500000 98.364 171.9965
83.800003 98.435 171.7756
85.000000 98.514 171.3480
86.199997 98.585 170.6590
87.500000 98.623 169.6724
88.500000 98.606 168.9531
90.000000 98.547 168.2794
91.199997 98.519 168.0074
92.500000 98.510 167.7632
93.800003 98.521 167.5308
95.000000 98.563 167.1833
96.199997 98.598 166.5902
97.500000 98.611 165.8881
98.800003 98.618 165.1577
100.000000 98.609 164.4526
101.500000 98.576 163.6917
103.000000 98.541 162.9946
104.400002 98.501 162.3422
106.000000 98.452 161.6279
107.500000 98.402 160.9743
109.000000 98.340 160.3328
110.599998 98.260 159.7753
112.000000 98.192 159.4705
113.800003 98.121 159.1740
115.000000 98.082 158.9646
117.199997 98.019 158.5886
118.000000 98.000 158.4472
120.599998 97.948 158.0916
122.000000 97.933 157.9514
124.099998 97.935 157.6754
125.000000 97.942 157.5411
126.500000 97.953 157.2920
128.000000 97.969 156.9486
131.500000 98.024 155.8408
132.000000 98.032 155.6450
134.000000 98.050 154.7656
136.000000 98.037 153.7964
138.000000 98.007 152.8255
140.000000 97.961 151.8896
143.000000 97.885 150.6298
145.000000 97.841 149.7568
147.500000 97.780 148.6511
150.000000 97.703 147.5620
152.500000 97.607 146.5749
155.000000 97.501 145.6655
157.500000 97.389 144.8005
160.000000 97.272 144.0214
162.500000 97.166 143.2780
165.000000 97.068 142.5011
167.500000 96.961 141.6976
170.000000 96.843 140.8516
172.500000 96.717 139.9997
175.000000 96.587 139.2344
177.500000 96.447 138.5638
180.000000 96.300 137.9567
182.500000 96.161 137.4043
185.000000 96.028 136.8326
187.500000 95.890 136.2721
190.000000 95.743 135.7253
192.500000 95.593 135.2124
195.000000 95.440 134.7437
197.500000 95.280 134.3187
200.000000 95.116 134.0101
203.000000 94.938 133.8325
206.000000 94.783 133.5284
209.000000 94.622 133.1653
212.000000 94.453 132.8559
214.000000 94.339 132.6871
218.000000 94.103 132.4060
220.000000 93.983 132.2860
224.000000 93.743 132.1482
227.000000 93.562 132.1150
230.000000 93.386 132.1317
233.000000 93.216 132.2250
236.000000 93.052 132.3775
240.000000 92.850 132.6501
243.000000 92.714 132.8075
247.000000 92.537 132.9545
250.000000 92.400 133.0737
254.000000 92.214 133.3265
258.000000 92.037 133.6897
262.000000 91.882 134.0673
265.000000 91.780 134.3211
269.000000 91.656 134.5900
272.000000 91.566 134.6750
276.000000 91.427 134.6815
280.000000 91.268 134.7181
285.000000 91.065 134.8643
290.000000 90.856 135.0427
295.000000 90.635 135.3239
300.000000 90.416 135.6979
304.000000 90.238 136.0482
307.000000 90.100 136.3732
311.000000 89.911 136.9434
315.000000 89.735 137.6686
320.000000 89.570 138.6488
325.000000 89.451 139.6545
330.000000 89.362 140.3673
335.000000 89.269 140.7889
340.000000 89.156 140.8495
345.000000 88.998 140.8327
350.000000 88.799 141.0624
355.000000 88.577 141.4341
360.000000 88.340 141.9138
365.000000 88.091 142.5948
370.000000 87.839 143.4455
375.000000 87.588 144.5520
382.000000 87.268 146.5552
387.000000 87.086 148.2333
395.000000 86.860 150.7400
400.000000 86.720 152.2465
406.000000 86.555 154.1731
412.000000 86.420 156.2842
418.000000 86.324 158.4012
425.000000 86.228 160.7979
431.000000 86.153 162.9496
437.000000 86.100 165.2460
444.000000 86.093 168.1352
450.000000 86.151 170.6301
455.000000 86.237 172.5774
462.000000 86.391 175.0475
468.000000 86.545 176.9598
475.000000 86.758 179.0010
482.000000 86.999 -179.2936
487.000000 87.174 -178.3022
494.000000 87.415 -177.1075
500.000000 87.618 -176.2488
508.000000 87.878 -175.4166
515.000000 88.083 -174.9564
522.000000 88.267 -174.5538
530.000000 88.467 -174.1423
538.000000 88.646 -173.8807
545.000000 88.780 -173.6826
552.000000 88.898 -173.4062
560.000000 89.030 -173.0070
570.000000 89.204 -172.5177
580.000000 89.377 -172.0597
590.000000 89.551 -171.5808
600.000000 89.744 -171.1190
608.000000 89.912 -170.8219
615.000000 90.065 -170.6339
622.000000 90.220 -170.5346
630.000000 90.397 -170.5346
640.000000 90.622 -170.6241
650.000000 90.853 -170.8345
660.000000 91.088 -171.2564
670.000000 91.319 -171.9383
680.000000 91.528 -172.8788
690.000000 91.702 -174.0154
700.000000 91.836 -175.2590
710.000000 91.934 -176.5099
720.000000 92.005 -177.7125
730.000000 92.056 -178.8740
740.000000 92.093 -179.9587
750.000000 92.124 179.0199
762.000000 92.157 177.7910
775.000000 92.180 176.3199
788.000000 92.161 174.7658
800.000000 92.108 173.4349
812.000000 92.032 172.1716
825.000000 91.932 170.8869
838.000000 91.813 169.7037
850.000000 91.685 168.7080
862.000000 91.542 167.8156
875.000000 91.370 166.9658
885.000000 91.227 166.4251
900.000000 91.003 165.7740
912.000000 90.810 165.4038
925.000000 90.584 165.2170
938.000000 90.351 165.3889
950.000000 90.153 165.9600
962.000000 90.012 166.8549
975.000000 89.952 167.7798
988.000000 89.945 168.2329
1000.000000 89.928 168.2562
1015.000000 89.856 168.1660
1030.000000 89.758 168.2988
1044.000000 89.687 168.5637
1060.000000 89.633 168.7386
1075.000000 89.584 168.6968
1090.000000 89.511 168.5270
1106.000000 89.404 168.3485
1120.000000 89.294 168.2592
1138.000000 89.135 168.2709
1150.000000 89.022 168.3953
1172.000000 88.821 168.8862
1180.000000 88.754 169.1358
1206.000000 88.584 170.1306
1220.000000 88.536 170.6197
1241.000000 88.488 170.8782
1250.000000 88.451 170.8203
1265.000000 88.351 170.6943
1280.000000 88.216 170.6927
1315.000000 87.859 171.4050
1320.000000 87.810 171.5730
1340.000000 87.620 172.3545
1360.000000 87.448 173.2475
1380.000000 87.293 174.2120
1400.000000 87.145 175.2385
1430.000000 86.941 176.9495
1450.000000 86.829 178.1846
1475.000000 86.718 179.6901
1500.000000 86.617 -178.8824
1525.000000 86.522 -177.4301
1550.000000 86.433 -175.9542
1575.000000 86.361 -174.3932
1600.000000 86.312 -172.8275
1625.000000 86.277 -171.3828
1650.000000 86.239 -170.0298
1675.000000 86.196 -168.6554
1700.000000 86.154 -167.2352
1725.000000 86.118 -165.7591
1750.000000 86.096 -164.2092
1775.000000 86.095 -162.6537
1800.000000 86.108 -161.2101
1825.000000 86.116 -159.8664
1850.000000 86.118 -158.4917
1875.000000 86.119 -157.0474
1900.000000 86.127 -155.5883
1925.000000 86.144 -154.1506
1950.000000 86.165 -152.7280
1975.000000 86.185 -151.2900
2000.000000 86.209 -149.8037
2030.000000 86.248 -147.9789
2060.000000 86.299 -146.1684
2090.000000 86.358 -144.4170
2120.000000 86.413 -142.7599
2140.000000 86.437 -141.6844
2180.000000 86.441 -139.3877
2200.000000 86.425 -138.0206
2240.000000 86.416 -134.6560
2270.000000 86.469 -131.7537
2300.000000 86.579 -128.7835
2330.000000 86.725 -125.8697
2360.000000 86.887 -122.9633
2400.000000 87.121 -118.7704
2430.000000 87.344 -115.2080
2470.000000 87.772 -110.0068
2500.000000 88.218 -106.0044
2540.000000 88.985 -100.9331
2580.000000 89.932 -96.5018
2620.000000 91.041 -93.0079
2650.000000 91.961 -91.2305
2690.000000 93.252 -90.2711
2720.000000 94.217 -90.6754
2760.000000 95.430 -92.5765
2800.000000 96.507 -95.6493
2850.000000 97.649 -100.4410
2900.000000 98.598 -105.7756
2950.000000 99.386 -111.4376
3000.000000 100.033 -117.3114
3040.000000 100.455 -122.0999
3070.000000 100.720 -125.7097
3110.000000 101.010 -130.5425
3150.000000 101.223 -135.3950
3200.000000 101.372 -141.3381
3250.000000 101.416 -146.8862
3300.000000 101.410 -152.1040
3350.000000 101.343 -157.2810
3400.000000 101.177 -162.3201
3450.000000 100.913 -166.9801
3500.000000 100.569 -171.1204
3550.000000 100.160 -174.6424
3600.000000 99.711 -177.4479
3650.000000 99.252 -179.4862
3700.000000 98.820 179.1799
3750.000000 98.440 178.3959
3820.000000 98.016 177.8545
3870.000000 97.782 177.6684
3950.000000 97.508 177.5446
4000.000000 97.396 177.5278
4060.000000 97.324 177.4850
4120.000000 97.320 177.3046
4180.000000 97.378 176.8465
4250.000000 97.508 175.7556
4310.000000 97.646 174.1936
4370.000000 97.774 171.9419
4440.000000 97.843 168.4409
4500.000000 97.775 164.9412
4550.000000 97.608 161.9794
4620.000000 97.216 158.3246
4680.000000 96.792 156.0430
4750.000000 96.305 154.4828
4820.000000 95.935 153.6167
4870.000000 95.761 152.8941
4940.000000 95.575 151.0906
5000.000000 95.362 148.6935
5080.000000 94.856 144.9705
5150.000000 94.169 142.2365
5220.000000 93.311 140.8941
5300.000000 92.272 141.7616
5380.000000 91.406 145.3556
5450.000000 91.017 149.9259
5520.000000 91.069 153.8879
5600.000000 91.438 155.2057
5700.000000 91.637 152.0530
5800.000000 91.164 147.9807
5900.000000 90.291 146.3534
6000.000000 89.407 147.3663
