* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Jan 12, 2025 2:52:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Aust L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.066 -116.1300
20.600000 90.123 -116.9254
20.900000 90.190 -117.7817
21.200001 90.258 -118.6552
21.400000 90.302 -119.2507
21.799999 90.381 -120.4623
22.000000 90.414 -121.0638
22.400000 90.465 -122.2133
22.700001 90.495 -123.0030
23.000000 90.521 -123.7250
23.299999 90.547 -124.3892
23.600000 90.575 -125.0084
24.000000 90.618 -125.7757
24.299999 90.654 -126.3067
24.700001 90.713 -126.9600
25.000000 90.767 -127.4304
25.400000 90.854 -128.0889
25.799999 90.944 -128.8422
26.200001 91.023 -129.7027
26.500000 91.067 -130.3882
26.900000 91.105 -131.2936
27.200001 91.124 -131.9352
27.600000 91.145 -132.7320
28.000000 91.173 -133.4903
28.500000 91.218 -134.4409
29.000000 91.269 -135.4212
29.500000 91.318 -136.4196
30.000000 91.358 -137.4175
30.400000 91.380 -138.2001
30.700001 91.391 -138.7679
31.100000 91.402 -139.4959
31.500000 91.412 -140.2068
32.000000 91.429 -141.1245
32.500000 91.442 -142.1070
33.000000 91.442 -143.1020
33.500000 91.431 -144.0153
34.000000 91.424 -144.8229
34.500000 91.427 -145.5889
35.000000 91.430 -146.3648
35.500000 91.419 -147.1145
36.000000 91.395 -147.7680
36.500000 91.368 -148.3164
37.000000 91.346 -148.8150
37.500000 91.322 -149.3033
38.200001 91.280 -149.9082
38.700001 91.250 -150.2108
39.500000 91.221 -150.4760
40.000000 91.218 -150.5897
40.599998 91.225 -150.7715
41.200001 91.237 -151.0456
41.799999 91.255 -151.3884
42.500000 91.290 -151.8061
43.099998 91.335 -152.1664
43.700001 91.387 -152.5533
44.400002 91.439 -153.0488
45.000000 91.474 -153.5074
45.500000 91.500 -153.9197
46.200001 91.529 -154.5344
46.799999 91.545 -155.0516
47.500000 91.556 -155.6144
48.200001 91.560 -156.1975
48.700001 91.555 -156.6505
49.400002 91.545 -157.2716
50.000000 91.546 -157.7229
50.799999 91.568 -158.2202
51.500000 91.576 -158.5909
52.200001 91.552 -158.8474
53.000000 91.513 -159.0017
53.799999 91.506 -159.1702
54.500000 91.534 -159.3861
55.200001 91.583 -159.6034
56.000000 91.652 -159.8419
57.000000 91.739 -160.2617
58.000000 91.830 -160.9448
59.000000 91.915 -161.8573
60.000000 91.954 -162.7584
60.799999 91.956 -163.4287
61.500000 91.947 -164.0535
62.200001 91.936 -164.7129
63.000000 91.925 -165.4486
64.000000 91.903 -166.2961
65.000000 91.860 -167.0910
66.000000 91.799 -167.8593
67.000000 91.725 -168.4632
68.000000 91.647 -168.7922
69.000000 91.571 -168.9312
70.000000 91.507 -168.9617
71.000000 91.471 -168.9247
72.000000 91.469 -168.8565
73.000000 91.497 -168.8155
74.000000 91.549 -168.9247
75.000000 91.593 -169.2250
76.199997 91.616 -169.5728
77.500000 91.640 -169.8846
78.800003 91.671 -170.3726
80.000000 91.705 -170.9031
81.199997 91.735 -171.4471
82.500000 91.726 -172.0515
83.800003 91.710 -172.7254
85.000000 91.709 -173.3825
86.199997 91.694 -173.8685
87.500000 91.664 -174.2800
88.500000 91.654 -174.6396
90.000000 91.649 -175.1899
91.199997 91.635 -175.5938
92.500000 91.621 -176.1185
93.800003 91.603 -176.7055
95.000000 91.574 -177.2404
96.199997 91.539 -177.7515
97.500000 91.491 -178.2040
98.800003 91.427 -178.5566
100.000000 91.372 -178.9139
101.500000 91.308 -179.4270
103.000000 91.237 -179.7985
104.400002 91.165 179.9985
106.000000 91.092 179.8590
107.500000 91.038 179.7511
109.000000 90.980 179.6793
110.599998 90.918 179.6228
112.000000 90.875 179.5885
113.800003 90.819 179.6125
115.000000 90.788 179.7334
117.199997 90.755 -179.9227
118.000000 90.757 -179.8355
120.599998 90.789 -179.7331
122.000000 90.785 -179.7374
124.099998 90.769 -179.8302
125.000000 90.773 -179.9220
126.500000 90.801 179.8884
128.000000 90.832 179.7111
131.500000 90.856 179.1940
132.000000 90.861 179.1205
134.000000 90.882 178.8263
136.000000 90.890 178.4771
138.000000 90.881 178.0836
140.000000 90.868 177.7195
143.000000 90.850 177.2181
145.000000 90.829 176.8395
147.500000 90.781 176.3589
150.000000 90.733 175.8772
152.500000 90.683 175.5780
155.000000 90.627 175.3957
157.500000 90.587 175.2839
160.000000 90.558 175.2794
162.500000 90.542 175.2664
165.000000 90.534 175.0424
167.500000 90.532 174.7053
170.000000 90.526 174.3312
172.500000 90.498 173.9884
175.000000 90.449 173.7084
177.500000 90.399 173.3486
180.000000 90.358 173.0205
182.500000 90.321 172.7663
185.000000 90.284 172.5742
187.500000 90.236 172.3987
190.000000 90.186 172.2011
192.500000 90.143 171.9333
195.000000 90.098 171.7216
197.500000 90.055 171.5620
200.000000 90.010 171.4650
203.000000 89.953 171.2980
206.000000 89.892 171.0332
209.000000 89.823 170.9238
212.000000 89.776 170.9021
214.000000 89.745 170.8396
218.000000 89.678 170.7281
220.000000 89.654 170.6949
224.000000 89.599 170.4877
227.000000 89.543 170.3191
230.000000 89.491 170.2341
233.000000 89.438 170.1497
236.000000 89.372 170.0465
240.000000 89.284 169.9670
243.000000 89.233 169.9276
247.000000 89.182 169.8864
250.000000 89.144 169.8547
254.000000 89.083 169.6490
258.000000 88.985 169.4582
262.000000 88.872 169.5061
265.000000 88.798 169.7332
269.000000 88.729 170.0046
272.000000 88.688 170.1351
276.000000 88.639 170.1165
280.000000 88.565 170.0029
285.000000 88.457 170.0864
290.000000 88.356 170.2160
295.000000 88.280 170.4363
300.000000 88.211 170.5873
304.000000 88.154 170.4832
307.000000 88.102 170.4073
311.000000 88.019 170.4312
315.000000 87.946 170.5720
320.000000 87.856 170.6644
325.000000 87.752 170.5924
330.000000 87.607 170.6187
335.000000 87.458 170.7651
340.000000 87.332 171.0080
345.000000 87.207 171.3510
350.000000 87.076 171.7373
355.000000 86.951 172.3238
360.000000 86.818 172.9420
365.000000 86.665 173.4074
370.000000 86.475 173.9914
375.000000 86.300 174.8434
382.000000 86.073 176.1898
387.000000 85.937 177.4307
395.000000 85.765 179.4333
400.000000 85.673 -179.2555
406.000000 85.558 -177.5875
412.000000 85.476 -175.6715
418.000000 85.430 -173.6373
425.000000 85.398 -171.3110
431.000000 85.405 -169.1800
437.000000 85.445 -167.1759
444.000000 85.528 -164.9552
450.000000 85.638 -162.8839
455.000000 85.770 -161.1882
462.000000 85.970 -159.4084
468.000000 86.122 -158.1117
475.000000 86.317 -156.2908
482.000000 86.571 -154.4605
487.000000 86.788 -153.3485
494.000000 87.109 -152.2047
500.000000 87.377 -151.5273
508.000000 87.720 -150.9432
515.000000 88.008 -150.6213
522.000000 88.286 -150.3919
530.000000 88.599 -150.2618
538.000000 88.917 -150.3748
545.000000 89.178 -150.7959
552.000000 89.400 -151.3863
560.000000 89.623 -152.0109
570.000000 89.880 -152.8575
580.000000 90.112 -153.8114
590.000000 90.314 -154.9015
600.000000 90.474 -155.9444
608.000000 90.583 -156.7463
615.000000 90.672 -157.4298
622.000000 90.755 -158.1103
630.000000 90.841 -158.8676
640.000000 90.934 -159.7664
650.000000 91.016 -160.6579
660.000000 91.082 -161.5670
670.000000 91.136 -162.4550
680.000000 91.185 -163.2928
690.000000 91.227 -164.1340
700.000000 91.258 -164.9771
710.000000 91.274 -165.7746
720.000000 91.284 -166.4873
730.000000 91.295 -167.1852
740.000000 91.299 -167.8918
750.000000 91.293 -168.5860
762.000000 91.282 -169.3819
775.000000 91.263 -170.1883
788.000000 91.231 -170.9625
800.000000 91.202 -171.5888
812.000000 91.174 -172.2404
825.000000 91.132 -172.9329
838.000000 91.087 -173.5245
850.000000 91.048 -174.0724
862.000000 91.006 -174.6845
875.000000 90.948 -175.4293
885.000000 90.888 -176.0299
900.000000 90.764 -176.8929
912.000000 90.638 -177.4530
925.000000 90.483 -177.8595
938.000000 90.316 -178.0430
950.000000 90.166 -177.9632
962.000000 90.037 -177.7181
975.000000 89.919 -177.3696
988.000000 89.813 -176.9567
1000.000000 89.728 -176.5300
1015.000000 89.636 -175.9268
1030.000000 89.573 -175.0868
1044.000000 89.585 -174.2735
1060.000000 89.667 -173.8681
1075.000000 89.724 -174.1368
1090.000000 89.705 -174.7025
1106.000000 89.609 -175.1736
1120.000000 89.492 -175.3076
1138.000000 89.324 -175.0970
1150.000000 89.209 -174.6825
1172.000000 89.053 -173.2957
1180.000000 89.033 -172.6426
1206.000000 89.172 -170.8871
1220.000000 89.301 -170.8812
1241.000000 89.378 -171.8344
1250.000000 89.355 -172.3196
1265.000000 89.256 -172.9411
1280.000000 89.114 -173.1742
1315.000000 88.795 -172.5800
1320.000000 88.754 -172.4279
1340.000000 88.601 -171.6604
1360.000000 88.476 -170.6770
1380.000000 88.388 -169.6317
1400.000000 88.325 -168.5949
1430.000000 88.259 -167.1497
1450.000000 88.218 -166.2866
1475.000000 88.156 -165.2287
1500.000000 88.085 -164.0127
1525.000000 88.032 -162.5191
1550.000000 88.026 -160.9337
1575.000000 88.049 -159.4626
1600.000000 88.080 -158.0281
1625.000000 88.133 -156.5548
1650.000000 88.219 -155.1421
1675.000000 88.327 -153.9748
1700.000000 88.422 -153.0208
1725.000000 88.496 -152.0485
1750.000000 88.572 -151.0143
1775.000000 88.647 -149.9637
1800.000000 88.732 -148.8286
1825.000000 88.836 -147.7196
1850.000000 88.945 -146.6668
1875.000000 89.059 -145.6215
1900.000000 89.192 -144.5453
1925.000000 89.342 -143.5682
1950.000000 89.491 -142.7155
1975.000000 89.638 -141.8723
2000.000000 89.794 -141.0330
2030.000000 89.985 -140.1379
2060.000000 90.170 -139.2541
2090.000000 90.368 -138.3138
2120.000000 90.585 -137.4204
2140.000000 90.733 -136.8506
2180.000000 91.063 -135.6935
2200.000000 91.254 -135.1983
2240.000000 91.666 -134.6671
2270.000000 91.960 -134.7202
2300.000000 92.206 -135.0212
2330.000000 92.400 -135.2874
2360.000000 92.570 -135.3086
2400.000000 92.823 -134.9810
2430.000000 93.054 -134.7230
2470.000000 93.389 -134.6382
2500.000000 93.638 -134.7353
2540.000000 93.968 -134.9312
2580.000000 94.315 -135.2675
2620.000000 94.663 -135.8535
2650.000000 94.915 -136.4267
2690.000000 95.237 -137.2989
2720.000000 95.472 -138.0065
2760.000000 95.780 -139.0088
2800.000000 96.091 -140.0891
2850.000000 96.484 -141.6288
2900.000000 96.881 -143.4055
2950.000000 97.288 -145.5101
3000.000000 97.681 -148.1441
3040.000000 97.963 -150.5944
3070.000000 98.150 -152.6069
3110.000000 98.360 -155.5020
3150.000000 98.512 -158.5694
3200.000000 98.616 -162.4666
3250.000000 98.643 -166.2572
3300.000000 98.620 -169.9442
3350.000000 98.542 -173.6653
3400.000000 98.377 -177.3825
3450.000000 98.113 179.2223
3500.000000 97.786 176.3948
3550.000000 97.435 174.1561
3600.000000 97.094 172.3880
3650.000000 96.770 170.8795
3700.000000 96.450 169.5846
3750.000000 96.134 168.5013
3820.000000 95.694 167.3379
3870.000000 95.388 166.7892
3950.000000 94.933 166.3034
4000.000000 94.670 166.1975
4060.000000 94.378 166.2379
4120.000000 94.116 166.4406
4180.000000 93.884 166.7239
4250.000000 93.646 167.0883
4310.000000 93.466 167.4125
4370.000000 93.303 167.7256
4440.000000 93.126 168.0765
4500.000000 92.982 168.3946
4550.000000 92.868 168.6877
4620.000000 92.720 169.1486
4680.000000 92.606 169.5967
4750.000000 92.493 170.1740
4820.000000 92.408 170.7801
4870.000000 92.364 171.2070
4940.000000 92.329 171.7656
5000.000000 92.322 172.1571
5080.000000 92.341 172.4696
5150.000000 92.370 172.5096
5220.000000 92.396 172.3547
5300.000000 92.417 172.0140
5380.000000 92.431 171.5881
5450.000000 92.449 171.1884
