* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Jan 12, 2025 2:45:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Aust R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.216 -103.7734
20.600000 89.280 -104.6429
20.900000 89.352 -105.6145
21.200001 89.424 -106.6110
21.400000 89.473 -107.2756
21.799999 89.573 -108.5727
22.000000 89.624 -109.1932
22.400000 89.728 -110.3661
22.700001 89.805 -111.1935
23.000000 89.881 -111.9910
23.299999 89.953 -112.7712
23.600000 90.018 -113.5383
24.000000 90.097 -114.5317
24.299999 90.152 -115.2431
24.700001 90.228 -116.1426
25.000000 90.289 -116.7953
25.400000 90.378 -117.6810
25.799999 90.467 -118.6341
26.200001 90.543 -119.6734
26.500000 90.586 -120.4891
26.900000 90.621 -121.5690
27.200001 90.637 -122.3343
27.600000 90.655 -123.2639
28.000000 90.682 -124.1009
28.500000 90.739 -125.0886
29.000000 90.809 -126.0789
29.500000 90.874 -127.0589
30.000000 90.927 -127.9700
30.400000 90.964 -128.6414
30.700001 90.991 -129.1301
31.100000 91.025 -129.7895
31.500000 91.054 -130.4644
32.000000 91.076 -131.2813
32.500000 91.092 -131.9986
33.000000 91.119 -132.6366
33.500000 91.165 -133.3313
34.000000 91.215 -134.1945
34.500000 91.242 -135.1779
35.000000 91.240 -136.0992
35.500000 91.222 -136.8109
36.000000 91.212 -137.3239
36.500000 91.217 -137.7689
37.000000 91.224 -138.2444
37.500000 91.223 -138.7305
38.200001 91.220 -139.2826
38.700001 91.241 -139.5748
39.500000 91.320 -140.0857
40.000000 91.378 -140.5183
40.599998 91.432 -141.1145
41.200001 91.472 -141.7228
41.799999 91.504 -142.3267
42.500000 91.538 -143.0404
43.099998 91.561 -143.6322
43.700001 91.580 -144.1610
44.400002 91.606 -144.6907
45.000000 91.638 -145.1164
45.500000 91.670 -145.4940
46.200001 91.717 -146.1030
46.799999 91.749 -146.6955
47.500000 91.771 -147.4060
48.200001 91.784 -148.0778
48.700001 91.791 -148.5258
49.400002 91.795 -149.0874
50.000000 91.792 -149.4619
50.799999 91.795 -149.8099
51.500000 91.813 -150.1198
52.200001 91.834 -150.5402
53.000000 91.844 -151.0553
53.799999 91.854 -151.5059
54.500000 91.872 -151.9001
55.200001 91.897 -152.3190
56.000000 91.936 -152.7821
57.000000 91.986 -153.3324
58.000000 92.008 -153.7974
59.000000 92.036 -154.2306
60.000000 92.091 -154.9551
60.799999 92.128 -155.6568
61.500000 92.150 -156.2061
62.200001 92.166 -156.7015
63.000000 92.175 -157.2584
64.000000 92.176 -157.9497
65.000000 92.170 -158.6033
66.000000 92.161 -159.1563
67.000000 92.158 -159.6425
68.000000 92.161 -160.1974
69.000000 92.149 -160.8422
70.000000 92.114 -161.4636
71.000000 92.066 -161.9722
72.000000 92.012 -162.3409
73.000000 91.964 -162.5276
74.000000 91.944 -162.5731
75.000000 91.950 -162.5548
76.199997 91.986 -162.5014
77.500000 92.046 -162.6182
78.800003 92.101 -162.9289
80.000000 92.150 -163.3483
81.199997 92.196 -163.8857
82.500000 92.238 -164.4766
83.800003 92.273 -165.0795
85.000000 92.288 -165.7093
86.199997 92.278 -166.2562
87.500000 92.271 -166.6889
88.500000 92.278 -167.0112
90.000000 92.294 -167.5798
91.199997 92.301 -168.0637
92.500000 92.305 -168.6001
93.800003 92.299 -169.1218
95.000000 92.284 -169.5843
96.199997 92.266 -170.0372
97.500000 92.247 -170.5027
98.800003 92.225 -170.9055
100.000000 92.208 -171.2281
101.500000 92.191 -171.6096
103.000000 92.170 -171.9609
104.400002 92.156 -172.2948
106.000000 92.152 -172.7155
107.500000 92.145 -173.1340
109.000000 92.124 -173.5338
110.599998 92.088 -173.8964
112.000000 92.054 -174.1578
113.800003 92.032 -174.4862
115.000000 92.026 -174.7011
117.199997 92.013 -175.0829
118.000000 92.001 -175.1775
120.599998 91.958 -175.4834
122.000000 91.940 -175.7541
124.099998 91.917 -176.0997
125.000000 91.910 -176.2143
126.500000 91.902 -176.3981
128.000000 91.900 -176.5949
131.500000 91.896 -176.9807
132.000000 91.893 -177.0542
134.000000 91.874 -177.4947
136.000000 91.855 -177.8974
138.000000 91.842 -178.1764
140.000000 91.835 -178.4200
143.000000 91.820 -178.8138
145.000000 91.805 -179.1032
147.500000 91.790 -179.4909
150.000000 91.779 -179.8819
152.500000 91.765 179.7872
155.000000 91.750 179.4924
157.500000 91.736 179.1483
160.000000 91.727 178.7882
162.500000 91.717 178.4361
165.000000 91.700 178.0185
167.500000 91.665 177.6850
170.000000 91.629 177.3756
172.500000 91.600 177.0643
175.000000 91.575 176.8327
177.500000 91.553 176.5344
180.000000 91.533 176.2198
182.500000 91.516 175.9081
185.000000 91.494 175.5740
187.500000 91.474 175.1799
190.000000 91.446 174.7892
192.500000 91.416 174.4304
195.000000 91.382 174.0909
197.500000 91.340 173.7787
200.000000 91.294 173.4318
203.000000 91.233 172.9664
206.000000 91.172 172.5319
209.000000 91.106 172.1611
212.000000 91.038 171.9131
214.000000 90.996 171.7723
218.000000 90.910 171.4490
220.000000 90.868 171.2731
224.000000 90.779 170.9564
227.000000 90.708 170.7698
230.000000 90.641 170.5835
233.000000 90.578 170.3936
236.000000 90.513 170.2112
240.000000 90.416 170.0512
243.000000 90.344 169.9631
247.000000 90.247 169.9429
250.000000 90.184 169.9704
254.000000 90.120 169.9561
258.000000 90.059 169.8610
262.000000 89.984 169.6622
265.000000 89.922 169.5263
269.000000 89.829 169.3657
272.000000 89.755 169.2700
276.000000 89.649 169.2690
280.000000 89.539 169.3712
285.000000 89.414 169.5929
290.000000 89.312 169.8217
295.000000 89.232 169.9855
300.000000 89.142 170.1063
304.000000 89.050 170.1502
307.000000 88.974 170.2463
311.000000 88.869 170.4791
315.000000 88.773 170.8035
320.000000 88.684 171.2983
325.000000 88.627 171.6465
330.000000 88.564 171.8036
335.000000 88.477 171.9088
340.000000 88.366 171.9828
345.000000 88.238 172.1844
350.000000 88.105 172.5509
355.000000 87.979 172.9568
360.000000 87.856 173.4189
365.000000 87.727 173.9747
370.000000 87.590 174.6016
375.000000 87.439 175.2734
382.000000 87.241 176.4321
387.000000 87.114 177.5344
395.000000 86.918 179.4273
400.000000 86.820 -179.3340
406.000000 86.726 -177.5970
412.000000 86.664 -175.6533
418.000000 86.640 -173.8197
425.000000 86.634 -171.7679
431.000000 86.645 -169.9194
437.000000 86.687 -167.9343
444.000000 86.789 -165.5720
450.000000 86.934 -163.6967
455.000000 87.081 -162.3260
462.000000 87.304 -160.7443
468.000000 87.500 -159.5672
475.000000 87.751 -158.2720
482.000000 88.022 -157.2574
487.000000 88.210 -156.6915
494.000000 88.466 -156.0278
500.000000 88.689 -155.5507
508.000000 89.000 -155.1940
515.000000 89.265 -155.1200
522.000000 89.506 -155.1559
530.000000 89.746 -155.3557
538.000000 89.959 -155.6249
545.000000 90.147 -155.9171
552.000000 90.329 -156.3093
560.000000 90.527 -156.8316
570.000000 90.755 -157.6323
580.000000 90.954 -158.5496
590.000000 91.124 -159.5165
600.000000 91.271 -160.5060
608.000000 91.373 -161.3003
615.000000 91.452 -161.9981
622.000000 91.519 -162.7143
630.000000 91.580 -163.5258
640.000000 91.643 -164.4661
650.000000 91.700 -165.3436
660.000000 91.746 -166.1959
670.000000 91.784 -167.0431
680.000000 91.814 -167.8590
690.000000 91.837 -168.6683
700.000000 91.847 -169.4644
710.000000 91.845 -170.1711
720.000000 91.847 -170.7728
730.000000 91.860 -171.3788
740.000000 91.873 -172.0702
750.000000 91.877 -172.7993
762.000000 91.873 -173.6810
775.000000 91.859 -174.6489
788.000000 91.824 -175.6810
800.000000 91.761 -176.6202
812.000000 91.704 -177.3470
825.000000 91.633 -178.2524
838.000000 91.535 -178.8969
850.000000 91.449 -179.6318
862.000000 91.371 179.6991
875.000000 91.269 179.0868
885.000000 91.169 178.5869
900.000000 91.013 177.8284
912.000000 90.877 177.3503
925.000000 90.702 176.9269
938.000000 90.491 176.6245
950.000000 90.294 176.6879
962.000000 90.119 177.0494
975.000000 89.973 177.6752
988.000000 89.867 178.2586
1000.000000 89.793 178.6538
1015.000000 89.694 179.1277
1030.000000 89.594 179.7280
1044.000000 89.532 -179.6715
1060.000000 89.501 -179.1575
1075.000000 89.473 -179.0015
1090.000000 89.410 -178.9846
1106.000000 89.306 -178.8943
1120.000000 89.202 -178.7372
1138.000000 89.057 -178.3441
1150.000000 88.958 -177.9124
1172.000000 88.789 -176.8319
1180.000000 88.737 -176.3506
1206.000000 88.654 -174.4703
1220.000000 88.680 -173.4965
1241.000000 88.796 -172.7199
1250.000000 88.841 -172.7515
1265.000000 88.859 -173.0894
1280.000000 88.806 -173.4298
1315.000000 88.560 -173.3102
1320.000000 88.522 -173.2155
1340.000000 88.367 -172.6621
1360.000000 88.224 -171.8068
1380.000000 88.109 -170.8177
1400.000000 88.010 -169.8348
1430.000000 87.875 -168.2907
1450.000000 87.806 -167.0499
1475.000000 87.738 -165.6045
1500.000000 87.681 -164.2346
1525.000000 87.639 -162.7729
1550.000000 87.609 -161.3139
1575.000000 87.583 -159.8879
1600.000000 87.560 -158.3812
1625.000000 87.556 -156.7756
1650.000000 87.570 -155.1477
1675.000000 87.596 -153.4865
1700.000000 87.644 -151.8064
1725.000000 87.710 -150.1836
1750.000000 87.786 -148.5342
1775.000000 87.887 -146.8694
1800.000000 88.013 -145.2495
1825.000000 88.164 -143.7602
1850.000000 88.320 -142.4477
1875.000000 88.477 -141.2689
1900.000000 88.627 -140.1931
1925.000000 88.772 -139.1082
1950.000000 88.925 -137.9870
1975.000000 89.093 -136.9091
2000.000000 89.268 -135.9300
2030.000000 89.477 -134.8169
2060.000000 89.686 -133.8098
2090.000000 89.891 -132.8358
2120.000000 90.106 -131.8636
2140.000000 90.252 -131.2957
2180.000000 90.525 -130.2302
2200.000000 90.656 -129.6596
2240.000000 90.930 -128.3537
2270.000000 91.168 -127.2964
2300.000000 91.433 -126.3320
2330.000000 91.714 -125.5017
2360.000000 92.007 -124.7749
2400.000000 92.410 -124.0254
2430.000000 92.709 -123.6193
2470.000000 93.104 -123.1394
2500.000000 93.406 -122.7915
2540.000000 93.828 -122.3672
2580.000000 94.283 -122.0729
2620.000000 94.763 -122.0190
2650.000000 95.136 -122.1388
2690.000000 95.651 -122.5206
2720.000000 96.052 -123.0139
2760.000000 96.601 -124.0322
2800.000000 97.150 -125.5328
2850.000000 97.803 -128.0614
2900.000000 98.400 -131.1728
2950.000000 98.937 -134.7811
3000.000000 99.402 -138.8682
3040.000000 99.710 -142.4260
3070.000000 99.901 -145.2136
3110.000000 100.099 -149.0639
3150.000000 100.225 -153.0215
3200.000000 100.272 -157.8931
3250.000000 100.227 -162.3849
3300.000000 100.150 -166.5833
3350.000000 100.033 -170.8224
3400.000000 99.832 -175.0163
3450.000000 99.549 -178.9339
3500.000000 99.198 177.5363
3550.000000 98.794 174.4453
3600.000000 98.350 171.8505
3650.000000 97.881 169.8015
3700.000000 97.411 168.3024
3750.000000 96.961 167.2977
3820.000000 96.393 166.4624
3870.000000 96.028 166.1107
3950.000000 95.497 165.8051
4000.000000 95.191 165.7653
4060.000000 94.849 165.8721
4120.000000 94.538 166.1203
4180.000000 94.260 166.4642
4250.000000 93.979 166.9134
4310.000000 93.774 167.2258
4370.000000 93.584 167.3769
4440.000000 93.352 167.4084
4500.000000 93.136 167.4334
4550.000000 92.945 167.5095
4620.000000 92.667 167.7491
4680.000000 92.421 168.1196
4750.000000 92.134 168.8011
4820.000000 91.862 169.7910
4870.000000 91.686 170.6832
4940.000000 91.482 172.1343
5000.000000 91.353 173.4730
5080.000000 91.247 175.2131
5150.000000 91.201 176.5854
5220.000000 91.182 177.8058
5300.000000 91.181 179.0822
5380.000000 91.207 -179.6714
