* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Jan 12, 2025 12:19:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Bore (Worn Pads) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.776 96.3343
20.600000 75.828 95.2915
20.900000 75.851 94.3334
21.200001 75.858 93.6435
21.400000 75.871 93.3313
21.799999 75.950 92.8932
22.000000 76.021 92.6580
22.400000 76.206 91.9350
22.700001 76.352 91.1333
23.000000 76.479 90.2064
23.299999 76.582 89.3195
23.600000 76.672 88.6323
24.000000 76.813 88.1552
24.299999 76.965 88.0596
24.700001 77.239 87.9942
25.000000 77.475 87.7936
25.400000 77.775 87.1916
25.799999 78.002 86.2883
26.200001 78.128 85.2963
26.500000 78.165 84.6083
26.900000 78.169 83.8205
27.200001 78.163 83.2937
27.600000 78.177 82.5636
28.000000 78.236 81.6758
28.500000 78.374 80.2645
29.000000 78.546 78.6609
29.500000 78.705 77.2108
30.000000 78.831 76.2397
30.400000 78.924 75.8429
30.700001 78.999 75.6673
31.100000 79.114 75.3932
31.500000 79.231 74.8878
32.000000 79.350 73.8945
32.500000 79.426 72.7828
33.000000 79.490 71.8850
33.500000 79.584 71.2237
34.000000 79.712 70.5514
34.500000 79.834 69.6856
35.000000 79.921 68.6882
35.500000 79.982 67.7251
36.000000 80.046 66.8773
36.500000 80.129 66.1201
37.000000 80.228 65.4138
37.500000 80.334 64.7332
38.200001 80.479 63.7369
38.700001 80.566 62.9513
39.500000 80.657 61.7518
40.000000 80.699 61.1748
40.599998 80.761 60.5752
41.200001 80.834 59.8170
41.799999 80.896 58.7908
42.500000 80.946 57.5175
43.099998 80.996 56.6835
43.700001 81.077 56.1717
44.400002 81.198 55.7314
45.000000 81.294 55.1852
45.500000 81.351 54.5123
46.200001 81.401 53.3351
46.799999 81.438 52.3408
47.500000 81.496 51.4857
48.200001 81.571 50.9978
48.700001 81.628 50.7087
49.400002 81.690 50.0939
50.000000 81.717 49.3026
50.799999 81.735 48.1408
51.500000 81.772 47.2418
52.200001 81.824 46.4392
53.000000 81.859 45.6322
53.799999 81.876 44.9860
54.500000 81.909 44.4419
55.200001 81.963 43.8030
56.000000 82.028 42.9565
57.000000 82.071 41.9595
58.000000 82.098 41.4850
59.000000 82.186 41.0660
60.000000 82.221 40.0284
60.799999 82.167 39.2222
61.500000 82.128 38.7531
62.200001 82.137 38.2927
63.000000 82.181 37.5741
64.000000 82.221 36.5921
65.000000 82.248 35.7733
66.000000 82.281 34.9327
67.000000 82.298 34.2517
68.000000 82.337 33.8395
69.000000 82.365 33.2084
70.000000 82.326 32.5107
71.000000 82.298 31.9402
72.000000 82.305 31.2636
73.000000 82.305 30.6423
74.000000 82.301 30.2435
75.000000 82.309 29.7559
76.199997 82.295 28.9239
77.500000 82.271 28.2484
78.800003 82.263 27.6529
80.000000 82.229 26.8379
81.199997 82.191 26.1389
82.500000 82.211 25.6034
83.800003 82.220 24.9798
85.000000 82.206 24.5916
86.199997 82.191 24.5042
87.500000 82.175 24.4135
88.500000 82.158 23.9897
90.000000 82.132 23.2297
91.199997 82.126 22.9052
92.500000 82.111 22.6812
93.800003 82.107 22.3987
95.000000 82.086 21.9216
96.199997 82.048 21.5567
97.500000 82.041 21.2369
98.800003 82.037 21.0335
100.000000 82.030 20.8909
101.500000 82.054 20.3580
103.000000 82.035 19.9544
104.400002 81.945 19.5820
106.000000 81.872 19.1442
107.500000 81.974 19.0823
109.000000 81.994 18.9443
110.599998 82.011 18.8694
112.000000 82.003 18.1763
113.800003 81.940 18.1820
115.000000 81.981 18.5138
117.199997 82.077 17.9580
118.000000 82.087 17.5491
120.599998 82.049 16.4065
122.000000 81.985 16.0210
124.099998 81.920 15.5531
125.000000 81.905 15.4501
126.500000 81.914 15.4181
128.000000 81.934 15.1752
131.500000 81.923 13.7081
132.000000 81.916 13.5176
134.000000 81.872 12.9541
136.000000 81.825 12.3943
138.000000 81.805 11.8086
140.000000 81.808 11.3488
143.000000 81.745 11.4943
145.000000 81.601 11.5562
147.500000 81.393 11.2361
150.000000 81.280 10.8163
152.500000 81.211 11.2356
155.000000 81.067 11.5513
157.500000 80.969 12.0624
160.000000 80.962 12.7030
162.500000 80.978 13.0804
165.000000 81.034 13.7113
167.500000 81.094 13.7823
170.000000 81.117 13.7894
172.500000 81.088 14.1248
175.000000 81.083 14.2754
177.500000 81.089 14.0619
180.000000 81.083 13.8935
182.500000 81.065 14.0419
185.000000 81.038 14.2838
187.500000 81.014 14.3120
190.000000 81.022 14.3061
192.500000 81.017 14.5874
195.000000 80.997 14.8364
197.500000 80.993 14.9966
200.000000 81.003 15.1389
203.000000 80.992 15.0813
206.000000 80.984 15.1073
209.000000 81.008 15.4104
212.000000 81.099 16.0283
214.000000 81.069 16.3605
218.000000 80.875 16.1461
220.000000 80.863 15.6133
224.000000 80.927 15.0954
227.000000 80.957 15.1892
230.000000 80.991 15.7688
233.000000 80.985 16.0800
236.000000 80.932 15.9245
240.000000 80.893 16.0079
243.000000 80.888 16.5848
247.000000 80.915 16.7038
250.000000 80.950 16.7330
254.000000 80.945 16.7515
258.000000 80.927 16.6840
262.000000 80.905 16.8000
265.000000 80.884 17.0580
269.000000 80.866 17.3576
272.000000 80.873 17.6292
276.000000 80.892 18.0374
280.000000 80.898 18.5447
285.000000 80.873 18.9906
290.000000 80.859 19.1882
295.000000 80.887 19.2884
300.000000 80.956 19.6591
304.000000 80.955 19.7462
307.000000 80.958 19.9326
311.000000 80.995 20.4189
315.000000 81.000 20.7255
320.000000 80.967 20.7917
325.000000 80.943 21.1697
330.000000 80.956 21.6023
335.000000 80.975 22.1026
340.000000 81.002 22.5304
345.000000 81.065 22.9827
350.000000 81.113 23.4062
355.000000 81.121 23.7646
360.000000 81.120 24.0159
365.000000 81.123 24.2296
370.000000 81.157 24.3849
375.000000 81.240 24.5338
382.000000 81.299 25.2061
387.000000 81.326 25.6165
395.000000 81.376 25.6026
400.000000 81.382 26.0773
406.000000 81.419 26.5551
412.000000 81.508 26.9641
418.000000 81.581 27.0641
425.000000 81.660 27.6513
431.000000 81.767 27.8281
437.000000 81.841 27.3809
444.000000 81.825 26.7488
450.000000 81.840 26.5856
455.000000 81.874 26.5710
462.000000 81.959 27.3770
468.000000 82.027 28.3993
475.000000 82.032 29.4379
482.000000 82.091 29.8560
487.000000 82.145 30.0020
494.000000 82.162 30.0794
500.000000 82.201 30.2111
508.000000 82.248 30.6413
515.000000 82.279 30.8969
522.000000 82.324 31.2116
530.000000 82.386 31.5058
538.000000 82.467 31.7241
545.000000 82.529 31.8989
552.000000 82.620 32.1258
560.000000 82.738 32.2453
570.000000 82.890 32.7766
580.000000 82.999 31.9885
590.000000 82.878 30.4775
600.000000 82.959 30.5713
608.000000 83.174 32.3373
615.000000 83.235 33.9534
622.000000 83.248 34.5227
630.000000 83.298 34.8549
640.000000 83.388 35.0555
650.000000 83.481 35.2340
660.000000 83.561 35.3936
670.000000 83.669 35.6010
680.000000 83.788 35.7471
690.000000 83.902 35.8487
700.000000 84.007 35.8727
710.000000 84.106 35.9455
720.000000 84.208 36.1038
730.000000 84.305 36.1686
740.000000 84.367 36.3189
750.000000 84.462 36.3957
762.000000 84.598 36.4535
775.000000 84.724 36.4723
788.000000 84.848 36.4958
800.000000 84.965 36.3598
812.000000 85.099 36.1416
825.000000 85.230 35.9626
838.000000 85.348 35.6548
850.000000 85.457 35.3901
862.000000 85.559 35.1534
875.000000 85.670 34.8961
885.000000 85.755 34.6536
900.000000 85.886 34.2786
912.000000 86.001 33.8769
925.000000 86.108 33.2316
938.000000 86.186 32.5696
950.000000 86.242 31.9786
962.000000 86.289 31.5129
975.000000 86.335 31.0656
988.000000 86.379 30.6400
1000.000000 86.428 30.2165
1015.000000 86.487 29.5829
1030.000000 86.527 28.9999
1044.000000 86.539 28.7386
1060.000000 86.603 28.6312
1075.000000 86.719 28.0009
1090.000000 86.784 26.9716
1106.000000 86.805 25.7889
1120.000000 86.744 24.6757
1138.000000 86.583 24.0968
1150.000000 86.504 24.1404
1172.000000 86.412 24.3595
1180.000000 86.397 24.4034
1206.000000 86.422 24.2915
1220.000000 86.436 24.2355
1241.000000 86.433 24.4580
1250.000000 86.445 24.4800
1265.000000 86.474 24.3045
1280.000000 86.508 23.8328
1315.000000 86.526 22.9082
1320.000000 86.515 22.8268
1340.000000 86.427 22.4414
1360.000000 86.305 22.3888
1380.000000 86.229 22.7404
1400.000000 86.168 23.0200
1430.000000 86.022 23.8657
1450.000000 86.015 24.8664
1475.000000 86.150 25.6758
1500.000000 86.213 25.5358
1525.000000 86.209 25.6868
1550.000000 86.211 25.7460
1575.000000 86.165 25.8113
1600.000000 86.106 26.3606
1625.000000 86.076 27.1231
1650.000000 86.078 27.9966
1675.000000 86.101 28.8751
1700.000000 86.152 29.8012
1725.000000 86.231 30.6952
1750.000000 86.328 31.5813
1775.000000 86.452 32.2735
1800.000000 86.557 32.5346
1825.000000 86.612 32.8044
1850.000000 86.648 33.4635
1875.000000 86.717 34.2661
1900.000000 86.781 35.1039
1925.000000 86.881 36.3873
1950.000000 87.083 37.5188
1975.000000 87.294 38.0055
2000.000000 87.466 38.3967
2030.000000 87.657 38.9012
2060.000000 87.856 39.5584
2090.000000 88.069 40.1225
2120.000000 88.297 40.8941
2140.000000 88.486 41.4216
2180.000000 88.918 42.0203
2200.000000 89.146 42.1429
2240.000000 89.647 42.1517
2270.000000 90.042 41.4815
2300.000000 90.351 40.2651
2330.000000 90.622 39.1035
2360.000000 90.865 37.8194
2400.000000 91.151 36.3042
2430.000000 91.402 35.2601
2470.000000 91.732 33.2842
2500.000000 91.923 31.3703
2540.000000 92.047 28.8677
2580.000000 92.095 26.9975
2620.000000 92.172 25.6781
2650.000000 92.265 24.8124
2690.000000 92.429 23.5728
2720.000000 92.578 22.4993
2760.000000 92.795 20.7326
2800.000000 92.986 18.4454
2850.000000 93.119 15.2051
2900.000000 93.186 12.1763
2950.000000 93.244 8.8229
3000.000000 93.174 4.9376
3040.000000 92.996 2.0585
3070.000000 92.820 0.1996
3110.000000 92.557 -1.9568
3150.000000 92.267 -3.8830
3200.000000 91.821 -5.9559
3250.000000 91.281 -6.9703
3300.000000 90.780 -6.6579
3350.000000 90.355 -5.8401
3400.000000 89.945 -4.2669
3450.000000 89.649 -1.2999
3500.000000 89.632 2.3644
3550.000000 89.890 5.2735
3600.000000 90.268 6.7112
3650.000000 90.624 7.0649
3700.000000 90.940 7.0600
3750.000000 91.296 6.9207
3820.000000 91.887 5.3584
3870.000000 92.238 2.8457
3950.000000 92.470 -2.0671
4000.000000 92.465 -4.9458
4060.000000 92.353 -8.0942
4120.000000 92.151 -10.6785
4180.000000 91.916 -12.6282
4250.000000 91.642 -14.3761
4310.000000 91.398 -15.4755
4370.000000 91.171 -16.1330
4440.000000 90.958 -16.5800
4500.000000 90.815 -16.9075
4550.000000 90.711 -17.1998
4620.000000 90.566 -17.5904
4680.000000 90.444 -17.7857
4750.000000 90.323 -17.7841
4820.000000 90.240 -17.6629
4870.000000 90.198 -17.5475
4940.000000 90.161 -17.2884
5000.000000 90.157 -16.9153
5080.000000 90.221 -16.1252
5150.000000 90.384 -15.2228
5220.000000 90.696 -14.2971
5300.000000 91.315 -13.7186
5380.000000 92.243 -14.9091
5450.000000 93.213 -18.6763
5520.000000 94.095 -25.7718
5600.000000 94.626 -37.4278
5700.000000 94.209 -53.6258
5800.000000 92.755 -66.7187
5900.000000 90.848 -74.5826
6000.000000 88.972 -78.2140
6080.000000 87.622 -79.2405
6150.000000 86.563 -79.4015
6220.000000 85.599 -79.2697
6300.000000 84.573 -79.0994
6400.000000 83.315 -79.1118
6500.000000 81.976 -79.3496
6600.000000 80.462 -79.5168
6700.000000 78.709 -79.4134
