* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Jan 12, 2025 12:22:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Bore (Worn Pads) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 74.174 101.0175
20.600000 74.436 100.5166
20.900000 74.742 99.7673
21.200001 75.034 98.8166
21.400000 75.203 98.1268
21.799999 75.457 96.7988
22.000000 75.544 96.2316
22.400000 75.661 95.3614
22.700001 75.726 94.8815
23.000000 75.792 94.4212
23.299999 75.865 93.8522
23.600000 75.943 93.0973
24.000000 76.043 91.8289
24.299999 76.110 90.8049
24.700001 76.193 89.5810
25.000000 76.261 88.8806
25.400000 76.376 88.2481
25.799999 76.516 87.8087
26.200001 76.660 87.3625
26.500000 76.753 86.9621
26.900000 76.852 86.3585
27.200001 76.919 85.8860
27.600000 77.026 85.2227
28.000000 77.178 84.4181
28.500000 77.416 83.0435
29.000000 77.628 81.3720
29.500000 77.750 79.9183
30.000000 77.809 79.1631
30.400000 77.870 79.0370
30.700001 77.947 79.0323
31.100000 78.087 78.8781
31.500000 78.241 78.4093
32.000000 78.402 77.5188
32.500000 78.517 76.6545
33.000000 78.611 76.0083
33.500000 78.701 75.4416
34.000000 78.774 74.7383
34.500000 78.822 73.8325
35.000000 78.858 72.7902
35.500000 78.908 71.6957
36.000000 78.982 70.6276
36.500000 79.070 69.6737
37.000000 79.160 68.8911
37.500000 79.243 68.2591
38.200001 79.336 67.5024
38.700001 79.389 67.0117
39.500000 79.486 66.3206
40.000000 79.566 65.9288
40.599998 79.678 65.4677
41.200001 79.798 64.9650
41.799999 79.922 64.2937
42.500000 80.050 63.1809
43.099998 80.125 62.0993
43.700001 80.180 61.1615
44.400002 80.251 60.3700
45.000000 80.324 59.8425
45.500000 80.388 59.4269
46.200001 80.474 58.7927
46.799999 80.542 58.1292
47.500000 80.598 57.2607
48.200001 80.636 56.5023
48.700001 80.675 56.0401
49.400002 80.755 55.2822
50.000000 80.819 54.4363
50.799999 80.866 53.3613
51.500000 80.910 52.7276
52.200001 80.979 52.2047
53.000000 81.052 51.4999
53.799999 81.104 50.7623
54.500000 81.158 50.1318
55.200001 81.217 49.4800
56.000000 81.266 48.7559
57.000000 81.311 47.8144
58.000000 81.392 46.3128
59.000000 81.458 44.5829
60.000000 81.483 43.9974
60.799999 81.511 44.1777
61.500000 81.517 44.1284
62.200001 81.492 43.7097
63.000000 81.462 42.9736
64.000000 81.466 42.1367
65.000000 81.503 41.7310
66.000000 81.548 41.3925
67.000000 81.567 40.6884
68.000000 81.559 39.9015
69.000000 81.549 39.3477
70.000000 81.559 38.9350
71.000000 81.594 38.3506
72.000000 81.620 37.6482
73.000000 81.632 37.1452
74.000000 81.647 36.7550
75.000000 81.663 36.3157
76.199997 81.677 35.7608
77.500000 81.683 35.2789
78.800003 81.678 34.9193
80.000000 81.650 34.8068
81.199997 81.661 34.3569
82.500000 81.700 33.3376
83.800003 81.750 32.5969
85.000000 81.773 32.1453
86.199997 81.782 31.7571
87.500000 81.788 31.3752
88.500000 81.790 31.0908
90.000000 81.801 30.5035
91.199997 81.820 30.0428
92.500000 81.831 29.6022
93.800003 81.844 29.1347
95.000000 81.866 28.5781
96.199997 81.867 28.1990
97.500000 81.858 28.0668
98.800003 81.847 27.8775
100.000000 81.835 27.6671
101.500000 81.820 27.3601
103.000000 81.814 26.9641
104.400002 81.829 26.6017
106.000000 81.845 26.3803
107.500000 81.854 26.2266
109.000000 81.842 25.9766
110.599998 81.845 25.6895
112.000000 81.867 25.4481
113.800003 81.888 25.2005
115.000000 81.895 25.0545
117.199997 81.918 24.6201
118.000000 81.932 24.3165
120.599998 81.963 23.6290
122.000000 81.986 23.6851
124.099998 81.986 23.5203
125.000000 81.984 23.3933
126.500000 82.006 22.9851
128.000000 82.049 22.3221
131.500000 82.077 21.1407
132.000000 82.073 21.0131
134.000000 82.057 20.4855
136.000000 82.018 19.8703
138.000000 81.976 19.3731
140.000000 81.925 19.0139
143.000000 81.808 18.5613
145.000000 81.763 18.5200
147.500000 81.751 18.5968
150.000000 81.736 18.4460
152.500000 81.717 18.2644
155.000000 81.691 18.1651
157.500000 81.646 17.9670
160.000000 81.594 17.8493
162.500000 81.553 17.8511
165.000000 81.521 17.8341
167.500000 81.497 17.8042
170.000000 81.487 17.8011
172.500000 81.468 17.7410
175.000000 81.436 17.8736
177.500000 81.413 18.0648
180.000000 81.377 18.0871
182.500000 81.355 18.0179
185.000000 81.361 17.8822
187.500000 81.372 17.8900
190.000000 81.390 17.9971
192.500000 81.402 18.0536
195.000000 81.399 18.1394
197.500000 81.402 18.2369
200.000000 81.397 18.3021
203.000000 81.363 18.3195
206.000000 81.398 17.9862
209.000000 81.474 17.6732
212.000000 81.426 18.0910
214.000000 81.375 18.3794
218.000000 81.332 18.5714
220.000000 81.327 18.6423
224.000000 81.340 18.8264
227.000000 81.344 18.9130
230.000000 81.333 18.9261
233.000000 81.322 18.8663
236.000000 81.315 19.0262
240.000000 81.295 19.3426
243.000000 81.271 19.4366
247.000000 81.232 19.7974
250.000000 81.212 20.0432
254.000000 81.197 20.0941
258.000000 81.219 20.2054
262.000000 81.243 20.4907
265.000000 81.249 20.7545
269.000000 81.263 20.9889
272.000000 81.282 21.1556
276.000000 81.299 21.4163
280.000000 81.308 21.6137
285.000000 81.332 21.8004
290.000000 81.357 22.0583
295.000000 81.357 22.2819
300.000000 81.367 22.5028
304.000000 81.388 22.6707
307.000000 81.394 22.7866
311.000000 81.391 22.9691
315.000000 81.395 23.1755
320.000000 81.401 23.4040
325.000000 81.401 23.6635
330.000000 81.414 23.9612
335.000000 81.432 24.1958
340.000000 81.463 24.4554
345.000000 81.481 24.8081
350.000000 81.497 25.2107
355.000000 81.527 25.6126
360.000000 81.567 25.9782
365.000000 81.608 26.2568
370.000000 81.650 26.5163
375.000000 81.681 26.7019
382.000000 81.716 26.9722
387.000000 81.739 27.2261
395.000000 81.783 27.6952
400.000000 81.822 28.0055
406.000000 81.872 28.3328
412.000000 81.902 28.6016
418.000000 81.925 28.9363
425.000000 81.985 29.3160
431.000000 82.046 29.5544
437.000000 82.098 29.7665
444.000000 82.146 30.0019
450.000000 82.183 30.1761
455.000000 82.217 30.3327
462.000000 82.260 30.5948
468.000000 82.286 30.8039
475.000000 82.317 31.1472
482.000000 82.369 31.6063
487.000000 82.411 31.8614
494.000000 82.474 32.1952
500.000000 82.538 32.4791
508.000000 82.616 32.8380
515.000000 82.670 33.0575
522.000000 82.717 33.1642
530.000000 82.779 33.3973
538.000000 82.852 33.8005
545.000000 82.923 34.0740
552.000000 82.979 34.3390
560.000000 83.034 34.9165
570.000000 83.145 35.3658
580.000000 83.240 35.3663
590.000000 83.260 35.5955
600.000000 83.348 35.5566
608.000000 83.443 35.8872
615.000000 83.516 36.1398
622.000000 83.580 36.3788
630.000000 83.642 36.6327
640.000000 83.716 36.9464
650.000000 83.816 37.1805
660.000000 83.899 37.4703
670.000000 83.983 37.6895
680.000000 84.080 38.0107
690.000000 84.168 38.2649
700.000000 84.269 38.5069
710.000000 84.379 38.6725
720.000000 84.488 38.7976
730.000000 84.587 38.8814
740.000000 84.682 38.9273
750.000000 84.776 39.0345
762.000000 84.889 39.1389
775.000000 85.002 39.2335
788.000000 85.133 39.3969
800.000000 85.259 39.4699
812.000000 85.386 39.4708
825.000000 85.525 39.4415
838.000000 85.662 39.3658
850.000000 85.777 39.1732
862.000000 85.889 39.0449
875.000000 86.020 38.9305
885.000000 86.115 38.7773
900.000000 86.247 38.5083
912.000000 86.349 38.2559
925.000000 86.452 37.9939
938.000000 86.549 37.7717
950.000000 86.649 37.6335
962.000000 86.755 37.4610
975.000000 86.876 37.1769
988.000000 87.005 36.8092
1000.000000 87.127 36.3013
1015.000000 87.255 35.3869
1030.000000 87.317 34.3579
1044.000000 87.331 33.6987
1060.000000 87.354 33.2714
1075.000000 87.389 32.9992
1090.000000 87.446 32.8664
1106.000000 87.557 32.5673
1120.000000 87.647 31.9632
1138.000000 87.711 31.1635
1150.000000 87.747 30.7031
1172.000000 87.811 29.7844
1180.000000 87.830 29.4289
1206.000000 87.837 28.0114
1220.000000 87.780 27.3729
1241.000000 87.688 27.2670
1250.000000 87.687 27.3827
1265.000000 87.706 27.3398
1280.000000 87.720 27.1560
1315.000000 87.675 26.6308
1320.000000 87.663 26.6166
1340.000000 87.680 26.5544
1360.000000 87.757 26.1702
1380.000000 87.755 25.5318
1400.000000 87.690 25.2368
1430.000000 87.616 25.1164
1450.000000 87.550 25.0686
1475.000000 87.459 25.6758
1500.000000 87.458 26.4923
1525.000000 87.511 27.2629
1550.000000 87.612 27.7739
1575.000000 87.705 27.9317
1600.000000 87.792 27.9472
1625.000000 87.860 27.8125
1650.000000 87.881 27.6522
1675.000000 87.893 27.7611
1700.000000 87.914 27.9186
1725.000000 87.921 28.2044
1750.000000 87.949 28.6159
1775.000000 87.982 29.0112
1800.000000 88.026 29.7081
1825.000000 88.127 30.5572
1850.000000 88.299 31.2534
1875.000000 88.505 31.3745
1900.000000 88.689 31.0090
1925.000000 88.811 30.3093
1950.000000 88.839 29.5704
1975.000000 88.805 29.0201
2000.000000 88.729 28.7124
2030.000000 88.565 29.1681
2060.000000 88.443 31.0392
2090.000000 88.507 33.8508
2120.000000 88.811 36.7279
2140.000000 89.142 38.1843
2180.000000 89.939 38.7962
2200.000000 90.298 37.9972
2240.000000 90.779 35.3651
2270.000000 90.954 33.4213
2300.000000 91.032 31.8998
2330.000000 91.046 30.9094
2360.000000 91.057 30.7208
2400.000000 91.218 31.3888
2430.000000 91.480 31.8052
2470.000000 91.962 31.5932
2500.000000 92.353 30.3114
2540.000000 92.723 27.5070
2580.000000 92.916 24.6139
2620.000000 92.986 22.1569
2650.000000 93.017 20.8114
2690.000000 93.115 19.3714
2720.000000 93.222 18.1769
2760.000000 93.384 16.3207
2800.000000 93.527 13.9684
2850.000000 93.597 10.6122
2900.000000 93.531 7.3924
2950.000000 93.393 4.7158
3000.000000 93.242 2.4220
3040.000000 93.111 0.6841
3070.000000 93.000 -0.5627
3110.000000 92.840 -2.1029
3150.000000 92.673 -3.6477
3200.000000 92.394 -5.7824
3250.000000 91.938 -7.6071
3300.000000 91.328 -7.8420
3350.000000 90.775 -5.4710
3400.000000 90.622 -1.5839
3450.000000 90.829 1.0827
3500.000000 91.101 1.8064
3550.000000 91.248 1.7605
3600.000000 91.345 2.1877
3650.000000 91.547 2.9070
3700.000000 91.851 2.8221
3750.000000 92.108 1.8473
3820.000000 92.384 0.2973
3870.000000 92.594 -1.1099
3950.000000 92.820 -4.5713
4000.000000 92.822 -6.9953
4060.000000 92.693 -9.6382
4120.000000 92.459 -11.5946
4180.000000 92.192 -12.6616
4250.000000 91.931 -12.9967
4310.000000 91.776 -12.9351
4370.000000 91.659 -12.7631
4440.000000 91.552 -12.3200
4500.000000 91.501 -11.6382
4550.000000 91.504 -10.8979
4620.000000 91.590 -9.7780
4680.000000 91.730 -8.8391
4750.000000 91.972 -7.7626
4820.000000 92.317 -6.7452
4870.000000 92.641 -6.1359
4940.000000 93.217 -5.6479
5000.000000 93.829 -5.7783
5080.000000 94.821 -7.1640
5150.000000 95.839 -10.0578
5220.000000 96.939 -15.2111
5300.000000 98.113 -24.6427
5380.000000 98.866 -37.8711
5450.000000 98.915 -51.2741
5520.000000 98.322 -64.3257
5600.000000 97.025 -76.6455
5700.000000 94.974 -86.8291
5800.000000 92.930 -92.0970
5900.000000 91.132 -94.2415
6000.000000 89.620 -94.8037
6080.000000 88.586 -94.7912
6150.000000 87.778 -94.7277
6220.000000 87.034 -94.7615
6300.000000 86.235 -95.0532
6400.000000 85.251 -95.9752
6500.000000 84.194 -97.5590
6600.000000 82.965 -99.5331
6700.000000 81.506 -101.2618
