* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Jan 12, 2025 12:46:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Bore (ZUniHyP) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 74.198 94.7979
20.600000 74.307 94.5144
20.900000 74.454 94.4485
21.200001 74.631 94.4329
21.400000 74.756 94.3223
21.799999 74.963 93.6911
22.000000 75.022 93.2032
22.400000 75.020 92.2199
22.700001 74.945 91.8185
23.000000 74.877 91.8707
23.299999 74.896 92.1999
23.600000 75.045 92.3346
24.000000 75.387 91.3646
24.299999 75.640 89.5863
24.700001 75.819 86.3757
25.000000 75.793 84.0645
25.400000 75.619 82.2026
25.799999 75.506 82.2337
26.200001 75.687 83.2554
26.500000 76.013 83.5917
26.900000 76.509 82.6675
27.200001 76.787 81.1630
27.600000 76.938 79.0493
28.000000 76.891 77.9158
28.500000 76.818 78.5354
29.000000 76.979 80.0416
29.500000 77.287 80.3780
30.000000 77.499 79.2849
30.400000 77.556 78.0496
30.700001 77.569 77.2047
31.100000 77.601 76.2544
31.500000 77.682 75.3836
32.000000 77.834 74.2286
32.500000 77.994 73.0556
33.000000 78.136 72.0284
33.500000 78.255 71.2146
34.000000 78.357 70.5881
34.500000 78.464 70.0194
35.000000 78.584 69.2986
35.500000 78.689 68.3896
36.000000 78.763 67.5576
36.500000 78.848 67.0012
37.000000 78.984 66.4550
37.500000 79.126 65.5113
38.200001 79.181 63.8857
38.700001 79.157 63.2446
39.500000 79.270 62.7173
40.000000 79.380 61.8857
40.599998 79.392 60.7878
41.200001 79.355 60.4407
41.799999 79.437 60.3026
42.500000 79.600 59.1338
43.099998 79.673 57.7741
43.700001 79.746 56.7857
44.400002 79.875 55.8855
45.000000 79.954 55.2450
45.500000 80.013 54.8319
46.200001 80.115 53.8821
46.799999 80.125 52.7501
47.500000 80.094 52.3645
48.200001 80.308 52.4362
48.700001 80.524 51.4463
49.400002 80.552 49.1818
50.000000 80.357 48.5496
50.799999 80.426 49.5530
51.500000 80.791 48.5508
52.200001 80.903 45.8831
53.000000 80.683 44.5190
53.799999 80.597 45.7335
54.500000 80.820 46.4873
55.200001 81.143 45.2646
56.000000 81.315 41.9060
57.000000 80.935 38.8877
58.000000 80.514 42.4269
59.000000 81.289 45.2760
60.000000 82.001 37.9460
60.799999 81.511 31.0646
61.500000 80.600 31.4576
62.200001 80.361 38.3590
63.000000 81.309 43.0176
64.000000 82.296 37.5910
65.000000 82.080 29.4424
66.000000 81.049 26.0950
67.000000 80.193 29.5511
68.000000 80.420 34.7869
69.000000 81.315 35.3331
70.000000 81.881 31.0609
71.000000 81.694 25.8188
72.000000 81.067 23.6852
73.000000 80.669 25.1382
74.000000 80.694 26.6459
75.000000 80.809 26.3305
76.199997 80.799 25.0756
77.500000 80.680 24.7391
78.800003 80.653 24.9528
80.000000 80.680 24.6042
81.199997 80.676 24.2190
82.500000 80.644 24.0465
83.800003 80.659 24.1346
85.000000 80.787 24.0020
86.199997 80.959 23.3141
87.500000 81.078 22.3756
88.500000 81.112 21.6653
90.000000 81.126 20.6921
91.199997 81.183 20.1495
92.500000 81.260 19.8193
93.800003 81.296 19.7089
95.000000 81.263 19.8902
96.199997 81.172 20.0429
97.500000 80.960 20.1581
98.800003 80.664 20.1761
100.000000 80.353 19.6068
101.500000 80.070 17.8637
103.000000 79.983 15.7710
104.400002 80.040 14.7918
106.000000 80.112 14.9669
107.500000 80.126 15.3872
109.000000 80.123 15.0191
110.599998 80.192 14.4217
112.000000 80.279 14.7676
113.800003 80.197 16.0356
115.000000 80.023 16.3723
117.199997 79.778 15.1764
118.000000 79.746 14.8299
120.599998 79.718 14.2944
122.000000 79.811 14.1998
124.099998 79.887 15.3553
125.000000 79.790 15.5583
126.500000 79.691 14.8188
128.000000 79.765 14.5391
131.500000 79.615 13.9040
132.000000 79.640 13.8283
134.000000 79.658 14.6607
136.000000 79.463 14.0543
138.000000 79.465 13.6903
140.000000 79.545 13.5676
143.000000 79.471 14.5227
145.000000 79.397 14.5118
147.500000 79.286 14.3024
150.000000 79.233 15.1372
152.500000 79.231 14.7924
155.000000 79.182 14.3299
157.500000 79.066 15.5402
160.000000 79.050 16.7022
162.500000 79.103 17.0936
165.000000 79.158 17.2424
167.500000 79.176 17.3608
170.000000 79.186 17.4137
172.500000 79.205 17.5467
175.000000 79.217 17.8401
177.500000 79.248 18.0829
180.000000 79.270 18.2755
182.500000 79.278 18.4015
185.000000 79.314 18.4140
187.500000 79.333 18.6591
190.000000 79.330 18.8398
192.500000 79.333 18.8296
195.000000 79.353 18.8223
197.500000 79.397 18.8432
200.000000 79.401 18.9170
203.000000 79.350 18.8973
206.000000 79.375 19.0629
209.000000 79.461 19.6821
212.000000 79.428 19.6214
214.000000 79.376 19.3091
218.000000 79.400 19.0720
220.000000 79.430 19.7210
224.000000 79.383 20.5744
227.000000 79.403 20.6097
230.000000 79.422 20.9288
233.000000 79.430 20.8125
236.000000 79.467 20.6678
240.000000 79.468 20.8384
243.000000 79.467 20.7467
247.000000 79.462 20.8948
250.000000 79.441 21.0526
254.000000 79.402 21.3009
258.000000 79.388 21.4973
262.000000 79.381 21.7641
265.000000 79.376 21.9881
269.000000 79.377 22.3738
272.000000 79.377 22.7902
276.000000 79.364 23.1107
280.000000 79.365 23.2526
285.000000 79.366 23.6500
290.000000 79.352 24.4084
295.000000 79.326 25.1653
300.000000 79.327 25.9446
304.000000 79.380 26.7933
307.000000 79.434 27.4747
311.000000 79.519 28.1836
315.000000 79.614 28.6285
320.000000 79.755 29.1402
325.000000 79.890 29.3276
330.000000 79.988 29.3606
335.000000 80.081 29.5359
340.000000 80.159 29.7538
345.000000 80.236 29.8607
350.000000 80.303 29.7691
355.000000 80.348 29.6051
360.000000 80.385 29.5381
365.000000 80.425 29.7586
370.000000 80.450 30.1262
375.000000 80.452 30.4286
382.000000 80.483 30.7932
387.000000 80.549 31.0186
395.000000 80.690 31.4707
400.000000 80.779 31.6772
406.000000 80.865 31.8367
412.000000 80.952 31.8193
418.000000 81.028 31.9092
425.000000 81.090 31.7092
431.000000 81.140 31.5884
437.000000 81.187 31.6077
444.000000 81.235 31.6258
450.000000 81.271 31.6126
455.000000 81.301 31.6899
462.000000 81.349 31.8831
468.000000 81.384 31.9618
475.000000 81.408 31.9653
482.000000 81.441 32.0385
487.000000 81.465 32.2107
494.000000 81.489 32.5618
500.000000 81.511 32.9038
508.000000 81.562 33.2838
515.000000 81.629 33.5710
522.000000 81.698 33.8011
530.000000 81.766 34.0209
538.000000 81.841 34.2286
545.000000 81.902 34.3733
552.000000 81.959 34.5212
560.000000 82.033 34.6048
570.000000 82.117 34.6560
580.000000 82.168 34.7748
590.000000 82.221 35.0692
600.000000 82.286 35.3302
608.000000 82.331 35.5212
615.000000 82.356 35.6760
622.000000 82.368 35.8646
630.000000 82.399 36.2921
640.000000 82.500 37.0178
650.000000 82.612 37.5210
660.000000 82.717 38.0394
670.000000 82.806 38.4890
680.000000 82.902 38.8554
690.000000 83.036 39.1613
700.000000 83.194 39.5617
710.000000 83.346 39.9372
720.000000 83.469 40.2082
730.000000 83.591 40.4425
740.000000 83.732 40.6198
750.000000 83.873 40.8315
762.000000 84.039 40.9285
775.000000 84.234 40.8520
788.000000 84.436 40.7262
800.000000 84.628 40.6418
812.000000 84.789 40.4286
825.000000 84.945 39.9290
838.000000 85.127 39.5733
850.000000 85.314 39.5558
862.000000 85.502 39.3229
875.000000 85.722 38.8252
885.000000 85.901 38.3383
900.000000 86.157 37.2664
912.000000 86.334 36.2061
925.000000 86.494 34.8822
938.000000 86.629 33.6146
950.000000 86.752 32.3309
962.000000 86.844 30.8862
975.000000 86.900 29.4121
988.000000 86.946 28.0069
1000.000000 86.971 26.5608
1015.000000 86.955 24.7058
1030.000000 86.868 23.0851
1044.000000 86.768 21.9846
1060.000000 86.683 20.9529
1075.000000 86.618 19.8747
1090.000000 86.540 18.6880
1106.000000 86.404 17.4139
1120.000000 86.245 16.5002
1138.000000 86.013 15.7450
1150.000000 85.862 15.4066
1172.000000 85.547 15.1461
1180.000000 85.438 15.2979
1206.000000 85.182 16.3547
1220.000000 85.102 16.8412
1241.000000 84.986 17.5512
1250.000000 84.939 17.9644
1265.000000 84.892 18.6811
1280.000000 84.876 19.1572
1315.000000 84.800 19.7515
1320.000000 84.783 19.8893
1340.000000 84.719 20.6377
1360.000000 84.709 21.4607
1380.000000 84.717 21.9698
1400.000000 84.713 22.4099
1430.000000 84.684 23.3116
1450.000000 84.688 24.0529
1475.000000 84.719 24.8594
1500.000000 84.745 25.4263
1525.000000 84.743 26.0798
1550.000000 84.723 27.1797
1575.000000 84.796 28.4716
1600.000000 84.915 29.2958
1625.000000 85.015 30.0741
1650.000000 85.142 30.7885
1675.000000 85.275 31.1746
1700.000000 85.379 31.4123
1725.000000 85.446 31.5975
1750.000000 85.480 31.9522
1775.000000 85.507 32.5292
1800.000000 85.543 33.4470
1825.000000 85.636 34.5694
1850.000000 85.773 35.6388
1875.000000 85.950 36.5705
1900.000000 86.141 37.0934
1925.000000 86.289 37.3440
1950.000000 86.397 37.7993
1975.000000 86.510 38.5502
2000.000000 86.645 39.5903
2030.000000 86.910 41.2400
2060.000000 87.328 42.3703
2090.000000 87.776 42.4626
2120.000000 88.172 41.8557
2140.000000 88.407 41.2547
2180.000000 88.779 39.5563
2200.000000 88.895 38.7204
2240.000000 89.073 37.7350
2270.000000 89.224 37.3502
2300.000000 89.391 37.1636
2330.000000 89.615 37.1573
2360.000000 89.900 36.9358
2400.000000 90.324 35.9534
2430.000000 90.628 34.6739
2470.000000 90.962 32.4984
2500.000000 91.147 30.7161
2540.000000 91.324 28.4207
2580.000000 91.456 26.2777
2620.000000 91.562 24.2617
2650.000000 91.626 22.8442
2690.000000 91.703 21.1096
2720.000000 91.763 19.8184
2760.000000 91.822 18.0506
2800.000000 91.861 16.4011
2850.000000 91.908 14.5164
2900.000000 91.985 12.6502
2950.000000 92.078 10.5346
3000.000000 92.135 8.0260
3040.000000 92.132 5.8687
3070.000000 92.099 4.1897
3110.000000 92.003 2.0293
3150.000000 91.869 -0.0387
3200.000000 91.615 -2.5368
3250.000000 91.268 -4.3996
3300.000000 90.898 -5.5248
3350.000000 90.506 -6.1730
3400.000000 90.079 -5.8156
3450.000000 89.733 -4.1905
3500.000000 89.581 -1.9763
3550.000000 89.589 -0.1815
3600.000000 89.631 1.2178
3650.000000 89.743 2.7925
3700.000000 89.979 3.9915
3750.000000 90.251 4.3873
3820.000000 90.627 4.2855
3870.000000 90.905 3.7134
3950.000000 91.253 1.7299
4000.000000 91.387 0.3417
4060.000000 91.502 -1.3186
4120.000000 91.549 -3.0128
4180.000000 91.527 -4.4187
4250.000000 91.455 -5.4643
4310.000000 91.397 -5.7218
4370.000000 91.391 -5.4465
4440.000000 91.481 -4.6887
4500.000000 91.664 -3.8167
4550.000000 91.904 -3.0920
4620.000000 92.374 -2.3396
4680.000000 92.896 -2.1614
4750.000000 93.631 -2.7369
4820.000000 94.487 -4.3890
4870.000000 95.166 -6.4040
4940.000000 96.193 -10.7541
5000.000000 97.091 -16.2906
5080.000000 98.151 -26.7762
5150.000000 98.718 -38.7584
5220.000000 98.722 -52.2079
5300.000000 97.964 -66.8620
5380.000000 96.613 -78.3471
5450.000000 95.248 -85.2015
5520.000000 93.930 -89.6101
5600.000000 92.610 -92.6907
5700.000000 91.290 -95.1481
5800.000000 90.303 -97.5412
5900.000000 89.561 -101.0652
6000.000000 88.910 -106.8612
6080.000000 88.274 -113.6994
6150.000000 87.456 -121.0300
6220.000000 86.271 -128.7454
6300.000000 84.421 -136.5971
6400.000000 81.507 -142.8862
6500.000000 78.292 -144.2170
6600.000000 75.272 -142.3917
6700.000000 72.667 -143.5251
