* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Jan 12, 2025 12:50:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Bore (ZUniHyP) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.182 89.2954
20.600000 76.315 88.9123
20.900000 76.447 88.7193
21.200001 76.567 88.6733
21.400000 76.643 88.6420
21.799999 76.781 88.3481
22.000000 76.839 88.0130
22.400000 76.924 86.9352
22.700001 76.962 85.8674
23.000000 76.995 84.7198
23.299999 77.043 83.6082
23.600000 77.122 82.5938
24.000000 77.283 81.3937
24.299999 77.428 80.5809
24.700001 77.612 79.6227
25.000000 77.722 79.0486
25.400000 77.828 78.5430
25.799999 77.914 78.2818
26.200001 78.011 78.0393
26.500000 78.096 77.7090
26.900000 78.210 76.9827
27.200001 78.284 76.2873
27.600000 78.364 75.3683
28.000000 78.440 74.6573
28.500000 78.572 74.0719
29.000000 78.750 73.4757
29.500000 78.920 72.5609
30.000000 79.031 71.4135
30.400000 79.079 70.5192
30.700001 79.107 69.9251
31.100000 79.149 69.2303
31.500000 79.202 68.6035
32.000000 79.277 67.8906
32.500000 79.364 67.2908
33.000000 79.480 66.7489
33.500000 79.633 66.0376
34.000000 79.789 64.9751
34.500000 79.899 63.6652
35.000000 79.946 62.4458
35.500000 79.961 61.5933
36.000000 79.990 61.1042
36.500000 80.056 60.7409
37.000000 80.145 60.2809
37.500000 80.232 59.6723
38.200001 80.328 58.7033
38.700001 80.384 57.9975
39.500000 80.454 56.8678
40.000000 80.482 56.2183
40.599998 80.509 55.5922
41.200001 80.552 55.1160
41.799999 80.624 54.6308
42.500000 80.730 53.8744
43.099998 80.820 53.1108
43.700001 80.905 52.3809
44.400002 81.001 51.6333
45.000000 81.072 51.0117
45.500000 81.113 50.4729
46.200001 81.146 49.7218
46.799999 81.174 49.1164
47.500000 81.229 48.4336
48.200001 81.292 47.7753
48.700001 81.328 47.3599
49.400002 81.372 46.8484
50.000000 81.411 46.3600
50.799999 81.464 45.4853
51.500000 81.499 44.6498
52.200001 81.540 43.9582
53.000000 81.615 43.2496
53.799999 81.693 42.4174
54.500000 81.734 41.7115
55.200001 81.763 41.1491
56.000000 81.792 40.5128
57.000000 81.827 39.5264
58.000000 81.929 38.1765
59.000000 82.008 36.6011
60.000000 81.974 36.0365
60.799999 81.956 36.1206
61.500000 81.952 35.9048
62.200001 81.938 35.4292
63.000000 81.942 34.8699
64.000000 81.981 34.2533
65.000000 81.997 33.8264
66.000000 82.004 33.4309
67.000000 82.006 32.7219
68.000000 82.006 31.9534
69.000000 82.032 31.3685
70.000000 82.066 30.8995
71.000000 82.083 30.4683
72.000000 82.094 29.9671
73.000000 82.114 29.3140
74.000000 82.135 28.6454
75.000000 82.151 28.1184
76.199997 82.166 27.5432
77.500000 82.170 26.7824
78.800003 82.170 26.0270
80.000000 82.179 25.3871
81.199997 82.178 24.7403
82.500000 82.159 24.0263
83.800003 82.139 23.3254
85.000000 82.117 22.7609
86.199997 82.087 22.1816
87.500000 82.048 21.5608
88.500000 82.031 21.1843
90.000000 82.005 20.7034
91.199997 81.977 20.3873
92.500000 81.952 20.0989
93.800003 81.916 19.7665
95.000000 81.867 19.4037
96.199997 81.830 18.9945
97.500000 81.810 18.6229
98.800003 81.793 18.4617
100.000000 81.757 18.3997
101.500000 81.670 18.0990
103.000000 81.609 17.3788
104.400002 81.637 16.7244
106.000000 81.709 16.7000
107.500000 81.703 17.0021
109.000000 81.639 16.8981
110.599998 81.608 16.4652
112.000000 81.612 16.1719
113.800003 81.594 15.9486
115.000000 81.570 15.7886
117.199997 81.510 15.3237
118.000000 81.480 15.1023
120.599998 81.416 14.7203
122.000000 81.418 14.7563
124.099998 81.394 14.7312
125.000000 81.378 14.6857
126.500000 81.352 14.5834
128.000000 81.325 14.4221
131.500000 81.264 14.2401
132.000000 81.255 14.2314
134.000000 81.226 14.1225
136.000000 81.207 14.0166
138.000000 81.177 14.0973
140.000000 81.144 14.2450
143.000000 81.130 14.4708
145.000000 81.148 14.4987
147.500000 81.167 14.4245
150.000000 81.162 14.2400
152.500000 81.138 14.0631
155.000000 81.119 13.8669
157.500000 81.099 13.7271
160.000000 81.076 13.6155
162.500000 81.062 13.5522
165.000000 81.040 13.4815
167.500000 81.011 13.3456
170.000000 80.989 13.1659
172.500000 80.959 13.0292
175.000000 80.908 12.9094
177.500000 80.853 12.9816
180.000000 80.812 13.1730
182.500000 80.766 13.5472
185.000000 80.720 13.9493
187.500000 80.707 14.2050
190.000000 80.717 14.3520
192.500000 80.734 14.4232
195.000000 80.756 14.6408
197.500000 80.773 14.9578
200.000000 80.759 15.0035
203.000000 80.729 14.9828
206.000000 80.719 15.5197
209.000000 80.728 16.2283
212.000000 80.707 15.5546
214.000000 80.696 15.1993
218.000000 80.675 15.2855
220.000000 80.658 15.3755
224.000000 80.624 15.6346
227.000000 80.620 15.8358
230.000000 80.615 16.0960
233.000000 80.599 16.4515
236.000000 80.594 16.7087
240.000000 80.592 17.0341
243.000000 80.583 17.3980
247.000000 80.590 17.8497
250.000000 80.610 18.2101
254.000000 80.639 18.7235
258.000000 80.696 19.0980
262.000000 80.763 19.2367
265.000000 80.798 19.2109
269.000000 80.827 19.1412
272.000000 80.839 19.0715
276.000000 80.856 19.0474
280.000000 80.869 19.1026
285.000000 80.864 19.2031
290.000000 80.853 19.3276
295.000000 80.857 19.5377
300.000000 80.845 19.7638
304.000000 80.826 19.8843
307.000000 80.816 20.0203
311.000000 80.807 20.3060
315.000000 80.811 20.6462
320.000000 80.826 20.9835
325.000000 80.842 21.2314
330.000000 80.854 21.4852
335.000000 80.871 21.7778
340.000000 80.887 22.1289
345.000000 80.902 22.3927
350.000000 80.917 22.6112
355.000000 80.922 22.8183
360.000000 80.914 23.0314
365.000000 80.915 23.4303
370.000000 80.929 23.8533
375.000000 80.937 24.2949
382.000000 80.968 24.9396
387.000000 81.018 25.3371
395.000000 81.093 25.7392
400.000000 81.122 25.8579
406.000000 81.138 25.9949
412.000000 81.146 26.1785
418.000000 81.148 26.5109
425.000000 81.155 27.2272
431.000000 81.183 27.7686
437.000000 81.224 28.1594
444.000000 81.260 28.6018
450.000000 81.273 29.0694
455.000000 81.290 29.4605
462.000000 81.326 29.9715
468.000000 81.365 30.4460
475.000000 81.404 31.0717
482.000000 81.444 31.7598
487.000000 81.484 32.2473
494.000000 81.553 32.8733
500.000000 81.618 33.3318
508.000000 81.705 33.9121
515.000000 81.779 34.4609
522.000000 81.866 35.0473
530.000000 81.977 35.6156
538.000000 82.079 36.1163
545.000000 82.178 36.6003
552.000000 82.292 37.0242
560.000000 82.418 37.3227
570.000000 82.555 37.6287
580.000000 82.700 37.9480
590.000000 82.829 38.0523
600.000000 82.952 38.1276
608.000000 83.049 38.2452
615.000000 83.132 38.4992
622.000000 83.208 38.8261
630.000000 83.282 39.1045
640.000000 83.382 39.2710
650.000000 83.509 39.6039
660.000000 83.648 39.8816
670.000000 83.788 40.1506
680.000000 83.935 40.3557
690.000000 84.081 40.5066
700.000000 84.230 40.5969
710.000000 84.400 40.5157
720.000000 84.554 40.3148
730.000000 84.686 40.2683
740.000000 84.813 40.3325
750.000000 84.942 40.3447
762.000000 85.116 40.0653
775.000000 85.313 39.6302
788.000000 85.504 39.3913
800.000000 85.686 38.9877
812.000000 85.855 38.4122
825.000000 86.045 37.5675
838.000000 86.201 36.6317
850.000000 86.321 35.7933
862.000000 86.427 34.9315
875.000000 86.564 33.9505
885.000000 86.671 33.0143
900.000000 86.780 31.4775
912.000000 86.797 30.2065
925.000000 86.794 29.0369
938.000000 86.786 28.2490
950.000000 86.829 27.5457
962.000000 86.888 27.1404
975.000000 86.891 26.4652
988.000000 86.873 25.3300
1000.000000 86.856 24.1383
1015.000000 86.808 22.8086
1030.000000 86.701 21.8382
1044.000000 86.601 20.8701
1060.000000 86.493 19.7605
1075.000000 86.331 18.7178
1090.000000 86.123 18.2320
1106.000000 85.949 18.1252
1120.000000 85.806 18.1027
1138.000000 85.632 18.4742
1150.000000 85.563 18.7759
1172.000000 85.485 19.2327
1180.000000 85.446 19.3331
1206.000000 85.317 19.3818
1220.000000 85.219 19.3458
1241.000000 85.076 20.2267
1250.000000 85.048 20.5296
1265.000000 85.002 20.6493
1280.000000 84.913 20.5927
1315.000000 84.588 21.7122
1320.000000 84.549 22.0751
1340.000000 84.473 23.6806
1360.000000 84.464 25.0304
1380.000000 84.466 26.3196
1400.000000 84.504 27.5954
1430.000000 84.625 28.8690
1450.000000 84.694 29.4711
1475.000000 84.729 30.2960
1500.000000 84.751 31.1810
1525.000000 84.765 31.6488
1550.000000 84.797 32.3851
1575.000000 84.815 33.2777
1600.000000 84.798 34.4014
1625.000000 84.812 35.8338
1650.000000 84.888 37.3749
1675.000000 85.026 38.9021
1700.000000 85.244 40.2868
1725.000000 85.472 41.1298
1750.000000 85.708 41.6770
1775.000000 85.943 41.8233
1800.000000 86.113 41.6118
1825.000000 86.222 41.4544
1850.000000 86.294 41.3604
1875.000000 86.339 41.5600
1900.000000 86.399 41.9304
1925.000000 86.453 42.3855
1950.000000 86.508 43.1277
1975.000000 86.602 44.0786
2000.000000 86.733 44.9868
2030.000000 86.925 46.1259
2060.000000 87.182 47.2447
2090.000000 87.504 47.8792
2120.000000 87.828 48.0566
2140.000000 88.049 47.9747
2180.000000 88.441 46.9652
2200.000000 88.566 46.2966
2240.000000 88.744 45.5084
2270.000000 88.898 45.1991
2300.000000 89.063 44.8203
2330.000000 89.232 44.4379
2360.000000 89.418 43.9683
2400.000000 89.672 42.9506
2430.000000 89.829 41.8577
2470.000000 89.966 40.3493
2500.000000 90.038 39.2143
2540.000000 90.071 37.6164
2580.000000 90.020 36.1678
2620.000000 89.889 35.1362
2650.000000 89.756 34.8043
2690.000000 89.581 35.0242
2720.000000 89.471 35.5000
2760.000000 89.331 36.5100
2800.000000 89.225 38.2459
2850.000000 89.222 41.2433
2900.000000 89.434 44.9447
2950.000000 89.916 48.2920
3000.000000 90.581 50.5369
3040.000000 91.172 51.3407
3070.000000 91.623 51.4830
3110.000000 92.238 51.0888
3150.000000 92.836 49.8002
3200.000000 93.467 47.1974
3250.000000 93.941 44.0987
3300.000000 94.273 41.0260
3350.000000 94.531 38.3888
3400.000000 94.786 35.9118
3450.000000 95.003 33.3801
3500.000000 95.192 31.1261
3550.000000 95.408 28.9459
3600.000000 95.637 26.5351
3650.000000 95.836 23.8263
3700.000000 95.982 21.0289
3750.000000 96.093 18.2808
3820.000000 96.199 14.4865
3870.000000 96.238 11.8990
3950.000000 96.273 8.1809
4000.000000 96.311 6.1136
4060.000000 96.415 3.6995
4120.000000 96.577 1.0088
4180.000000 96.772 -2.1642
4250.000000 97.020 -6.6472
4310.000000 97.219 -11.3952
4370.000000 97.346 -17.1763
4440.000000 97.289 -25.1643
4500.000000 96.966 -32.5949
4550.000000 96.468 -38.6490
4620.000000 95.440 -45.9429
4680.000000 94.329 -50.2933
4750.000000 92.962 -52.5886
4820.000000 91.756 -52.4727
4870.000000 91.060 -51.7501
4940.000000 90.262 -50.8890
5000.000000 89.616 -50.5447
5080.000000 88.650 -49.7483
5150.000000 87.738 -47.4658
5220.000000 86.957 -43.1175
5300.000000 86.494 -36.7736
5380.000000 86.517 -31.5838
5450.000000 86.702 -29.1238
5520.000000 86.858 -28.0934
5600.000000 86.954 -27.7264
5700.000000 86.992 -28.0176
5800.000000 86.905 -28.9672
5900.000000 86.665 -29.9010
6000.000000 86.331 -30.0602
6080.000000 86.092 -29.4087
6150.000000 85.974 -28.5015
6220.000000 85.967 -27.6766
6300.000000 86.082 -27.3289
6400.000000 86.339 -28.3200
6500.000000 86.634 -31.2803
6600.000000 86.855 -36.5969
6700.000000 86.833 -44.3689
6800.000000 86.396 -54.0284
