* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Jan 12, 2025 1:19:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Bore (ZUniHyS) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.153 91.3188
20.600000 77.193 90.9654
20.900000 77.258 90.8970
21.200001 77.359 91.0893
21.400000 77.451 91.2701
21.799999 77.680 91.4472
22.000000 77.802 91.3220
22.400000 78.017 90.4991
22.700001 78.124 89.4252
23.000000 78.175 88.1081
23.299999 78.182 86.7321
23.600000 78.176 85.4721
24.000000 78.210 84.1695
24.299999 78.308 83.5005
24.700001 78.559 82.8921
25.000000 78.818 82.5201
25.400000 79.203 81.9952
25.799999 79.559 81.3926
26.200001 79.828 80.7546
26.500000 79.956 80.2971
26.900000 80.031 79.7552
27.200001 80.031 79.3957
27.600000 79.989 78.9138
28.000000 79.940 78.3045
28.500000 79.913 77.1964
29.000000 79.935 75.7519
29.500000 80.000 74.3282
30.000000 80.112 73.3018
30.400000 80.242 72.8090
30.700001 80.360 72.5423
31.100000 80.527 72.1744
31.500000 80.680 71.6804
32.000000 80.827 70.8724
32.500000 80.929 69.9712
33.000000 81.015 69.0860
33.500000 81.108 68.2430
34.000000 81.212 67.4417
34.500000 81.316 66.6911
35.000000 81.412 65.9782
35.500000 81.495 65.2561
36.000000 81.564 64.4977
36.500000 81.625 63.7318
37.000000 81.692 62.9980
37.500000 81.774 62.2956
38.200001 81.897 61.3408
38.700001 81.967 60.7265
39.500000 82.050 59.9212
40.000000 82.102 59.3951
40.599998 82.164 58.5692
41.200001 82.216 57.6179
41.799999 82.268 56.7921
42.500000 82.366 56.0722
43.099998 82.469 55.4605
43.700001 82.548 54.7391
44.400002 82.591 53.8550
45.000000 82.615 53.1291
45.500000 82.645 52.5340
46.200001 82.704 51.7479
46.799999 82.766 51.1947
47.500000 82.845 50.6347
48.200001 82.914 49.9570
48.700001 82.949 49.3709
49.400002 82.997 48.5226
50.000000 83.068 47.8165
50.799999 83.193 46.8118
51.500000 83.266 45.9342
52.200001 83.279 45.2769
53.000000 83.281 44.7512
53.799999 83.318 44.0913
54.500000 83.366 43.3484
55.200001 83.414 42.6414
56.000000 83.468 41.9445
57.000000 83.524 41.0730
58.000000 83.575 40.1047
59.000000 83.630 39.0632
60.000000 83.671 38.0797
60.799999 83.691 37.3627
61.500000 83.704 36.7315
62.200001 83.712 36.0873
63.000000 83.721 35.3647
64.000000 83.734 34.4833
65.000000 83.737 33.6029
66.000000 83.730 32.7333
67.000000 83.719 31.9462
68.000000 83.708 31.3281
69.000000 83.699 30.7973
70.000000 83.686 30.2109
71.000000 83.669 29.5724
72.000000 83.655 28.9875
73.000000 83.644 28.4377
74.000000 83.626 27.8962
75.000000 83.616 27.3588
76.199997 83.607 26.6972
77.500000 83.576 26.0881
78.800003 83.526 25.6101
80.000000 83.511 25.1522
81.199997 83.512 24.5883
82.500000 83.503 24.0792
83.800003 83.488 23.5929
85.000000 83.470 23.1656
86.199997 83.446 22.7723
87.500000 83.421 22.4028
88.500000 83.407 22.1918
90.000000 83.380 21.8464
91.199997 83.359 21.3640
92.500000 83.358 20.8768
93.800003 83.355 20.5915
95.000000 83.333 20.3545
96.199997 83.313 20.0027
97.500000 83.303 19.5777
98.800003 83.284 19.1920
100.000000 83.253 18.8619
101.500000 83.206 18.4335
103.000000 83.159 18.1189
104.400002 83.126 17.9341
106.000000 83.077 17.7480
107.500000 83.025 17.6097
109.000000 82.976 17.3814
110.599998 82.936 17.1477
112.000000 82.939 17.1172
113.800003 82.940 17.0006
115.000000 82.904 16.8900
117.199997 82.861 16.8657
118.000000 82.850 16.8392
120.599998 82.808 16.7753
122.000000 82.810 16.4792
124.099998 82.816 16.0657
125.000000 82.813 15.9791
126.500000 82.794 16.0116
128.000000 82.758 16.1522
131.500000 82.699 16.0464
132.000000 82.696 15.9936
134.000000 82.684 15.8278
136.000000 82.660 15.7742
138.000000 82.632 15.6585
140.000000 82.599 15.4680
143.000000 82.544 15.4741
145.000000 82.514 15.5610
147.500000 82.481 15.5345
150.000000 82.415 15.5282
152.500000 82.310 15.9631
155.000000 82.250 16.4727
157.500000 82.201 16.9543
160.000000 82.184 17.3628
162.500000 82.227 17.7377
165.000000 82.303 18.0795
167.500000 82.349 18.5470
170.000000 82.391 18.7653
172.500000 82.428 18.7217
175.000000 82.445 18.5762
177.500000 82.457 18.4595
180.000000 82.463 18.3538
182.500000 82.440 18.3212
185.000000 82.431 18.4660
187.500000 82.443 18.7109
190.000000 82.432 18.8820
192.500000 82.426 19.0904
195.000000 82.448 19.5052
197.500000 82.501 19.9425
200.000000 82.567 20.1825
203.000000 82.625 20.2593
206.000000 82.660 20.1927
209.000000 82.689 20.0690
212.000000 82.709 19.9818
214.000000 82.717 19.9622
218.000000 82.718 19.9281
220.000000 82.719 19.8737
224.000000 82.732 19.7552
227.000000 82.736 19.8297
230.000000 82.730 20.0006
233.000000 82.727 20.1818
236.000000 82.718 20.4014
240.000000 82.711 20.7114
243.000000 82.714 20.9703
247.000000 82.739 21.3958
250.000000 82.769 21.7118
254.000000 82.815 22.0501
258.000000 82.864 22.2187
262.000000 82.906 22.3884
265.000000 82.941 22.5302
269.000000 82.993 22.7007
272.000000 83.030 22.8035
276.000000 83.079 22.8854
280.000000 83.114 22.8776
285.000000 83.133 22.9665
290.000000 83.146 23.2525
295.000000 83.181 23.5577
300.000000 83.215 23.7877
304.000000 83.240 24.0580
307.000000 83.268 24.3981
311.000000 83.337 24.8919
315.000000 83.439 25.1833
320.000000 83.553 25.1656
325.000000 83.611 24.9507
330.000000 83.637 24.8756
335.000000 83.665 24.9874
340.000000 83.722 25.1981
345.000000 83.804 25.2794
350.000000 83.867 25.2125
355.000000 83.900 25.2446
360.000000 83.930 25.4343
365.000000 83.983 25.7378
370.000000 84.074 26.0358
375.000000 84.193 26.1737
382.000000 84.361 25.9499
387.000000 84.457 25.5501
395.000000 84.557 24.7329
400.000000 84.586 24.2350
406.000000 84.594 23.7424
412.000000 84.594 23.4297
418.000000 84.596 23.2681
425.000000 84.606 23.0880
431.000000 84.605 22.8590
437.000000 84.589 22.6913
444.000000 84.566 22.8079
450.000000 84.563 23.0447
455.000000 84.576 23.2104
462.000000 84.605 23.5003
468.000000 84.650 23.8748
475.000000 84.753 24.1062
482.000000 84.871 23.8423
487.000000 84.925 23.4221
494.000000 84.947 22.8006
500.000000 84.939 22.4577
508.000000 84.921 22.1621
515.000000 84.900 21.9342
522.000000 84.865 21.7632
530.000000 84.809 21.6935
538.000000 84.745 21.7487
545.000000 84.682 21.9095
552.000000 84.621 22.2615
560.000000 84.568 22.8747
570.000000 84.529 23.8063
580.000000 84.533 24.8585
590.000000 84.581 25.9796
600.000000 84.666 26.9878
608.000000 84.759 27.7494
615.000000 84.853 28.3033
622.000000 84.950 28.8081
630.000000 85.062 29.3075
640.000000 85.205 29.8133
650.000000 85.360 30.3298
660.000000 85.534 30.7655
670.000000 85.719 31.0435
680.000000 85.913 31.0623
690.000000 86.079 30.8968
700.000000 86.224 30.7856
710.000000 86.377 30.7211
720.000000 86.547 30.5617
730.000000 86.707 30.1945
740.000000 86.841 29.8097
750.000000 86.985 29.5817
762.000000 87.191 29.1392
775.000000 87.397 28.2008
788.000000 87.577 27.2450
800.000000 87.726 26.0833
812.000000 87.815 24.8730
825.000000 87.891 23.8511
838.000000 87.955 22.7641
850.000000 87.984 21.8949
862.000000 88.038 21.3036
875.000000 88.139 20.4485
885.000000 88.205 19.5496
900.000000 88.271 18.1814
912.000000 88.325 17.0348
925.000000 88.358 15.4500
938.000000 88.304 13.8436
950.000000 88.214 12.7663
962.000000 88.140 11.8998
975.000000 88.079 10.8333
988.000000 87.948 9.4762
1000.000000 87.747 8.7815
1015.000000 87.551 9.0037
1030.000000 87.497 9.1821
1044.000000 87.479 8.9121
1060.000000 87.450 8.3148
1075.000000 87.379 7.4759
1090.000000 87.239 6.8713
1106.000000 87.102 6.8274
1120.000000 87.049 6.7743
1138.000000 86.978 6.1825
1150.000000 86.889 5.7280
1172.000000 86.676 5.1547
1180.000000 86.584 5.0482
1206.000000 86.299 5.7662
1220.000000 86.253 6.3259
1241.000000 86.205 6.0217
1250.000000 86.117 5.7021
1265.000000 85.899 5.8863
1280.000000 85.741 6.9895
1315.000000 85.721 8.5665
1320.000000 85.713 8.6183
1340.000000 85.652 8.8979
1360.000000 85.574 9.2770
1380.000000 85.506 9.8343
1400.000000 85.461 10.3881
1430.000000 85.406 10.6396
1450.000000 85.265 10.8114
1475.000000 85.121 12.2372
1500.000000 85.115 13.2408
1525.000000 85.067 13.9088
1550.000000 84.991 14.7786
1575.000000 84.952 15.7661
1600.000000 84.905 16.7404
1625.000000 84.901 17.7935
1650.000000 84.858 18.4319
1675.000000 84.792 19.8991
1700.000000 84.833 21.1749
1725.000000 84.836 22.2726
1750.000000 84.888 23.7740
1775.000000 85.014 24.6015
1800.000000 84.995 24.8916
1825.000000 84.921 26.3765
1850.000000 84.990 28.4519
1875.000000 85.176 30.0163
1900.000000 85.381 30.8098
1925.000000 85.494 31.0844
1950.000000 85.544 31.9850
1975.000000 85.672 33.1318
2000.000000 85.816 33.9699
2030.000000 86.011 34.7706
2060.000000 86.134 35.1615
2090.000000 86.227 36.3104
2120.000000 86.408 37.6331
2140.000000 86.568 38.4198
2180.000000 86.951 39.1362
2200.000000 87.080 39.0406
2240.000000 87.262 39.8241
2270.000000 87.542 40.7235
2300.000000 87.837 40.3534
2330.000000 87.948 39.7450
2360.000000 88.019 40.2772
2400.000000 88.320 41.4482
2430.000000 88.603 41.4344
2470.000000 88.864 40.7329
2500.000000 88.981 40.7774
2540.000000 89.287 41.0121
2580.000000 89.499 39.7959
2620.000000 89.516 40.1148
2650.000000 89.702 41.1258
2690.000000 90.034 41.1730
2720.000000 90.208 40.9557
2760.000000 90.444 41.2708
2800.000000 90.788 41.4176
2850.000000 91.168 40.7341
2900.000000 91.512 40.4466
2950.000000 91.939 39.9466
3000.000000 92.331 39.0035
3040.000000 92.671 38.4598
3070.000000 92.968 37.8465
3110.000000 93.370 36.4625
3150.000000 93.720 34.6811
3200.000000 94.142 32.3096
3250.000000 94.521 29.1615
3300.000000 94.771 25.9060
3350.000000 94.996 22.4871
3400.000000 95.067 18.7824
3450.000000 95.041 15.7264
3500.000000 94.982 13.0962
3550.000000 94.890 10.8554
3600.000000 94.789 9.2618
3650.000000 94.753 8.0427
3700.000000 94.750 6.9135
3750.000000 94.807 5.9986
3820.000000 94.985 4.2537
3870.000000 95.137 2.6448
3950.000000 95.349 -0.7089
4000.000000 95.435 -2.9677
4060.000000 95.518 -5.6692
4120.000000 95.599 -8.5357
4180.000000 95.663 -11.6044
4250.000000 95.697 -15.6137
4310.000000 95.663 -19.2445
4370.000000 95.566 -23.0355
4440.000000 95.345 -27.4125
4500.000000 95.078 -30.8463
4550.000000 94.827 -33.3569
4620.000000 94.505 -36.4474
4680.000000 94.279 -39.2000
4750.000000 94.018 -43.0528
4820.000000 93.634 -47.7515
4870.000000 93.214 -51.2711
4940.000000 92.387 -55.6501
5000.000000 91.485 -58.1285
5080.000000 90.167 -58.7220
5150.000000 89.101 -56.4809
5220.000000 88.322 -52.2186
5300.000000 87.947 -46.3470
5380.000000 88.159 -41.7207
5450.000000 88.639 -40.6712
5520.000000 89.032 -42.9426
5600.000000 89.033 -47.6421
5700.000000 88.387 -52.4613
5800.000000 87.479 -54.0199
5900.000000 86.698 -52.8959
6000.000000 86.219 -50.4753
6080.000000 86.087 -48.4504
6150.000000 86.161 -47.0674
6220.000000 86.415 -46.4890
6300.000000 86.903 -47.5393
6400.000000 87.659 -52.7602
6500.000000 88.225 -63.2487
6600.000000 88.148 -78.3489
6700.000000 87.135 -95.6506
6800.000000 85.243 -112.7228
