* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Jan 12, 2025 1:14:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aur Bore (ZUniHyS) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.466 96.4156
20.600000 77.549 95.7571
20.900000 77.645 95.1963
21.200001 77.752 94.7500
21.400000 77.830 94.4752
21.799999 77.999 93.8724
22.000000 78.086 93.5140
22.400000 78.251 92.6732
22.700001 78.366 91.9651
23.000000 78.477 91.2238
23.299999 78.590 90.4623
23.600000 78.708 89.6762
24.000000 78.866 88.5794
24.299999 78.978 87.7382
24.700001 79.107 86.6733
25.000000 79.189 85.9878
25.400000 79.290 85.2858
25.799999 79.406 84.7779
26.200001 79.554 84.2954
26.500000 79.681 83.8338
26.900000 79.858 83.0041
27.200001 79.981 82.2378
27.600000 80.120 81.1303
28.000000 80.230 80.0711
28.500000 80.345 78.9764
29.000000 80.462 78.1376
29.500000 80.599 77.3738
30.000000 80.746 76.4598
30.400000 80.856 75.5486
30.700001 80.924 74.7854
31.100000 80.994 73.7543
31.500000 81.049 72.8291
32.000000 81.127 71.9308
32.500000 81.246 71.2330
33.000000 81.402 70.5068
33.500000 81.549 69.6376
34.000000 81.653 68.7343
34.500000 81.717 67.9600
35.000000 81.774 67.3166
35.500000 81.845 66.6497
36.000000 81.924 65.8528
36.500000 82.001 64.9916
37.000000 82.082 64.1952
37.500000 82.178 63.4910
38.200001 82.324 62.5114
38.700001 82.409 61.7684
39.500000 82.512 60.5735
40.000000 82.582 59.7534
40.599998 82.674 58.5733
41.200001 82.752 57.3061
41.799999 82.816 56.2415
42.500000 82.909 55.3238
43.099998 82.997 54.5568
43.700001 83.051 53.7045
44.400002 83.067 52.7842
45.000000 83.080 52.0994
45.500000 83.108 51.4848
46.200001 83.158 50.4665
46.799999 83.197 49.5680
47.500000 83.246 48.6210
48.200001 83.296 47.7335
48.700001 83.322 47.1118
49.400002 83.347 46.2389
50.000000 83.366 45.4075
50.799999 83.379 44.1513
51.500000 83.370 43.1903
52.200001 83.373 42.5822
53.000000 83.413 42.1055
53.799999 83.466 41.4974
54.500000 83.501 40.7634
55.200001 83.513 39.9306
56.000000 83.499 39.0971
57.000000 83.491 38.3037
58.000000 83.507 37.2718
59.000000 83.494 36.1362
60.000000 83.490 35.4130
60.799999 83.507 34.9498
61.500000 83.516 34.4867
62.200001 83.518 34.0057
63.000000 83.523 33.4690
64.000000 83.529 32.7815
65.000000 83.517 32.1313
66.000000 83.501 31.5873
67.000000 83.501 31.0437
68.000000 83.500 30.4471
69.000000 83.488 29.8821
70.000000 83.481 29.3463
71.000000 83.474 28.8324
72.000000 83.463 28.3587
73.000000 83.448 27.8679
74.000000 83.431 27.3867
75.000000 83.421 26.9671
76.199997 83.405 26.4952
77.500000 83.380 26.0264
78.800003 83.381 25.5792
80.000000 83.371 25.1712
81.199997 83.346 24.7686
82.500000 83.333 24.3808
83.800003 83.327 24.1044
85.000000 83.357 23.5264
86.199997 83.476 22.6099
87.500000 83.551 21.8771
88.500000 83.482 21.9934
90.000000 83.367 22.0968
91.199997 83.330 21.7638
92.500000 83.319 21.4703
93.800003 83.291 21.0890
95.000000 83.267 20.6749
96.199997 83.245 20.3027
97.500000 83.216 19.9070
98.800003 83.195 19.5771
100.000000 83.185 19.3608
101.500000 83.181 19.1612
103.000000 83.172 19.0242
104.400002 83.153 18.8902
106.000000 83.138 18.5618
107.500000 83.132 18.3144
109.000000 83.125 18.0507
110.599998 83.094 17.6615
112.000000 83.062 17.4451
113.800003 83.045 17.1272
115.000000 83.042 16.9060
117.199997 83.013 16.5114
118.000000 82.991 16.4451
120.599998 82.948 16.3874
122.000000 82.917 16.0206
124.099998 82.876 15.6877
125.000000 82.857 15.6750
126.500000 82.842 15.6363
128.000000 82.838 15.5284
131.500000 82.796 15.3921
132.000000 82.783 15.3551
134.000000 82.733 15.3980
136.000000 82.710 15.5768
138.000000 82.706 15.5310
140.000000 82.692 15.5546
143.000000 82.697 15.1962
145.000000 82.739 14.9026
147.500000 82.764 14.4526
150.000000 82.738 14.2092
152.500000 82.659 14.0488
155.000000 82.567 13.9457
157.500000 82.498 14.0628
160.000000 82.468 14.3099
162.500000 82.468 14.1910
165.000000 82.459 14.0686
167.500000 82.419 14.2310
170.000000 82.390 14.3341
172.500000 82.357 14.1810
175.000000 82.272 14.0977
177.500000 82.209 15.0462
180.000000 82.206 15.6508
182.500000 82.213 15.8615
185.000000 82.218 15.9954
187.500000 82.228 16.0885
190.000000 82.235 16.1648
192.500000 82.226 16.3386
195.000000 82.208 16.5855
197.500000 82.189 16.9612
200.000000 82.188 17.4257
203.000000 82.192 17.8779
206.000000 82.200 18.1177
209.000000 82.213 18.3579
212.000000 82.234 18.8018
214.000000 82.267 19.1217
218.000000 82.371 19.5711
220.000000 82.416 19.6032
224.000000 82.469 19.4157
227.000000 82.478 19.3521
230.000000 82.482 19.3758
233.000000 82.494 19.5358
236.000000 82.505 19.8949
240.000000 82.546 20.2105
243.000000 82.588 20.3339
247.000000 82.651 20.3610
250.000000 82.690 20.1672
254.000000 82.705 19.8492
258.000000 82.676 19.8829
262.000000 82.626 20.1716
265.000000 82.618 20.4733
269.000000 82.662 20.9877
272.000000 82.715 21.4226
276.000000 82.783 21.8176
280.000000 82.851 21.9108
285.000000 82.927 21.8607
290.000000 82.982 21.7123
295.000000 83.029 21.6295
300.000000 83.070 21.6078
304.000000 83.093 21.5285
307.000000 83.110 21.4524
311.000000 83.120 21.3391
315.000000 83.110 21.2527
320.000000 83.091 21.2613
325.000000 83.082 21.3925
330.000000 83.070 21.5740
335.000000 83.044 21.8351
340.000000 83.019 22.0991
345.000000 83.003 22.5024
350.000000 83.011 23.0665
355.000000 83.047 23.7482
360.000000 83.112 24.2948
365.000000 83.165 24.6566
370.000000 83.202 24.9205
375.000000 83.251 25.1574
382.000000 83.338 25.5694
387.000000 83.399 25.8961
395.000000 83.535 26.4050
400.000000 83.631 26.5615
406.000000 83.724 26.5106
412.000000 83.779 26.3740
418.000000 83.821 26.4664
425.000000 83.904 26.6922
431.000000 83.991 26.6271
437.000000 84.070 26.3455
444.000000 84.121 26.0770
450.000000 84.146 26.0939
455.000000 84.183 26.2555
462.000000 84.275 26.3494
468.000000 84.354 26.1810
475.000000 84.413 25.8073
482.000000 84.437 25.4580
487.000000 84.445 25.2705
494.000000 84.449 25.0325
500.000000 84.447 24.7686
508.000000 84.422 24.4388
515.000000 84.376 24.3307
522.000000 84.318 24.4211
530.000000 84.249 24.7224
538.000000 84.195 25.2226
545.000000 84.167 25.8145
552.000000 84.154 26.4520
560.000000 84.152 27.1225
570.000000 84.164 28.0550
580.000000 84.203 29.1708
590.000000 84.274 30.4886
600.000000 84.399 31.6877
608.000000 84.524 32.4508
615.000000 84.634 33.0206
622.000000 84.749 33.5760
630.000000 84.897 34.1958
640.000000 85.093 34.8259
650.000000 85.289 35.3320
660.000000 85.492 35.7914
670.000000 85.719 36.1687
680.000000 85.962 36.3167
690.000000 86.196 36.1922
700.000000 86.412 35.9177
710.000000 86.607 35.6528
720.000000 86.806 35.4439
730.000000 87.031 35.1148
740.000000 87.256 34.5247
750.000000 87.464 33.8228
762.000000 87.710 32.9004
775.000000 87.963 31.5224
788.000000 88.157 29.8560
800.000000 88.289 28.3218
812.000000 88.384 26.8379
825.000000 88.502 25.4349
838.000000 88.629 23.6096
850.000000 88.661 21.7769
862.000000 88.647 20.2934
875.000000 88.632 18.6124
885.000000 88.569 17.1420
900.000000 88.396 15.8370
912.000000 88.310 15.2424
925.000000 88.251 14.4574
938.000000 88.211 13.6108
950.000000 88.139 12.5326
962.000000 87.990 11.4857
975.000000 87.805 11.0313
988.000000 87.663 10.8804
1000.000000 87.533 10.9446
1015.000000 87.446 11.5262
1030.000000 87.423 11.5988
1044.000000 87.375 11.3442
1060.000000 87.264 11.1901
1075.000000 87.174 11.7482
1090.000000 87.210 12.6204
1106.000000 87.320 12.7493
1120.000000 87.364 12.5345
1138.000000 87.421 12.5096
1150.000000 87.508 12.4548
1172.000000 87.684 11.2527
1180.000000 87.715 10.6508
1206.000000 87.751 8.5299
1220.000000 87.703 7.2486
1241.000000 87.570 5.3646
1250.000000 87.478 4.5827
1265.000000 87.295 3.6605
1280.000000 87.107 2.9119
1315.000000 86.575 2.0068
1320.000000 86.498 1.9920
1340.000000 86.194 2.2220
1360.000000 85.930 2.9392
1380.000000 85.728 3.8712
1400.000000 85.562 4.6152
1430.000000 85.326 6.0566
1450.000000 85.215 6.8378
1475.000000 85.060 7.6806
1500.000000 84.842 8.3568
1525.000000 84.518 9.9105
1550.000000 84.308 12.9268
1575.000000 84.285 15.6326
1600.000000 84.271 18.1758
1625.000000 84.370 21.0002
1650.000000 84.549 23.5299
1675.000000 84.861 25.5551
1700.000000 85.149 26.6163
1725.000000 85.497 27.4705
1750.000000 85.746 26.6433
1775.000000 85.798 26.4812
1800.000000 85.870 26.8027
1825.000000 85.982 27.2639
1850.000000 86.091 27.0475
1875.000000 86.060 26.9953
1900.000000 86.033 27.7273
1925.000000 86.028 28.7557
1950.000000 86.088 30.3857
1975.000000 86.259 31.8083
2000.000000 86.478 32.9050
2030.000000 86.754 33.5797
2060.000000 87.024 34.2733
2090.000000 87.309 34.4269
2120.000000 87.593 34.6400
2140.000000 87.807 34.4463
2180.000000 88.179 33.1430
2200.000000 88.293 32.2012
2240.000000 88.420 30.6812
2270.000000 88.460 29.7098
2300.000000 88.477 28.9706
2330.000000 88.480 28.2328
2360.000000 88.442 27.3998
2400.000000 88.264 26.5815
2430.000000 88.035 26.6661
2470.000000 87.700 28.6036
2500.000000 87.579 31.5205
2540.000000 87.761 35.9499
2580.000000 88.248 39.4470
2620.000000 88.933 41.5079
2650.000000 89.484 41.5248
2690.000000 90.013 40.0208
2720.000000 90.252 38.9102
2760.000000 90.508 38.2758
2800.000000 90.855 38.0428
2850.000000 91.359 36.8227
2900.000000 91.741 34.6801
2950.000000 91.954 32.6258
3000.000000 92.113 31.6810
3040.000000 92.316 31.4405
3070.000000 92.544 31.4305
3110.000000 92.980 31.0314
3150.000000 93.522 29.5919
3200.000000 94.139 25.3533
3250.000000 94.352 19.5347
3300.000000 94.148 14.5463
3350.000000 93.781 11.9023
3400.000000 93.497 10.7566
3450.000000 93.306 10.5717
3500.000000 93.283 11.1621
3550.000000 93.478 11.5370
3600.000000 93.803 10.8482
3650.000000 94.103 8.7222
3700.000000 94.221 5.9088
3750.000000 94.183 3.6650
3820.000000 94.143 1.9507
3870.000000 94.223 1.0459
3950.000000 94.462 -1.1006
4000.000000 94.627 -2.7919
4060.000000 94.855 -5.2806
4120.000000 95.060 -8.5796
4180.000000 95.173 -12.4860
4250.000000 95.149 -17.3911
4310.000000 94.998 -21.4935
4370.000000 94.760 -25.3425
4440.000000 94.361 -29.4352
4500.000000 93.921 -32.1218
4550.000000 93.552 -33.5017
4620.000000 93.168 -34.4796
4680.000000 93.030 -35.2991
4750.000000 93.020 -37.6140
4820.000000 92.925 -41.9795
4870.000000 92.656 -45.8577
4940.000000 91.906 -50.9828
5000.000000 90.946 -53.7780
5080.000000 89.444 -53.2498
5150.000000 88.336 -47.8752
5220.000000 87.921 -39.5681
5300.000000 88.464 -31.3915
5380.000000 89.668 -28.4470
5450.000000 90.766 -31.1203
5520.000000 91.473 -37.7183
5600.000000 91.548 -46.9735
5700.000000 90.798 -56.1964
5800.000000 89.789 -61.0860
5900.000000 88.995 -63.4450
6000.000000 88.526 -65.5268
6080.000000 88.344 -68.2183
6150.000000 88.250 -72.0008
6220.000000 88.114 -77.4256
6300.000000 87.754 -85.6500
6400.000000 86.744 -97.9725
6500.000000 85.022 -110.4569
6600.000000 82.774 -122.0605
6700.000000 80.286 -134.4685
6800.000000 77.763 -151.1364
