* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Aug 14, 2024 10:05:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DMS Omega DCS Pads L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 68.695 -78.3131
20.600000 68.862 -78.3606
20.900000 69.057 -78.6208
21.200001 69.239 -79.1329
21.400000 69.342 -79.5790
21.799999 69.500 -80.5567
22.000000 69.560 -81.0175
22.400000 69.674 -81.7982
22.700001 69.774 -82.2964
23.000000 69.896 -82.8108
23.299999 70.035 -83.4206
23.600000 70.179 -84.1519
24.000000 70.359 -85.2421
24.299999 70.481 -86.0440
24.700001 70.639 -86.9706
25.000000 70.765 -87.5456
25.400000 70.952 -88.2287
25.799999 71.151 -88.9268
26.200001 71.335 -89.6813
26.500000 71.454 -90.2492
26.900000 71.586 -90.9374
27.200001 71.673 -91.3816
27.600000 71.789 -91.9227
28.000000 71.913 -92.5130
28.500000 72.063 -93.4521
29.000000 72.181 -94.5554
29.500000 72.258 -95.5492
30.000000 72.329 -96.1930
30.400000 72.420 -96.4830
30.700001 72.521 -96.6817
31.100000 72.694 -97.0952
31.500000 72.888 -97.8011
32.000000 73.107 -99.0429
32.500000 73.265 -100.3674
33.000000 73.371 -101.4253
33.500000 73.461 -102.1144
34.000000 73.557 -102.5945
34.500000 73.660 -103.0853
35.000000 73.765 -103.7055
35.500000 73.877 -104.4800
36.000000 74.001 -105.3887
36.500000 74.130 -106.3467
37.000000 74.254 -107.2037
37.500000 74.373 -107.8474
38.200001 74.541 -108.5365
38.700001 74.656 -109.1771
39.500000 74.795 -110.7467
40.000000 74.859 -111.8615
40.599998 74.959 -112.9752
41.200001 75.125 -113.7291
41.799999 75.338 -114.3290
42.500000 75.537 -115.1939
43.099998 75.583 -116.0383
43.700001 75.528 -116.6429
44.400002 75.499 -116.9031
45.000000 75.621 -117.3220
45.500000 75.792 -118.2340
46.200001 75.976 -120.1035
46.799999 76.032 -121.4339
47.500000 76.086 -122.2477
48.200001 76.204 -123.0692
48.700001 76.281 -124.0097
49.400002 76.331 -125.4975
50.000000 76.363 -126.6093
50.799999 76.449 -128.0438
51.500000 76.507 -129.3027
52.200001 76.537 -130.1595
53.000000 76.604 -130.6502
53.799999 76.706 -131.1645
54.500000 76.783 -131.7683
55.200001 76.833 -132.3629
56.000000 76.870 -132.9048
57.000000 76.931 -133.9893
58.000000 76.915 -136.3567
59.000000 76.807 -138.7096
60.000000 76.814 -140.2776
60.799999 76.838 -141.3258
61.500000 76.824 -141.9868
62.200001 76.822 -142.5556
63.000000 76.834 -143.4347
64.000000 76.813 -144.5762
65.000000 76.781 -145.6579
66.000000 76.724 -147.1518
67.000000 76.671 -148.4578
68.000000 76.671 -149.1219
69.000000 76.671 -149.3774
70.000000 76.661 -149.7467
71.000000 76.654 -150.1384
72.000000 76.664 -150.2567
73.000000 76.624 -150.5203
74.000000 76.512 -151.0525
75.000000 76.431 -151.7205
76.199997 76.398 -152.5457
77.500000 76.375 -153.0079
78.800003 76.381 -153.2303
80.000000 76.382 -153.5320
81.199997 76.402 -154.0116
82.500000 76.385 -154.4394
83.800003 76.360 -154.6381
85.000000 76.372 -155.4087
86.199997 76.392 -156.2139
87.500000 76.403 -156.4316
88.500000 76.403 -156.4822
90.000000 76.350 -156.8119
91.199997 76.342 -157.2225
92.500000 76.375 -158.1077
93.800003 76.362 -158.8129
95.000000 76.335 -159.3390
96.199997 76.309 -160.0238
97.500000 76.298 -160.6009
98.800003 76.274 -161.0205
100.000000 76.228 -161.4070
101.500000 76.188 -162.1588
103.000000 76.142 -162.8732
104.400002 76.073 -163.1180
106.000000 76.079 -163.1276
107.500000 76.127 -163.3719
109.000000 76.017 -164.5630
110.599998 75.827 -165.5009
112.000000 75.706 -164.8299
113.800003 75.503 -163.9684
115.000000 75.433 -163.8938
117.199997 75.464 -164.4791
118.000000 75.453 -163.8779
120.599998 75.415 -162.0145
122.000000 75.373 -163.5098
124.099998 75.348 -164.2214
125.000000 75.344 -164.1395
126.500000 75.353 -164.0429
128.000000 75.378 -163.9093
131.500000 75.383 -164.4897
132.000000 75.376 -164.5762
134.000000 75.347 -164.8751
136.000000 75.321 -165.2104
138.000000 75.292 -165.0904
140.000000 75.233 -165.5713
143.000000 75.148 -166.3158
145.000000 75.069 -166.2408
147.500000 74.977 -165.9783
150.000000 74.898 -165.9432
152.500000 74.819 -166.0042
155.000000 74.728 -165.8354
157.500000 74.699 -165.3591
160.000000 74.622 -164.9329
162.500000 74.546 -164.7895
165.000000 74.509 -164.5725
167.500000 74.490 -163.6802
170.000000 74.519 -162.4495
172.500000 74.525 -162.0564
175.000000 74.504 -162.2670
177.500000 74.581 -162.1817
180.000000 74.639 -161.7711
182.500000 74.639 -161.3805
185.000000 74.652 -160.9184
187.500000 74.664 -160.5421
190.000000 74.663 -160.3085
192.500000 74.665 -160.2191
195.000000 74.689 -160.0932
197.500000 74.753 -159.7548
200.000000 74.821 -159.4104
203.000000 74.897 -158.9817
206.000000 74.966 -158.7919
209.000000 75.002 -158.7218
212.000000 75.093 -159.2861
214.000000 75.159 -159.9893
218.000000 75.163 -159.2770
220.000000 75.178 -158.4251
224.000000 75.228 -158.5104
227.000000 75.253 -158.7202
230.000000 75.284 -158.8882
233.000000 75.285 -159.1292
236.000000 75.279 -158.8572
240.000000 75.282 -157.9704
243.000000 75.272 -158.0869
247.000000 75.279 -158.1917
250.000000 75.315 -158.0673
254.000000 75.368 -157.9490
258.000000 75.409 -157.5884
262.000000 75.473 -157.5850
265.000000 75.522 -157.6579
269.000000 75.601 -157.5754
272.000000 75.671 -157.6918
276.000000 75.727 -157.8391
280.000000 75.773 -157.5829
285.000000 75.794 -157.3129
290.000000 75.732 -158.1470
295.000000 75.704 -158.5968
300.000000 75.686 -158.6666
304.000000 75.657 -158.5439
307.000000 75.642 -158.4588
311.000000 75.626 -158.2348
315.000000 75.617 -157.9063
320.000000 75.630 -157.5002
325.000000 75.636 -157.0514
330.000000 75.645 -156.7877
335.000000 75.689 -156.7359
340.000000 75.732 -156.6257
345.000000 75.774 -156.4864
350.000000 75.803 -156.2736
355.000000 75.828 -156.0975
360.000000 75.860 -155.8925
365.000000 75.893 -155.6083
370.000000 75.917 -155.3587
375.000000 75.951 -155.2222
382.000000 75.997 -155.2095
387.000000 76.036 -155.0881
395.000000 76.090 -154.9490
400.000000 76.098 -155.0048
406.000000 76.099 -154.9250
412.000000 76.114 -154.7731
418.000000 76.148 -154.5938
425.000000 76.186 -154.4112
431.000000 76.194 -154.2552
437.000000 76.192 -153.9778
444.000000 76.222 -153.6847
450.000000 76.257 -153.4356
455.000000 76.268 -153.1923
462.000000 76.280 -152.7964
468.000000 76.318 -152.4600
475.000000 76.366 -152.1878
482.000000 76.402 -151.9660
487.000000 76.433 -151.7890
494.000000 76.483 -151.5667
500.000000 76.524 -151.3953
508.000000 76.575 -151.1903
515.000000 76.617 -151.0867
522.000000 76.655 -150.9161
530.000000 76.701 -150.6207
538.000000 76.754 -150.4669
545.000000 76.775 -150.3795
552.000000 76.776 -150.1338
560.000000 76.791 -149.6440
570.000000 76.876 -148.9424
580.000000 76.951 -148.5893
590.000000 77.028 -148.2968
600.000000 77.108 -148.0814
608.000000 77.152 -148.0088
615.000000 77.176 -147.8456
622.000000 77.201 -147.5027
630.000000 77.246 -146.9965
640.000000 77.325 -146.5409
650.000000 77.402 -146.2150
660.000000 77.476 -145.9242
670.000000 77.546 -145.6317
680.000000 77.614 -145.2605
690.000000 77.694 -144.8116
700.000000 77.788 -144.4668
710.000000 77.883 -144.1877
720.000000 77.983 -143.9417
730.000000 78.079 -143.8089
740.000000 78.152 -143.6884
750.000000 78.216 -143.4715
762.000000 78.302 -143.0586
775.000000 78.407 -142.6182
788.000000 78.525 -142.1195
800.000000 78.635 -141.6639
812.000000 78.766 -141.1842
825.000000 78.929 -140.8501
838.000000 79.094 -140.5923
850.000000 79.254 -140.3349
862.000000 79.437 -140.1203
875.000000 79.651 -140.1553
885.000000 79.794 -140.4272
900.000000 79.968 -140.7332
912.000000 80.119 -140.9414
925.000000 80.274 -141.3688
938.000000 80.407 -141.8863
950.000000 80.509 -142.2991
962.000000 80.613 -142.6283
975.000000 80.724 -143.1198
988.000000 80.815 -143.6476
1000.000000 80.882 -144.0061
1015.000000 80.952 -144.2745
1030.000000 81.072 -144.1144
1044.000000 81.248 -144.3707
1060.000000 81.416 -145.1537
1075.000000 81.536 -145.9428
1090.000000 81.632 -146.8607
1106.000000 81.685 -147.7657
1120.000000 81.700 -148.3617
1138.000000 81.727 -148.6205
1150.000000 81.810 -148.5752
1172.000000 82.027 -149.3093
1180.000000 82.079 -149.8244
1206.000000 82.159 -151.2223
1220.000000 82.189 -151.8799
1241.000000 82.219 -152.5354
1250.000000 82.248 -152.7555
1265.000000 82.309 -153.2128
1280.000000 82.376 -153.7399
1315.000000 82.525 -155.7961
1320.000000 82.526 -156.1900
1340.000000 82.474 -157.3896
1360.000000 82.440 -158.1711
1380.000000 82.394 -159.0077
1400.000000 82.340 -159.6481
1430.000000 82.185 -160.1734
1450.000000 82.201 -159.8118
1475.000000 82.295 -160.5733
1500.000000 82.277 -161.8864
1525.000000 82.153 -162.7989
1550.000000 82.045 -163.2604
1575.000000 81.901 -163.8323
1600.000000 81.766 -163.7515
1625.000000 81.647 -163.8815
1650.000000 81.515 -163.6145
1675.000000 81.401 -163.2507
1700.000000 81.298 -162.5925
1725.000000 81.221 -161.9433
1750.000000 81.172 -160.8363
1775.000000 81.217 -160.0472
1800.000000 81.220 -159.7576
1825.000000 81.170 -159.2416
1850.000000 81.166 -158.2554
1875.000000 81.188 -157.6706
1900.000000 81.172 -156.9334
1925.000000 81.188 -155.8242
1950.000000 81.240 -154.7885
1975.000000 81.304 -153.6261
2000.000000 81.438 -152.1966
2030.000000 81.741 -151.0238
2060.000000 81.989 -151.1879
2090.000000 82.115 -151.2457
2120.000000 82.228 -150.8892
2140.000000 82.316 -150.5473
2180.000000 82.554 -149.9747
2200.000000 82.670 -149.8646
2240.000000 82.894 -149.5027
2270.000000 83.116 -149.3358
2300.000000 83.312 -149.6925
2330.000000 83.444 -149.8234
2360.000000 83.601 -149.6907
2400.000000 83.873 -149.6107
2430.000000 84.076 -149.9144
2470.000000 84.327 -150.2775
2500.000000 84.531 -150.5918
2540.000000 84.799 -151.2439
2580.000000 85.066 -151.9932
2620.000000 85.317 -153.0081
2650.000000 85.492 -153.7013
2690.000000 85.749 -154.7037
2720.000000 85.927 -155.6873
2760.000000 86.163 -156.8320
2800.000000 86.427 -158.3075
2850.000000 86.731 -160.4335
2900.000000 87.026 -163.0613
2950.000000 87.249 -166.2699
3000.000000 87.373 -169.7186
3040.000000 87.385 -172.4521
3070.000000 87.366 -174.3515
3110.000000 87.310 -176.8144
3150.000000 87.226 -179.1748
3200.000000 87.054 178.0298
3250.000000 86.824 175.6055
3300.000000 86.552 173.7640
3350.000000 86.300 172.3614
3400.000000 86.062 171.1820
3450.000000 85.828 170.0682
3500.000000 85.538 169.1371
3550.000000 85.227 168.8605
3600.000000 84.942 169.3324
3650.000000 84.754 170.3157
3700.000000 84.647 171.3430
3750.000000 84.595 172.4941
3820.000000 84.650 174.4515
3870.000000 84.821 175.9466
3950.000000 85.383 177.5312
4000.000000 85.856 177.4111
4060.000000 86.455 175.8915
4120.000000 87.017 173.0688
4180.000000 87.503 169.0953
4250.000000 87.941 163.1497
4310.000000 88.145 156.8651
4370.000000 88.104 149.8571
4440.000000 87.716 141.4224
4500.000000 87.041 134.4738
4550.000000 86.216 129.6384
4620.000000 84.767 125.5735
4680.000000 83.435 125.0416
4750.000000 81.985 127.6739
4820.000000 80.814 133.2110
4870.000000 80.224 138.5527
4940.000000 79.839 147.3593
5000.000000 80.018 155.3118
