* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Aug 14, 2024 10:14:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DMS Omega DCS Pads R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 69.583 -78.0472
20.600000 69.693 -78.9764
20.900000 69.814 -79.9630
21.200001 69.937 -80.8515
21.400000 70.022 -81.3551
21.799999 70.207 -82.1358
22.000000 70.307 -82.4348
22.400000 70.520 -82.9532
22.700001 70.679 -83.3608
23.000000 70.828 -83.8419
23.299999 70.957 -84.4112
23.600000 71.066 -85.0537
24.000000 71.183 -85.9702
24.299999 71.261 -86.6637
24.700001 71.365 -87.5610
25.000000 71.451 -88.2044
25.400000 71.579 -89.0187
25.799999 71.722 -89.7847
26.200001 71.877 -90.5204
26.500000 71.999 -91.0813
26.900000 72.164 -91.8943
27.200001 72.282 -92.5781
27.600000 72.419 -93.5767
28.000000 72.526 -94.5915
28.500000 72.622 -95.6932
29.000000 72.715 -96.4911
29.500000 72.845 -97.1203
30.000000 73.016 -97.8800
30.400000 73.158 -98.7038
30.700001 73.255 -99.4277
31.100000 73.365 -100.4384
31.500000 73.461 -101.3844
32.000000 73.586 -102.3784
32.500000 73.741 -103.2162
33.000000 73.926 -104.0384
33.500000 74.112 -104.9149
34.000000 74.272 -105.7971
34.500000 74.396 -106.5984
35.000000 74.486 -107.2804
35.500000 74.553 -107.8610
36.000000 74.608 -108.3711
36.500000 74.669 -108.8384
37.000000 74.752 -109.3162
37.500000 74.860 -109.8935
38.200001 75.019 -110.9799
38.700001 75.104 -111.8819
39.500000 75.190 -113.1695
40.000000 75.262 -113.7981
40.599998 75.409 -114.6025
41.200001 75.582 -115.7349
41.799999 75.694 -117.0731
42.500000 75.715 -118.2312
43.099998 75.742 -118.6834
43.700001 75.874 -119.2506
44.400002 76.090 -120.8323
45.000000 76.189 -122.5473
45.500000 76.193 -123.5633
46.200001 76.183 -124.0149
46.799999 76.230 -124.1635
47.500000 76.298 -124.9040
48.200001 76.321 -125.9896
48.700001 76.343 -126.6675
49.400002 76.413 -127.5685
50.000000 76.468 -128.4523
50.799999 76.477 -129.3884
51.500000 76.509 -129.7354
52.200001 76.610 -130.1828
53.000000 76.709 -131.2609
53.799999 76.768 -132.7176
54.500000 76.821 -134.1292
55.200001 76.859 -134.8939
56.000000 76.991 -133.9949
57.000000 77.360 -133.0006
58.000000 77.352 -135.1718
59.000000 76.972 -137.3900
60.000000 76.895 -138.7325
60.799999 76.947 -139.8464
61.500000 76.949 -140.5055
62.200001 76.951 -141.0044
63.000000 76.971 -141.7006
64.000000 76.995 -142.4531
65.000000 76.966 -142.8750
66.000000 76.892 -143.2764
67.000000 76.890 -144.1785
68.000000 76.921 -145.3852
69.000000 76.944 -146.2068
70.000000 76.959 -147.1720
71.000000 76.925 -148.1734
72.000000 76.941 -148.5576
73.000000 77.015 -149.0120
74.000000 77.012 -149.8064
75.000000 76.969 -150.4949
76.199997 76.972 -151.3667
77.500000 76.995 -152.1247
78.800003 77.040 -152.5602
80.000000 77.045 -153.2059
81.199997 77.021 -154.0532
82.500000 77.007 -154.9206
83.800003 77.013 -155.3414
85.000000 77.031 -155.7585
86.199997 77.026 -156.4595
87.500000 76.983 -157.2371
88.500000 76.952 -157.7075
90.000000 76.952 -158.2338
91.199997 76.933 -158.6818
92.500000 76.860 -158.9996
93.800003 76.800 -159.3510
95.000000 76.751 -159.8869
96.199997 76.742 -160.4028
97.500000 76.766 -160.7852
98.800003 76.773 -161.2036
100.000000 76.739 -161.8223
101.500000 76.681 -162.2128
103.000000 76.648 -162.5875
104.400002 76.630 -163.0822
106.000000 76.607 -163.5917
107.500000 76.606 -164.4138
109.000000 76.578 -164.0888
110.599998 76.545 -163.8192
112.000000 76.436 -164.9413
113.800003 76.112 -166.4337
115.000000 75.988 -166.8677
117.199997 76.148 -167.1552
118.000000 76.070 -167.7108
120.599998 75.781 -169.1218
122.000000 75.976 -168.1143
124.099998 76.052 -167.6829
125.000000 76.035 -167.8118
126.500000 75.992 -167.9743
128.000000 75.931 -168.1279
131.500000 75.823 -168.3285
132.000000 75.808 -168.3416
134.000000 75.717 -168.5251
136.000000 75.559 -168.4405
138.000000 75.422 -168.0969
140.000000 75.447 -168.5329
143.000000 75.428 -169.3505
145.000000 75.431 -169.1821
147.500000 75.407 -168.6834
150.000000 75.364 -168.7687
152.500000 75.325 -168.7769
155.000000 75.237 -168.7033
157.500000 75.124 -168.5546
160.000000 75.054 -168.3823
162.500000 74.988 -168.1356
165.000000 74.894 -167.6737
167.500000 74.875 -166.9293
170.000000 74.830 -166.4123
172.500000 74.740 -166.1389
175.000000 74.715 -165.8368
177.500000 74.764 -165.3023
180.000000 74.811 -164.8940
182.500000 74.833 -164.2470
185.000000 74.855 -163.7686
187.500000 74.891 -163.4395
190.000000 74.927 -163.3571
192.500000 74.949 -163.3738
195.000000 74.976 -163.1399
197.500000 75.016 -162.7135
200.000000 75.040 -162.4739
203.000000 75.026 -162.5308
206.000000 74.996 -162.3604
209.000000 74.981 -162.3446
212.000000 75.004 -162.4031
214.000000 75.019 -162.3487
218.000000 75.119 -162.1616
220.000000 75.187 -161.9866
224.000000 75.219 -161.0986
227.000000 75.213 -160.5202
230.000000 75.240 -160.3269
233.000000 75.333 -160.3822
236.000000 75.430 -160.6045
240.000000 75.534 -161.1608
243.000000 75.531 -160.9779
247.000000 75.528 -160.7520
250.000000 75.550 -160.8354
254.000000 75.579 -160.9882
258.000000 75.582 -161.1628
262.000000 75.596 -161.0889
265.000000 75.621 -161.0125
269.000000 75.636 -160.9274
272.000000 75.642 -160.7558
276.000000 75.642 -160.5135
280.000000 75.637 -160.6414
285.000000 75.649 -160.7490
290.000000 75.681 -160.6350
295.000000 75.698 -160.6426
300.000000 75.691 -160.6931
304.000000 75.684 -160.7297
307.000000 75.676 -160.6738
311.000000 75.663 -160.4730
315.000000 75.661 -160.2477
320.000000 75.679 -159.9669
325.000000 75.690 -159.6534
330.000000 75.693 -159.4786
335.000000 75.724 -159.4486
340.000000 75.779 -159.3791
345.000000 75.808 -159.1387
350.000000 75.822 -158.9318
355.000000 75.847 -158.8357
360.000000 75.867 -158.7327
365.000000 75.867 -158.6197
370.000000 75.876 -158.4720
375.000000 75.894 -158.3676
382.000000 75.895 -158.4210
387.000000 75.877 -158.4047
395.000000 75.855 -157.9608
400.000000 75.864 -157.6025
406.000000 75.890 -157.2962
412.000000 75.910 -157.0445
418.000000 75.925 -156.8811
425.000000 75.940 -156.6865
431.000000 75.947 -156.4787
437.000000 75.944 -156.1699
444.000000 75.948 -155.7517
450.000000 75.951 -155.3736
455.000000 75.955 -155.0267
462.000000 75.968 -154.6030
468.000000 75.998 -154.2245
475.000000 76.032 -153.8788
482.000000 76.055 -153.4178
487.000000 76.085 -153.0726
494.000000 76.137 -152.6841
500.000000 76.172 -152.3814
508.000000 76.217 -151.9050
515.000000 76.268 -151.5000
522.000000 76.316 -151.1715
530.000000 76.364 -150.8337
538.000000 76.405 -150.4506
545.000000 76.441 -150.0633
552.000000 76.487 -149.6274
560.000000 76.555 -149.1538
570.000000 76.642 -148.6655
580.000000 76.722 -148.2387
590.000000 76.813 -147.8620
600.000000 76.893 -147.5493
608.000000 76.946 -147.2796
615.000000 76.985 -147.0366
622.000000 77.025 -146.7286
630.000000 77.078 -146.2816
640.000000 77.155 -145.7018
650.000000 77.245 -145.0840
660.000000 77.359 -144.5556
670.000000 77.472 -144.2087
680.000000 77.559 -143.8853
690.000000 77.636 -143.4202
700.000000 77.741 -142.8353
710.000000 77.873 -142.3294
720.000000 78.013 -141.8723
730.000000 78.159 -141.4940
740.000000 78.304 -141.2280
750.000000 78.448 -141.0409
762.000000 78.625 -140.8363
775.000000 78.818 -140.7575
788.000000 79.004 -140.7913
800.000000 79.176 -140.8370
812.000000 79.342 -140.9009
825.000000 79.537 -141.0120
838.000000 79.739 -141.3076
850.000000 79.918 -141.6945
862.000000 80.093 -142.2730
875.000000 80.237 -143.2186
885.000000 80.297 -143.8683
900.000000 80.378 -144.3589
912.000000 80.462 -144.6413
925.000000 80.582 -144.8887
938.000000 80.721 -145.3431
950.000000 80.854 -145.8565
962.000000 80.986 -146.5876
975.000000 81.094 -147.5930
988.000000 81.164 -148.6822
1000.000000 81.195 -149.6253
1015.000000 81.192 -150.5762
1030.000000 81.206 -151.0591
1044.000000 81.257 -151.7023
1060.000000 81.287 -152.7019
1075.000000 81.267 -153.5251
1090.000000 81.237 -154.1067
1106.000000 81.216 -154.6430
1120.000000 81.195 -155.1467
1138.000000 81.135 -155.6743
1150.000000 81.105 -155.8403
1172.000000 81.045 -156.1302
1180.000000 81.027 -156.0683
1206.000000 81.065 -156.1536
1220.000000 81.059 -156.5257
1241.000000 81.021 -156.9680
1250.000000 80.980 -157.1034
1265.000000 80.920 -156.8772
1280.000000 80.913 -156.6277
1315.000000 80.890 -156.1439
1320.000000 80.900 -156.0364
1340.000000 80.946 -155.8317
1360.000000 81.002 -155.5331
1380.000000 81.093 -155.6748
1400.000000 81.113 -156.1575
1430.000000 81.106 -155.8583
1450.000000 81.192 -155.8397
1475.000000 81.251 -156.2842
1500.000000 81.256 -156.8129
1525.000000 81.197 -157.1466
1550.000000 81.139 -156.7383
1575.000000 81.178 -156.3724
1600.000000 81.204 -156.6475
1625.000000 81.132 -156.7417
1650.000000 81.075 -156.0280
1675.000000 81.118 -155.2507
1700.000000 81.188 -154.8515
1725.000000 81.250 -154.7128
1750.000000 81.265 -154.6909
1775.000000 81.256 -154.3290
1800.000000 81.284 -153.7276
1825.000000 81.353 -153.2993
1850.000000 81.389 -153.2139
1875.000000 81.371 -152.8537
1900.000000 81.360 -151.9899
1925.000000 81.409 -150.8335
1950.000000 81.538 -149.6299
1975.000000 81.727 -148.8198
2000.000000 81.927 -148.3372
2030.000000 82.195 -148.2423
2060.000000 82.374 -149.1772
2090.000000 82.308 -149.7307
2120.000000 82.277 -148.1554
2140.000000 82.430 -146.8760
2180.000000 82.844 -146.4967
2200.000000 82.967 -146.6657
2240.000000 83.196 -146.1246
2270.000000 83.492 -145.7096
2300.000000 83.803 -146.1950
2330.000000 84.030 -147.1001
2360.000000 84.193 -147.8005
2400.000000 84.412 -148.5771
2430.000000 84.553 -149.0665
2470.000000 84.785 -149.4545
2500.000000 84.984 -149.9292
2540.000000 85.249 -150.7641
2580.000000 85.528 -151.7545
2620.000000 85.799 -153.2073
2650.000000 85.963 -154.4429
2690.000000 86.146 -156.0411
2720.000000 86.265 -157.2008
2760.000000 86.429 -158.5005
2800.000000 86.672 -159.9034
2850.000000 86.938 -162.9713
2900.000000 87.013 -166.1755
2950.000000 86.973 -168.9619
3000.000000 86.867 -170.9179
3040.000000 86.834 -171.6019
3070.000000 86.912 -172.0468
3110.000000 87.109 -173.2825
3150.000000 87.303 -175.5004
3200.000000 87.425 -179.1565
3250.000000 87.373 176.6983
3300.000000 87.095 172.6275
3350.000000 86.632 169.8603
3400.000000 86.186 168.5316
3450.000000 85.844 167.5692
3500.000000 85.473 166.6498
3550.000000 85.096 166.3285
3600.000000 84.697 166.2499
3650.000000 84.233 167.4014
3700.000000 83.930 170.4011
3750.000000 83.944 173.6048
3820.000000 84.228 176.5430
3870.000000 84.529 178.1580
3950.000000 85.247 179.1240
4000.000000 85.710 178.3056
4060.000000 86.198 176.4169
4120.000000 86.643 173.9436
4180.000000 87.056 170.7024
4250.000000 87.425 165.9643
4310.000000 87.663 161.4142
4370.000000 87.823 156.0943
4440.000000 87.811 148.8561
4500.000000 87.540 142.0663
4550.000000 87.076 136.5715
4620.000000 86.086 130.3279
4680.000000 85.051 127.0112
4750.000000 83.805 125.5022
4820.000000 82.624 126.1681
4870.000000 81.845 127.8175
4940.000000 80.893 131.9163
5000.000000 80.312 137.1366
