* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Aug 14, 2024 10:31:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DMS Omega L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 70.672 -81.0472
20.600000 70.776 -81.5550
20.900000 70.883 -82.1030
21.200001 70.985 -82.6913
21.400000 71.052 -83.1185
21.799999 71.182 -84.0474
22.000000 71.246 -84.5289
22.400000 71.376 -85.4608
22.700001 71.478 -86.0952
23.000000 71.586 -86.6681
23.299999 71.701 -87.1987
23.600000 71.820 -87.7168
24.000000 71.976 -88.4343
24.299999 72.087 -89.0115
24.700001 72.224 -89.8385
25.000000 72.322 -90.4963
25.400000 72.450 -91.4102
25.799999 72.584 -92.3503
26.200001 72.728 -93.2995
26.500000 72.842 -94.0061
26.900000 73.000 -94.9204
27.200001 73.118 -95.5665
27.600000 73.271 -96.3462
28.000000 73.419 -97.0202
28.500000 73.598 -97.7645
29.000000 73.763 -98.5245
29.500000 73.894 -99.3726
30.000000 73.979 -100.2298
30.400000 74.030 -100.8565
30.700001 74.072 -101.3139
31.100000 74.147 -102.0123
31.500000 74.235 -102.9312
32.000000 74.332 -104.3873
32.500000 74.388 -105.8541
33.000000 74.435 -106.8952
33.500000 74.538 -107.4219
34.000000 74.721 -107.7733
34.500000 74.938 -108.3141
35.000000 75.119 -109.0978
35.500000 75.239 -109.9614
36.000000 75.309 -110.7732
36.500000 75.356 -111.5040
37.000000 75.402 -112.1599
37.500000 75.468 -112.7686
38.200001 75.607 -113.7068
38.700001 75.714 -114.5241
39.500000 75.837 -115.8550
40.000000 75.892 -116.5672
40.599998 75.954 -117.4605
41.200001 75.987 -118.5822
41.799999 75.978 -119.7326
42.500000 76.023 -120.6770
43.099998 76.232 -121.3517
43.700001 76.556 -122.3237
44.400002 76.880 -123.5707
45.000000 77.026 -124.1466
45.500000 77.078 -124.3210
46.200001 77.077 -124.8765
46.799999 77.004 -125.9547
47.500000 76.916 -127.2895
48.200001 76.960 -128.1259
48.700001 77.040 -128.4086
49.400002 77.098 -128.1855
50.000000 77.114 -127.4026
50.799999 77.247 -127.0182
51.500000 77.403 -128.4982
52.200001 77.460 -130.7111
53.000000 77.455 -132.4089
53.799999 77.487 -133.5387
54.500000 77.524 -134.9801
55.200001 77.521 -136.5253
56.000000 77.504 -136.8622
57.000000 77.613 -135.2265
58.000000 77.548 -135.3280
59.000000 77.128 -136.9392
60.000000 77.139 -138.8188
60.799999 77.399 -140.7222
61.500000 77.525 -141.6622
62.200001 77.562 -141.8880
63.000000 77.553 -142.3324
64.000000 77.523 -143.3963
65.000000 77.585 -143.9367
66.000000 77.636 -144.0026
67.000000 77.589 -144.1677
68.000000 77.536 -144.9703
69.000000 77.514 -145.9536
70.000000 77.511 -146.2845
71.000000 77.538 -146.2675
72.000000 77.593 -146.5902
73.000000 77.658 -147.2928
74.000000 77.710 -147.9635
75.000000 77.742 -148.3453
76.199997 77.789 -148.7176
77.500000 77.827 -149.4731
78.800003 77.829 -150.1223
80.000000 77.840 -150.6787
81.199997 77.868 -151.3727
82.500000 77.940 -152.1296
83.800003 78.000 -152.9168
85.000000 78.012 -153.2989
86.199997 78.021 -153.6387
87.500000 78.006 -154.4238
88.500000 77.997 -155.0490
90.000000 78.022 -155.8162
91.199997 78.023 -156.7256
92.500000 77.975 -157.7093
93.800003 77.961 -158.1618
95.000000 77.988 -158.3536
96.199997 77.989 -158.7553
97.500000 77.975 -159.3967
98.800003 77.986 -159.8929
100.000000 77.933 -160.0119
101.500000 77.787 -160.0039
103.000000 77.823 -161.5132
104.400002 77.873 -163.0690
106.000000 77.873 -163.9070
107.500000 77.876 -164.8195
109.000000 77.758 -165.7854
110.599998 77.631 -165.7974
112.000000 77.634 -165.6473
113.800003 77.513 -166.5880
115.000000 77.431 -167.3470
117.199997 77.547 -167.4588
118.000000 77.648 -167.5157
120.599998 77.795 -167.8221
122.000000 77.524 -168.0584
124.099998 77.266 -168.5517
125.000000 77.215 -168.5715
126.500000 77.138 -168.5672
128.000000 77.088 -168.5128
131.500000 76.999 -168.2424
132.000000 76.981 -168.2829
134.000000 76.921 -168.5810
136.000000 76.856 -168.9050
138.000000 76.809 -169.2318
140.000000 76.819 -169.2840
143.000000 76.814 -169.3523
145.000000 76.784 -169.3173
147.500000 76.742 -169.4820
150.000000 76.745 -169.5600
152.500000 76.771 -169.6337
155.000000 76.617 -169.6673
157.500000 76.561 -169.9030
160.000000 76.703 -169.5858
162.500000 76.846 -169.0866
165.000000 76.605 -169.4870
167.500000 76.400 -170.2478
170.000000 76.242 -170.3358
172.500000 76.122 -169.8111
175.000000 76.079 -169.1231
177.500000 76.028 -168.8825
180.000000 75.998 -168.7729
182.500000 75.995 -168.5085
185.000000 75.917 -168.3604
187.500000 75.820 -168.3294
190.000000 75.778 -167.3638
192.500000 75.794 -165.8432
195.000000 75.870 -164.4200
197.500000 75.994 -164.3332
200.000000 76.063 -165.4887
203.000000 76.049 -166.2416
206.000000 76.255 -164.7410
209.000000 76.461 -164.5231
212.000000 76.490 -165.4595
214.000000 76.458 -165.1696
218.000000 76.505 -163.8335
220.000000 76.473 -163.8385
224.000000 76.501 -163.8920
227.000000 76.549 -164.4655
230.000000 76.581 -164.7924
233.000000 76.607 -164.5534
236.000000 76.574 -164.8649
240.000000 76.453 -166.0117
243.000000 76.416 -166.5069
247.000000 76.600 -165.0788
250.000000 76.657 -164.7912
254.000000 76.663 -164.9389
258.000000 76.688 -165.1861
262.000000 76.705 -165.2955
265.000000 76.728 -165.3255
269.000000 76.747 -165.4095
272.000000 76.770 -165.3332
276.000000 76.841 -165.1639
280.000000 76.836 -165.0104
285.000000 76.747 -164.8078
290.000000 76.797 -165.0573
295.000000 76.892 -165.6246
300.000000 76.939 -165.7544
304.000000 77.022 -165.7365
307.000000 76.964 -166.0688
311.000000 76.761 -166.3715
315.000000 76.602 -166.2067
320.000000 76.525 -164.8294
325.000000 76.571 -163.9589
330.000000 76.650 -164.0096
335.000000 76.707 -163.7048
340.000000 76.740 -163.5285
345.000000 76.775 -163.6384
350.000000 76.803 -163.8027
355.000000 76.810 -164.0722
360.000000 76.848 -163.7697
365.000000 76.883 -163.5682
370.000000 76.895 -163.8439
375.000000 76.924 -163.9414
382.000000 76.976 -163.8660
387.000000 76.983 -163.6382
395.000000 77.036 -163.4041
400.000000 77.113 -163.4921
406.000000 77.113 -163.6255
412.000000 77.078 -163.9145
418.000000 77.088 -164.0060
425.000000 77.062 -163.3388
431.000000 77.030 -163.0932
437.000000 77.045 -163.5163
444.000000 77.021 -163.7120
450.000000 76.989 -163.7396
455.000000 76.966 -163.6694
462.000000 76.973 -163.2540
468.000000 76.997 -163.0241
475.000000 76.989 -163.0914
482.000000 76.946 -163.0612
487.000000 76.938 -162.9457
494.000000 76.928 -162.8925
500.000000 76.905 -162.9257
508.000000 76.874 -162.6300
515.000000 76.856 -162.0989
522.000000 76.851 -161.6636
530.000000 76.851 -161.1384
538.000000 76.841 -160.5676
545.000000 76.821 -160.2740
552.000000 76.833 -159.9216
560.000000 76.851 -159.3993
570.000000 76.850 -158.7483
580.000000 76.881 -158.1425
590.000000 76.948 -157.4512
600.000000 77.003 -156.7178
608.000000 77.038 -156.1646
615.000000 77.079 -155.8183
622.000000 77.131 -155.4208
630.000000 77.185 -154.8431
640.000000 77.259 -154.1809
650.000000 77.353 -153.6335
660.000000 77.440 -153.2227
670.000000 77.522 -152.7155
680.000000 77.606 -152.3052
690.000000 77.696 -151.9388
700.000000 77.804 -151.5752
710.000000 77.924 -151.1453
720.000000 78.068 -150.7900
730.000000 78.222 -150.6018
740.000000 78.354 -150.3565
750.000000 78.464 -150.2577
762.000000 78.585 -150.2349
775.000000 78.703 -150.2281
788.000000 78.818 -150.1024
800.000000 78.946 -150.0731
812.000000 79.083 -149.9435
825.000000 79.290 -149.5222
838.000000 79.486 -149.5898
850.000000 79.657 -150.1740
862.000000 79.826 -150.8715
875.000000 79.987 -151.6551
885.000000 80.079 -152.3620
900.000000 80.187 -152.8428
912.000000 80.311 -153.2914
925.000000 80.446 -154.1210
938.000000 80.557 -155.3051
950.000000 80.618 -156.4749
962.000000 80.642 -157.6608
975.000000 80.657 -158.6724
988.000000 80.669 -159.5709
1000.000000 80.625 -160.5440
1015.000000 80.543 -161.2934
1030.000000 80.556 -161.8802
1044.000000 80.541 -162.9187
1060.000000 80.466 -163.6671
1075.000000 80.433 -164.3681
1090.000000 80.358 -165.3759
1106.000000 80.232 -166.2660
1120.000000 80.074 -166.9978
1138.000000 79.815 -167.2898
1150.000000 79.671 -167.0305
1172.000000 79.539 -166.4729
1180.000000 79.496 -166.3536
1206.000000 79.329 -165.7877
1220.000000 79.263 -165.4556
1241.000000 79.153 -164.9943
1250.000000 79.103 -164.7110
1265.000000 79.022 -164.1868
1280.000000 78.943 -163.3922
1315.000000 78.990 -161.7021
1320.000000 78.995 -161.6517
1340.000000 78.978 -161.4494
1360.000000 78.918 -161.1506
1380.000000 78.810 -160.5075
1400.000000 78.774 -159.0598
1430.000000 78.806 -158.0563
1450.000000 78.774 -157.0711
1475.000000 78.820 -155.6215
1500.000000 78.903 -154.4613
1525.000000 79.015 -153.3237
1550.000000 79.133 -152.4717
1575.000000 79.267 -151.8041
1600.000000 79.400 -151.4249
1625.000000 79.468 -151.4262
1650.000000 79.466 -151.0325
1675.000000 79.506 -150.1861
1700.000000 79.580 -149.4083
1725.000000 79.630 -148.6516
1750.000000 79.699 -147.4597
1775.000000 79.862 -146.4115
1800.000000 80.025 -146.0565
1825.000000 80.116 -145.6758
1850.000000 80.215 -144.9145
1875.000000 80.349 -144.2375
1900.000000 80.457 -143.6719
1925.000000 80.585 -142.7493
1950.000000 80.777 -142.0282
1975.000000 80.940 -141.7445
2000.000000 81.057 -141.0927
2030.000000 81.310 -140.0102
2060.000000 81.592 -139.8621
2090.000000 81.772 -139.7964
2120.000000 81.969 -139.0995
2140.000000 82.162 -138.6814
2180.000000 82.540 -138.9437
2200.000000 82.662 -139.1147
2240.000000 82.926 -138.5742
2270.000000 83.249 -138.2292
2300.000000 83.571 -138.7407
2330.000000 83.821 -139.3152
2360.000000 84.074 -139.7619
2400.000000 84.430 -140.6907
2430.000000 84.662 -141.6429
2470.000000 84.918 -142.8866
2500.000000 85.102 -143.6298
2540.000000 85.373 -144.6564
2580.000000 85.648 -145.9553
2620.000000 85.905 -147.3643
2650.000000 86.072 -148.5982
2690.000000 86.270 -150.0931
2720.000000 86.414 -151.1604
2760.000000 86.619 -152.5414
2800.000000 86.851 -154.0202
2850.000000 87.149 -156.4213
2900.000000 87.396 -159.3337
2950.000000 87.546 -162.5435
3000.000000 87.603 -165.6320
3040.000000 87.608 -167.8651
3070.000000 87.608 -169.4800
3110.000000 87.590 -171.6050
3150.000000 87.562 -173.6713
3200.000000 87.503 -176.3310
3250.000000 87.381 -179.0643
3300.000000 87.170 178.3447
3350.000000 86.863 176.2908
3400.000000 86.520 175.1178
3450.000000 86.202 174.7752
3500.000000 85.955 175.1407
3550.000000 85.827 175.9110
3600.000000 85.802 176.5574
3650.000000 85.834 177.0657
3700.000000 85.919 177.4770
3750.000000 86.061 177.7830
3820.000000 86.376 177.8738
3870.000000 86.677 177.3904
3950.000000 87.195 175.3372
4000.000000 87.500 173.3990
4060.000000 87.849 170.5532
4120.000000 88.179 167.1158
4180.000000 88.486 162.8901
4250.000000 88.752 156.7814
4310.000000 88.841 150.5616
4370.000000 88.741 143.6217
4440.000000 88.333 134.9200
4500.000000 87.633 127.3799
4550.000000 86.765 121.8963
4620.000000 85.216 116.6833
4680.000000 83.739 114.9500
4750.000000 81.998 116.0649
4820.000000 80.369 120.6465
4870.000000 79.369 126.0713
4940.000000 78.377 136.4348
5000.000000 78.089 147.1253
