* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Aug 14, 2024 10:28:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DMS Omega R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 70.559 -82.3421
20.600000 70.658 -82.7035
20.900000 70.774 -82.9413
21.200001 70.909 -83.1523
21.400000 71.008 -83.3569
21.799999 71.210 -84.0314
22.000000 71.303 -84.4957
22.400000 71.463 -85.5450
22.700001 71.562 -86.3023
23.000000 71.657 -86.9526
23.299999 71.762 -87.4963
23.600000 71.885 -87.9891
24.000000 72.071 -88.6846
24.299999 72.215 -89.2789
24.700001 72.397 -90.1426
25.000000 72.522 -90.7955
25.400000 72.675 -91.6175
25.799999 72.812 -92.3664
26.200001 72.931 -93.0367
26.500000 73.005 -93.4746
26.900000 73.094 -93.9621
27.200001 73.165 -94.2857
27.600000 73.282 -94.7831
28.000000 73.426 -95.5193
28.500000 73.615 -96.8597
29.000000 73.773 -98.3733
29.500000 73.903 -99.5555
30.000000 74.050 -100.2076
30.400000 74.198 -100.5345
30.700001 74.317 -100.8250
31.100000 74.466 -101.3977
31.500000 74.586 -102.2075
32.000000 74.693 -103.4607
32.500000 74.780 -104.8431
33.000000 74.869 -106.2032
33.500000 74.964 -107.3458
34.000000 75.067 -108.1214
34.500000 75.186 -108.6012
35.000000 75.310 -109.0648
35.500000 75.417 -109.7348
36.000000 75.492 -110.5887
36.500000 75.561 -111.4549
37.000000 75.657 -112.2404
37.500000 75.788 -113.0019
38.200001 75.964 -114.1586
38.700001 76.041 -115.0056
39.500000 76.098 -116.2598
40.000000 76.149 -117.0554
40.599998 76.257 -118.1992
41.200001 76.385 -119.6013
41.799999 76.473 -121.0965
42.500000 76.504 -122.6027
43.099998 76.521 -123.5813
43.700001 76.586 -124.4385
44.400002 76.709 -125.4053
45.000000 76.812 -125.9634
45.500000 76.897 -126.1224
46.200001 77.037 -126.2223
46.799999 77.145 -126.5911
47.500000 77.204 -127.2220
48.200001 77.233 -127.8154
48.700001 77.261 -128.5407
49.400002 77.240 -130.4258
50.000000 77.107 -132.3611
50.799999 76.917 -133.6888
51.500000 76.975 -133.4874
52.200001 77.204 -133.4369
53.000000 77.390 -134.4265
53.799999 77.462 -135.7027
54.500000 77.582 -136.4416
55.200001 77.711 -136.8861
56.000000 77.622 -136.6861
57.000000 77.338 -135.2038
58.000000 77.583 -137.2255
59.000000 77.937 -142.8476
60.000000 77.961 -144.9207
60.799999 77.880 -144.2514
61.500000 77.769 -144.0852
62.200001 77.677 -144.6282
63.000000 77.694 -145.5277
64.000000 77.784 -146.3366
65.000000 77.757 -146.6109
66.000000 77.704 -147.1449
67.000000 77.670 -148.3544
68.000000 77.631 -149.4684
69.000000 77.652 -150.4565
70.000000 77.717 -151.5393
71.000000 77.748 -152.2984
72.000000 77.724 -152.7092
73.000000 77.696 -153.2224
74.000000 77.685 -153.8839
75.000000 77.682 -154.3738
76.199997 77.654 -154.9726
77.500000 77.564 -155.7172
78.800003 77.512 -156.5295
80.000000 77.491 -157.3540
81.199997 77.454 -157.8086
82.500000 77.446 -158.0342
83.800003 77.466 -158.6158
85.000000 77.444 -159.2350
86.199997 77.417 -159.6809
87.500000 77.399 -160.0298
88.500000 77.373 -160.2095
90.000000 77.343 -160.7043
91.199997 77.377 -161.3490
92.500000 77.403 -162.0815
93.800003 77.378 -162.6275
95.000000 77.337 -163.0999
96.199997 77.289 -163.5205
97.500000 77.269 -164.0316
98.800003 77.254 -164.4401
100.000000 77.189 -164.6293
101.500000 77.071 -165.0990
103.000000 77.081 -165.8942
104.400002 77.127 -166.3284
106.000000 77.072 -166.7066
107.500000 76.962 -167.1700
109.000000 76.924 -166.7410
110.599998 76.904 -166.5813
112.000000 76.860 -167.2767
113.800003 76.990 -167.1472
115.000000 77.036 -167.1814
117.199997 76.732 -168.4513
118.000000 76.555 -169.0689
120.599998 76.210 -170.2101
122.000000 76.468 -169.6900
124.099998 76.614 -169.3825
125.000000 76.594 -169.4977
126.500000 76.552 -169.6148
128.000000 76.507 -169.7666
131.500000 76.414 -170.0239
132.000000 76.398 -170.0551
134.000000 76.332 -170.0435
136.000000 76.318 -169.9244
138.000000 76.320 -170.0009
140.000000 76.223 -170.5063
143.000000 76.182 -171.0863
145.000000 76.194 -171.2377
147.500000 76.157 -171.1828
150.000000 76.110 -170.5090
152.500000 76.078 -169.2168
155.000000 76.008 -170.2451
157.500000 75.862 -171.2974
160.000000 75.638 -171.0480
162.500000 75.399 -170.5708
165.000000 75.554 -170.4876
167.500000 75.597 -170.2738
170.000000 75.624 -169.5615
172.500000 75.741 -168.7385
175.000000 75.741 -168.7202
177.500000 75.717 -168.7822
180.000000 75.821 -168.4815
182.500000 75.969 -167.2639
185.000000 75.823 -166.6290
187.500000 75.777 -167.2315
190.000000 75.844 -167.1670
192.500000 75.851 -166.6735
195.000000 75.869 -167.5469
197.500000 75.855 -168.8909
200.000000 75.755 -170.1516
203.000000 75.598 -171.2401
206.000000 75.547 -170.1183
209.000000 75.676 -167.7804
212.000000 75.860 -166.7503
214.000000 75.859 -166.6249
218.000000 75.741 -167.2733
220.000000 75.758 -168.3321
224.000000 75.803 -168.2680
227.000000 75.738 -168.0806
230.000000 75.723 -168.5199
233.000000 75.791 -168.2562
236.000000 75.881 -168.3523
240.000000 75.747 -166.7451
243.000000 75.514 -164.5624
247.000000 75.639 -166.1448
250.000000 75.756 -167.3598
254.000000 75.820 -167.7632
258.000000 75.827 -167.2611
262.000000 75.771 -166.8903
265.000000 75.758 -166.9263
269.000000 75.805 -166.9155
272.000000 75.843 -166.7308
276.000000 75.873 -166.7957
280.000000 75.901 -166.9440
285.000000 75.919 -166.8618
290.000000 75.967 -166.8687
295.000000 76.017 -166.2424
300.000000 76.013 -166.1687
304.000000 75.968 -166.2656
307.000000 75.915 -166.5136
311.000000 75.802 -166.9990
315.000000 75.714 -167.0001
320.000000 75.721 -166.4448
325.000000 75.820 -166.0502
330.000000 75.864 -165.7404
335.000000 75.898 -165.5559
340.000000 75.955 -165.1932
345.000000 75.941 -164.9267
350.000000 75.925 -164.9787
355.000000 75.933 -164.9486
360.000000 75.944 -165.2453
365.000000 75.965 -165.6405
370.000000 75.996 -165.5768
375.000000 76.030 -165.6352
382.000000 76.012 -166.2066
387.000000 75.963 -166.4785
395.000000 75.939 -166.0377
400.000000 75.932 -165.7779
406.000000 75.881 -165.3869
412.000000 75.880 -164.9262
418.000000 75.884 -165.2300
425.000000 75.807 -165.2286
431.000000 75.763 -164.9896
437.000000 75.733 -164.7647
444.000000 75.670 -164.6033
450.000000 75.605 -164.2384
455.000000 75.559 -163.8915
462.000000 75.532 -163.5698
468.000000 75.534 -163.2560
475.000000 75.523 -162.8043
482.000000 75.475 -162.3868
487.000000 75.450 -161.9569
494.000000 75.438 -161.3976
500.000000 75.439 -160.9485
508.000000 75.447 -160.3060
515.000000 75.449 -159.5459
522.000000 75.468 -158.8975
530.000000 75.516 -158.3630
538.000000 75.540 -157.7984
545.000000 75.532 -157.2272
552.000000 75.528 -156.5315
560.000000 75.558 -155.7592
570.000000 75.618 -154.8015
580.000000 75.665 -154.0828
590.000000 75.744 -153.4238
600.000000 75.812 -152.6442
608.000000 75.855 -151.9711
615.000000 75.893 -151.3286
622.000000 75.927 -150.7052
630.000000 75.963 -149.9877
640.000000 76.037 -149.1630
650.000000 76.134 -148.2677
660.000000 76.247 -147.2976
670.000000 76.389 -146.4339
680.000000 76.521 -145.8506
690.000000 76.645 -145.1869
700.000000 76.785 -144.2922
710.000000 76.969 -143.4131
720.000000 77.177 -142.7199
730.000000 77.382 -142.2008
740.000000 77.580 -141.8649
750.000000 77.803 -141.6828
762.000000 78.056 -141.5747
775.000000 78.295 -141.6634
788.000000 78.531 -141.8389
800.000000 78.722 -141.9928
812.000000 78.925 -142.1236
825.000000 79.157 -142.5509
838.000000 79.411 -143.2258
850.000000 79.640 -143.9027
862.000000 79.839 -144.6961
875.000000 80.011 -145.9529
885.000000 80.101 -146.9963
900.000000 80.208 -148.1196
912.000000 80.297 -148.8443
925.000000 80.393 -149.5521
938.000000 80.502 -150.4627
950.000000 80.605 -151.3725
962.000000 80.693 -152.3996
975.000000 80.769 -153.5889
988.000000 80.826 -154.8893
1000.000000 80.855 -156.1269
1015.000000 80.819 -157.5761
1030.000000 80.759 -158.2920
1044.000000 80.772 -159.0826
1060.000000 80.778 -160.4906
1075.000000 80.719 -161.7981
1090.000000 80.617 -162.8564
1106.000000 80.494 -163.9869
1120.000000 80.351 -164.8148
1138.000000 80.135 -165.3249
1150.000000 80.019 -165.3435
1172.000000 79.825 -165.4494
1180.000000 79.763 -165.2717
1206.000000 79.718 -165.1278
1220.000000 79.668 -165.7065
1241.000000 79.487 -166.3719
1250.000000 79.367 -166.4595
1265.000000 79.183 -165.9061
1280.000000 79.091 -165.2283
1315.000000 78.871 -164.3300
1320.000000 78.844 -164.1167
1340.000000 78.736 -163.3051
1360.000000 78.647 -162.0800
1380.000000 78.656 -161.1040
1400.000000 78.638 -160.5374
1430.000000 78.555 -158.9407
1450.000000 78.627 -157.6867
1475.000000 78.775 -156.9972
1500.000000 78.820 -157.2980
1525.000000 78.720 -156.9931
1550.000000 78.663 -155.7913
1575.000000 78.716 -154.8582
1600.000000 78.722 -154.4181
1625.000000 78.637 -153.5367
1650.000000 78.621 -151.8631
1675.000000 78.724 -150.4196
1700.000000 78.820 -149.3925
1725.000000 78.918 -148.3970
1750.000000 79.014 -147.7081
1775.000000 79.056 -146.8873
1800.000000 79.098 -145.4606
1825.000000 79.260 -143.7882
1850.000000 79.482 -143.0329
1875.000000 79.615 -142.6272
1900.000000 79.715 -141.7769
1925.000000 79.869 -140.7251
1950.000000 80.049 -139.9029
1975.000000 80.233 -139.1333
2000.000000 80.429 -138.4276
2030.000000 80.701 -137.7177
2060.000000 80.946 -137.6584
2090.000000 81.040 -137.5947
2120.000000 81.141 -135.5974
2140.000000 81.423 -133.8505
2180.000000 82.147 -133.7198
2200.000000 82.376 -134.3623
2240.000000 82.757 -134.8353
2270.000000 83.103 -135.2542
2300.000000 83.416 -136.3624
2330.000000 83.628 -137.6012
2360.000000 83.791 -138.4351
2400.000000 84.036 -139.2238
2430.000000 84.221 -139.7548
2470.000000 84.520 -140.3556
2500.000000 84.751 -141.0573
2540.000000 85.066 -142.0439
2580.000000 85.413 -143.2513
2620.000000 85.769 -145.1490
2650.000000 85.976 -147.0016
2690.000000 86.124 -149.4040
2720.000000 86.202 -150.8036
2760.000000 86.326 -152.3354
2800.000000 86.543 -153.7861
2850.000000 86.817 -156.8424
2900.000000 86.928 -160.4012
2950.000000 86.860 -163.9105
3000.000000 86.648 -166.2524
3040.000000 86.519 -166.8932
3070.000000 86.540 -167.1016
3110.000000 86.684 -168.0401
3150.000000 86.836 -169.9364
3200.000000 86.898 -173.2173
3250.000000 86.766 -176.7355
3300.000000 86.433 -179.6584
3350.000000 85.999 178.9212
3400.000000 85.653 178.8896
3450.000000 85.463 179.1215
3500.000000 85.324 179.1637
3550.000000 85.219 179.1003
3600.000000 85.046 178.8557
3650.000000 84.804 179.8305
3700.000000 84.753 -177.6548
3750.000000 85.007 -175.4247
3820.000000 85.578 -174.4111
3870.000000 85.999 -174.8786
3950.000000 86.609 -176.8148
4000.000000 86.993 -178.4547
4060.000000 87.453 178.7492
4120.000000 87.856 175.1028
4180.000000 88.188 170.8237
4250.000000 88.488 164.9747
4310.000000 88.633 159.1008
4370.000000 88.603 152.4972
4440.000000 88.294 144.3950
4500.000000 87.763 137.4363
4550.000000 87.105 132.0515
4620.000000 85.862 126.0572
4680.000000 84.585 123.1380
4750.000000 83.021 122.7003
4820.000000 81.546 125.2507
4870.000000 80.600 128.6542
4940.000000 79.497 136.0304
5000.000000 78.975 144.8750
