* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 1:48:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Koss Porta Pro S1 (PE HB) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 69.828 -29.0762
20.600000 69.991 -29.9223
20.900000 70.175 -30.8054
21.200001 70.369 -31.5610
21.400000 70.511 -31.9546
21.799999 70.843 -32.4963
22.000000 71.037 -32.7044
22.400000 71.459 -33.2146
22.700001 71.770 -33.8195
23.000000 72.039 -34.6406
23.299999 72.239 -35.5912
23.600000 72.364 -36.5231
24.000000 72.448 -37.4939
24.299999 72.495 -37.9511
24.700001 72.607 -38.3556
25.000000 72.752 -38.7257
25.400000 73.006 -39.5658
25.799999 73.277 -40.7797
26.200001 73.519 -42.0445
26.500000 73.682 -42.8014
26.900000 73.903 -43.4413
27.200001 74.091 -43.7429
27.600000 74.366 -44.2137
28.000000 74.628 -45.0376
28.500000 74.852 -46.5480
29.000000 74.932 -48.0314
29.500000 74.958 -48.8523
30.000000 75.082 -48.9980
30.400000 75.316 -49.0836
30.700001 75.553 -49.4002
31.100000 75.898 -50.2924
31.500000 76.209 -51.6185
32.000000 76.492 -53.4274
32.500000 76.666 -54.8597
33.000000 76.808 -55.6779
33.500000 77.000 -56.1562
34.000000 77.257 -56.8004
34.500000 77.524 -57.8521
35.000000 77.745 -59.1078
35.500000 77.912 -60.2018
36.000000 78.061 -60.9755
36.500000 78.229 -61.5794
37.000000 78.424 -62.2570
37.500000 78.638 -63.1210
38.200001 78.945 -64.5681
38.700001 79.146 -65.6417
39.500000 79.377 -67.0397
40.000000 79.479 -67.5428
40.599998 79.632 -67.9808
41.200001 79.853 -68.7674
41.799999 80.107 -70.1095
42.500000 80.373 -71.8386
43.099998 80.560 -72.9055
43.700001 80.721 -73.4914
44.400002 80.898 -73.9713
45.000000 81.062 -74.7460
45.500000 81.201 -75.8621
46.200001 81.368 -77.8504
46.799999 81.492 -79.3252
47.500000 81.666 -80.3793
48.200001 81.868 -81.0857
48.700001 81.992 -81.6008
49.400002 82.132 -82.3907
50.000000 82.257 -83.2281
50.799999 82.437 -84.7545
51.500000 82.570 -86.1546
52.200001 82.693 -87.2014
53.000000 82.855 -88.1943
53.799999 83.004 -89.3841
54.500000 83.119 -90.5164
55.200001 83.254 -91.7162
56.000000 83.405 -93.2433
57.000000 83.533 -94.8471
58.000000 83.709 -96.0498
59.000000 83.896 -97.6665
60.000000 84.001 -99.1098
60.799999 84.080 -100.1019
61.500000 84.138 -101.1114
62.200001 84.183 -102.0989
63.000000 84.259 -103.0620
64.000000 84.391 -104.2549
65.000000 84.513 -105.4656
66.000000 84.637 -106.7038
67.000000 84.741 -108.0120
68.000000 84.805 -109.1491
69.000000 84.881 -110.1650
70.000000 84.993 -111.3891
71.000000 85.110 -112.6528
72.000000 85.228 -113.8102
73.000000 85.315 -115.0360
74.000000 85.365 -116.2013
75.000000 85.427 -117.2296
76.199997 85.533 -118.5110
77.500000 85.628 -120.1203
78.800003 85.679 -121.7914
80.000000 85.746 -123.2791
81.199997 85.820 -124.6187
82.500000 85.872 -125.8851
83.800003 85.911 -127.2808
85.000000 85.953 -128.5702
86.199997 86.000 -129.7395
87.500000 86.032 -131.1131
88.500000 86.041 -132.1956
90.000000 86.058 -133.6647
91.199997 86.065 -134.8032
92.500000 86.062 -136.1492
93.800003 86.053 -137.4662
95.000000 86.032 -138.5424
96.199997 85.986 -139.4861
97.500000 85.926 -140.4141
98.800003 85.880 -141.1919
100.000000 85.855 -141.7559
101.500000 85.847 -142.3496
103.000000 85.871 -143.0282
104.400002 85.897 -143.9087
106.000000 85.905 -145.0489
107.500000 85.888 -146.0601
109.000000 85.857 -146.9459
110.599998 85.823 -147.7981
112.000000 85.801 -148.4950
113.800003 85.773 -149.3153
115.000000 85.752 -149.7672
117.199997 85.729 -150.5690
118.000000 85.721 -150.9018
120.599998 85.701 -151.9164
122.000000 85.704 -152.4472
124.099998 85.696 -153.2964
125.000000 85.686 -153.6420
126.500000 85.670 -154.2146
128.000000 85.656 -154.7876
131.500000 85.629 -156.0091
132.000000 85.628 -156.1756
134.000000 85.620 -156.8570
136.000000 85.606 -157.5834
138.000000 85.590 -158.2577
140.000000 85.581 -158.9036
143.000000 85.566 -159.8757
145.000000 85.554 -160.5376
147.500000 85.528 -161.3661
150.000000 85.493 -162.1633
152.500000 85.463 -162.9450
155.000000 85.430 -163.6950
157.500000 85.392 -164.3557
160.000000 85.352 -164.9409
162.500000 85.315 -165.5346
165.000000 85.279 -166.1499
167.500000 85.248 -166.7159
170.000000 85.220 -167.3115
172.500000 85.186 -167.9319
175.000000 85.143 -168.5364
177.500000 85.095 -169.0802
180.000000 85.046 -169.5665
182.500000 85.004 -170.0664
185.000000 84.972 -170.4686
187.500000 84.935 -170.7853
190.000000 84.889 -171.1491
192.500000 84.847 -171.5914
195.000000 84.809 -172.0621
197.500000 84.766 -172.5233
200.000000 84.716 -172.9451
203.000000 84.652 -173.3983
206.000000 84.590 -173.7854
209.000000 84.528 -174.1626
212.000000 84.468 -174.5111
214.000000 84.430 -174.6839
218.000000 84.361 -174.9881
220.000000 84.329 -175.1475
224.000000 84.264 -175.4584
227.000000 84.218 -175.7083
230.000000 84.171 -175.9553
233.000000 84.124 -176.1898
236.000000 84.078 -176.4201
240.000000 84.022 -176.6981
243.000000 83.976 -176.8964
247.000000 83.910 -177.1633
250.000000 83.857 -177.3757
254.000000 83.785 -177.6110
258.000000 83.714 -177.8092
262.000000 83.639 -177.9995
265.000000 83.581 -178.0795
269.000000 83.512 -178.1289
272.000000 83.464 -178.1157
276.000000 83.405 -178.0780
280.000000 83.357 -178.0139
285.000000 83.304 -177.9694
290.000000 83.259 -178.0256
295.000000 83.204 -178.1866
300.000000 83.128 -178.1613
304.000000 83.080 -178.0330
307.000000 83.052 -177.9644
311.000000 83.022 -177.8950
315.000000 82.998 -177.8215
320.000000 82.970 -177.7560
325.000000 82.941 -177.6941
330.000000 82.905 -177.6606
335.000000 82.873 -177.7011
340.000000 82.838 -177.7295
345.000000 82.804 -177.7042
350.000000 82.773 -177.6846
355.000000 82.741 -177.6924
360.000000 82.709 -177.7427
365.000000 82.673 -177.8420
370.000000 82.614 -177.9830
375.000000 82.532 -177.9879
382.000000 82.430 -177.5437
387.000000 82.393 -177.1770
395.000000 82.363 -176.8166
400.000000 82.345 -176.6558
406.000000 82.317 -176.4658
412.000000 82.289 -176.2888
418.000000 82.259 -176.1057
425.000000 82.225 -175.8899
431.000000 82.200 -175.7019
437.000000 82.173 -175.5156
444.000000 82.146 -175.2783
450.000000 82.128 -175.0662
455.000000 82.110 -174.8873
462.000000 82.084 -174.6346
468.000000 82.065 -174.4168
475.000000 82.049 -174.1863
482.000000 82.030 -173.9600
487.000000 82.016 -173.7919
494.000000 81.998 -173.5766
500.000000 81.985 -173.4030
508.000000 81.971 -173.1762
515.000000 81.958 -172.9928
522.000000 81.938 -172.8332
530.000000 81.903 -172.6075
538.000000 81.867 -172.2437
545.000000 81.854 -171.8659
552.000000 81.854 -171.5313
560.000000 81.856 -171.2415
570.000000 81.846 -170.9551
580.000000 81.830 -170.6075
590.000000 81.820 -170.2838
600.000000 81.808 -169.9688
608.000000 81.795 -169.6783
615.000000 81.784 -169.3955
622.000000 81.776 -169.0916
630.000000 81.776 -168.7936
640.000000 81.773 -168.4625
650.000000 81.771 -168.0768
660.000000 81.766 -167.7187
670.000000 81.760 -167.3469
680.000000 81.759 -166.9357
690.000000 81.762 -166.5308
700.000000 81.766 -166.1552
710.000000 81.773 -165.7779
720.000000 81.780 -165.4332
730.000000 81.779 -165.1090
740.000000 81.775 -164.6745
750.000000 81.787 -164.2069
762.000000 81.812 -163.7359
775.000000 81.832 -163.2740
788.000000 81.852 -162.8055
800.000000 81.873 -162.3968
812.000000 81.890 -161.9933
825.000000 81.910 -161.5053
838.000000 81.937 -161.0280
850.000000 81.963 -160.6020
862.000000 81.990 -160.1957
875.000000 82.020 -159.7852
885.000000 82.042 -159.5042
900.000000 82.068 -159.1059
912.000000 82.081 -158.7478
925.000000 82.092 -158.2991
938.000000 82.112 -157.8102
950.000000 82.137 -157.3484
962.000000 82.166 -156.8830
975.000000 82.201 -156.4143
988.000000 82.237 -155.9891
1000.000000 82.269 -155.6150
1015.000000 82.302 -155.1393
1030.000000 82.335 -154.6069
1044.000000 82.372 -154.0971
1060.000000 82.412 -153.5206
1075.000000 82.452 -152.9555
1090.000000 82.494 -152.3860
1106.000000 82.543 -151.7583
1120.000000 82.592 -151.2153
1138.000000 82.659 -150.5687
1150.000000 82.703 -150.1515
1172.000000 82.779 -149.3400
1180.000000 82.806 -149.0160
1206.000000 82.915 -147.9005
1220.000000 82.982 -147.3320
1241.000000 83.091 -146.4762
1250.000000 83.141 -146.1292
1265.000000 83.226 -145.5818
1280.000000 83.308 -145.0260
1315.000000 83.524 -143.6551
1320.000000 83.559 -143.4753
1340.000000 83.700 -142.8244
1360.000000 83.833 -142.1869
1380.000000 83.976 -141.5100
1400.000000 84.140 -140.8799
1430.000000 84.391 -140.1921
1450.000000 84.547 -139.7952
1475.000000 84.740 -139.2860
1500.000000 84.945 -138.8336
1525.000000 85.134 -138.4968
1550.000000 85.317 -137.9992
1575.000000 85.533 -137.4305
1600.000000 85.771 -137.0212
1625.000000 86.017 -136.7776
1650.000000 86.260 -136.6556
1675.000000 86.496 -136.6443
1700.000000 86.714 -136.6453
1725.000000 86.945 -136.5208
1750.000000 87.207 -136.5578
1775.000000 87.451 -136.8375
1800.000000 87.686 -137.0267
1825.000000 87.946 -137.2639
1850.000000 88.206 -137.7759
1875.000000 88.450 -138.3648
1900.000000 88.687 -139.0762
1925.000000 88.899 -139.8412
1950.000000 89.111 -140.5355
1975.000000 89.324 -141.3448
2000.000000 89.527 -142.1873
2030.000000 89.761 -143.3187
2060.000000 89.968 -144.3367
2090.000000 90.222 -145.2612
2120.000000 90.495 -146.6021
2140.000000 90.661 -147.7249
2180.000000 90.918 -150.0943
2200.000000 91.041 -151.2143
2240.000000 91.268 -153.9871
2270.000000 91.314 -156.2049
2300.000000 91.314 -157.7937
2330.000000 91.351 -158.9615
2360.000000 91.434 -160.2292
2400.000000 91.528 -162.1357
2430.000000 91.598 -163.4949
2470.000000 91.708 -165.5914
2500.000000 91.758 -167.4467
2540.000000 91.712 -170.0368
2580.000000 91.581 -171.7927
2620.000000 91.482 -172.9042
2650.000000 91.476 -173.4890
2690.000000 91.524 -174.6403
2720.000000 91.562 -175.7455
2760.000000 91.576 -177.4816
2800.000000 91.527 -179.1104
2850.000000 91.453 179.2857
2900.000000 91.383 177.9861
2950.000000 91.390 177.1275
3000.000000 91.475 175.8948
3040.000000 91.571 174.6783
3070.000000 91.656 173.4951
3110.000000 91.740 171.4787
3150.000000 91.752 169.3367
3200.000000 91.750 166.8768
3250.000000 91.723 164.0485
3300.000000 91.629 161.3392
3350.000000 91.513 158.5712
3400.000000 91.317 155.9461
3450.000000 91.104 153.9126
3500.000000 90.957 152.2090
3550.000000 90.885 150.2995
3600.000000 90.844 147.9398
3650.000000 90.794 145.0483
3700.000000 90.703 141.8398
3750.000000 90.600 138.3820
3820.000000 90.439 132.7595
3870.000000 90.285 128.0046
3950.000000 89.949 118.9466
4000.000000 89.650 111.9683
4060.000000 89.150 102.1242
4120.000000 88.485 89.8706
4180.000000 87.451 74.6472
4250.000000 85.673 53.1797
4310.000000 83.700 31.5858
4370.000000 82.024 6.4980
4440.000000 81.457 -27.3129
4500.000000 81.967 -53.2947
4550.000000 82.744 -69.6522
4620.000000 84.022 -85.4878
4680.000000 85.159 -94.7098
4750.000000 86.478 -102.5988
4820.000000 87.797 -108.8501
4870.000000 88.756 -112.9069
4940.000000 90.134 -118.7301
