* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 1:43:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Koss Porta Pro S1 (PE HB) R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 73.526 -42.6258
20.600000 73.720 -43.4803
20.900000 73.916 -44.3904
21.200001 74.090 -45.2118
21.400000 74.198 -45.6728
21.799999 74.416 -46.3701
22.000000 74.535 -46.6353
22.400000 74.804 -47.1372
22.700001 75.021 -47.5991
23.000000 75.234 -48.1849
23.299999 75.427 -48.8733
23.600000 75.591 -49.6008
24.000000 75.772 -50.5097
24.299999 75.894 -51.0983
24.700001 76.066 -51.7887
25.000000 76.214 -52.3052
25.400000 76.440 -53.0947
25.799999 76.685 -54.0374
26.200001 76.930 -55.0741
26.500000 77.104 -55.8434
26.900000 77.320 -56.7748
27.200001 77.470 -57.3771
27.600000 77.659 -58.0745
28.000000 77.840 -58.7356
28.500000 78.060 -59.6750
29.000000 78.264 -60.8260
29.500000 78.450 -62.0647
30.000000 78.638 -63.1447
30.400000 78.812 -63.8086
30.700001 78.963 -64.2265
31.100000 79.187 -64.7861
31.500000 79.412 -65.4547
32.000000 79.650 -66.4675
32.500000 79.819 -67.5241
33.000000 79.941 -68.4444
33.500000 80.063 -69.2077
34.000000 80.212 -69.9310
34.500000 80.386 -70.7036
35.000000 80.567 -71.5020
35.500000 80.750 -72.2718
36.000000 80.937 -73.0383
36.500000 81.126 -73.9018
37.000000 81.304 -74.9241
37.500000 81.459 -76.0408
38.200001 81.645 -77.4759
38.700001 81.784 -78.3035
39.500000 82.041 -79.5263
40.000000 82.194 -80.3671
40.599998 82.337 -81.3374
41.200001 82.449 -82.0634
41.799999 82.574 -82.6068
42.500000 82.750 -83.4488
43.099998 82.894 -84.5965
43.700001 83.005 -86.0294
44.400002 83.102 -87.6182
45.000000 83.203 -88.5674
45.500000 83.333 -89.0809
46.200001 83.571 -89.7931
46.799999 83.759 -90.6599
47.500000 83.906 -91.7629
48.200001 84.042 -92.7080
48.700001 84.177 -93.4321
49.400002 84.385 -94.7329
50.000000 84.523 -95.9356
50.799999 84.633 -97.1654
51.500000 84.709 -97.9076
52.200001 84.800 -98.6334
53.000000 84.942 -99.6491
53.799999 85.111 -100.9017
54.500000 85.237 -102.0475
55.200001 85.329 -103.0832
56.000000 85.411 -104.2297
57.000000 85.504 -105.8194
58.000000 85.631 -107.3798
59.000000 85.794 -108.6694
60.000000 85.934 -109.6142
60.799999 86.008 -110.3379
61.500000 86.038 -111.0720
62.200001 86.061 -111.8696
63.000000 86.123 -112.8874
64.000000 86.242 -114.3445
65.000000 86.341 -115.6070
66.000000 86.420 -116.5172
67.000000 86.504 -117.4265
68.000000 86.606 -118.5260
69.000000 86.701 -119.7219
70.000000 86.769 -120.8644
71.000000 86.830 -122.0136
72.000000 86.896 -123.1403
73.000000 86.970 -124.1539
74.000000 87.032 -125.1660
75.000000 87.078 -126.2304
76.199997 87.137 -127.4559
77.500000 87.215 -128.6657
78.800003 87.272 -129.9786
80.000000 87.304 -131.2231
81.199997 87.344 -132.4680
82.500000 87.404 -133.7953
83.800003 87.460 -135.0448
85.000000 87.488 -136.1319
86.199997 87.502 -137.2133
87.500000 87.529 -138.3908
88.500000 87.552 -139.3771
90.000000 87.539 -140.7361
91.199997 87.529 -141.6251
92.500000 87.524 -142.6196
93.800003 87.501 -143.4861
95.000000 87.494 -144.1563
96.199997 87.525 -144.8569
97.500000 87.553 -145.5144
98.800003 87.540 -146.1304
100.000000 87.518 -146.8348
101.500000 87.553 -147.9627
103.000000 87.586 -149.2412
104.400002 87.579 -150.3277
106.000000 87.558 -151.3449
107.500000 87.531 -152.3244
109.000000 87.494 -153.3005
110.599998 87.459 -154.1864
112.000000 87.424 -154.8548
113.800003 87.365 -155.6643
115.000000 87.325 -156.2417
117.199997 87.262 -157.2087
118.000000 87.245 -157.4477
120.599998 87.179 -158.3851
122.000000 87.131 -159.0584
124.099998 87.058 -159.6962
125.000000 87.030 -159.8716
126.500000 86.995 -160.1725
128.000000 86.978 -160.4834
131.500000 86.939 -161.1180
132.000000 86.930 -161.2283
134.000000 86.909 -161.7786
136.000000 86.900 -162.3810
138.000000 86.900 -163.0222
140.000000 86.900 -163.5057
143.000000 86.854 -164.2228
145.000000 86.847 -164.6120
147.500000 86.882 -165.3058
150.000000 86.946 -165.7444
152.500000 86.891 -166.5457
155.000000 86.821 -167.3760
157.500000 86.773 -168.0331
160.000000 86.727 -168.6694
162.500000 86.699 -169.3562
165.000000 86.693 -169.9306
167.500000 86.677 -170.4559
170.000000 86.671 -170.8733
172.500000 86.634 -171.6281
175.000000 86.566 -172.3424
177.500000 86.474 -172.8667
180.000000 86.414 -173.2689
182.500000 86.415 -173.4606
185.000000 86.445 -174.0478
187.500000 86.412 -174.5230
190.000000 86.289 -174.8778
192.500000 86.169 -175.4304
195.000000 86.116 -175.5700
197.500000 86.028 -175.6896
200.000000 85.951 -176.1600
203.000000 85.949 -176.7379
206.000000 85.894 -177.0276
209.000000 85.840 -177.2727
212.000000 85.817 -177.5256
214.000000 85.804 -177.5883
218.000000 85.700 -177.7274
220.000000 85.653 -177.9070
224.000000 85.584 -178.2842
227.000000 85.535 -178.5166
230.000000 85.502 -178.7401
233.000000 85.483 -178.8901
236.000000 85.541 -179.1938
240.000000 85.588 -179.9274
243.000000 85.401 -179.9036
247.000000 85.188 -179.6868
250.000000 85.129 -179.8678
254.000000 85.055 -179.9713
258.000000 84.987 -179.8770
262.000000 84.900 -179.9699
265.000000 84.835 179.9415
269.000000 84.775 -179.9896
272.000000 84.749 -179.8863
276.000000 84.711 -179.9262
280.000000 84.648 179.9883
285.000000 84.602 -179.9314
290.000000 84.545 -179.6313
295.000000 84.456 -179.4632
300.000000 84.401 -179.3883
304.000000 84.410 -179.4148
307.000000 84.410 -179.2231
311.000000 84.379 -179.0191
315.000000 84.305 -179.0239
320.000000 84.204 -179.1179
325.000000 84.167 -178.9326
330.000000 84.177 -178.8356
335.000000 84.199 -178.9005
340.000000 84.179 -179.1675
345.000000 84.176 -179.2720
350.000000 84.153 -179.0191
355.000000 84.134 -178.9179
360.000000 84.091 -178.7557
365.000000 83.990 -178.5547
370.000000 83.920 -178.3533
375.000000 83.882 -178.4055
382.000000 83.817 -178.3606
387.000000 83.794 -178.0222
395.000000 83.777 -177.6022
400.000000 83.770 -177.6256
406.000000 83.724 -177.7014
412.000000 83.669 -177.7303
418.000000 83.658 -177.5886
425.000000 83.681 -176.9786
431.000000 83.663 -176.6335
437.000000 83.627 -176.4561
444.000000 83.596 -176.3002
450.000000 83.538 -176.1923
455.000000 83.474 -175.9943
462.000000 83.442 -175.4695
468.000000 83.448 -175.2706
475.000000 83.430 -175.2028
482.000000 83.386 -175.2145
487.000000 83.360 -174.8654
494.000000 83.352 -174.1937
500.000000 83.354 -173.9312
508.000000 83.332 -173.7554
515.000000 83.295 -173.5052
522.000000 83.254 -173.3429
530.000000 83.221 -173.1536
538.000000 83.197 -172.7218
545.000000 83.195 -172.4191
552.000000 83.204 -172.1419
560.000000 83.208 -171.8647
570.000000 83.166 -171.5394
580.000000 83.135 -170.9830
590.000000 83.156 -170.4161
600.000000 83.176 -170.1037
608.000000 83.170 -169.6424
615.000000 83.172 -169.2739
622.000000 83.177 -168.9739
630.000000 83.173 -168.6975
640.000000 83.179 -168.4254
650.000000 83.186 -168.1152
660.000000 83.197 -167.6429
670.000000 83.204 -167.2601
680.000000 83.224 -166.9332
690.000000 83.238 -166.5249
700.000000 83.254 -166.1143
710.000000 83.272 -165.6935
720.000000 83.289 -165.3975
730.000000 83.287 -164.9711
740.000000 83.289 -164.5334
750.000000 83.310 -164.1410
762.000000 83.339 -163.8436
775.000000 83.363 -163.4719
788.000000 83.367 -162.9796
800.000000 83.365 -162.7151
812.000000 83.376 -162.2151
825.000000 83.415 -161.6859
838.000000 83.446 -161.2038
850.000000 83.469 -160.7746
862.000000 83.497 -160.4788
875.000000 83.542 -160.1039
885.000000 83.564 -159.7542
900.000000 83.567 -159.1617
912.000000 83.588 -158.6933
925.000000 83.625 -158.2359
938.000000 83.674 -157.8102
950.000000 83.706 -157.4471
962.000000 83.720 -157.0991
975.000000 83.744 -156.7260
988.000000 83.774 -156.3235
1000.000000 83.795 -155.9529
1015.000000 83.828 -155.3978
1030.000000 83.855 -154.7767
1044.000000 83.878 -154.0471
1060.000000 83.956 -153.2610
1075.000000 84.022 -152.6233
1090.000000 84.062 -152.2528
1106.000000 84.115 -151.6404
1120.000000 84.184 -151.0494
1138.000000 84.293 -150.4005
1150.000000 84.355 -149.9036
1172.000000 84.433 -149.0937
1180.000000 84.466 -148.8885
1206.000000 84.605 -147.9249
1220.000000 84.673 -147.3287
1241.000000 84.775 -146.6328
1250.000000 84.821 -146.4110
1265.000000 84.909 -145.9702
1280.000000 85.008 -145.3528
1315.000000 85.270 -144.0578
1320.000000 85.311 -143.8911
1340.000000 85.461 -143.4185
1360.000000 85.604 -142.9857
1380.000000 85.747 -142.4530
1400.000000 85.880 -141.9511
1430.000000 86.076 -141.2168
1450.000000 86.206 -140.6378
1475.000000 86.374 -139.8300
1500.000000 86.567 -138.7941
1525.000000 86.867 -137.3748
1550.000000 87.289 -136.7365
1575.000000 87.653 -137.3739
1600.000000 87.894 -138.0275
1625.000000 88.109 -138.3779
1650.000000 88.315 -138.7274
1675.000000 88.508 -139.0146
1700.000000 88.718 -139.1683
1725.000000 88.947 -139.2240
1750.000000 89.190 -139.3495
1775.000000 89.445 -139.6456
1800.000000 89.711 -140.1267
1825.000000 89.967 -140.7979
1850.000000 90.211 -141.4942
1875.000000 90.470 -142.1702
1900.000000 90.730 -143.2662
1925.000000 90.914 -144.5527
1950.000000 91.075 -145.2706
1975.000000 91.303 -145.9178
2000.000000 91.551 -147.1787
2030.000000 91.785 -148.8830
2060.000000 92.008 -150.3522
2090.000000 92.260 -152.0578
2120.000000 92.464 -154.3777
2140.000000 92.540 -156.0187
2180.000000 92.583 -158.6629
2200.000000 92.623 -159.6268
2240.000000 92.723 -161.9792
2270.000000 92.750 -163.5213
2300.000000 92.802 -164.8532
2330.000000 92.895 -166.3862
2360.000000 92.963 -168.1618
2400.000000 93.015 -170.8278
2430.000000 92.983 -172.7668
2470.000000 92.936 -174.8603
2500.000000 92.894 -176.5730
2540.000000 92.760 -178.8985
2580.000000 92.606 179.3529
2620.000000 92.479 178.1072
2650.000000 92.411 177.4045
2690.000000 92.354 176.4084
2720.000000 92.323 175.4917
2760.000000 92.262 174.1141
2800.000000 92.192 172.7867
2850.000000 92.117 171.1291
2900.000000 91.996 169.3769
2950.000000 91.862 168.0363
3000.000000 91.725 166.8372
3040.000000 91.650 166.1128
3070.000000 91.618 165.5677
3110.000000 91.588 164.6018
3150.000000 91.521 163.5853
3200.000000 91.507 162.8752
3250.000000 91.580 161.3298
3300.000000 91.591 159.2490
3350.000000 91.548 157.2173
3400.000000 91.534 155.3037
3450.000000 91.538 152.8461
3500.000000 91.488 149.9186
3550.000000 91.351 146.8601
3600.000000 91.180 144.2383
3650.000000 91.079 141.5908
3700.000000 91.017 138.2720
3750.000000 90.899 134.0169
3820.000000 90.561 127.4156
3870.000000 90.237 122.3941
3950.000000 89.746 112.8194
4000.000000 89.311 104.4609
4060.000000 88.419 92.3275
4120.000000 86.998 78.0027
4180.000000 84.912 62.3625
4250.000000 82.119 39.8678
4310.000000 79.879 10.5925
4370.000000 78.741 -27.9186
4440.000000 79.682 -66.0835
4500.000000 81.194 -85.9021
4550.000000 82.407 -96.5842
4620.000000 83.805 -106.4373
4680.000000 84.860 -111.2544
4750.000000 86.145 -114.4827
4820.000000 87.628 -116.6846
4870.000000 88.825 -118.8541
4940.000000 90.534 -123.9013
5000.000000 91.909 -130.1709
