* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 1:15:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Koss Porta Pro S1 (PP HB) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.932 -49.3734
20.600000 77.079 -50.0538
20.900000 77.239 -50.6796
21.200001 77.405 -51.2126
21.400000 77.524 -51.5531
21.799999 77.786 -52.3259
22.000000 77.924 -52.8005
22.400000 78.192 -53.9349
22.700001 78.371 -54.8679
23.000000 78.529 -55.7596
23.299999 78.673 -56.5249
23.600000 78.817 -57.1356
24.000000 79.029 -57.7928
24.299999 79.207 -58.2898
24.700001 79.454 -59.1168
25.000000 79.627 -59.8888
25.400000 79.824 -61.0376
25.799999 79.982 -62.1574
26.200001 80.122 -63.1086
26.500000 80.233 -63.6948
26.900000 80.407 -64.3719
27.200001 80.559 -64.8691
27.600000 80.783 -65.6019
28.000000 81.013 -66.4565
28.500000 81.281 -67.6722
29.000000 81.502 -68.9315
29.500000 81.676 -70.0626
30.000000 81.831 -70.9664
30.400000 81.972 -71.5838
30.700001 82.096 -72.0693
31.100000 82.283 -72.8505
31.500000 82.475 -73.8290
32.000000 82.686 -75.2128
32.500000 82.848 -76.4967
33.000000 82.980 -77.4614
33.500000 83.116 -78.1501
34.000000 83.276 -78.8127
34.500000 83.449 -79.6754
35.000000 83.613 -80.7666
35.500000 83.759 -81.9352
36.000000 83.895 -82.9969
36.500000 84.038 -83.8730
37.000000 84.195 -84.6241
37.500000 84.359 -85.3742
38.200001 84.573 -86.5498
38.700001 84.705 -87.4424
39.500000 84.903 -88.8109
40.000000 85.031 -89.6122
40.599998 85.187 -90.5685
41.200001 85.335 -91.5709
41.799999 85.467 -92.6413
42.500000 85.605 -93.9595
43.099998 85.721 -95.1046
43.700001 85.837 -96.2094
44.400002 85.972 -97.3923
45.000000 86.081 -98.3161
45.500000 86.166 -99.0488
46.200001 86.276 -100.0444
46.799999 86.372 -100.8705
47.500000 86.504 -101.8491
48.200001 86.648 -102.9304
48.700001 86.743 -103.7510
49.400002 86.855 -104.8494
50.000000 86.944 -105.6812
50.799999 87.074 -106.7195
51.500000 87.184 -107.6794
52.200001 87.270 -108.6980
53.000000 87.335 -109.8673
53.799999 87.398 -111.0429
54.500000 87.479 -112.1306
55.200001 87.579 -113.2321
56.000000 87.699 -114.3457
57.000000 87.834 -115.5005
58.000000 87.931 -116.6778
59.000000 88.013 -117.9430
60.000000 88.117 -119.2430
60.799999 88.197 -120.2876
61.500000 88.249 -121.1634
62.200001 88.289 -121.9977
63.000000 88.338 -122.9348
64.000000 88.413 -124.1272
65.000000 88.487 -125.3226
66.000000 88.548 -126.4490
67.000000 88.604 -127.5017
68.000000 88.656 -128.5511
69.000000 88.699 -129.6011
70.000000 88.741 -130.6338
71.000000 88.786 -131.6529
72.000000 88.827 -132.6377
73.000000 88.864 -133.5734
74.000000 88.904 -134.4926
75.000000 88.947 -135.4280
76.199997 89.000 -136.5643
77.500000 89.056 -137.7979
78.800003 89.104 -139.0339
80.000000 89.137 -140.1808
81.199997 89.158 -141.3198
82.500000 89.175 -142.4737
83.800003 89.194 -143.5354
85.000000 89.209 -144.4737
86.199997 89.223 -145.4455
87.500000 89.237 -146.5300
88.500000 89.248 -147.3393
90.000000 89.255 -148.5011
91.199997 89.248 -149.4149
92.500000 89.238 -150.3986
93.800003 89.232 -151.3544
95.000000 89.227 -152.2177
96.199997 89.217 -153.0714
97.500000 89.191 -153.9663
98.800003 89.154 -154.7987
100.000000 89.120 -155.5126
101.500000 89.086 -156.3223
103.000000 89.062 -157.0381
104.400002 89.043 -157.7060
106.000000 89.023 -158.5532
107.500000 89.004 -159.4113
109.000000 88.966 -160.2998
110.599998 88.895 -161.1511
112.000000 88.823 -161.6215
113.800003 88.752 -161.9544
115.000000 88.728 -162.1031
117.199997 88.744 -162.5020
118.000000 88.779 -162.7251
120.599998 88.868 -163.5715
122.000000 88.825 -163.9999
124.099998 88.787 -164.7793
125.000000 88.781 -165.1499
126.500000 88.771 -165.8029
128.000000 88.759 -166.4502
131.500000 88.704 -167.8689
132.000000 88.693 -168.0605
134.000000 88.648 -168.7792
136.000000 88.600 -169.3524
138.000000 88.561 -169.8649
140.000000 88.531 -170.3814
143.000000 88.484 -171.2255
145.000000 88.449 -171.7982
147.500000 88.413 -172.4456
150.000000 88.372 -173.0557
152.500000 88.326 -173.6603
155.000000 88.282 -174.2580
157.500000 88.242 -174.8188
160.000000 88.201 -175.3590
162.500000 88.156 -175.8744
165.000000 88.110 -176.3738
167.500000 88.068 -176.8817
170.000000 88.023 -177.3797
172.500000 87.975 -177.8451
175.000000 87.933 -178.2934
177.500000 87.896 -178.7191
180.000000 87.858 -179.1643
182.500000 87.810 -179.5581
185.000000 87.766 -179.9418
187.500000 87.724 179.5978
190.000000 87.679 179.1022
192.500000 87.624 178.6420
195.000000 87.558 178.2434
197.500000 87.488 177.9123
200.000000 87.421 177.6357
203.000000 87.349 177.3615
206.000000 87.283 177.1233
209.000000 87.219 176.8769
212.000000 87.161 176.6434
214.000000 87.123 176.5065
218.000000 87.051 176.2448
220.000000 87.017 176.1007
224.000000 86.949 175.8221
227.000000 86.899 175.6253
230.000000 86.848 175.4217
233.000000 86.797 175.2133
236.000000 86.750 174.9868
240.000000 86.687 174.7013
243.000000 86.632 174.5874
247.000000 86.557 174.4359
250.000000 86.503 174.2853
254.000000 86.431 174.0943
258.000000 86.359 173.9507
262.000000 86.288 173.8345
265.000000 86.235 173.7632
269.000000 86.168 173.6882
272.000000 86.118 173.6471
276.000000 86.048 173.6136
280.000000 85.981 173.6295
285.000000 85.905 173.7311
290.000000 85.836 173.8016
295.000000 85.771 173.8413
300.000000 85.713 173.9329
304.000000 85.666 173.9873
307.000000 85.631 174.0322
311.000000 85.588 174.1029
315.000000 85.549 174.1794
320.000000 85.502 174.2753
325.000000 85.458 174.3605
330.000000 85.420 174.4343
335.000000 85.383 174.4726
340.000000 85.355 174.4809
345.000000 85.322 174.4339
350.000000 85.276 174.3622
355.000000 85.216 174.3940
360.000000 85.158 174.5451
365.000000 85.112 174.6961
370.000000 85.074 174.8169
375.000000 85.039 174.9414
382.000000 84.990 175.0940
387.000000 84.955 175.1776
395.000000 84.894 175.3208
400.000000 84.855 175.4025
406.000000 84.813 175.5325
412.000000 84.775 175.6730
418.000000 84.738 175.7887
425.000000 84.690 175.9909
431.000000 84.647 176.1851
437.000000 84.607 176.3782
444.000000 84.568 176.5951
450.000000 84.539 176.7902
455.000000 84.516 176.9545
462.000000 84.486 177.1807
468.000000 84.462 177.3560
475.000000 84.435 177.5274
482.000000 84.407 177.7029
487.000000 84.389 177.8619
494.000000 84.367 178.0418
500.000000 84.345 178.1260
508.000000 84.311 178.2262
515.000000 84.282 178.3394
522.000000 84.250 178.4384
530.000000 84.206 178.5412
538.000000 84.158 178.6380
545.000000 84.115 178.7314
552.000000 84.068 178.8293
560.000000 83.997 178.9031
570.000000 83.885 179.1069
580.000000 83.762 179.5479
590.000000 83.644 -179.7550
600.000000 83.545 -178.8053
608.000000 83.495 -177.8871
615.000000 83.478 -177.0668
622.000000 83.484 -176.3132
630.000000 83.506 -175.5728
640.000000 83.545 -174.8067
650.000000 83.590 -174.2042
660.000000 83.628 -173.7736
670.000000 83.651 -173.3904
680.000000 83.663 -172.9502
690.000000 83.684 -172.4559
700.000000 83.715 -172.0287
710.000000 83.740 -171.7022
720.000000 83.756 -171.3995
730.000000 83.770 -171.0619
740.000000 83.785 -170.6260
750.000000 83.809 -170.2185
762.000000 83.837 -169.8209
775.000000 83.868 -169.4078
788.000000 83.891 -169.0370
800.000000 83.908 -168.7390
812.000000 83.920 -168.4099
825.000000 83.931 -167.9571
838.000000 83.953 -167.5030
850.000000 83.975 -167.1600
862.000000 83.991 -166.8357
875.000000 84.010 -166.4389
885.000000 84.027 -166.1548
900.000000 84.046 -165.7368
912.000000 84.052 -165.3685
925.000000 84.060 -164.9176
938.000000 84.078 -164.4326
950.000000 84.097 -163.9924
962.000000 84.117 -163.5539
975.000000 84.144 -163.1080
988.000000 84.172 -162.6772
1000.000000 84.198 -162.2819
1015.000000 84.229 -161.7878
1030.000000 84.259 -161.1998
1044.000000 84.293 -160.6360
1060.000000 84.335 -159.9949
1075.000000 84.379 -159.3820
1090.000000 84.434 -158.7865
1106.000000 84.502 -158.1760
1120.000000 84.569 -157.7025
1138.000000 84.650 -157.1783
1150.000000 84.695 -156.8118
1172.000000 84.778 -156.0906
1180.000000 84.811 -155.8116
1206.000000 84.936 -154.9374
1220.000000 85.004 -154.5123
1241.000000 85.106 -153.8530
1250.000000 85.151 -153.5813
1265.000000 85.226 -153.1175
1280.000000 85.307 -152.6228
1315.000000 85.509 -151.5787
1320.000000 85.539 -151.4324
1340.000000 85.660 -150.8833
1360.000000 85.781 -150.3166
1380.000000 85.912 -149.7857
1400.000000 86.051 -149.2686
1430.000000 86.271 -148.4722
1450.000000 86.429 -147.9486
1475.000000 86.653 -147.3254
1500.000000 86.896 -146.9990
1525.000000 87.120 -146.8658
1550.000000 87.333 -146.7806
1575.000000 87.539 -146.6724
1600.000000 87.762 -146.5650
1625.000000 87.997 -146.5979
1650.000000 88.233 -146.8154
1675.000000 88.450 -147.1385
1700.000000 88.655 -147.3492
1725.000000 88.886 -147.6573
1750.000000 89.104 -148.2357
1775.000000 89.292 -148.7920
1800.000000 89.486 -149.1674
1825.000000 89.722 -149.6893
1850.000000 89.952 -150.6196
1875.000000 90.124 -151.6176
1900.000000 90.288 -152.4298
1925.000000 90.456 -153.3456
1950.000000 90.610 -154.1944
1975.000000 90.786 -155.0004
2000.000000 90.972 -156.0622
2030.000000 91.154 -157.5435
2060.000000 91.317 -158.9155
2090.000000 91.507 -160.3714
2120.000000 91.677 -162.3067
2140.000000 91.737 -163.6980
2180.000000 91.812 -165.9814
2200.000000 91.856 -167.1351
2240.000000 91.892 -169.6377
2270.000000 91.848 -171.2517
2300.000000 91.827 -172.3459
2330.000000 91.853 -173.6505
2360.000000 91.848 -175.1133
2400.000000 91.800 -176.8524
2430.000000 91.773 -178.0071
2470.000000 91.753 -179.6106
2500.000000 91.718 178.9524
2540.000000 91.595 177.2146
2580.000000 91.460 175.9436
2620.000000 91.322 174.9718
2650.000000 91.245 174.5131
2690.000000 91.188 173.7850
2720.000000 91.143 173.1309
2760.000000 91.064 172.3851
2800.000000 91.012 171.8935
2850.000000 90.994 171.1605
2900.000000 90.985 170.4171
2950.000000 91.037 169.7061
3000.000000 91.132 168.4845
3040.000000 91.202 167.2780
3070.000000 91.255 166.1115
3110.000000 91.265 164.2826
3150.000000 91.232 162.7707
3200.000000 91.222 160.7159
3250.000000 91.135 158.5414
3300.000000 91.057 156.8187
3350.000000 91.040 154.8344
3400.000000 90.998 152.2965
3450.000000 90.884 149.4586
3500.000000 90.669 146.7449
3550.000000 90.422 144.6480
3600.000000 90.245 142.8936
3650.000000 90.152 140.8670
3700.000000 90.099 138.1771
3750.000000 90.028 134.7710
3820.000000 89.849 129.0479
3870.000000 89.681 124.2203
3950.000000 89.340 114.5244
4000.000000 89.008 106.6607
4060.000000 88.421 95.0835
4120.000000 87.517 80.2738
4180.000000 86.109 62.0543
4250.000000 83.854 35.4644
4310.000000 81.680 7.4176
4370.000000 80.392 -24.3941
4440.000000 80.673 -57.0724
4500.000000 81.796 -76.0027
4550.000000 82.863 -86.8793
4620.000000 84.302 -97.1561
4680.000000 85.502 -103.2318
4750.000000 86.871 -108.7812
4820.000000 88.228 -113.7115
4870.000000 89.191 -117.2745
4940.000000 90.529 -122.7072
5000.000000 91.660 -128.1309
5080.000000 93.075 -137.0389
5150.000000 94.106 -146.6904
5220.000000 94.799 -157.7643
5300.000000 95.067 -171.1249
5380.000000 94.754 176.3663
