* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 1:22:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Koss Porta Pro S1 (PP HB) r3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 73.917 -46.7857
20.600000 74.080 -47.3223
20.900000 74.272 -47.9804
21.200001 74.472 -48.7279
21.400000 74.605 -49.2571
21.799999 74.866 -50.3072
22.000000 74.993 -50.7888
22.400000 75.237 -51.6033
22.700001 75.416 -52.0862
23.000000 75.591 -52.5034
23.299999 75.760 -52.9156
23.600000 75.922 -53.3784
24.000000 76.121 -54.1272
24.299999 76.261 -54.7862
24.700001 76.444 -55.7473
25.000000 76.589 -56.4873
25.400000 76.804 -57.4497
25.799999 77.045 -58.3580
26.200001 77.295 -59.2053
26.500000 77.475 -59.7968
26.900000 77.686 -60.5101
27.200001 77.818 -60.9728
27.600000 77.963 -61.4825
28.000000 78.093 -61.9015
28.500000 78.272 -62.4444
29.000000 78.494 -63.2182
29.500000 78.744 -64.2904
30.000000 78.987 -65.4726
30.400000 79.167 -66.3096
30.700001 79.295 -66.8215
31.100000 79.466 -67.3837
31.500000 79.638 -67.9201
32.000000 79.844 -68.7294
32.500000 80.020 -69.7201
33.000000 80.167 -70.7347
33.500000 80.313 -71.6200
34.000000 80.487 -72.3990
34.500000 80.685 -73.2173
35.000000 80.880 -74.1596
35.500000 81.047 -75.1586
36.000000 81.186 -76.0793
36.500000 81.321 -76.8522
37.000000 81.474 -77.5286
37.500000 81.647 -78.2234
38.200001 81.893 -79.3469
38.700001 82.043 -80.2062
39.500000 82.231 -81.4654
40.000000 82.335 -82.1421
40.599998 82.469 -82.9105
41.200001 82.621 -83.7053
41.799999 82.791 -84.5475
42.500000 83.001 -85.5825
43.099998 83.180 -86.5126
43.700001 83.347 -87.4807
44.400002 83.529 -88.6660
45.000000 83.672 -89.7301
45.500000 83.779 -90.6096
46.200001 83.910 -91.7031
46.799999 84.017 -92.4478
47.500000 84.152 -93.1872
48.200001 84.302 -93.9984
48.700001 84.411 -94.7019
49.400002 84.557 -95.8499
50.000000 84.671 -96.8943
50.799999 84.807 -98.1842
51.500000 84.926 -99.1481
52.200001 85.052 -100.0388
53.000000 85.193 -101.1123
53.799999 85.316 -102.2822
54.500000 85.408 -103.3225
55.200001 85.497 -104.3119
56.000000 85.604 -105.3736
57.000000 85.746 -106.6889
58.000000 85.883 -108.0680
59.000000 86.009 -109.5117
60.000000 86.105 -110.8367
60.799999 86.169 -111.6731
61.500000 86.231 -112.3307
62.200001 86.301 -113.0564
63.000000 86.379 -113.9933
64.000000 86.475 -115.1695
65.000000 86.575 -116.2597
66.000000 86.672 -117.3017
67.000000 86.763 -118.3655
68.000000 86.848 -119.4899
69.000000 86.928 -120.6562
70.000000 86.999 -121.8162
71.000000 87.065 -122.9145
72.000000 87.133 -123.9778
73.000000 87.194 -125.0692
74.000000 87.244 -126.1595
75.000000 87.292 -127.1633
76.199997 87.356 -128.2668
77.500000 87.410 -129.3922
78.800003 87.457 -130.5137
80.000000 87.506 -131.5823
81.199997 87.557 -132.6354
82.500000 87.608 -133.7953
83.800003 87.653 -134.9679
85.000000 87.689 -136.0125
86.199997 87.726 -137.0652
87.500000 87.761 -138.2133
88.500000 87.783 -139.0713
90.000000 87.800 -140.2800
91.199997 87.811 -141.1839
92.500000 87.823 -142.1436
93.800003 87.835 -143.0961
95.000000 87.846 -143.9710
96.199997 87.852 -144.8349
97.500000 87.851 -145.7588
98.800003 87.847 -146.6496
100.000000 87.846 -147.4150
101.500000 87.846 -148.3129
103.000000 87.852 -149.2044
104.400002 87.860 -150.0827
106.000000 87.859 -151.1236
107.500000 87.846 -152.1013
109.000000 87.825 -153.0496
110.599998 87.795 -154.0022
112.000000 87.761 -154.7668
113.800003 87.710 -155.6639
115.000000 87.676 -156.2034
117.199997 87.625 -157.0681
118.000000 87.613 -157.3877
120.599998 87.591 -158.4733
122.000000 87.574 -158.9796
124.099998 87.537 -159.7578
125.000000 87.520 -160.0710
126.500000 87.490 -160.5454
128.000000 87.464 -160.9844
131.500000 87.420 -161.9579
132.000000 87.416 -162.1051
134.000000 87.407 -162.7148
136.000000 87.407 -163.3714
138.000000 87.407 -164.1277
140.000000 87.390 -164.9830
143.000000 87.311 -166.3193
145.000000 87.225 -167.0491
147.500000 87.116 -167.5959
150.000000 87.040 -167.8879
152.500000 86.993 -168.1520
155.000000 86.967 -168.4993
157.500000 86.943 -168.9395
160.000000 86.916 -169.4290
162.500000 86.888 -169.9586
165.000000 86.855 -170.4729
167.500000 86.815 -170.9768
170.000000 86.769 -171.4627
172.500000 86.720 -171.9006
175.000000 86.670 -172.2917
177.500000 86.624 -172.6680
180.000000 86.578 -173.0421
182.500000 86.535 -173.3107
185.000000 86.494 -173.5385
187.500000 86.451 -173.7483
190.000000 86.418 -173.9205
192.500000 86.397 -174.0976
195.000000 86.385 -174.3355
197.500000 86.374 -174.6582
200.000000 86.360 -175.0267
203.000000 86.335 -175.4782
206.000000 86.304 -175.9319
209.000000 86.263 -176.3671
212.000000 86.216 -176.7541
214.000000 86.184 -176.9926
218.000000 86.117 -177.4394
220.000000 86.082 -177.6482
224.000000 86.013 -178.0275
227.000000 85.961 -178.3017
230.000000 85.908 -178.5572
233.000000 85.854 -178.7769
236.000000 85.798 -178.9639
240.000000 85.724 -179.1741
243.000000 85.675 -179.3427
247.000000 85.609 -179.5157
250.000000 85.559 -179.6211
254.000000 85.497 -179.7546
258.000000 85.439 -179.8593
262.000000 85.380 -179.9188
265.000000 85.336 -179.9624
269.000000 85.280 179.9827
272.000000 85.243 179.9464
276.000000 85.195 179.9201
280.000000 85.147 179.9192
285.000000 85.093 179.8995
290.000000 85.042 179.8954
295.000000 84.995 179.9028
300.000000 84.947 179.8596
304.000000 84.913 179.8200
307.000000 84.883 179.7915
311.000000 84.838 179.7726
315.000000 84.791 179.8010
320.000000 84.732 179.9070
325.000000 84.686 -179.9720
330.000000 84.649 -179.8651
335.000000 84.616 -179.7740
340.000000 84.586 -179.6699
345.000000 84.553 -179.5744
350.000000 84.522 -179.5124
355.000000 84.491 -179.4354
360.000000 84.461 -179.3392
365.000000 84.436 -179.2412
370.000000 84.411 -179.1404
375.000000 84.386 -179.0532
382.000000 84.355 -178.9569
387.000000 84.334 -178.8855
395.000000 84.306 -178.7881
400.000000 84.292 -178.7461
406.000000 84.275 -178.7116
412.000000 84.256 -178.7112
418.000000 84.238 -178.7304
425.000000 84.211 -178.8532
431.000000 84.179 -179.0403
437.000000 84.137 -179.2414
444.000000 84.070 -179.5122
450.000000 83.986 -179.7387
455.000000 83.896 -179.8525
462.000000 83.747 -179.7794
468.000000 83.616 -179.4401
475.000000 83.485 -178.7976
482.000000 83.387 -177.9670
487.000000 83.341 -177.2951
494.000000 83.310 -176.4097
500.000000 83.301 -175.7601
508.000000 83.301 -174.9850
515.000000 83.307 -174.3714
522.000000 83.321 -173.8158
530.000000 83.343 -173.2379
538.000000 83.371 -172.7458
545.000000 83.399 -172.3857
552.000000 83.425 -172.0877
560.000000 83.446 -171.8140
570.000000 83.461 -171.4872
580.000000 83.476 -171.1527
590.000000 83.482 -170.8838
600.000000 83.478 -170.6034
608.000000 83.479 -170.2752
615.000000 83.483 -169.9682
622.000000 83.489 -169.6851
630.000000 83.497 -169.3972
640.000000 83.506 -169.0311
650.000000 83.518 -168.6947
660.000000 83.522 -168.3838
670.000000 83.521 -168.0329
680.000000 83.525 -167.6429
690.000000 83.534 -167.2491
700.000000 83.545 -166.8498
710.000000 83.562 -166.4451
720.000000 83.584 -166.0575
730.000000 83.604 -165.7303
740.000000 83.623 -165.3966
750.000000 83.643 -165.0649
762.000000 83.665 -164.6996
775.000000 83.686 -164.3103
788.000000 83.706 -163.8986
800.000000 83.728 -163.5239
812.000000 83.748 -163.1563
825.000000 83.769 -162.7069
838.000000 83.796 -162.2530
850.000000 83.824 -161.8574
862.000000 83.856 -161.4681
875.000000 83.887 -161.0776
885.000000 83.910 -160.7955
900.000000 83.943 -160.3542
912.000000 83.967 -160.0015
925.000000 83.993 -159.6080
938.000000 84.022 -159.1984
950.000000 84.048 -158.8018
962.000000 84.078 -158.3885
975.000000 84.112 -157.9486
988.000000 84.146 -157.5423
1000.000000 84.176 -157.1819
1015.000000 84.208 -156.6929
1030.000000 84.248 -156.1428
1044.000000 84.292 -155.6396
1060.000000 84.343 -155.0549
1075.000000 84.397 -154.4942
1090.000000 84.454 -153.9456
1106.000000 84.523 -153.3624
1120.000000 84.586 -152.8944
1138.000000 84.663 -152.3354
1150.000000 84.714 -151.9541
1172.000000 84.806 -151.2373
1180.000000 84.840 -150.9656
1206.000000 84.955 -150.1023
1220.000000 85.015 -149.5658
1241.000000 85.132 -148.6774
1250.000000 85.191 -148.3303
1265.000000 85.292 -147.8185
1280.000000 85.390 -147.3359
1315.000000 85.632 -146.1798
1320.000000 85.670 -146.0228
1340.000000 85.824 -145.4362
1360.000000 85.988 -144.8842
1380.000000 86.161 -144.4448
1400.000000 86.333 -144.1173
1430.000000 86.567 -143.7313
1450.000000 86.715 -143.4539
1475.000000 86.895 -143.0409
1500.000000 87.074 -142.4620
1525.000000 87.309 -141.5091
1550.000000 87.668 -140.8635
1575.000000 88.025 -141.2375
1600.000000 88.296 -141.9087
1625.000000 88.524 -142.5059
1650.000000 88.738 -143.0843
1675.000000 88.910 -143.7693
1700.000000 89.048 -143.9449
1725.000000 89.276 -143.7934
1750.000000 89.566 -144.2523
1775.000000 89.794 -145.2296
1800.000000 89.961 -145.9532
1825.000000 90.165 -146.4066
1850.000000 90.385 -147.2171
1875.000000 90.561 -148.0498
1900.000000 90.750 -148.6366
1925.000000 90.986 -149.2751
1950.000000 91.246 -150.3045
1975.000000 91.473 -151.6936
2000.000000 91.667 -153.1686
2030.000000 91.864 -155.0296
2060.000000 92.034 -156.9046
2090.000000 92.185 -158.8316
2120.000000 92.303 -160.9807
2140.000000 92.337 -162.4462
2180.000000 92.345 -164.6418
2200.000000 92.391 -165.4814
2240.000000 92.519 -167.8593
2270.000000 92.537 -169.8017
2300.000000 92.553 -171.4725
2330.000000 92.563 -173.4459
2360.000000 92.502 -175.3387
2400.000000 92.393 -177.3417
2430.000000 92.345 -178.6348
2470.000000 92.272 179.1610
2500.000000 92.128 177.5542
2540.000000 91.898 176.3015
2580.000000 91.762 175.7004
2620.000000 91.729 174.7424
2650.000000 91.676 173.5873
2690.000000 91.533 172.2280
2720.000000 91.411 171.4507
2760.000000 91.235 170.6604
2800.000000 91.077 170.4295
2850.000000 91.014 170.5154
2900.000000 91.065 169.8699
2950.000000 91.085 168.6382
3000.000000 91.058 167.0784
3040.000000 90.976 165.9110
3070.000000 90.903 165.1835
3110.000000 90.799 164.4290
3150.000000 90.727 163.9831
3200.000000 90.691 163.3245
3250.000000 90.697 162.8604
3300.000000 90.864 162.0774
3350.000000 91.023 159.6068
3400.000000 91.011 156.7232
3450.000000 90.902 153.8447
3500.000000 90.676 151.3045
3550.000000 90.441 149.6801
3600.000000 90.330 148.2132
3650.000000 90.245 146.1720
3700.000000 90.191 144.0059
3750.000000 90.202 141.0111
3820.000000 90.064 134.9163
3870.000000 89.847 130.1079
3950.000000 89.344 120.4851
4000.000000 88.848 112.9572
4060.000000 87.924 101.5576
4120.000000 86.241 88.3955
4180.000000 83.833 74.9975
4250.000000 80.298 53.2489
4310.000000 77.113 17.6594
4370.000000 76.951 -45.7535
4440.000000 79.697 -87.6184
4500.000000 82.028 -103.4040
4550.000000 83.587 -112.0125
4620.000000 85.284 -120.4542
4680.000000 86.502 -125.8961
4750.000000 87.672 -131.2213
4820.000000 88.758 -135.2202
4870.000000 89.574 -137.8577
4940.000000 90.823 -141.8674
5000.000000 91.982 -146.7113
5080.000000 93.352 -156.2348
