* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -26.0 dBFS with no timing reference
* Dated: Nov 24, 2024 4:41:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Koss PP S1 (Yaxi PE HB) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 72.702 -42.5310
20.600000 72.859 -43.1159
20.900000 73.027 -43.8013
21.200001 73.187 -44.4973
21.400000 73.293 -44.9394
21.799999 73.520 -45.7521
22.000000 73.647 -46.1400
22.400000 73.930 -46.9656
22.700001 74.156 -47.6880
23.000000 74.378 -48.5068
23.299999 74.583 -49.3772
23.600000 74.763 -50.2267
24.000000 74.972 -51.2151
24.299999 75.118 -51.8179
24.700001 75.319 -52.4929
25.000000 75.481 -52.9840
25.400000 75.710 -53.7305
25.799999 75.940 -54.6251
26.200001 76.158 -55.6120
26.500000 76.308 -56.3401
26.900000 76.493 -57.1975
27.200001 76.626 -57.7171
27.600000 76.804 -58.2538
28.000000 76.991 -58.7008
28.500000 77.236 -59.3465
29.000000 77.479 -60.2723
29.500000 77.708 -61.4686
30.000000 77.931 -62.7680
30.400000 78.119 -63.7810
30.700001 78.267 -64.5062
31.100000 78.464 -65.4213
31.500000 78.641 -66.2503
32.000000 78.812 -67.0794
32.500000 78.939 -67.6443
33.000000 79.067 -68.1372
33.500000 79.229 -68.9220
34.000000 79.421 -70.1920
34.500000 79.621 -71.7530
35.000000 79.821 -73.1822
35.500000 80.029 -74.1880
36.000000 80.243 -74.7904
36.500000 80.442 -75.2241
37.000000 80.607 -75.7357
37.500000 80.736 -76.4897
38.200001 80.883 -77.9888
38.700001 80.994 -79.1854
39.500000 81.243 -80.7743
40.000000 81.455 -81.5273
40.599998 81.724 -82.4817
41.200001 81.926 -83.6536
41.799999 82.024 -84.8238
42.500000 82.079 -85.7988
43.099998 82.174 -86.4017
43.700001 82.332 -87.1565
44.400002 82.527 -88.3881
45.000000 82.660 -89.4893
45.500000 82.751 -90.2495
46.200001 82.880 -91.0671
46.799999 83.002 -91.7591
47.500000 83.136 -92.7795
48.200001 83.262 -93.9753
48.700001 83.371 -94.8654
49.400002 83.558 -96.1203
50.000000 83.710 -97.0961
50.799999 83.839 -97.9727
51.500000 83.894 -98.4470
52.200001 83.940 -99.1195
53.000000 84.032 -100.3881
53.799999 84.195 -101.8269
54.500000 84.358 -102.7332
55.200001 84.504 -103.0938
56.000000 84.665 -103.4353
57.000000 84.819 -104.9654
58.000000 84.928 -106.9065
59.000000 85.115 -108.5522
60.000000 85.219 -110.1358
60.799999 85.253 -111.0140
61.500000 85.342 -111.8272
62.200001 85.465 -113.0118
63.000000 85.574 -114.5638
64.000000 85.635 -116.1465
65.000000 85.657 -117.1365
66.000000 85.741 -117.9617
67.000000 85.868 -119.3686
68.000000 85.926 -121.1235
69.000000 85.933 -122.4592
70.000000 86.014 -123.4991
71.000000 86.147 -124.8012
72.000000 86.236 -126.1267
73.000000 86.273 -127.2271
74.000000 86.293 -128.2368
75.000000 86.335 -129.2663
76.199997 86.388 -130.6052
77.500000 86.394 -132.0332
78.800003 86.363 -133.4304
80.000000 86.333 -134.4713
81.199997 86.333 -135.4888
82.500000 86.323 -136.6319
83.800003 86.333 -137.4330
85.000000 86.370 -138.0595
86.199997 86.415 -138.6839
87.500000 86.479 -139.4923
88.500000 86.535 -140.2792
90.000000 86.598 -141.6832
91.199997 86.613 -142.9135
92.500000 86.579 -144.1413
93.800003 86.505 -144.9804
95.000000 86.449 -145.3954
96.199997 86.449 -145.6621
97.500000 86.505 -146.0269
98.800003 86.584 -146.4636
100.000000 86.660 -147.1712
101.500000 86.707 -148.5191
103.000000 86.751 -149.7595
104.400002 86.772 -150.8960
106.000000 86.745 -152.1847
107.500000 86.705 -153.2598
109.000000 86.660 -154.0822
110.599998 86.627 -154.7671
112.000000 86.619 -155.3164
113.800003 86.622 -156.1482
115.000000 86.629 -156.7700
117.199997 86.645 -158.0373
118.000000 86.644 -158.5722
120.599998 86.573 -160.1125
122.000000 86.518 -160.6160
124.099998 86.462 -161.2509
125.000000 86.450 -161.5065
126.500000 86.445 -161.9510
128.000000 86.450 -162.4616
131.500000 86.468 -163.9303
132.000000 86.468 -164.1575
134.000000 86.460 -165.0943
136.000000 86.437 -166.1069
138.000000 86.381 -167.1860
140.000000 86.287 -168.2644
143.000000 86.126 -169.1384
145.000000 86.050 -169.2849
147.500000 85.999 -169.6888
150.000000 85.927 -170.5160
152.500000 85.929 -171.0740
155.000000 85.952 -171.4858
157.500000 85.913 -171.8668
160.000000 85.817 -172.1628
162.500000 85.783 -173.2733
165.000000 85.763 -174.1939
167.500000 85.708 -174.8040
170.000000 85.654 -175.4120
172.500000 85.623 -175.9290
175.000000 85.581 -176.3424
177.500000 85.505 -176.8010
180.000000 85.416 -177.4968
182.500000 85.346 -178.3891
185.000000 85.313 -178.9704
187.500000 85.312 -179.4541
190.000000 85.277 -179.5600
192.500000 85.175 -179.4993
195.000000 85.060 -179.6634
197.500000 84.969 -179.9370
200.000000 84.924 179.7737
203.000000 84.921 179.3298
206.000000 84.891 178.9192
209.000000 84.853 178.4203
212.000000 84.791 178.2773
214.000000 84.756 178.2682
218.000000 84.660 177.9856
220.000000 84.583 177.6756
224.000000 84.481 177.4650
227.000000 84.429 177.2624
230.000000 84.369 176.8774
233.000000 84.282 176.5131
236.000000 84.152 176.0422
240.000000 84.120 175.1369
243.000000 84.100 175.6025
247.000000 83.988 176.2168
250.000000 83.907 176.1606
254.000000 83.846 176.0634
258.000000 83.812 176.1686
262.000000 83.770 176.2221
265.000000 83.732 176.2642
269.000000 83.687 176.2487
272.000000 83.653 176.1003
276.000000 83.612 176.0025
280.000000 83.565 175.9586
285.000000 83.505 176.0389
290.000000 83.439 175.9818
295.000000 83.358 175.9291
300.000000 83.325 175.8350
304.000000 83.303 175.9209
307.000000 83.254 175.9438
311.000000 83.193 175.8173
315.000000 83.168 175.7800
320.000000 83.136 175.9694
325.000000 83.075 176.0326
330.000000 82.985 175.8134
335.000000 82.885 175.6149
340.000000 82.859 175.7456
345.000000 82.877 175.6191
350.000000 82.849 175.5137
355.000000 82.777 175.7795
360.000000 82.715 175.9199
365.000000 82.686 175.9805
370.000000 82.653 176.0215
375.000000 82.604 175.9539
382.000000 82.530 175.8069
387.000000 82.481 175.7296
395.000000 82.447 175.8794
400.000000 82.447 176.4214
406.000000 82.366 176.8110
412.000000 82.274 176.9332
418.000000 82.254 177.0125
425.000000 82.227 176.8204
431.000000 82.169 176.5590
437.000000 82.124 176.3600
444.000000 82.057 176.0747
450.000000 81.939 175.8396
455.000000 81.803 175.7575
462.000000 81.575 176.1881
468.000000 81.403 177.1608
475.000000 81.308 178.4971
482.000000 81.296 179.7502
487.000000 81.316 -179.6403
494.000000 81.347 -179.0020
500.000000 81.373 -178.5809
508.000000 81.398 -178.0765
515.000000 81.410 -177.6433
522.000000 81.421 -177.3931
530.000000 81.419 -177.1253
538.000000 81.403 -176.7542
545.000000 81.387 -176.4403
552.000000 81.374 -176.2027
560.000000 81.372 -175.8704
570.000000 81.374 -175.4332
580.000000 81.367 -174.9248
590.000000 81.354 -174.5303
600.000000 81.319 -174.3721
608.000000 81.287 -174.0276
615.000000 81.286 -173.6041
622.000000 81.295 -173.2711
630.000000 81.301 -173.0102
640.000000 81.301 -172.6682
650.000000 81.302 -172.2656
660.000000 81.288 -171.7922
670.000000 81.265 -171.3062
680.000000 81.256 -170.8561
690.000000 81.246 -170.5246
700.000000 81.235 -170.1759
710.000000 81.227 -169.6925
720.000000 81.232 -169.1689
730.000000 81.241 -168.6745
740.000000 81.240 -168.2166
750.000000 81.249 -167.8101
762.000000 81.276 -167.4243
775.000000 81.298 -166.9418
788.000000 81.315 -166.4119
800.000000 81.336 -165.9432
812.000000 81.355 -165.5167
825.000000 81.386 -165.0325
838.000000 81.416 -164.6317
850.000000 81.434 -164.3176
862.000000 81.451 -163.9550
875.000000 81.464 -163.5543
885.000000 81.480 -163.2626
900.000000 81.493 -162.9212
912.000000 81.486 -162.6383
925.000000 81.471 -162.1783
938.000000 81.470 -161.6587
950.000000 81.476 -161.1444
962.000000 81.487 -160.6250
975.000000 81.503 -160.1304
988.000000 81.518 -159.7004
1000.000000 81.536 -159.3135
1015.000000 81.553 -158.7634
1030.000000 81.568 -158.1692
1044.000000 81.585 -157.6018
1060.000000 81.612 -156.8853
1075.000000 81.639 -156.2056
1090.000000 81.666 -155.5838
1106.000000 81.700 -154.9109
1120.000000 81.740 -154.3009
1138.000000 81.787 -153.5986
1150.000000 81.820 -153.1884
1172.000000 81.866 -152.2518
1180.000000 81.886 -151.8462
1206.000000 81.982 -150.5692
1220.000000 82.032 -149.9523
1241.000000 82.133 -149.0067
1250.000000 82.181 -148.6113
1265.000000 82.260 -147.9896
1280.000000 82.335 -147.3999
1315.000000 82.527 -145.9452
1320.000000 82.556 -145.7531
1340.000000 82.669 -145.0211
1360.000000 82.775 -144.2361
1380.000000 82.888 -143.4274
1400.000000 83.025 -142.6463
1430.000000 83.256 -141.5819
1450.000000 83.422 -141.0096
1475.000000 83.633 -140.3389
1500.000000 83.841 -139.9122
1525.000000 84.013 -139.6474
1550.000000 84.156 -139.2196
1575.000000 84.334 -138.5308
1600.000000 84.554 -137.9767
1625.000000 84.753 -137.6561
1650.000000 84.945 -137.2081
1675.000000 85.169 -136.9092
1700.000000 85.401 -136.7771
1725.000000 85.643 -136.6871
1750.000000 85.873 -136.8058
1775.000000 86.078 -137.0443
1800.000000 86.272 -137.2151
1825.000000 86.470 -137.4096
1850.000000 86.662 -137.6971
1875.000000 86.845 -138.0539
1900.000000 87.008 -138.3962
1925.000000 87.176 -138.5647
1950.000000 87.376 -138.7834
1975.000000 87.569 -139.2857
2000.000000 87.737 -139.8745
2030.000000 87.911 -140.4892
2060.000000 88.100 -140.8464
2090.000000 88.338 -141.3418
2120.000000 88.554 -142.3036
2140.000000 88.662 -142.9077
2180.000000 88.905 -143.6822
2200.000000 89.065 -144.2506
2240.000000 89.342 -146.0946
2270.000000 89.473 -147.4542
2300.000000 89.605 -148.6338
2330.000000 89.736 -150.0263
2360.000000 89.809 -151.5619
2400.000000 89.844 -153.1940
2430.000000 89.872 -154.1760
2470.000000 89.919 -155.5015
2500.000000 89.934 -156.4128
2540.000000 89.949 -157.3347
2580.000000 90.017 -157.9791
2620.000000 90.110 -158.8840
2650.000000 90.173 -159.6310
2690.000000 90.246 -160.6006
2720.000000 90.306 -161.2974
2760.000000 90.390 -162.3369
2800.000000 90.464 -163.4559
2850.000000 90.545 -164.7958
2900.000000 90.618 -165.9721
2950.000000 90.736 -167.0520
3000.000000 90.874 -168.4111
3040.000000 91.013 -169.5726
3070.000000 91.129 -170.8056
3110.000000 91.229 -172.8354
3150.000000 91.263 -174.8267
3200.000000 91.284 -177.2172
3250.000000 91.251 -179.6033
3300.000000 91.203 178.3524
3350.000000 91.161 176.1633
3400.000000 91.062 174.0221
3450.000000 90.964 172.1216
3500.000000 90.847 170.2418
3550.000000 90.741 168.9316
3600.000000 90.744 167.6566
3650.000000 90.831 165.7946
3700.000000 90.932 163.1275
3750.000000 90.992 159.8446
3820.000000 91.010 154.5222
3870.000000 91.019 149.9401
3950.000000 90.894 140.3479
4000.000000 90.643 132.9477
4060.000000 90.120 122.6873
4120.000000 89.268 110.1606
4180.000000 87.876 95.5947
4250.000000 85.435 75.5955
4310.000000 82.605 55.0811
4370.000000 79.893 25.3992
4440.000000 78.800 -23.6136
4500.000000 80.240 -55.9781
4550.000000 81.867 -72.3243
4620.000000 83.950 -86.1234
4680.000000 85.531 -93.6506
4750.000000 87.225 -100.0633
4820.000000 88.830 -105.6467
4870.000000 89.928 -109.6439
4940.000000 91.422 -115.6665
5000.000000 92.658 -121.7220
5080.000000 94.128 -131.6701
5150.000000 95.113 -142.0422
5220.000000 95.718 -153.3678
