* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -26.0 dBFS with no timing reference
* Dated: Nov 24, 2024 4:45:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Koss PP S1 (Yaxi PE HB) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.809 -63.5913
20.600000 75.943 -63.9228
20.900000 76.112 -64.3393
21.200001 76.298 -64.8884
21.400000 76.423 -65.3404
21.799999 76.652 -66.3943
22.000000 76.751 -66.9453
22.400000 76.918 -67.9596
22.700001 77.028 -68.5809
23.000000 77.139 -69.0920
23.299999 77.263 -69.5588
23.600000 77.402 -70.0639
24.000000 77.602 -70.8892
24.299999 77.754 -71.6175
24.700001 77.949 -72.6345
25.000000 78.089 -73.3493
25.400000 78.276 -74.1644
25.799999 78.463 -74.8260
26.200001 78.646 -75.3945
26.500000 78.776 -75.7977
26.900000 78.937 -76.3376
27.200001 79.052 -76.7625
27.600000 79.205 -77.3885
28.000000 79.363 -78.1121
28.500000 79.567 -79.1308
29.000000 79.768 -80.1316
29.500000 79.963 -80.9473
30.000000 80.153 -81.5614
30.400000 80.299 -81.9895
30.700001 80.399 -82.3161
31.100000 80.518 -82.7762
31.500000 80.626 -83.2605
32.000000 80.767 -83.9150
32.500000 80.930 -84.6991
33.000000 81.106 -85.6653
33.500000 81.271 -86.7312
34.000000 81.418 -87.7341
34.500000 81.559 -88.5884
35.000000 81.710 -89.3495
35.500000 81.870 -90.1116
36.000000 82.028 -90.8874
36.500000 82.179 -91.6110
37.000000 82.327 -92.2349
37.500000 82.476 -92.7890
38.200001 82.674 -93.5839
38.700001 82.792 -94.2161
39.500000 82.928 -95.2778
40.000000 82.995 -95.9266
40.599998 83.085 -96.7206
41.200001 83.203 -97.6289
41.799999 83.344 -98.6890
42.500000 83.517 -99.9422
43.099998 83.669 -100.8156
43.700001 83.835 -101.4933
44.400002 84.026 -102.2776
45.000000 84.151 -103.0459
45.500000 84.218 -103.6754
46.200001 84.294 -104.4727
46.799999 84.376 -105.2317
47.500000 84.477 -106.3139
48.200001 84.582 -107.3208
48.700001 84.686 -107.9041
49.400002 84.875 -108.7851
50.000000 85.019 -109.7438
50.799999 85.110 -110.8837
51.500000 85.149 -111.4106
52.200001 85.221 -111.8218
53.000000 85.326 -112.6418
53.799999 85.419 -113.6652
54.500000 85.509 -114.4316
55.200001 85.626 -115.1189
56.000000 85.764 -116.1086
57.000000 85.862 -117.5241
58.000000 85.970 -118.4490
59.000000 86.166 -119.4067
60.000000 86.274 -120.5597
60.799999 86.308 -121.2667
61.500000 86.358 -121.9412
62.200001 86.424 -122.7713
63.000000 86.502 -123.7096
64.000000 86.597 -124.7438
65.000000 86.667 -125.7795
66.000000 86.734 -126.8557
67.000000 86.807 -127.9579
68.000000 86.883 -129.0298
69.000000 86.969 -130.1241
70.000000 87.060 -131.2223
71.000000 87.135 -132.2556
72.000000 87.188 -133.2130
73.000000 87.240 -134.1676
74.000000 87.292 -135.1807
75.000000 87.332 -136.1700
76.199997 87.380 -137.3106
77.500000 87.432 -138.6009
78.800003 87.461 -139.9415
80.000000 87.484 -141.2018
81.199997 87.504 -142.3877
82.500000 87.511 -143.3866
83.800003 87.506 -144.3295
85.000000 87.495 -145.2745
86.199997 87.485 -146.1506
87.500000 87.480 -146.8917
88.500000 87.484 -147.3960
90.000000 87.505 -148.1970
91.199997 87.535 -148.8724
92.500000 87.565 -149.6282
93.800003 87.588 -150.4330
95.000000 87.607 -151.1481
96.199997 87.635 -151.7942
97.500000 87.660 -152.5631
98.800003 87.671 -153.4674
100.000000 87.681 -154.3556
101.500000 87.721 -155.4680
103.000000 87.764 -156.5561
104.400002 87.772 -157.5488
106.000000 87.727 -158.7372
107.500000 87.657 -159.7294
109.000000 87.569 -160.4046
110.599998 87.484 -160.9050
112.000000 87.446 -161.3197
113.800003 87.444 -161.8383
115.000000 87.450 -162.1952
117.199997 87.450 -162.9593
118.000000 87.451 -163.3009
120.599998 87.457 -164.3079
122.000000 87.456 -164.7253
124.099998 87.449 -165.4615
125.000000 87.447 -165.8035
126.500000 87.443 -166.3906
128.000000 87.437 -166.9739
131.500000 87.421 -168.4587
132.000000 87.418 -168.6768
134.000000 87.405 -169.5177
136.000000 87.381 -170.3682
138.000000 87.344 -171.2232
140.000000 87.296 -172.0684
143.000000 87.183 -173.2354
145.000000 87.093 -173.8623
147.500000 86.996 -174.3878
150.000000 86.900 -174.3351
152.500000 86.887 -174.7884
155.000000 86.880 -175.5797
157.500000 86.814 -176.1638
160.000000 86.721 -176.7726
162.500000 86.714 -177.3396
165.000000 86.683 -177.9341
167.500000 86.640 -178.3994
170.000000 86.601 -178.8072
172.500000 86.580 -179.2851
175.000000 86.543 -179.8089
177.500000 86.496 179.6897
180.000000 86.447 179.4201
182.500000 86.401 179.1049
185.000000 86.336 178.3336
187.500000 86.252 177.5907
190.000000 86.183 177.1776
192.500000 86.113 176.8289
195.000000 86.062 176.4857
197.500000 86.017 176.4139
200.000000 85.955 176.2227
203.000000 85.903 175.8877
206.000000 85.860 175.3623
209.000000 85.800 175.2123
212.000000 85.745 175.0344
214.000000 85.703 174.8142
218.000000 85.582 174.1889
220.000000 85.538 174.0839
224.000000 85.441 174.0862
227.000000 85.385 173.8885
230.000000 85.351 173.6841
233.000000 85.336 173.4958
236.000000 85.408 173.3112
240.000000 85.428 173.0207
243.000000 85.240 172.7403
247.000000 85.024 172.5372
250.000000 84.939 172.4807
254.000000 84.849 172.1804
258.000000 84.769 171.9968
262.000000 84.706 172.0438
265.000000 84.661 172.1523
269.000000 84.586 172.1181
272.000000 84.519 172.0622
276.000000 84.452 171.9445
280.000000 84.418 171.7606
285.000000 84.340 171.7405
290.000000 84.230 171.8152
295.000000 84.143 172.0209
300.000000 84.055 172.3615
304.000000 84.017 172.5162
307.000000 83.998 172.5331
311.000000 83.978 172.5962
315.000000 83.944 172.6759
320.000000 83.905 172.6335
325.000000 83.842 172.5442
330.000000 83.766 172.5020
335.000000 83.721 172.6129
340.000000 83.671 172.6934
345.000000 83.615 172.6822
350.000000 83.577 172.7959
355.000000 83.523 172.8739
360.000000 83.463 173.2116
365.000000 83.430 173.4375
370.000000 83.390 173.5651
375.000000 83.340 173.6974
382.000000 83.292 173.7991
387.000000 83.251 173.7769
395.000000 83.174 173.9966
400.000000 83.132 173.9155
406.000000 83.084 173.9474
412.000000 83.037 174.1254
418.000000 83.003 174.3132
425.000000 82.978 174.5940
431.000000 82.927 174.7164
437.000000 82.891 174.7468
444.000000 82.866 174.7012
450.000000 82.864 174.5871
455.000000 82.843 174.3623
462.000000 82.763 173.7479
468.000000 82.627 173.2176
475.000000 82.362 173.0055
482.000000 82.056 173.8564
487.000000 81.909 174.9696
494.000000 81.832 176.6510
500.000000 81.822 177.9125
508.000000 81.853 179.2054
515.000000 81.894 179.9850
522.000000 81.929 -179.5262
530.000000 81.966 -179.1738
538.000000 81.987 -178.7484
545.000000 81.994 -178.3341
552.000000 81.998 -178.0767
560.000000 81.994 -177.8791
570.000000 81.981 -177.5220
580.000000 81.956 -176.9777
590.000000 81.944 -176.6196
600.000000 81.937 -176.2320
608.000000 81.919 -175.7281
615.000000 81.905 -175.3535
622.000000 81.894 -175.0178
630.000000 81.888 -174.6328
640.000000 81.886 -174.1290
650.000000 81.890 -173.7501
660.000000 81.892 -173.3257
670.000000 81.885 -172.9171
680.000000 81.876 -172.4925
690.000000 81.869 -171.9955
700.000000 81.870 -171.4433
710.000000 81.875 -170.9340
720.000000 81.879 -170.5146
730.000000 81.883 -170.0475
740.000000 81.893 -169.6239
750.000000 81.902 -169.2974
762.000000 81.910 -168.8527
775.000000 81.914 -168.3455
788.000000 81.921 -167.8331
800.000000 81.935 -167.3807
812.000000 81.938 -166.9039
825.000000 81.950 -166.3719
838.000000 81.964 -165.9191
850.000000 81.972 -165.4477
862.000000 81.987 -164.9458
875.000000 82.003 -164.4318
885.000000 82.012 -164.0438
900.000000 82.029 -163.4361
912.000000 82.044 -162.9671
925.000000 82.065 -162.4313
938.000000 82.094 -161.8682
950.000000 82.122 -161.3707
962.000000 82.149 -160.9294
975.000000 82.176 -160.5082
988.000000 82.204 -160.0752
1000.000000 82.232 -159.6995
1015.000000 82.256 -159.1787
1030.000000 82.276 -158.6508
1044.000000 82.297 -158.1700
1060.000000 82.323 -157.5924
1075.000000 82.350 -156.9762
1090.000000 82.380 -156.3839
1106.000000 82.420 -155.7911
1120.000000 82.461 -155.2709
1138.000000 82.497 -154.5676
1150.000000 82.518 -154.0539
1172.000000 82.576 -153.0821
1180.000000 82.605 -152.7233
1206.000000 82.690 -151.7215
1220.000000 82.733 -151.2015
1241.000000 82.804 -150.3293
1250.000000 82.830 -149.9655
1265.000000 82.873 -149.3579
1280.000000 82.926 -148.6869
1315.000000 83.089 -147.1041
1320.000000 83.113 -146.8912
1340.000000 83.212 -146.0143
1360.000000 83.330 -145.0975
1380.000000 83.463 -144.2032
1400.000000 83.596 -143.5064
1430.000000 83.776 -142.5256
1450.000000 83.905 -141.7100
1475.000000 84.089 -140.6750
1500.000000 84.286 -139.7175
1525.000000 84.503 -138.7281
1550.000000 84.812 -137.8399
1575.000000 85.147 -137.7559
1600.000000 85.387 -138.2210
1625.000000 85.545 -138.5094
1650.000000 85.686 -138.4005
1675.000000 85.844 -138.1124
1700.000000 86.022 -137.8279
1725.000000 86.207 -137.5465
1750.000000 86.421 -137.3257
1775.000000 86.647 -137.1783
1800.000000 86.875 -137.1366
1825.000000 87.111 -137.2730
1850.000000 87.341 -137.6208
1875.000000 87.559 -138.0331
1900.000000 87.774 -138.5503
1925.000000 87.970 -139.1579
1950.000000 88.152 -139.7575
1975.000000 88.331 -140.4146
2000.000000 88.502 -141.1578
2030.000000 88.683 -142.0264
2060.000000 88.893 -142.7944
2090.000000 89.105 -144.1810
2120.000000 89.208 -145.8496
2140.000000 89.225 -146.7701
2180.000000 89.247 -147.9725
2200.000000 89.247 -148.4504
2240.000000 89.252 -148.6664
2270.000000 89.330 -148.5199
2300.000000 89.468 -148.2977
2330.000000 89.701 -148.2543
2360.000000 89.952 -149.0177
2400.000000 90.198 -150.5072
2430.000000 90.354 -151.5542
2470.000000 90.562 -153.1960
2500.000000 90.682 -154.6222
2540.000000 90.777 -156.7028
2580.000000 90.810 -158.3098
2620.000000 90.863 -159.8302
2650.000000 90.883 -160.9089
2690.000000 90.941 -162.2356
2720.000000 90.998 -163.5130
2760.000000 91.017 -165.6024
2800.000000 90.923 -167.6670
2850.000000 90.697 -169.5127
2900.000000 90.418 -170.2518
2950.000000 90.244 -169.7298
3000.000000 90.234 -168.7641
3040.000000 90.389 -168.1068
3070.000000 90.560 -168.1651
3110.000000 90.778 -168.9025
3150.000000 90.963 -169.8580
3200.000000 91.217 -171.4581
3250.000000 91.424 -173.8332
3300.000000 91.572 -176.5996
3350.000000 91.627 -179.8369
3400.000000 91.563 176.6880
3450.000000 91.309 173.4766
3500.000000 90.941 171.7619
3550.000000 90.739 171.6182
3600.000000 90.856 170.9760
3650.000000 91.010 168.1999
3700.000000 90.964 164.2552
3750.000000 90.679 160.6103
3820.000000 90.274 157.1028
3870.000000 90.108 154.2202
3950.000000 89.912 147.1320
4000.000000 89.599 139.9645
4060.000000 88.704 129.5681
4120.000000 87.009 118.0442
4180.000000 84.178 109.0558
4250.000000 79.641 105.6775
4310.000000 74.976 110.4804
4370.000000 72.755 -146.2724
4440.000000 77.392 -96.6542
4500.000000 81.052 -100.5025
4550.000000 83.147 -104.8318
4620.000000 85.267 -109.6606
4680.000000 86.680 -112.6907
4750.000000 88.162 -115.1129
4820.000000 89.631 -117.3737
4870.000000 90.729 -119.2423
4940.000000 92.357 -123.1940
5000.000000 93.745 -128.6110
5080.000000 95.316 -139.1470
5150.000000 96.211 -150.5949
5220.000000 96.582 -162.6187
