* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: May 25, 2024 12:55:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Philphone Closed L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.095 -104.4719
20.600000 95.174 -105.2990
20.900000 95.263 -106.1953
21.200001 95.353 -107.0605
21.400000 95.417 -107.6261
21.799999 95.557 -108.7826
22.000000 95.634 -109.3979
22.400000 95.788 -110.7308
22.700001 95.896 -111.7967
23.000000 95.988 -112.8597
23.299999 96.062 -113.8482
23.600000 96.123 -114.7037
24.000000 96.199 -115.6115
24.299999 96.262 -116.1629
24.700001 96.355 -116.8539
25.000000 96.427 -117.4140
25.400000 96.513 -118.2473
25.799999 96.582 -119.1234
26.200001 96.647 -119.9700
26.500000 96.708 -120.5881
26.900000 96.814 -121.4717
27.200001 96.909 -122.2438
27.600000 97.034 -123.4485
28.000000 97.132 -124.7648
28.500000 97.205 -126.2939
29.000000 97.255 -127.4614
29.500000 97.331 -128.3445
30.000000 97.444 -129.2382
30.400000 97.537 -130.0771
30.700001 97.594 -130.7522
31.100000 97.648 -131.6315
31.500000 97.686 -132.4177
32.000000 97.732 -133.3015
32.500000 97.793 -134.2417
33.000000 97.860 -135.3519
33.500000 97.918 -136.5287
34.000000 97.972 -137.5430
34.500000 98.042 -138.2716
35.000000 98.138 -138.8292
35.500000 98.240 -139.4640
36.000000 98.310 -140.3224
36.500000 98.321 -141.3369
37.000000 98.286 -142.3147
37.500000 98.246 -143.1139
38.200001 98.243 -143.9702
38.700001 98.283 -144.5206
39.500000 98.372 -145.3966
40.000000 98.430 -145.9445
40.599998 98.506 -146.7079
41.200001 98.575 -147.7108
41.799999 98.614 -148.8985
42.500000 98.624 -150.2567
43.099998 98.640 -151.3401
43.700001 98.682 -152.5103
44.400002 98.725 -153.9812
45.000000 98.736 -154.9893
45.500000 98.750 -155.4875
46.200001 98.813 -155.9655
46.799999 98.879 -156.6194
47.500000 98.902 -157.7449
48.200001 98.871 -158.8578
48.700001 98.861 -159.5328
49.400002 98.897 -160.4924
50.000000 98.943 -161.4318
50.799999 98.956 -162.5463
51.500000 98.927 -163.1008
52.200001 98.910 -163.4736
53.000000 98.947 -164.2208
53.799999 99.046 -165.4402
54.500000 99.125 -166.4145
55.200001 99.148 -166.5867
56.000000 99.161 -165.7675
57.000000 99.238 -165.8568
58.000000 99.203 -168.5261
59.000000 99.138 -170.9923
60.000000 99.178 -172.1974
60.799999 99.184 -172.7763
61.500000 99.158 -173.3818
62.200001 99.108 -174.2312
63.000000 99.036 -175.1318
64.000000 98.997 -175.7590
65.000000 98.993 -176.4624
66.000000 98.934 -177.3376
67.000000 98.876 -178.0568
68.000000 98.869 -178.8670
69.000000 98.879 -179.9024
70.000000 98.872 179.0198
71.000000 98.839 178.1338
72.000000 98.802 177.4852
73.000000 98.760 176.8651
74.000000 98.695 176.2734
75.000000 98.637 175.7806
76.199997 98.605 175.1505
77.500000 98.548 174.2908
78.800003 98.489 173.5652
80.000000 98.507 173.0952
81.199997 98.534 172.6221
82.500000 98.505 172.0894
83.800003 98.482 171.4614
85.000000 98.473 170.8782
86.199997 98.487 170.3499
87.500000 98.497 169.7213
88.500000 98.497 169.2780
90.000000 98.506 168.3593
91.199997 98.510 167.4697
92.500000 98.497 166.6673
93.800003 98.488 165.9888
95.000000 98.478 165.3599
96.199997 98.467 164.6743
97.500000 98.448 163.7173
98.800003 98.420 162.8369
100.000000 98.383 162.1807
101.500000 98.326 161.4340
103.000000 98.282 160.5304
104.400002 98.260 159.6540
106.000000 98.233 158.7344
107.500000 98.177 157.8577
109.000000 98.114 157.0352
110.599998 98.060 156.1239
112.000000 98.031 155.4088
113.800003 97.965 154.5222
115.000000 97.890 153.9081
117.199997 97.747 153.0040
118.000000 97.695 152.6525
120.599998 97.639 150.6751
122.000000 97.586 150.4099
124.099998 97.485 150.4020
125.000000 97.428 150.1726
126.500000 97.331 149.6566
128.000000 97.266 149.1356
131.500000 97.114 147.7943
132.000000 97.097 147.6434
134.000000 96.995 147.1646
136.000000 96.912 146.8654
138.000000 96.853 146.3444
140.000000 96.803 145.6763
143.000000 96.624 145.1143
145.000000 96.545 145.0940
147.500000 96.564 144.5113
150.000000 96.472 143.0850
152.500000 96.351 143.4616
155.000000 96.299 143.2903
157.500000 96.208 142.2994
160.000000 96.119 141.9437
162.500000 96.062 141.4656
165.000000 96.002 140.7816
167.500000 95.906 140.2941
170.000000 95.785 139.6404
172.500000 95.683 139.1259
175.000000 95.615 138.7540
177.500000 95.533 138.4829
180.000000 95.417 138.4316
182.500000 95.303 138.3289
185.000000 95.242 137.8676
187.500000 95.146 137.2726
190.000000 95.063 136.8735
192.500000 95.053 136.6807
195.000000 95.022 136.0358
197.500000 95.021 134.5253
200.000000 95.084 133.7711
203.000000 95.035 133.6287
206.000000 94.912 132.1070
209.000000 94.824 131.5508
212.000000 94.716 131.3647
214.000000 94.649 130.8234
218.000000 94.559 129.3428
220.000000 94.494 128.9525
224.000000 94.257 128.1165
227.000000 94.140 127.1334
230.000000 94.057 126.9216
233.000000 93.948 126.8806
236.000000 93.874 127.0711
240.000000 93.629 126.4124
243.000000 93.447 125.1552
247.000000 93.202 124.4305
250.000000 93.027 123.8813
254.000000 92.800 123.6041
258.000000 92.506 123.3983
262.000000 92.316 122.7236
265.000000 92.218 122.6855
269.000000 92.000 122.8730
272.000000 91.752 122.4176
276.000000 91.437 122.1029
280.000000 91.155 122.0034
285.000000 90.851 122.2386
290.000000 90.536 122.8649
295.000000 90.192 124.1013
300.000000 89.935 125.0585
304.000000 89.754 125.5261
307.000000 89.609 126.1776
311.000000 89.443 127.5171
315.000000 89.263 128.4485
320.000000 88.885 129.6770
325.000000 88.569 130.9252
330.000000 88.320 131.9587
335.000000 88.136 133.2112
340.000000 87.981 134.2535
345.000000 87.868 136.5867
350.000000 87.782 140.0380
355.000000 87.681 142.7990
360.000000 87.564 144.5269
365.000000 87.517 146.8777
370.000000 87.555 149.0928
375.000000 87.723 151.0378
382.000000 87.958 153.3326
387.000000 88.040 154.4716
395.000000 88.222 157.4213
400.000000 88.367 159.0814
406.000000 88.489 160.7284
412.000000 88.576 161.5834
418.000000 88.789 161.9711
425.000000 89.137 163.1185
431.000000 89.316 164.3043
437.000000 89.476 164.8303
444.000000 89.682 164.9110
450.000000 89.841 164.9464
455.000000 89.991 165.1411
462.000000 90.183 165.2802
468.000000 90.276 165.4745
475.000000 90.361 165.7373
482.000000 90.471 165.8727
487.000000 90.568 165.8158
494.000000 90.688 165.7141
500.000000 90.777 165.6439
508.000000 90.896 165.6329
515.000000 90.993 165.7130
522.000000 91.092 165.8542
530.000000 91.232 165.7658
538.000000 91.352 165.7388
545.000000 91.427 165.6812
552.000000 91.509 165.4436
560.000000 91.592 165.2720
570.000000 91.683 165.3235
580.000000 91.787 165.3048
590.000000 91.875 165.2139
600.000000 91.944 165.3037
608.000000 92.041 165.3659
615.000000 92.130 165.3109
622.000000 92.212 165.2398
630.000000 92.298 165.1401
640.000000 92.410 165.0410
650.000000 92.516 164.9255
660.000000 92.618 164.6810
670.000000 92.721 164.4655
680.000000 92.815 164.2103
690.000000 92.900 163.9238
700.000000 92.996 163.6649
710.000000 93.119 163.4718
720.000000 93.272 163.0308
730.000000 93.437 162.2335
740.000000 93.574 161.1428
750.000000 93.661 159.5321
762.000000 93.637 156.9200
775.000000 93.359 154.1879
788.000000 92.833 153.2023
800.000000 92.347 154.7145
812.000000 92.080 157.5987
825.000000 92.076 160.8649
838.000000 92.269 163.3840
850.000000 92.517 164.8242
862.000000 92.775 165.5599
875.000000 93.029 165.8661
885.000000 93.200 165.9140
900.000000 93.418 165.8214
912.000000 93.565 165.6227
925.000000 93.704 165.3238
938.000000 93.828 165.0159
950.000000 93.930 164.7011
962.000000 94.015 164.3717
975.000000 94.089 164.0078
988.000000 94.143 163.7367
1000.000000 94.187 163.6228
1015.000000 94.269 163.6347
1030.000000 94.393 163.5413
1044.000000 94.526 163.0076
1060.000000 94.567 161.4713
1075.000000 94.302 161.0139
1090.000000 94.207 163.7804
1106.000000 94.484 165.1961
1120.000000 94.699 165.1579
1138.000000 94.892 164.9000
1150.000000 94.997 164.7504
1172.000000 95.173 164.4955
1180.000000 95.233 164.4150
1206.000000 95.421 164.1832
1220.000000 95.524 164.0682
1241.000000 95.690 163.7903
1250.000000 95.760 163.6027
1265.000000 95.866 163.2610
1280.000000 95.961 162.9460
1315.000000 96.178 162.2318
1320.000000 96.209 162.1154
1340.000000 96.333 161.5746
1360.000000 96.452 160.9008
1380.000000 96.551 160.0192
1400.000000 96.598 158.9202
1430.000000 96.473 157.3390
1450.000000 96.252 157.3185
1475.000000 96.078 159.4291
1500.000000 96.272 161.9799
1525.000000 96.631 162.9471
1550.000000 96.944 162.8922
1575.000000 97.192 162.5317
1600.000000 97.403 162.0228
1625.000000 97.586 161.4816
1650.000000 97.756 160.9424
1675.000000 97.916 160.3780
1700.000000 98.069 159.7795
1725.000000 98.211 159.1438
1750.000000 98.340 158.5694
1775.000000 98.490 158.1146
1800.000000 98.685 157.4863
1825.000000 98.889 156.4046
1850.000000 99.063 154.9515
1875.000000 99.190 153.2206
1900.000000 99.260 151.2428
1925.000000 99.261 149.1192
1950.000000 99.181 146.9790
1975.000000 99.009 144.9425
2000.000000 98.739 143.2202
2030.000000 98.302 142.0002
2060.000000 97.819 142.1584
2090.000000 97.415 143.5303
2120.000000 97.108 145.3164
2140.000000 96.918 146.7794
2180.000000 96.645 151.1038
2200.000000 96.630 153.8222
2240.000000 96.942 159.4295
2270.000000 97.462 162.7149
2300.000000 98.119 164.4217
2330.000000 98.784 164.5117
2360.000000 99.381 163.3261
2400.000000 99.997 160.3119
2430.000000 100.297 157.4934
2470.000000 100.503 153.5666
2500.000000 100.535 150.6639
2540.000000 100.425 147.0229
2580.000000 100.147 143.9443
2620.000000 99.735 141.9200
2650.000000 99.395 141.3243
2690.000000 99.000 141.5807
2720.000000 98.780 142.2140
2760.000000 98.583 143.1819
2800.000000 98.462 143.9727
2850.000000 98.331 144.5418
2900.000000 98.157 145.0229
2950.000000 97.957 145.7363
3000.000000 97.750 146.6891
3040.000000 97.576 147.5910
3070.000000 97.432 148.3999
3110.000000 97.226 149.8897
3150.000000 97.052 152.0063
3200.000000 96.971 155.1764
3250.000000 97.044 158.0193
3300.000000 97.183 160.1749
3350.000000 97.323 161.8622
3400.000000 97.453 163.3234
3450.000000 97.573 164.6299
3500.000000 97.680 165.8263
3550.000000 97.778 166.9923
3600.000000 97.873 168.1653
3650.000000 97.969 169.3306
3700.000000 98.064 170.4983
3750.000000 98.160 171.6859
3820.000000 98.312 173.4214
3870.000000 98.452 174.6633
3950.000000 98.738 176.3499
4000.000000 98.943 176.9616
4060.000000 99.158 177.1202
4120.000000 99.299 176.8931
4180.000000 99.357 176.5633
4250.000000 99.330 176.2976
4310.000000 99.235 176.3413
4370.000000 99.095 176.8207
4440.000000 98.921 177.9919
4500.000000 98.788 179.4187
4550.000000 98.694 -179.1659
4620.000000 98.593 -176.8580
4680.000000 98.546 -174.5204
4750.000000 98.570 -171.4660
4820.000000 98.690 -168.2787
4870.000000 98.835 -166.0078
4940.000000 99.122 -162.9289
5000.000000 99.451 -160.4706
5080.000000 100.020 -157.6357
5150.000000 100.647 -155.8378
5220.000000 101.396 -155.0500
5300.000000 102.360 -156.0627
5380.000000 103.298 -159.8418
5450.000000 103.915 -165.4687
5520.000000 104.194 -172.5894
5600.000000 104.027 178.8686
5700.000000 103.217 169.5902
5800.000000 101.982 162.7334
5900.000000 100.479 158.4113
6000.000000 98.816 156.7741
6080.000000 97.456 157.3954
6150.000000 96.294 159.1570
6220.000000 95.180 161.8932
6300.000000 93.984 166.0121
6400.000000 92.613 172.2977
