* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: May 25, 2024 12:58:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Philphone Closed R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 97.193 -115.7649
20.600000 97.226 -116.4710
20.900000 97.266 -117.0992
21.200001 97.323 -117.6319
21.400000 97.374 -118.0111
21.799999 97.500 -119.0417
22.000000 97.564 -119.7419
22.400000 97.660 -121.4365
22.700001 97.697 -122.7728
23.000000 97.713 -123.9528
23.299999 97.738 -124.8504
23.600000 97.801 -125.4734
24.000000 97.969 -126.1278
24.299999 98.141 -126.7241
24.700001 98.362 -127.8331
25.000000 98.474 -128.8251
25.400000 98.521 -130.0633
25.799999 98.474 -130.8840
26.200001 98.408 -131.2230
26.500000 98.391 -131.3450
26.900000 98.436 -131.7345
27.200001 98.508 -132.3888
27.600000 98.613 -133.7505
28.000000 98.697 -135.3869
28.500000 98.763 -137.2135
29.000000 98.817 -138.3733
29.500000 98.879 -138.9272
30.000000 98.931 -139.1983
30.400000 98.949 -139.3854
30.700001 98.948 -139.5583
31.100000 98.937 -139.8775
31.500000 98.930 -140.3474
32.000000 98.944 -141.1793
32.500000 98.990 -142.2264
33.000000 99.069 -143.3903
33.500000 99.170 -144.6441
34.000000 99.261 -146.0016
34.500000 99.306 -147.3645
35.000000 99.287 -148.4801
35.500000 99.235 -149.1164
36.000000 99.203 -149.3193
36.500000 99.219 -149.4518
37.000000 99.262 -149.9129
37.500000 99.290 -150.8393
38.200001 99.281 -152.5970
38.700001 99.275 -153.8388
39.500000 99.355 -155.3711
40.000000 99.460 -156.0176
40.599998 99.593 -156.5738
41.200001 99.680 -157.0225
41.799999 99.702 -157.5139
42.500000 99.681 -158.3873
43.099998 99.661 -159.5511
43.700001 99.654 -160.9919
44.400002 99.665 -162.5383
45.000000 99.700 -163.4277
45.500000 99.742 -163.8604
46.200001 99.785 -164.1854
46.799999 99.782 -164.3556
47.500000 99.729 -164.6072
48.200001 99.655 -165.1059
48.700001 99.622 -165.6651
49.400002 99.638 -166.7233
50.000000 99.701 -167.8093
50.799999 99.768 -169.1583
51.500000 99.755 -169.9262
52.200001 99.697 -170.4048
53.000000 99.636 -170.9567
53.799999 99.629 -171.5197
54.500000 99.647 -171.7647
55.200001 99.634 -171.5643
56.000000 99.599 -171.0813
57.000000 99.620 -171.8767
58.000000 99.642 -174.4408
59.000000 99.654 -176.4414
60.000000 99.667 -177.5543
60.799999 99.651 -178.3549
61.500000 99.641 -179.1209
62.200001 99.627 -179.7923
63.000000 99.595 179.9183
64.000000 99.578 179.8027
65.000000 99.559 178.8519
66.000000 99.505 177.5826
67.000000 99.451 176.6843
68.000000 99.345 176.1031
69.000000 99.247 175.8221
70.000000 99.282 175.1009
71.000000 99.325 173.7400
72.000000 99.273 172.9696
73.000000 99.215 172.8793
74.000000 99.165 172.6005
75.000000 99.121 172.1521
76.199997 99.124 171.6284
77.500000 99.171 171.1199
78.800003 99.203 170.4920
80.000000 99.156 169.9627
81.199997 99.090 169.5182
82.500000 99.063 168.8197
83.800003 99.068 168.2781
85.000000 99.060 167.7753
86.199997 99.006 166.9499
87.500000 98.986 166.2896
88.500000 99.002 165.9097
90.000000 98.962 165.1775
91.199997 98.923 164.4817
92.500000 98.911 163.7178
93.800003 98.874 162.9178
95.000000 98.842 162.3485
96.199997 98.850 162.0096
97.500000 98.855 161.6629
98.800003 98.815 161.1610
100.000000 98.760 160.5777
101.500000 98.713 159.9230
103.000000 98.710 159.2531
104.400002 98.685 158.3685
106.000000 98.587 157.5853
107.500000 98.531 157.3019
109.000000 98.568 156.6745
110.599998 98.572 155.5346
112.000000 98.495 154.6318
113.800003 98.370 154.0294
115.000000 98.311 153.7373
117.199997 98.301 152.9362
118.000000 98.298 152.4796
120.599998 98.209 150.8340
122.000000 98.162 150.2553
124.099998 98.088 149.3203
125.000000 98.034 148.8669
126.500000 97.892 148.1822
128.000000 97.750 147.6793
131.500000 97.625 147.2061
132.000000 97.608 147.0710
134.000000 97.529 146.4637
136.000000 97.452 145.8791
138.000000 97.359 145.2607
140.000000 97.266 144.7197
143.000000 97.128 144.5120
145.000000 97.075 144.1517
147.500000 96.967 143.5264
150.000000 96.831 143.1020
152.500000 96.653 142.7970
155.000000 96.515 143.0912
157.500000 96.426 143.0216
160.000000 96.385 142.9884
162.500000 96.355 143.0168
165.000000 96.291 142.6874
167.500000 96.279 142.7035
170.000000 96.274 142.6454
172.500000 96.223 142.1271
175.000000 96.165 141.8423
177.500000 96.133 141.3798
180.000000 96.086 140.7991
182.500000 96.010 140.3480
185.000000 95.962 139.8282
187.500000 95.987 139.3668
190.000000 96.019 139.1150
192.500000 95.955 138.4853
195.000000 95.882 137.3864
197.500000 95.849 137.0839
200.000000 95.808 137.1048
203.000000 95.716 136.3917
206.000000 95.628 135.3997
209.000000 95.592 135.1181
212.000000 95.523 134.5565
214.000000 95.489 134.0615
218.000000 95.455 133.6404
220.000000 95.402 133.1939
224.000000 95.192 132.3361
227.000000 94.983 132.2093
230.000000 94.868 131.4482
233.000000 94.827 130.2370
236.000000 94.784 129.3292
240.000000 94.684 128.8183
243.000000 94.626 128.9746
247.000000 94.464 128.2758
250.000000 94.331 127.4984
254.000000 94.133 126.0327
258.000000 93.976 125.9720
262.000000 93.832 125.7099
265.000000 93.654 125.5247
269.000000 93.457 125.1653
272.000000 93.360 124.8432
276.000000 93.205 124.7173
280.000000 92.959 124.6978
285.000000 92.723 124.1938
290.000000 92.546 123.7162
295.000000 92.323 123.5101
300.000000 92.023 123.0011
304.000000 91.827 122.7080
307.000000 91.684 122.9387
311.000000 91.460 123.5518
315.000000 91.240 123.8132
320.000000 90.944 123.7134
325.000000 90.631 124.0164
330.000000 90.379 124.5635
335.000000 90.154 125.8207
340.000000 89.914 127.2337
345.000000 89.586 128.0357
350.000000 89.351 128.9241
355.000000 89.182 129.9180
360.000000 88.989 131.1952
365.000000 88.816 133.4954
370.000000 88.651 135.1693
375.000000 88.517 136.4801
382.000000 88.370 139.3168
387.000000 88.258 141.2656
395.000000 88.150 143.9744
400.000000 88.195 145.6967
406.000000 88.218 147.7577
412.000000 88.203 150.0058
418.000000 88.271 152.0594
425.000000 88.430 154.2934
431.000000 88.627 155.8553
437.000000 88.838 157.1318
444.000000 89.047 158.3344
450.000000 89.190 159.1765
455.000000 89.317 159.8760
462.000000 89.493 160.6773
468.000000 89.632 161.2093
475.000000 89.774 161.5646
482.000000 89.897 161.9845
487.000000 89.991 162.5167
494.000000 90.139 163.1122
500.000000 90.285 163.4153
508.000000 90.435 163.8947
515.000000 90.541 164.2048
522.000000 90.642 164.5826
530.000000 90.758 164.9879
538.000000 90.880 164.9447
545.000000 90.999 164.9462
552.000000 91.117 165.0128
560.000000 91.236 165.0735
570.000000 91.353 165.2595
580.000000 91.457 165.3135
590.000000 91.562 165.5690
600.000000 91.667 165.8058
608.000000 91.793 165.8834
615.000000 91.910 165.9200
622.000000 92.023 165.9460
630.000000 92.148 165.9183
640.000000 92.293 165.6846
650.000000 92.445 165.2877
660.000000 92.584 164.8026
670.000000 92.704 164.1271
680.000000 92.814 163.2748
690.000000 92.905 162.2368
700.000000 92.949 160.7288
710.000000 92.884 158.8185
720.000000 92.642 157.0798
730.000000 92.240 156.5150
740.000000 91.830 157.7490
750.000000 91.619 160.3911
762.000000 91.657 163.5635
775.000000 91.837 165.6555
788.000000 92.035 166.8209
800.000000 92.214 167.8260
812.000000 92.412 168.7468
825.000000 92.657 169.3746
838.000000 92.891 169.4446
850.000000 93.067 169.2667
862.000000 93.206 169.0298
875.000000 93.329 168.7972
885.000000 93.412 168.6367
900.000000 93.533 168.4297
912.000000 93.620 168.2687
925.000000 93.709 168.0773
938.000000 93.784 167.8668
950.000000 93.831 167.6500
962.000000 93.849 167.5955
975.000000 93.873 167.8872
988.000000 93.934 168.3304
1000.000000 94.019 168.6570
1015.000000 94.135 168.9257
1030.000000 94.252 169.0669
1044.000000 94.358 169.1517
1060.000000 94.473 169.2363
1075.000000 94.577 169.3294
1090.000000 94.679 169.4129
1106.000000 94.790 169.4744
1120.000000 94.887 169.5409
1138.000000 95.014 169.6140
1150.000000 95.100 169.6522
1172.000000 95.261 169.7126
1180.000000 95.320 169.7247
1206.000000 95.519 169.7371
1220.000000 95.632 169.7357
1241.000000 95.813 169.6278
1250.000000 95.889 169.5324
1265.000000 96.009 169.3446
1280.000000 96.126 169.1420
1315.000000 96.408 168.5184
1320.000000 96.449 168.3923
1340.000000 96.601 167.7219
1360.000000 96.687 166.7685
1380.000000 96.661 166.4265
1400.000000 96.789 167.3592
1430.000000 97.169 166.3846
1450.000000 97.301 165.0664
1475.000000 97.350 163.4883
1500.000000 97.341 162.4723
1525.000000 97.324 161.4740
1550.000000 97.202 160.9918
1575.000000 97.136 161.8007
1600.000000 97.270 162.9048
1625.000000 97.533 163.1684
1650.000000 97.800 162.5180
1675.000000 98.017 161.3144
1700.000000 98.174 159.7831
1725.000000 98.272 158.0563
1750.000000 98.315 156.2298
1775.000000 98.300 154.3498
1800.000000 98.227 152.4598
1825.000000 98.092 150.6165
1850.000000 97.883 148.8641
1875.000000 97.580 147.3957
1900.000000 97.209 146.6736
1925.000000 96.868 146.6530
1950.000000 96.534 146.5274
1975.000000 96.111 146.9080
2000.000000 95.679 148.3307
2030.000000 95.253 151.0878
2060.000000 94.969 154.6293
2090.000000 94.850 158.4566
2120.000000 94.872 162.1115
2140.000000 94.944 164.3898
2180.000000 95.206 168.6079
2200.000000 95.397 170.5109
2240.000000 95.877 173.5576
2270.000000 96.262 174.9952
2300.000000 96.622 175.9752
2330.000000 96.975 176.6947
2360.000000 97.325 177.0480
2400.000000 97.757 176.9222
2430.000000 98.038 176.4672
2470.000000 98.338 175.5578
2500.000000 98.509 174.7831
2540.000000 98.674 173.7489
2580.000000 98.776 172.8263
2620.000000 98.833 172.0895
2650.000000 98.858 171.6655
2690.000000 98.874 171.2571
2720.000000 98.877 171.0392
2760.000000 98.864 170.8185
2800.000000 98.826 170.7854
2850.000000 98.782 171.1433
2900.000000 98.765 171.6234
2950.000000 98.750 172.1920
3000.000000 98.746 172.8279
3040.000000 98.735 173.3356
3070.000000 98.721 173.7829
3110.000000 98.706 174.4675
3150.000000 98.696 175.2266
3200.000000 98.693 176.2678
3250.000000 98.704 177.3772
3300.000000 98.730 178.5031
3350.000000 98.768 179.5974
3400.000000 98.806 -179.3685
3450.000000 98.840 -178.2988
3500.000000 98.888 -177.0720
3550.000000 98.967 -175.8896
3600.000000 99.051 -174.8349
3650.000000 99.134 -173.8091
3700.000000 99.219 -172.7551
3750.000000 99.318 -171.6261
3820.000000 99.502 -170.1785
3870.000000 99.651 -169.3493
3950.000000 99.900 -168.4423
4000.000000 100.046 -168.1986
4060.000000 100.187 -168.2384
4120.000000 100.264 -168.5064
4180.000000 100.269 -168.7868
4250.000000 100.193 -168.9229
4310.000000 100.073 -168.7332
4370.000000 99.917 -168.1611
4440.000000 99.712 -166.9401
4500.000000 99.541 -165.3725
4550.000000 99.419 -163.6697
4620.000000 99.318 -160.7695
4680.000000 99.319 -158.0213
4750.000000 99.422 -154.7838
4820.000000 99.625 -151.6723
4870.000000 99.827 -149.5714
4940.000000 100.197 -146.8419
5000.000000 100.607 -144.8024
5080.000000 101.303 -142.8700
5150.000000 102.051 -142.4049
5220.000000 102.885 -143.7005
5300.000000 103.796 -148.1016
5380.000000 104.376 -155.6958
5450.000000 104.390 -163.8053
5520.000000 103.895 -171.4900
5600.000000 102.881 -177.9550
5700.000000 101.402 177.9329
5800.000000 100.010 176.3278
5900.000000 98.650 175.5490
6000.000000 97.165 175.6873
6080.000000 95.871 177.0387
6150.000000 94.697 179.3765
6220.000000 93.523 -177.1559
