* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Aug 17, 2024 2:52:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Philphone L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.798 -90.9803
20.600000 76.917 -91.9498
20.900000 77.047 -92.9955
21.200001 77.174 -94.0019
21.400000 77.260 -94.6342
21.799999 77.431 -95.7951
22.000000 77.517 -96.3253
22.400000 77.685 -97.2995
22.700001 77.806 -97.9722
23.000000 77.921 -98.6183
23.299999 78.031 -99.2654
23.600000 78.138 -99.9441
24.000000 78.277 -100.9421
24.299999 78.379 -101.7741
24.700001 78.511 -102.9780
25.000000 78.608 -103.9200
25.400000 78.735 -105.1706
25.799999 78.860 -106.3610
26.200001 78.982 -107.4608
26.500000 79.072 -108.2275
26.900000 79.188 -109.1964
27.200001 79.272 -109.9082
27.600000 79.376 -110.8754
28.000000 79.470 -111.8893
28.500000 79.570 -113.2128
29.000000 79.650 -114.5251
29.500000 79.715 -115.7304
30.000000 79.772 -116.7672
30.400000 79.815 -117.4633
30.700001 79.848 -117.9134
31.100000 79.898 -118.4436
31.500000 79.964 -118.9497
32.000000 80.073 -119.6694
32.500000 80.200 -120.5785
33.000000 80.327 -121.6326
33.500000 80.442 -122.6707
34.000000 80.553 -123.5831
34.500000 80.673 -124.4258
35.000000 80.795 -125.3503
35.500000 80.897 -126.4280
36.000000 80.968 -127.5868
36.500000 81.015 -128.7041
37.000000 81.055 -129.7227
37.500000 81.099 -130.6617
38.200001 81.162 -131.9025
38.700001 81.210 -132.7778
39.500000 81.299 -134.3386
40.000000 81.347 -135.4636
40.599998 81.381 -136.8066
41.200001 81.406 -137.9263
41.799999 81.451 -138.8526
42.500000 81.522 -140.0268
43.099998 81.551 -141.2264
43.700001 81.535 -142.4622
44.400002 81.496 -143.8459
45.000000 81.469 -145.0911
45.500000 81.442 -146.1911
46.200001 81.362 -147.5675
46.799999 81.252 -148.2999
47.500000 81.091 -148.6003
48.200001 80.898 -148.6351
48.700001 80.738 -148.5780
49.400002 80.539 -148.1850
50.000000 80.494 -147.4960
50.799999 80.699 -146.7359
51.500000 80.997 -146.8814
52.200001 81.223 -147.6723
53.000000 81.335 -148.5947
53.799999 81.412 -149.0978
54.500000 81.547 -149.5495
55.200001 81.705 -150.3823
56.000000 81.826 -151.4662
57.000000 81.879 -152.2497
58.000000 81.826 -152.3529
59.000000 81.772 -152.1583
60.000000 81.885 -153.4166
60.799999 81.984 -155.5125
61.500000 82.032 -156.9873
62.200001 82.082 -157.7882
63.000000 82.149 -158.4605
64.000000 82.199 -159.7778
65.000000 82.221 -161.4449
66.000000 82.232 -162.8908
67.000000 82.213 -164.0119
68.000000 82.163 -165.0348
69.000000 82.110 -166.0435
70.000000 82.068 -166.9883
71.000000 82.033 -167.8048
72.000000 81.999 -168.5049
73.000000 81.961 -169.1651
74.000000 81.925 -169.9083
75.000000 81.893 -170.7538
76.199997 81.856 -171.7348
77.500000 81.803 -172.5982
78.800003 81.743 -173.3951
80.000000 81.678 -174.1759
81.199997 81.628 -175.0090
82.500000 81.583 -175.9704
83.800003 81.526 -176.6831
85.000000 81.470 -177.3739
86.199997 81.406 -178.2020
87.500000 81.352 -178.9840
88.500000 81.300 -179.4278
90.000000 81.204 179.9483
91.199997 81.127 179.3250
92.500000 81.064 178.8102
93.800003 81.003 178.3789
95.000000 80.945 177.9856
96.199997 80.891 177.5511
97.500000 80.804 176.9529
98.800003 80.692 175.8027
100.000000 80.595 174.3478
101.500000 80.529 173.8315
103.000000 80.517 174.0588
104.400002 80.399 173.6382
106.000000 80.241 173.4067
107.500000 80.096 173.5657
109.000000 79.969 173.8254
110.599998 79.898 174.0834
112.000000 79.871 174.2196
113.800003 79.849 174.0489
115.000000 79.831 173.8029
117.199997 79.736 173.4499
118.000000 79.670 173.4462
120.599998 79.520 173.4423
122.000000 79.508 173.4601
124.099998 79.507 173.5940
125.000000 79.507 173.6082
126.500000 79.504 173.4989
128.000000 79.494 173.2479
131.500000 79.438 172.6355
132.000000 79.422 172.5568
134.000000 79.353 172.2919
136.000000 79.303 172.0613
138.000000 79.272 171.7409
140.000000 79.246 171.4835
143.000000 79.166 171.3519
145.000000 79.088 171.1001
147.500000 79.027 170.6614
150.000000 79.123 170.4734
152.500000 79.089 170.4919
155.000000 78.925 170.3524
157.500000 78.763 170.3243
160.000000 78.440 170.3888
162.500000 78.334 170.5221
165.000000 78.490 170.4044
167.500000 78.530 170.2270
170.000000 78.541 169.6017
172.500000 78.506 169.5296
175.000000 78.403 169.4342
177.500000 78.265 169.6935
180.000000 78.086 169.9261
182.500000 78.020 169.5464
185.000000 78.179 169.5326
187.500000 78.233 170.2472
190.000000 78.182 170.5771
192.500000 78.074 170.0667
195.000000 77.972 169.9999
197.500000 77.895 170.0721
200.000000 77.824 169.9368
203.000000 77.790 169.8610
206.000000 77.807 169.1776
209.000000 77.747 168.7344
212.000000 77.520 169.0383
214.000000 77.410 168.9590
218.000000 77.430 168.4836
220.000000 77.431 168.7068
224.000000 77.321 169.3256
227.000000 77.273 169.6655
230.000000 77.249 169.8311
233.000000 77.217 169.7964
236.000000 77.167 169.4553
240.000000 76.915 168.7222
243.000000 76.758 168.3874
247.000000 76.837 169.7765
250.000000 76.864 170.4352
254.000000 76.871 170.7389
258.000000 76.841 170.9896
262.000000 76.785 171.4259
265.000000 76.748 171.5638
269.000000 76.704 171.4410
272.000000 76.666 171.4796
276.000000 76.634 171.6946
280.000000 76.607 171.8429
285.000000 76.479 172.0523
290.000000 76.407 172.5648
295.000000 76.374 173.5168
300.000000 76.351 174.4255
304.000000 76.331 174.4837
307.000000 76.301 174.1522
311.000000 76.247 174.0745
315.000000 76.191 174.3478
320.000000 76.165 175.1346
325.000000 76.122 175.4263
330.000000 76.084 175.5806
335.000000 76.019 175.9574
340.000000 75.953 176.0609
345.000000 75.911 176.3242
350.000000 75.877 176.5640
355.000000 75.854 176.5804
360.000000 75.871 176.7366
365.000000 75.870 177.0229
370.000000 75.848 177.5717
375.000000 75.822 178.1832
382.000000 75.796 178.6881
387.000000 75.757 178.7986
395.000000 75.638 179.1072
400.000000 75.633 179.2825
406.000000 75.662 -179.9979
412.000000 75.667 -179.2901
418.000000 75.644 -178.9806
425.000000 75.596 -178.4465
431.000000 75.550 -178.1968
437.000000 75.530 -177.7764
444.000000 75.526 -177.1760
450.000000 75.516 -176.8086
455.000000 75.497 -176.4129
462.000000 75.488 -175.9122
468.000000 75.505 -175.4816
475.000000 75.531 -174.9129
482.000000 75.527 -174.6407
487.000000 75.516 -174.3991
494.000000 75.498 -174.0650
500.000000 75.470 -173.6869
508.000000 75.422 -173.0445
515.000000 75.384 -172.4382
522.000000 75.367 -171.7333
530.000000 75.393 -171.0128
538.000000 75.418 -170.4261
545.000000 75.412 -169.9578
552.000000 75.391 -169.4439
560.000000 75.386 -168.7982
570.000000 75.413 -167.9575
580.000000 75.453 -167.3027
590.000000 75.485 -166.7354
600.000000 75.496 -166.1051
608.000000 75.496 -165.2729
615.000000 75.505 -164.2990
622.000000 75.558 -163.2775
630.000000 75.672 -162.3351
640.000000 75.826 -161.6559
650.000000 75.951 -161.2177
660.000000 76.070 -160.7305
670.000000 76.192 -160.5923
680.000000 76.290 -160.5823
690.000000 76.363 -160.4743
700.000000 76.426 -160.4409
710.000000 76.491 -160.4601
720.000000 76.548 -160.3400
730.000000 76.601 -160.1772
740.000000 76.647 -160.0577
750.000000 76.667 -159.9315
762.000000 76.664 -159.6487
775.000000 76.686 -159.2653
788.000000 76.730 -158.7733
800.000000 76.788 -158.2133
812.000000 76.836 -157.9774
825.000000 76.868 -157.5644
838.000000 76.948 -156.7565
850.000000 77.040 -156.2298
862.000000 77.111 -155.9013
875.000000 77.192 -155.5544
885.000000 77.257 -155.3102
900.000000 77.364 -154.9790
912.000000 77.454 -154.8509
925.000000 77.532 -154.8155
938.000000 77.577 -154.6748
950.000000 77.613 -154.3325
962.000000 77.670 -153.9723
975.000000 77.735 -153.6338
988.000000 77.807 -153.2292
1000.000000 77.888 -152.9042
1015.000000 77.973 -152.6259
1030.000000 78.055 -152.1982
1044.000000 78.144 -151.8288
1060.000000 78.245 -151.2749
1075.000000 78.356 -150.7551
1090.000000 78.476 -150.3501
1106.000000 78.618 -150.0486
1120.000000 78.752 -149.9421
1138.000000 78.892 -149.8981
1150.000000 78.986 -149.7683
1172.000000 79.195 -149.5435
1180.000000 79.273 -149.4841
1206.000000 79.507 -149.4915
1220.000000 79.633 -149.5114
1241.000000 79.825 -149.8025
1250.000000 79.905 -149.9971
1265.000000 80.022 -150.2527
1280.000000 80.124 -150.3911
1315.000000 80.386 -150.7791
1320.000000 80.429 -150.8686
1340.000000 80.615 -151.2082
1360.000000 80.810 -151.8921
1380.000000 80.923 -153.0115
1400.000000 80.986 -153.7645
1430.000000 81.077 -154.9786
1450.000000 81.032 -155.2997
1475.000000 81.152 -154.5308
1500.000000 81.361 -155.0860
1525.000000 81.512 -155.7928
1550.000000 81.674 -156.6286
1575.000000 81.784 -157.8251
1600.000000 81.814 -158.5628
1625.000000 81.896 -158.9150
1650.000000 82.018 -159.4128
1675.000000 82.176 -160.1067
1700.000000 82.345 -161.1454
1725.000000 82.462 -162.5909
1750.000000 82.522 -163.9312
1775.000000 82.580 -165.1641
1800.000000 82.645 -166.4473
1825.000000 82.717 -167.8832
1850.000000 82.795 -169.5459
1875.000000 82.834 -171.7915
1900.000000 82.760 -174.2758
1925.000000 82.594 -176.5403
1950.000000 82.367 -178.4962
1975.000000 82.084 179.7820
2000.000000 81.746 178.4608
2030.000000 81.321 177.4742
2060.000000 80.856 176.5488
2090.000000 80.227 176.6479
2120.000000 79.623 178.9099
2140.000000 79.335 -178.8477
2180.000000 79.124 -173.7586
2200.000000 79.178 -171.9722
2240.000000 79.206 -169.8152
2270.000000 79.189 -167.6307
2300.000000 79.302 -165.3485
2330.000000 79.476 -164.0243
2360.000000 79.553 -163.1917
2400.000000 79.588 -161.0993
2430.000000 79.712 -158.9144
2470.000000 80.068 -156.0561
2500.000000 80.468 -154.7294
2540.000000 80.967 -154.6180
2580.000000 81.345 -155.0859
2620.000000 81.644 -155.7163
2650.000000 81.834 -156.2181
2690.000000 82.060 -156.9003
2720.000000 82.206 -157.4872
2760.000000 82.347 -158.2283
2800.000000 82.488 -158.5802
2850.000000 82.677 -159.1636
2900.000000 82.852 -159.8734
2950.000000 82.954 -160.4664
3000.000000 83.078 -160.3369
3040.000000 83.240 -160.3499
3070.000000 83.347 -160.4758
3110.000000 83.484 -160.3649
3150.000000 83.686 -159.9910
3200.000000 84.012 -159.9795
3250.000000 84.346 -160.0651
3300.000000 84.776 -160.1892
3350.000000 85.287 -161.0429
3400.000000 85.834 -162.7280
3450.000000 86.358 -165.5638
3500.000000 86.746 -169.2218
3550.000000 87.028 -173.0419
3600.000000 87.219 -177.1134
3650.000000 87.316 178.7391
3700.000000 87.322 174.5840
3750.000000 87.234 170.5337
3820.000000 86.960 165.2897
3870.000000 86.677 162.0554
3950.000000 86.131 157.9943
4000.000000 85.782 156.1728
4060.000000 85.390 154.4644
4120.000000 85.022 153.1151
4180.000000 84.676 152.0314
4250.000000 84.280 151.0879
4310.000000 83.959 150.6225
4370.000000 83.662 150.4174
4440.000000 83.353 150.4662
4500.000000 83.125 150.6553
4550.000000 82.958 150.8733
4620.000000 82.740 151.2565
4680.000000 82.567 151.7826
4750.000000 82.389 152.7143
4820.000000 82.277 154.1280
4870.000000 82.264 155.2833
4940.000000 82.336 156.8589
5000.000000 82.471 158.1116
5080.000000 82.754 159.6184
5150.000000 83.117 160.7675
5220.000000 83.621 161.5697
5300.000000 84.410 161.6444
5380.000000 85.422 159.7499
5450.000000 86.367 155.6396
5520.000000 87.196 149.0457
5600.000000 87.825 138.9942
5700.000000 87.905 124.1912
