* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 12, 2025 2:10:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: PPO (ZUniHyP) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.857 -97.0883
20.600000 85.943 -97.8147
20.900000 86.038 -98.5765
21.200001 86.136 -99.3181
21.400000 86.206 -99.8071
21.799999 86.355 -100.7986
22.000000 86.432 -101.3097
22.400000 86.584 -102.3632
22.700001 86.688 -103.1638
23.000000 86.781 -103.9502
23.299999 86.862 -104.7049
23.600000 86.935 -105.4198
24.000000 87.028 -106.3202
24.299999 87.100 -106.9744
24.700001 87.207 -107.8495
25.000000 87.295 -108.5200
25.400000 87.423 -109.4280
25.799999 87.552 -110.3192
26.200001 87.674 -111.1447
26.500000 87.756 -111.6982
26.900000 87.851 -112.3478
27.200001 87.911 -112.7924
27.600000 87.979 -113.3919
28.000000 88.039 -114.0749
28.500000 88.108 -115.1130
29.000000 88.186 -116.3093
29.500000 88.291 -117.5141
30.000000 88.434 -118.5911
30.400000 88.567 -119.3284
30.700001 88.668 -119.8152
31.100000 88.787 -120.3928
31.500000 88.879 -120.9103
32.000000 88.956 -121.5271
32.500000 89.009 -122.2148
33.000000 89.066 -123.0891
33.500000 89.141 -124.1730
34.000000 89.233 -125.3515
34.500000 89.336 -126.4570
35.000000 89.443 -127.4004
35.500000 89.544 -128.2154
36.000000 89.625 -128.9861
36.500000 89.686 -129.7639
37.000000 89.736 -130.5576
37.500000 89.791 -131.3716
38.200001 89.884 -132.5621
38.700001 89.948 -133.4213
39.500000 90.022 -134.6960
40.000000 90.058 -135.4310
40.599998 90.106 -136.3279
41.200001 90.160 -137.2648
41.799999 90.216 -138.1625
42.500000 90.285 -139.0725
43.099998 90.346 -139.8018
43.700001 90.399 -140.5989
44.400002 90.441 -141.6404
45.000000 90.467 -142.5376
45.500000 90.492 -143.2381
46.200001 90.539 -144.1655
46.799999 90.580 -144.9550
47.500000 90.619 -145.8622
48.200001 90.656 -146.7301
48.700001 90.688 -147.3440
49.400002 90.731 -148.1977
50.000000 90.758 -148.8696
50.799999 90.792 -149.6659
51.500000 90.835 -150.4400
52.200001 90.882 -151.4148
53.000000 90.922 -152.6312
53.799999 90.949 -153.7173
54.500000 90.970 -154.5316
55.200001 90.986 -155.3185
56.000000 90.994 -156.2755
57.000000 90.993 -157.5558
58.000000 90.997 -158.9210
59.000000 90.990 -160.2470
60.000000 90.980 -161.2913
60.799999 90.979 -162.0309
61.500000 90.972 -162.7151
62.200001 90.953 -163.4075
63.000000 90.928 -164.1754
64.000000 90.900 -165.1388
65.000000 90.863 -166.0823
66.000000 90.825 -166.9643
67.000000 90.789 -167.8290
68.000000 90.748 -168.6668
69.000000 90.703 -169.4902
70.000000 90.653 -170.3361
71.000000 90.601 -171.1510
72.000000 90.550 -171.9001
73.000000 90.493 -172.5805
74.000000 90.433 -173.1909
75.000000 90.376 -173.7615
76.199997 90.310 -174.3792
77.500000 90.244 -174.9137
78.800003 90.182 -175.4711
80.000000 90.125 -175.9778
81.199997 90.082 -176.4786
82.500000 90.038 -177.0251
83.800003 89.991 -177.5488
85.000000 89.952 -178.0358
86.199997 89.914 -178.5547
87.500000 89.868 -179.0993
88.500000 89.830 -179.4943
90.000000 89.777 179.9130
91.199997 89.732 179.4128
92.500000 89.674 178.9001
93.800003 89.610 178.4228
95.000000 89.555 178.0036
96.199997 89.501 177.6036
97.500000 89.437 177.2370
98.800003 89.373 176.9479
100.000000 89.319 176.7048
101.500000 89.260 176.3857
103.000000 89.212 176.0515
104.400002 89.163 175.7566
106.000000 89.099 175.3753
107.500000 89.032 174.9705
109.000000 88.961 174.6473
110.599998 88.878 174.3416
112.000000 88.810 174.0817
113.800003 88.737 173.8200
115.000000 88.693 173.7173
117.199997 88.612 173.4021
118.000000 88.580 173.2852
120.599998 88.473 173.1019
122.000000 88.434 173.0123
124.099998 88.387 173.0297
125.000000 88.362 173.1154
126.500000 88.321 173.1945
128.000000 88.287 173.2035
131.500000 88.235 173.0992
132.000000 88.231 173.0770
134.000000 88.206 172.9683
136.000000 88.161 172.8211
138.000000 88.120 172.7297
140.000000 88.089 172.6585
143.000000 88.035 172.3180
145.000000 88.011 172.0665
147.500000 87.980 171.8695
150.000000 87.940 171.5966
152.500000 87.901 171.4119
155.000000 87.863 171.1569
157.500000 87.802 170.9635
160.000000 87.752 170.9645
162.500000 87.712 171.0073
165.000000 87.660 170.8361
167.500000 87.618 170.6554
170.000000 87.582 170.4985
172.500000 87.542 170.3813
175.000000 87.503 170.2989
177.500000 87.471 170.1690
180.000000 87.424 170.0337
182.500000 87.373 169.9197
185.000000 87.341 169.8302
187.500000 87.314 169.7452
190.000000 87.281 169.6245
192.500000 87.244 169.5195
195.000000 87.208 169.5798
197.500000 87.177 169.5391
200.000000 87.147 169.4268
203.000000 87.112 169.3383
206.000000 87.077 169.2336
209.000000 87.032 169.1139
212.000000 86.985 168.9995
214.000000 86.954 168.9278
218.000000 86.900 168.7972
220.000000 86.873 168.7197
224.000000 86.816 168.5837
227.000000 86.766 168.4764
230.000000 86.711 168.3865
233.000000 86.657 168.3062
236.000000 86.603 168.2327
240.000000 86.524 168.2733
243.000000 86.465 168.3529
247.000000 86.393 168.4745
250.000000 86.344 168.5593
254.000000 86.300 168.7183
258.000000 86.260 168.9165
262.000000 86.219 169.1014
265.000000 86.198 169.1734
269.000000 86.187 169.2164
272.000000 86.178 169.2582
276.000000 86.163 169.3068
280.000000 86.144 169.2608
285.000000 86.109 169.1430
290.000000 86.076 169.0259
295.000000 86.039 168.8950
300.000000 86.002 168.7143
304.000000 85.969 168.5641
307.000000 85.939 168.4425
311.000000 85.893 168.2316
315.000000 85.842 167.9797
320.000000 85.767 167.6966
325.000000 85.685 167.5305
330.000000 85.599 167.3420
335.000000 85.505 167.1527
340.000000 85.395 167.0003
345.000000 85.262 166.8591
350.000000 85.114 166.8072
355.000000 84.967 166.9263
360.000000 84.819 167.1464
365.000000 84.675 167.4604
370.000000 84.536 167.9824
375.000000 84.406 168.6440
382.000000 84.251 169.7562
387.000000 84.163 170.5994
395.000000 84.056 171.8733
400.000000 84.012 172.6636
406.000000 83.973 173.6539
412.000000 83.949 174.6096
418.000000 83.942 175.5008
425.000000 83.941 176.4000
431.000000 83.951 177.1314
437.000000 83.971 177.9037
444.000000 84.006 178.7792
450.000000 84.036 179.2118
455.000000 84.061 179.4013
462.000000 84.083 179.8335
468.000000 84.096 -179.6987
475.000000 84.141 -179.2829
482.000000 84.187 -179.1712
487.000000 84.195 -179.2777
494.000000 84.167 -179.4535
500.000000 84.095 -179.5571
508.000000 83.942 -179.2583
515.000000 83.804 -178.2985
522.000000 83.736 -176.9344
530.000000 83.754 -175.4760
538.000000 83.806 -174.4428
545.000000 83.841 -173.7269
552.000000 83.864 -172.9471
560.000000 83.904 -171.9752
570.000000 83.999 -170.8190
580.000000 84.130 -169.8601
590.000000 84.268 -169.1690
600.000000 84.393 -168.5794
608.000000 84.496 -168.1813
615.000000 84.585 -167.8790
622.000000 84.679 -167.6284
630.000000 84.787 -167.4596
640.000000 84.909 -167.3309
650.000000 85.019 -167.2092
660.000000 85.125 -167.1446
670.000000 85.238 -167.0884
680.000000 85.353 -167.2441
690.000000 85.440 -167.5403
700.000000 85.509 -167.7772
710.000000 85.587 -167.9453
720.000000 85.667 -168.2347
730.000000 85.729 -168.6612
740.000000 85.770 -169.0648
750.000000 85.808 -169.4559
762.000000 85.840 -170.0883
775.000000 85.823 -170.7953
788.000000 85.781 -171.1984
800.000000 85.736 -171.5826
812.000000 85.669 -171.8101
825.000000 85.604 -171.7550
838.000000 85.548 -171.5580
850.000000 85.525 -171.3005
862.000000 85.528 -171.0298
875.000000 85.547 -170.9212
885.000000 85.561 -170.9969
900.000000 85.572 -171.2278
912.000000 85.572 -171.4754
925.000000 85.529 -171.9449
938.000000 85.430 -172.1237
950.000000 85.359 -171.9483
962.000000 85.318 -171.8791
975.000000 85.261 -172.0036
988.000000 85.150 -172.1171
1000.000000 85.021 -171.8527
1015.000000 84.892 -171.0458
1030.000000 84.828 -170.1177
1044.000000 84.803 -169.4834
1060.000000 84.764 -168.9517
1075.000000 84.700 -168.4282
1090.000000 84.632 -167.5953
1106.000000 84.614 -166.5059
1120.000000 84.631 -165.9491
1138.000000 84.593 -165.3276
1150.000000 84.557 -164.7150
1172.000000 84.507 -163.3881
1180.000000 84.496 -162.8100
1206.000000 84.557 -160.6529
1220.000000 84.658 -159.7320
1241.000000 84.786 -159.1328
1250.000000 84.795 -158.9799
1265.000000 84.777 -158.2776
1280.000000 84.812 -157.0743
1315.000000 85.087 -155.3776
1320.000000 85.116 -155.2663
1340.000000 85.208 -154.7219
1360.000000 85.297 -154.0352
1380.000000 85.415 -153.1842
1400.000000 85.606 -152.5686
1430.000000 85.767 -153.4356
1450.000000 85.617 -153.1931
1475.000000 85.664 -150.4756
1500.000000 85.944 -149.5865
1525.000000 86.080 -149.1664
1550.000000 86.227 -148.0607
1575.000000 86.448 -147.2685
1600.000000 86.659 -146.7029
1625.000000 86.881 -146.2044
1650.000000 87.095 -145.9264
1675.000000 87.323 -145.5799
1700.000000 87.561 -145.5671
1725.000000 87.770 -145.4930
1750.000000 88.036 -145.3213
1775.000000 88.319 -145.8234
1800.000000 88.534 -146.3888
1825.000000 88.787 -146.8365
1850.000000 89.051 -147.7575
1875.000000 89.292 -148.8669
1900.000000 89.555 -150.3278
1925.000000 89.747 -152.5056
1950.000000 89.831 -154.7679
1975.000000 89.859 -156.9591
2000.000000 89.820 -159.1612
2030.000000 89.695 -161.7355
2060.000000 89.416 -164.1406
2090.000000 89.018 -165.5863
2120.000000 88.569 -165.9212
2140.000000 88.285 -165.3423
2180.000000 87.969 -162.9178
2200.000000 87.905 -161.9886
2240.000000 87.798 -159.8869
2270.000000 87.865 -158.2986
2300.000000 87.980 -157.6453
2330.000000 88.027 -157.4891
2360.000000 88.014 -157.1115
2400.000000 88.012 -156.1973
2430.000000 88.035 -155.6376
2470.000000 88.026 -154.9970
2500.000000 88.002 -153.9361
2540.000000 88.124 -152.0184
2580.000000 88.346 -151.3288
2620.000000 88.437 -151.0909
2650.000000 88.494 -150.4793
2690.000000 88.625 -149.8124
2720.000000 88.702 -149.6443
2760.000000 88.722 -149.3448
2800.000000 88.702 -148.2799
2850.000000 88.761 -146.3049
2900.000000 88.872 -144.1855
2950.000000 89.032 -141.3126
3000.000000 89.377 -137.6927
3040.000000 89.868 -134.8286
3070.000000 90.338 -133.3545
3110.000000 90.984 -132.4835
3150.000000 91.581 -132.2927
3200.000000 92.324 -132.2508
3250.000000 93.103 -132.8926
3300.000000 93.867 -134.1365
3350.000000 94.663 -135.8731
3400.000000 95.459 -138.5817
3450.000000 96.209 -142.0948
3500.000000 96.896 -146.4077
3550.000000 97.479 -151.3663
3600.000000 97.965 -156.7299
3650.000000 98.353 -162.4184
3700.000000 98.642 -168.3343
3750.000000 98.843 -174.3790
3820.000000 98.973 177.0371
3870.000000 98.989 170.8998
3950.000000 98.900 160.7352
4000.000000 98.753 153.9825
4060.000000 98.414 145.3782
4120.000000 97.854 136.6525
4180.000000 97.046 127.9605
4250.000000 95.743 118.7463
4310.000000 94.346 112.1566
4370.000000 92.725 107.5033
4440.000000 90.700 104.7543
4500.000000 88.918 104.8486
4550.000000 87.477 106.6602
4620.000000 85.618 111.4278
4680.000000 84.239 117.1020
4750.000000 82.857 124.6890
4820.000000 81.681 133.5619
4870.000000 80.963 140.5679
4940.000000 80.150 152.0215
5000.000000 79.753 163.6223
5080.000000 80.094 -178.4772
5150.000000 81.245 -166.2978
5220.000000 82.639 -159.2603
5300.000000 84.065 -155.3632
5380.000000 85.281 -153.5359
5450.000000 86.197 -152.5454
