* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 12, 2025 2:17:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: PPO (ZUniHyP) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.201 -98.1836
20.600000 86.294 -98.9224
20.900000 86.383 -99.7101
21.200001 86.461 -100.4515
21.400000 86.513 -100.9131
21.799999 86.631 -101.8038
22.000000 86.700 -102.2683
22.400000 86.850 -103.3089
22.700001 86.961 -104.1885
23.000000 87.058 -105.0931
23.299999 87.142 -105.9352
23.600000 87.221 -106.6451
24.000000 87.342 -107.3851
24.299999 87.457 -107.8873
24.700001 87.629 -108.6988
25.000000 87.748 -109.4882
25.400000 87.852 -110.6880
25.799999 87.882 -111.7635
26.200001 87.883 -112.4312
26.500000 87.907 -112.6704
26.900000 88.017 -112.9416
27.200001 88.150 -113.3756
27.600000 88.335 -114.4471
28.000000 88.456 -115.8732
28.500000 88.481 -117.3640
29.000000 88.467 -117.8690
29.500000 88.570 -117.8330
30.000000 88.781 -118.4597
30.400000 88.918 -119.7837
30.700001 88.954 -121.0523
31.100000 88.912 -122.6279
31.500000 88.832 -123.6032
32.000000 88.825 -123.8180
32.500000 89.012 -123.5458
33.000000 89.323 -123.5662
33.500000 89.630 -124.1193
34.000000 89.857 -125.1518
34.500000 89.970 -126.6638
35.000000 89.944 -128.5821
35.500000 89.790 -130.5266
36.000000 89.589 -131.9351
36.500000 89.475 -132.5004
37.000000 89.536 -132.4364
37.500000 89.747 -132.2350
38.200001 90.120 -132.3574
38.700001 90.337 -132.9308
39.500000 90.502 -134.7571
40.000000 90.497 -136.2303
40.599998 90.454 -137.9239
41.200001 90.436 -139.3029
41.799999 90.445 -140.2680
42.500000 90.457 -140.7619
43.099998 90.489 -140.8843
43.700001 90.540 -141.2783
44.400002 90.560 -142.2758
45.000000 90.537 -143.0793
45.500000 90.541 -143.4759
46.200001 90.636 -143.9739
46.799999 90.745 -144.7592
47.500000 90.823 -145.9395
48.200001 90.870 -146.9404
48.700001 90.924 -147.5429
49.400002 91.024 -148.4934
50.000000 91.094 -149.4865
50.799999 91.132 -150.8122
51.500000 91.147 -151.7916
52.200001 91.176 -152.6850
53.000000 91.216 -153.7598
53.799999 91.237 -154.8802
54.500000 91.243 -155.8438
55.200001 91.250 -156.7831
56.000000 91.265 -157.8297
57.000000 91.293 -159.1376
58.000000 91.316 -160.5706
59.000000 91.297 -161.9785
60.000000 91.246 -162.9901
60.799999 91.209 -163.6113
61.500000 91.178 -164.2199
62.200001 91.143 -164.9313
63.000000 91.097 -165.7631
64.000000 91.047 -166.6796
65.000000 91.006 -167.5805
66.000000 90.955 -168.5038
67.000000 90.908 -169.3169
68.000000 90.868 -170.0513
69.000000 90.829 -170.7479
70.000000 90.787 -171.4244
71.000000 90.736 -172.0077
72.000000 90.678 -172.5422
73.000000 90.616 -173.1828
74.000000 90.557 -173.8354
75.000000 90.509 -174.3697
76.199997 90.446 -174.8853
77.500000 90.384 -175.4030
78.800003 90.350 -175.9534
80.000000 90.313 -176.3953
81.199997 90.264 -176.7789
82.500000 90.224 -177.2629
83.800003 90.196 -177.8257
85.000000 90.176 -178.3308
86.199997 90.155 -178.8030
87.500000 90.125 -179.2682
88.500000 90.104 -179.6184
90.000000 90.075 179.8168
91.199997 90.038 179.2713
92.500000 89.982 178.5911
93.800003 89.939 177.9409
95.000000 89.913 177.4147
96.199997 89.881 176.9472
97.500000 89.826 176.4476
98.800003 89.761 176.0182
100.000000 89.710 175.6609
101.500000 89.661 175.1230
103.000000 89.602 174.5778
104.400002 89.542 174.1684
106.000000 89.474 173.7711
107.500000 89.408 173.4331
109.000000 89.348 173.0357
110.599998 89.285 172.6027
112.000000 89.223 172.2949
113.800003 89.143 171.9711
115.000000 89.093 171.7165
117.199997 88.993 171.1783
118.000000 88.951 171.0582
120.599998 88.799 170.9564
122.000000 88.725 170.8130
124.099998 88.642 170.6949
125.000000 88.611 170.5918
126.500000 88.560 170.3322
128.000000 88.516 170.1689
131.500000 88.487 170.2459
132.000000 88.482 170.2667
134.000000 88.431 170.2959
136.000000 88.329 170.2774
138.000000 88.259 169.8539
140.000000 88.275 169.2184
143.000000 88.245 169.5887
145.000000 88.100 169.3525
147.500000 88.101 168.3671
150.000000 88.045 168.9531
152.500000 87.929 168.3424
155.000000 87.887 168.3492
157.500000 87.825 168.1268
160.000000 87.784 168.1628
162.500000 87.763 167.7729
165.000000 87.714 167.5667
167.500000 87.657 167.4034
170.000000 87.604 167.1757
172.500000 87.557 166.9687
175.000000 87.495 166.7336
177.500000 87.430 166.6027
180.000000 87.372 166.6204
182.500000 87.323 166.4833
185.000000 87.269 166.2837
187.500000 87.206 166.2001
190.000000 87.131 166.1663
192.500000 87.070 166.1283
195.000000 87.015 166.0457
197.500000 86.957 166.0355
200.000000 86.899 166.0584
203.000000 86.838 166.0888
206.000000 86.784 166.0829
209.000000 86.731 166.1115
212.000000 86.655 166.0774
214.000000 86.605 166.0649
218.000000 86.521 166.1066
220.000000 86.484 166.1523
224.000000 86.409 166.1620
227.000000 86.354 166.2203
230.000000 86.286 166.3279
233.000000 86.206 166.4183
236.000000 86.123 166.5493
240.000000 86.037 166.7967
243.000000 85.992 166.9104
247.000000 85.937 167.0521
250.000000 85.886 167.1977
254.000000 85.817 167.5039
258.000000 85.761 167.8795
262.000000 85.711 168.2666
265.000000 85.696 168.5542
269.000000 85.695 168.7476
272.000000 85.688 168.7366
276.000000 85.663 168.6972
280.000000 85.619 168.7957
285.000000 85.551 169.1004
290.000000 85.470 169.2927
295.000000 85.414 169.5872
300.000000 85.373 169.9623
304.000000 85.318 170.2205
307.000000 85.281 170.3210
311.000000 85.248 170.4634
315.000000 85.216 170.7092
320.000000 85.170 171.0931
325.000000 85.142 171.4866
330.000000 85.150 171.9323
335.000000 85.156 172.3788
340.000000 85.136 172.6344
345.000000 85.121 172.7836
350.000000 85.107 172.8522
355.000000 85.079 172.9777
360.000000 85.071 173.0971
365.000000 85.059 173.2869
370.000000 85.043 173.5955
375.000000 85.027 173.7311
382.000000 85.001 173.6698
387.000000 84.971 173.6027
395.000000 84.975 173.9748
400.000000 84.974 174.1505
406.000000 84.937 174.1196
412.000000 84.897 174.0001
418.000000 84.847 174.0173
425.000000 84.786 174.1916
431.000000 84.749 174.3093
437.000000 84.712 174.0705
444.000000 84.665 173.8703
450.000000 84.631 174.2893
455.000000 84.586 174.4932
462.000000 84.485 174.7268
468.000000 84.413 174.9619
475.000000 84.350 175.3238
482.000000 84.293 175.7058
487.000000 84.255 175.9411
494.000000 84.209 176.2224
500.000000 84.162 176.3573
508.000000 84.075 176.5806
515.000000 84.000 176.8632
522.000000 83.926 177.2898
530.000000 83.845 177.6755
538.000000 83.769 178.0594
545.000000 83.694 178.2841
552.000000 83.596 178.3576
560.000000 83.410 178.3340
570.000000 83.005 179.0391
580.000000 82.607 -177.5799
590.000000 82.597 -172.8859
600.000000 82.869 -169.8128
608.000000 83.111 -168.4440
615.000000 83.293 -167.5542
622.000000 83.449 -166.8218
630.000000 83.599 -166.2027
640.000000 83.773 -165.4173
650.000000 83.955 -164.6894
660.000000 84.133 -164.2933
670.000000 84.290 -163.9792
680.000000 84.453 -163.6457
690.000000 84.617 -163.5161
700.000000 84.758 -163.4524
710.000000 84.895 -163.3311
720.000000 85.038 -163.4285
730.000000 85.163 -163.8400
740.000000 85.243 -164.3541
750.000000 85.290 -164.5624
762.000000 85.365 -164.6035
775.000000 85.453 -165.0025
788.000000 85.507 -165.3199
800.000000 85.539 -165.5546
812.000000 85.562 -165.8041
825.000000 85.605 -165.7778
838.000000 85.689 -165.8822
850.000000 85.738 -166.1662
862.000000 85.775 -166.4380
875.000000 85.791 -166.8751
885.000000 85.774 -167.2160
900.000000 85.729 -167.4928
912.000000 85.714 -167.4636
925.000000 85.717 -167.4731
938.000000 85.725 -167.5362
950.000000 85.720 -167.7825
962.000000 85.678 -168.0526
975.000000 85.628 -167.8675
988.000000 85.626 -167.6061
1000.000000 85.615 -167.6919
1015.000000 85.575 -167.5732
1030.000000 85.585 -167.3427
1044.000000 85.580 -167.4496
1060.000000 85.552 -167.3214
1075.000000 85.530 -167.1418
1090.000000 85.474 -166.8912
1106.000000 85.472 -166.4332
1120.000000 85.503 -166.4023
1138.000000 85.476 -166.5505
1150.000000 85.450 -166.5006
1172.000000 85.393 -166.5284
1180.000000 85.371 -166.4016
1206.000000 85.313 -166.3146
1220.000000 85.231 -166.5108
1241.000000 85.043 -166.4561
1250.000000 84.949 -166.1420
1265.000000 84.811 -165.2425
1280.000000 84.708 -164.3704
1315.000000 84.529 -161.5085
1320.000000 84.525 -161.0866
1340.000000 84.502 -159.4562
1360.000000 84.548 -157.4633
1380.000000 84.673 -155.9690
1400.000000 84.797 -154.8669
1430.000000 85.024 -153.2756
1450.000000 85.158 -153.1043
1475.000000 85.184 -151.9078
1500.000000 85.399 -150.5500
1525.000000 85.564 -150.3582
1550.000000 85.607 -150.2768
1575.000000 85.591 -149.3239
1600.000000 85.658 -147.7019
1625.000000 85.766 -146.3099
1650.000000 85.922 -144.6344
1675.000000 86.188 -143.0767
1700.000000 86.495 -141.9544
1725.000000 86.887 -141.2502
1750.000000 87.229 -141.8397
1775.000000 87.433 -142.4780
1800.000000 87.608 -142.9615
1825.000000 87.763 -143.3784
1850.000000 87.887 -143.8438
1875.000000 87.975 -144.1571
1900.000000 88.046 -144.3694
1925.000000 88.095 -144.3606
1950.000000 88.137 -143.8741
1975.000000 88.242 -142.8568
2000.000000 88.461 -141.7592
2030.000000 88.832 -141.1190
2060.000000 89.196 -141.2488
2090.000000 89.592 -141.5719
2120.000000 90.009 -142.8121
2140.000000 90.237 -144.0749
2180.000000 90.591 -146.8119
2200.000000 90.728 -148.4361
2240.000000 90.832 -151.7654
2270.000000 90.847 -153.5971
2300.000000 90.912 -155.4339
2330.000000 90.956 -157.7280
2360.000000 90.937 -160.2882
2400.000000 90.729 -164.2798
2430.000000 90.372 -166.7912
2470.000000 89.762 -168.7727
2500.000000 89.249 -169.2277
2540.000000 88.590 -168.0585
2580.000000 88.134 -165.4736
2620.000000 87.836 -162.9669
2650.000000 87.640 -160.9046
2690.000000 87.480 -157.4040
2720.000000 87.517 -154.5347
2760.000000 87.747 -151.6550
2800.000000 88.003 -150.2092
2850.000000 88.159 -149.6338
2900.000000 88.077 -148.4743
2950.000000 87.963 -145.9093
3000.000000 87.893 -142.1172
3040.000000 87.967 -137.8309
3070.000000 88.164 -134.2536
3110.000000 88.630 -129.4060
3150.000000 89.322 -125.0896
3200.000000 90.411 -121.1514
3250.000000 91.694 -118.8436
3300.000000 93.103 -118.9397
3350.000000 94.398 -121.7929
3400.000000 95.438 -126.1657
3450.000000 96.301 -130.9528
3500.000000 97.036 -136.2685
3550.000000 97.627 -141.9184
3600.000000 98.099 -147.7378
3650.000000 98.457 -153.7771
3700.000000 98.668 -159.8207
3750.000000 98.776 -165.4858
3820.000000 98.855 -172.9713
3870.000000 98.856 -178.2464
3950.000000 98.761 173.6578
4000.000000 98.686 168.7124
4060.000000 98.578 162.5184
4120.000000 98.410 155.7843
4180.000000 98.116 148.4814
4250.000000 97.540 139.4320
4310.000000 96.754 131.5400
4370.000000 95.623 124.5406
4440.000000 93.977 119.1353
4500.000000 92.504 117.0512
4550.000000 91.312 116.7505
4620.000000 89.754 118.3527
4680.000000 88.599 121.1108
4750.000000 87.441 125.0631
4820.000000 86.435 130.3256
4870.000000 85.902 134.9870
4940.000000 85.542 141.5237
5000.000000 85.529 145.4946
5080.000000 85.519 147.4786
5150.000000 85.216 147.6461
5220.000000 84.579 148.4111
5300.000000 83.619 152.1028
5380.000000 82.759 159.3592
5450.000000 82.327 168.0225
5520.000000 82.336 177.7053
5600.000000 82.898 -171.7253
