* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 12, 2025 2:31:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: PPO (ZUniHyS) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.563 -111.9546
20.600000 91.633 -112.6516
20.900000 91.713 -113.4050
21.200001 91.796 -114.1721
21.400000 91.853 -114.6916
21.799999 91.966 -115.7439
22.000000 92.022 -116.2699
22.400000 92.129 -117.3039
22.700001 92.206 -118.0546
23.000000 92.278 -118.7824
23.299999 92.345 -119.4903
23.600000 92.407 -120.1822
24.000000 92.481 -121.0822
24.299999 92.532 -121.7385
24.700001 92.595 -122.5849
25.000000 92.642 -123.1994
25.400000 92.708 -124.0027
25.799999 92.779 -124.8069
26.200001 92.851 -125.6289
26.500000 92.903 -126.2589
26.900000 92.968 -127.1051
27.200001 93.012 -127.7306
27.600000 93.066 -128.5332
28.000000 93.118 -129.2916
28.500000 93.189 -130.1957
29.000000 93.267 -131.0982
29.500000 93.344 -132.0308
30.000000 93.409 -132.9710
30.400000 93.450 -133.6907
30.700001 93.477 -134.1971
31.100000 93.513 -134.8305
31.500000 93.554 -135.4390
32.000000 93.614 -136.2145
32.500000 93.679 -137.0373
33.000000 93.742 -137.8909
33.500000 93.797 -138.7298
34.000000 93.844 -139.5184
34.500000 93.883 -140.2506
35.000000 93.919 -140.9482
35.500000 93.954 -141.6472
36.000000 93.989 -142.3748
36.500000 94.024 -143.1271
37.000000 94.056 -143.8720
37.500000 94.090 -144.5835
38.200001 94.143 -145.5573
38.700001 94.180 -146.2910
39.500000 94.217 -147.5090
40.000000 94.230 -148.2088
40.599998 94.250 -148.9400
41.200001 94.284 -149.6191
41.799999 94.319 -150.3242
42.500000 94.344 -151.1850
43.099998 94.355 -151.9263
43.700001 94.363 -152.6574
44.400002 94.374 -153.4576
45.000000 94.384 -154.0686
45.500000 94.391 -154.5480
46.200001 94.394 -155.2327
46.799999 94.389 -155.8342
47.500000 94.391 -156.5146
48.200001 94.405 -157.1106
48.700001 94.413 -157.4263
49.400002 94.426 -157.7546
50.000000 94.436 -158.1687
50.799999 94.417 -159.1751
51.500000 94.368 -160.1008
52.200001 94.368 -160.6254
53.000000 94.476 -161.0131
53.799999 94.591 -161.6186
54.500000 94.630 -162.2394
55.200001 94.639 -162.8690
56.000000 94.651 -163.6790
57.000000 94.665 -164.7212
58.000000 94.664 -165.6688
59.000000 94.642 -166.6125
60.000000 94.617 -167.5388
60.799999 94.601 -168.2122
61.500000 94.585 -168.7278
62.200001 94.567 -169.1994
63.000000 94.547 -169.7403
64.000000 94.530 -170.4584
65.000000 94.517 -171.1801
66.000000 94.502 -171.8722
67.000000 94.475 -172.5508
68.000000 94.439 -173.2145
69.000000 94.405 -173.8757
70.000000 94.378 -174.5411
71.000000 94.353 -175.1683
72.000000 94.324 -175.7734
73.000000 94.283 -176.3703
74.000000 94.239 -176.9375
75.000000 94.198 -177.4790
76.199997 94.147 -178.0537
77.500000 94.091 -178.5680
78.800003 94.044 -179.0364
80.000000 94.009 -179.4577
81.199997 93.975 -179.8680
82.500000 93.938 179.6768
83.800003 93.913 179.2238
85.000000 93.891 178.8014
86.199997 93.861 178.3861
87.500000 93.828 177.9363
88.500000 93.809 177.5953
90.000000 93.780 177.0425
91.199997 93.749 176.5334
92.500000 93.714 175.9067
93.800003 93.675 175.3463
95.000000 93.642 174.9120
96.199997 93.610 174.4516
97.500000 93.564 173.9024
98.800003 93.501 173.3857
100.000000 93.439 172.9810
101.500000 93.363 172.5026
103.000000 93.285 172.0903
104.400002 93.215 171.7829
106.000000 93.137 171.4949
107.500000 93.068 171.2418
109.000000 93.006 171.0756
110.599998 92.948 170.9529
112.000000 92.909 170.7781
113.800003 92.858 170.5480
115.000000 92.825 170.4029
117.199997 92.780 170.1035
118.000000 92.765 169.9554
120.599998 92.724 169.4088
122.000000 92.683 169.2867
124.099998 92.615 168.9859
125.000000 92.592 168.8157
126.500000 92.555 168.5935
128.000000 92.516 168.4007
131.500000 92.436 167.8000
132.000000 92.423 167.7100
134.000000 92.368 167.3224
136.000000 92.319 166.9517
138.000000 92.273 166.7036
140.000000 92.214 166.4268
143.000000 92.129 165.9960
145.000000 92.087 165.7902
147.500000 92.015 165.3639
150.000000 91.941 164.8596
152.500000 91.870 164.5598
155.000000 91.801 164.2119
157.500000 91.734 163.8429
160.000000 91.655 163.5471
162.500000 91.580 163.2589
165.000000 91.509 162.8622
167.500000 91.433 162.5177
170.000000 91.343 162.1328
172.500000 91.249 161.6951
175.000000 91.152 161.3041
177.500000 91.042 161.0396
180.000000 90.921 160.8322
182.500000 90.801 160.6484
185.000000 90.680 160.6068
187.500000 90.558 160.6383
190.000000 90.445 160.6450
192.500000 90.338 160.6442
195.000000 90.227 160.6821
197.500000 90.116 160.7757
200.000000 90.013 160.9174
203.000000 89.897 161.1462
206.000000 89.786 161.4534
209.000000 89.681 161.7859
212.000000 89.589 162.1241
214.000000 89.537 162.3093
218.000000 89.446 162.6200
220.000000 89.398 162.7418
224.000000 89.294 163.0854
227.000000 89.215 163.3697
230.000000 89.142 163.6660
233.000000 89.080 163.9195
236.000000 89.018 164.0950
240.000000 88.930 164.3577
243.000000 88.858 164.5522
247.000000 88.758 164.8609
250.000000 88.688 165.1919
254.000000 88.606 165.6794
258.000000 88.541 166.0821
262.000000 88.472 166.4369
265.000000 88.414 166.7097
269.000000 88.337 167.1056
272.000000 88.283 167.4283
276.000000 88.222 167.8876
280.000000 88.170 168.3678
285.000000 88.105 169.0065
290.000000 88.053 169.6440
295.000000 88.036 170.2501
300.000000 88.027 170.5912
304.000000 88.015 170.7507
307.000000 88.003 170.8740
311.000000 87.977 170.9733
315.000000 87.941 170.9568
320.000000 87.889 170.9781
325.000000 87.835 171.0474
330.000000 87.764 171.0904
335.000000 87.672 171.1614
340.000000 87.573 171.3658
345.000000 87.486 171.7059
350.000000 87.407 172.0332
355.000000 87.315 172.3160
360.000000 87.213 172.5165
365.000000 87.096 172.6676
370.000000 86.972 172.9484
375.000000 86.859 173.4638
382.000000 86.740 174.5714
387.000000 86.697 175.3403
395.000000 86.639 176.1483
400.000000 86.588 176.4511
406.000000 86.499 176.8463
412.000000 86.393 177.3877
418.000000 86.307 178.0207
425.000000 86.206 178.7544
431.000000 86.121 179.3474
437.000000 86.038 179.9475
444.000000 85.940 -179.2781
450.000000 85.866 -178.6672
455.000000 85.798 -178.1681
462.000000 85.684 -177.2906
468.000000 85.590 -176.3925
475.000000 85.505 -175.3372
482.000000 85.434 -174.3898
487.000000 85.380 -173.6946
494.000000 85.291 -172.6449
500.000000 85.225 -171.6984
508.000000 85.155 -170.3449
515.000000 85.099 -169.0916
522.000000 85.062 -167.8300
530.000000 85.045 -166.4043
538.000000 85.045 -165.0441
545.000000 85.050 -163.9018
552.000000 85.056 -162.7820
560.000000 85.072 -161.5285
570.000000 85.107 -159.9425
580.000000 85.157 -158.4851
590.000000 85.216 -157.1854
600.000000 85.283 -155.8157
608.000000 85.357 -154.7851
615.000000 85.429 -154.0100
622.000000 85.499 -153.2965
630.000000 85.575 -152.5468
640.000000 85.666 -151.7164
650.000000 85.752 -150.9852
660.000000 85.833 -150.3304
670.000000 85.912 -149.7018
680.000000 85.989 -149.1613
690.000000 86.049 -148.7205
700.000000 86.097 -148.2869
710.000000 86.142 -147.8403
720.000000 86.180 -147.4063
730.000000 86.206 -147.0212
740.000000 86.229 -146.6256
750.000000 86.265 -146.2673
762.000000 86.301 -145.9454
775.000000 86.299 -145.8149
788.000000 86.257 -145.5192
800.000000 86.204 -145.1058
812.000000 86.134 -144.5109
825.000000 86.071 -143.5193
838.000000 86.037 -142.4796
850.000000 86.027 -141.5269
862.000000 86.042 -140.6646
875.000000 86.063 -139.9479
885.000000 86.062 -139.4344
900.000000 86.047 -138.5636
912.000000 86.058 -137.7440
925.000000 86.083 -137.1723
938.000000 86.051 -136.8284
950.000000 85.986 -136.2782
962.000000 85.918 -135.5214
975.000000 85.855 -134.5426
988.000000 85.806 -133.5593
1000.000000 85.762 -132.5968
1015.000000 85.731 -131.2491
1030.000000 85.721 -129.9606
1044.000000 85.710 -128.7092
1060.000000 85.724 -127.3434
1075.000000 85.738 -126.2449
1090.000000 85.744 -125.1748
1106.000000 85.746 -124.0130
1120.000000 85.740 -123.0263
1138.000000 85.711 -121.6105
1150.000000 85.706 -120.4757
1172.000000 85.748 -118.5565
1180.000000 85.768 -117.9470
1206.000000 85.803 -115.8617
1220.000000 85.840 -114.6380
1241.000000 85.920 -113.1273
1250.000000 85.933 -112.5972
1265.000000 85.921 -111.4966
1280.000000 85.916 -109.9560
1315.000000 86.164 -106.2942
1320.000000 86.211 -105.9802
1340.000000 86.356 -104.9662
1360.000000 86.446 -103.8716
1380.000000 86.540 -102.5224
1400.000000 86.690 -101.1643
1430.000000 86.933 -100.7387
1450.000000 86.855 -100.3950
1475.000000 86.884 -97.8878
1500.000000 87.102 -96.6287
1525.000000 87.209 -96.1038
1550.000000 87.235 -95.3532
1575.000000 87.256 -94.0963
1600.000000 87.318 -92.8825
1625.000000 87.375 -91.7632
1650.000000 87.428 -90.7169
1675.000000 87.448 -89.6597
1700.000000 87.483 -88.4072
1725.000000 87.511 -87.1569
1750.000000 87.553 -85.5036
1775.000000 87.695 -83.9937
1800.000000 87.825 -83.2261
1825.000000 87.898 -82.3921
1850.000000 87.993 -81.4201
1875.000000 88.102 -80.7199
1900.000000 88.204 -80.2353
1925.000000 88.288 -80.0930
1950.000000 88.318 -80.2165
1975.000000 88.294 -80.4651
2000.000000 88.174 -80.8391
2030.000000 87.926 -80.6486
2060.000000 87.643 -79.9964
2090.000000 87.279 -78.8903
2120.000000 86.883 -76.6087
2140.000000 86.653 -74.4218
2180.000000 86.409 -68.9781
2200.000000 86.393 -66.4093
2240.000000 86.412 -61.7795
2270.000000 86.493 -58.3492
2300.000000 86.642 -55.1670
2330.000000 86.825 -52.6272
2360.000000 86.947 -50.5980
2400.000000 87.006 -47.3918
2430.000000 87.089 -44.3325
2470.000000 87.347 -40.1893
2500.000000 87.609 -37.6217
2540.000000 87.945 -34.7177
2580.000000 88.314 -31.9270
2620.000000 88.687 -29.9641
2650.000000 88.921 -28.5826
2690.000000 89.245 -26.7526
2720.000000 89.486 -25.6800
2760.000000 89.756 -24.6212
2800.000000 89.944 -23.3819
2850.000000 90.235 -21.3414
2900.000000 90.517 -20.2332
2950.000000 90.658 -18.8592
3000.000000 90.844 -16.9334
3040.000000 90.984 -15.8070
3070.000000 91.026 -14.8038
3110.000000 91.092 -12.6319
3150.000000 91.273 -10.2387
3200.000000 91.524 -7.7302
3250.000000 91.827 -4.7729
3300.000000 92.251 -2.1217
3350.000000 92.740 0.1477
3400.000000 93.329 1.7947
3450.000000 93.938 2.3374
3500.000000 94.519 2.0194
3550.000000 95.047 0.7941
3600.000000 95.466 -1.2163
3650.000000 95.756 -3.6127
3700.000000 95.943 -6.1965
3750.000000 96.018 -9.0311
3820.000000 95.918 -13.0926
3870.000000 95.689 -15.9943
3950.000000 95.006 -19.7786
4000.000000 94.414 -21.2519
4060.000000 93.586 -21.6173
4120.000000 92.710 -20.3092
4180.000000 91.887 -17.4879
4250.000000 91.051 -12.7633
4310.000000 90.472 -7.8779
4370.000000 90.010 -2.5607
4440.000000 89.600 3.9037
4500.000000 89.312 9.6336
4550.000000 89.101 14.7440
4620.000000 88.891 22.8691
4680.000000 88.882 30.9196
4750.000000 89.198 40.9079
4820.000000 89.882 50.4810
4870.000000 90.567 56.6095
4940.000000 91.763 63.9823
5000.000000 93.000 68.8182
5080.000000 94.847 72.3516
5150.000000 96.558 72.4245
5220.000000 98.245 69.2322
5300.000000 99.909 61.1619
5380.000000 100.893 49.0325
5450.000000 100.970 37.2415
5520.000000 100.356 26.9586
