* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Jan 12, 2025 2:29:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: PPO (ZUniHyS) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.623 -108.7875
20.600000 91.670 -109.3998
20.900000 91.716 -110.1966
21.200001 91.759 -111.1537
21.400000 91.789 -111.8665
21.799999 91.864 -113.3871
22.000000 91.914 -114.1460
22.400000 92.046 -115.5493
22.700001 92.171 -116.4467
23.000000 92.311 -117.1992
23.299999 92.451 -117.8244
23.600000 92.577 -118.3511
24.000000 92.701 -118.9512
24.299999 92.756 -119.3619
24.700001 92.786 -119.9235
25.000000 92.790 -120.4096
25.400000 92.794 -121.2177
25.799999 92.817 -122.2331
26.200001 92.872 -123.3871
26.500000 92.933 -124.2575
26.900000 93.036 -125.3088
27.200001 93.123 -125.9705
27.600000 93.237 -126.6866
28.000000 93.335 -127.2794
28.500000 93.420 -127.9930
29.000000 93.467 -128.8213
29.500000 93.499 -129.8465
30.000000 93.539 -131.0401
30.400000 93.582 -132.0184
30.700001 93.619 -132.6973
31.100000 93.673 -133.4676
31.500000 93.728 -134.0729
32.000000 93.796 -134.6935
32.500000 93.852 -135.3271
33.000000 93.890 -136.0699
33.500000 93.918 -136.8940
34.000000 93.954 -137.7314
34.500000 94.008 -138.5529
35.000000 94.071 -139.3620
35.500000 94.129 -140.1553
36.000000 94.173 -140.9282
36.500000 94.210 -141.6988
37.000000 94.245 -142.4903
37.500000 94.279 -143.2846
38.200001 94.319 -144.2878
38.700001 94.345 -144.8910
39.500000 94.389 -145.8229
40.000000 94.413 -146.4886
40.599998 94.434 -147.3438
41.200001 94.457 -148.1356
41.799999 94.490 -148.8018
42.500000 94.529 -149.5016
43.099998 94.547 -150.1275
43.700001 94.552 -150.8022
44.400002 94.565 -151.6368
45.000000 94.590 -152.3609
45.500000 94.616 -152.9319
46.200001 94.650 -153.6658
46.799999 94.672 -154.3045
47.500000 94.687 -155.1044
48.200001 94.707 -155.8376
48.700001 94.734 -156.3010
49.400002 94.767 -156.9925
50.000000 94.741 -157.6179
50.799999 94.637 -158.1926
51.500000 94.602 -158.5744
52.200001 94.667 -159.3880
53.000000 94.749 -160.7449
53.799999 94.773 -161.7674
54.500000 94.776 -162.3210
55.200001 94.768 -162.9077
56.000000 94.748 -163.7115
57.000000 94.733 -164.7103
58.000000 94.713 -165.5336
59.000000 94.682 -166.2325
60.000000 94.644 -166.9878
60.799999 94.609 -167.5482
61.500000 94.582 -167.9925
62.200001 94.556 -168.4319
63.000000 94.527 -168.9175
64.000000 94.501 -169.4766
65.000000 94.476 -169.9844
66.000000 94.442 -170.4092
67.000000 94.408 -170.7796
68.000000 94.379 -171.1078
69.000000 94.360 -171.3991
70.000000 94.350 -171.7066
71.000000 94.343 -171.9944
72.000000 94.346 -172.2726
73.000000 94.354 -172.6031
74.000000 94.366 -172.9387
75.000000 94.385 -173.2521
76.199997 94.417 -173.6389
77.500000 94.453 -174.1649
78.800003 94.486 -174.7353
80.000000 94.521 -175.3864
81.199997 94.539 -176.0608
82.500000 94.562 -176.7223
83.800003 94.570 -177.4590
85.000000 94.567 -178.2074
86.199997 94.560 -179.0013
87.500000 94.549 -179.8181
88.500000 94.531 179.5916
90.000000 94.496 178.7537
91.199997 94.458 178.0539
92.500000 94.412 177.4231
93.800003 94.387 176.8158
95.000000 94.359 176.2348
96.199997 94.319 175.7604
97.500000 94.274 175.3394
98.800003 94.230 174.8898
100.000000 94.189 174.4221
101.500000 94.140 173.8203
103.000000 94.093 173.2642
104.400002 94.053 172.7336
106.000000 94.006 172.1392
107.500000 93.953 171.7446
109.000000 93.892 171.3214
110.599998 93.818 170.6732
112.000000 93.756 170.1488
113.800003 93.676 169.7119
115.000000 93.613 169.5357
117.199997 93.500 169.3832
118.000000 93.468 169.3702
120.599998 93.402 169.2690
122.000000 93.354 169.1219
124.099998 93.295 169.1202
125.000000 93.289 169.1581
126.500000 93.296 169.0931
128.000000 93.304 168.8729
131.500000 93.311 168.3282
132.000000 93.311 168.2277
134.000000 93.305 167.7982
136.000000 93.289 167.3439
138.000000 93.284 166.8912
140.000000 93.295 166.2133
143.000000 93.232 165.1566
145.000000 93.153 164.4275
147.500000 93.061 164.0905
150.000000 92.985 163.8397
152.500000 92.945 163.6277
155.000000 92.939 163.2125
157.500000 92.922 162.6516
160.000000 92.920 162.2205
162.500000 92.851 161.7916
165.000000 92.788 161.5527
167.500000 92.737 160.9998
170.000000 92.655 160.2991
172.500000 92.577 159.7139
175.000000 92.502 159.2108
177.500000 92.421 158.7626
180.000000 92.333 158.2373
182.500000 92.265 157.8233
185.000000 92.212 157.6719
187.500000 92.135 157.4855
190.000000 92.055 157.1465
192.500000 91.992 156.8464
195.000000 91.927 156.6148
197.500000 91.861 156.3244
200.000000 91.799 156.0267
203.000000 91.710 155.6840
206.000000 91.613 155.3997
209.000000 91.509 155.1991
212.000000 91.406 154.9694
214.000000 91.339 154.8035
218.000000 91.214 154.4594
220.000000 91.149 154.3040
224.000000 91.017 154.1492
227.000000 90.919 154.1635
230.000000 90.841 154.3434
233.000000 90.764 154.3693
236.000000 90.668 154.2508
240.000000 90.549 154.1983
243.000000 90.465 154.3935
247.000000 90.362 154.6900
250.000000 90.333 154.8339
254.000000 90.299 154.9344
258.000000 90.237 154.7771
262.000000 90.156 154.7924
265.000000 90.095 154.8651
269.000000 90.035 155.0146
272.000000 89.997 155.1151
276.000000 89.939 155.1157
280.000000 89.887 154.9787
285.000000 89.827 154.8643
290.000000 89.757 154.7664
295.000000 89.682 154.6307
300.000000 89.598 154.5576
304.000000 89.522 154.5134
307.000000 89.474 154.5144
311.000000 89.424 154.5327
315.000000 89.369 154.5544
320.000000 89.288 154.6249
325.000000 89.226 154.7508
330.000000 89.180 154.7485
335.000000 89.131 154.5957
340.000000 89.062 154.3428
345.000000 88.967 154.0702
350.000000 88.874 153.6317
355.000000 88.795 153.2799
360.000000 88.713 153.5511
365.000000 88.621 153.7506
370.000000 88.529 153.7586
375.000000 88.442 153.7209
382.000000 88.312 153.7590
387.000000 88.220 153.8263
395.000000 88.085 153.8844
400.000000 87.991 153.8799
406.000000 87.872 153.8830
412.000000 87.738 154.0193
418.000000 87.611 154.3164
425.000000 87.484 154.6524
431.000000 87.377 154.8985
437.000000 87.271 155.1220
444.000000 87.148 155.2973
450.000000 87.033 155.5319
455.000000 86.929 155.7981
462.000000 86.777 156.1351
468.000000 86.647 156.4895
475.000000 86.498 157.0000
482.000000 86.341 157.6728
487.000000 86.234 158.2609
494.000000 86.098 159.1566
500.000000 85.997 159.9604
508.000000 85.877 161.0885
515.000000 85.795 162.1586
522.000000 85.738 163.2203
530.000000 85.689 164.3377
538.000000 85.654 165.2739
545.000000 85.613 165.8725
552.000000 85.542 166.3276
560.000000 85.388 166.9211
570.000000 85.112 168.7819
580.000000 84.981 172.3657
590.000000 85.144 175.8368
600.000000 85.439 178.0331
608.000000 85.679 179.0353
615.000000 85.869 179.5781
622.000000 86.038 179.9352
630.000000 86.213 -179.7716
640.000000 86.424 -179.5607
650.000000 86.613 -179.6536
660.000000 86.762 -179.8982
670.000000 86.889 179.8769
680.000000 87.012 179.5042
690.000000 87.107 178.8694
700.000000 87.151 178.2202
710.000000 87.161 177.7958
720.000000 87.166 177.5825
730.000000 87.164 177.3013
740.000000 87.151 177.0215
750.000000 87.146 176.8766
762.000000 87.148 176.6442
775.000000 87.125 176.1923
788.000000 87.056 175.9374
800.000000 86.993 176.0148
812.000000 86.956 176.2630
825.000000 86.957 176.4726
838.000000 86.956 176.2726
850.000000 86.923 176.1299
862.000000 86.892 176.0698
875.000000 86.831 175.9205
885.000000 86.754 175.8992
900.000000 86.659 176.2857
912.000000 86.632 176.6114
925.000000 86.603 176.8255
938.000000 86.557 176.8410
950.000000 86.476 176.8706
962.000000 86.389 177.1846
975.000000 86.313 177.8816
988.000000 86.285 178.6341
1000.000000 86.284 179.2161
1015.000000 86.309 179.8493
1030.000000 86.354 -179.9204
1044.000000 86.352 179.9618
1060.000000 86.293 -179.9281
1075.000000 86.248 -179.4826
1090.000000 86.230 -178.9464
1106.000000 86.240 -178.6010
1120.000000 86.228 -178.5668
1138.000000 86.163 -178.2652
1150.000000 86.144 -177.8004
1172.000000 86.138 -177.2090
1180.000000 86.126 -177.0259
1206.000000 86.108 -176.5261
1220.000000 86.079 -176.3465
1241.000000 86.038 -175.9522
1250.000000 86.021 -175.7687
1265.000000 86.005 -175.4121
1280.000000 85.991 -175.3348
1315.000000 85.837 -174.5318
1320.000000 85.824 -174.3928
1340.000000 85.747 -173.8392
1360.000000 85.687 -172.8709
1380.000000 85.667 -172.0628
1400.000000 85.649 -171.4471
1430.000000 85.601 -170.5851
1450.000000 85.491 -170.2752
1475.000000 85.322 -167.8484
1500.000000 85.492 -165.7059
1525.000000 85.578 -165.0640
1550.000000 85.628 -164.1522
1575.000000 85.665 -163.5050
1600.000000 85.655 -162.6433
1625.000000 85.623 -161.4680
1650.000000 85.636 -159.7298
1675.000000 85.731 -158.1981
1700.000000 85.818 -156.7014
1725.000000 85.986 -154.9571
1750.000000 86.215 -153.7547
1775.000000 86.439 -153.0288
1800.000000 86.621 -152.5207
1825.000000 86.805 -151.9454
1850.000000 86.966 -151.7024
1875.000000 87.083 -151.1331
1900.000000 87.258 -150.3450
1925.000000 87.440 -149.8361
1950.000000 87.628 -149.1357
1975.000000 87.896 -148.2993
2000.000000 88.258 -147.9635
2030.000000 88.679 -148.7696
2060.000000 89.009 -150.1804
2090.000000 89.297 -151.9283
2120.000000 89.498 -154.2587
2140.000000 89.554 -155.8920
2180.000000 89.546 -158.8579
2200.000000 89.505 -160.2462
2240.000000 89.334 -162.8627
2270.000000 89.122 -164.5001
2300.000000 88.894 -165.9281
2330.000000 88.609 -167.4536
2360.000000 88.214 -168.6932
2400.000000 87.536 -169.3483
2430.000000 86.945 -168.7211
2470.000000 86.135 -166.1429
2500.000000 85.556 -162.7135
2540.000000 84.958 -155.6674
2580.000000 84.818 -146.7306
2620.000000 85.223 -137.9319
2650.000000 85.836 -132.5067
2690.000000 86.875 -127.8301
2720.000000 87.675 -126.3491
2760.000000 88.609 -126.4362
2800.000000 89.292 -128.0339
2850.000000 89.761 -130.5010
2900.000000 89.924 -131.4907
2950.000000 90.069 -130.6575
3000.000000 90.328 -128.7323
3040.000000 90.658 -126.8117
3070.000000 90.986 -125.3303
3110.000000 91.540 -123.5968
3150.000000 92.191 -122.4268
3200.000000 93.098 -121.9486
3250.000000 94.024 -122.8702
3300.000000 94.870 -124.9018
3350.000000 95.645 -127.2874
3400.000000 96.434 -130.0709
3450.000000 97.212 -133.7642
3500.000000 97.903 -138.4808
3550.000000 98.460 -143.8718
3600.000000 98.874 -149.6467
3650.000000 99.135 -155.5803
3700.000000 99.247 -161.3104
3750.000000 99.268 -166.5542
3820.000000 99.211 -173.2845
3870.000000 99.128 -177.6837
3950.000000 99.001 175.8222
4000.000000 98.925 171.6589
4060.000000 98.788 166.4529
4120.000000 98.583 161.1792
4180.000000 98.317 155.8326
4250.000000 97.893 149.4549
4310.000000 97.401 144.1104
4370.000000 96.796 139.1049
4440.000000 95.954 133.8201
4500.000000 95.112 130.0457
4550.000000 94.349 127.7117
4620.000000 93.280 125.7555
4680.000000 92.424 124.9389
4750.000000 91.517 124.5471
4820.000000 90.711 124.1752
4870.000000 90.150 123.5887
4940.000000 89.268 122.4074
5000.000000 88.351 121.6075
5080.000000 86.892 121.8970
5150.000000 85.429 124.3815
5220.000000 83.926 130.1996
5300.000000 82.514 141.0384
5380.000000 81.703 154.5949
5450.000000 81.570 167.3791
5520.000000 82.008 179.7454
5600.000000 83.123 -168.4063
5700.000000 85.149 -158.4707
5800.000000 87.531 -155.4255
