* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Aug 17, 2024 2:49:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Philphone R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.890 -75.8458
20.600000 75.993 -76.8211
20.900000 76.119 -77.8371
21.200001 76.262 -78.8068
21.400000 76.369 -79.4297
21.799999 76.603 -80.6441
22.000000 76.725 -81.2444
22.400000 76.961 -82.4315
22.700001 77.122 -83.2912
23.000000 77.264 -84.1027
23.299999 77.393 -84.8585
23.600000 77.516 -85.5745
24.000000 77.686 -86.5403
24.299999 77.823 -87.3394
24.700001 78.016 -88.5679
25.000000 78.158 -89.6017
25.400000 78.331 -91.0351
25.799999 78.478 -92.3846
26.200001 78.607 -93.5399
26.500000 78.701 -94.2851
26.900000 78.830 -95.2192
27.200001 78.930 -95.9648
27.600000 79.054 -97.0997
28.000000 79.157 -98.3662
28.500000 79.256 -99.9217
29.000000 79.359 -101.2006
29.500000 79.508 -102.1848
30.000000 79.703 -103.0838
30.400000 79.867 -103.8710
30.700001 79.981 -104.5249
31.100000 80.113 -105.4884
31.500000 80.222 -106.5842
32.000000 80.324 -108.2142
32.500000 80.372 -110.1289
33.000000 80.357 -112.1070
33.500000 80.300 -113.8042
34.000000 80.257 -115.0474
34.500000 80.272 -115.9878
35.000000 80.328 -116.9057
35.500000 80.372 -117.8471
36.000000 80.367 -118.5670
36.500000 80.333 -118.7821
37.000000 80.331 -118.5016
37.500000 80.409 -118.1168
38.200001 80.637 -118.2939
38.700001 80.821 -119.1398
39.500000 81.076 -121.2256
40.000000 81.205 -122.6351
40.599998 81.323 -124.2014
41.200001 81.403 -125.4672
41.799999 81.485 -126.4451
42.500000 81.632 -127.7003
43.099998 81.756 -129.1702
43.700001 81.822 -130.6936
44.400002 81.849 -131.9762
45.000000 81.881 -132.7972
45.500000 81.904 -133.6425
46.200001 81.878 -135.3298
46.799999 81.788 -137.0890
47.500000 81.631 -139.0055
48.200001 81.486 -140.1008
48.700001 81.446 -140.2786
49.400002 81.479 -140.2478
50.000000 81.484 -140.3424
50.799999 81.362 -140.1310
51.500000 81.282 -139.4908
52.200001 81.316 -139.4600
53.000000 81.343 -140.4129
53.799999 81.354 -140.9375
54.500000 81.513 -140.8707
55.200001 81.766 -141.3489
56.000000 81.916 -142.6747
57.000000 81.852 -144.1125
58.000000 81.837 -145.8810
59.000000 81.894 -148.1908
60.000000 82.064 -149.0643
60.799999 82.234 -149.3766
61.500000 82.257 -149.8168
62.200001 82.183 -150.2265
63.000000 82.105 -150.8028
64.000000 82.081 -151.9413
65.000000 82.121 -153.2018
66.000000 82.173 -154.2261
67.000000 82.220 -154.9357
68.000000 82.185 -155.8729
69.000000 82.087 -156.9873
70.000000 82.074 -158.4192
71.000000 82.070 -159.6376
72.000000 82.027 -160.0474
73.000000 81.956 -160.4861
74.000000 81.905 -161.1512
75.000000 81.938 -161.8152
76.199997 81.949 -162.5072
77.500000 81.919 -163.2059
78.800003 81.924 -164.4193
80.000000 81.916 -165.3160
81.199997 81.886 -166.1130
82.500000 81.801 -167.0184
83.800003 81.736 -167.8279
85.000000 81.676 -168.8065
86.199997 81.606 -169.5556
87.500000 81.566 -170.1229
88.500000 81.552 -170.5303
90.000000 81.517 -171.2272
91.199997 81.443 -171.7331
92.500000 81.369 -172.4469
93.800003 81.287 -173.2321
95.000000 81.195 -173.6852
96.199997 81.131 -174.1652
97.500000 81.078 -174.6265
98.800003 80.956 -174.8073
100.000000 80.797 -175.2045
101.500000 80.734 -175.7527
103.000000 80.748 -175.9527
104.400002 80.644 -176.1375
106.000000 80.555 -176.6618
107.500000 80.512 -176.8927
109.000000 80.460 -177.1630
110.599998 80.405 -177.7126
112.000000 80.341 -178.2123
113.800003 80.217 -178.8042
115.000000 80.100 -178.9195
117.199997 79.863 -178.4709
118.000000 79.798 -178.1366
120.599998 79.723 -177.2131
122.000000 79.724 -177.0026
124.099998 79.750 -177.0010
125.000000 79.762 -177.0395
126.500000 79.760 -177.0676
128.000000 79.737 -177.2012
131.500000 79.710 -176.9814
132.000000 79.709 -176.9468
134.000000 79.720 -176.6987
136.000000 79.638 -176.4360
138.000000 79.526 -176.8459
140.000000 79.433 -176.6148
143.000000 79.080 -174.5252
145.000000 78.764 -174.3806
147.500000 78.747 -175.1730
150.000000 78.659 -176.0503
152.500000 78.748 179.7013
155.000000 79.117 178.9283
157.500000 79.188 -179.7907
160.000000 79.136 -178.8760
162.500000 79.040 -179.8377
165.000000 78.923 179.5477
167.500000 78.837 179.8008
170.000000 78.758 179.6873
172.500000 78.705 179.7689
175.000000 78.606 -179.5343
177.500000 78.471 -179.2394
180.000000 78.398 -179.4806
182.500000 78.309 -179.8372
185.000000 78.201 179.7724
187.500000 78.240 179.6144
190.000000 78.296 178.9192
192.500000 78.267 179.3096
195.000000 78.192 179.8340
197.500000 78.137 -179.1311
200.000000 78.087 -177.7071
203.000000 77.990 -178.0056
206.000000 77.904 -179.7122
209.000000 77.936 -179.2776
212.000000 77.962 -177.9645
214.000000 77.930 -178.1134
218.000000 77.725 -179.5454
220.000000 77.656 -179.6911
224.000000 77.595 -178.5105
227.000000 77.540 -177.7026
230.000000 77.487 -177.2208
233.000000 77.403 -177.3897
236.000000 77.333 -177.4397
240.000000 77.645 -176.5992
243.000000 77.735 -175.8562
247.000000 77.342 -175.8547
250.000000 77.225 -175.8935
254.000000 77.171 -175.4897
258.000000 77.099 -174.9995
262.000000 77.039 -174.6892
265.000000 76.989 -174.4064
269.000000 76.918 -174.0041
272.000000 76.872 -173.7846
276.000000 76.827 -173.5320
280.000000 76.779 -173.1520
285.000000 76.719 -172.5204
290.000000 76.628 -171.9476
295.000000 76.468 -170.9498
300.000000 76.422 -169.8047
304.000000 76.492 -169.5315
307.000000 76.528 -169.6817
311.000000 76.510 -169.7234
315.000000 76.394 -169.5170
320.000000 76.213 -168.6830
325.000000 76.220 -168.1887
330.000000 76.262 -167.6065
335.000000 76.218 -166.9870
340.000000 76.146 -166.5430
345.000000 76.114 -165.9613
350.000000 76.074 -165.0434
355.000000 76.047 -164.1894
360.000000 76.054 -163.7512
365.000000 76.030 -163.1971
370.000000 76.003 -162.6274
375.000000 75.972 -161.9831
382.000000 75.956 -161.2751
387.000000 75.938 -160.6606
395.000000 75.886 -159.8382
400.000000 75.886 -159.3740
406.000000 75.894 -158.4052
412.000000 75.902 -157.0831
418.000000 75.893 -156.5446
425.000000 75.885 -156.5251
431.000000 75.871 -155.8223
437.000000 75.839 -154.9115
444.000000 75.811 -153.7749
450.000000 75.827 -152.9091
455.000000 75.826 -152.3794
462.000000 75.818 -151.6228
468.000000 75.838 -150.8490
475.000000 75.860 -150.1704
482.000000 75.865 -149.4734
487.000000 75.869 -148.9670
494.000000 75.883 -148.2651
500.000000 75.909 -147.6878
508.000000 75.932 -147.1180
515.000000 75.928 -146.7001
522.000000 75.924 -146.2638
530.000000 75.929 -146.0012
538.000000 75.885 -145.9083
545.000000 75.775 -145.8182
552.000000 75.586 -145.4200
560.000000 75.301 -143.9662
570.000000 75.118 -140.5243
580.000000 75.225 -137.2200
590.000000 75.471 -135.3150
600.000000 75.680 -134.0963
608.000000 75.771 -133.1278
615.000000 75.836 -132.4085
622.000000 75.903 -131.7499
630.000000 75.967 -131.0237
640.000000 76.027 -130.1908
650.000000 76.091 -129.1200
660.000000 76.157 -128.2385
670.000000 76.223 -127.3856
680.000000 76.301 -126.4275
690.000000 76.382 -125.5486
700.000000 76.445 -124.7529
710.000000 76.475 -124.0735
720.000000 76.509 -123.2281
730.000000 76.581 -122.2223
740.000000 76.649 -121.2567
750.000000 76.701 -120.3113
762.000000 76.769 -119.2377
775.000000 76.859 -117.8861
788.000000 76.959 -116.7367
800.000000 77.037 -115.8515
812.000000 77.129 -114.8629
825.000000 77.221 -113.8442
838.000000 77.304 -112.8725
850.000000 77.398 -111.9774
862.000000 77.500 -111.1677
875.000000 77.588 -110.3791
885.000000 77.639 -109.7785
900.000000 77.697 -108.6675
912.000000 77.753 -107.6270
925.000000 77.852 -106.5530
938.000000 77.965 -105.7286
950.000000 78.054 -104.9831
962.000000 78.133 -104.1700
975.000000 78.208 -103.3338
988.000000 78.276 -102.4415
1000.000000 78.351 -101.6083
1015.000000 78.434 -100.6394
1030.000000 78.511 -99.4284
1044.000000 78.616 -98.3140
1060.000000 78.737 -97.1583
1075.000000 78.852 -96.1053
1090.000000 78.970 -95.0800
1106.000000 79.099 -93.8863
1120.000000 79.245 -92.9958
1138.000000 79.397 -92.0977
1150.000000 79.480 -91.2946
1172.000000 79.661 -89.9390
1180.000000 79.740 -89.3969
1206.000000 80.043 -88.1220
1220.000000 80.187 -87.6675
1241.000000 80.370 -86.9867
1250.000000 80.437 -86.7251
1265.000000 80.545 -86.1837
1280.000000 80.671 -85.6086
1315.000000 80.937 -84.6690
1320.000000 80.968 -84.5276
1340.000000 81.086 -83.8389
1360.000000 81.215 -83.0291
1380.000000 81.371 -82.3243
1400.000000 81.553 -81.7295
1430.000000 81.763 -81.7635
1450.000000 81.790 -81.5580
1475.000000 81.871 -79.9936
1500.000000 82.132 -79.2950
1525.000000 82.306 -79.2435
1550.000000 82.432 -79.3226
1575.000000 82.477 -79.4477
1600.000000 82.465 -79.2123
1625.000000 82.433 -78.4128
1650.000000 82.478 -77.1289
1675.000000 82.592 -76.0634
1700.000000 82.724 -75.3650
1725.000000 82.816 -74.9643
1750.000000 82.860 -74.4949
1775.000000 82.882 -73.8699
1800.000000 82.904 -72.8748
1825.000000 82.975 -71.7608
1850.000000 83.082 -70.6808
1875.000000 83.209 -69.8203
1900.000000 83.338 -69.1814
1925.000000 83.451 -68.8005
1950.000000 83.520 -68.4781
1975.000000 83.554 -67.9172
2000.000000 83.603 -66.8434
2030.000000 83.797 -65.3211
2060.000000 84.107 -64.8249
2090.000000 84.338 -65.5309
2120.000000 84.426 -66.4911
2140.000000 84.423 -66.9396
2180.000000 84.447 -67.0372
2200.000000 84.494 -67.3348
2240.000000 84.497 -68.6938
2270.000000 84.360 -69.8928
2300.000000 84.094 -70.5613
2330.000000 83.814 -70.1726
2360.000000 83.638 -69.5903
2400.000000 83.355 -69.9990
2430.000000 82.917 -69.8908
2470.000000 82.288 -67.2434
2500.000000 81.941 -64.1251
2540.000000 81.739 -59.0593
2580.000000 81.841 -55.0713
2620.000000 81.973 -52.6904
2650.000000 82.020 -51.5575
2690.000000 81.970 -50.1159
2720.000000 81.902 -48.9980
2760.000000 81.727 -47.6250
2800.000000 81.453 -45.7850
2850.000000 80.973 -42.4609
2900.000000 80.500 -36.4109
2950.000000 80.311 -28.6794
3000.000000 80.478 -20.1725
3040.000000 80.887 -13.8810
3070.000000 81.311 -9.7401
3110.000000 81.976 -5.2277
3150.000000 82.722 -1.6598
3200.000000 83.689 0.8081
3250.000000 84.542 1.7856
3300.000000 85.300 1.7362
3350.000000 85.924 1.0283
3400.000000 86.465 0.0643
3450.000000 86.944 -1.3334
3500.000000 87.335 -3.2393
3550.000000 87.599 -5.5108
3600.000000 87.739 -7.8204
3650.000000 87.776 -9.9540
3700.000000 87.740 -11.9371
3750.000000 87.614 -13.7815
3820.000000 87.315 -15.6948
3870.000000 87.047 -16.6272
3950.000000 86.545 -17.3710
4000.000000 86.189 -17.3882
4060.000000 85.736 -16.7551
4120.000000 85.311 -15.4714
4180.000000 84.932 -13.9282
4250.000000 84.502 -12.0330
4310.000000 84.122 -10.1399
4370.000000 83.751 -7.9272
4440.000000 83.325 -5.0772
4500.000000 82.979 -2.2457
4550.000000 82.718 0.2222
4620.000000 82.364 3.7725
4680.000000 82.061 7.0361
4750.000000 81.709 11.2594
4820.000000 81.395 16.1791
4870.000000 81.230 20.0439
4940.000000 81.088 25.5944
5000.000000 81.020 30.5420
5080.000000 81.087 37.8114
5150.000000 81.364 44.1606
