* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Jan 8, 2025 10:45:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn HD280Pro (Old) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.984 -101.6344
20.600000 88.093 -102.4992
20.900000 88.214 -103.4332
21.200001 88.334 -104.3753
21.400000 88.414 -105.0080
21.799999 88.571 -106.2823
22.000000 88.648 -106.9185
22.400000 88.796 -108.1694
22.700001 88.904 -109.0768
23.000000 89.010 -109.9568
23.299999 89.116 -110.8186
23.600000 89.221 -111.6764
24.000000 89.359 -112.8326
24.299999 89.457 -113.7112
24.700001 89.581 -114.8835
25.000000 89.669 -115.7505
25.400000 89.786 -116.8816
25.799999 89.904 -117.9943
26.200001 90.022 -119.1093
26.500000 90.108 -119.9535
26.900000 90.218 -121.0829
27.200001 90.296 -121.9219
27.600000 90.396 -123.0184
28.000000 90.496 -124.0954
28.500000 90.626 -125.4504
29.000000 90.755 -126.8524
29.500000 90.874 -128.2862
30.000000 90.978 -129.6870
30.400000 91.052 -130.7453
30.700001 91.105 -131.4993
31.100000 91.177 -132.4697
31.500000 91.252 -133.4333
32.000000 91.347 -134.6780
32.500000 91.438 -135.9886
33.000000 91.520 -137.3438
33.500000 91.595 -138.7035
34.000000 91.665 -140.0431
34.500000 91.734 -141.3637
35.000000 91.801 -142.6766
35.500000 91.861 -143.9873
36.000000 91.914 -145.2967
36.500000 91.958 -146.6099
37.000000 91.991 -147.9340
37.500000 92.013 -149.2640
38.200001 92.025 -151.0918
38.700001 92.023 -152.3323
39.500000 91.997 -154.1021
40.000000 91.965 -154.9711
40.599998 91.927 -155.6629
41.200001 91.933 -156.0397
41.799999 92.017 -156.4428
42.500000 92.191 -157.4802
43.099998 92.344 -158.9677
43.700001 92.454 -160.7656
44.400002 92.523 -162.8610
45.000000 92.548 -164.5028
45.500000 92.552 -165.7837
46.200001 92.537 -167.5228
46.799999 92.509 -168.9858
47.500000 92.478 -170.6550
48.200001 92.466 -172.3235
48.700001 92.467 -173.5508
49.400002 92.462 -175.3145
50.000000 92.437 -176.8139
50.799999 92.371 -178.7293
51.500000 92.295 179.6426
52.200001 92.207 178.0135
53.000000 92.090 176.1785
53.799999 91.956 174.4339
54.500000 91.827 172.9983
55.200001 91.689 171.6509
56.000000 91.532 170.2202
57.000000 91.350 168.5493
58.000000 91.175 166.9279
59.000000 90.980 165.2687
60.000000 90.734 163.5564
60.799999 90.489 162.3070
61.500000 90.252 161.4354
62.200001 90.005 160.8273
63.000000 89.723 160.5129
64.000000 89.415 160.7198
65.000000 89.213 161.2507
66.000000 89.109 161.5427
67.000000 89.027 161.3222
68.000000 88.885 160.7798
69.000000 88.671 160.4496
70.000000 88.456 160.7982
71.000000 88.337 161.7203
72.000000 88.343 162.6014
73.000000 88.426 163.0220
74.000000 88.537 162.9387
75.000000 88.650 162.4356
76.199997 88.783 161.4167
77.500000 88.939 159.6201
78.800003 89.029 156.8438
80.000000 88.964 153.7365
81.199997 88.744 150.6667
82.500000 88.378 147.7824
83.800003 87.926 145.6363
85.000000 87.474 144.2688
86.199997 86.994 143.3997
87.500000 86.460 143.1272
88.500000 86.053 143.3351
90.000000 85.498 144.1509
91.199997 85.124 145.3307
92.500000 84.781 147.2894
93.800003 84.505 149.6150
95.000000 84.345 151.7139
96.199997 84.283 153.5248
97.500000 84.287 155.0207
98.800003 84.338 156.0569
100.000000 84.403 156.6230
101.500000 84.466 156.8822
103.000000 84.503 156.8500
104.400002 84.529 156.7222
106.000000 84.559 156.3637
107.500000 84.589 155.6064
109.000000 84.596 154.2498
110.599998 84.510 152.1664
112.000000 84.309 150.0048
113.800003 83.865 147.3898
115.000000 83.467 146.0931
117.199997 82.573 145.0484
118.000000 82.207 145.1777
120.599998 80.993 147.7596
122.000000 80.396 150.4230
124.099998 79.684 156.0811
125.000000 79.473 158.9730
126.500000 79.262 164.0178
128.000000 79.242 169.0369
131.500000 79.786 179.0544
132.000000 79.902 -179.9335
134.000000 80.429 -176.7918
136.000000 80.993 -174.9775
138.000000 81.515 -174.2779
140.000000 81.957 -174.4630
143.000000 82.413 -175.6498
145.000000 82.598 -176.9721
147.500000 82.712 -178.7263
150.000000 82.722 179.7405
152.500000 82.641 178.4738
155.000000 82.481 177.4548
157.500000 82.263 176.8682
160.000000 82.027 176.6019
162.500000 81.778 176.7152
165.000000 81.522 177.0470
167.500000 81.224 177.5449
170.000000 80.844 178.4279
172.500000 80.401 -179.6705
175.000000 80.020 -176.0599
177.500000 79.892 -171.3426
180.000000 80.013 -167.1695
182.500000 80.212 -163.9746
185.000000 80.425 -161.3830
187.500000 80.664 -159.0690
190.000000 80.940 -157.0481
192.500000 81.250 -155.3934
195.000000 81.578 -154.0838
197.500000 81.905 -153.1340
200.000000 82.212 -152.5428
203.000000 82.551 -152.2352
206.000000 82.851 -152.2540
209.000000 83.097 -152.4177
212.000000 83.305 -152.6035
214.000000 83.432 -152.7322
218.000000 83.663 -152.9874
220.000000 83.764 -153.1619
224.000000 83.941 -153.5153
227.000000 84.062 -153.7287
230.000000 84.170 -153.9750
233.000000 84.263 -154.1939
236.000000 84.342 -154.3555
240.000000 84.432 -154.4495
243.000000 84.502 -154.4844
247.000000 84.602 -154.4757
250.000000 84.681 -154.4745
254.000000 84.784 -154.4773
258.000000 84.881 -154.5292
262.000000 84.969 -154.5903
265.000000 85.032 -154.6114
269.000000 85.115 -154.6204
272.000000 85.179 -154.6065
276.000000 85.267 -154.5526
280.000000 85.351 -154.5096
285.000000 85.449 -154.4667
290.000000 85.555 -154.2589
295.000000 85.703 -153.9117
300.000000 85.905 -153.7867
304.000000 86.077 -154.1224
307.000000 86.187 -154.5675
311.000000 86.294 -155.2794
315.000000 86.362 -155.9724
320.000000 86.423 -156.6285
325.000000 86.481 -157.1168
330.000000 86.539 -157.5623
335.000000 86.592 -158.0020
340.000000 86.632 -158.4828
345.000000 86.665 -158.9552
350.000000 86.695 -159.3691
355.000000 86.723 -159.7453
360.000000 86.746 -160.0903
365.000000 86.763 -160.4217
370.000000 86.775 -160.7438
375.000000 86.783 -161.0232
382.000000 86.791 -161.3618
387.000000 86.794 -161.5705
395.000000 86.800 -161.7783
400.000000 86.809 -161.9034
406.000000 86.803 -162.1096
412.000000 86.782 -162.1067
418.000000 86.781 -161.8627
425.000000 86.835 -161.5604
431.000000 86.908 -161.5141
437.000000 86.978 -161.6518
444.000000 87.046 -161.8878
450.000000 87.099 -162.1195
455.000000 87.141 -162.3615
462.000000 87.194 -162.7812
468.000000 87.224 -163.1929
475.000000 87.236 -163.6636
482.000000 87.234 -164.0558
487.000000 87.229 -164.2794
494.000000 87.222 -164.5318
500.000000 87.220 -164.7101
508.000000 87.218 -164.9385
515.000000 87.217 -165.1431
522.000000 87.215 -165.3377
530.000000 87.210 -165.5536
538.000000 87.202 -165.7501
545.000000 87.194 -165.9093
552.000000 87.184 -166.0565
560.000000 87.171 -166.1995
570.000000 87.153 -166.3432
580.000000 87.137 -166.4492
590.000000 87.123 -166.5338
600.000000 87.111 -166.6166
608.000000 87.100 -166.6920
615.000000 87.090 -166.7502
622.000000 87.078 -166.7966
630.000000 87.065 -166.8363
640.000000 87.048 -166.8799
650.000000 87.032 -166.9037
660.000000 87.017 -166.9226
670.000000 87.001 -166.9232
680.000000 86.986 -166.9114
690.000000 86.971 -166.8913
700.000000 86.958 -166.8588
710.000000 86.945 -166.8223
720.000000 86.931 -166.7931
730.000000 86.915 -166.7707
740.000000 86.900 -166.7383
750.000000 86.885 -166.6865
762.000000 86.868 -166.6052
775.000000 86.850 -166.5273
788.000000 86.831 -166.4775
800.000000 86.810 -166.4410
812.000000 86.781 -166.3950
825.000000 86.743 -166.2762
838.000000 86.706 -166.0320
850.000000 86.684 -165.7632
862.000000 86.668 -165.5022
875.000000 86.664 -165.1212
885.000000 86.691 -164.8334
900.000000 86.763 -164.8776
912.000000 86.780 -165.4081
925.000000 86.714 -166.0181
938.000000 86.588 -166.3268
950.000000 86.442 -166.2598
962.000000 86.296 -165.7748
975.000000 86.175 -164.8754
988.000000 86.105 -163.8260
1000.000000 86.079 -162.8797
1015.000000 86.077 -161.7778
1030.000000 86.100 -160.7334
1044.000000 86.147 -159.8083
1060.000000 86.230 -158.8946
1075.000000 86.329 -158.2602
1090.000000 86.429 -157.8590
1106.000000 86.525 -157.6403
1120.000000 86.595 -157.5774
1138.000000 86.658 -157.6092
1150.000000 86.681 -157.6584
1172.000000 86.690 -157.6914
1180.000000 86.684 -157.6608
1206.000000 86.653 -157.3051
1220.000000 86.649 -156.9470
1241.000000 86.685 -156.4978
1250.000000 86.701 -156.4245
1265.000000 86.709 -156.3545
1280.000000 86.702 -156.2516
1315.000000 86.651 -155.8968
1320.000000 86.639 -155.8308
1340.000000 86.583 -155.5017
1360.000000 86.515 -155.0032
1380.000000 86.447 -154.2529
1400.000000 86.404 -153.2358
1430.000000 86.413 -151.7551
1450.000000 86.421 -150.9197
1475.000000 86.437 -149.6710
1500.000000 86.513 -148.3269
1525.000000 86.643 -147.4654
1550.000000 86.715 -147.2886
1575.000000 86.653 -147.0493
1600.000000 86.524 -145.7935
1625.000000 86.499 -143.5529
1650.000000 86.615 -141.4650
1675.000000 86.781 -139.7919
1700.000000 86.967 -138.3777
1725.000000 87.164 -137.2070
1750.000000 87.357 -136.2112
1775.000000 87.546 -135.2876
1800.000000 87.740 -134.4032
1825.000000 87.946 -133.5926
1850.000000 88.160 -132.9196
1875.000000 88.372 -132.3938
1900.000000 88.580 -131.9673
1925.000000 88.781 -131.6568
1950.000000 88.965 -131.4640
1975.000000 89.118 -131.3001
2000.000000 89.242 -130.9751
2030.000000 89.394 -130.1204
2060.000000 89.623 -128.9080
2090.000000 89.948 -127.8545
2120.000000 90.328 -127.3040
2140.000000 90.588 -127.2340
2180.000000 91.086 -127.6603
2200.000000 91.319 -128.0959
2240.000000 91.741 -129.3374
2270.000000 92.004 -130.4994
2300.000000 92.216 -131.7104
2330.000000 92.385 -132.8104
2360.000000 92.535 -133.7048
2400.000000 92.744 -134.6896
2430.000000 92.914 -135.3863
2470.000000 93.166 -136.3694
2500.000000 93.373 -137.2568
2540.000000 93.655 -138.7937
2580.000000 93.907 -140.7857
2620.000000 94.101 -143.1333
2650.000000 94.195 -145.0271
2690.000000 94.249 -147.5767
2720.000000 94.240 -149.4213
2760.000000 94.167 -151.7066
2800.000000 94.031 -153.6962
2850.000000 93.793 -155.5589
2900.000000 93.536 -156.5895
2950.000000 93.306 -156.9817
3000.000000 93.116 -156.8515
3040.000000 93.013 -156.4293
3070.000000 92.970 -156.0265
3110.000000 92.951 -155.4660
3150.000000 92.973 -154.9078
3200.000000 93.057 -154.2778
3250.000000 93.197 -153.8811
3300.000000 93.371 -153.8245
3350.000000 93.555 -154.1091
3400.000000 93.736 -154.6564
3450.000000 93.914 -155.4185
3500.000000 94.087 -156.4489
3550.000000 94.239 -157.7486
3600.000000 94.360 -159.2462
3650.000000 94.449 -160.8862
3700.000000 94.503 -162.6553
3750.000000 94.513 -164.5204
3820.000000 94.442 -167.0963
3870.000000 94.341 -168.7603
3950.000000 94.130 -171.0728
4000.000000 93.973 -172.3505
4060.000000 93.757 -173.7025
4120.000000 93.513 -174.8349
4180.000000 93.237 -175.7227
4250.000000 92.864 -176.2543
4310.000000 92.526 -175.9900
4370.000000 92.232 -174.9588
4440.000000 92.017 -173.1725
4500.000000 91.947 -171.5988
4550.000000 91.952 -170.4272
4620.000000 92.024 -169.1403
4680.000000 92.120 -168.3860
4750.000000 92.248 -167.8613
4820.000000 92.376 -167.7015
4870.000000 92.450 -167.7686
4940.000000 92.517 -167.8955
5000.000000 92.559 -167.8271
5080.000000 92.632 -167.4688
5150.000000 92.741 -166.9066
