* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Jan 8, 2025 10:49:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn HD280Pro (Old) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.156 -113.2751
20.600000 90.272 -114.2185
20.900000 90.397 -115.2033
21.200001 90.515 -116.1600
21.400000 90.588 -116.7860
21.799999 90.721 -118.0301
22.000000 90.782 -118.6576
22.400000 90.895 -119.9413
22.700001 90.977 -120.9352
23.000000 91.058 -121.9525
23.299999 91.140 -122.9818
23.600000 91.226 -124.0077
24.000000 91.346 -125.3434
24.299999 91.438 -126.3074
24.700001 91.562 -127.5376
25.000000 91.652 -128.4255
25.400000 91.764 -129.5826
25.799999 91.863 -130.7344
26.200001 91.948 -131.9050
26.500000 92.004 -132.8039
26.900000 92.071 -134.0322
27.200001 92.117 -134.9717
27.600000 92.178 -136.2365
28.000000 92.239 -137.5007
28.500000 92.319 -139.0628
29.000000 92.404 -140.6010
29.500000 92.493 -142.1272
30.000000 92.584 -143.6572
30.400000 92.655 -144.8878
30.700001 92.705 -145.8109
31.100000 92.768 -147.0323
31.500000 92.824 -148.2315
32.000000 92.884 -149.6911
32.500000 92.935 -151.1194
33.000000 92.980 -152.5479
33.500000 93.021 -154.0042
34.000000 93.056 -155.4904
34.500000 93.086 -156.9849
35.000000 93.111 -158.4615
35.500000 93.130 -159.9125
36.000000 93.140 -161.3532
36.500000 93.138 -162.8041
37.000000 93.119 -164.2675
37.500000 93.084 -165.7231
38.200001 93.010 -167.7058
38.700001 92.941 -169.0524
39.500000 92.787 -170.8651
40.000000 92.678 -171.5527
40.599998 92.594 -171.8300
41.200001 92.623 -171.8874
41.799999 92.754 -172.3624
42.500000 92.926 -173.8199
43.099998 93.010 -175.5787
43.700001 93.026 -177.4460
44.400002 92.987 -179.5208
45.000000 92.929 178.8649
45.500000 92.883 177.6452
46.200001 92.851 176.0220
46.799999 92.852 174.5503
47.500000 92.846 172.6831
48.200001 92.800 170.8088
48.700001 92.743 169.5447
49.400002 92.640 167.8659
50.000000 92.541 166.4426
50.799999 92.398 164.4874
51.500000 92.255 162.7457
52.200001 92.092 161.0620
53.000000 91.890 159.2748
53.799999 91.676 157.6319
54.500000 91.478 156.3339
55.200001 91.273 155.1976
56.000000 91.039 154.0493
57.000000 90.755 152.6491
58.000000 90.468 151.1756
59.000000 90.152 149.7407
60.000000 89.781 148.5120
60.799999 89.440 147.7865
61.500000 89.118 147.4333
62.200001 88.792 147.3976
63.000000 88.434 147.7584
64.000000 88.039 148.7749
65.000000 87.729 150.2727
66.000000 87.505 152.1325
67.000000 87.376 154.4430
68.000000 87.402 157.0463
69.000000 87.630 159.2351
70.000000 88.012 160.1505
71.000000 88.415 159.5056
72.000000 88.726 157.7032
73.000000 88.912 155.3292
74.000000 88.990 152.7943
75.000000 88.990 150.2881
76.199997 88.923 147.2443
77.500000 88.753 143.6835
78.800003 88.439 140.2378
80.000000 88.039 137.5760
81.199997 87.573 135.4404
82.500000 87.030 133.6835
83.800003 86.468 132.4965
85.000000 85.942 131.8722
86.199997 85.406 131.6454
87.500000 84.825 131.7819
88.500000 84.388 132.1988
90.000000 83.760 133.5503
91.199997 83.293 135.1782
92.500000 82.853 137.2971
93.800003 82.507 139.6536
95.000000 82.276 141.9422
96.199997 82.134 143.9895
97.500000 82.051 145.6206
98.800003 81.966 146.5299
100.000000 81.829 146.8415
101.500000 81.546 147.1135
103.000000 81.129 148.0227
104.400002 80.676 149.8661
106.000000 80.218 153.2191
107.500000 79.929 157.2222
109.000000 79.796 161.4406
110.599998 79.805 165.9149
112.000000 79.920 169.6510
113.800003 80.232 173.7928
115.000000 80.514 175.9078
117.199997 81.051 178.6328
118.000000 81.206 179.4124
120.599998 81.671 -179.5626
122.000000 81.954 179.5317
124.099998 82.171 178.4227
125.000000 82.189 178.0995
126.500000 82.169 177.8422
128.000000 82.144 178.1041
131.500000 82.207 -179.6583
132.000000 82.237 -179.2501
134.000000 82.421 -177.8039
136.000000 82.699 -176.9664
138.000000 83.019 -176.9294
140.000000 83.305 -177.5392
143.000000 83.604 -179.3357
145.000000 83.700 179.2046
147.500000 83.716 177.3785
150.000000 83.653 175.8058
152.500000 83.526 174.4184
155.000000 83.331 173.3959
157.500000 83.098 172.6553
160.000000 82.858 172.1766
162.500000 82.605 172.0344
165.000000 82.344 172.2062
167.500000 82.081 172.7542
170.000000 81.809 173.6620
172.500000 81.554 174.9269
175.000000 81.334 176.4478
177.500000 81.162 178.2547
180.000000 81.045 -179.7121
182.500000 80.975 -177.5607
185.000000 80.953 -175.3778
187.500000 81.000 -173.3792
190.000000 81.091 -171.5444
192.500000 81.215 -169.8368
195.000000 81.356 -168.3887
197.500000 81.504 -167.3139
200.000000 81.647 -166.4836
203.000000 81.812 -165.5495
206.000000 81.974 -164.7631
209.000000 82.120 -164.1705
212.000000 82.247 -163.6365
214.000000 82.326 -163.3025
218.000000 82.489 -162.8183
220.000000 82.571 -162.6021
224.000000 82.720 -162.2048
227.000000 82.814 -161.9368
230.000000 82.899 -161.7105
233.000000 82.978 -161.4865
236.000000 83.050 -161.2666
240.000000 83.141 -161.0028
243.000000 83.215 -160.7678
247.000000 83.313 -160.4799
250.000000 83.378 -160.3550
254.000000 83.438 -160.1633
258.000000 83.477 -159.8434
262.000000 83.523 -159.3187
265.000000 83.575 -158.8038
269.000000 83.671 -158.0849
272.000000 83.767 -157.5877
276.000000 83.922 -157.1000
280.000000 84.088 -156.9238
285.000000 84.273 -157.0568
290.000000 84.414 -157.3929
295.000000 84.510 -157.7085
300.000000 84.573 -157.8423
304.000000 84.617 -157.8409
307.000000 84.654 -157.7871
311.000000 84.713 -157.6452
315.000000 84.787 -157.4642
320.000000 84.902 -157.3264
325.000000 85.024 -157.3699
330.000000 85.135 -157.6327
335.000000 85.233 -158.0025
340.000000 85.311 -158.2489
345.000000 85.365 -158.4813
350.000000 85.412 -158.7625
355.000000 85.460 -159.0695
360.000000 85.503 -159.3096
365.000000 85.537 -159.5463
370.000000 85.567 -159.7552
375.000000 85.592 -159.9192
382.000000 85.626 -160.1143
387.000000 85.645 -160.2406
395.000000 85.669 -160.3520
400.000000 85.688 -160.3560
406.000000 85.719 -160.3367
412.000000 85.759 -160.2793
418.000000 85.814 -160.2290
425.000000 85.894 -160.3283
431.000000 85.954 -160.5992
437.000000 85.996 -160.9531
444.000000 86.018 -161.3349
450.000000 86.024 -161.5974
455.000000 86.026 -161.7714
462.000000 86.025 -161.9583
468.000000 86.026 -162.0803
475.000000 86.026 -162.1886
482.000000 86.027 -162.2681
487.000000 86.027 -162.3172
494.000000 86.030 -162.3681
500.000000 86.033 -162.3989
508.000000 86.038 -162.4431
515.000000 86.042 -162.4877
522.000000 86.044 -162.5246
530.000000 86.044 -162.5733
538.000000 86.043 -162.6139
545.000000 86.041 -162.6323
552.000000 86.038 -162.6384
560.000000 86.031 -162.6335
570.000000 86.023 -162.6109
580.000000 86.014 -162.5629
590.000000 86.003 -162.4875
600.000000 85.990 -162.3944
608.000000 85.982 -162.2995
615.000000 85.975 -162.1998
622.000000 85.969 -162.0856
630.000000 85.963 -161.9373
640.000000 85.957 -161.7372
650.000000 85.959 -161.5239
660.000000 85.967 -161.3535
670.000000 85.968 -161.2090
680.000000 85.967 -161.0041
690.000000 85.972 -160.7830
700.000000 85.980 -160.6024
710.000000 85.987 -160.4524
720.000000 85.989 -160.2888
730.000000 85.988 -160.0900
740.000000 85.986 -159.8649
750.000000 85.985 -159.6016
762.000000 85.992 -159.2246
775.000000 86.017 -158.7917
788.000000 86.061 -158.4973
800.000000 86.115 -158.3696
812.000000 86.168 -158.3360
825.000000 86.201 -158.4698
838.000000 86.203 -158.7069
850.000000 86.178 -158.8734
862.000000 86.134 -158.9458
875.000000 86.074 -158.8936
885.000000 86.024 -158.7625
900.000000 85.951 -158.4846
912.000000 85.891 -158.2186
925.000000 85.816 -157.8326
938.000000 85.735 -157.3047
950.000000 85.661 -156.6671
962.000000 85.595 -155.8781
975.000000 85.540 -154.8801
988.000000 85.506 -153.7624
1000.000000 85.496 -152.6581
1015.000000 85.518 -151.1963
1030.000000 85.584 -149.6635
1044.000000 85.696 -148.2441
1060.000000 85.885 -146.8466
1075.000000 86.104 -145.9422
1090.000000 86.337 -145.4847
1106.000000 86.573 -145.4766
1120.000000 86.749 -145.8330
1138.000000 86.905 -146.6476
1150.000000 86.956 -147.2840
1172.000000 86.947 -148.2921
1180.000000 86.918 -148.5338
1206.000000 86.780 -148.6873
1220.000000 86.709 -148.3839
1241.000000 86.639 -147.7336
1250.000000 86.613 -147.4630
1265.000000 86.566 -146.9417
1280.000000 86.521 -146.2756
1315.000000 86.453 -144.3816
1320.000000 86.448 -144.0746
1340.000000 86.438 -142.7453
1360.000000 86.457 -141.2827
1380.000000 86.514 -139.7470
1400.000000 86.611 -138.2408
1430.000000 86.817 -136.2527
1450.000000 86.970 -135.1775
1475.000000 87.156 -134.0547
1500.000000 87.321 -133.0574
1525.000000 87.460 -132.0238
1550.000000 87.581 -130.7865
1575.000000 87.709 -129.0825
1600.000000 87.944 -126.7831
1625.000000 88.356 -124.8854
1650.000000 88.798 -124.2460
1675.000000 89.159 -124.1267
1700.000000 89.475 -124.0816
1725.000000 89.764 -124.0833
1750.000000 90.042 -124.0805
1775.000000 90.322 -124.1394
1800.000000 90.599 -124.3303
1825.000000 90.866 -124.6622
1850.000000 91.114 -125.1273
1875.000000 91.341 -125.6955
1900.000000 91.543 -126.3594
1925.000000 91.698 -127.1499
1950.000000 91.785 -127.7819
1975.000000 91.829 -127.9165
2000.000000 91.888 -127.4567
2030.000000 92.045 -126.3318
2060.000000 92.331 -125.0800
2090.000000 92.721 -124.1926
2120.000000 93.164 -123.8743
2140.000000 93.467 -123.9582
2180.000000 94.067 -124.7062
2200.000000 94.355 -125.3196
2240.000000 94.898 -126.8825
2270.000000 95.277 -128.2325
2300.000000 95.646 -129.6707
2330.000000 96.022 -131.2187
2360.000000 96.410 -133.0013
2400.000000 96.924 -136.0085
2430.000000 97.265 -138.7712
2470.000000 97.625 -142.8307
2500.000000 97.834 -145.9864
2540.000000 98.048 -150.3087
2580.000000 98.185 -154.7997
2620.000000 98.228 -159.4019
2650.000000 98.194 -162.8283
2690.000000 98.069 -167.2238
2720.000000 97.927 -170.3653
2760.000000 97.670 -174.3741
2800.000000 97.331 -178.0430
2850.000000 96.813 178.0489
2900.000000 96.216 175.0275
2950.000000 95.589 173.1103
3000.000000 95.021 172.0961
3040.000000 94.614 171.4362
3070.000000 94.300 170.9871
3110.000000 93.851 170.7611
3150.000000 93.409 171.1760
3200.000000 92.931 172.4592
3250.000000 92.573 174.2384
3300.000000 92.342 176.1428
3350.000000 92.214 177.8371
3400.000000 92.145 179.2239
3450.000000 92.116 -179.5964
3500.000000 92.128 -178.6635
3550.000000 92.167 -178.0695
3600.000000 92.212 -177.8217
3650.000000 92.246 -177.9053
3700.000000 92.249 -178.2831
3750.000000 92.197 -178.8449
3820.000000 92.002 -179.5007
3870.000000 91.791 -179.3800
3950.000000 91.523 -177.6566
4000.000000 91.483 -176.2742
4060.000000 91.523 -174.8768
4120.000000 91.625 -173.7819
4180.000000 91.769 -173.0966
4250.000000 91.943 -172.7771
4310.000000 92.105 -172.6635
4370.000000 92.310 -172.9464
4440.000000 92.522 -174.2405
4500.000000 92.600 -175.8482
4550.000000 92.588 -177.1777
4620.000000 92.491 -178.7680
4680.000000 92.358 -179.8201
4750.000000 92.171 179.3593
4820.000000 91.975 178.9926
4870.000000 91.842 178.9749
4940.000000 91.679 179.2084
5000.000000 91.563 179.6193
5080.000000 91.462 -179.5844
5150.000000 91.438 -178.8469
5220.000000 91.462 -178.2924
5300.000000 91.506 -177.9661
