* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Jan 8, 2025 10:27:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn HD280Pro L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.174 -104.9962
20.600000 91.279 -105.8059
20.900000 91.395 -106.6784
21.200001 91.511 -107.5542
21.400000 91.588 -108.1407
21.799999 91.740 -109.3247
22.000000 91.815 -109.9208
22.400000 91.962 -111.1097
22.700001 92.069 -111.9862
23.000000 92.174 -112.8421
23.299999 92.277 -113.6778
23.600000 92.381 -114.5004
24.000000 92.518 -115.5941
24.299999 92.618 -116.4208
24.700001 92.748 -117.5302
25.000000 92.840 -118.3583
25.400000 92.958 -119.4429
25.799999 93.074 -120.5016
26.200001 93.189 -121.5483
26.500000 93.275 -122.3374
26.900000 93.387 -123.4032
27.200001 93.468 -124.2097
27.600000 93.572 -125.2821
28.000000 93.674 -126.3412
28.500000 93.800 -127.6519
29.000000 93.927 -128.9733
29.500000 94.048 -130.3168
30.000000 94.161 -131.6620
30.400000 94.246 -132.7218
30.700001 94.309 -133.5060
31.100000 94.392 -134.5462
31.500000 94.476 -135.5930
32.000000 94.578 -136.9214
32.500000 94.675 -138.2643
33.000000 94.765 -139.6062
33.500000 94.851 -140.9423
34.000000 94.932 -142.2847
34.500000 95.009 -143.6521
35.000000 95.080 -145.0562
35.500000 95.140 -146.4883
36.000000 95.189 -147.9209
36.500000 95.226 -149.3267
37.000000 95.252 -150.6944
37.500000 95.262 -152.0100
38.200001 95.235 -153.6376
38.700001 95.198 -154.4879
39.500000 95.194 -155.2299
40.000000 95.272 -155.5964
40.599998 95.441 -156.3996
41.200001 95.628 -157.7880
41.799999 95.775 -159.6042
42.500000 95.881 -161.9091
43.099998 95.930 -163.8831
43.700001 95.955 -165.8272
44.400002 95.962 -168.0420
45.000000 95.953 -169.8685
45.500000 95.934 -171.3259
46.200001 95.890 -173.2477
46.799999 95.845 -174.7757
47.500000 95.797 -176.4619
48.200001 95.763 -178.1425
48.700001 95.739 -179.3827
49.400002 95.694 178.8163
50.000000 95.635 177.2269
50.799999 95.526 175.0722
51.500000 95.408 173.1998
52.200001 95.277 171.4167
53.000000 95.123 169.5826
53.799999 94.979 167.9777
54.500000 94.873 166.6520
55.200001 94.775 165.2497
56.000000 94.643 163.4894
57.000000 94.428 161.1464
58.000000 94.180 158.5515
59.000000 93.860 155.8336
60.000000 93.455 153.8110
60.799999 93.114 152.7734
61.500000 92.805 152.0490
62.200001 92.479 151.4832
63.000000 92.108 151.1215
64.000000 91.671 151.0958
65.000000 91.247 151.5558
66.000000 90.843 152.5126
67.000000 90.497 153.9937
68.000000 90.261 156.0225
69.000000 90.163 158.2433
70.000000 90.180 160.2913
71.000000 90.312 162.0687
72.000000 90.586 163.3236
73.000000 90.975 163.5259
74.000000 91.379 162.2585
75.000000 91.682 159.6223
76.199997 91.824 155.4006
77.500000 91.690 150.6042
78.800003 91.305 146.3584
80.000000 90.797 143.2175
81.199997 90.197 140.9931
82.500000 89.496 139.6664
83.800003 88.774 139.2677
85.000000 88.109 139.7405
86.199997 87.479 141.1351
87.500000 86.878 143.5855
88.500000 86.495 146.0338
90.000000 86.105 150.3421
91.199997 85.985 153.9133
92.500000 86.044 157.3007
93.800003 86.238 159.5782
95.000000 86.454 160.5002
96.199997 86.614 160.4248
97.500000 86.643 159.7283
98.800003 86.518 159.2421
100.000000 86.311 159.5930
101.500000 86.053 161.3918
103.000000 85.993 163.7098
104.400002 86.118 165.0454
106.000000 86.302 165.2088
107.500000 86.375 164.4392
109.000000 86.308 163.3392
110.599998 86.085 162.2655
112.000000 85.776 161.7639
113.800003 85.235 162.1340
115.000000 84.823 163.2748
117.199997 84.102 167.9044
118.000000 83.868 170.2322
120.599998 83.658 178.6044
122.000000 83.977 -176.7738
124.099998 84.620 -171.0918
125.000000 84.950 -169.2775
126.500000 85.554 -167.1075
128.000000 86.174 -165.9606
131.500000 87.533 -166.5148
132.000000 87.705 -166.9058
134.000000 88.315 -169.0061
136.000000 88.819 -171.6787
138.000000 89.243 -175.0203
140.000000 89.550 -179.1208
143.000000 89.639 173.9642
145.000000 89.384 169.7277
147.500000 88.824 165.8226
150.000000 88.236 163.7384
152.500000 87.641 163.4559
155.000000 87.089 164.5296
157.500000 86.694 166.2291
160.000000 86.455 167.9269
162.500000 86.381 169.2251
165.000000 86.331 170.0281
167.500000 86.234 170.5742
170.000000 86.112 171.4054
172.500000 86.023 172.5084
175.000000 85.976 173.3791
177.500000 85.957 173.8992
180.000000 85.915 174.3728
182.500000 85.857 174.8835
185.000000 85.795 175.3199
187.500000 85.727 176.0554
190.000000 85.708 177.0715
192.500000 85.728 177.9152
195.000000 85.726 178.5433
197.500000 85.701 179.2309
200.000000 85.688 -179.8888
203.000000 85.712 -179.0861
206.000000 85.750 -178.4881
209.000000 85.796 -177.8821
212.000000 85.821 -177.3352
214.000000 85.836 -176.9873
218.000000 85.874 -176.2481
220.000000 85.899 -175.9582
224.000000 85.956 -175.5525
227.000000 85.991 -175.2624
230.000000 86.013 -174.9783
233.000000 86.006 -174.6446
236.000000 85.976 -174.1359
240.000000 86.010 -173.2496
243.000000 86.105 -172.6631
247.000000 86.236 -172.4009
250.000000 86.297 -172.4443
254.000000 86.325 -172.4836
258.000000 86.321 -172.3191
262.000000 86.320 -171.9520
265.000000 86.321 -171.6435
269.000000 86.325 -171.2484
272.000000 86.327 -170.9111
276.000000 86.329 -170.3165
280.000000 86.342 -169.5516
285.000000 86.409 -168.3538
290.000000 86.577 -167.1689
295.000000 86.820 -166.6801
300.000000 87.033 -166.9651
304.000000 87.138 -167.3663
307.000000 87.187 -167.6436
311.000000 87.233 -167.9302
315.000000 87.272 -168.1659
320.000000 87.314 -168.4100
325.000000 87.353 -168.6167
330.000000 87.388 -168.8030
335.000000 87.415 -168.9853
340.000000 87.435 -169.1513
345.000000 87.450 -169.3101
350.000000 87.457 -169.4383
355.000000 87.458 -169.5291
360.000000 87.451 -169.5850
365.000000 87.438 -169.5782
370.000000 87.424 -169.4826
375.000000 87.409 -169.2807
382.000000 87.413 -168.7972
387.000000 87.457 -168.4134
395.000000 87.564 -168.2099
400.000000 87.614 -168.3423
406.000000 87.648 -168.5087
412.000000 87.667 -168.6079
418.000000 87.681 -168.6623
425.000000 87.697 -168.6611
431.000000 87.712 -168.6276
437.000000 87.734 -168.5583
444.000000 87.771 -168.5049
450.000000 87.804 -168.5648
455.000000 87.827 -168.6599
462.000000 87.849 -168.8074
468.000000 87.861 -168.9437
475.000000 87.863 -169.0947
482.000000 87.858 -169.2105
487.000000 87.853 -169.2662
494.000000 87.842 -169.3140
500.000000 87.833 -169.3316
508.000000 87.820 -169.3276
515.000000 87.811 -169.3060
522.000000 87.801 -169.2725
530.000000 87.788 -169.2165
538.000000 87.774 -169.1383
545.000000 87.765 -169.0473
552.000000 87.758 -168.9473
560.000000 87.750 -168.8389
570.000000 87.741 -168.7037
580.000000 87.730 -168.5510
590.000000 87.721 -168.3930
600.000000 87.712 -168.2068
608.000000 87.704 -168.0460
615.000000 87.699 -167.9053
622.000000 87.694 -167.7628
630.000000 87.689 -167.6000
640.000000 87.683 -167.3981
650.000000 87.676 -167.2024
660.000000 87.668 -167.0009
670.000000 87.659 -166.7809
680.000000 87.651 -166.5389
690.000000 87.644 -166.2836
700.000000 87.639 -166.0189
710.000000 87.635 -165.7497
720.000000 87.631 -165.4695
730.000000 87.626 -165.1697
740.000000 87.621 -164.8612
750.000000 87.620 -164.5386
762.000000 87.624 -164.1503
775.000000 87.630 -163.7505
788.000000 87.635 -163.3675
800.000000 87.638 -163.0012
812.000000 87.639 -162.6148
825.000000 87.639 -162.1814
838.000000 87.639 -161.6948
850.000000 87.641 -161.1877
862.000000 87.648 -160.6421
875.000000 87.664 -160.0196
885.000000 87.683 -159.5164
900.000000 87.729 -158.7028
912.000000 87.789 -158.1182
925.000000 87.854 -157.6693
938.000000 87.899 -157.2785
950.000000 87.928 -156.8540
962.000000 87.955 -156.3209
975.000000 87.991 -155.6010
988.000000 88.049 -154.7386
1000.000000 88.136 -153.8744
1015.000000 88.292 -152.8683
1030.000000 88.496 -152.1068
1044.000000 88.710 -151.7301
1060.000000 88.955 -151.7223
1075.000000 89.165 -152.0357
1090.000000 89.347 -152.5546
1106.000000 89.512 -153.2539
1120.000000 89.634 -153.9825
1138.000000 89.755 -155.0998
1150.000000 89.803 -155.9426
1172.000000 89.802 -157.4552
1180.000000 89.777 -157.8813
1206.000000 89.686 -158.6132
1220.000000 89.670 -158.8413
1241.000000 89.663 -159.4923
1250.000000 89.644 -159.8859
1265.000000 89.574 -160.5518
1280.000000 89.457 -161.0668
1315.000000 89.101 -160.9755
1320.000000 89.055 -160.8058
1340.000000 88.907 -159.8875
1360.000000 88.820 -158.8472
1380.000000 88.773 -157.8622
1400.000000 88.743 -156.9359
1430.000000 88.713 -155.5234
1450.000000 88.709 -154.4774
1475.000000 88.737 -153.0674
1500.000000 88.810 -151.6430
1525.000000 88.924 -150.2814
1550.000000 89.082 -149.0672
1575.000000 89.277 -148.1177
1600.000000 89.491 -147.6057
1625.000000 89.664 -147.5460
1650.000000 89.781 -147.4202
1675.000000 89.905 -147.1220
1700.000000 90.049 -146.9588
1725.000000 90.181 -147.0668
1750.000000 90.266 -147.3410
1775.000000 90.298 -147.4257
1800.000000 90.328 -147.1879
1825.000000 90.378 -146.8431
1850.000000 90.433 -146.5227
1875.000000 90.479 -146.2000
1900.000000 90.509 -145.7674
1925.000000 90.527 -145.0737
1950.000000 90.564 -143.9382
1975.000000 90.682 -142.4106
2000.000000 90.913 -140.9845
2030.000000 91.275 -140.0428
2060.000000 91.634 -139.8892
2090.000000 91.952 -140.2011
2120.000000 92.223 -140.7362
2140.000000 92.383 -141.1241
2180.000000 92.682 -141.8845
2200.000000 92.827 -142.3026
2240.000000 93.108 -143.2048
2270.000000 93.320 -143.9439
2300.000000 93.536 -144.8211
2330.000000 93.751 -145.8916
2360.000000 93.956 -147.1967
2400.000000 94.183 -149.3833
2430.000000 94.287 -151.2132
2470.000000 94.349 -153.4776
2500.000000 94.378 -155.0186
2540.000000 94.399 -157.1671
2580.000000 94.357 -159.4444
2620.000000 94.238 -161.6045
2650.000000 94.105 -163.0461
2690.000000 93.881 -164.6716
2720.000000 93.682 -165.6313
2760.000000 93.384 -166.4564
2800.000000 93.077 -166.7579
2850.000000 92.677 -166.4081
2900.000000 92.322 -164.7532
2950.000000 92.153 -162.1872
3000.000000 92.197 -159.7414
3040.000000 92.311 -158.3641
3070.000000 92.405 -157.5065
3110.000000 92.558 -156.4182
3150.000000 92.763 -155.5282
3200.000000 93.071 -154.9583
3250.000000 93.394 -155.0514
3300.000000 93.699 -155.7487
3350.000000 93.958 -156.9305
3400.000000 94.163 -158.4065
3450.000000 94.319 -160.0638
3500.000000 94.427 -161.8790
3550.000000 94.481 -163.8081
3600.000000 94.478 -165.7572
3650.000000 94.422 -167.6324
3700.000000 94.321 -169.4005
3750.000000 94.176 -171.0284
3820.000000 93.912 -172.9517
3870.000000 93.687 -174.1072
3950.000000 93.244 -175.4715
4000.000000 92.914 -175.8284
4060.000000 92.476 -175.4908
4120.000000 92.044 -173.7942
4180.000000 91.798 -170.6402
4250.000000 91.895 -167.0494
4310.000000 92.157 -165.4164
4370.000000 92.421 -165.0551
4440.000000 92.625 -165.6056
4500.000000 92.698 -166.2880
4550.000000 92.711 -166.7695
4620.000000 92.694 -167.2621
4680.000000 92.662 -167.5512
4750.000000 92.612 -167.7931
4820.000000 92.542 -167.9472
4870.000000 92.475 -167.9706
4940.000000 92.355 -167.7666
5000.000000 92.238 -167.1790
5080.000000 92.133 -165.6363
5150.000000 92.158 -163.8907
5220.000000 92.292 -162.2897
