* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Jan 8, 2025 10:24:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn HD280Pro R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.492 -111.2906
20.600000 91.586 -112.1740
20.900000 91.690 -113.1306
21.200001 91.794 -114.0945
21.400000 91.862 -114.7402
21.799999 91.998 -116.0396
22.000000 92.066 -116.6911
22.400000 92.198 -117.9874
22.700001 92.293 -118.9435
23.000000 92.385 -119.8783
23.299999 92.475 -120.7897
23.600000 92.562 -121.6800
24.000000 92.675 -122.8457
24.299999 92.758 -123.7139
24.700001 92.865 -124.8755
25.000000 92.943 -125.7540
25.400000 93.042 -126.9347
25.799999 93.137 -128.1216
26.200001 93.229 -129.3092
26.500000 93.296 -130.1984
26.900000 93.383 -131.3808
27.200001 93.447 -132.2641
27.600000 93.529 -133.4335
28.000000 93.609 -134.5873
28.500000 93.705 -136.0011
29.000000 93.799 -137.3896
29.500000 93.890 -138.7731
30.000000 93.974 -140.1676
30.400000 94.035 -141.2894
30.700001 94.077 -142.1291
31.100000 94.128 -143.2420
31.500000 94.177 -144.3475
32.000000 94.235 -145.7286
32.500000 94.292 -147.1174
33.000000 94.344 -148.5083
33.500000 94.392 -149.8887
34.000000 94.437 -151.2548
34.500000 94.477 -152.6146
35.000000 94.510 -153.9751
35.500000 94.532 -155.3342
36.000000 94.544 -156.6839
36.500000 94.546 -158.0168
37.000000 94.540 -159.3274
37.500000 94.528 -160.6113
38.200001 94.500 -162.3507
38.700001 94.467 -163.5126
39.500000 94.396 -165.0481
40.000000 94.365 -165.7370
40.599998 94.379 -166.4353
41.200001 94.453 -167.3405
41.799999 94.542 -168.6908
42.500000 94.597 -170.6867
43.099998 94.590 -172.4437
43.700001 94.549 -174.0790
44.400002 94.479 -175.8330
45.000000 94.402 -177.2183
45.500000 94.331 -178.2719
46.200001 94.240 -179.5949
46.799999 94.186 179.3516
47.500000 94.153 178.0983
48.200001 94.132 176.7338
48.700001 94.105 175.7079
49.400002 94.042 174.2826
50.000000 93.974 173.0771
50.799999 93.878 171.3163
51.500000 93.779 169.5506
52.200001 93.652 167.7507
53.000000 93.491 165.9153
53.799999 93.327 164.3303
54.500000 93.175 163.0304
55.200001 93.006 161.7372
56.000000 92.796 160.2540
57.000000 92.511 158.4776
58.000000 92.173 157.0392
59.000000 91.795 156.0156
60.000000 91.413 155.0305
60.799999 91.100 154.3141
61.500000 90.831 153.9631
62.200001 90.572 153.8948
63.000000 90.281 154.0724
64.000000 89.928 154.5798
65.000000 89.612 155.3906
66.000000 89.346 156.7122
67.000000 89.173 158.4951
68.000000 89.128 160.1598
69.000000 89.188 161.1937
70.000000 89.279 161.5309
71.000000 89.329 161.4288
72.000000 89.324 161.2290
73.000000 89.311 161.2384
74.000000 89.363 161.4348
75.000000 89.516 161.3300
76.199997 89.762 159.9326
77.500000 89.905 156.7145
78.800003 89.778 152.7742
80.000000 89.422 149.4194
81.199997 88.902 146.7747
82.500000 88.234 145.0071
83.800003 87.535 144.4665
85.000000 86.890 144.8613
86.199997 86.266 146.0745
87.500000 85.646 148.3425
88.500000 85.234 150.7389
90.000000 84.782 155.0756
91.199997 84.602 158.8657
92.500000 84.588 162.8268
93.800003 84.731 166.0399
95.000000 84.931 167.8516
96.199997 85.090 168.6991
97.500000 85.159 169.1475
98.800003 85.130 169.9245
100.000000 85.104 171.3408
101.500000 85.189 173.3733
103.000000 85.424 174.6243
104.400002 85.703 174.5698
106.000000 85.895 172.9807
107.500000 85.825 170.8741
109.000000 85.505 169.2709
110.599998 84.979 169.1038
112.000000 84.488 170.5807
113.800003 83.989 174.3150
115.000000 83.789 177.4250
117.199997 83.658 -176.5997
118.000000 83.692 -174.4268
120.599998 84.245 -167.7625
122.000000 84.694 -164.9659
124.099998 85.426 -162.1141
125.000000 85.748 -161.3727
126.500000 86.284 -160.7191
128.000000 86.809 -160.7502
131.500000 87.871 -163.1489
132.000000 88.000 -163.7093
134.000000 88.453 -166.3128
136.000000 88.787 -169.3282
138.000000 88.995 -172.5804
140.000000 89.081 -175.8447
143.000000 88.996 179.4797
145.000000 88.818 176.8438
147.500000 88.489 174.2438
150.000000 88.094 172.3463
152.500000 87.726 171.2684
155.000000 87.382 171.3307
157.500000 87.054 171.5503
160.000000 86.759 172.0396
162.500000 86.549 172.9055
165.000000 86.382 173.7220
167.500000 86.208 174.3560
170.000000 86.042 175.1417
172.500000 85.894 176.1335
175.000000 85.750 177.2230
177.500000 85.642 178.3943
180.000000 85.570 179.6276
182.500000 85.518 -178.8937
185.000000 85.499 -177.3646
187.500000 85.539 -175.9836
190.000000 85.646 -174.8596
192.500000 85.749 -174.0653
195.000000 85.820 -173.5395
197.500000 85.875 -172.9990
200.000000 85.911 -172.4760
203.000000 85.950 -171.9353
206.000000 86.032 -171.5248
209.000000 86.102 -171.0080
212.000000 86.162 -170.4182
214.000000 86.204 -170.0920
218.000000 86.296 -169.5866
220.000000 86.350 -169.4482
224.000000 86.451 -169.3335
227.000000 86.509 -169.2233
230.000000 86.555 -169.1331
233.000000 86.594 -169.0398
236.000000 86.634 -168.9402
240.000000 86.672 -168.6974
243.000000 86.690 -168.4540
247.000000 86.714 -168.1944
250.000000 86.725 -167.9967
254.000000 86.742 -167.6107
258.000000 86.774 -167.0410
262.000000 86.829 -166.4137
265.000000 86.891 -165.9995
269.000000 86.991 -165.5620
272.000000 87.069 -165.3386
276.000000 87.165 -165.2054
280.000000 87.244 -165.1759
285.000000 87.333 -165.1077
290.000000 87.426 -164.9896
295.000000 87.522 -164.9163
300.000000 87.615 -164.9807
304.000000 87.684 -165.0467
307.000000 87.736 -165.1025
311.000000 87.802 -165.2201
315.000000 87.860 -165.3965
320.000000 87.925 -165.6437
325.000000 87.981 -165.8934
330.000000 88.030 -166.1396
335.000000 88.073 -166.4075
340.000000 88.107 -166.7080
345.000000 88.129 -167.0187
350.000000 88.139 -167.2901
355.000000 88.140 -167.5206
360.000000 88.138 -167.6911
365.000000 88.131 -167.8120
370.000000 88.118 -167.8636
375.000000 88.105 -167.8204
382.000000 88.105 -167.6054
387.000000 88.128 -167.3915
395.000000 88.200 -167.2113
400.000000 88.250 -167.2818
406.000000 88.298 -167.4745
412.000000 88.331 -167.7251
418.000000 88.345 -167.9975
425.000000 88.346 -168.2825
431.000000 88.338 -168.4507
437.000000 88.326 -168.5432
444.000000 88.311 -168.5808
450.000000 88.303 -168.5610
455.000000 88.301 -168.5150
462.000000 88.307 -168.4481
468.000000 88.319 -168.4279
475.000000 88.334 -168.4571
482.000000 88.340 -168.5142
487.000000 88.341 -168.5609
494.000000 88.339 -168.6123
500.000000 88.336 -168.6356
508.000000 88.331 -168.6534
515.000000 88.325 -168.6460
522.000000 88.322 -168.6326
530.000000 88.317 -168.6173
538.000000 88.310 -168.6027
545.000000 88.300 -168.5854
552.000000 88.289 -168.5435
560.000000 88.276 -168.4703
570.000000 88.263 -168.3466
580.000000 88.253 -168.1929
590.000000 88.246 -168.0347
600.000000 88.239 -167.8825
608.000000 88.234 -167.7650
615.000000 88.229 -167.6511
622.000000 88.224 -167.5198
630.000000 88.219 -167.3591
640.000000 88.216 -167.1591
650.000000 88.212 -166.9677
660.000000 88.206 -166.7677
670.000000 88.199 -166.5244
680.000000 88.195 -166.2408
690.000000 88.194 -165.9463
700.000000 88.194 -165.6377
710.000000 88.196 -165.2919
720.000000 88.205 -164.8946
730.000000 88.219 -164.4505
740.000000 88.247 -163.9616
750.000000 88.296 -163.4596
762.000000 88.386 -162.9424
775.000000 88.506 -162.6013
788.000000 88.631 -162.5219
800.000000 88.744 -162.6275
812.000000 88.854 -162.8972
825.000000 88.968 -163.4322
838.000000 89.063 -164.2891
850.000000 89.112 -165.4182
862.000000 89.089 -166.8571
875.000000 88.932 -168.5014
885.000000 88.706 -169.4412
900.000000 88.256 -169.4687
912.000000 87.933 -168.0412
925.000000 87.753 -165.6615
938.000000 87.760 -163.4088
950.000000 87.858 -161.9205
962.000000 87.978 -160.9728
975.000000 88.094 -160.3457
988.000000 88.182 -159.9467
1000.000000 88.241 -159.6397
1015.000000 88.296 -159.1992
1030.000000 88.351 -158.6522
1044.000000 88.416 -158.1206
1060.000000 88.507 -157.5822
1075.000000 88.603 -157.1861
1090.000000 88.703 -156.9138
1106.000000 88.810 -156.7649
1120.000000 88.896 -156.7494
1138.000000 88.991 -156.8518
1150.000000 89.042 -156.9799
1172.000000 89.104 -157.2948
1180.000000 89.116 -157.4135
1206.000000 89.121 -157.6759
1220.000000 89.113 -157.7062
1241.000000 89.093 -157.6806
1250.000000 89.079 -157.6373
1265.000000 89.055 -157.4826
1280.000000 89.034 -157.2446
1315.000000 88.999 -156.5534
1320.000000 88.995 -156.4354
1340.000000 88.982 -155.9198
1360.000000 88.978 -155.3578
1380.000000 88.983 -154.7600
1400.000000 88.995 -154.1323
1430.000000 89.030 -153.1732
1450.000000 89.062 -152.5562
1475.000000 89.104 -151.8250
1500.000000 89.137 -151.0780
1525.000000 89.161 -150.1806
1550.000000 89.205 -148.9527
1575.000000 89.337 -147.5508
1600.000000 89.546 -146.8230
1625.000000 89.666 -146.8548
1650.000000 89.687 -146.4079
1675.000000 89.740 -145.3791
1700.000000 89.855 -144.2899
1725.000000 90.007 -143.3511
1750.000000 90.176 -142.5877
1775.000000 90.351 -141.9900
1800.000000 90.522 -141.5494
1825.000000 90.678 -141.2167
1850.000000 90.814 -140.9014
1875.000000 90.934 -140.5010
1900.000000 91.052 -139.9381
1925.000000 91.187 -139.2197
1950.000000 91.349 -138.4254
1975.000000 91.542 -137.5932
2000.000000 91.777 -136.8163
2030.000000 92.096 -136.2198
2060.000000 92.412 -135.9327
2090.000000 92.728 -135.7429
2120.000000 93.065 -135.6508
2140.000000 93.303 -135.7166
2180.000000 93.788 -136.3027
2200.000000 94.021 -136.8134
2240.000000 94.453 -138.0721
2270.000000 94.760 -139.1244
2300.000000 95.063 -140.2939
2330.000000 95.366 -141.6173
2360.000000 95.669 -143.1902
2400.000000 96.036 -145.7616
2430.000000 96.272 -147.9539
2470.000000 96.522 -151.1558
2500.000000 96.656 -153.7004
2540.000000 96.760 -157.1722
2580.000000 96.781 -160.6647
2620.000000 96.711 -164.0445
2650.000000 96.606 -166.3975
2690.000000 96.416 -169.2510
2720.000000 96.238 -171.2020
2760.000000 95.948 -173.4962
2800.000000 95.607 -175.2836
2850.000000 95.141 -176.6819
2900.000000 94.672 -177.0037
2950.000000 94.275 -176.1844
3000.000000 94.051 -174.5403
3040.000000 94.032 -173.2876
3070.000000 94.078 -172.7468
3110.000000 94.152 -172.5777
3150.000000 94.199 -172.7029
3200.000000 94.250 -172.8844
3250.000000 94.334 -173.1800
3300.000000 94.457 -173.9511
3350.000000 94.538 -175.5456
3400.000000 94.478 -177.4057
3450.000000 94.325 -178.7206
3500.000000 94.176 -179.5043
3550.000000 94.065 179.8474
3600.000000 93.970 179.0851
3650.000000 93.863 178.1703
3700.000000 93.720 177.1464
3750.000000 93.519 176.1852
3820.000000 93.171 175.5769
3870.000000 92.959 175.5981
3950.000000 92.646 175.4964
4000.000000 92.420 175.6009
4060.000000 92.146 176.2159
4120.000000 91.930 177.2181
4180.000000 91.756 178.1727
4250.000000 91.557 179.5587
4310.000000 91.453 -178.8591
4370.000000 91.444 -177.3963
4440.000000 91.477 -176.3062
4500.000000 91.482 -175.6273
4550.000000 91.477 -175.0374
4620.000000 91.480 -174.1536
4680.000000 91.502 -173.4287
4750.000000 91.541 -172.7119
4820.000000 91.581 -172.1568
4870.000000 91.603 -171.8381
4940.000000 91.613 -171.4527
5000.000000 91.594 -171.0884
5080.000000 91.531 -170.3170
5150.000000 91.462 -169.0993
5220.000000 91.445 -167.1836
5300.000000 91.588 -164.5046
