* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Aug 17, 2024 7:14:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn HD 490 Pro MP L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.107 -101.0393
20.600000 80.162 -101.8431
20.900000 80.227 -102.6793
21.200001 80.306 -103.4847
21.400000 80.366 -104.0105
21.799999 80.504 -105.0486
22.000000 80.575 -105.5576
22.400000 80.710 -106.5286
22.700001 80.801 -107.1972
23.000000 80.883 -107.8152
23.299999 80.957 -108.4031
23.600000 81.025 -108.9901
24.000000 81.111 -109.8132
24.299999 81.175 -110.4722
24.700001 81.262 -111.3969
25.000000 81.334 -112.1126
25.400000 81.437 -113.0835
25.799999 81.543 -114.0608
26.200001 81.643 -115.0150
26.500000 81.709 -115.6870
26.900000 81.785 -116.4935
27.200001 81.839 -117.0326
27.600000 81.915 -117.7126
28.000000 82.000 -118.4349
28.500000 82.106 -119.4940
29.000000 82.193 -120.6798
29.500000 82.254 -121.8101
30.000000 82.306 -122.7606
30.400000 82.350 -123.4225
30.700001 82.381 -123.9059
31.100000 82.412 -124.5591
31.500000 82.419 -125.1922
32.000000 82.402 -125.8533
32.500000 82.396 -126.3480
33.000000 82.441 -126.8603
33.500000 82.533 -127.6237
34.000000 82.635 -128.6396
34.500000 82.719 -129.6559
35.000000 82.788 -130.4239
35.500000 82.863 -130.9393
36.000000 82.948 -131.4060
36.500000 83.021 -132.0074
37.000000 83.066 -132.7635
37.500000 83.087 -133.5881
38.200001 83.102 -134.7208
38.700001 83.111 -135.4641
39.500000 83.116 -136.4534
40.000000 83.122 -136.9565
40.599998 83.140 -137.5316
41.200001 83.171 -138.1041
41.799999 83.214 -138.6110
42.500000 83.272 -139.1193
43.099998 83.312 -139.6237
43.700001 83.330 -140.2978
44.400002 83.347 -141.2849
45.000000 83.388 -142.1835
45.500000 83.440 -142.8563
46.200001 83.503 -143.5877
46.799999 83.502 -144.1102
47.500000 83.424 -144.8440
48.200001 83.359 -145.9738
48.700001 83.396 -147.1718
49.400002 83.544 -149.2863
50.000000 83.636 -150.8589
50.799999 83.579 -151.3103
51.500000 83.440 -150.2824
52.200001 83.309 -149.3924
53.000000 83.156 -149.4752
53.799999 83.036 -149.8121
54.500000 83.018 -149.6721
55.200001 83.047 -149.3162
56.000000 83.067 -149.0011
57.000000 83.088 -148.8897
58.000000 83.168 -148.8798
59.000000 83.280 -148.7937
60.000000 83.389 -148.8869
60.799999 83.490 -149.1987
61.500000 83.593 -149.5972
62.200001 83.683 -150.0345
63.000000 83.738 -150.4852
64.000000 83.762 -151.0827
65.000000 83.797 -152.0085
66.000000 83.848 -152.8659
67.000000 83.904 -153.2995
68.000000 83.918 -153.8961
69.000000 83.868 -154.7919
70.000000 83.870 -155.4197
71.000000 83.963 -155.8412
72.000000 84.025 -156.3160
73.000000 84.023 -156.8104
74.000000 84.015 -157.3385
75.000000 84.020 -157.8591
76.199997 84.013 -158.4841
77.500000 83.999 -159.2159
78.800003 83.998 -159.8463
80.000000 83.985 -160.2112
81.199997 83.977 -160.6678
82.500000 83.971 -161.4028
83.800003 83.968 -161.9345
85.000000 83.957 -162.3085
86.199997 83.928 -162.7500
87.500000 83.895 -163.2496
88.500000 83.873 -163.6350
90.000000 83.851 -164.1881
91.199997 83.847 -164.6446
92.500000 83.825 -165.1653
93.800003 83.776 -165.6344
95.000000 83.721 -165.9731
96.199997 83.663 -166.2993
97.500000 83.614 -166.7889
98.800003 83.567 -167.1996
100.000000 83.518 -167.0864
101.500000 83.465 -166.8128
103.000000 83.414 -166.8315
104.400002 83.374 -166.8876
106.000000 83.340 -166.8535
107.500000 83.318 -166.8029
109.000000 83.302 -166.7694
110.599998 83.295 -166.7519
112.000000 83.290 -166.7705
113.800003 83.292 -166.8522
115.000000 83.296 -166.9510
117.199997 83.255 -166.9948
118.000000 83.232 -167.0108
120.599998 83.195 -167.0025
122.000000 83.217 -166.8731
124.099998 83.250 -166.8004
125.000000 83.256 -166.7965
126.500000 83.264 -166.7901
128.000000 83.281 -166.8265
131.500000 83.330 -166.6919
132.000000 83.334 -166.7173
134.000000 83.339 -167.1161
136.000000 83.340 -167.4796
138.000000 83.324 -167.6395
140.000000 83.307 -167.8100
143.000000 83.320 -168.1036
145.000000 83.312 -168.2415
147.500000 83.287 -168.4874
150.000000 83.251 -168.6895
152.500000 83.246 -168.7249
155.000000 83.256 -168.7368
157.500000 83.244 -168.7689
160.000000 83.221 -168.7896
162.500000 83.191 -168.8364
165.000000 83.185 -169.0375
167.500000 83.189 -169.4147
170.000000 83.176 -170.0216
172.500000 83.150 -169.7873
175.000000 83.137 -169.5225
177.500000 83.150 -169.5355
180.000000 83.157 -169.7597
182.500000 83.151 -169.9173
185.000000 83.106 -169.6872
187.500000 83.065 -169.5119
190.000000 83.034 -169.3407
192.500000 83.011 -169.2038
195.000000 82.982 -168.9846
197.500000 82.940 -168.6595
200.000000 82.905 -168.2060
203.000000 82.911 -167.9952
206.000000 82.951 -168.0723
209.000000 82.971 -167.9676
212.000000 82.984 -167.7469
214.000000 82.995 -167.5964
218.000000 83.009 -167.3709
220.000000 83.013 -167.2491
224.000000 83.050 -167.1992
227.000000 83.076 -167.2116
230.000000 83.097 -167.2062
233.000000 83.121 -167.1697
236.000000 83.151 -167.1443
240.000000 83.188 -167.1959
243.000000 83.203 -167.1017
247.000000 83.209 -166.9636
250.000000 83.204 -166.9174
254.000000 83.225 -166.9474
258.000000 83.265 -166.9600
262.000000 83.292 -166.8935
265.000000 83.305 -166.8741
269.000000 83.314 -166.9583
272.000000 83.325 -167.0130
276.000000 83.353 -166.9707
280.000000 83.370 -166.9488
285.000000 83.379 -166.9893
290.000000 83.396 -167.0042
295.000000 83.420 -166.9448
300.000000 83.430 -167.0413
304.000000 83.432 -167.1403
307.000000 83.432 -167.1994
311.000000 83.426 -167.2703
315.000000 83.419 -167.2374
320.000000 83.416 -166.9728
325.000000 83.411 -166.7597
330.000000 83.427 -166.6220
335.000000 83.460 -166.5656
340.000000 83.466 -166.5692
345.000000 83.476 -166.4893
350.000000 83.495 -166.3576
355.000000 83.513 -166.2612
360.000000 83.532 -166.1944
365.000000 83.557 -166.1496
370.000000 83.573 -166.1460
375.000000 83.590 -166.1067
382.000000 83.617 -165.9939
387.000000 83.632 -165.9292
395.000000 83.657 -165.7846
400.000000 83.677 -165.6657
406.000000 83.711 -165.5654
412.000000 83.751 -165.5395
418.000000 83.790 -165.5579
425.000000 83.824 -165.6123
431.000000 83.841 -165.6624
437.000000 83.859 -165.7047
444.000000 83.882 -165.7093
450.000000 83.904 -165.7598
455.000000 83.920 -165.8176
462.000000 83.939 -165.8653
468.000000 83.954 -165.9306
475.000000 83.967 -166.0363
482.000000 83.980 -166.1234
487.000000 83.985 -166.1600
494.000000 83.994 -166.1754
500.000000 84.014 -166.1441
508.000000 84.049 -166.1947
515.000000 84.079 -166.3447
522.000000 84.103 -166.5418
530.000000 84.119 -166.8474
538.000000 84.128 -167.1919
545.000000 84.125 -167.5559
552.000000 84.107 -167.9357
560.000000 84.069 -168.4260
570.000000 83.987 -169.1303
580.000000 83.830 -169.8658
590.000000 83.576 -170.1334
600.000000 83.288 -169.4118
608.000000 83.112 -168.0969
615.000000 83.032 -166.7558
622.000000 83.009 -165.5047
630.000000 83.020 -164.2286
640.000000 83.080 -162.7816
650.000000 83.174 -161.6726
660.000000 83.269 -160.7837
670.000000 83.374 -159.9921
680.000000 83.485 -159.4068
690.000000 83.586 -158.9270
700.000000 83.683 -158.5150
710.000000 83.772 -158.1774
720.000000 83.858 -157.8341
730.000000 83.948 -157.5440
740.000000 84.031 -157.3189
750.000000 84.111 -157.0968
762.000000 84.213 -156.8692
775.000000 84.313 -156.6593
788.000000 84.416 -156.4638
800.000000 84.508 -156.3352
812.000000 84.597 -156.1578
825.000000 84.709 -156.0120
838.000000 84.818 -156.1006
850.000000 84.897 -156.2112
862.000000 84.971 -156.2381
875.000000 85.057 -156.3019
885.000000 85.120 -156.4440
900.000000 85.177 -156.6661
912.000000 85.221 -156.6062
925.000000 85.291 -156.5977
938.000000 85.357 -156.6569
950.000000 85.414 -156.7053
962.000000 85.475 -156.7709
975.000000 85.538 -156.8805
988.000000 85.591 -156.9796
1000.000000 85.645 -157.0243
1015.000000 85.708 -157.2072
1030.000000 85.746 -157.2673
1044.000000 85.804 -157.1391
1060.000000 85.908 -157.1192
1075.000000 86.007 -157.3705
1090.000000 86.080 -157.7290
1106.000000 86.144 -158.0869
1120.000000 86.190 -158.4205
1138.000000 86.232 -158.8152
1150.000000 86.251 -159.0000
1172.000000 86.311 -159.1712
1180.000000 86.342 -159.2821
1206.000000 86.409 -159.8410
1220.000000 86.449 -159.9450
1241.000000 86.548 -160.5923
1250.000000 86.561 -161.0609
1265.000000 86.538 -161.6790
1280.000000 86.504 -162.0088
1315.000000 86.416 -162.5688
1320.000000 86.400 -162.6104
1340.000000 86.323 -162.5300
1360.000000 86.322 -161.8041
1380.000000 86.411 -161.8502
1400.000000 86.391 -162.3437
1430.000000 86.329 -161.6847
1450.000000 86.401 -161.0949
1475.000000 86.550 -161.1006
1500.000000 86.614 -161.5556
1525.000000 86.709 -161.6103
1550.000000 86.810 -162.4937
1575.000000 86.823 -163.5936
1600.000000 86.707 -164.6767
1625.000000 86.542 -164.6951
1650.000000 86.479 -164.4590
1675.000000 86.369 -164.6904
1700.000000 86.191 -163.8010
1725.000000 86.222 -161.9008
1750.000000 86.422 -161.4241
1775.000000 86.509 -161.7213
1800.000000 86.596 -161.6950
1825.000000 86.712 -162.5039
1850.000000 86.642 -163.8786
1875.000000 86.465 -164.0976
1900.000000 86.376 -164.0090
1925.000000 86.232 -164.4157
1950.000000 85.960 -164.0555
1975.000000 85.733 -162.4389
2000.000000 85.615 -160.5053
2030.000000 85.593 -157.5640
2060.000000 85.848 -154.7207
2090.000000 86.166 -153.9670
2120.000000 86.321 -153.6603
2140.000000 86.406 -153.1820
2180.000000 86.639 -152.3423
2200.000000 86.727 -152.2463
2240.000000 86.829 -151.3681
2270.000000 86.988 -150.2202
2300.000000 87.211 -149.4288
2330.000000 87.432 -148.9686
2360.000000 87.645 -148.3853
2400.000000 88.074 -147.6951
2430.000000 88.390 -148.3355
2470.000000 88.690 -149.3198
2500.000000 88.892 -150.1065
2540.000000 89.129 -151.2415
2580.000000 89.294 -152.6738
2620.000000 89.397 -153.4050
2650.000000 89.533 -153.9453
2690.000000 89.678 -154.8460
2720.000000 89.809 -155.4479
2760.000000 89.979 -156.6442
2800.000000 90.117 -157.9300
2850.000000 90.249 -159.8931
2900.000000 90.255 -161.9216
2950.000000 90.172 -163.2372
3000.000000 90.102 -163.6597
3040.000000 90.154 -163.5742
3070.000000 90.254 -163.8339
3110.000000 90.371 -164.7201
3150.000000 90.453 -165.7312
3200.000000 90.512 -167.1920
3250.000000 90.527 -168.4140
3300.000000 90.571 -169.6573
3350.000000 90.573 -171.2956
3400.000000 90.494 -172.8282
3450.000000 90.368 -173.9926
3500.000000 90.254 -174.6298
3550.000000 90.202 -175.3458
3600.000000 90.107 -176.4626
3650.000000 89.921 -177.3045
3700.000000 89.720 -177.4313
3750.000000 89.565 -177.1663
3820.000000 89.402 -176.5742
3870.000000 89.293 -175.7874
3950.000000 89.278 -173.4322
4000.000000 89.483 -171.6829
4060.000000 89.969 -170.8517
4120.000000 90.498 -172.4261
4180.000000 90.805 -175.9434
4250.000000 90.768 179.4878
4310.000000 90.450 176.3471
4370.000000 89.981 174.7700
4440.000000 89.462 175.1826
4500.000000 89.210 176.5099
4550.000000 89.105 177.4634
4620.000000 88.994 178.4951
4680.000000 88.894 179.5797
4750.000000 88.848 -178.5588
4820.000000 88.945 -176.5545
4870.000000 89.089 -175.3918
4940.000000 89.333 -174.2118
5000.000000 89.570 -173.4069
