* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Aug 17, 2024 7:09:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn HD 490 Pro MP R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.482 -101.5894
20.600000 79.555 -102.5769
20.900000 79.631 -103.5400
21.200001 79.712 -104.3436
21.400000 79.773 -104.7945
21.799999 79.917 -105.5845
22.000000 79.995 -105.9731
22.400000 80.148 -106.8236
22.700001 80.246 -107.5402
23.000000 80.325 -108.3018
23.299999 80.388 -109.0767
23.600000 80.444 -109.8416
24.000000 80.522 -110.8353
24.299999 80.590 -111.5665
24.700001 80.694 -112.5286
25.000000 80.780 -113.2357
25.400000 80.893 -114.1466
25.799999 80.996 -115.0168
26.200001 81.080 -115.8541
26.500000 81.130 -116.4637
26.900000 81.180 -117.2459
27.200001 81.214 -117.8053
27.600000 81.273 -118.5313
28.000000 81.362 -119.2961
28.500000 81.513 -120.4272
29.000000 81.666 -121.7649
29.500000 81.768 -123.0867
30.000000 81.812 -124.1070
30.400000 81.835 -124.6831
30.700001 81.861 -125.0811
31.100000 81.914 -125.7573
31.500000 81.972 -126.7344
32.000000 82.017 -128.2711
32.500000 82.023 -129.7032
33.000000 82.037 -130.6077
33.500000 82.112 -131.0302
34.000000 82.239 -131.3889
34.500000 82.355 -132.0034
35.000000 82.410 -132.8554
35.500000 82.408 -133.7734
36.000000 82.388 -134.6738
36.500000 82.381 -135.5776
37.000000 82.389 -136.4775
37.500000 82.403 -137.2937
38.200001 82.420 -138.1903
38.700001 82.420 -138.6851
39.500000 82.390 -139.3214
40.000000 82.373 -139.6657
40.599998 82.388 -140.1432
41.200001 82.447 -140.8112
41.799999 82.528 -141.6251
42.500000 82.612 -142.4849
43.099998 82.672 -143.0140
43.700001 82.730 -143.5191
44.400002 82.782 -144.4106
45.000000 82.794 -145.3786
45.500000 82.794 -146.1086
46.200001 82.810 -146.8835
46.799999 82.820 -147.4595
47.500000 82.782 -148.0587
48.200001 82.780 -148.7642
48.700001 82.865 -149.8779
49.400002 83.001 -152.6264
50.000000 82.979 -155.0599
50.799999 82.764 -155.9123
51.500000 82.642 -154.4970
52.200001 82.608 -153.3172
53.000000 82.484 -153.2473
53.799999 82.344 -153.5950
54.500000 82.326 -153.9933
55.200001 82.338 -154.4267
56.000000 82.309 -154.5344
57.000000 82.265 -154.2320
58.000000 82.275 -154.2875
59.000000 82.324 -154.5895
60.000000 82.374 -154.7093
60.799999 82.391 -154.7153
61.500000 82.393 -154.7995
62.200001 82.401 -155.0458
63.000000 82.424 -155.4775
64.000000 82.461 -155.7993
65.000000 82.525 -155.7700
66.000000 82.590 -156.0281
67.000000 82.610 -156.6364
68.000000 82.572 -157.3145
69.000000 82.480 -157.6224
70.000000 82.480 -157.6334
71.000000 82.583 -158.2159
72.000000 82.645 -158.9912
73.000000 82.671 -159.4833
74.000000 82.692 -160.0144
75.000000 82.709 -160.5600
76.199997 82.712 -161.0221
77.500000 82.679 -161.4346
78.800003 82.660 -161.9654
80.000000 82.666 -162.4061
81.199997 82.659 -162.7509
82.500000 82.633 -163.1620
83.800003 82.614 -163.6615
85.000000 82.603 -164.1176
86.199997 82.583 -164.5175
87.500000 82.558 -164.8010
88.500000 82.548 -165.0003
90.000000 82.533 -165.4674
91.199997 82.506 -165.8980
92.500000 82.477 -166.2426
93.800003 82.462 -166.5987
95.000000 82.440 -166.8992
96.199997 82.406 -167.0615
97.500000 82.344 -167.3210
98.800003 82.284 -167.6640
100.000000 82.273 -168.0695
101.500000 82.253 -168.5606
103.000000 82.198 -168.9434
104.400002 82.115 -169.1968
106.000000 82.016 -169.1976
107.500000 81.958 -168.9665
109.000000 81.921 -168.7350
110.599998 81.884 -168.6124
112.000000 81.855 -168.6007
113.800003 81.818 -168.7041
115.000000 81.794 -168.6994
117.199997 81.763 -168.2736
118.000000 81.750 -168.1079
120.599998 81.738 -167.7171
122.000000 81.767 -167.7014
124.099998 81.790 -167.7250
125.000000 81.792 -167.7502
126.500000 81.791 -167.7888
128.000000 81.787 -167.7957
131.500000 81.783 -167.2566
132.000000 81.781 -167.2204
134.000000 81.765 -167.4316
136.000000 81.769 -167.5630
138.000000 81.787 -167.5093
140.000000 81.792 -167.4224
143.000000 81.745 -167.2888
145.000000 81.731 -167.3603
147.500000 81.731 -167.5268
150.000000 81.690 -167.6010
152.500000 81.666 -167.7532
155.000000 81.689 -167.7085
157.500000 81.701 -167.5903
160.000000 81.697 -167.5297
162.500000 81.674 -167.4108
165.000000 81.673 -167.2608
167.500000 81.648 -167.2943
170.000000 81.573 -167.4559
172.500000 81.623 -167.2791
175.000000 81.702 -166.9855
177.500000 81.729 -166.8351
180.000000 81.758 -166.9254
182.500000 81.778 -167.0899
185.000000 81.752 -166.7675
187.500000 81.734 -166.5672
190.000000 81.745 -166.4461
192.500000 81.751 -166.2891
195.000000 81.751 -166.1845
197.500000 81.753 -166.0856
200.000000 81.765 -165.7435
203.000000 81.773 -165.6107
206.000000 81.769 -165.7696
209.000000 81.770 -165.7689
212.000000 81.783 -165.7169
214.000000 81.794 -165.6627
218.000000 81.800 -165.4950
220.000000 81.796 -165.3819
224.000000 81.818 -165.2794
227.000000 81.836 -165.1970
230.000000 81.826 -165.1107
233.000000 81.818 -164.9842
236.000000 81.834 -164.8249
240.000000 81.858 -164.6127
243.000000 81.890 -164.3694
247.000000 81.916 -164.1892
250.000000 81.922 -164.0800
254.000000 81.945 -163.9937
258.000000 81.980 -163.9038
262.000000 82.012 -163.7539
265.000000 82.030 -163.6802
269.000000 82.040 -163.5553
272.000000 82.051 -163.4756
276.000000 82.082 -163.4556
280.000000 82.109 -163.3626
285.000000 82.131 -163.2722
290.000000 82.153 -163.1154
295.000000 82.188 -162.9399
300.000000 82.220 -162.8112
304.000000 82.251 -162.7158
307.000000 82.282 -162.6665
311.000000 82.313 -162.6079
315.000000 82.331 -162.6173
320.000000 82.364 -162.6826
325.000000 82.392 -162.5572
330.000000 82.423 -162.4019
335.000000 82.448 -162.2552
340.000000 82.462 -162.1255
345.000000 82.488 -162.1059
350.000000 82.520 -162.0523
355.000000 82.555 -162.0137
360.000000 82.583 -161.9970
365.000000 82.595 -161.8320
370.000000 82.614 -161.5782
375.000000 82.645 -161.4465
382.000000 82.688 -161.4016
387.000000 82.715 -161.3315
395.000000 82.767 -161.2149
400.000000 82.802 -161.1787
406.000000 82.845 -161.1256
412.000000 82.893 -161.0829
418.000000 82.939 -161.1309
425.000000 82.989 -161.2133
431.000000 83.028 -161.2603
437.000000 83.060 -161.3238
444.000000 83.097 -161.3798
450.000000 83.135 -161.4722
455.000000 83.165 -161.6068
462.000000 83.196 -161.7518
468.000000 83.221 -161.8831
475.000000 83.250 -162.1389
482.000000 83.275 -162.4743
487.000000 83.286 -162.7708
494.000000 83.279 -163.3066
500.000000 83.235 -163.8667
508.000000 83.096 -164.4532
515.000000 82.908 -164.3351
522.000000 82.742 -163.2661
530.000000 82.710 -161.4737
538.000000 82.838 -160.1741
545.000000 82.982 -159.7441
552.000000 83.099 -159.7153
560.000000 83.193 -159.8379
570.000000 83.275 -160.0126
580.000000 83.341 -160.2663
590.000000 83.401 -160.5714
600.000000 83.450 -161.0847
608.000000 83.463 -161.7021
615.000000 83.435 -162.4021
622.000000 83.349 -163.1308
630.000000 83.165 -163.7423
640.000000 82.850 -163.5185
650.000000 82.576 -161.8110
660.000000 82.491 -159.3036
670.000000 82.584 -157.1515
680.000000 82.755 -155.7199
690.000000 82.934 -154.8646
700.000000 83.093 -154.4491
710.000000 83.217 -154.1655
720.000000 83.326 -153.8749
730.000000 83.431 -153.6269
740.000000 83.534 -153.4118
750.000000 83.633 -153.2616
762.000000 83.741 -153.1833
775.000000 83.835 -153.1749
788.000000 83.918 -153.0342
800.000000 83.993 -152.9034
812.000000 84.064 -152.7462
825.000000 84.156 -152.5109
838.000000 84.263 -152.3896
850.000000 84.349 -152.3972
862.000000 84.420 -152.3474
875.000000 84.511 -152.1931
885.000000 84.590 -152.1609
900.000000 84.690 -152.2643
912.000000 84.763 -152.2816
925.000000 84.850 -152.3288
938.000000 84.926 -152.4639
950.000000 84.992 -152.5029
962.000000 85.069 -152.5600
975.000000 85.151 -152.7040
988.000000 85.232 -152.8921
1000.000000 85.296 -153.1847
1015.000000 85.344 -153.5978
1030.000000 85.353 -153.8353
1044.000000 85.363 -153.7610
1060.000000 85.414 -153.4324
1075.000000 85.520 -153.2271
1090.000000 85.633 -153.3398
1106.000000 85.751 -153.6111
1120.000000 85.841 -154.1246
1138.000000 85.884 -154.9402
1150.000000 85.870 -155.2795
1172.000000 85.872 -155.2300
1180.000000 85.899 -155.2225
1206.000000 85.962 -155.5872
1220.000000 85.983 -155.5811
1241.000000 86.059 -155.5224
1250.000000 86.101 -155.6388
1265.000000 86.146 -155.9854
1280.000000 86.169 -156.1527
1315.000000 86.284 -156.7785
1320.000000 86.290 -156.9338
1340.000000 86.271 -157.4474
1360.000000 86.234 -157.4440
1380.000000 86.266 -157.1105
1400.000000 86.351 -157.1231
1430.000000 86.451 -157.9036
1450.000000 86.426 -158.3939
1475.000000 86.427 -158.3802
1500.000000 86.459 -158.8438
1525.000000 86.393 -159.2650
1550.000000 86.343 -158.9625
1575.000000 86.378 -158.6408
1600.000000 86.420 -158.9394
1625.000000 86.342 -159.0815
1650.000000 86.333 -158.0262
1675.000000 86.538 -157.7465
1700.000000 86.592 -159.0482
1725.000000 86.463 -159.2177
1750.000000 86.487 -158.6485
1775.000000 86.512 -159.1917
1800.000000 86.410 -159.1536
1825.000000 86.409 -158.4260
1850.000000 86.486 -158.4644
1875.000000 86.423 -159.1797
1900.000000 86.243 -158.7331
1925.000000 86.180 -157.2490
1950.000000 86.269 -156.0267
1975.000000 86.395 -155.5383
2000.000000 86.476 -155.5162
2030.000000 86.532 -155.2489
2060.000000 86.598 -155.3849
2090.000000 86.511 -155.6430
2120.000000 86.374 -154.3831
2140.000000 86.411 -152.9672
2180.000000 86.637 -152.0309
2200.000000 86.651 -151.8528
2240.000000 86.668 -150.3074
2270.000000 86.774 -148.6806
2300.000000 86.985 -147.0055
2330.000000 87.304 -145.7338
2360.000000 87.664 -145.2762
2400.000000 88.087 -145.7121
2430.000000 88.326 -146.3405
2470.000000 88.586 -147.0706
2500.000000 88.786 -147.6555
2540.000000 89.012 -148.8931
2580.000000 89.070 -150.1514
2620.000000 89.123 -149.8757
2650.000000 89.310 -149.4366
2690.000000 89.660 -150.0160
2720.000000 89.851 -151.2597
2760.000000 89.956 -152.7673
2800.000000 90.062 -153.5212
2850.000000 90.270 -154.8899
2900.000000 90.383 -156.8319
2950.000000 90.343 -158.3591
3000.000000 90.321 -158.8067
3040.000000 90.400 -159.1451
3070.000000 90.437 -159.7651
3110.000000 90.414 -160.1169
3150.000000 90.495 -159.6255
3200.000000 90.766 -159.9440
3250.000000 90.956 -161.2225
3300.000000 91.115 -162.2256
3350.000000 91.311 -163.6405
3400.000000 91.438 -165.6286
3450.000000 91.456 -167.5894
3500.000000 91.430 -168.9572
3550.000000 91.458 -170.1591
3600.000000 91.482 -171.6974
3650.000000 91.457 -173.3324
3700.000000 91.376 -174.9637
3750.000000 91.223 -176.2173
3820.000000 91.001 -177.0684
3870.000000 90.867 -177.0300
3950.000000 90.900 -176.2442
4000.000000 91.030 -176.5122
4060.000000 91.197 -177.3536
4120.000000 91.374 -178.9264
4180.000000 91.463 178.5914
4250.000000 91.344 175.3867
4310.000000 91.083 173.2479
4370.000000 90.763 171.9347
4440.000000 90.361 171.3144
4500.000000 90.040 171.7271
4550.000000 89.840 172.6377
4620.000000 89.703 174.1454
4680.000000 89.670 175.2251
4750.000000 89.674 176.4261
4820.000000 89.747 177.6907
4870.000000 89.850 178.5500
4940.000000 90.068 179.5588
5000.000000 90.329 -179.8320
5080.000000 90.765 -179.9305
