* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Aug 17, 2024 6:51:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn HD 490 Pro PP L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.115 -105.5136
20.600000 84.214 -106.2456
20.900000 84.321 -107.0620
21.200001 84.422 -107.8950
21.400000 84.484 -108.4467
21.799999 84.600 -109.5182
22.000000 84.655 -110.0335
22.400000 84.765 -111.0286
22.700001 84.849 -111.7558
23.000000 84.935 -112.4763
23.299999 85.020 -113.1935
23.600000 85.103 -113.9069
24.000000 85.207 -114.8485
24.299999 85.279 -115.5454
24.700001 85.362 -116.4579
25.000000 85.418 -117.1245
25.400000 85.485 -117.9820
25.799999 85.553 -118.8069
26.200001 85.631 -119.6245
26.500000 85.697 -120.2563
26.900000 85.791 -121.1435
27.200001 85.860 -121.8370
27.600000 85.942 -122.7604
28.000000 86.007 -123.6255
28.500000 86.073 -124.5736
29.000000 86.137 -125.4221
29.500000 86.208 -126.2989
30.000000 86.283 -127.2744
30.400000 86.340 -128.0855
30.700001 86.382 -128.6662
31.100000 86.441 -129.3615
31.500000 86.509 -129.9646
32.000000 86.606 -130.6696
32.500000 86.699 -131.4400
33.000000 86.763 -132.3215
33.500000 86.789 -133.2492
34.000000 86.794 -134.1379
34.500000 86.803 -134.9744
35.000000 86.832 -135.8142
35.500000 86.876 -136.6931
36.000000 86.923 -137.5727
36.500000 86.965 -138.3767
37.000000 87.006 -139.0695
37.500000 87.046 -139.6839
38.200001 87.098 -140.5288
38.700001 87.129 -141.1680
39.500000 87.172 -142.2590
40.000000 87.206 -142.9912
40.599998 87.251 -143.9265
41.200001 87.287 -144.8541
41.799999 87.305 -145.6532
42.500000 87.322 -146.4197
43.099998 87.344 -147.1111
43.700001 87.356 -147.8935
44.400002 87.351 -148.7119
45.000000 87.352 -149.2618
45.500000 87.359 -149.7357
46.200001 87.351 -150.5126
46.799999 87.341 -151.1527
47.500000 87.383 -151.8999
48.200001 87.437 -152.7705
48.700001 87.421 -153.1415
49.400002 87.359 -152.7773
50.000000 87.385 -152.1356
50.799999 87.520 -152.6933
51.500000 87.551 -154.5226
52.200001 87.493 -156.1418
53.000000 87.472 -157.0522
53.799999 87.489 -157.6713
54.500000 87.474 -158.2378
55.200001 87.463 -158.8417
56.000000 87.471 -159.6383
57.000000 87.462 -160.4680
58.000000 87.431 -161.3500
59.000000 87.357 -162.6351
60.000000 87.322 -163.4210
60.799999 87.357 -163.6217
61.500000 87.375 -163.7757
62.200001 87.352 -164.0587
63.000000 87.301 -164.6283
64.000000 87.255 -165.4917
65.000000 87.242 -166.0408
66.000000 87.211 -166.3450
67.000000 87.134 -166.7426
68.000000 87.083 -167.3185
69.000000 87.082 -167.9723
70.000000 87.048 -168.3898
71.000000 86.969 -168.4795
72.000000 86.897 -168.6092
73.000000 86.860 -168.8436
74.000000 86.847 -169.0496
75.000000 86.828 -169.2226
76.199997 86.802 -169.3540
77.500000 86.790 -169.4955
78.800003 86.771 -169.6728
80.000000 86.764 -169.8509
81.199997 86.779 -170.0004
82.500000 86.797 -170.2099
83.800003 86.813 -170.6052
85.000000 86.828 -171.0179
86.199997 86.845 -171.3663
87.500000 86.861 -171.7605
88.500000 86.868 -172.0777
90.000000 86.884 -172.5177
91.199997 86.901 -172.8681
92.500000 86.911 -173.2645
93.800003 86.919 -173.8065
95.000000 86.920 -174.4739
96.199997 86.908 -175.1696
97.500000 86.892 -175.9009
98.800003 86.863 -176.5746
100.000000 86.826 -177.0859
101.500000 86.759 -177.7484
103.000000 86.681 -178.0974
104.400002 86.626 -178.3313
106.000000 86.570 -178.6260
107.500000 86.503 -178.9159
109.000000 86.440 -179.2252
110.599998 86.377 -179.4754
112.000000 86.322 -179.6430
113.800003 86.248 -179.7858
115.000000 86.203 -179.8448
117.199997 86.155 179.8612
118.000000 86.140 179.7925
120.599998 86.054 179.4691
122.000000 85.995 179.2639
124.099998 85.906 179.1451
125.000000 85.868 179.1298
126.500000 85.810 179.1062
128.000000 85.760 179.0782
131.500000 85.701 179.0106
132.000000 85.692 179.0414
134.000000 85.645 179.3712
136.000000 85.611 179.5842
138.000000 85.598 179.6481
140.000000 85.584 179.7173
143.000000 85.548 179.7583
145.000000 85.536 179.7183
147.500000 85.532 179.8292
150.000000 85.575 -179.9766
152.500000 85.593 -179.9318
155.000000 85.502 179.8350
157.500000 85.448 179.8512
160.000000 85.442 -179.7832
162.500000 85.434 -179.1767
165.000000 85.449 -179.7525
167.500000 85.488 179.7615
170.000000 85.536 179.5045
172.500000 85.492 179.3419
175.000000 85.430 179.2111
177.500000 85.376 179.0102
180.000000 85.368 178.6141
182.500000 85.420 178.2086
185.000000 85.430 178.4456
187.500000 85.358 178.7102
190.000000 85.253 178.6451
192.500000 85.201 178.7728
195.000000 85.194 178.9965
197.500000 85.159 178.8995
200.000000 85.055 178.8162
203.000000 84.923 178.3557
206.000000 84.989 178.2393
209.000000 85.070 178.5947
212.000000 85.021 178.9997
214.000000 84.977 179.2641
218.000000 84.999 179.3718
220.000000 85.044 179.2950
224.000000 85.082 179.2440
227.000000 85.100 179.2964
230.000000 85.102 179.3913
233.000000 85.067 179.3265
236.000000 84.995 179.3538
240.000000 84.983 179.0400
243.000000 85.012 178.4107
247.000000 85.052 178.8010
250.000000 85.074 179.1587
254.000000 85.062 179.2155
258.000000 85.036 179.2028
262.000000 85.019 179.1967
265.000000 85.016 179.1761
269.000000 85.007 179.0839
272.000000 84.998 179.0615
276.000000 84.995 179.0873
280.000000 84.991 179.0185
285.000000 84.961 178.8478
290.000000 84.928 179.0731
295.000000 84.923 179.3932
300.000000 84.943 179.5631
304.000000 84.949 179.6335
307.000000 84.942 179.4321
311.000000 84.932 179.1467
315.000000 84.924 178.8789
320.000000 84.939 178.6783
325.000000 84.920 178.6876
330.000000 84.874 178.7823
335.000000 84.848 178.7616
340.000000 84.822 178.7976
345.000000 84.797 178.8914
350.000000 84.774 179.0286
355.000000 84.761 179.0399
360.000000 84.760 179.0164
365.000000 84.745 179.1111
370.000000 84.718 179.1772
375.000000 84.699 179.3067
382.000000 84.696 179.4697
387.000000 84.684 179.5385
395.000000 84.651 179.8731
400.000000 84.640 -179.9137
406.000000 84.649 -179.7540
412.000000 84.676 -179.6917
418.000000 84.706 -179.6189
425.000000 84.733 -179.6997
431.000000 84.727 -179.8200
437.000000 84.719 -179.8441
444.000000 84.713 -179.6843
450.000000 84.701 -179.6826
455.000000 84.680 -179.6865
462.000000 84.674 -179.6818
468.000000 84.691 -179.6673
475.000000 84.704 -179.6861
482.000000 84.694 -179.7139
487.000000 84.683 -179.6742
494.000000 84.680 -179.5953
500.000000 84.693 -179.5250
508.000000 84.710 -179.5172
515.000000 84.721 -179.6074
522.000000 84.731 -179.6494
530.000000 84.743 -179.7057
538.000000 84.766 -179.8765
545.000000 84.773 179.8789
552.000000 84.767 179.6381
560.000000 84.752 179.3813
570.000000 84.738 179.1033
580.000000 84.713 178.6127
590.000000 84.655 177.9598
600.000000 84.539 177.2258
608.000000 84.376 176.7024
615.000000 84.176 176.6349
622.000000 83.961 177.2278
630.000000 83.782 178.7260
640.000000 83.752 -179.0799
650.000000 83.858 -177.6633
660.000000 83.982 -176.9453
670.000000 84.090 -176.5250
680.000000 84.178 -176.4352
690.000000 84.229 -176.3676
700.000000 84.260 -176.2757
710.000000 84.297 -176.1629
720.000000 84.350 -176.1237
730.000000 84.393 -176.2034
740.000000 84.418 -176.2385
750.000000 84.438 -176.3188
762.000000 84.450 -176.4215
775.000000 84.447 -176.5060
788.000000 84.443 -176.4817
800.000000 84.447 -176.3588
812.000000 84.461 -176.2160
825.000000 84.484 -176.0649
838.000000 84.515 -175.9612
850.000000 84.548 -175.9454
862.000000 84.589 -176.0039
875.000000 84.637 -176.2762
885.000000 84.648 -176.6882
900.000000 84.591 -176.9841
912.000000 84.575 -176.7460
925.000000 84.608 -176.7796
938.000000 84.632 -177.0811
950.000000 84.643 -177.3600
962.000000 84.639 -177.7296
975.000000 84.596 -178.1140
988.000000 84.542 -178.3913
1000.000000 84.497 -178.6541
1015.000000 84.406 -178.9453
1030.000000 84.311 -178.8462
1044.000000 84.258 -178.7343
1060.000000 84.193 -178.6842
1075.000000 84.139 -178.5092
1090.000000 84.099 -178.4179
1106.000000 84.050 -178.4407
1120.000000 83.989 -178.5378
1138.000000 83.852 -178.6094
1150.000000 83.751 -178.2591
1172.000000 83.657 -177.1375
1180.000000 83.656 -176.8341
1206.000000 83.642 -176.5067
1220.000000 83.619 -176.3976
1241.000000 83.516 -176.4309
1250.000000 83.447 -176.3292
1265.000000 83.327 -175.8021
1280.000000 83.260 -174.9203
1315.000000 83.243 -173.7973
1320.000000 83.223 -173.7142
1340.000000 83.127 -172.8860
1360.000000 83.116 -171.8161
1380.000000 83.131 -171.1721
1400.000000 83.115 -170.5984
1430.000000 83.122 -169.6446
1450.000000 83.131 -169.1607
1475.000000 83.128 -168.7117
1500.000000 83.064 -168.3631
1525.000000 82.959 -167.6780
1550.000000 82.834 -166.4136
1575.000000 82.827 -164.5314
1600.000000 82.900 -163.2052
1625.000000 82.975 -162.1597
1650.000000 83.066 -161.2841
1675.000000 83.127 -160.8603
1700.000000 83.099 -160.4608
1725.000000 83.060 -159.1037
1750.000000 83.136 -157.6401
1775.000000 83.240 -156.7985
1800.000000 83.324 -155.9684
1825.000000 83.414 -155.2886
1850.000000 83.488 -154.8113
1875.000000 83.500 -154.4244
1900.000000 83.476 -153.3797
1925.000000 83.563 -151.9908
1950.000000 83.671 -151.4147
1975.000000 83.681 -150.7999
2000.000000 83.698 -149.5844
2030.000000 83.773 -148.0781
2060.000000 83.890 -146.5306
2090.000000 84.001 -145.2330
2120.000000 84.116 -143.1592
2140.000000 84.292 -141.6550
2180.000000 84.721 -140.1013
2200.000000 84.881 -139.6287
2240.000000 85.197 -137.9532
2270.000000 85.561 -136.6757
2300.000000 85.976 -136.2426
2330.000000 86.330 -136.5875
2360.000000 86.585 -136.9923
2400.000000 86.907 -137.0763
2430.000000 87.160 -137.2596
2470.000000 87.482 -137.4185
2500.000000 87.751 -137.5780
2540.000000 88.099 -138.2031
2580.000000 88.434 -138.8257
2620.000000 88.791 -139.8212
2650.000000 89.040 -140.9071
2690.000000 89.300 -142.7416
2720.000000 89.430 -144.0792
2760.000000 89.547 -145.6954
2800.000000 89.621 -146.8699
2850.000000 89.767 -147.9702
2900.000000 89.883 -149.3185
2950.000000 89.957 -150.1483
3000.000000 90.118 -150.4745
3040.000000 90.328 -151.1412
3070.000000 90.463 -152.0517
3110.000000 90.585 -153.2594
3150.000000 90.702 -154.2589
3200.000000 90.855 -155.6907
3250.000000 90.975 -157.2049
3300.000000 91.085 -158.7889
3350.000000 91.149 -160.5205
3400.000000 91.178 -162.0966
3450.000000 91.175 -163.7046
3500.000000 91.115 -165.0343
3550.000000 91.045 -165.9567
3600.000000 90.987 -166.5374
3650.000000 90.963 -166.8610
3700.000000 90.973 -167.0999
3750.000000 91.005 -167.2439
3820.000000 91.130 -167.1736
3870.000000 91.315 -167.1554
3950.000000 91.758 -168.3386
4000.000000 92.020 -170.0965
4060.000000 92.239 -172.9082
4120.000000 92.326 -176.0495
4180.000000 92.284 -179.1944
4250.000000 92.096 177.5983
4310.000000 91.852 175.4280
4370.000000 91.569 173.9263
4440.000000 91.247 173.0376
4500.000000 91.020 172.8380
4550.000000 90.878 172.8979
4620.000000 90.742 173.0922
4680.000000 90.668 173.3031
4750.000000 90.630 173.5925
4820.000000 90.641 173.8093
4870.000000 90.669 173.9069
4940.000000 90.741 174.0182
5000.000000 90.840 174.0209
5080.000000 91.017 173.7355
5150.000000 91.200 173.1537
5220.000000 91.395 172.2295
5300.000000 91.614 170.7673
5380.000000 91.817 168.8921
5450.000000 91.972 166.9446
5520.000000 92.098 164.7417
