* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Aug 17, 2024 6:54:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn HD 490 Pro PP R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.816 -106.5863
20.600000 84.876 -107.2665
20.900000 84.947 -107.9921
21.200001 85.027 -108.7351
21.400000 85.085 -109.2484
21.799999 85.213 -110.3211
22.000000 85.280 -110.8726
22.400000 85.412 -111.9748
22.700001 85.506 -112.7767
23.000000 85.591 -113.5447
23.299999 85.669 -114.2781
23.600000 85.739 -114.9855
24.000000 85.826 -115.9140
24.299999 85.890 -116.6198
24.700001 85.975 -117.5947
25.000000 86.040 -118.3538
25.400000 86.127 -119.3894
25.799999 86.210 -120.4244
26.200001 86.286 -121.4306
26.500000 86.337 -122.1544
26.900000 86.396 -123.0660
27.200001 86.435 -123.7009
27.600000 86.485 -124.4737
28.000000 86.542 -125.1733
28.500000 86.635 -126.0181
29.000000 86.745 -126.9440
29.500000 86.845 -127.9909
30.000000 86.915 -129.0671
30.400000 86.956 -129.8772
30.700001 86.987 -130.4561
31.100000 87.041 -131.2426
31.500000 87.108 -132.1123
32.000000 87.192 -133.3214
32.500000 87.254 -134.4936
33.000000 87.296 -135.4015
33.500000 87.339 -136.0070
34.000000 87.394 -136.5089
34.500000 87.449 -137.1351
35.000000 87.482 -137.9351
35.500000 87.499 -138.8011
36.000000 87.522 -139.6377
36.500000 87.568 -140.4558
37.000000 87.628 -141.3030
37.500000 87.676 -142.1634
38.200001 87.702 -143.2694
38.700001 87.702 -143.9797
39.500000 87.700 -145.1262
40.000000 87.703 -145.8539
40.599998 87.721 -146.6481
41.200001 87.763 -147.3537
41.799999 87.816 -148.0763
42.500000 87.860 -149.0187
43.099998 87.875 -149.8611
43.700001 87.884 -150.6700
44.400002 87.898 -151.5258
45.000000 87.911 -152.1877
45.500000 87.914 -152.7060
46.200001 87.903 -153.3548
46.799999 87.909 -153.8229
47.500000 87.970 -154.4785
48.200001 88.030 -155.4273
48.700001 88.010 -156.0164
49.400002 87.915 -156.2016
50.000000 87.869 -155.9938
50.799999 87.911 -156.6088
51.500000 87.930 -158.2249
52.200001 87.899 -159.7632
53.000000 87.904 -160.6853
53.799999 87.944 -161.2653
54.500000 87.936 -161.8628
55.200001 87.893 -162.5047
56.000000 87.854 -163.2109
57.000000 87.834 -164.0682
58.000000 87.756 -164.9276
59.000000 87.639 -165.5231
60.000000 87.632 -166.1560
60.799999 87.667 -166.9191
61.500000 87.673 -167.5641
62.200001 87.652 -168.1102
63.000000 87.602 -168.6616
64.000000 87.525 -169.1836
65.000000 87.465 -169.5723
66.000000 87.419 -169.9956
67.000000 87.391 -170.4673
68.000000 87.362 -170.7569
69.000000 87.337 -170.8002
70.000000 87.302 -171.1406
71.000000 87.226 -171.7442
72.000000 87.159 -172.1637
73.000000 87.125 -172.4479
74.000000 87.092 -172.7390
75.000000 87.055 -173.0175
76.199997 87.029 -173.3182
77.500000 87.012 -173.6198
78.800003 86.992 -173.8827
80.000000 86.976 -174.2094
81.199997 86.969 -174.5934
82.500000 86.964 -174.9397
83.800003 86.940 -175.2345
85.000000 86.915 -175.5268
86.199997 86.912 -175.8766
87.500000 86.895 -176.3131
88.500000 86.871 -176.6070
90.000000 86.850 -177.0177
91.199997 86.837 -177.3470
92.500000 86.806 -177.6246
93.800003 86.785 -177.7893
95.000000 86.772 -178.0516
96.199997 86.742 -178.5692
97.500000 86.699 -179.3362
98.800003 86.665 -179.8234
100.000000 86.651 -179.9210
101.500000 86.632 179.8300
103.000000 86.597 179.2007
104.400002 86.547 178.7958
106.000000 86.474 178.4290
107.500000 86.400 178.0301
109.000000 86.333 177.7900
110.599998 86.272 177.6198
112.000000 86.215 177.3723
113.800003 86.113 177.2102
115.000000 86.051 177.2026
117.199997 85.976 177.0746
118.000000 85.943 176.9972
120.599998 85.837 177.0688
122.000000 85.807 177.2427
124.099998 85.773 177.3763
125.000000 85.757 177.4167
126.500000 85.730 177.4839
128.000000 85.707 177.5453
131.500000 85.659 177.2673
132.000000 85.652 177.2724
134.000000 85.626 177.5834
136.000000 85.595 177.7304
138.000000 85.566 177.7518
140.000000 85.552 177.7784
143.000000 85.556 177.7994
145.000000 85.547 177.8917
147.500000 85.528 178.0123
150.000000 85.471 178.3223
152.500000 85.455 178.2739
155.000000 85.478 177.6907
157.500000 85.487 177.4017
160.000000 85.540 177.1556
162.500000 85.552 176.8419
165.000000 85.447 177.0254
167.500000 85.373 177.2677
170.000000 85.330 177.5547
172.500000 85.348 177.3559
175.000000 85.359 177.2118
177.500000 85.357 177.0363
180.000000 85.373 176.7265
182.500000 85.363 176.4581
185.000000 85.315 176.6175
187.500000 85.305 176.6693
190.000000 85.304 176.4120
192.500000 85.262 176.3024
195.000000 85.207 176.4586
197.500000 85.169 176.7791
200.000000 85.069 177.3463
203.000000 85.051 177.5969
206.000000 85.129 177.5533
209.000000 85.150 177.7667
212.000000 85.089 177.5588
214.000000 85.045 177.1158
218.000000 85.049 176.5342
220.000000 85.059 176.3359
224.000000 85.068 176.3025
227.000000 85.055 176.4511
230.000000 85.035 176.4064
233.000000 84.998 176.5065
236.000000 84.947 176.4909
240.000000 84.907 176.2399
243.000000 84.839 176.1017
247.000000 84.856 176.2438
250.000000 84.891 176.3691
254.000000 84.892 176.4093
258.000000 84.867 176.3596
262.000000 84.858 176.3304
265.000000 84.855 176.3232
269.000000 84.836 176.3977
272.000000 84.815 176.3927
276.000000 84.800 176.1846
280.000000 84.786 176.0543
285.000000 84.758 176.1549
290.000000 84.730 176.2124
295.000000 84.735 176.2938
300.000000 84.728 176.4020
304.000000 84.728 176.4632
307.000000 84.723 176.4696
311.000000 84.696 176.4744
315.000000 84.646 176.6215
320.000000 84.593 176.9627
325.000000 84.588 176.8475
330.000000 84.583 176.5305
335.000000 84.564 176.4070
340.000000 84.548 176.5014
345.000000 84.530 176.6504
350.000000 84.502 176.7393
355.000000 84.482 176.7331
360.000000 84.487 176.6419
365.000000 84.491 176.7383
370.000000 84.487 176.9228
375.000000 84.482 177.0591
382.000000 84.472 177.0287
387.000000 84.456 176.9897
395.000000 84.419 177.0036
400.000000 84.428 177.2086
406.000000 84.440 177.4544
412.000000 84.425 177.5364
418.000000 84.433 177.4576
425.000000 84.441 177.2925
431.000000 84.432 177.3383
437.000000 84.407 177.4455
444.000000 84.392 177.4181
450.000000 84.390 177.2859
455.000000 84.374 177.2836
462.000000 84.357 177.4386
468.000000 84.361 177.4454
475.000000 84.350 177.4612
482.000000 84.344 177.5657
487.000000 84.342 177.5933
494.000000 84.343 177.6007
500.000000 84.357 177.6261
508.000000 84.368 177.6307
515.000000 84.376 177.5312
522.000000 84.390 177.3966
530.000000 84.405 177.1863
538.000000 84.415 176.8519
545.000000 84.412 176.4357
552.000000 84.382 175.9672
560.000000 84.317 175.4279
570.000000 84.194 174.6616
580.000000 83.975 174.0656
590.000000 83.689 174.4897
600.000000 83.497 176.0246
608.000000 83.457 177.4072
615.000000 83.481 178.3564
622.000000 83.533 179.0189
630.000000 83.605 179.5458
640.000000 83.695 179.8484
650.000000 83.760 179.8463
660.000000 83.785 179.5690
670.000000 83.752 179.2131
680.000000 83.660 179.1589
690.000000 83.569 179.6527
700.000000 83.538 -179.5717
710.000000 83.559 -178.7881
720.000000 83.615 -178.1761
730.000000 83.679 -177.8377
740.000000 83.731 -177.6260
750.000000 83.779 -177.4798
762.000000 83.840 -177.3556
775.000000 83.900 -177.4567
788.000000 83.947 -177.5922
800.000000 83.991 -177.7488
812.000000 84.019 -177.9381
825.000000 84.037 -178.1451
838.000000 84.038 -178.4176
850.000000 84.021 -178.6859
862.000000 83.986 -178.9019
875.000000 83.953 -178.9482
885.000000 83.935 -179.0347
900.000000 83.886 -179.1460
912.000000 83.854 -179.0724
925.000000 83.823 -179.0226
938.000000 83.797 -178.9196
950.000000 83.798 -178.7332
962.000000 83.811 -178.6399
975.000000 83.824 -178.7016
988.000000 83.840 -178.9823
1000.000000 83.825 -179.4695
1015.000000 83.739 179.9529
1030.000000 83.601 179.8100
1044.000000 83.494 -179.9498
1060.000000 83.418 -179.4421
1075.000000 83.387 -179.1640
1090.000000 83.349 -178.9124
1106.000000 83.331 -178.7959
1120.000000 83.288 -179.0495
1138.000000 83.146 -179.2007
1150.000000 83.033 -178.8608
1172.000000 82.959 -177.6253
1180.000000 82.971 -177.4368
1206.000000 82.883 -177.4500
1220.000000 82.793 -177.0816
1241.000000 82.709 -176.3085
1250.000000 82.690 -176.0238
1265.000000 82.644 -175.6530
1280.000000 82.592 -175.1103
1315.000000 82.557 -174.3473
1320.000000 82.532 -174.3040
1340.000000 82.395 -173.7272
1360.000000 82.307 -172.4636
1380.000000 82.336 -171.2657
1400.000000 82.375 -170.7384
1430.000000 82.339 -170.4738
1450.000000 82.228 -169.8834
1475.000000 82.182 -168.4447
1500.000000 82.191 -167.9453
1525.000000 82.051 -167.2166
1550.000000 81.968 -165.4325
1575.000000 82.012 -163.6264
1600.000000 82.109 -162.8525
1625.000000 82.070 -162.2304
1650.000000 82.042 -160.7094
1675.000000 82.132 -159.6235
1700.000000 82.093 -159.2481
1725.000000 81.996 -157.4184
1750.000000 82.109 -155.2705
1775.000000 82.248 -154.3950
1800.000000 82.292 -153.2775
1825.000000 82.414 -151.7954
1850.000000 82.588 -151.0854
1875.000000 82.634 -151.0363
1900.000000 82.572 -150.0223
1925.000000 82.608 -148.3832
1950.000000 82.687 -147.1419
1975.000000 82.736 -145.7618
2000.000000 82.818 -143.9390
2030.000000 83.042 -141.6544
2060.000000 83.315 -140.3404
2090.000000 83.479 -139.1481
2120.000000 83.682 -136.8648
2140.000000 83.963 -135.1843
2180.000000 84.618 -134.5230
2200.000000 84.820 -134.7520
2240.000000 85.168 -134.5829
2270.000000 85.401 -134.6601
2300.000000 85.551 -134.4048
2330.000000 85.746 -133.2390
2360.000000 86.102 -131.9709
2400.000000 86.690 -131.8851
2430.000000 87.026 -132.6244
2470.000000 87.400 -133.3263
2500.000000 87.696 -133.8146
2540.000000 88.100 -134.8908
2580.000000 88.423 -136.6010
2620.000000 88.646 -138.1219
2650.000000 88.794 -139.0726
2690.000000 89.012 -140.1551
2720.000000 89.193 -141.2270
2760.000000 89.333 -143.1819
2800.000000 89.340 -144.4402
2850.000000 89.404 -144.9265
2900.000000 89.599 -144.9531
2950.000000 89.922 -145.8235
3000.000000 90.135 -147.3928
3040.000000 90.287 -148.3143
3070.000000 90.418 -149.1379
3110.000000 90.562 -150.4016
3150.000000 90.697 -151.6461
3200.000000 90.806 -153.4545
3250.000000 90.884 -154.7004
3300.000000 91.017 -156.0094
3350.000000 91.137 -157.6493
3400.000000 91.206 -159.4946
3450.000000 91.203 -161.3328
3500.000000 91.133 -162.8006
3550.000000 91.046 -163.7666
3600.000000 90.961 -164.2423
3650.000000 90.931 -164.0974
3700.000000 91.024 -163.7934
3750.000000 91.194 -163.8730
3820.000000 91.492 -164.6344
3870.000000 91.723 -165.6549
3950.000000 92.066 -168.1489
4000.000000 92.250 -170.1892
4060.000000 92.389 -173.1793
4120.000000 92.405 -176.3192
4180.000000 92.302 -179.2926
4250.000000 92.071 177.8566
4310.000000 91.827 176.0683
4370.000000 91.585 174.8718
4440.000000 91.331 173.9475
4500.000000 91.134 173.5153
4550.000000 90.996 173.4068
4620.000000 90.857 173.4858
4680.000000 90.787 173.6811
4750.000000 90.766 173.9387
4820.000000 90.798 174.1063
4870.000000 90.849 174.1562
4940.000000 90.958 174.1108
5000.000000 91.086 173.9196
5080.000000 91.307 173.3448
5150.000000 91.533 172.3691
5220.000000 91.757 170.8943
5300.000000 91.988 168.7129
5380.000000 92.178 166.0494
5450.000000 92.297 163.3750
5520.000000 92.361 160.4354
5600.000000 92.351 156.8989
5700.000000 92.221 152.4473
5800.000000 91.966 148.0600
