* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jun 6, 2024 8:09:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sennheiser HD 569 L7
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.519 -136.2203
20.600000 95.559 -137.0961
20.900000 95.597 -138.0509
21.200001 95.631 -138.9988
21.400000 95.653 -139.6133
21.799999 95.695 -140.7740
22.000000 95.718 -141.3116
22.400000 95.772 -142.2958
22.700001 95.818 -142.9663
23.000000 95.870 -143.6025
23.299999 95.924 -144.2332
23.600000 95.976 -144.8876
24.000000 96.035 -145.8353
24.299999 96.068 -146.6126
24.700001 96.092 -147.7205
25.000000 96.098 -148.5749
25.400000 96.096 -149.6926
25.799999 96.097 -150.7425
26.200001 96.111 -151.7136
26.500000 96.132 -152.4030
26.900000 96.170 -153.2932
27.200001 96.199 -153.9459
27.600000 96.231 -154.7879
28.000000 96.250 -155.5785
28.500000 96.262 -156.4891
29.000000 96.272 -157.3675
29.500000 96.288 -158.3002
30.000000 96.305 -159.3206
30.400000 96.316 -160.1671
30.700001 96.320 -160.7895
31.100000 96.321 -161.5728
31.500000 96.320 -162.2914
32.000000 96.319 -163.1225
32.500000 96.318 -163.9361
33.000000 96.314 -164.7824
33.500000 96.305 -165.6654
34.000000 96.290 -166.5436
34.500000 96.274 -167.3689
35.000000 96.264 -168.1328
35.500000 96.262 -168.8727
36.000000 96.257 -169.6231
36.500000 96.241 -170.3669
37.000000 96.211 -171.0519
37.500000 96.179 -171.6564
38.200001 96.149 -172.4527
38.700001 96.135 -173.0460
39.500000 96.106 -173.9574
40.000000 96.087 -174.4423
40.599998 96.070 -174.9902
41.200001 96.051 -175.5686
41.799999 96.028 -176.1186
42.500000 96.031 -176.6342
43.099998 96.087 -177.1046
43.700001 96.171 -177.7770
44.400002 96.244 -178.7640
45.000000 96.271 -179.6141
45.500000 96.283 179.6774
46.200001 96.288 178.5245
46.799999 96.268 177.3540
47.500000 96.200 176.0076
48.200001 96.106 174.9208
48.700001 96.038 174.2979
49.400002 95.943 173.5367
50.000000 95.860 172.9492
50.799999 95.758 172.2523
51.500000 95.683 171.6870
52.200001 95.612 171.1678
53.000000 95.535 170.6650
53.799999 95.462 170.2018
54.500000 95.388 169.8546
55.200001 95.311 169.6555
56.000000 95.245 169.4888
57.000000 95.181 169.0677
58.000000 95.145 168.6481
59.000000 95.190 168.3462
60.000000 95.251 167.9621
60.799999 95.269 167.5337
61.500000 95.259 166.9649
62.200001 95.226 166.2421
63.000000 95.172 165.4278
64.000000 95.091 164.6546
65.000000 94.997 164.2431
66.000000 94.947 163.9453
67.000000 94.931 163.2913
68.000000 94.879 162.6176
69.000000 94.823 162.2223
70.000000 94.812 161.7308
71.000000 94.788 160.7499
72.000000 94.660 159.7586
73.000000 94.523 159.0634
74.000000 94.451 158.2567
75.000000 94.416 157.7722
76.199997 94.415 157.9051
77.500000 94.376 157.8544
78.800003 94.146 157.3696
80.000000 93.883 158.0500
81.199997 93.770 158.7842
82.500000 93.729 158.9280
83.800003 93.721 158.6544
85.000000 93.677 158.5627
86.199997 93.670 158.7404
87.500000 93.719 158.9460
88.500000 93.708 159.4099
90.000000 93.619 160.8348
91.199997 93.681 160.6284
92.500000 93.777 159.1801
93.800003 93.869 158.6140
95.000000 93.931 158.3889
96.199997 93.980 157.9788
97.500000 94.041 157.4320
98.800003 94.101 156.8503
100.000000 94.144 156.2496
101.500000 94.176 155.4731
103.000000 94.196 154.6222
104.400002 94.213 153.7049
106.000000 94.202 152.6513
107.500000 94.164 151.7385
109.000000 94.132 150.7920
110.599998 94.092 149.7933
112.000000 94.028 149.0007
113.800003 93.947 148.1434
115.000000 93.898 147.6741
117.199997 93.769 146.9560
118.000000 93.713 146.7680
120.599998 93.567 146.3246
122.000000 93.518 146.1633
124.099998 93.462 145.9888
125.000000 93.446 145.8986
126.500000 93.435 145.7254
128.000000 93.431 145.4440
131.500000 93.459 144.6324
132.000000 93.469 144.5227
134.000000 93.494 143.9742
136.000000 93.503 143.2332
138.000000 93.512 142.4293
140.000000 93.514 141.6767
143.000000 93.502 140.3730
145.000000 93.481 139.4768
147.500000 93.450 138.2921
150.000000 93.417 136.9019
152.500000 93.383 135.6281
155.000000 93.334 134.4245
157.500000 93.268 133.1017
160.000000 93.189 131.7497
162.500000 93.087 130.3773
165.000000 92.970 129.0186
167.500000 92.842 127.7701
170.000000 92.696 126.4889
172.500000 92.533 125.2099
175.000000 92.359 123.9851
177.500000 92.182 122.9134
180.000000 91.986 121.9822
182.500000 91.779 121.1209
185.000000 91.578 120.3806
187.500000 91.389 119.6785
190.000000 91.197 119.0417
192.500000 90.996 118.3923
195.000000 90.790 117.7608
197.500000 90.579 117.2202
200.000000 90.369 116.7417
203.000000 90.110 116.2266
206.000000 89.849 115.8137
209.000000 89.590 115.5508
212.000000 89.321 115.3923
214.000000 89.138 115.3667
218.000000 88.778 115.4058
220.000000 88.605 115.5845
224.000000 88.272 116.1947
227.000000 88.051 116.7380
230.000000 87.841 117.3638
233.000000 87.641 118.0425
236.000000 87.480 118.7227
240.000000 87.336 119.6031
243.000000 87.238 120.0366
247.000000 87.077 120.2210
250.000000 86.937 120.2914
254.000000 86.716 120.5951
258.000000 86.488 121.1939
262.000000 86.277 121.9446
265.000000 86.124 122.5303
269.000000 85.918 123.2919
272.000000 85.774 123.9286
276.000000 85.601 124.8471
280.000000 85.443 125.7973
285.000000 85.274 127.0181
290.000000 85.112 128.3568
295.000000 84.969 129.8735
300.000000 84.852 131.4617
304.000000 84.779 132.5884
307.000000 84.734 133.3118
311.000000 84.682 134.1542
315.000000 84.622 134.9415
320.000000 84.533 135.9978
325.000000 84.438 137.1816
330.000000 84.352 138.4990
335.000000 84.284 139.8676
340.000000 84.235 141.2773
345.000000 84.206 142.7194
350.000000 84.194 144.1571
355.000000 84.205 145.5692
360.000000 84.228 146.9538
365.000000 84.256 148.2776
370.000000 84.301 149.5490
375.000000 84.361 150.8185
382.000000 84.465 152.6064
387.000000 84.567 153.8668
395.000000 84.785 155.6342
400.000000 84.937 156.4758
406.000000 85.121 157.2350
412.000000 85.297 157.7696
418.000000 85.454 158.1474
425.000000 85.608 158.4630
431.000000 85.723 158.7610
437.000000 85.835 159.1039
444.000000 85.975 159.5110
450.000000 86.104 159.7693
455.000000 86.214 159.8965
462.000000 86.360 159.9708
468.000000 86.473 159.9757
475.000000 86.589 159.9366
482.000000 86.693 159.9061
487.000000 86.763 159.8797
494.000000 86.854 159.8412
500.000000 86.927 159.8426
508.000000 87.020 159.8851
515.000000 87.106 159.9446
522.000000 87.202 160.0125
530.000000 87.318 160.0409
538.000000 87.438 159.9584
545.000000 87.541 159.7866
552.000000 87.632 159.5307
560.000000 87.714 159.2030
570.000000 87.793 158.8822
580.000000 87.864 158.7100
590.000000 87.942 158.6393
600.000000 88.042 158.5682
608.000000 88.130 158.4279
615.000000 88.205 158.2293
622.000000 88.272 157.9531
630.000000 88.331 157.5677
640.000000 88.378 157.1312
650.000000 88.405 156.8830
660.000000 88.434 156.8364
670.000000 88.477 156.8665
680.000000 88.530 156.9069
690.000000 88.593 156.9877
700.000000 88.668 157.0580
710.000000 88.750 157.0742
720.000000 88.836 157.0428
730.000000 88.924 156.9605
740.000000 89.010 156.8370
750.000000 89.095 156.6804
762.000000 89.196 156.4493
775.000000 89.299 156.1348
788.000000 89.391 155.7739
800.000000 89.462 155.4468
812.000000 89.527 155.1746
825.000000 89.604 154.9491
838.000000 89.694 154.7389
850.000000 89.788 154.4585
862.000000 89.884 154.0342
875.000000 89.976 153.4153
885.000000 90.027 152.8407
900.000000 90.061 152.0006
912.000000 90.065 151.4561
925.000000 90.061 151.0040
938.000000 90.056 150.6407
950.000000 90.048 150.3749
962.000000 90.043 150.1708
975.000000 90.042 149.9987
988.000000 90.048 149.8502
1000.000000 90.054 149.7151
1015.000000 90.060 149.5508
1030.000000 90.061 149.3994
1044.000000 90.060 149.2875
1060.000000 90.055 149.2052
1075.000000 90.046 149.1862
1090.000000 90.037 149.2252
1106.000000 90.030 149.3324
1120.000000 90.028 149.4800
1138.000000 90.033 149.7341
1150.000000 90.043 149.9368
1172.000000 90.080 150.3647
1180.000000 90.104 150.5188
1206.000000 90.208 150.7118
1220.000000 90.241 150.5611
1241.000000 90.229 150.4992
1250.000000 90.219 150.6073
1265.000000 90.210 150.9086
1280.000000 90.213 151.3103
1315.000000 90.283 152.4260
1320.000000 90.301 152.5787
1340.000000 90.383 153.1274
1360.000000 90.474 153.5668
1380.000000 90.569 153.9149
1400.000000 90.664 154.1913
1430.000000 90.803 154.4757
1450.000000 90.887 154.5972
1475.000000 90.983 154.7418
1500.000000 91.077 154.8785
1525.000000 91.171 154.9716
1550.000000 91.257 155.0110
1575.000000 91.327 155.0414
1600.000000 91.383 155.1321
1625.000000 91.431 155.3304
1650.000000 91.480 155.6179
1675.000000 91.534 155.9751
1700.000000 91.598 156.3839
1725.000000 91.673 156.8217
1750.000000 91.757 157.2460
1775.000000 91.846 157.6310
1800.000000 91.937 157.9896
1825.000000 92.028 158.3349
1850.000000 92.117 158.6716
1875.000000 92.203 159.0198
1900.000000 92.287 159.4225
1925.000000 92.378 159.9097
1950.000000 92.490 160.4001
1975.000000 92.609 160.7604
2000.000000 92.720 161.0529
2030.000000 92.844 161.4081
2060.000000 92.965 161.7878
2090.000000 93.087 162.2017
2120.000000 93.211 162.6477
2140.000000 93.297 162.9608
2180.000000 93.480 163.6454
2200.000000 93.584 163.9921
2240.000000 93.803 164.5988
2270.000000 93.971 165.0034
2300.000000 94.145 165.3554
2330.000000 94.321 165.6161
2360.000000 94.491 165.7975
2400.000000 94.708 166.0079
2430.000000 94.866 166.1749
2470.000000 95.080 166.3897
2500.000000 95.240 166.5285
2540.000000 95.460 166.7057
2580.000000 95.692 166.7649
2620.000000 95.915 166.6392
2650.000000 96.068 166.4976
2690.000000 96.259 166.3368
2720.000000 96.398 166.2515
2760.000000 96.585 166.1718
2800.000000 96.779 166.1100
2850.000000 97.035 166.0198
2900.000000 97.307 165.8618
2950.000000 97.597 165.6056
3000.000000 97.913 165.2305
3040.000000 98.192 164.7502
3070.000000 98.414 164.2015
3110.000000 98.714 163.1321
3150.000000 98.993 161.6517
3200.000000 99.280 159.4072
3250.000000 99.513 157.0533
3300.000000 99.748 154.4791
3350.000000 99.961 151.1628
3400.000000 100.052 147.0107
3450.000000 99.943 142.5314
3500.000000 99.634 138.4415
3550.000000 99.193 135.2058
3600.000000 98.701 132.8147
3650.000000 98.187 131.0154
3700.000000 97.646 129.7397
3750.000000 97.087 129.1122
3820.000000 96.351 129.2467
3870.000000 95.885 129.7173
3950.000000 95.208 130.5941
4000.000000 94.799 131.1539
4060.000000 94.302 131.8035
4120.000000 93.768 132.4652
4180.000000 93.169 133.3885
4250.000000 92.421 135.2643
4310.000000 91.796 137.5278
4370.000000 91.202 140.0647
4440.000000 90.503 143.2743
4500.000000 89.877 146.4484
4550.000000 89.338 149.5744
4620.000000 88.587 154.9675
4680.000000 88.003 160.7089
4750.000000 87.492 168.5879
4820.000000 87.246 177.0282
4870.000000 87.233 -177.1622
4940.000000 87.370 -169.9088
5000.000000 87.546 -164.5745
5080.000000 87.786 -158.1890
5150.000000 87.998 -152.9067
5220.000000 88.220 -147.7396
5300.000000 88.511 -141.7596
5380.000000 88.896 -135.5646
5450.000000 89.375 -130.1033
5520.000000 90.029 -125.1237
5600.000000 90.955 -120.8887
5700.000000 92.219 -118.5312
5800.000000 93.399 -119.6225
5900.000000 94.282 -123.9582
6000.000000 94.638 -130.6273
6080.000000 94.444 -136.3601
6150.000000 93.948 -140.6302
6220.000000 93.225 -143.6439
6300.000000 92.235 -145.3371
6400.000000 90.888 -145.0104
6500.000000 89.523 -142.3345
