* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jun 6, 2024 8:16:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sennheiser HD 569 R7
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.301 -136.9197
20.600000 94.326 -137.8203
20.900000 94.348 -138.7442
21.200001 94.370 -139.6043
21.400000 94.390 -140.1459
21.799999 94.444 -141.1971
22.000000 94.478 -141.7294
22.400000 94.550 -142.8427
22.700001 94.598 -143.7151
23.000000 94.635 -144.5889
23.299999 94.657 -145.4270
23.600000 94.670 -146.2037
24.000000 94.682 -147.1460
24.299999 94.694 -147.8187
24.700001 94.717 -148.7419
25.000000 94.736 -149.4818
25.400000 94.757 -150.5157
25.799999 94.771 -151.5342
26.200001 94.786 -152.4670
26.500000 94.804 -153.1033
26.900000 94.840 -153.9091
27.200001 94.872 -154.5203
27.600000 94.909 -155.3736
28.000000 94.928 -156.2472
28.500000 94.923 -157.2773
29.000000 94.907 -158.1877
29.500000 94.907 -159.0650
30.000000 94.926 -160.0450
30.400000 94.944 -160.9212
30.700001 94.953 -161.5959
31.100000 94.958 -162.4561
31.500000 94.959 -163.2259
32.000000 94.964 -164.0742
32.500000 94.971 -164.8861
33.000000 94.971 -165.7375
33.500000 94.955 -166.6231
34.000000 94.930 -167.4975
34.500000 94.907 -168.3394
35.000000 94.893 -169.1611
35.500000 94.887 -169.9708
36.000000 94.882 -170.7547
36.500000 94.873 -171.4960
37.000000 94.858 -172.1964
37.500000 94.839 -172.8734
38.200001 94.810 -173.8213
38.700001 94.793 -174.5289
39.500000 94.771 -175.7566
40.000000 94.750 -176.5516
40.599998 94.709 -177.4343
41.200001 94.659 -178.1690
41.799999 94.615 -178.8004
42.500000 94.577 -179.5760
43.099998 94.544 179.6529
43.700001 94.501 178.8472
44.400002 94.443 177.9922
45.000000 94.397 177.3571
45.500000 94.361 176.8606
46.200001 94.305 176.1689
46.799999 94.247 175.5844
47.500000 94.174 174.9333
48.200001 94.107 174.3126
48.700001 94.064 173.8889
49.400002 94.012 173.3349
50.000000 93.972 172.8912
50.799999 93.916 172.3147
51.500000 93.857 171.8256
52.200001 93.794 171.3494
53.000000 93.727 170.7853
53.799999 93.663 170.2348
54.500000 93.613 169.8153
55.200001 93.565 169.4038
56.000000 93.492 168.8973
57.000000 93.374 168.3185
58.000000 93.269 167.7430
59.000000 93.171 167.1485
60.000000 93.063 166.7908
60.799999 92.972 166.6656
61.500000 92.891 166.5659
62.200001 92.811 166.3980
63.000000 92.713 166.1913
64.000000 92.608 166.2006
65.000000 92.553 166.3264
66.000000 92.488 166.3112
67.000000 92.404 166.3646
68.000000 92.341 166.4223
69.000000 92.285 166.5436
70.000000 92.251 166.8612
71.000000 92.236 167.1020
72.000000 92.200 167.3785
73.000000 92.178 168.1068
74.000000 92.215 168.7469
75.000000 92.230 168.7303
76.199997 92.212 168.7754
77.500000 92.316 169.2038
78.800003 92.470 169.4446
80.000000 92.593 169.4746
81.199997 92.656 169.2829
82.500000 92.699 169.1556
83.800003 92.799 168.7564
85.000000 92.904 168.0916
86.199997 92.997 167.5185
87.500000 93.067 166.8060
88.500000 93.137 165.7897
90.000000 93.288 163.4126
91.199997 93.302 162.6625
92.500000 93.284 162.9764
93.800003 93.257 162.5384
95.000000 93.242 161.8110
96.199997 93.224 161.1569
97.500000 93.205 160.4442
98.800003 93.195 159.7436
100.000000 93.183 159.1794
101.500000 93.168 158.4958
103.000000 93.156 157.8147
104.400002 93.132 157.1646
106.000000 93.115 156.3796
107.500000 93.097 155.5878
109.000000 93.063 154.8022
110.599998 93.021 154.0353
112.000000 92.983 153.4650
113.800003 92.933 152.7043
115.000000 92.899 152.2154
117.199997 92.815 151.2747
118.000000 92.786 150.9550
120.599998 92.693 150.1434
122.000000 92.636 149.7689
124.099998 92.571 149.2780
125.000000 92.553 149.0833
126.500000 92.538 148.7605
128.000000 92.519 148.4036
131.500000 92.435 147.3536
132.000000 92.425 147.1689
134.000000 92.376 146.3950
136.000000 92.313 145.7076
138.000000 92.240 145.0551
140.000000 92.167 144.5333
143.000000 92.084 143.8682
145.000000 92.031 143.4149
147.500000 91.979 142.8893
150.000000 91.949 142.3076
152.500000 91.938 141.7160
155.000000 91.898 141.0247
157.500000 91.839 140.3451
160.000000 91.801 139.6289
162.500000 91.770 138.8032
165.000000 91.724 137.9006
167.500000 91.668 137.0396
170.000000 91.608 136.1409
172.500000 91.545 135.2582
175.000000 91.462 134.4203
177.500000 91.355 133.6086
180.000000 91.248 132.8250
182.500000 91.155 132.0546
185.000000 91.061 131.3503
187.500000 90.958 130.5562
190.000000 90.849 129.6554
192.500000 90.731 128.8014
195.000000 90.595 128.0643
197.500000 90.450 127.4087
200.000000 90.305 126.9474
203.000000 90.149 126.4630
206.000000 90.002 125.7993
209.000000 89.838 125.1214
212.000000 89.651 124.5930
214.000000 89.526 124.2677
218.000000 89.292 123.7309
220.000000 89.174 123.4835
224.000000 88.924 123.0155
227.000000 88.726 122.7715
230.000000 88.526 122.6621
233.000000 88.335 122.6920
236.000000 88.157 122.8338
240.000000 87.976 123.1783
243.000000 87.879 123.3557
247.000000 87.727 123.1534
250.000000 87.584 122.7494
254.000000 87.348 122.3463
258.000000 87.082 122.2759
262.000000 86.817 122.5080
265.000000 86.626 122.8132
269.000000 86.382 123.3917
272.000000 86.205 123.9000
276.000000 85.988 124.6650
280.000000 85.797 125.5686
285.000000 85.592 126.7361
290.000000 85.399 127.9193
295.000000 85.226 129.1606
300.000000 85.067 130.3894
304.000000 84.967 131.2746
307.000000 84.902 131.9678
311.000000 84.823 132.8676
315.000000 84.740 133.7707
320.000000 84.627 134.9969
325.000000 84.524 136.2581
330.000000 84.438 137.5643
335.000000 84.371 138.9348
340.000000 84.326 140.3092
345.000000 84.294 141.6412
350.000000 84.277 142.9471
355.000000 84.277 144.2058
360.000000 84.287 145.4586
365.000000 84.304 146.7509
370.000000 84.340 148.0727
375.000000 84.396 149.3747
382.000000 84.524 151.0596
387.000000 84.645 152.1067
395.000000 84.843 153.3228
400.000000 84.958 153.8687
406.000000 85.086 154.4591
412.000000 85.204 155.0185
418.000000 85.320 155.5408
425.000000 85.466 156.1417
431.000000 85.596 156.5343
437.000000 85.713 156.7966
444.000000 85.829 157.0557
450.000000 85.923 157.2914
455.000000 86.003 157.5371
462.000000 86.130 157.9551
468.000000 86.258 158.2018
475.000000 86.413 158.2233
482.000000 86.550 158.0454
487.000000 86.630 157.8796
494.000000 86.720 157.6688
500.000000 86.787 157.5135
508.000000 86.874 157.3552
515.000000 86.944 157.2299
522.000000 87.010 157.0762
530.000000 87.076 156.8948
538.000000 87.131 156.7415
545.000000 87.175 156.6543
552.000000 87.216 156.6172
560.000000 87.262 156.6071
570.000000 87.321 156.6489
580.000000 87.388 156.7650
590.000000 87.469 156.9244
600.000000 87.572 157.0486
608.000000 87.663 157.0420
615.000000 87.740 156.9145
622.000000 87.805 156.6863
630.000000 87.855 156.3686
640.000000 87.889 156.0808
650.000000 87.913 156.0134
660.000000 87.948 156.0928
670.000000 87.995 156.2110
680.000000 88.049 156.3538
690.000000 88.113 156.5212
700.000000 88.188 156.6457
710.000000 88.269 156.7458
720.000000 88.353 156.8123
730.000000 88.439 156.8198
740.000000 88.526 156.7991
750.000000 88.611 156.7627
762.000000 88.712 156.7107
775.000000 88.827 156.6191
788.000000 88.942 156.4706
800.000000 89.047 156.3157
812.000000 89.155 156.1467
825.000000 89.278 155.9250
838.000000 89.408 155.5855
850.000000 89.522 155.0950
862.000000 89.616 154.4846
875.000000 89.691 153.7963
885.000000 89.729 153.2706
900.000000 89.760 152.6057
912.000000 89.775 152.2322
925.000000 89.796 151.9391
938.000000 89.824 151.7094
950.000000 89.854 151.5065
962.000000 89.882 151.2942
975.000000 89.913 151.0877
988.000000 89.943 150.9108
1000.000000 89.970 150.7722
1015.000000 90.008 150.6376
1030.000000 90.051 150.5076
1044.000000 90.093 150.3876
1060.000000 90.143 150.2548
1075.000000 90.191 150.1074
1090.000000 90.239 149.9306
1106.000000 90.285 149.7497
1120.000000 90.323 149.6022
1138.000000 90.365 149.4123
1150.000000 90.389 149.3030
1172.000000 90.428 149.1785
1180.000000 90.442 149.1665
1206.000000 90.498 149.2849
1220.000000 90.541 149.3549
1241.000000 90.615 149.4225
1250.000000 90.649 149.4467
1265.000000 90.710 149.4485
1280.000000 90.772 149.3835
1315.000000 90.885 149.1818
1320.000000 90.900 149.1660
1340.000000 90.962 149.1173
1360.000000 91.025 149.0532
1380.000000 91.083 148.9740
1400.000000 91.134 148.9250
1430.000000 91.216 148.9657
1450.000000 91.279 149.0109
1475.000000 91.361 149.0089
1500.000000 91.435 148.9827
1525.000000 91.504 148.9884
1550.000000 91.571 149.0228
1575.000000 91.638 149.0707
1600.000000 91.704 149.1296
1625.000000 91.769 149.2101
1650.000000 91.832 149.3259
1675.000000 91.895 149.4807
1700.000000 91.961 149.6679
1725.000000 92.030 149.8908
1750.000000 92.105 150.1460
1775.000000 92.186 150.4086
1800.000000 92.272 150.6591
1825.000000 92.361 150.8939
1850.000000 92.450 151.1106
1875.000000 92.538 151.3109
1900.000000 92.623 151.5157
1925.000000 92.705 151.7385
1950.000000 92.786 151.9898
1975.000000 92.869 152.2757
2000.000000 92.955 152.5798
2030.000000 93.057 152.9497
2060.000000 93.156 153.3732
2090.000000 93.257 153.9431
2120.000000 93.383 154.6464
2140.000000 93.483 155.1153
2180.000000 93.722 155.9779
2200.000000 93.852 156.2973
2240.000000 94.107 156.7786
2270.000000 94.296 157.1269
2300.000000 94.493 157.4790
2330.000000 94.704 157.7892
2360.000000 94.929 157.9958
2400.000000 95.234 158.0267
2430.000000 95.450 157.8813
2470.000000 95.718 157.6568
2500.000000 95.916 157.4963
2540.000000 96.183 157.2611
2580.000000 96.467 156.9892
2620.000000 96.770 156.4092
2650.000000 96.976 155.7447
2690.000000 97.215 154.7897
2720.000000 97.375 154.0727
2760.000000 97.569 153.1234
2800.000000 97.743 152.1978
2850.000000 97.936 151.1244
2900.000000 98.114 150.2333
2950.000000 98.305 149.4825
3000.000000 98.499 148.7497
3040.000000 98.669 148.2850
3070.000000 98.820 147.9586
3110.000000 99.062 147.4357
3150.000000 99.343 146.6716
3200.000000 99.723 145.2031
3250.000000 100.096 143.1039
3300.000000 100.452 140.6471
3350.000000 100.849 137.4626
3400.000000 101.171 132.9366
3450.000000 101.311 127.5063
3500.000000 101.226 121.6496
3550.000000 100.886 115.9409
3600.000000 100.321 111.2032
3650.000000 99.661 107.6986
3700.000000 98.945 105.0844
3750.000000 98.204 103.5537
3820.000000 97.220 102.6217
3870.000000 96.536 102.5685
3950.000000 95.501 103.6206
4000.000000 94.904 104.6739
4060.000000 94.205 106.2491
4120.000000 93.513 108.2713
4180.000000 92.826 110.8782
4250.000000 92.059 114.8967
4310.000000 91.482 119.2210
4370.000000 91.028 124.1864
4440.000000 90.689 130.2863
4500.000000 90.545 135.3230
4550.000000 90.499 139.2461
4620.000000 90.510 144.3427
4680.000000 90.580 148.3774
4750.000000 90.722 152.5967
4820.000000 90.895 156.1549
4870.000000 91.010 158.3486
4940.000000 91.143 161.1113
5000.000000 91.228 163.3393
5080.000000 91.310 166.2895
5150.000000 91.372 168.9874
5220.000000 91.453 171.7897
5300.000000 91.585 174.8881
5380.000000 91.731 177.6156
5450.000000 91.827 179.7632
5520.000000 91.875 -177.9826
5600.000000 91.916 -174.7966
5700.000000 92.121 -169.8714
5800.000000 92.609 -165.2533
5900.000000 93.321 -162.2079
6000.000000 94.128 -161.6040
6080.000000 94.714 -163.2579
6150.000000 95.061 -166.2436
6220.000000 95.157 -170.2039
6300.000000 94.897 -174.9366
6400.000000 94.067 -179.4511
6500.000000 92.869 178.9777
6600.000000 91.558 -179.1341
