* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -16.0 dBFS with no timing reference
* Dated: Dec 13, 2024 7:43:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 650 (New Pads) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.404 -91.7084
20.600000 78.511 -92.1981
20.900000 78.637 -92.7449
21.200001 78.767 -93.3737
21.400000 78.849 -93.8491
21.799999 78.991 -94.8883
22.000000 79.051 -95.4097
22.400000 79.159 -96.3518
22.700001 79.244 -96.9330
23.000000 79.341 -97.4287
23.299999 79.451 -97.8934
23.600000 79.565 -98.3745
24.000000 79.699 -99.0522
24.299999 79.777 -99.5422
24.700001 79.853 -100.0906
25.000000 79.905 -100.4200
25.400000 79.990 -100.8617
25.799999 80.102 -101.4993
26.200001 80.224 -102.4568
26.500000 80.305 -103.3460
26.900000 80.388 -104.5856
27.200001 80.436 -105.4261
27.600000 80.501 -106.3172
28.000000 80.582 -106.9638
28.500000 80.711 -107.5999
29.000000 80.840 -108.1940
29.500000 80.949 -108.7507
30.000000 81.046 -109.2775
30.400000 81.123 -109.7580
30.700001 81.180 -110.1965
31.100000 81.247 -110.8795
31.500000 81.305 -111.6007
32.000000 81.381 -112.4120
32.500000 81.491 -113.0989
33.000000 81.634 -113.8075
33.500000 81.770 -114.6469
34.000000 81.858 -115.5310
34.500000 81.901 -116.3044
35.000000 81.941 -116.9659
35.500000 82.011 -117.6825
36.000000 82.109 -118.5562
36.500000 82.216 -119.4657
37.000000 82.325 -120.2174
37.500000 82.441 -120.7970
38.200001 82.582 -121.6489
38.700001 82.624 -122.3546
39.500000 82.616 -123.1155
40.000000 82.660 -123.2652
40.599998 82.812 -123.6163
41.200001 82.969 -124.5336
41.799999 83.018 -125.6482
42.500000 82.977 -126.3535
43.099998 82.998 -126.4813
43.700001 83.111 -126.8126
44.400002 83.245 -127.7886
45.000000 83.279 -128.7057
45.500000 83.265 -129.2494
46.200001 83.257 -129.7641
46.799999 83.298 -130.2990
47.500000 83.388 -131.1423
48.200001 83.489 -131.9295
48.700001 83.554 -132.3334
49.400002 83.624 -132.7386
50.000000 83.661 -133.0649
50.799999 83.706 -133.6262
51.500000 83.770 -134.3125
52.200001 83.843 -135.1217
53.000000 83.901 -135.9555
53.799999 83.931 -136.6046
54.500000 83.949 -137.1495
55.200001 83.972 -137.7431
56.000000 84.024 -138.4732
57.000000 84.111 -139.5080
58.000000 84.164 -140.6201
59.000000 84.184 -141.6649
60.000000 84.207 -142.6745
60.799999 84.227 -143.4195
61.500000 84.244 -144.0110
62.200001 84.255 -144.6523
63.000000 84.245 -145.5273
64.000000 84.186 -146.6505
65.000000 84.081 -147.5622
66.000000 83.912 -147.9380
67.000000 83.756 -147.5934
68.000000 83.690 -146.9733
69.000000 83.702 -146.3276
70.000000 83.774 -145.9282
71.000000 83.858 -146.0389
72.000000 83.923 -146.3358
73.000000 83.987 -146.3648
74.000000 84.079 -146.2304
75.000000 84.178 -146.3393
76.199997 84.275 -146.7241
77.500000 84.358 -147.2095
78.800003 84.440 -147.8635
80.000000 84.518 -148.7273
81.199997 84.575 -149.4968
82.500000 84.605 -150.0763
83.800003 84.632 -150.4336
85.000000 84.683 -150.7623
86.199997 84.741 -151.1744
87.500000 84.811 -151.6394
88.500000 84.881 -152.0252
90.000000 84.994 -152.7841
91.199997 85.070 -153.5889
92.500000 85.123 -154.6246
93.800003 85.144 -155.6162
95.000000 85.143 -156.4000
96.199997 85.131 -157.0994
97.500000 85.115 -157.8015
98.800003 85.097 -158.5167
100.000000 85.083 -159.1870
101.500000 85.071 -159.9552
103.000000 85.052 -160.6548
104.400002 85.018 -161.2913
106.000000 84.969 -161.9338
107.500000 84.907 -162.5147
109.000000 84.838 -163.0463
110.599998 84.752 -163.4531
112.000000 84.676 -163.6401
113.800003 84.602 -163.6292
115.000000 84.572 -163.5219
117.199997 84.580 -163.3187
118.000000 84.599 -163.2853
120.599998 84.676 -163.5537
122.000000 84.723 -163.9067
124.099998 84.758 -164.6975
125.000000 84.758 -165.1089
126.500000 84.734 -165.8165
128.000000 84.671 -166.4818
131.500000 84.431 -167.0811
132.000000 84.400 -167.0004
134.000000 84.325 -166.4116
136.000000 84.337 -165.8468
138.000000 84.400 -165.6900
140.000000 84.465 -165.9111
143.000000 84.528 -166.5899
145.000000 84.530 -167.1083
147.500000 84.489 -167.6481
150.000000 84.425 -167.9776
152.500000 84.360 -167.9751
155.000000 84.327 -167.7542
157.500000 84.347 -167.5283
160.000000 84.394 -167.5719
162.500000 84.435 -167.7766
165.000000 84.462 -168.0481
167.500000 84.477 -168.3678
170.000000 84.488 -168.7014
172.500000 84.497 -169.0427
175.000000 84.499 -169.3881
177.500000 84.496 -169.7097
180.000000 84.491 -169.9859
182.500000 84.478 -170.2544
185.000000 84.463 -170.5254
187.500000 84.449 -170.8130
190.000000 84.434 -171.0929
192.500000 84.422 -171.3741
195.000000 84.406 -171.6520
197.500000 84.386 -171.8840
200.000000 84.361 -172.0893
203.000000 84.325 -172.2825
206.000000 84.294 -172.4782
209.000000 84.268 -172.6633
212.000000 84.239 -172.8904
214.000000 84.213 -173.0543
218.000000 84.155 -173.3215
220.000000 84.137 -173.4490
224.000000 84.094 -173.6612
227.000000 84.046 -173.7762
230.000000 83.995 -173.8198
233.000000 83.950 -173.7546
236.000000 83.917 -173.5800
240.000000 83.896 -173.3731
243.000000 83.879 -173.3557
247.000000 83.846 -173.3468
250.000000 83.828 -173.2954
254.000000 83.824 -173.2049
258.000000 83.823 -173.1733
262.000000 83.812 -173.1689
265.000000 83.808 -173.1900
269.000000 83.804 -173.2482
272.000000 83.796 -173.3309
276.000000 83.780 -173.4594
280.000000 83.758 -173.5381
285.000000 83.726 -173.5871
290.000000 83.688 -173.6356
295.000000 83.650 -173.6363
300.000000 83.616 -173.5765
304.000000 83.596 -173.5020
307.000000 83.584 -173.4620
311.000000 83.566 -173.4330
315.000000 83.545 -173.3715
320.000000 83.517 -173.3170
325.000000 83.486 -173.2305
330.000000 83.453 -173.1063
335.000000 83.424 -172.9270
340.000000 83.402 -172.7278
345.000000 83.381 -172.5562
350.000000 83.367 -172.4269
355.000000 83.355 -172.3338
360.000000 83.347 -172.2188
365.000000 83.337 -172.0826
370.000000 83.317 -171.9667
375.000000 83.300 -171.8198
382.000000 83.275 -171.6636
387.000000 83.256 -171.5077
395.000000 83.243 -171.3212
400.000000 83.222 -171.2178
406.000000 83.199 -170.9984
412.000000 83.188 -170.6768
418.000000 83.180 -170.4159
425.000000 83.166 -170.2199
431.000000 83.143 -170.0304
437.000000 83.134 -169.6677
444.000000 83.159 -169.2821
450.000000 83.177 -169.1322
455.000000 83.181 -169.0284
462.000000 83.185 -168.8351
468.000000 83.190 -168.7281
475.000000 83.190 -168.5743
482.000000 83.186 -168.4402
487.000000 83.178 -168.3379
494.000000 83.171 -168.1100
500.000000 83.176 -167.9543
508.000000 83.184 -167.7794
515.000000 83.185 -167.6665
522.000000 83.177 -167.5476
530.000000 83.176 -167.4117
538.000000 83.175 -167.3341
545.000000 83.155 -167.3188
552.000000 83.124 -167.1896
560.000000 83.095 -166.9590
570.000000 83.060 -166.7053
580.000000 83.018 -166.4527
590.000000 82.963 -166.1070
600.000000 82.902 -165.5352
608.000000 82.874 -164.9559
615.000000 82.866 -164.4414
622.000000 82.868 -163.9312
630.000000 82.885 -163.3369
640.000000 82.927 -162.7705
650.000000 82.960 -162.4308
660.000000 82.969 -162.0462
670.000000 82.979 -161.6183
680.000000 82.979 -161.2147
690.000000 82.980 -160.7046
700.000000 82.995 -160.1429
710.000000 83.015 -159.5767
720.000000 83.052 -159.0045
730.000000 83.108 -158.5749
740.000000 83.154 -158.3027
750.000000 83.184 -157.9907
762.000000 83.222 -157.5611
775.000000 83.267 -157.1210
788.000000 83.322 -156.7487
800.000000 83.370 -156.5313
812.000000 83.395 -156.3330
825.000000 83.400 -156.0302
838.000000 83.402 -155.5617
850.000000 83.423 -155.0253
862.000000 83.485 -154.4983
875.000000 83.571 -154.3815
885.000000 83.600 -154.5364
900.000000 83.561 -154.8320
912.000000 83.449 -154.7989
925.000000 83.291 -153.9026
938.000000 83.224 -152.1991
950.000000 83.278 -150.6396
962.000000 83.404 -149.4938
975.000000 83.547 -148.8357
988.000000 83.647 -148.4352
1000.000000 83.717 -148.0820
1015.000000 83.780 -147.5531
1030.000000 83.831 -146.9303
1044.000000 83.866 -146.1467
1060.000000 83.970 -145.0237
1075.000000 84.093 -144.2789
1090.000000 84.218 -143.5444
1106.000000 84.357 -142.8622
1120.000000 84.485 -142.1710
1138.000000 84.693 -141.4366
1150.000000 84.834 -141.2151
1172.000000 85.090 -140.8424
1180.000000 85.193 -140.8627
1206.000000 85.436 -141.4191
1220.000000 85.524 -141.6281
1241.000000 85.645 -141.9394
1250.000000 85.681 -142.0805
1265.000000 85.717 -142.1156
1280.000000 85.772 -141.7842
1315.000000 86.064 -141.8491
1320.000000 86.088 -141.9978
1340.000000 86.145 -142.3120
1360.000000 86.213 -142.3958
1380.000000 86.280 -142.4893
1400.000000 86.357 -142.5188
1430.000000 86.440 -142.8837
1450.000000 86.464 -142.8408
1475.000000 86.531 -142.7995
1500.000000 86.576 -142.8529
1525.000000 86.596 -142.7673
1550.000000 86.621 -142.4313
1575.000000 86.674 -142.0582
1600.000000 86.737 -141.8104
1625.000000 86.772 -141.6940
1650.000000 86.782 -141.2256
1675.000000 86.818 -140.5898
1700.000000 86.869 -139.9104
1725.000000 86.945 -139.0875
1750.000000 87.077 -138.2004
1775.000000 87.244 -137.9172
1800.000000 87.340 -137.8592
1825.000000 87.403 -137.5070
1850.000000 87.497 -136.9124
1875.000000 87.610 -136.5556
1900.000000 87.700 -136.1147
1925.000000 87.812 -135.5776
1950.000000 87.928 -135.2516
1975.000000 88.003 -134.8797
2000.000000 88.088 -134.0403
2030.000000 88.298 -133.0523
2060.000000 88.519 -132.7162
2090.000000 88.676 -132.4358
2120.000000 88.843 -131.6741
2140.000000 89.009 -131.1525
2180.000000 89.350 -131.1490
2200.000000 89.456 -131.2612
2240.000000 89.660 -130.6543
2270.000000 89.899 -130.1108
2300.000000 90.150 -129.8816
2330.000000 90.396 -129.7257
2360.000000 90.666 -129.5163
2400.000000 91.076 -129.8356
2430.000000 91.330 -130.3568
2470.000000 91.669 -131.0060
2500.000000 91.909 -131.6623
2540.000000 92.215 -132.4758
2580.000000 92.541 -133.4397
2620.000000 92.839 -134.7359
2650.000000 93.047 -135.6714
2690.000000 93.314 -137.1771
2720.000000 93.470 -138.3500
2760.000000 93.661 -139.6938
2800.000000 93.861 -140.9580
2850.000000 94.129 -142.5976
2900.000000 94.393 -144.4713
2950.000000 94.621 -146.5855
3000.000000 94.818 -148.4957
3040.000000 95.000 -150.0986
3070.000000 95.123 -151.4203
3110.000000 95.273 -153.2620
3150.000000 95.407 -155.1424
3200.000000 95.578 -157.5725
3250.000000 95.715 -160.3198
3300.000000 95.813 -163.1358
3350.000000 95.870 -166.1027
3400.000000 95.858 -169.0802
3450.000000 95.794 -171.9361
3500.000000 95.687 -174.5633
3550.000000 95.566 -176.9991
3600.000000 95.416 -179.3168
3650.000000 95.244 178.7032
3700.000000 95.096 176.8021
3750.000000 94.925 174.7198
3820.000000 94.606 172.0198
3870.000000 94.341 170.4146
3950.000000 93.893 168.5697
4000.000000 93.630 167.7853
4060.000000 93.322 166.9691
4120.000000 92.997 166.4310
4180.000000 92.673 166.4163
4250.000000 92.350 167.0344
4310.000000 92.158 168.0271
4370.000000 92.069 169.0912
4440.000000 92.083 170.1072
4500.000000 92.161 170.5218
4550.000000 92.245 170.5078
4620.000000 92.358 170.0891
4680.000000 92.455 169.4229
4750.000000 92.550 168.2802
4820.000000 92.605 166.8342
4870.000000 92.617 165.7341
4940.000000 92.604 164.1722
