* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -16.0 dBFS with no timing reference
* Dated: Dec 13, 2024 7:47:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 650 (New Pads) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.118 -85.0858
20.600000 78.214 -85.7343
20.900000 78.325 -86.4435
21.200001 78.438 -87.1587
21.400000 78.511 -87.6249
21.799999 78.655 -88.4923
22.000000 78.727 -88.8815
22.400000 78.876 -89.5794
22.700001 78.995 -90.0726
23.000000 79.118 -90.5907
23.299999 79.242 -91.1706
23.600000 79.359 -91.8267
24.000000 79.502 -92.7998
24.299999 79.598 -93.5692
24.700001 79.718 -94.5958
25.000000 79.806 -95.3402
25.400000 79.923 -96.2658
25.799999 80.039 -97.0697
26.200001 80.154 -97.6975
26.500000 80.240 -98.0406
26.900000 80.362 -98.3746
27.200001 80.459 -98.6058
27.600000 80.592 -99.0157
28.000000 80.715 -99.6299
28.500000 80.841 -100.6495
29.000000 80.949 -101.7375
29.500000 81.079 -102.7052
30.000000 81.253 -103.5527
30.400000 81.403 -104.1990
30.700001 81.503 -104.6661
31.100000 81.600 -105.2209
31.500000 81.651 -105.6431
32.000000 81.675 -105.9842
32.500000 81.704 -106.2927
33.000000 81.778 -106.8373
33.500000 81.902 -107.7578
34.000000 82.045 -108.9424
34.500000 82.169 -110.0895
35.000000 82.255 -110.8911
35.500000 82.326 -111.2612
36.000000 82.418 -111.4529
36.500000 82.546 -111.8921
37.000000 82.682 -112.7824
37.500000 82.792 -113.9099
38.200001 82.910 -115.1815
38.700001 83.001 -115.7656
39.500000 83.109 -116.7833
40.000000 83.096 -117.5861
40.599998 83.031 -118.4116
41.200001 83.040 -119.0181
41.799999 83.184 -119.7759
42.500000 83.410 -121.0102
43.099998 83.554 -121.8911
43.700001 83.656 -122.3253
44.400002 83.763 -122.6517
45.000000 83.825 -123.1590
45.500000 83.843 -123.6898
46.200001 83.853 -124.3357
46.799999 83.898 -124.8578
47.500000 83.983 -125.7390
48.200001 84.035 -126.7928
48.700001 84.044 -127.3436
49.400002 84.071 -127.6388
50.000000 84.138 -127.6998
50.799999 84.255 -128.0868
51.500000 84.335 -128.8187
52.200001 84.402 -129.7730
53.000000 84.488 -130.9239
53.799999 84.585 -131.8240
54.500000 84.672 -132.3117
55.200001 84.736 -132.7401
56.000000 84.752 -133.3811
57.000000 84.741 -134.2902
58.000000 84.808 -135.1161
59.000000 84.924 -135.9665
60.000000 84.989 -137.1811
60.799999 84.987 -138.4079
61.500000 84.970 -139.3488
62.200001 84.962 -139.9890
63.000000 84.948 -140.4504
64.000000 84.894 -140.8865
65.000000 84.874 -141.4722
66.000000 84.896 -142.3769
67.000000 84.872 -143.0895
68.000000 84.820 -143.6285
69.000000 84.752 -144.4771
70.000000 84.636 -145.1496
71.000000 84.511 -145.0092
72.000000 84.459 -144.3009
73.000000 84.523 -143.5199
74.000000 84.683 -142.9793
75.000000 84.862 -142.8888
76.199997 85.034 -143.2973
77.500000 85.204 -144.0695
78.800003 85.310 -145.1053
80.000000 85.339 -145.9838
81.199997 85.385 -146.8716
82.500000 85.436 -147.6943
83.800003 85.468 -148.3832
85.000000 85.479 -149.1516
86.199997 85.488 -149.8515
87.500000 85.490 -150.3159
88.500000 85.490 -150.6354
90.000000 85.486 -151.3098
91.199997 85.469 -151.7380
92.500000 85.462 -151.9040
93.800003 85.476 -152.1926
95.000000 85.499 -152.5106
96.199997 85.557 -152.7710
97.500000 85.647 -153.1285
98.800003 85.718 -153.6313
100.000000 85.759 -154.0493
101.500000 85.825 -154.6478
103.000000 85.866 -155.4494
104.400002 85.869 -156.0689
106.000000 85.899 -156.8641
107.500000 85.950 -157.6730
109.000000 85.964 -158.3353
110.599998 85.942 -159.1047
112.000000 85.913 -159.9044
113.800003 85.888 -160.8374
115.000000 85.869 -161.3545
117.199997 85.798 -162.1569
118.000000 85.771 -162.4302
120.599998 85.665 -163.1432
122.000000 85.589 -163.4351
124.099998 85.478 -163.5624
125.000000 85.439 -163.4911
126.500000 85.391 -163.2977
128.000000 85.362 -163.0079
131.500000 85.404 -162.4836
132.000000 85.426 -162.4788
134.000000 85.522 -162.6415
136.000000 85.600 -163.0391
138.000000 85.648 -163.4950
140.000000 85.675 -163.9237
143.000000 85.706 -164.6217
145.000000 85.722 -165.1473
147.500000 85.748 -165.7848
150.000000 85.746 -166.4451
152.500000 85.688 -167.1226
155.000000 85.657 -167.7488
157.500000 85.603 -168.2105
160.000000 85.541 -168.3894
162.500000 85.513 -168.4514
165.000000 85.501 -168.5414
167.500000 85.508 -168.7762
170.000000 85.516 -169.1658
172.500000 85.521 -169.4793
175.000000 85.535 -169.8262
177.500000 85.551 -170.0893
180.000000 85.554 -170.2583
182.500000 85.530 -170.5813
185.000000 85.486 -170.9592
187.500000 85.464 -171.3353
190.000000 85.448 -171.7188
192.500000 85.444 -172.3025
195.000000 85.438 -172.8779
197.500000 85.391 -173.0334
200.000000 85.318 -173.0021
203.000000 85.253 -172.6932
206.000000 85.223 -172.5623
209.000000 85.206 -172.6055
212.000000 85.200 -172.6816
214.000000 85.189 -172.6600
218.000000 85.190 -172.7616
220.000000 85.211 -172.9960
224.000000 85.181 -173.9660
227.000000 85.137 -174.4660
230.000000 85.117 -174.5467
233.000000 85.092 -174.5688
236.000000 85.054 -174.8077
240.000000 84.997 -175.3936
243.000000 84.965 -175.2413
247.000000 84.950 -174.9852
250.000000 84.934 -175.0071
254.000000 84.886 -175.0737
258.000000 84.827 -175.1453
262.000000 84.791 -175.2022
265.000000 84.765 -175.3130
269.000000 84.748 -175.3644
272.000000 84.730 -175.3120
276.000000 84.686 -175.0651
280.000000 84.646 -174.8582
285.000000 84.658 -175.2320
290.000000 84.647 -175.7187
295.000000 84.590 -175.8482
300.000000 84.503 -175.7417
304.000000 84.454 -175.5504
307.000000 84.462 -175.4007
311.000000 84.488 -175.3161
315.000000 84.448 -175.2760
320.000000 84.412 -175.2532
325.000000 84.399 -175.2962
330.000000 84.372 -175.2375
335.000000 84.332 -175.2432
340.000000 84.297 -175.3488
345.000000 84.279 -175.3455
350.000000 84.264 -175.2305
355.000000 84.234 -175.1757
360.000000 84.197 -174.8219
365.000000 84.176 -174.4575
370.000000 84.159 -174.2720
375.000000 84.138 -174.2310
382.000000 84.148 -174.2855
387.000000 84.156 -174.2912
395.000000 84.179 -173.8135
400.000000 84.207 -173.8171
406.000000 84.172 -173.7820
412.000000 84.132 -173.7860
418.000000 84.108 -173.6460
425.000000 84.075 -173.3623
431.000000 84.030 -173.0789
437.000000 84.001 -173.0702
444.000000 84.002 -173.0407
450.000000 84.000 -172.8478
455.000000 83.987 -172.5621
462.000000 83.956 -172.2987
468.000000 83.959 -172.1835
475.000000 83.972 -172.1340
482.000000 83.965 -172.1279
487.000000 83.947 -171.9940
494.000000 83.952 -171.7773
500.000000 83.967 -171.7061
508.000000 83.963 -171.6301
515.000000 83.948 -171.6463
522.000000 83.923 -171.6304
530.000000 83.921 -171.5063
538.000000 83.923 -171.3913
545.000000 83.915 -171.3549
552.000000 83.873 -171.2535
560.000000 83.817 -171.0885
570.000000 83.764 -171.0075
580.000000 83.743 -171.1060
590.000000 83.697 -171.0329
600.000000 83.590 -170.5960
608.000000 83.498 -170.2793
615.000000 83.428 -169.8281
622.000000 83.380 -169.2132
630.000000 83.354 -168.4561
640.000000 83.362 -167.5436
650.000000 83.387 -166.7229
660.000000 83.409 -166.1295
670.000000 83.433 -165.5515
680.000000 83.455 -165.2251
690.000000 83.451 -164.5975
700.000000 83.474 -163.7877
710.000000 83.527 -163.2156
720.000000 83.574 -162.6155
730.000000 83.618 -162.0258
740.000000 83.680 -161.5097
750.000000 83.741 -161.2189
762.000000 83.800 -160.7909
775.000000 83.897 -160.2135
788.000000 83.997 -159.8046
800.000000 84.092 -159.5275
812.000000 84.203 -159.3550
825.000000 84.332 -159.5883
838.000000 84.401 -160.0004
850.000000 84.426 -160.2439
862.000000 84.454 -160.4707
875.000000 84.467 -160.9086
885.000000 84.431 -161.4598
900.000000 84.282 -162.0784
912.000000 84.099 -161.8985
925.000000 83.915 -160.7109
938.000000 83.858 -158.9294
950.000000 83.919 -157.6155
962.000000 84.008 -156.6326
975.000000 84.112 -155.7670
988.000000 84.241 -155.2835
1000.000000 84.359 -155.1044
1015.000000 84.438 -154.9854
1030.000000 84.461 -154.8479
1044.000000 84.472 -154.5389
1060.000000 84.508 -153.7750
1075.000000 84.603 -153.1052
1090.000000 84.728 -152.7308
1106.000000 84.872 -152.5508
1120.000000 84.948 -152.8675
1138.000000 84.964 -153.0451
1150.000000 84.968 -152.8669
1172.000000 84.989 -152.3991
1180.000000 85.010 -152.1029
1206.000000 85.103 -150.9428
1220.000000 85.180 -150.5720
1241.000000 85.329 -150.6228
1250.000000 85.373 -150.6670
1265.000000 85.419 -150.5794
1280.000000 85.441 -150.3596
1315.000000 85.598 -149.7054
1320.000000 85.627 -149.6847
1340.000000 85.706 -149.5968
1360.000000 85.746 -149.2908
1380.000000 85.792 -148.8081
1400.000000 85.916 -148.2742
1430.000000 86.167 -148.4478
1450.000000 86.256 -149.1469
1475.000000 86.274 -149.8299
1500.000000 86.224 -150.0841
1525.000000 86.197 -149.6707
1550.000000 86.225 -149.2126
1575.000000 86.299 -148.9345
1600.000000 86.301 -149.0262
1625.000000 86.232 -148.5819
1650.000000 86.266 -147.3548
1675.000000 86.390 -147.0979
1700.000000 86.383 -147.0948
1725.000000 86.396 -146.4056
1750.000000 86.446 -146.0519
1775.000000 86.413 -145.7116
1800.000000 86.393 -144.5889
1825.000000 86.438 -143.4751
1850.000000 86.462 -142.3277
1875.000000 86.536 -140.4761
1900.000000 86.793 -138.7617
1925.000000 87.090 -138.3579
1950.000000 87.258 -138.5135
1975.000000 87.366 -138.1001
2000.000000 87.507 -137.4732
2030.000000 87.739 -136.9576
2060.000000 87.932 -136.9566
2090.000000 88.093 -136.6248
2120.000000 88.288 -136.5370
2140.000000 88.359 -136.5692
2180.000000 88.564 -135.4407
2200.000000 88.743 -135.3039
2240.000000 88.972 -135.5207
2270.000000 89.168 -135.1569
2300.000000 89.360 -135.4141
2330.000000 89.454 -135.3959
2360.000000 89.593 -134.8688
2400.000000 89.818 -134.2302
2430.000000 90.023 -133.5269
2470.000000 90.355 -132.7203
2500.000000 90.685 -132.0778
2540.000000 91.197 -132.2000
2580.000000 91.665 -133.0688
2620.000000 92.090 -134.3393
2650.000000 92.382 -135.5388
2690.000000 92.721 -137.4571
2720.000000 92.924 -138.9547
2760.000000 93.135 -140.8578
2800.000000 93.304 -142.4263
2850.000000 93.569 -144.1045
2900.000000 93.853 -146.1801
2950.000000 94.115 -148.6427
3000.000000 94.318 -151.2326
3040.000000 94.441 -153.5103
3070.000000 94.485 -155.1830
3110.000000 94.513 -157.0749
3150.000000 94.563 -158.7313
3200.000000 94.638 -160.9987
3250.000000 94.672 -163.2296
3300.000000 94.721 -165.3102
3350.000000 94.761 -167.7397
3400.000000 94.727 -170.1445
3450.000000 94.690 -172.2711
3500.000000 94.659 -174.6368
3550.000000 94.556 -177.1272
3600.000000 94.391 -179.3055
3650.000000 94.218 178.8852
3700.000000 94.052 177.1604
3750.000000 93.870 175.5542
3820.000000 93.585 173.2940
3870.000000 93.324 171.9807
3950.000000 92.890 170.7308
4000.000000 92.644 170.3142
4060.000000 92.368 170.0717
4120.000000 92.116 170.0884
4180.000000 91.885 170.3707
4250.000000 91.636 171.2400
4310.000000 91.517 172.5580
4370.000000 91.520 173.9336
4440.000000 91.677 175.2154
4500.000000 91.887 175.5198
4550.000000 92.069 175.3887
4620.000000 92.341 174.6076
4680.000000 92.553 173.2623
4750.000000 92.713 171.1397
4820.000000 92.778 168.9977
4870.000000 92.799 167.5958
4940.000000 92.832 165.6843
