* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 13, 2024 7:28:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 650 (Soulwit CG NF) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.250 -89.5252
20.600000 79.349 -90.1102
20.900000 79.464 -90.7831
21.200001 79.583 -91.5246
21.400000 79.662 -92.0568
21.799999 79.810 -93.1661
22.000000 79.879 -93.7060
22.400000 80.008 -94.6579
22.700001 80.109 -95.2183
23.000000 80.222 -95.6699
23.299999 80.351 -96.0899
23.600000 80.491 -96.5731
24.000000 80.670 -97.4271
24.299999 80.778 -98.2249
24.700001 80.873 -99.3848
25.000000 80.913 -100.2250
25.400000 80.949 -101.2079
25.799999 80.995 -102.0347
26.200001 81.065 -102.7683
26.500000 81.130 -103.2692
26.900000 81.225 -103.8149
27.200001 81.303 -104.0820
27.600000 81.430 -104.2535
28.000000 81.591 -104.3720
28.500000 81.820 -104.8279
29.000000 82.008 -105.8459
29.500000 82.106 -107.2008
30.000000 82.138 -108.4799
30.400000 82.164 -109.3212
30.700001 82.201 -109.8773
31.100000 82.275 -110.5831
31.500000 82.358 -111.2519
32.000000 82.455 -111.9251
32.500000 82.552 -112.3704
33.000000 82.663 -112.8116
33.500000 82.762 -113.5378
34.000000 82.810 -114.5122
34.500000 82.818 -115.3912
35.000000 82.856 -115.9556
35.500000 82.982 -116.4271
36.000000 83.165 -117.2050
36.500000 83.313 -118.3566
37.000000 83.363 -119.5336
37.500000 83.334 -120.3188
38.200001 83.308 -120.6466
38.700001 83.377 -120.7795
39.500000 83.614 -121.7118
40.000000 83.759 -122.7588
40.599998 83.860 -124.0684
41.200001 83.874 -124.9698
41.799999 83.857 -125.3632
42.500000 83.868 -125.7677
43.099998 83.886 -126.5255
43.700001 83.887 -127.4985
44.400002 83.915 -128.4665
45.000000 83.991 -129.1956
45.500000 84.056 -129.8431
46.200001 84.095 -130.6761
46.799999 84.101 -131.2216
47.500000 84.126 -131.9283
48.200001 84.147 -132.7531
48.700001 84.157 -133.1315
49.400002 84.205 -133.2765
50.000000 84.275 -133.4654
50.799999 84.291 -134.2171
51.500000 84.211 -134.9190
52.200001 84.136 -135.3678
53.000000 84.104 -135.7555
53.799999 84.091 -136.0195
54.500000 84.095 -136.2041
55.200001 84.101 -136.5252
56.000000 84.078 -136.7865
57.000000 84.065 -136.5872
58.000000 84.045 -136.6292
59.000000 83.969 -136.6635
60.000000 84.085 -136.3758
60.799999 84.296 -136.4817
61.500000 84.447 -136.6164
62.200001 84.554 -136.5638
63.000000 84.656 -136.5186
64.000000 84.773 -136.9223
65.000000 84.893 -137.7356
66.000000 84.995 -138.5696
67.000000 85.079 -139.1177
68.000000 85.169 -139.6580
69.000000 85.249 -140.3524
70.000000 85.324 -140.9952
71.000000 85.405 -141.5562
72.000000 85.482 -142.0764
73.000000 85.565 -142.4180
74.000000 85.671 -142.7408
75.000000 85.744 -143.3395
76.199997 85.772 -144.1636
77.500000 85.851 -145.1663
78.800003 85.938 -145.9965
80.000000 85.990 -146.3857
81.199997 86.021 -147.1007
82.500000 86.055 -148.3272
83.800003 86.099 -149.4476
85.000000 86.133 -150.1470
86.199997 86.147 -150.7861
87.500000 86.150 -151.6271
88.500000 86.154 -152.3184
90.000000 86.161 -153.1531
91.199997 86.156 -153.8207
92.500000 86.149 -154.6438
93.800003 86.150 -155.4207
95.000000 86.120 -156.0486
96.199997 86.063 -156.5146
97.500000 86.008 -156.9878
98.800003 85.945 -157.7256
100.000000 85.873 -158.3369
101.500000 85.842 -158.2941
103.000000 85.849 -158.1656
104.400002 85.835 -158.4959
106.000000 85.838 -158.8863
107.500000 85.868 -159.0864
109.000000 85.880 -159.3795
110.599998 85.880 -159.8066
112.000000 85.870 -160.1792
113.800003 85.834 -160.6128
115.000000 85.808 -160.9491
117.199997 85.782 -161.4157
118.000000 85.770 -161.5516
120.599998 85.703 -161.9317
122.000000 85.680 -162.0205
124.099998 85.660 -162.0644
125.000000 85.660 -162.0685
126.500000 85.671 -162.0362
128.000000 85.687 -162.0217
131.500000 85.737 -162.1954
132.000000 85.745 -162.2475
134.000000 85.772 -162.5463
136.000000 85.789 -162.8420
138.000000 85.803 -163.0949
140.000000 85.807 -163.3712
143.000000 85.825 -163.8473
145.000000 85.849 -164.2235
147.500000 85.877 -164.6661
150.000000 85.899 -165.3141
152.500000 85.893 -165.7067
155.000000 85.883 -165.8252
157.500000 85.874 -166.2988
160.000000 85.861 -167.1407
162.500000 85.864 -167.2634
165.000000 85.865 -167.2357
167.500000 85.862 -167.5222
170.000000 85.851 -167.9119
172.500000 85.836 -168.2502
175.000000 85.811 -168.6123
177.500000 85.779 -169.0012
180.000000 85.767 -169.3152
182.500000 85.768 -169.5766
185.000000 85.753 -169.7653
187.500000 85.747 -169.9104
190.000000 85.751 -170.0336
192.500000 85.767 -170.3001
195.000000 85.765 -170.4494
197.500000 85.710 -170.4614
200.000000 85.644 -170.7392
203.000000 85.623 -171.3024
206.000000 85.621 -171.6144
209.000000 85.590 -171.7894
212.000000 85.537 -171.9556
214.000000 85.497 -172.0872
218.000000 85.426 -172.3285
220.000000 85.389 -172.4735
224.000000 85.329 -172.5140
227.000000 85.283 -172.4182
230.000000 85.246 -172.3862
233.000000 85.228 -172.4246
236.000000 85.214 -172.7420
240.000000 85.134 -173.4025
243.000000 85.118 -173.0814
247.000000 85.144 -172.2005
250.000000 85.148 -171.9803
254.000000 85.147 -172.0991
258.000000 85.137 -172.2381
262.000000 85.113 -172.3158
265.000000 85.092 -172.3959
269.000000 85.066 -172.4400
272.000000 85.050 -172.4115
276.000000 85.031 -172.3421
280.000000 85.000 -172.2928
285.000000 84.959 -172.3176
290.000000 84.939 -172.3501
295.000000 84.927 -172.7385
300.000000 84.865 -172.4540
304.000000 84.838 -172.0349
307.000000 84.828 -171.9783
311.000000 84.810 -171.9099
315.000000 84.800 -171.8418
320.000000 84.813 -171.7235
325.000000 84.798 -171.5294
330.000000 84.761 -171.5769
335.000000 84.718 -171.5439
340.000000 84.678 -171.3939
345.000000 84.665 -171.1270
350.000000 84.676 -171.1932
355.000000 84.685 -171.3510
360.000000 84.667 -171.0750
365.000000 84.640 -170.7168
370.000000 84.617 -170.5388
375.000000 84.601 -170.2899
382.000000 84.583 -169.9364
387.000000 84.574 -169.7390
395.000000 84.556 -169.5365
400.000000 84.534 -169.4075
406.000000 84.520 -169.1053
412.000000 84.519 -168.7244
418.000000 84.511 -168.4126
425.000000 84.502 -168.0938
431.000000 84.491 -167.8065
437.000000 84.482 -167.5278
444.000000 84.500 -167.2462
450.000000 84.524 -167.0237
455.000000 84.537 -166.8263
462.000000 84.546 -166.5627
468.000000 84.557 -166.3426
475.000000 84.558 -166.1010
482.000000 84.550 -165.9146
487.000000 84.555 -165.6807
494.000000 84.577 -165.2650
500.000000 84.594 -164.9735
508.000000 84.603 -164.7875
515.000000 84.611 -164.5367
522.000000 84.629 -164.2028
530.000000 84.666 -163.9113
538.000000 84.696 -163.6644
545.000000 84.718 -163.4324
552.000000 84.737 -163.1767
560.000000 84.767 -162.9045
570.000000 84.800 -162.5994
580.000000 84.827 -162.2812
590.000000 84.867 -161.9429
600.000000 84.914 -161.5965
608.000000 84.949 -161.3884
615.000000 84.979 -161.2408
622.000000 85.007 -161.1028
630.000000 85.034 -160.9405
640.000000 85.068 -160.7134
650.000000 85.110 -160.4945
660.000000 85.150 -160.2342
670.000000 85.190 -160.0123
680.000000 85.227 -159.8519
690.000000 85.270 -159.7173
700.000000 85.326 -159.5343
710.000000 85.371 -159.3988
720.000000 85.400 -159.2403
730.000000 85.435 -159.0833
740.000000 85.479 -159.0153
750.000000 85.509 -158.9181
762.000000 85.552 -158.6986
775.000000 85.617 -158.6118
788.000000 85.667 -158.6387
800.000000 85.711 -158.6650
812.000000 85.750 -158.6940
825.000000 85.789 -158.7545
838.000000 85.826 -158.8548
850.000000 85.858 -159.0859
862.000000 85.868 -159.5222
875.000000 85.827 -160.1373
885.000000 85.733 -160.5271
900.000000 85.492 -160.3159
912.000000 85.317 -159.0376
925.000000 85.283 -157.1479
938.000000 85.382 -155.6045
950.000000 85.518 -154.6745
962.000000 85.664 -154.0979
975.000000 85.812 -153.8479
988.000000 85.935 -153.8290
1000.000000 86.017 -153.9192
1015.000000 86.068 -154.0718
1030.000000 86.096 -153.9603
1044.000000 86.127 -153.6887
1060.000000 86.196 -153.3716
1075.000000 86.275 -153.1865
1090.000000 86.335 -153.2064
1106.000000 86.372 -153.2750
1120.000000 86.399 -153.2471
1138.000000 86.422 -153.1378
1150.000000 86.424 -152.9369
1172.000000 86.470 -152.0663
1180.000000 86.521 -151.7877
1206.000000 86.699 -151.6583
1220.000000 86.751 -151.8192
1241.000000 86.780 -151.9140
1250.000000 86.784 -151.8721
1265.000000 86.788 -151.5919
1280.000000 86.821 -151.0658
1315.000000 87.032 -150.8116
1320.000000 87.046 -150.8942
1340.000000 87.072 -151.0183
1360.000000 87.093 -150.9789
1380.000000 87.117 -150.7614
1400.000000 87.159 -150.3781
1430.000000 87.249 -150.1850
1450.000000 87.281 -150.1377
1475.000000 87.299 -150.0106
1500.000000 87.324 -149.5950
1525.000000 87.369 -149.1483
1550.000000 87.418 -148.9691
1575.000000 87.411 -148.5841
1600.000000 87.441 -147.7755
1625.000000 87.518 -147.1949
1650.000000 87.574 -146.7641
1675.000000 87.632 -146.1578
1700.000000 87.706 -145.6044
1725.000000 87.765 -144.9533
1750.000000 87.866 -144.1275
1775.000000 87.997 -143.6290
1800.000000 88.107 -143.1238
1825.000000 88.226 -142.6712
1850.000000 88.354 -142.3727
1875.000000 88.435 -142.3009
1900.000000 88.483 -141.7357
1925.000000 88.603 -140.9428
1950.000000 88.752 -140.6339
1975.000000 88.833 -140.4770
2000.000000 88.891 -139.7137
2030.000000 89.096 -138.4384
2060.000000 89.361 -138.1157
2090.000000 89.537 -138.1964
2120.000000 89.669 -137.7851
2140.000000 89.799 -137.3287
2180.000000 90.094 -137.0919
2200.000000 90.206 -137.0431
2240.000000 90.443 -136.4885
2270.000000 90.686 -136.1004
2300.000000 90.928 -136.1690
2330.000000 91.130 -136.1823
2360.000000 91.359 -136.0025
2400.000000 91.721 -135.9637
2430.000000 92.010 -136.3105
2470.000000 92.368 -137.1023
2500.000000 92.628 -137.8482
2540.000000 92.943 -139.2886
2580.000000 93.201 -140.8351
2620.000000 93.385 -142.4752
2650.000000 93.470 -143.3517
2690.000000 93.620 -144.1538
2720.000000 93.757 -144.7532
2760.000000 93.958 -145.6256
2800.000000 94.159 -146.6446
2850.000000 94.384 -147.9185
2900.000000 94.653 -148.9744
2950.000000 94.968 -150.5518
3000.000000 95.259 -152.4739
3040.000000 95.472 -154.2924
3070.000000 95.598 -155.7731
3110.000000 95.732 -157.6517
3150.000000 95.861 -159.4666
3200.000000 96.011 -161.7076
3250.000000 96.181 -164.0433
3300.000000 96.337 -166.8020
3350.000000 96.424 -169.8420
3400.000000 96.440 -172.8314
3450.000000 96.413 -175.6831
3500.000000 96.350 -178.4308
3550.000000 96.260 178.9511
3600.000000 96.139 176.3878
3650.000000 95.987 174.0204
3700.000000 95.824 171.7897
3750.000000 95.641 169.6281
3820.000000 95.336 166.7180
3870.000000 95.066 164.8955
3950.000000 94.601 162.8182
4000.000000 94.329 161.9285
4060.000000 94.030 161.0910
4120.000000 93.747 160.4139
4180.000000 93.475 159.9606
4250.000000 93.187 159.7871
4310.000000 92.990 159.8359
4370.000000 92.838 159.9578
4440.000000 92.725 160.0362
4500.000000 92.669 159.8973
4550.000000 92.638 159.5488
4620.000000 92.574 158.7834
4680.000000 92.500 158.0869
4750.000000 92.411 157.2307
4820.000000 92.315 156.2744
4870.000000 92.237 155.5267
4940.000000 92.105 154.4437
