* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 13, 2024 7:25:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 650 (Soulwit CG NF) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.402 -91.1599
20.600000 81.508 -91.8933
20.900000 81.611 -92.6497
21.200001 81.701 -93.3704
21.400000 81.757 -93.8371
21.799999 81.866 -94.7724
22.000000 81.924 -95.2561
22.400000 82.053 -96.2752
22.700001 82.163 -97.0770
23.000000 82.281 -97.8825
23.299999 82.401 -98.6523
23.600000 82.517 -99.3439
24.000000 82.653 -100.0832
24.299999 82.738 -100.4767
24.700001 82.829 -100.8025
25.000000 82.889 -100.9523
25.400000 82.973 -101.1744
25.799999 83.080 -101.6319
26.200001 83.212 -102.5096
26.500000 83.322 -103.4669
26.900000 83.467 -105.0199
27.200001 83.567 -106.2387
27.600000 83.689 -107.6938
28.000000 83.808 -108.7865
28.500000 83.963 -109.6558
29.000000 84.114 -110.2442
29.500000 84.226 -110.7845
30.000000 84.290 -111.2921
30.400000 84.332 -111.6670
30.700001 84.373 -111.9746
31.100000 84.445 -112.5049
31.500000 84.524 -113.2113
32.000000 84.600 -114.2119
32.500000 84.647 -115.0780
33.000000 84.696 -115.7060
33.500000 84.765 -116.2702
34.000000 84.836 -116.9387
34.500000 84.892 -117.6678
35.000000 84.952 -118.3831
35.500000 85.042 -119.2179
36.000000 85.145 -120.3478
36.500000 85.214 -121.6325
37.000000 85.241 -122.6368
37.500000 85.276 -123.0654
38.200001 85.420 -123.1276
38.700001 85.544 -123.3411
39.500000 85.629 -124.0321
40.000000 85.634 -124.4536
40.599998 85.665 -125.1471
41.200001 85.713 -126.3531
41.799999 85.722 -127.8022
42.500000 85.707 -129.0027
43.099998 85.758 -129.5071
43.700001 85.876 -129.9968
44.400002 86.000 -130.8788
45.000000 86.033 -131.6521
45.500000 86.023 -132.1392
46.200001 86.006 -132.7261
46.799999 86.002 -133.3969
47.500000 85.981 -134.2552
48.200001 85.954 -134.6343
48.700001 85.962 -134.4722
49.400002 86.031 -133.9883
50.000000 86.119 -133.8155
50.799999 86.218 -134.3350
51.500000 86.272 -135.2796
52.200001 86.327 -136.1995
53.000000 86.432 -136.9559
53.799999 86.542 -137.6553
54.500000 86.579 -138.3658
55.200001 86.566 -139.0822
56.000000 86.560 -139.9261
57.000000 86.594 -141.0815
58.000000 86.628 -141.9029
59.000000 86.672 -142.4660
60.000000 86.687 -143.3927
60.799999 86.639 -144.2238
61.500000 86.564 -144.7372
62.200001 86.483 -145.0330
63.000000 86.408 -145.2697
64.000000 86.365 -145.5651
65.000000 86.374 -145.7278
66.000000 86.394 -145.6993
67.000000 86.415 -145.6233
68.000000 86.481 -145.7303
69.000000 86.576 -145.8397
70.000000 86.667 -145.7110
71.000000 86.721 -145.6495
72.000000 86.751 -145.7244
73.000000 86.817 -146.0121
74.000000 86.883 -146.5875
75.000000 86.910 -147.0493
76.199997 86.951 -147.3349
77.500000 87.029 -147.7668
78.800003 87.114 -148.3287
80.000000 87.195 -148.9512
81.199997 87.235 -149.6752
82.500000 87.258 -150.1559
83.800003 87.300 -150.4250
85.000000 87.346 -150.7335
86.199997 87.408 -151.2251
87.500000 87.484 -151.8335
88.500000 87.537 -152.1693
90.000000 87.607 -152.7423
91.199997 87.640 -153.4773
92.500000 87.678 -154.2758
93.800003 87.727 -154.9440
95.000000 87.765 -155.4935
96.199997 87.778 -156.0369
97.500000 87.783 -156.5940
98.800003 87.788 -157.3495
100.000000 87.772 -158.2421
101.500000 87.719 -158.9867
103.000000 87.710 -159.1958
104.400002 87.721 -159.6135
106.000000 87.689 -160.4382
107.500000 87.672 -161.0382
109.000000 87.670 -161.4536
110.599998 87.627 -161.9527
112.000000 87.586 -162.3385
113.800003 87.560 -162.6579
115.000000 87.548 -162.8576
117.199997 87.522 -163.1234
118.000000 87.511 -163.2391
120.599998 87.500 -163.6486
122.000000 87.516 -163.6433
124.099998 87.538 -163.7180
125.000000 87.552 -163.8279
126.500000 87.580 -164.0882
128.000000 87.605 -164.3972
131.500000 87.642 -165.2594
132.000000 87.644 -165.3980
134.000000 87.639 -165.9631
136.000000 87.621 -166.5054
138.000000 87.594 -166.9882
140.000000 87.553 -167.3758
143.000000 87.479 -167.6760
145.000000 87.444 -167.7816
147.500000 87.425 -167.8810
150.000000 87.431 -167.8836
152.500000 87.458 -168.0768
155.000000 87.497 -168.5566
157.500000 87.524 -168.9518
160.000000 87.584 -169.5278
162.500000 87.599 -169.9985
165.000000 87.539 -170.2597
167.500000 87.499 -170.6338
170.000000 87.484 -170.9632
172.500000 87.474 -171.3500
175.000000 87.453 -171.8410
177.500000 87.420 -172.2485
180.000000 87.385 -172.4827
182.500000 87.363 -172.5742
185.000000 87.355 -172.7095
187.500000 87.336 -173.0078
190.000000 87.299 -173.3108
192.500000 87.229 -173.4284
195.000000 87.131 -173.4322
197.500000 87.038 -173.6994
200.000000 86.963 -174.5887
203.000000 86.950 -176.0668
206.000000 87.063 -176.9239
209.000000 87.197 -176.3634
212.000000 87.190 -175.2391
214.000000 87.110 -174.7997
218.000000 86.990 -175.3762
220.000000 86.963 -175.4917
224.000000 86.876 -175.7498
227.000000 86.839 -175.9083
230.000000 86.795 -176.0917
233.000000 86.784 -176.0900
236.000000 86.769 -176.1246
240.000000 86.747 -176.3515
243.000000 86.743 -176.4579
247.000000 86.695 -176.1302
250.000000 86.680 -175.9059
254.000000 86.654 -175.9170
258.000000 86.610 -175.9328
262.000000 86.584 -175.8875
265.000000 86.567 -175.8858
269.000000 86.538 -175.8309
272.000000 86.521 -175.8341
276.000000 86.510 -175.8967
280.000000 86.500 -175.9685
285.000000 86.474 -176.0191
290.000000 86.427 -176.0013
295.000000 86.388 -175.5597
300.000000 86.360 -175.4878
304.000000 86.337 -175.7550
307.000000 86.313 -175.8976
311.000000 86.294 -175.8947
315.000000 86.284 -175.7794
320.000000 86.257 -175.6120
325.000000 86.237 -175.4825
330.000000 86.219 -175.5097
335.000000 86.181 -175.5793
340.000000 86.137 -175.4912
345.000000 86.106 -175.4549
350.000000 86.085 -175.3052
355.000000 86.056 -174.9009
360.000000 86.034 -174.7962
365.000000 86.036 -174.8869
370.000000 86.020 -174.7543
375.000000 86.002 -174.5956
382.000000 85.969 -174.5205
387.000000 85.935 -174.3725
395.000000 85.901 -174.0344
400.000000 85.885 -173.7947
406.000000 85.892 -173.5400
412.000000 85.905 -173.4862
418.000000 85.911 -173.3019
425.000000 85.890 -173.0912
431.000000 85.859 -172.9298
437.000000 85.844 -172.6604
444.000000 85.844 -172.4733
450.000000 85.828 -172.3392
455.000000 85.813 -172.1582
462.000000 85.806 -171.7705
468.000000 85.810 -171.4751
475.000000 85.814 -171.2416
482.000000 85.805 -171.0088
487.000000 85.799 -170.8243
494.000000 85.801 -170.6342
500.000000 85.808 -170.3986
508.000000 85.818 -170.0915
515.000000 85.823 -169.9109
522.000000 85.820 -169.6424
530.000000 85.815 -169.3554
538.000000 85.828 -169.0799
545.000000 85.844 -168.8616
552.000000 85.848 -168.6366
560.000000 85.856 -168.3126
570.000000 85.883 -167.9711
580.000000 85.907 -167.6275
590.000000 85.932 -167.3202
600.000000 85.967 -167.0043
608.000000 85.993 -166.8197
615.000000 86.007 -166.6994
622.000000 86.019 -166.5215
630.000000 86.038 -166.3145
640.000000 86.080 -166.0347
650.000000 86.118 -165.7931
660.000000 86.145 -165.6046
670.000000 86.176 -165.4231
680.000000 86.211 -165.2773
690.000000 86.244 -165.0328
700.000000 86.277 -164.7650
710.000000 86.316 -164.6077
720.000000 86.355 -164.4908
730.000000 86.393 -164.3801
740.000000 86.436 -164.3296
750.000000 86.470 -164.2899
762.000000 86.508 -164.1936
775.000000 86.552 -164.0992
788.000000 86.600 -164.0837
800.000000 86.646 -164.1139
812.000000 86.687 -164.2093
825.000000 86.722 -164.4420
838.000000 86.740 -164.7912
850.000000 86.736 -165.1338
862.000000 86.710 -165.5163
875.000000 86.630 -166.0249
885.000000 86.511 -166.2334
900.000000 86.303 -165.6849
912.000000 86.193 -164.5043
925.000000 86.188 -162.9871
938.000000 86.280 -161.7973
950.000000 86.390 -161.1898
962.000000 86.481 -160.8362
975.000000 86.578 -160.5727
988.000000 86.675 -160.5458
1000.000000 86.733 -160.7120
1015.000000 86.756 -161.0086
1030.000000 86.733 -161.0644
1044.000000 86.707 -160.6696
1060.000000 86.734 -159.9595
1075.000000 86.811 -159.5878
1090.000000 86.889 -159.4846
1106.000000 86.951 -159.6016
1120.000000 86.958 -159.7955
1138.000000 86.927 -159.7570
1150.000000 86.909 -159.6050
1172.000000 86.907 -159.0197
1180.000000 86.921 -158.7984
1206.000000 86.976 -158.2464
1220.000000 87.015 -158.1367
1241.000000 87.038 -158.1571
1250.000000 87.028 -158.1029
1265.000000 86.998 -157.8209
1280.000000 86.980 -157.2655
1315.000000 87.073 -156.1874
1320.000000 87.086 -156.1082
1340.000000 87.118 -155.8183
1360.000000 87.144 -155.3602
1380.000000 87.182 -154.7846
1400.000000 87.251 -154.1932
1430.000000 87.389 -153.9792
1450.000000 87.407 -154.1143
1475.000000 87.380 -153.7729
1500.000000 87.368 -152.9503
1525.000000 87.422 -152.0070
1550.000000 87.506 -151.3177
1575.000000 87.588 -150.9220
1600.000000 87.619 -150.5934
1625.000000 87.629 -149.7312
1650.000000 87.725 -148.7670
1675.000000 87.813 -148.3048
1700.000000 87.877 -147.6265
1725.000000 87.970 -147.0051
1750.000000 88.012 -146.5683
1775.000000 88.032 -145.4539
1800.000000 88.141 -144.1089
1825.000000 88.261 -143.0943
1850.000000 88.391 -141.6371
1875.000000 88.658 -140.0782
1900.000000 88.994 -139.4707
1925.000000 89.266 -139.5398
1950.000000 89.481 -139.5180
1975.000000 89.683 -139.5509
2000.000000 89.874 -139.4166
2030.000000 90.150 -139.3994
2060.000000 90.418 -139.8633
2090.000000 90.631 -140.6525
2120.000000 90.748 -141.4294
2140.000000 90.801 -141.5163
2180.000000 91.029 -141.3271
2200.000000 91.156 -141.5918
2240.000000 91.365 -141.9992
2270.000000 91.522 -142.4567
2300.000000 91.630 -142.9285
2330.000000 91.715 -143.0303
2360.000000 91.828 -142.8622
2400.000000 92.056 -142.3124
2430.000000 92.300 -142.2307
2470.000000 92.608 -142.5251
2500.000000 92.858 -142.8910
2540.000000 93.169 -143.7811
2580.000000 93.466 -144.8099
2620.000000 93.742 -146.1623
2650.000000 93.909 -147.3392
2690.000000 94.081 -148.7487
2720.000000 94.208 -149.6598
2760.000000 94.377 -150.8719
2800.000000 94.550 -151.9995
2850.000000 94.779 -153.5269
2900.000000 95.020 -155.1264
2950.000000 95.266 -157.1739
3000.000000 95.445 -159.5224
3040.000000 95.537 -161.3562
3070.000000 95.588 -162.5738
3110.000000 95.678 -164.0043
3150.000000 95.795 -165.6051
3200.000000 95.905 -167.8590
3250.000000 95.992 -169.9806
3300.000000 96.104 -172.2416
3350.000000 96.182 -174.8662
3400.000000 96.212 -177.6028
3450.000000 96.191 179.5814
3500.000000 96.113 176.7806
3550.000000 95.977 174.1824
3600.000000 95.821 171.9041
3650.000000 95.669 169.6821
3700.000000 95.482 167.3887
3750.000000 95.239 165.2882
3820.000000 94.860 162.9359
3870.000000 94.575 161.5432
3950.000000 94.110 160.0262
4000.000000 93.841 159.4604
4060.000000 93.556 159.0016
4120.000000 93.313 158.7633
4180.000000 93.120 158.4182
4250.000000 92.878 157.8985
4310.000000 92.665 157.7630
4370.000000 92.500 157.8830
4440.000000 92.388 157.8896
4500.000000 92.307 157.5849
4550.000000 92.248 157.2744
4620.000000 92.179 156.5413
4680.000000 92.095 155.5776
4750.000000 91.930 154.3505
4820.000000 91.716 153.3650
4870.000000 91.553 152.8234
4940.000000 91.328 152.2334
