* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 13, 2024 8:02:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 650 (Transtek Fabric) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.500 -80.1453
20.600000 78.608 -80.6016
20.900000 78.731 -81.0551
21.200001 78.858 -81.5204
21.400000 78.943 -81.8649
21.799999 79.107 -82.6699
22.000000 79.182 -83.1218
22.400000 79.315 -84.0463
22.700001 79.406 -84.6762
23.000000 79.501 -85.1977
23.299999 79.614 -85.6129
23.600000 79.754 -85.9769
24.000000 79.978 -86.5372
24.299999 80.157 -87.1077
24.700001 80.373 -88.0910
25.000000 80.497 -88.9157
25.400000 80.605 -89.9305
25.799999 80.671 -90.6551
26.200001 80.743 -91.0573
26.500000 80.826 -91.2638
26.900000 80.980 -91.6496
27.200001 81.110 -92.1293
27.600000 81.267 -92.9973
28.000000 81.380 -93.9113
28.500000 81.476 -94.7333
29.000000 81.587 -95.1217
29.500000 81.754 -95.4915
30.000000 81.932 -96.2532
30.400000 82.039 -97.1087
30.700001 82.092 -97.7596
31.100000 82.145 -98.4881
31.500000 82.210 -99.0110
32.000000 82.335 -99.5331
32.500000 82.493 -100.1421
33.000000 82.634 -100.8791
33.500000 82.735 -101.6195
34.000000 82.805 -102.3024
34.500000 82.862 -102.9820
35.000000 82.918 -103.7013
35.500000 82.990 -104.4235
36.000000 83.098 -105.1152
36.500000 83.242 -105.8034
37.000000 83.390 -106.4966
37.500000 83.507 -107.1048
38.200001 83.610 -107.6122
38.700001 83.677 -107.7941
39.500000 83.830 -108.3091
40.000000 83.938 -108.9130
40.599998 84.045 -109.6974
41.200001 84.125 -110.2451
41.799999 84.198 -110.5726
42.500000 84.283 -111.1440
43.099998 84.334 -112.0346
43.700001 84.366 -113.0862
44.400002 84.432 -114.1307
45.000000 84.539 -114.8686
45.500000 84.637 -115.4686
46.200001 84.735 -116.2281
46.799999 84.791 -116.6944
47.500000 84.878 -117.1971
48.200001 84.979 -117.9551
48.700001 85.032 -118.6008
49.400002 85.076 -119.3787
50.000000 85.110 -119.8290
50.799999 85.181 -120.2520
51.500000 85.264 -120.5535
52.200001 85.364 -120.8638
53.000000 85.479 -121.4320
53.799999 85.560 -122.2450
54.500000 85.611 -122.9258
55.200001 85.674 -123.4780
56.000000 85.765 -124.0900
57.000000 85.851 -124.9278
58.000000 85.911 -125.7718
59.000000 85.973 -126.6703
60.000000 86.025 -127.5302
60.799999 86.056 -128.1582
61.500000 86.076 -128.7252
62.200001 86.088 -129.2995
63.000000 86.100 -129.8675
64.000000 86.129 -130.3938
65.000000 86.153 -130.8165
66.000000 86.165 -131.1120
67.000000 86.195 -131.4198
68.000000 86.234 -131.8840
69.000000 86.276 -132.2863
70.000000 86.339 -132.5580
71.000000 86.406 -132.8713
72.000000 86.455 -133.2176
73.000000 86.501 -133.6048
74.000000 86.545 -134.0878
75.000000 86.581 -134.4747
76.199997 86.636 -134.7435
77.500000 86.704 -135.0306
78.800003 86.768 -135.4721
80.000000 86.829 -135.8425
81.199997 86.910 -136.1267
82.500000 87.000 -136.4512
83.800003 87.082 -136.8130
85.000000 87.158 -137.1727
86.199997 87.234 -137.5967
87.500000 87.315 -138.1192
88.500000 87.378 -138.5312
90.000000 87.466 -139.0706
91.199997 87.530 -139.4828
92.500000 87.594 -139.9324
93.800003 87.666 -140.4209
95.000000 87.727 -140.9702
96.199997 87.784 -141.5287
97.500000 87.847 -142.0864
98.800003 87.907 -142.6009
100.000000 87.960 -143.1203
101.500000 88.023 -143.8279
103.000000 88.075 -144.5527
104.400002 88.118 -145.2172
106.000000 88.166 -145.9488
107.500000 88.205 -146.6439
109.000000 88.230 -147.2993
110.599998 88.246 -147.9304
112.000000 88.260 -148.4563
113.800003 88.280 -149.0969
115.000000 88.294 -149.5289
117.199997 88.319 -150.2993
118.000000 88.326 -150.5617
120.599998 88.342 -151.4486
122.000000 88.348 -151.8816
124.099998 88.354 -152.4829
125.000000 88.354 -152.7220
126.500000 88.352 -153.0737
128.000000 88.351 -153.3901
131.500000 88.365 -154.1116
132.000000 88.368 -154.2143
134.000000 88.383 -154.6166
136.000000 88.397 -155.0109
138.000000 88.406 -155.3791
140.000000 88.416 -155.7195
143.000000 88.438 -156.1834
145.000000 88.453 -156.5081
147.500000 88.473 -156.9212
150.000000 88.491 -157.3006
152.500000 88.513 -157.6888
155.000000 88.537 -158.0516
157.500000 88.563 -158.4359
160.000000 88.588 -158.8362
162.500000 88.605 -159.1689
165.000000 88.625 -159.4583
167.500000 88.652 -159.7423
170.000000 88.681 -160.0363
172.500000 88.713 -160.3359
175.000000 88.752 -160.6267
177.500000 88.795 -160.9437
180.000000 88.838 -161.3025
182.500000 88.878 -161.7092
185.000000 88.914 -162.1838
187.500000 88.944 -162.6842
190.000000 88.971 -163.1919
192.500000 88.989 -163.6778
195.000000 89.000 -164.1287
197.500000 89.009 -164.5482
200.000000 89.023 -164.9358
203.000000 89.043 -165.4093
206.000000 89.059 -165.9293
209.000000 89.070 -166.4530
212.000000 89.074 -166.9459
214.000000 89.075 -167.2593
218.000000 89.078 -167.8587
220.000000 89.076 -168.1339
224.000000 89.071 -168.6905
227.000000 89.063 -169.1257
230.000000 89.050 -169.5162
233.000000 89.037 -169.8552
236.000000 89.024 -170.1615
240.000000 89.010 -170.5298
243.000000 89.009 -170.7380
247.000000 89.020 -171.0188
250.000000 89.030 -171.2742
254.000000 89.042 -171.6865
258.000000 89.053 -172.1054
262.000000 89.062 -172.5302
265.000000 89.067 -172.8660
269.000000 89.071 -173.3117
272.000000 89.072 -173.6384
276.000000 89.070 -174.0917
280.000000 89.064 -174.5350
285.000000 89.054 -175.0626
290.000000 89.040 -175.5617
295.000000 89.024 -176.0457
300.000000 89.008 -176.4817
304.000000 88.993 -176.8011
307.000000 88.985 -177.0151
311.000000 88.975 -177.3145
315.000000 88.965 -177.6541
320.000000 88.954 -178.0848
325.000000 88.936 -178.5153
330.000000 88.917 -178.9334
335.000000 88.899 -179.3020
340.000000 88.877 -179.6628
345.000000 88.856 179.9985
350.000000 88.841 179.6435
355.000000 88.823 179.2513
360.000000 88.803 178.8833
365.000000 88.783 178.5237
370.000000 88.756 178.1712
375.000000 88.728 177.8424
382.000000 88.688 177.3867
387.000000 88.655 177.1071
395.000000 88.617 176.7198
400.000000 88.593 176.4536
406.000000 88.558 176.1364
412.000000 88.533 175.8608
418.000000 88.516 175.5502
425.000000 88.485 175.1132
431.000000 88.449 174.7771
437.000000 88.416 174.5012
444.000000 88.382 174.1411
450.000000 88.345 173.7767
455.000000 88.307 173.5039
462.000000 88.254 173.2135
468.000000 88.206 172.9927
475.000000 88.153 172.7915
482.000000 88.104 172.5923
487.000000 88.074 172.4822
494.000000 88.042 172.3495
500.000000 88.021 172.1710
508.000000 87.986 171.8236
515.000000 87.942 171.5165
522.000000 87.895 171.3194
530.000000 87.846 171.0771
538.000000 87.794 170.7968
545.000000 87.743 170.5750
552.000000 87.690 170.4215
560.000000 87.637 170.2946
570.000000 87.576 170.1234
580.000000 87.517 169.9472
590.000000 87.459 169.7867
600.000000 87.405 169.6235
608.000000 87.360 169.4921
615.000000 87.321 169.3916
622.000000 87.284 169.2934
630.000000 87.242 169.1821
640.000000 87.193 169.0179
650.000000 87.142 168.8218
660.000000 87.088 168.6702
670.000000 87.036 168.4805
680.000000 86.979 168.2621
690.000000 86.916 168.0838
700.000000 86.854 167.9357
710.000000 86.791 167.7603
720.000000 86.726 167.6134
730.000000 86.662 167.4600
740.000000 86.595 167.3063
750.000000 86.524 167.1831
762.000000 86.436 167.0310
775.000000 86.328 166.9110
788.000000 86.227 166.9540
800.000000 86.153 166.9580
812.000000 86.076 166.9108
825.000000 85.992 166.8609
838.000000 85.910 166.7690
850.000000 85.830 166.6382
862.000000 85.745 166.3676
875.000000 85.612 165.9518
885.000000 85.473 165.7101
900.000000 85.220 165.6330
912.000000 84.988 166.0269
925.000000 84.758 167.1643
938.000000 84.633 168.6910
950.000000 84.614 169.8994
962.000000 84.634 170.6593
975.000000 84.651 171.0652
988.000000 84.635 171.1896
1000.000000 84.583 171.2915
1015.000000 84.488 171.6381
1030.000000 84.399 172.1640
1044.000000 84.324 172.6672
1060.000000 84.263 173.3116
1075.000000 84.202 173.6766
1090.000000 84.119 174.1388
1106.000000 84.027 174.6021
1120.000000 83.922 175.0207
1138.000000 83.780 175.9988
1150.000000 83.711 176.8129
1172.000000 83.651 178.5114
1180.000000 83.655 179.0302
1206.000000 83.649 -179.8659
1220.000000 83.631 -179.3589
1241.000000 83.559 -178.7562
1250.000000 83.507 -178.3516
1265.000000 83.426 -177.3930
1280.000000 83.385 -176.1327
1315.000000 83.471 -174.1046
1320.000000 83.475 -173.9403
1340.000000 83.450 -173.1667
1360.000000 83.423 -172.1393
1380.000000 83.410 -170.9953
1400.000000 83.424 -169.7473
1430.000000 83.515 -168.2697
1450.000000 83.529 -167.5522
1475.000000 83.529 -166.3797
1500.000000 83.552 -165.0249
1525.000000 83.596 -163.7829
1550.000000 83.635 -162.4889
1575.000000 83.686 -161.1463
1600.000000 83.757 -159.6910
1625.000000 83.857 -158.4538
1650.000000 83.927 -157.2155
1675.000000 84.019 -155.7851
1700.000000 84.139 -154.4173
1725.000000 84.275 -153.2281
1750.000000 84.375 -152.1161
1775.000000 84.495 -150.4929
1800.000000 84.700 -149.0041
1825.000000 84.910 -147.9805
1850.000000 85.097 -146.9764
1875.000000 85.299 -145.9560
1900.000000 85.514 -144.9797
1925.000000 85.741 -144.2009
1950.000000 85.943 -143.4977
1975.000000 86.151 -142.6160
2000.000000 86.400 -141.6460
2030.000000 86.766 -140.8458
2060.000000 87.100 -140.7614
2090.000000 87.362 -140.6382
2120.000000 87.652 -140.0908
2140.000000 87.892 -139.8912
2180.000000 88.320 -140.3784
2200.000000 88.481 -140.6199
2240.000000 88.833 -140.4006
2270.000000 89.195 -140.5700
2300.000000 89.502 -141.3672
2330.000000 89.776 -142.0367
2360.000000 90.049 -142.8737
2400.000000 90.364 -144.2065
2430.000000 90.558 -145.1511
2470.000000 90.812 -146.2363
2500.000000 91.008 -147.0862
2540.000000 91.242 -148.3142
2580.000000 91.451 -149.3618
2620.000000 91.680 -150.3136
2650.000000 91.861 -151.0891
2690.000000 92.102 -152.2242
2720.000000 92.268 -153.1552
2760.000000 92.477 -154.1534
2800.000000 92.762 -155.0521
2850.000000 93.174 -157.0548
2900.000000 93.480 -159.8607
2950.000000 93.672 -162.6342
3000.000000 93.817 -164.9188
3040.000000 93.948 -166.6924
3070.000000 94.040 -167.9403
3110.000000 94.199 -169.4858
3150.000000 94.396 -171.3513
3200.000000 94.624 -174.2023
3250.000000 94.799 -177.5530
3300.000000 94.863 178.8887
3350.000000 94.841 175.5268
3400.000000 94.768 172.4931
3450.000000 94.693 169.7429
3500.000000 94.596 166.9900
3550.000000 94.474 164.3958
3600.000000 94.327 161.8846
3650.000000 94.152 159.6134
3700.000000 93.974 157.5592
3750.000000 93.790 155.6695
3820.000000 93.544 153.3431
3870.000000 93.382 151.8186
3950.000000 93.146 149.4427
4000.000000 93.010 147.9765
4060.000000 92.855 146.1970
4120.000000 92.709 144.3216
4180.000000 92.546 142.2716
4250.000000 92.326 139.8287
4310.000000 92.107 137.7443
4370.000000 91.852 135.6857
4440.000000 91.530 133.5879
4500.000000 91.255 131.8584
4550.000000 91.026 130.4189
4620.000000 90.667 128.2591
4680.000000 90.303 126.5625
4750.000000 89.829 124.9498
4820.000000 89.333 123.7865
4870.000000 88.974 123.2836
4940.000000 88.491 123.0203
5000.000000 88.106 123.1420
5080.000000 87.681 123.7375
5150.000000 87.415 124.1458
5220.000000 87.197 124.1242
5300.000000 86.948 123.5140
5380.000000 86.618 122.4071
