* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 13, 2024 8:00:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 650 (Transtek Fabric) R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.020 -57.1537
20.600000 75.199 -57.5167
20.900000 75.390 -58.0104
21.200001 75.564 -58.6353
21.400000 75.667 -59.1074
21.799999 75.851 -60.0978
22.000000 75.940 -60.5795
22.400000 76.132 -61.4775
22.700001 76.302 -62.1197
23.000000 76.494 -62.7857
23.299999 76.698 -63.5121
23.600000 76.899 -64.3030
24.000000 77.139 -65.3997
24.299999 77.288 -66.1852
24.700001 77.449 -67.0884
25.000000 77.550 -67.6227
25.400000 77.681 -68.1504
25.799999 77.828 -68.5421
26.200001 78.003 -68.9331
26.500000 78.150 -69.3131
26.900000 78.349 -70.0061
27.200001 78.485 -70.6573
27.600000 78.631 -71.6018
28.000000 78.737 -72.4759
28.500000 78.854 -73.3187
29.000000 79.018 -74.0278
29.500000 79.242 -74.9639
30.000000 79.472 -76.2280
30.400000 79.625 -77.2606
30.700001 79.722 -77.8977
31.100000 79.844 -78.4886
31.500000 79.978 -78.8689
32.000000 80.160 -79.3507
32.500000 80.319 -80.0366
33.000000 80.436 -80.8158
33.500000 80.546 -81.5366
34.000000 80.693 -82.3121
34.500000 80.861 -83.3481
35.000000 80.999 -84.5650
35.500000 81.089 -85.6129
36.000000 81.177 -86.2792
36.500000 81.311 -86.7435
37.000000 81.484 -87.3132
37.500000 81.648 -88.0233
38.200001 81.847 -88.8818
38.700001 81.996 -89.3821
39.500000 82.230 -90.5035
40.000000 82.326 -91.3593
40.599998 82.418 -92.2181
41.200001 82.552 -93.0106
41.799999 82.699 -94.1071
42.500000 82.772 -95.4847
43.099998 82.787 -96.1208
43.700001 82.881 -96.4526
44.400002 83.098 -97.5114
45.000000 83.243 -99.0502
45.500000 83.300 -100.2123
46.200001 83.369 -101.1160
46.799999 83.474 -101.5501
47.500000 83.589 -102.1784
48.200001 83.638 -102.7424
48.700001 83.659 -102.9696
49.400002 83.700 -103.2533
50.000000 83.730 -103.6631
50.799999 83.744 -104.2915
51.500000 83.788 -104.7238
52.200001 83.910 -105.1688
53.000000 84.100 -105.8372
53.799999 84.272 -106.5392
54.500000 84.390 -107.1320
55.200001 84.483 -107.8150
56.000000 84.571 -108.7208
57.000000 84.673 -109.7229
58.000000 84.772 -110.4580
59.000000 84.851 -111.2244
60.000000 84.951 -112.2543
60.799999 85.056 -113.2902
61.500000 85.133 -114.1405
62.200001 85.188 -114.7749
63.000000 85.238 -115.3607
64.000000 85.279 -116.2088
65.000000 85.314 -117.0552
66.000000 85.367 -117.8219
67.000000 85.411 -118.5953
68.000000 85.446 -119.3296
69.000000 85.487 -119.9139
70.000000 85.538 -120.2653
71.000000 85.592 -120.6171
72.000000 85.634 -121.0543
73.000000 85.684 -121.4221
74.000000 85.737 -121.7325
75.000000 85.776 -121.9177
76.199997 85.862 -122.2077
77.500000 85.981 -122.9311
78.800003 86.089 -123.5140
80.000000 86.195 -124.0257
81.199997 86.296 -124.6654
82.500000 86.400 -125.3766
83.800003 86.490 -126.0367
85.000000 86.549 -126.6462
86.199997 86.589 -127.2071
87.500000 86.654 -127.7164
88.500000 86.721 -128.1454
90.000000 86.814 -128.8181
91.199997 86.880 -129.4432
92.500000 86.939 -130.1622
93.800003 86.997 -130.8184
95.000000 87.046 -131.3631
96.199997 87.100 -131.8803
97.500000 87.160 -132.4429
98.800003 87.211 -132.9837
100.000000 87.248 -133.4903
101.500000 87.299 -134.0595
103.000000 87.353 -134.5763
104.400002 87.389 -135.1836
106.000000 87.424 -135.8792
107.500000 87.470 -136.3805
109.000000 87.523 -136.8167
110.599998 87.583 -137.3172
112.000000 87.637 -137.8134
113.800003 87.704 -138.4653
115.000000 87.748 -138.9162
117.199997 87.825 -139.8091
118.000000 87.847 -140.1390
120.599998 87.902 -141.1676
122.000000 87.930 -141.7168
124.099998 87.963 -142.5311
125.000000 87.974 -142.8525
126.500000 87.987 -143.3301
128.000000 88.001 -143.7714
131.500000 88.037 -144.6837
132.000000 88.044 -144.8130
134.000000 88.068 -145.3224
136.000000 88.090 -145.7585
138.000000 88.118 -146.1554
140.000000 88.157 -146.5508
143.000000 88.219 -147.1786
145.000000 88.257 -147.6340
147.500000 88.300 -148.2099
150.000000 88.344 -148.7483
152.500000 88.382 -149.3322
155.000000 88.418 -149.8845
157.500000 88.450 -150.4720
160.000000 88.477 -151.0411
162.500000 88.502 -151.5184
165.000000 88.525 -151.9412
167.500000 88.553 -152.3308
170.000000 88.592 -152.7220
172.500000 88.632 -153.1444
175.000000 88.671 -153.5880
177.500000 88.710 -154.0378
180.000000 88.748 -154.5067
182.500000 88.789 -154.9700
185.000000 88.833 -155.4499
187.500000 88.874 -155.9544
190.000000 88.910 -156.4752
192.500000 88.941 -157.0121
195.000000 88.966 -157.5511
197.500000 88.984 -158.0889
200.000000 88.996 -158.6051
203.000000 89.008 -159.1661
206.000000 89.020 -159.6993
209.000000 89.029 -160.2294
212.000000 89.037 -160.7457
214.000000 89.044 -161.0601
218.000000 89.056 -161.6551
220.000000 89.063 -161.9506
224.000000 89.080 -162.5369
227.000000 89.096 -162.9600
230.000000 89.109 -163.3739
233.000000 89.123 -163.7933
236.000000 89.137 -164.2267
240.000000 89.153 -164.8135
243.000000 89.168 -165.2341
247.000000 89.184 -165.8396
250.000000 89.192 -166.3298
254.000000 89.194 -166.9550
258.000000 89.190 -167.5284
262.000000 89.183 -168.0393
265.000000 89.178 -168.3963
269.000000 89.175 -168.8385
272.000000 89.177 -169.1518
276.000000 89.185 -169.5798
280.000000 89.197 -170.0607
285.000000 89.204 -170.7407
290.000000 89.197 -171.4355
295.000000 89.174 -172.0774
300.000000 89.149 -172.6510
304.000000 89.130 -173.0494
307.000000 89.118 -173.3409
311.000000 89.102 -173.7142
315.000000 89.089 -174.0724
320.000000 89.073 -174.5297
325.000000 89.057 -174.9855
330.000000 89.037 -175.4221
335.000000 89.013 -175.8241
340.000000 88.991 -176.1729
345.000000 88.980 -176.4790
350.000000 88.980 -176.8269
355.000000 88.981 -177.2691
360.000000 88.973 -177.7439
365.000000 88.956 -178.2307
370.000000 88.930 -178.6935
375.000000 88.900 -179.1414
382.000000 88.844 -179.7490
387.000000 88.796 179.9664
395.000000 88.740 179.6842
400.000000 88.718 179.5164
406.000000 88.700 179.3531
412.000000 88.700 179.1536
418.000000 88.707 178.7971
425.000000 88.701 178.2494
431.000000 88.680 177.8296
437.000000 88.660 177.4659
444.000000 88.640 176.9734
450.000000 88.612 176.5171
455.000000 88.584 176.1849
462.000000 88.543 175.7777
468.000000 88.503 175.4526
475.000000 88.460 175.0887
482.000000 88.415 174.7600
487.000000 88.386 174.5527
494.000000 88.348 174.2671
500.000000 88.321 174.0435
508.000000 88.289 173.6717
515.000000 88.251 173.3082
522.000000 88.210 173.0269
530.000000 88.168 172.7016
538.000000 88.122 172.3180
545.000000 88.073 172.0093
552.000000 88.021 171.8232
560.000000 87.977 171.6674
570.000000 87.934 171.3386
580.000000 87.883 170.9757
590.000000 87.829 170.6190
600.000000 87.773 170.2513
608.000000 87.718 169.9828
615.000000 87.669 169.7716
622.000000 87.617 169.5953
630.000000 87.563 169.4674
640.000000 87.506 169.2839
650.000000 87.450 169.1042
660.000000 87.400 168.9221
670.000000 87.352 168.6824
680.000000 87.298 168.4589
690.000000 87.242 168.2688
700.000000 87.187 168.0930
710.000000 87.135 167.9191
720.000000 87.080 167.7253
730.000000 87.018 167.5597
740.000000 86.963 167.4429
750.000000 86.909 167.3232
762.000000 86.851 167.2663
775.000000 86.808 167.1978
788.000000 86.781 167.0344
800.000000 86.772 166.7574
812.000000 86.763 166.2203
825.000000 86.725 165.4610
838.000000 86.648 164.6199
850.000000 86.550 163.9182
862.000000 86.448 163.1653
875.000000 86.292 162.1752
885.000000 86.125 161.4869
900.000000 85.794 160.8204
912.000000 85.489 161.0529
925.000000 85.229 162.1481
938.000000 85.099 163.3956
950.000000 85.057 164.1423
962.000000 85.015 164.4745
975.000000 84.954 164.7012
988.000000 84.887 164.8365
1000.000000 84.814 164.8266
1015.000000 84.681 164.7322
1030.000000 84.503 164.8416
1044.000000 84.335 165.3234
1060.000000 84.199 166.0726
1075.000000 84.094 166.5153
1090.000000 83.976 166.9675
1106.000000 83.859 167.4056
1120.000000 83.736 167.6007
1138.000000 83.519 168.2009
1150.000000 83.388 168.8707
1172.000000 83.192 170.3049
1180.000000 83.139 170.8609
1206.000000 82.994 172.4380
1220.000000 82.937 173.2431
1241.000000 82.835 173.9663
1250.000000 82.757 174.2602
1265.000000 82.600 175.0930
1280.000000 82.468 176.4227
1315.000000 82.362 179.1096
1320.000000 82.343 179.3884
1340.000000 82.233 -179.3725
1360.000000 82.116 -177.7076
1380.000000 82.043 -175.7335
1400.000000 82.047 -173.5560
1430.000000 82.215 -171.2200
1450.000000 82.262 -170.5067
1475.000000 82.223 -169.3128
1500.000000 82.182 -167.5506
1525.000000 82.227 -165.6304
1550.000000 82.268 -164.2764
1575.000000 82.252 -162.6403
1600.000000 82.287 -160.6412
1625.000000 82.346 -158.9960
1650.000000 82.374 -157.0898
1675.000000 82.455 -154.8979
1700.000000 82.575 -152.8785
1725.000000 82.704 -150.9039
1750.000000 82.856 -148.7536
1775.000000 83.082 -146.5636
1800.000000 83.361 -144.8882
1825.000000 83.600 -143.7903
1850.000000 83.752 -142.5089
1875.000000 83.950 -140.3372
1900.000000 84.278 -138.3201
1925.000000 84.658 -136.7995
1950.000000 85.055 -135.7677
1975.000000 85.446 -135.1279
2000.000000 85.808 -134.8087
2030.000000 86.223 -134.6204
2060.000000 86.599 -134.7923
2090.000000 86.896 -134.9565
2120.000000 87.220 -134.5121
2140.000000 87.489 -134.4809
2180.000000 87.938 -135.1088
2200.000000 88.146 -135.2385
2240.000000 88.615 -135.8157
2270.000000 88.919 -136.7217
2300.000000 89.176 -137.4903
2330.000000 89.443 -138.1814
2360.000000 89.690 -139.0653
2400.000000 90.008 -140.1389
2430.000000 90.233 -141.1970
2470.000000 90.452 -142.5267
2500.000000 90.609 -143.1400
2540.000000 90.855 -144.0257
2580.000000 91.075 -144.8300
2620.000000 91.344 -145.5141
2650.000000 91.545 -146.2348
2690.000000 91.805 -147.0960
2720.000000 92.011 -147.7497
2760.000000 92.314 -148.5181
2800.000000 92.685 -149.5932
2850.000000 93.147 -151.7343
2900.000000 93.529 -154.6293
2950.000000 93.797 -157.4604
3000.000000 94.048 -160.0363
3040.000000 94.281 -162.1860
3070.000000 94.436 -164.1100
3110.000000 94.591 -166.6640
3150.000000 94.744 -169.1839
3200.000000 94.892 -172.7071
3250.000000 94.966 -176.1469
3300.000000 95.012 -179.7172
3350.000000 94.958 176.6494
3400.000000 94.824 173.4479
3450.000000 94.674 170.7975
3500.000000 94.544 168.3869
3550.000000 94.428 166.1119
3600.000000 94.325 163.7353
3650.000000 94.188 161.2480
3700.000000 93.996 158.8653
3750.000000 93.779 156.9092
3820.000000 93.506 154.5764
3870.000000 93.336 153.0105
3950.000000 93.059 150.3867
4000.000000 92.859 148.8957
4060.000000 92.624 147.4818
4120.000000 92.459 146.2920
4180.000000 92.355 144.6962
4250.000000 92.192 142.1251
4310.000000 91.953 139.7804
4370.000000 91.619 137.7479
4440.000000 91.194 136.3500
4500.000000 90.895 135.7795
4550.000000 90.727 135.3233
4620.000000 90.531 134.1301
4680.000000 90.341 132.8680
4750.000000 90.092 131.2977
4820.000000 89.804 129.6157
4870.000000 89.549 128.4564
4940.000000 89.149 127.4307
5000.000000 88.840 127.0629
5080.000000 88.534 126.7085
5150.000000 88.346 126.0715
5220.000000 88.178 124.7843
5300.000000 87.916 122.5166
5380.000000 87.486 119.8753
