* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 4:00:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 650 (Worn Pads) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.686 -90.4022
20.600000 77.790 -91.0606
20.900000 77.905 -91.7157
21.200001 78.020 -92.3226
21.400000 78.096 -92.7103
21.799999 78.243 -93.4769
22.000000 78.312 -93.8652
22.400000 78.438 -94.6564
22.700001 78.523 -95.2543
23.000000 78.601 -95.8477
23.299999 78.678 -96.4371
23.600000 78.758 -97.0324
24.000000 78.872 -97.8623
24.299999 78.964 -98.5242
24.700001 79.086 -99.4460
25.000000 79.175 -100.1344
25.400000 79.286 -100.9861
25.799999 79.395 -101.7164
26.200001 79.509 -102.3378
26.500000 79.600 -102.7770
26.900000 79.727 -103.4018
27.200001 79.820 -103.9315
27.600000 79.928 -104.7116
28.000000 80.014 -105.5092
28.500000 80.099 -106.3984
29.000000 80.183 -107.1077
29.500000 80.291 -107.7332
30.000000 80.418 -108.4305
30.400000 80.521 -109.0872
30.700001 80.593 -109.6241
31.100000 80.681 -110.3619
31.500000 80.760 -111.0887
32.000000 80.852 -111.9525
32.500000 80.937 -112.7495
33.000000 81.017 -113.4542
33.500000 81.098 -114.0541
34.000000 81.185 -114.5932
34.500000 81.279 -115.1613
35.000000 81.367 -115.8260
35.500000 81.440 -116.5820
36.000000 81.497 -117.3705
36.500000 81.546 -118.1318
37.000000 81.604 -118.8432
37.500000 81.676 -119.5203
38.200001 81.793 -120.4581
38.700001 81.867 -121.1160
39.500000 81.947 -122.0775
40.000000 81.979 -122.6393
40.599998 82.009 -123.3575
41.200001 82.029 -124.1033
41.799999 82.048 -124.7125
42.500000 82.103 -125.1845
43.099998 82.181 -125.6317
43.700001 82.243 -126.2844
44.400002 82.271 -127.0971
45.000000 82.304 -127.6481
45.500000 82.372 -128.0948
46.200001 82.504 -128.9279
46.799999 82.595 -129.7656
47.500000 82.655 -130.6286
48.200001 82.692 -131.4046
48.700001 82.712 -132.0398
49.400002 82.721 -133.0824
50.000000 82.717 -134.0427
50.799999 82.697 -135.3539
51.500000 82.647 -136.4840
52.200001 82.552 -137.4596
53.000000 82.400 -138.2714
53.799999 82.208 -138.6920
54.500000 82.021 -138.5692
55.200001 81.859 -137.9120
56.000000 81.747 -136.7151
57.000000 81.728 -134.8996
58.000000 81.851 -133.0778
59.000000 82.083 -131.7900
60.000000 82.357 -131.2140
60.799999 82.574 -131.2114
61.500000 82.746 -131.4421
62.200001 82.901 -131.8013
63.000000 83.058 -132.3207
64.000000 83.219 -133.0713
65.000000 83.347 -133.8698
66.000000 83.452 -134.6491
67.000000 83.544 -135.3267
68.000000 83.621 -135.9085
69.000000 83.677 -136.3801
70.000000 83.741 -136.7841
71.000000 83.826 -137.2069
72.000000 83.927 -137.6044
73.000000 84.036 -138.0054
74.000000 84.143 -138.5533
75.000000 84.242 -139.2673
76.199997 84.353 -140.2152
77.500000 84.457 -141.2324
78.800003 84.536 -142.2391
80.000000 84.592 -143.1191
81.199997 84.640 -143.9229
82.500000 84.683 -144.7716
83.800003 84.721 -145.6429
85.000000 84.752 -146.4387
86.199997 84.778 -147.1967
87.500000 84.806 -148.0222
88.500000 84.824 -148.6609
90.000000 84.836 -149.5955
91.199997 84.823 -150.3322
92.500000 84.791 -151.1004
93.800003 84.751 -151.7939
95.000000 84.712 -152.2919
96.199997 84.677 -152.6417
97.500000 84.649 -152.9111
98.800003 84.634 -153.1792
100.000000 84.618 -153.4450
101.500000 84.593 -153.6765
103.000000 84.583 -153.7375
104.400002 84.609 -153.7422
106.000000 84.668 -153.8921
107.500000 84.729 -154.2495
109.000000 84.778 -154.7291
110.599998 84.814 -155.3304
112.000000 84.825 -155.9085
113.800003 84.806 -156.5933
115.000000 84.779 -156.9507
117.199997 84.727 -157.2346
118.000000 84.715 -157.2245
120.599998 84.736 -157.1872
122.000000 84.783 -157.3558
124.099998 84.853 -157.7826
125.000000 84.878 -158.0063
126.500000 84.910 -158.4377
128.000000 84.933 -158.9151
131.500000 84.934 -160.0494
132.000000 84.927 -160.2020
134.000000 84.889 -160.7150
136.000000 84.851 -160.9804
138.000000 84.835 -161.0643
140.000000 84.846 -161.1930
143.000000 84.877 -161.5650
145.000000 84.892 -161.8652
147.500000 84.906 -162.2671
150.000000 84.916 -162.6786
152.500000 84.921 -163.0925
155.000000 84.919 -163.5016
157.500000 84.914 -163.8492
160.000000 84.909 -164.1754
162.500000 84.905 -164.5261
165.000000 84.902 -164.8246
167.500000 84.899 -165.1033
170.000000 84.897 -165.3752
172.500000 84.895 -165.6459
175.000000 84.892 -165.9306
177.500000 84.887 -166.2204
180.000000 84.880 -166.5227
182.500000 84.874 -166.7901
185.000000 84.870 -167.0527
187.500000 84.866 -167.3144
190.000000 84.858 -167.5724
192.500000 84.848 -167.8196
195.000000 84.838 -168.0610
197.500000 84.828 -168.2992
200.000000 84.815 -168.5355
203.000000 84.798 -168.8016
206.000000 84.781 -169.0607
209.000000 84.763 -169.3014
212.000000 84.743 -169.5439
214.000000 84.729 -169.7168
218.000000 84.696 -170.0381
220.000000 84.677 -170.1770
224.000000 84.636 -170.4334
227.000000 84.600 -170.5766
230.000000 84.563 -170.6642
233.000000 84.528 -170.7050
236.000000 84.499 -170.7010
240.000000 84.473 -170.6515
243.000000 84.463 -170.6056
247.000000 84.458 -170.5768
250.000000 84.454 -170.5983
254.000000 84.450 -170.6588
258.000000 84.447 -170.7594
262.000000 84.443 -170.8745
265.000000 84.436 -170.9628
269.000000 84.421 -171.0698
272.000000 84.410 -171.1179
276.000000 84.398 -171.2045
280.000000 84.384 -171.2900
285.000000 84.372 -171.3490
290.000000 84.362 -171.4658
295.000000 84.347 -171.5884
300.000000 84.332 -171.6742
304.000000 84.317 -171.7758
307.000000 84.303 -171.8377
311.000000 84.281 -171.8945
315.000000 84.258 -171.9496
320.000000 84.231 -171.9917
325.000000 84.210 -172.0096
330.000000 84.187 -172.0093
335.000000 84.163 -172.0139
340.000000 84.139 -171.9993
345.000000 84.116 -171.9344
350.000000 84.099 -171.8922
355.000000 84.082 -171.8687
360.000000 84.062 -171.8681
365.000000 84.036 -171.8615
370.000000 84.008 -171.7854
375.000000 83.982 -171.6760
382.000000 83.953 -171.5055
387.000000 83.936 -171.3564
395.000000 83.915 -171.1535
400.000000 83.901 -171.0315
406.000000 83.888 -170.8631
412.000000 83.881 -170.7003
418.000000 83.876 -170.5370
425.000000 83.873 -170.3598
431.000000 83.867 -170.2249
437.000000 83.859 -170.1164
444.000000 83.848 -169.9799
450.000000 83.838 -169.8202
455.000000 83.834 -169.6786
462.000000 83.835 -169.5088
468.000000 83.836 -169.3972
475.000000 83.832 -169.2785
482.000000 83.825 -169.1556
487.000000 83.820 -169.0728
494.000000 83.810 -168.9613
500.000000 83.798 -168.8454
508.000000 83.778 -168.6600
515.000000 83.760 -168.4537
522.000000 83.744 -168.2052
530.000000 83.734 -167.8844
538.000000 83.732 -167.5675
545.000000 83.734 -167.2967
552.000000 83.734 -167.0274
560.000000 83.739 -166.7053
570.000000 83.754 -166.3133
580.000000 83.772 -165.9505
590.000000 83.798 -165.6113
600.000000 83.826 -165.3401
608.000000 83.844 -165.1416
615.000000 83.858 -164.9843
622.000000 83.867 -164.8216
630.000000 83.881 -164.5785
640.000000 83.909 -164.3150
650.000000 83.932 -164.1048
660.000000 83.955 -163.8601
670.000000 83.978 -163.6733
680.000000 83.994 -163.4554
690.000000 84.019 -163.1756
700.000000 84.054 -162.9633
710.000000 84.086 -162.8479
720.000000 84.104 -162.7672
730.000000 84.116 -162.6476
740.000000 84.125 -162.5533
750.000000 84.123 -162.4087
762.000000 84.125 -162.1113
775.000000 84.135 -161.7736
788.000000 84.152 -161.3998
800.000000 84.178 -161.0488
812.000000 84.209 -160.7014
825.000000 84.256 -160.3653
838.000000 84.305 -160.1160
850.000000 84.359 -159.9043
862.000000 84.420 -159.8922
875.000000 84.464 -160.1293
885.000000 84.472 -160.3597
900.000000 84.441 -160.7520
912.000000 84.354 -161.0089
925.000000 84.203 -160.8513
938.000000 84.039 -159.9238
950.000000 83.964 -158.3620
962.000000 84.012 -156.7153
975.000000 84.156 -155.4829
988.000000 84.313 -154.8866
1000.000000 84.427 -154.6768
1015.000000 84.515 -154.4567
1030.000000 84.590 -154.0144
1044.000000 84.682 -153.5905
1060.000000 84.804 -153.2794
1075.000000 84.908 -153.2317
1090.000000 84.981 -153.2968
1106.000000 85.033 -153.2522
1120.000000 85.075 -153.1234
1138.000000 85.137 -152.8838
1150.000000 85.183 -152.7371
1172.000000 85.253 -152.5771
1180.000000 85.272 -152.4842
1206.000000 85.359 -152.1202
1220.000000 85.400 -152.0222
1241.000000 85.450 -151.7780
1250.000000 85.469 -151.6625
1265.000000 85.495 -151.4255
1280.000000 85.527 -151.0281
1315.000000 85.689 -150.2482
1320.000000 85.712 -150.2036
1340.000000 85.785 -150.0396
1360.000000 85.855 -149.6857
1380.000000 85.950 -149.3964
1400.000000 86.044 -149.2998
1430.000000 86.137 -149.1577
1450.000000 86.209 -149.0257
1475.000000 86.269 -148.9923
1500.000000 86.301 -148.6924
1525.000000 86.363 -148.1125
1550.000000 86.459 -147.5556
1575.000000 86.583 -147.1649
1600.000000 86.694 -146.9930
1625.000000 86.797 -146.7993
1650.000000 86.892 -146.7566
1675.000000 86.966 -146.6827
1700.000000 87.020 -146.6505
1725.000000 87.042 -146.3879
1750.000000 87.072 -145.8397
1775.000000 87.139 -144.9800
1800.000000 87.287 -144.1698
1825.000000 87.449 -143.9546
1850.000000 87.553 -143.8143
1875.000000 87.658 -143.4832
1900.000000 87.770 -143.2279
1925.000000 87.878 -143.0275
1950.000000 87.957 -142.8759
1975.000000 88.017 -142.4247
2000.000000 88.105 -141.6980
2030.000000 88.274 -140.6579
2060.000000 88.525 -139.9126
2090.000000 88.760 -139.7593
2120.000000 88.947 -139.4838
2140.000000 89.098 -139.1681
2180.000000 89.436 -139.0173
2200.000000 89.599 -139.1223
2240.000000 89.862 -139.5602
2270.000000 90.031 -139.5799
2300.000000 90.231 -139.4873
2330.000000 90.443 -139.4033
2360.000000 90.696 -139.2244
2400.000000 91.102 -139.5014
2430.000000 91.393 -140.2517
2470.000000 91.701 -141.4160
2500.000000 91.921 -142.1813
2540.000000 92.224 -143.2953
2580.000000 92.522 -144.6933
2620.000000 92.780 -146.3763
2650.000000 92.933 -147.7058
2690.000000 93.097 -149.2890
2720.000000 93.219 -150.3732
2760.000000 93.370 -151.8528
2800.000000 93.489 -153.2436
2850.000000 93.626 -154.5792
2900.000000 93.836 -155.4060
2950.000000 94.169 -156.6837
3000.000000 94.497 -158.7148
3040.000000 94.734 -160.6859
3070.000000 94.887 -162.3228
3110.000000 95.059 -164.5825
3150.000000 95.207 -166.9184
3200.000000 95.352 -170.0501
3250.000000 95.430 -173.2209
3300.000000 95.471 -176.3258
3350.000000 95.478 -179.5202
3400.000000 95.417 177.3095
3450.000000 95.317 174.3151
3500.000000 95.172 171.4339
3550.000000 94.993 168.8687
3600.000000 94.811 166.4646
3650.000000 94.614 164.2014
3700.000000 94.407 161.9624
3750.000000 94.160 159.7970
3820.000000 93.771 157.2501
3870.000000 93.492 155.6741
3950.000000 93.021 153.3885
4000.000000 92.710 152.1690
4060.000000 92.299 150.9458
4120.000000 91.862 150.2722
4180.000000 91.431 150.1683
4250.000000 90.967 150.9024
4310.000000 90.674 152.1456
4370.000000 90.494 153.5674
4440.000000 90.434 155.0244
4500.000000 90.473 155.7960
4550.000000 90.547 155.9658
4620.000000 90.644 155.3641
4680.000000 90.659 154.3411
4750.000000 90.600 153.1528
4820.000000 90.516 152.0015
4870.000000 90.434 151.1190
4940.000000 90.280 149.9598
5000.000000 90.133 149.1432
