* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 4:04:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 650 (Worn Pads) R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.965 -89.5138
20.600000 78.080 -90.2179
20.900000 78.198 -90.9654
21.200001 78.307 -91.6873
21.400000 78.376 -92.1497
21.799999 78.513 -93.0382
22.000000 78.581 -93.4725
22.400000 78.719 -94.3416
22.700001 78.819 -95.0000
23.000000 78.913 -95.6557
23.299999 79.000 -96.2912
23.600000 79.081 -96.8897
24.000000 79.188 -97.6242
24.299999 79.271 -98.1481
24.700001 79.392 -98.8669
25.000000 79.488 -99.4534
25.400000 79.613 -100.3035
25.799999 79.729 -101.1776
26.200001 79.836 -101.9923
26.500000 79.915 -102.5335
26.900000 80.025 -103.1740
27.200001 80.112 -103.6269
27.600000 80.228 -104.2420
28.000000 80.334 -104.8834
28.500000 80.446 -105.6785
29.000000 80.547 -106.4258
29.500000 80.653 -107.1802
30.000000 80.763 -108.0266
30.400000 80.844 -108.7577
30.700001 80.898 -109.2951
31.100000 80.964 -109.9451
31.500000 81.032 -110.5023
32.000000 81.128 -111.1301
32.500000 81.230 -111.7832
33.000000 81.326 -112.4964
33.500000 81.411 -113.2267
34.000000 81.493 -113.9346
34.500000 81.579 -114.6157
35.000000 81.668 -115.2703
35.500000 81.759 -115.8979
36.000000 81.852 -116.5284
36.500000 81.942 -117.2160
37.000000 82.024 -117.9799
37.500000 82.096 -118.7769
38.200001 82.193 -119.8448
38.700001 82.267 -120.5493
39.500000 82.373 -121.5312
40.000000 82.424 -122.0071
40.599998 82.482 -122.4970
41.200001 82.546 -123.1065
41.799999 82.609 -123.9930
42.500000 82.667 -125.2722
43.099998 82.707 -126.3174
43.700001 82.748 -127.1295
44.400002 82.804 -127.7677
45.000000 82.857 -128.2273
45.500000 82.901 -128.7216
46.200001 82.955 -129.7539
46.799999 82.988 -130.8861
47.500000 83.010 -132.1726
48.200001 83.023 -133.1658
48.700001 83.022 -133.7391
49.400002 82.986 -134.5998
50.000000 82.907 -135.5679
50.799999 82.726 -137.0852
51.500000 82.515 -138.0665
52.200001 82.306 -138.1235
53.000000 82.134 -137.1509
53.799999 82.007 -135.7832
54.500000 81.917 -134.4156
55.200001 81.928 -132.9340
56.000000 82.107 -131.6623
57.000000 82.411 -130.9837
58.000000 82.685 -130.7074
59.000000 82.922 -130.7383
60.000000 83.119 -130.9113
60.799999 83.264 -131.1709
61.500000 83.380 -131.5965
62.200001 83.490 -132.2024
63.000000 83.615 -133.0540
64.000000 83.761 -134.1969
65.000000 83.885 -135.3027
66.000000 83.980 -136.3719
67.000000 84.047 -137.2916
68.000000 84.092 -138.0742
69.000000 84.091 -138.7352
70.000000 84.064 -138.9832
71.000000 84.080 -138.9844
72.000000 84.123 -139.1185
73.000000 84.176 -139.2141
74.000000 84.267 -139.2621
75.000000 84.372 -139.4815
76.199997 84.496 -139.9515
77.500000 84.641 -140.7033
78.800003 84.745 -141.6422
80.000000 84.810 -142.4480
81.199997 84.891 -143.2762
82.500000 84.958 -144.1842
83.800003 84.997 -145.1363
85.000000 85.019 -145.9936
86.199997 85.050 -146.6475
87.500000 85.103 -147.1591
88.500000 85.145 -147.5882
90.000000 85.169 -148.6151
91.199997 85.188 -149.6164
92.500000 85.214 -150.4753
93.800003 85.199 -150.8970
95.000000 85.185 -151.2368
96.199997 85.191 -151.6772
97.500000 85.212 -152.1008
98.800003 85.246 -152.5763
100.000000 85.268 -153.1089
101.500000 85.269 -153.7138
103.000000 85.273 -154.3900
104.400002 85.271 -155.1249
106.000000 85.267 -155.9857
107.500000 85.281 -156.6689
109.000000 85.269 -157.2587
110.599998 85.210 -158.0246
112.000000 85.136 -158.6362
113.800003 85.024 -159.0438
115.000000 84.946 -159.0385
117.199997 84.862 -158.5391
118.000000 84.860 -158.2692
120.599998 84.944 -157.6958
122.000000 85.015 -157.8831
124.099998 85.079 -158.4383
125.000000 85.098 -158.7772
126.500000 85.127 -159.3926
128.000000 85.137 -159.9502
131.500000 85.101 -161.1357
132.000000 85.086 -161.2659
134.000000 85.000 -161.5600
136.000000 84.935 -161.6182
138.000000 84.922 -161.5046
140.000000 84.937 -161.2891
143.000000 84.979 -161.2557
145.000000 85.030 -161.4805
147.500000 85.079 -161.8395
150.000000 85.133 -162.3449
152.500000 85.200 -162.8384
155.000000 85.186 -163.1153
157.500000 85.193 -163.5197
160.000000 85.205 -163.9175
162.500000 85.202 -164.1861
165.000000 85.185 -164.4300
167.500000 85.190 -164.8397
170.000000 85.197 -165.1739
172.500000 85.199 -165.6626
175.000000 85.198 -166.0865
177.500000 85.196 -166.3617
180.000000 85.192 -166.5378
182.500000 85.165 -166.6527
185.000000 85.130 -166.8960
187.500000 85.119 -167.0368
190.000000 85.134 -167.2569
192.500000 85.173 -167.6146
195.000000 85.190 -167.9411
197.500000 85.145 -168.0756
200.000000 85.111 -168.2355
203.000000 85.094 -168.4477
206.000000 85.076 -168.7473
209.000000 85.066 -169.1552
212.000000 85.082 -169.6570
214.000000 85.075 -170.0829
218.000000 84.987 -170.7576
220.000000 84.928 -170.8346
224.000000 84.892 -170.7580
227.000000 84.905 -170.9133
230.000000 84.889 -171.0394
233.000000 84.853 -170.7802
236.000000 84.820 -170.4718
240.000000 84.815 -170.2994
243.000000 84.812 -170.4472
247.000000 84.791 -170.6191
250.000000 84.786 -170.7917
254.000000 84.779 -171.0165
258.000000 84.749 -171.0168
262.000000 84.710 -171.1916
265.000000 84.694 -171.3091
269.000000 84.676 -171.3365
272.000000 84.676 -171.3180
276.000000 84.698 -171.4858
280.000000 84.712 -171.5631
285.000000 84.674 -171.4601
290.000000 84.657 -171.5567
295.000000 84.653 -171.5352
300.000000 84.622 -171.6742
304.000000 84.582 -171.6774
307.000000 84.554 -171.6740
311.000000 84.549 -171.6555
315.000000 84.549 -171.7786
320.000000 84.530 -171.8430
325.000000 84.480 -171.7718
330.000000 84.447 -171.7437
335.000000 84.433 -171.7994
340.000000 84.413 -171.7379
345.000000 84.394 -171.4284
350.000000 84.367 -171.3823
355.000000 84.312 -171.3928
360.000000 84.263 -171.3126
365.000000 84.274 -171.3303
370.000000 84.287 -171.3466
375.000000 84.269 -171.1922
382.000000 84.201 -170.8946
387.000000 84.140 -170.5880
395.000000 84.131 -170.7180
400.000000 84.174 -170.8075
406.000000 84.196 -170.5694
412.000000 84.190 -170.3690
418.000000 84.193 -170.1810
425.000000 84.191 -170.0690
431.000000 84.173 -170.0037
437.000000 84.140 -169.9219
444.000000 84.115 -169.8040
450.000000 84.130 -169.6626
455.000000 84.141 -169.5893
462.000000 84.133 -169.4765
468.000000 84.093 -169.1539
475.000000 84.061 -168.8780
482.000000 84.058 -168.7017
487.000000 84.068 -168.6452
494.000000 84.094 -168.4989
500.000000 84.108 -168.3903
508.000000 84.096 -168.2287
515.000000 84.092 -167.9380
522.000000 84.085 -167.7616
530.000000 84.079 -167.6613
538.000000 84.095 -167.4945
545.000000 84.103 -167.3109
552.000000 84.095 -167.0337
560.000000 84.071 -166.6705
570.000000 84.045 -166.3595
580.000000 84.059 -166.1810
590.000000 84.097 -165.8330
600.000000 84.121 -165.3761
608.000000 84.126 -165.0048
615.000000 84.141 -164.7275
622.000000 84.165 -164.5294
630.000000 84.175 -164.3239
640.000000 84.191 -163.9201
650.000000 84.235 -163.6456
660.000000 84.266 -163.4622
670.000000 84.290 -163.1613
680.000000 84.321 -162.9922
690.000000 84.345 -162.7824
700.000000 84.365 -162.6003
710.000000 84.393 -162.5364
720.000000 84.424 -162.2842
730.000000 84.450 -162.0147
740.000000 84.478 -161.8630
750.000000 84.502 -161.7382
762.000000 84.542 -161.5842
775.000000 84.601 -161.4107
788.000000 84.652 -161.3067
800.000000 84.694 -161.1938
812.000000 84.726 -161.1628
825.000000 84.748 -161.1499
838.000000 84.766 -161.1491
850.000000 84.784 -161.2632
862.000000 84.808 -161.3654
875.000000 84.815 -161.6595
885.000000 84.788 -161.9628
900.000000 84.710 -162.2100
912.000000 84.600 -162.3879
925.000000 84.424 -162.2687
938.000000 84.232 -161.5449
950.000000 84.089 -160.1518
962.000000 84.045 -158.2590
975.000000 84.131 -156.4181
988.000000 84.280 -155.2263
1000.000000 84.434 -154.5554
1015.000000 84.608 -154.1622
1030.000000 84.723 -153.7507
1044.000000 84.814 -153.3586
1060.000000 84.924 -152.9992
1075.000000 85.004 -152.7781
1090.000000 85.070 -152.5858
1106.000000 85.161 -152.6552
1120.000000 85.217 -152.7908
1138.000000 85.255 -152.5463
1150.000000 85.288 -152.1342
1172.000000 85.395 -151.3955
1180.000000 85.444 -151.2853
1206.000000 85.593 -151.1803
1220.000000 85.645 -151.0602
1241.000000 85.704 -150.8411
1250.000000 85.733 -150.7963
1265.000000 85.787 -150.7714
1280.000000 85.843 -150.6227
1315.000000 85.929 -150.3113
1320.000000 85.938 -150.2872
1340.000000 85.959 -150.0935
1360.000000 85.998 -149.6836
1380.000000 86.078 -149.2763
1400.000000 86.153 -148.9750
1430.000000 86.263 -148.4145
1450.000000 86.328 -148.1231
1475.000000 86.450 -147.8799
1500.000000 86.538 -147.8580
1525.000000 86.574 -147.5524
1550.000000 86.651 -147.0231
1575.000000 86.779 -146.6810
1600.000000 86.848 -146.5928
1625.000000 86.894 -146.1999
1650.000000 86.975 -145.7633
1675.000000 87.112 -145.1046
1700.000000 87.272 -145.2322
1725.000000 87.311 -145.4596
1750.000000 87.338 -145.0353
1775.000000 87.432 -144.7211
1800.000000 87.483 -144.6920
1825.000000 87.509 -144.2743
1850.000000 87.556 -143.6980
1875.000000 87.611 -142.9127
1900.000000 87.714 -141.8436
1925.000000 87.910 -140.9211
1950.000000 88.124 -140.8849
1975.000000 88.218 -141.1376
2000.000000 88.268 -140.6837
2030.000000 88.412 -139.8596
2060.000000 88.557 -139.2319
2090.000000 88.741 -138.1910
2120.000000 89.010 -137.4999
2140.000000 89.199 -137.2172
2180.000000 89.568 -137.3596
2200.000000 89.695 -137.6355
2240.000000 89.964 -137.4288
2270.000000 90.214 -137.6049
2300.000000 90.416 -137.9591
2330.000000 90.619 -138.0794
2360.000000 90.822 -138.2811
2400.000000 91.093 -138.4905
2430.000000 91.319 -138.7222
2470.000000 91.639 -139.0339
2500.000000 91.922 -139.4117
2540.000000 92.277 -140.8212
2580.000000 92.516 -142.3472
2620.000000 92.725 -143.3800
2650.000000 92.917 -144.0415
2690.000000 93.191 -145.3472
2720.000000 93.366 -146.5562
2760.000000 93.548 -148.1588
2800.000000 93.690 -149.5535
2850.000000 93.886 -150.8275
2900.000000 94.145 -152.0020
2950.000000 94.488 -153.4947
3000.000000 94.827 -155.7923
3040.000000 95.055 -157.9824
3070.000000 95.196 -159.8055
3110.000000 95.320 -162.2793
3150.000000 95.405 -164.5482
3200.000000 95.500 -167.1900
3250.000000 95.616 -169.8642
3300.000000 95.721 -172.8782
3350.000000 95.759 -176.2438
3400.000000 95.722 -179.5876
3450.000000 95.606 177.0764
3500.000000 95.410 174.2094
3550.000000 95.209 171.8476
3600.000000 95.030 169.6418
3650.000000 94.838 167.4000
3700.000000 94.616 165.3002
3750.000000 94.381 163.3828
3820.000000 94.018 160.8708
3870.000000 93.747 159.4161
3950.000000 93.320 157.1772
4000.000000 93.014 155.8597
4060.000000 92.600 154.7556
4120.000000 92.191 154.2562
4180.000000 91.809 154.2170
4250.000000 91.416 154.7620
4310.000000 91.173 155.5725
4370.000000 90.986 156.3423
4440.000000 90.881 157.4351
4500.000000 90.886 157.8936
4550.000000 90.906 157.8018
4620.000000 90.921 157.3395
4680.000000 90.941 156.4736
4750.000000 90.873 154.8878
4820.000000 90.715 153.4186
4870.000000 90.569 152.4639
4940.000000 90.332 151.3123
5000.000000 90.105 150.4579
