* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Dec 14, 2024 2:07:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 650 (ZMF Lamb Perf) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.785 -90.7945
20.600000 78.867 -91.5264
20.900000 78.954 -92.2839
21.200001 79.043 -92.9882
21.400000 79.105 -93.4261
21.799999 79.237 -94.2394
22.000000 79.305 -94.6177
22.400000 79.437 -95.3042
22.700001 79.532 -95.7409
23.000000 79.626 -96.1149
23.299999 79.726 -96.4686
23.600000 79.836 -96.8785
24.000000 79.997 -97.6534
24.299999 80.117 -98.4552
24.700001 80.257 -99.7480
25.000000 80.342 -100.7549
25.400000 80.436 -101.9273
25.799999 80.530 -102.7644
26.200001 80.641 -103.2947
26.500000 80.731 -103.5813
26.900000 80.842 -103.9184
27.200001 80.906 -104.1540
27.600000 80.969 -104.4201
28.000000 81.032 -104.6445
28.500000 81.154 -105.0593
29.000000 81.327 -105.8857
29.500000 81.495 -107.0616
30.000000 81.619 -108.1750
30.400000 81.697 -108.8157
30.700001 81.757 -109.1784
31.100000 81.841 -109.6555
31.500000 81.920 -110.2680
32.000000 81.988 -111.2135
32.500000 82.037 -112.1239
33.000000 82.118 -112.8756
33.500000 82.246 -113.6408
34.000000 82.370 -114.5595
34.500000 82.437 -115.4494
35.000000 82.465 -116.0066
35.500000 82.532 -116.2487
36.000000 82.686 -116.5839
36.500000 82.886 -117.3762
37.000000 83.054 -118.5713
37.500000 83.135 -119.8071
38.200001 83.112 -121.0163
38.700001 83.054 -121.4177
39.500000 83.020 -121.6986
40.000000 83.071 -122.0112
40.599998 83.177 -122.7169
41.200001 83.272 -123.6061
41.799999 83.336 -124.4066
42.500000 83.405 -125.2541
43.099998 83.469 -126.1455
43.700001 83.523 -127.1489
44.400002 83.580 -128.0938
45.000000 83.649 -128.6335
45.500000 83.715 -129.0428
46.200001 83.772 -129.6698
46.799999 83.783 -130.1221
47.500000 83.808 -130.4861
48.200001 83.875 -130.9459
48.700001 83.926 -131.4181
49.400002 83.979 -132.1316
50.000000 84.022 -132.6930
50.799999 84.103 -133.5010
51.500000 84.174 -134.3128
52.200001 84.223 -135.0710
53.000000 84.254 -135.8116
53.799999 84.265 -136.5572
54.500000 84.281 -137.3753
55.200001 84.305 -138.4573
56.000000 84.306 -139.7200
57.000000 84.277 -140.3687
58.000000 84.309 -140.1783
59.000000 84.345 -140.3736
60.000000 84.322 -140.9632
60.799999 84.306 -141.3728
61.500000 84.310 -141.6778
62.200001 84.306 -142.0190
63.000000 84.269 -142.3969
64.000000 84.232 -142.7243
65.000000 84.248 -143.0203
66.000000 84.268 -142.9436
67.000000 84.313 -142.5891
68.000000 84.390 -142.6790
69.000000 84.502 -143.1284
70.000000 84.617 -143.5678
71.000000 84.672 -143.6775
72.000000 84.710 -143.7976
73.000000 84.752 -144.3221
74.000000 84.803 -144.8888
75.000000 84.863 -145.3367
76.199997 84.928 -145.8673
77.500000 85.006 -146.4105
78.800003 85.066 -146.8380
80.000000 85.107 -147.3453
81.199997 85.171 -148.0374
82.500000 85.250 -148.6803
83.800003 85.311 -149.3099
85.000000 85.354 -149.9891
86.199997 85.386 -150.6332
87.500000 85.413 -151.1583
88.500000 85.441 -151.4944
90.000000 85.483 -152.0765
91.199997 85.498 -152.9207
92.500000 85.503 -153.8833
93.800003 85.526 -154.3958
95.000000 85.537 -154.7156
96.199997 85.528 -155.1811
97.500000 85.524 -155.8004
98.800003 85.525 -156.4073
100.000000 85.517 -156.9084
101.500000 85.504 -157.4588
103.000000 85.494 -158.0378
104.400002 85.479 -158.5962
106.000000 85.450 -159.1163
107.500000 85.424 -159.5496
109.000000 85.402 -160.0282
110.599998 85.391 -160.3600
112.000000 85.381 -160.6031
113.800003 85.353 -161.0260
115.000000 85.332 -161.2420
117.199997 85.292 -161.5147
118.000000 85.283 -161.5872
120.599998 85.260 -161.8009
122.000000 85.237 -161.9576
124.099998 85.219 -162.0442
125.000000 85.215 -162.0336
126.500000 85.214 -162.0280
128.000000 85.225 -162.0667
131.500000 85.283 -162.4015
132.000000 85.293 -162.4612
134.000000 85.325 -162.7148
136.000000 85.350 -163.0401
138.000000 85.373 -163.4328
140.000000 85.393 -163.8805
143.000000 85.374 -164.5147
145.000000 85.341 -164.9453
147.500000 85.314 -165.3918
150.000000 85.295 -165.3588
152.500000 85.290 -165.2308
155.000000 85.296 -165.3129
157.500000 85.316 -165.4411
160.000000 85.338 -165.6771
162.500000 85.364 -165.9467
165.000000 85.400 -166.1983
167.500000 85.415 -166.4529
170.000000 85.411 -166.7799
172.500000 85.416 -167.0913
175.000000 85.428 -167.3672
177.500000 85.445 -167.5637
180.000000 85.456 -167.7614
182.500000 85.450 -168.1578
185.000000 85.454 -168.6260
187.500000 85.459 -168.8876
190.000000 85.456 -169.0953
192.500000 85.449 -169.2990
195.000000 85.439 -169.5459
197.500000 85.434 -169.7859
200.000000 85.436 -169.9973
203.000000 85.439 -170.3447
206.000000 85.428 -170.6578
209.000000 85.409 -170.9384
212.000000 85.389 -171.1777
214.000000 85.375 -171.3745
218.000000 85.346 -171.7548
220.000000 85.332 -171.8754
224.000000 85.307 -172.1285
227.000000 85.278 -172.3357
230.000000 85.240 -172.5031
233.000000 85.209 -172.5267
236.000000 85.185 -172.4908
240.000000 85.150 -172.3920
243.000000 85.153 -172.4441
247.000000 85.161 -172.6492
250.000000 85.163 -172.8123
254.000000 85.169 -172.9699
258.000000 85.170 -173.1060
262.000000 85.165 -173.3494
265.000000 85.163 -173.5175
269.000000 85.160 -173.6608
272.000000 85.150 -173.7619
276.000000 85.123 -173.8890
280.000000 85.110 -174.0792
285.000000 85.104 -174.2305
290.000000 85.080 -174.4612
295.000000 85.043 -174.4500
300.000000 85.012 -174.5329
304.000000 85.001 -174.7752
307.000000 84.998 -174.9772
311.000000 84.993 -175.1859
315.000000 84.976 -175.2951
320.000000 84.943 -175.4120
325.000000 84.887 -175.5730
330.000000 84.838 -175.5210
335.000000 84.815 -175.3449
340.000000 84.791 -175.2359
345.000000 84.754 -175.2874
350.000000 84.732 -175.2719
355.000000 84.752 -175.2123
360.000000 84.789 -175.1497
365.000000 84.772 -175.1508
370.000000 84.722 -175.2602
375.000000 84.678 -175.2795
382.000000 84.656 -175.2606
387.000000 84.652 -175.1920
395.000000 84.639 -174.9749
400.000000 84.632 -174.9884
406.000000 84.608 -175.1417
412.000000 84.572 -175.1721
418.000000 84.559 -175.0770
425.000000 84.556 -174.9997
431.000000 84.542 -174.9883
437.000000 84.530 -174.9626
444.000000 84.529 -174.9316
450.000000 84.526 -174.9383
455.000000 84.515 -175.0135
462.000000 84.494 -175.1518
468.000000 84.466 -175.2031
475.000000 84.419 -175.2272
482.000000 84.376 -175.1789
487.000000 84.341 -175.0952
494.000000 84.285 -174.9185
500.000000 84.255 -174.7661
508.000000 84.224 -174.5040
515.000000 84.185 -174.2336
522.000000 84.149 -173.9440
530.000000 84.128 -173.5694
538.000000 84.127 -173.2061
545.000000 84.111 -172.9900
552.000000 84.094 -172.7250
560.000000 84.106 -172.4549
570.000000 84.124 -172.3010
580.000000 84.122 -172.1539
590.000000 84.096 -171.8710
600.000000 84.059 -171.4718
608.000000 84.051 -171.1809
615.000000 84.051 -170.9549
622.000000 84.047 -170.6878
630.000000 84.046 -170.2990
640.000000 84.054 -169.8661
650.000000 84.062 -169.5757
660.000000 84.075 -169.1429
670.000000 84.096 -168.7332
680.000000 84.110 -168.3369
690.000000 84.143 -167.8360
700.000000 84.187 -167.4257
710.000000 84.233 -167.1361
720.000000 84.281 -166.7849
730.000000 84.343 -166.3900
740.000000 84.402 -166.2833
750.000000 84.442 -166.2668
762.000000 84.495 -166.0050
775.000000 84.568 -165.7761
788.000000 84.635 -165.7261
800.000000 84.707 -165.6429
812.000000 84.788 -165.5541
825.000000 84.876 -165.5733
838.000000 84.963 -165.7159
850.000000 85.042 -166.0270
862.000000 85.125 -166.4402
875.000000 85.200 -167.3678
885.000000 85.200 -168.3217
900.000000 85.084 -169.6645
912.000000 84.881 -170.2220
925.000000 84.630 -169.6905
938.000000 84.502 -168.1193
950.000000 84.538 -166.6806
962.000000 84.648 -165.8734
975.000000 84.786 -165.6896
988.000000 84.898 -165.9394
1000.000000 84.949 -166.4120
1015.000000 84.948 -166.9345
1030.000000 84.905 -167.1254
1044.000000 84.889 -166.9048
1060.000000 84.937 -166.7148
1075.000000 84.992 -167.0764
1090.000000 84.965 -167.7383
1106.000000 84.873 -168.1940
1120.000000 84.769 -168.3755
1138.000000 84.611 -168.2022
1150.000000 84.525 -167.7193
1172.000000 84.438 -166.6806
1180.000000 84.431 -166.2483
1206.000000 84.476 -165.4314
1220.000000 84.492 -165.3611
1241.000000 84.449 -165.5360
1250.000000 84.402 -165.5150
1265.000000 84.312 -165.2049
1280.000000 84.238 -164.5882
1315.000000 84.206 -163.1493
1320.000000 84.201 -163.0261
1340.000000 84.164 -162.4715
1360.000000 84.108 -161.7955
1380.000000 84.059 -161.0141
1400.000000 84.025 -160.1163
1430.000000 83.976 -158.5552
1450.000000 83.989 -157.2477
1475.000000 84.067 -156.0659
1500.000000 84.077 -155.1040
1525.000000 84.110 -153.5314
1550.000000 84.224 -152.0924
1575.000000 84.342 -151.1622
1600.000000 84.433 -150.3851
1625.000000 84.487 -149.5063
1650.000000 84.550 -148.3375
1675.000000 84.642 -147.0514
1700.000000 84.771 -145.6938
1725.000000 84.951 -144.5243
1750.000000 85.143 -143.6270
1775.000000 85.323 -143.1235
1800.000000 85.445 -142.6589
1825.000000 85.574 -141.9081
1850.000000 85.714 -141.3620
1875.000000 85.816 -140.6841
1900.000000 85.958 -139.6971
1925.000000 86.136 -139.0917
1950.000000 86.255 -138.6952
1975.000000 86.341 -137.8481
2000.000000 86.461 -136.5076
2030.000000 86.762 -134.6941
2060.000000 87.130 -134.0764
2090.000000 87.384 -133.8868
2120.000000 87.632 -133.1490
2140.000000 87.833 -132.6277
2180.000000 88.289 -132.1798
2200.000000 88.494 -132.2753
2240.000000 88.849 -132.3298
2270.000000 89.123 -132.1788
2300.000000 89.441 -132.1483
2330.000000 89.737 -132.5379
2360.000000 90.003 -132.7918
2400.000000 90.399 -132.9015
2430.000000 90.748 -133.4029
2470.000000 91.149 -134.5788
2500.000000 91.427 -135.4727
2540.000000 91.768 -136.9108
2580.000000 92.070 -138.1680
2620.000000 92.412 -139.5357
2650.000000 92.639 -140.9229
2690.000000 92.880 -142.6652
2720.000000 93.053 -143.9235
2760.000000 93.245 -145.5745
2800.000000 93.431 -146.8980
2850.000000 93.713 -148.3594
2900.000000 94.065 -150.1753
2950.000000 94.380 -152.6112
3000.000000 94.643 -154.9845
3040.000000 94.891 -157.0173
3070.000000 95.050 -158.9058
3110.000000 95.196 -161.4568
3150.000000 95.313 -163.8091
3200.000000 95.467 -166.7187
3250.000000 95.606 -169.9373
3300.000000 95.694 -173.5162
3350.000000 95.655 -177.2395
3400.000000 95.523 179.5549
3450.000000 95.359 176.9035
3500.000000 95.212 174.7644
3550.000000 95.122 172.7315
3600.000000 95.041 170.4050
3650.000000 94.903 168.0097
3700.000000 94.739 165.8767
3750.000000 94.567 163.8022
3820.000000 94.275 161.1105
3870.000000 94.046 159.4615
3950.000000 93.651 157.3062
4000.000000 93.401 156.3848
4060.000000 93.138 155.6851
4120.000000 92.926 155.2011
4180.000000 92.762 154.7468
4250.000000 92.595 154.3016
4310.000000 92.511 154.0256
4370.000000 92.459 153.5369
4440.000000 92.429 152.9056
4500.000000 92.428 152.2197
4550.000000 92.449 151.5179
4620.000000 92.495 150.2847
4680.000000 92.557 148.9091
4750.000000 92.609 146.7859
4820.000000 92.619 144.3298
4870.000000 92.588 142.3907
4940.000000 92.500 139.6391
