* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -17.0 dBFS with no timing reference
* Dated: Dec 14, 2024 2:12:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 650 (ZMF Lamb Perf) R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.770 -89.9782
20.600000 77.867 -90.7327
20.900000 77.967 -91.4501
21.200001 78.068 -92.0335
21.400000 78.142 -92.3608
21.799999 78.310 -92.9844
22.000000 78.400 -93.3413
22.400000 78.568 -94.2352
22.700001 78.662 -95.0390
23.000000 78.720 -95.8607
23.299999 78.747 -96.5891
23.600000 78.766 -97.1524
24.000000 78.823 -97.6830
24.299999 78.912 -98.0568
24.700001 79.085 -98.7689
25.000000 79.229 -99.5327
25.400000 79.393 -100.7443
25.799999 79.500 -101.8929
26.200001 79.565 -102.7210
26.500000 79.610 -103.1081
26.900000 79.687 -103.4597
27.200001 79.763 -103.7366
27.600000 79.874 -104.2405
28.000000 79.986 -104.8770
28.500000 80.130 -105.7164
29.000000 80.288 -106.5502
29.500000 80.431 -107.4181
30.000000 80.504 -108.1743
30.400000 80.513 -108.4908
30.700001 80.517 -108.5229
31.100000 80.565 -108.4608
31.500000 80.685 -108.6363
32.000000 80.893 -109.6356
32.500000 81.068 -111.3391
33.000000 81.157 -112.9755
33.500000 81.202 -113.8753
34.000000 81.283 -114.0721
34.500000 81.413 -114.1625
35.000000 81.533 -114.6337
35.500000 81.592 -115.4719
36.000000 81.598 -116.3779
36.500000 81.602 -117.1272
37.000000 81.645 -117.7003
37.500000 81.725 -118.1596
38.200001 81.853 -118.6017
38.700001 81.943 -118.7457
39.500000 82.093 -118.9841
40.000000 82.179 -119.4001
40.599998 82.244 -120.1739
41.200001 82.270 -120.9713
41.799999 82.300 -121.6417
42.500000 82.365 -122.4247
43.099998 82.419 -123.1355
43.700001 82.466 -123.7442
44.400002 82.542 -124.4363
45.000000 82.600 -125.2876
45.500000 82.603 -126.0883
46.200001 82.554 -126.7743
46.799999 82.560 -126.7637
47.500000 82.692 -126.6673
48.200001 82.861 -127.0534
48.700001 82.943 -127.4974
49.400002 83.008 -128.0376
50.000000 83.052 -128.4263
50.799999 83.115 -128.9998
51.500000 83.187 -129.4978
52.200001 83.299 -130.0951
53.000000 83.413 -131.1347
53.799999 83.435 -132.0903
54.500000 83.440 -132.4923
55.200001 83.489 -132.9125
56.000000 83.527 -133.7657
57.000000 83.517 -134.5819
58.000000 83.584 -134.9081
59.000000 83.682 -135.4052
60.000000 83.735 -136.1134
60.799999 83.750 -136.8145
61.500000 83.758 -137.3858
62.200001 83.773 -137.8193
63.000000 83.796 -138.2290
64.000000 83.805 -138.8137
65.000000 83.819 -139.3329
66.000000 83.901 -139.5343
67.000000 84.007 -139.6491
68.000000 84.057 -139.8356
69.000000 84.106 -140.0843
70.000000 84.183 -140.5628
71.000000 84.231 -141.1534
72.000000 84.260 -141.9262
73.000000 84.293 -142.8791
74.000000 84.352 -143.5312
75.000000 84.415 -143.8674
76.199997 84.448 -144.2700
77.500000 84.485 -145.0196
78.800003 84.523 -145.7672
80.000000 84.543 -146.2059
81.199997 84.570 -146.6736
82.500000 84.580 -147.2295
83.800003 84.601 -147.6229
85.000000 84.659 -148.0612
86.199997 84.705 -148.3632
87.500000 84.702 -148.6730
88.500000 84.699 -149.1266
90.000000 84.775 -149.8885
91.199997 84.845 -150.3392
92.500000 84.849 -150.9488
93.800003 84.848 -151.6055
95.000000 84.879 -152.0656
96.199997 84.899 -152.4241
97.500000 84.902 -152.7647
98.800003 84.903 -153.1642
100.000000 84.896 -153.5988
101.500000 84.913 -154.1943
103.000000 84.942 -154.8477
104.400002 84.959 -155.3467
106.000000 84.969 -155.9060
107.500000 84.968 -156.4280
109.000000 84.956 -156.9239
110.599998 84.934 -157.4279
112.000000 84.916 -157.8733
113.800003 84.894 -158.4419
115.000000 84.879 -158.7668
117.199997 84.847 -159.1998
118.000000 84.840 -159.3773
120.599998 84.795 -159.7679
122.000000 84.760 -159.7874
124.099998 84.755 -159.8645
125.000000 84.761 -159.8689
126.500000 84.770 -159.8672
128.000000 84.780 -159.9354
131.500000 84.813 -160.3809
132.000000 84.818 -160.4523
134.000000 84.837 -160.7981
136.000000 84.848 -161.2467
138.000000 84.855 -161.6906
140.000000 84.852 -162.1307
143.000000 84.823 -162.7772
145.000000 84.796 -163.1170
147.500000 84.744 -163.3237
150.000000 84.695 -163.4297
152.500000 84.678 -163.2931
155.000000 84.689 -163.2510
157.500000 84.707 -163.2186
160.000000 84.717 -163.2339
162.500000 84.744 -163.3405
165.000000 84.779 -163.5262
167.500000 84.814 -163.6846
170.000000 84.841 -163.8797
172.500000 84.859 -164.0849
175.000000 84.868 -164.2900
177.500000 84.868 -164.5690
180.000000 84.870 -164.9038
182.500000 84.891 -165.0584
185.000000 84.906 -165.1940
187.500000 84.904 -165.4525
190.000000 84.912 -165.7112
192.500000 84.915 -165.8962
195.000000 84.914 -166.0722
197.500000 84.912 -166.3223
200.000000 84.909 -166.5655
203.000000 84.899 -166.7041
206.000000 84.890 -166.8418
209.000000 84.884 -167.1025
212.000000 84.895 -167.4505
214.000000 84.906 -167.6457
218.000000 84.911 -167.8849
220.000000 84.911 -167.9766
224.000000 84.913 -168.1014
227.000000 84.910 -168.2473
230.000000 84.909 -168.3481
233.000000 84.914 -168.4328
236.000000 84.912 -168.6085
240.000000 84.889 -168.9304
243.000000 84.888 -169.0478
247.000000 84.906 -169.1699
250.000000 84.916 -169.3357
254.000000 84.929 -169.5544
258.000000 84.912 -169.7260
262.000000 84.892 -169.7981
265.000000 84.894 -169.7945
269.000000 84.889 -169.9088
272.000000 84.890 -170.0865
276.000000 84.881 -170.2411
280.000000 84.864 -170.3418
285.000000 84.859 -170.4299
290.000000 84.849 -170.7478
295.000000 84.826 -170.9443
300.000000 84.752 -170.8976
304.000000 84.743 -170.8373
307.000000 84.770 -170.8403
311.000000 84.807 -170.9239
315.000000 84.824 -171.1951
320.000000 84.817 -171.4629
325.000000 84.801 -171.6913
330.000000 84.783 -171.7698
335.000000 84.761 -171.9065
340.000000 84.760 -172.0237
345.000000 84.733 -172.1261
350.000000 84.693 -172.1441
355.000000 84.663 -172.0482
360.000000 84.657 -171.9650
365.000000 84.659 -171.8477
370.000000 84.650 -171.8846
375.000000 84.630 -172.0349
382.000000 84.625 -172.0266
387.000000 84.626 -172.0198
395.000000 84.618 -172.0789
400.000000 84.622 -172.1107
406.000000 84.616 -172.2693
412.000000 84.602 -172.3676
418.000000 84.606 -172.3784
425.000000 84.616 -172.4843
431.000000 84.609 -172.6661
437.000000 84.579 -172.6728
444.000000 84.547 -172.5823
450.000000 84.520 -172.6842
455.000000 84.491 -172.6983
462.000000 84.451 -172.7493
468.000000 84.429 -172.8453
475.000000 84.409 -172.7942
482.000000 84.386 -172.6825
487.000000 84.365 -172.5750
494.000000 84.334 -172.4926
500.000000 84.304 -172.4543
508.000000 84.265 -172.4049
515.000000 84.230 -172.2817
522.000000 84.201 -172.0665
530.000000 84.181 -171.7717
538.000000 84.161 -171.5274
545.000000 84.130 -171.3616
552.000000 84.100 -171.0770
560.000000 84.087 -170.7392
570.000000 84.072 -170.4064
580.000000 84.042 -170.0089
590.000000 84.037 -169.4402
600.000000 84.058 -168.9203
608.000000 84.087 -168.5892
615.000000 84.111 -168.3262
622.000000 84.132 -168.0984
630.000000 84.158 -167.8118
640.000000 84.193 -167.5487
650.000000 84.215 -167.4129
660.000000 84.213 -167.2677
670.000000 84.208 -167.0427
680.000000 84.208 -166.6865
690.000000 84.225 -166.2334
700.000000 84.262 -165.8092
710.000000 84.305 -165.5146
720.000000 84.342 -165.1956
730.000000 84.385 -164.7811
740.000000 84.440 -164.4543
750.000000 84.494 -164.1810
762.000000 84.559 -163.7906
775.000000 84.662 -163.3490
788.000000 84.795 -163.1489
800.000000 84.918 -163.1681
812.000000 85.036 -163.3267
825.000000 85.149 -163.7735
838.000000 85.225 -164.2592
850.000000 85.301 -164.6111
862.000000 85.393 -165.1822
875.000000 85.464 -166.1262
885.000000 85.485 -167.0333
900.000000 85.436 -168.6734
912.000000 85.268 -169.8635
925.000000 84.974 -170.1072
938.000000 84.714 -168.9932
950.000000 84.626 -167.3338
962.000000 84.703 -165.8557
975.000000 84.881 -165.1630
988.000000 85.033 -165.3051
1000.000000 85.118 -165.7734
1015.000000 85.139 -166.5287
1030.000000 85.078 -166.9005
1044.000000 85.039 -166.7502
1060.000000 85.065 -166.5984
1075.000000 85.100 -166.7027
1090.000000 85.151 -166.9389
1106.000000 85.155 -167.9385
1120.000000 85.040 -168.7192
1138.000000 84.839 -168.7696
1150.000000 84.727 -168.3805
1172.000000 84.659 -167.1595
1180.000000 84.683 -166.9307
1206.000000 84.695 -167.2584
1220.000000 84.622 -167.4680
1241.000000 84.456 -167.1471
1250.000000 84.398 -166.7605
1265.000000 84.337 -165.9686
1280.000000 84.357 -164.9989
1315.000000 84.485 -165.4214
1320.000000 84.458 -165.6423
1340.000000 84.265 -165.7242
1360.000000 84.143 -164.9464
1380.000000 84.060 -164.3483
1400.000000 83.978 -163.7192
1430.000000 83.824 -162.9618
1450.000000 83.675 -161.9707
1475.000000 83.562 -160.2975
1500.000000 83.490 -158.5521
1525.000000 83.475 -156.5064
1550.000000 83.561 -154.8158
1575.000000 83.618 -153.7118
1600.000000 83.624 -152.5434
1625.000000 83.655 -150.7399
1650.000000 83.787 -149.1961
1675.000000 83.913 -148.1869
1700.000000 83.987 -147.4545
1725.000000 84.000 -146.4410
1750.000000 84.016 -144.9941
1775.000000 84.100 -143.1462
1800.000000 84.249 -141.6893
1825.000000 84.375 -140.3647
1850.000000 84.539 -138.8286
1875.000000 84.756 -137.6180
1900.000000 84.973 -136.8463
1925.000000 85.140 -136.4052
1950.000000 85.241 -135.9007
1975.000000 85.309 -135.0034
2000.000000 85.395 -133.6767
2030.000000 85.590 -131.8227
2060.000000 85.836 -130.5047
2090.000000 86.020 -129.4142
2120.000000 86.177 -127.4789
2140.000000 86.390 -125.7383
2180.000000 86.962 -123.8538
2200.000000 87.191 -123.3198
2240.000000 87.686 -121.2939
2270.000000 88.234 -120.0845
2300.000000 88.793 -120.1162
2330.000000 89.268 -120.7510
2360.000000 89.668 -121.5960
2400.000000 90.135 -122.4480
2430.000000 90.505 -123.0835
2470.000000 90.976 -124.2813
2500.000000 91.314 -125.2956
2540.000000 91.738 -127.0807
2580.000000 92.047 -128.9742
2620.000000 92.313 -130.4760
2650.000000 92.508 -131.3744
2690.000000 92.829 -132.3747
2720.000000 93.091 -133.5662
2760.000000 93.345 -135.3871
2800.000000 93.558 -136.6883
2850.000000 93.886 -137.7953
2900.000000 94.367 -139.0806
2950.000000 94.877 -141.5466
3000.000000 95.287 -144.8578
3040.000000 95.517 -147.4788
3070.000000 95.685 -149.3166
3110.000000 95.910 -151.8828
3150.000000 96.120 -154.6338
3200.000000 96.306 -158.4458
3250.000000 96.403 -162.0016
3300.000000 96.498 -165.4846
3350.000000 96.549 -169.1821
3400.000000 96.508 -172.9804
3450.000000 96.366 -176.3180
3500.000000 96.212 -179.0664
3550.000000 96.076 178.5064
3600.000000 95.970 176.1868
3650.000000 95.863 173.8605
3700.000000 95.772 171.5266
3750.000000 95.666 168.8453
3820.000000 95.391 164.9763
3870.000000 95.108 162.5234
3950.000000 94.555 159.7297
4000.000000 94.231 158.7670
4060.000000 93.897 158.0973
4120.000000 93.655 157.7357
4180.000000 93.481 157.1499
4250.000000 93.282 156.4201
4310.000000 93.136 155.8543
4370.000000 93.008 155.3102
4440.000000 92.881 154.7250
4500.000000 92.818 154.4035
4550.000000 92.817 153.9344
4620.000000 92.832 152.8718
4680.000000 92.854 151.6883
4750.000000 92.869 149.8912
4820.000000 92.849 147.7438
4870.000000 92.813 146.0522
4940.000000 92.708 143.3901
