* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 3:45:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 650 (ZMF Lamb Solid) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.839 -87.9995
20.600000 81.937 -88.6032
20.900000 82.043 -89.2606
21.200001 82.150 -89.9160
21.400000 82.223 -90.3472
21.799999 82.372 -91.1983
22.000000 82.449 -91.6217
22.400000 82.603 -92.4733
22.700001 82.714 -93.1161
23.000000 82.817 -93.7530
23.299999 82.912 -94.3688
23.600000 82.998 -94.9475
24.000000 83.106 -95.6474
24.299999 83.189 -96.1269
24.700001 83.308 -96.7482
25.000000 83.405 -97.2390
25.400000 83.541 -97.9692
25.799999 83.673 -98.7867
26.200001 83.791 -99.6323
26.500000 83.869 -100.2288
26.900000 83.963 -100.9096
27.200001 84.035 -101.3203
27.600000 84.139 -101.7697
28.000000 84.258 -102.1923
28.500000 84.414 -102.8151
29.000000 84.555 -103.5911
29.500000 84.669 -104.4460
30.000000 84.764 -105.2766
30.400000 84.839 -105.8929
30.700001 84.899 -106.3311
31.100000 84.984 -106.8954
31.500000 85.073 -107.4451
32.000000 85.182 -108.1121
32.500000 85.284 -108.7535
33.000000 85.375 -109.3740
33.500000 85.459 -109.9867
34.000000 85.544 -110.6146
34.500000 85.637 -111.2852
35.000000 85.734 -112.0034
35.500000 85.826 -112.7194
36.000000 85.905 -113.3482
36.500000 85.977 -113.8434
37.000000 86.049 -114.2501
37.500000 86.125 -114.6703
38.200001 86.229 -115.3774
38.700001 86.299 -115.9149
39.500000 86.422 -116.7104
40.000000 86.508 -117.1906
40.599998 86.606 -117.7815
41.200001 86.686 -118.3473
41.799999 86.759 -118.8634
42.500000 86.855 -119.5019
43.099998 86.945 -120.1768
43.700001 87.033 -120.9450
44.400002 87.127 -121.8060
45.000000 87.207 -122.4019
45.500000 87.278 -122.7903
46.200001 87.380 -123.2513
46.799999 87.456 -123.6402
47.500000 87.524 -124.1090
48.200001 87.590 -124.6482
48.700001 87.647 -125.1506
49.400002 87.729 -126.0204
50.000000 87.794 -126.7682
50.799999 87.883 -127.5310
51.500000 87.975 -128.0427
52.200001 88.066 -128.5678
53.000000 88.153 -129.2190
53.799999 88.227 -129.9218
54.500000 88.283 -130.5956
55.200001 88.333 -131.2854
56.000000 88.396 -132.0673
57.000000 88.480 -133.0530
58.000000 88.547 -133.8936
59.000000 88.612 -134.6837
60.000000 88.656 -135.6784
60.799999 88.673 -136.4428
61.500000 88.695 -137.0384
62.200001 88.725 -137.6464
63.000000 88.755 -138.3432
64.000000 88.787 -139.1001
65.000000 88.812 -139.7766
66.000000 88.816 -140.4271
67.000000 88.816 -141.0838
68.000000 88.826 -141.7163
69.000000 88.846 -142.2206
70.000000 88.867 -142.6164
71.000000 88.882 -142.9993
72.000000 88.895 -143.3831
73.000000 88.911 -143.7455
74.000000 88.925 -144.0703
75.000000 88.939 -144.3772
76.199997 88.961 -144.7940
77.500000 88.999 -145.2006
78.800003 89.049 -145.5399
80.000000 89.099 -145.8075
81.199997 89.158 -146.1542
82.500000 89.215 -146.5703
83.800003 89.274 -146.9601
85.000000 89.336 -147.3126
86.199997 89.409 -147.7109
87.500000 89.484 -148.2303
88.500000 89.534 -148.6506
90.000000 89.604 -149.3105
91.199997 89.657 -149.9287
92.500000 89.707 -150.6202
93.800003 89.755 -151.2870
95.000000 89.804 -151.9284
96.199997 89.845 -152.5558
97.500000 89.875 -153.1873
98.800003 89.911 -153.8538
100.000000 89.947 -154.5344
101.500000 89.938 -155.3320
103.000000 89.903 -156.0538
104.400002 89.899 -156.7021
106.000000 89.897 -157.3981
107.500000 89.889 -157.9784
109.000000 89.890 -158.4953
110.599998 89.885 -159.0092
112.000000 89.879 -159.4300
113.800003 89.881 -159.9664
115.000000 89.880 -160.3466
117.199997 89.874 -160.9974
118.000000 89.871 -161.1952
120.599998 89.844 -161.9567
122.000000 89.814 -162.4358
124.099998 89.764 -162.9727
125.000000 89.744 -163.1341
126.500000 89.715 -163.3183
128.000000 89.691 -163.4464
131.500000 89.678 -163.7360
132.000000 89.681 -163.7801
134.000000 89.694 -163.9609
136.000000 89.706 -164.1603
138.000000 89.725 -164.4450
140.000000 89.742 -164.7485
143.000000 89.767 -165.2871
145.000000 89.779 -165.6136
147.500000 89.787 -165.9576
150.000000 89.782 -166.0533
152.500000 89.758 -166.4041
155.000000 89.733 -166.6808
157.500000 89.742 -166.6900
160.000000 89.767 -166.5207
162.500000 89.818 -166.8145
165.000000 89.886 -167.2532
167.500000 89.946 -167.5603
170.000000 89.999 -167.8719
172.500000 90.046 -168.3088
175.000000 90.093 -168.7812
177.500000 90.133 -169.3251
180.000000 90.156 -169.9228
182.500000 90.163 -170.5745
185.000000 90.185 -171.1617
187.500000 90.206 -171.7007
190.000000 90.202 -172.0909
192.500000 90.187 -172.4580
195.000000 90.165 -172.9479
197.500000 90.152 -173.4361
200.000000 90.166 -174.1062
203.000000 90.203 -174.6624
206.000000 90.222 -174.9290
209.000000 90.200 -175.3070
212.000000 90.191 -175.8673
214.000000 90.205 -176.1767
218.000000 90.204 -176.8228
220.000000 90.179 -177.1327
224.000000 90.120 -177.8266
227.000000 90.079 -178.3845
230.000000 90.044 -178.8183
233.000000 90.016 -179.2103
236.000000 90.003 -179.5678
240.000000 90.084 -179.4695
243.000000 90.050 -179.6958
247.000000 89.951 179.7456
250.000000 89.925 179.4053
254.000000 89.909 178.9334
258.000000 89.900 178.5008
262.000000 89.893 178.0803
265.000000 89.885 177.7183
269.000000 89.863 177.1788
272.000000 89.840 176.7935
276.000000 89.802 176.3104
280.000000 89.760 175.8829
285.000000 89.712 175.4045
290.000000 89.683 174.9334
295.000000 89.656 174.6598
300.000000 89.618 174.2051
304.000000 89.582 173.6277
307.000000 89.553 173.2531
311.000000 89.522 172.8821
315.000000 89.481 172.4749
320.000000 89.418 171.9121
325.000000 89.371 171.5121
330.000000 89.317 171.1355
335.000000 89.249 170.5659
340.000000 89.180 169.9832
345.000000 89.104 169.6528
350.000000 89.058 169.3565
355.000000 89.011 168.7631
360.000000 88.916 168.3545
365.000000 88.807 168.1281
370.000000 88.716 167.8758
375.000000 88.637 167.5599
382.000000 88.522 167.1879
387.000000 88.430 167.0038
395.000000 88.297 166.6657
400.000000 88.222 166.4620
406.000000 88.120 166.3336
412.000000 88.001 166.1999
418.000000 87.861 166.1070
425.000000 87.679 166.0496
431.000000 87.538 166.1306
437.000000 87.405 166.3165
444.000000 87.244 166.8476
450.000000 87.119 167.5092
455.000000 87.045 168.1184
462.000000 86.986 168.9500
468.000000 86.962 169.5732
475.000000 86.944 170.2359
482.000000 86.952 170.8052
487.000000 86.973 171.0988
494.000000 87.001 171.3220
500.000000 87.014 171.3413
508.000000 87.011 171.2596
515.000000 87.003 171.1751
522.000000 86.987 171.0054
530.000000 86.941 170.7593
538.000000 86.870 170.6176
545.000000 86.796 170.5200
552.000000 86.712 170.4810
560.000000 86.614 170.5772
570.000000 86.508 170.8426
580.000000 86.398 171.1992
590.000000 86.300 171.6548
600.000000 86.196 172.0558
608.000000 86.114 172.5161
615.000000 86.057 173.0138
622.000000 86.017 173.4845
630.000000 85.968 174.0037
640.000000 85.907 174.6918
650.000000 85.863 175.4130
660.000000 85.831 176.1017
670.000000 85.804 176.8098
680.000000 85.781 177.5192
690.000000 85.768 178.2336
700.000000 85.770 178.9659
710.000000 85.791 179.7136
720.000000 85.830 -179.6067
730.000000 85.874 -179.0664
740.000000 85.914 -178.5489
750.000000 85.962 -178.0129
762.000000 86.027 -177.5429
775.000000 86.091 -177.1789
788.000000 86.144 -176.7262
800.000000 86.215 -176.3050
812.000000 86.301 -176.0871
825.000000 86.396 -175.8996
838.000000 86.499 -175.8073
850.000000 86.599 -175.9751
862.000000 86.689 -176.3389
875.000000 86.764 -176.9957
885.000000 86.786 -177.6565
900.000000 86.772 -178.7017
912.000000 86.694 -179.6460
925.000000 86.524 179.6624
938.000000 86.310 179.7203
950.000000 86.142 -179.4808
962.000000 86.062 -178.3528
975.000000 86.068 -177.3125
988.000000 86.113 -176.7150
1000.000000 86.150 -176.4050
1015.000000 86.173 -176.1370
1030.000000 86.195 -175.8033
1044.000000 86.225 -175.4998
1060.000000 86.270 -175.3447
1075.000000 86.289 -175.4291
1090.000000 86.289 -175.4573
1106.000000 86.290 -175.5017
1120.000000 86.278 -175.6330
1138.000000 86.225 -175.7344
1150.000000 86.169 -175.6991
1172.000000 86.092 -175.3038
1180.000000 86.080 -175.1876
1206.000000 86.037 -174.8531
1220.000000 85.998 -174.8531
1241.000000 85.879 -174.6926
1250.000000 85.822 -174.4107
1265.000000 85.746 -173.7174
1280.000000 85.719 -172.9017
1315.000000 85.739 -172.0984
1320.000000 85.727 -172.0447
1340.000000 85.654 -171.6739
1360.000000 85.611 -170.9242
1380.000000 85.607 -170.2353
1400.000000 85.583 -169.7694
1430.000000 85.504 -168.8120
1450.000000 85.454 -168.0247
1475.000000 85.429 -166.8788
1500.000000 85.393 -165.9193
1525.000000 85.353 -164.5362
1550.000000 85.396 -163.0569
1575.000000 85.485 -162.0433
1600.000000 85.506 -161.3361
1625.000000 85.502 -160.1868
1650.000000 85.542 -158.9413
1675.000000 85.601 -157.8057
1700.000000 85.660 -156.7684
1725.000000 85.721 -155.6862
1750.000000 85.782 -154.6171
1775.000000 85.851 -153.5206
1800.000000 85.911 -152.5147
1825.000000 85.957 -151.3150
1850.000000 86.024 -149.9545
1875.000000 86.095 -148.4806
1900.000000 86.207 -146.7366
1925.000000 86.383 -145.0689
1950.000000 86.584 -143.7100
1975.000000 86.771 -142.4829
2000.000000 86.955 -141.2032
2030.000000 87.204 -139.3652
2060.000000 87.568 -137.5542
2090.000000 87.951 -136.6225
2120.000000 88.268 -135.7061
2140.000000 88.512 -134.8044
2180.000000 89.143 -133.6868
2200.000000 89.438 -133.7539
2240.000000 89.936 -133.8779
2270.000000 90.332 -133.7668
2300.000000 90.776 -134.0707
2330.000000 91.182 -134.9392
2360.000000 91.532 -135.8924
2400.000000 91.978 -137.0579
2430.000000 92.316 -138.2047
2470.000000 92.691 -139.8820
2500.000000 92.974 -140.9718
2540.000000 93.357 -142.7273
2580.000000 93.717 -144.7671
2620.000000 94.023 -147.1214
2650.000000 94.205 -148.8811
2690.000000 94.414 -151.2130
2720.000000 94.530 -152.8795
2760.000000 94.672 -154.7984
2800.000000 94.817 -156.6000
2850.000000 95.007 -158.6434
2900.000000 95.241 -160.7639
2950.000000 95.466 -163.1962
3000.000000 95.680 -165.7887
3040.000000 95.834 -168.0839
3070.000000 95.919 -169.9211
3110.000000 95.989 -172.2654
3150.000000 96.056 -174.4045
3200.000000 96.160 -177.1233
3250.000000 96.253 179.8298
3300.000000 96.281 176.5308
3350.000000 96.227 173.2891
3400.000000 96.135 170.4055
3450.000000 96.034 167.6544
3500.000000 95.919 164.9755
3550.000000 95.768 162.2723
3600.000000 95.568 159.7481
3650.000000 95.332 157.5970
3700.000000 95.103 155.9052
3750.000000 94.919 154.3663
3820.000000 94.661 152.0684
3870.000000 94.456 150.5551
3950.000000 94.118 148.6811
4000.000000 93.938 147.7836
4060.000000 93.768 146.8555
4120.000000 93.656 145.8598
4180.000000 93.574 144.5809
4250.000000 93.476 142.8139
4310.000000 93.379 141.1087
4370.000000 93.260 139.3158
4440.000000 93.094 137.2399
4500.000000 92.938 135.5142
4550.000000 92.808 134.2376
4620.000000 92.685 132.4184
4680.000000 92.601 130.5205
4750.000000 92.493 127.9044
4820.000000 92.358 124.8968
4870.000000 92.242 122.4798
4940.000000 92.023 118.6061
5000.000000 91.726 114.8683
5080.000000 91.127 110.0481
5150.000000 90.466 106.4459
5220.000000 89.732 103.4734
5300.000000 88.834 100.6829
5380.000000 87.845 98.5728
