* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 3:23:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 650 (ZMF Lamb Solid) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.507 -95.5633
20.600000 85.601 -96.2372
20.900000 85.700 -96.9653
21.200001 85.794 -97.6907
21.400000 85.854 -98.1674
21.799999 85.974 -99.0965
22.000000 86.035 -99.5476
22.400000 86.164 -100.4296
22.700001 86.266 -101.0859
23.000000 86.370 -101.7486
23.299999 86.472 -102.4207
23.600000 86.569 -103.0955
24.000000 86.684 -103.9724
24.299999 86.761 -104.5918
24.700001 86.856 -105.3525
25.000000 86.927 -105.8840
25.400000 87.027 -106.5803
25.799999 87.134 -107.3130
26.200001 87.242 -108.1125
26.500000 87.320 -108.7499
26.900000 87.417 -109.6145
27.200001 87.482 -110.2447
27.600000 87.563 -111.0282
28.000000 87.640 -111.7376
28.500000 87.737 -112.5496
29.000000 87.837 -113.3408
29.500000 87.936 -114.1616
30.000000 88.031 -115.0187
30.400000 88.103 -115.7099
30.700001 88.155 -116.2157
31.100000 88.223 -116.8564
31.500000 88.290 -117.4498
32.000000 88.376 -118.1353
32.500000 88.463 -118.7957
33.000000 88.548 -119.4758
33.500000 88.628 -120.1991
34.000000 88.701 -120.9562
34.500000 88.767 -121.7144
35.000000 88.829 -122.4380
35.500000 88.890 -123.1101
36.000000 88.954 -123.7426
36.500000 89.019 -124.3670
37.000000 89.085 -125.0097
37.500000 89.148 -125.6725
38.200001 89.233 -126.5967
38.700001 89.293 -127.2273
39.500000 89.383 -128.1813
40.000000 89.433 -128.7654
40.599998 89.485 -129.4862
41.200001 89.529 -130.2405
41.799999 89.570 -130.9938
42.500000 89.619 -131.7794
43.099998 89.670 -132.3292
43.700001 89.729 -132.8000
44.400002 89.800 -133.3648
45.000000 89.858 -133.9591
45.500000 89.898 -134.5500
46.200001 89.942 -135.4377
46.799999 89.976 -136.1383
47.500000 90.024 -136.8408
48.200001 90.079 -137.5014
48.700001 90.110 -137.9706
49.400002 90.142 -138.5886
50.000000 90.169 -139.0795
50.799999 90.210 -139.7474
51.500000 90.242 -140.3438
52.200001 90.267 -140.9073
53.000000 90.297 -141.5569
53.799999 90.322 -142.2721
54.500000 90.339 -142.9107
55.200001 90.357 -143.5158
56.000000 90.377 -144.1499
57.000000 90.397 -144.8466
58.000000 90.409 -145.4843
59.000000 90.415 -146.0987
60.000000 90.425 -146.6923
60.799999 90.438 -147.1530
61.500000 90.450 -147.5271
62.200001 90.460 -147.8769
63.000000 90.467 -148.2658
64.000000 90.467 -148.7248
65.000000 90.467 -149.1309
66.000000 90.473 -149.5075
67.000000 90.476 -149.8577
68.000000 90.480 -150.1329
69.000000 90.498 -150.3471
70.000000 90.522 -150.5314
71.000000 90.548 -150.6489
72.000000 90.585 -150.7543
73.000000 90.632 -150.9250
74.000000 90.687 -151.1509
75.000000 90.748 -151.4042
76.199997 90.824 -151.7174
77.500000 90.911 -152.1019
78.800003 90.998 -152.6013
80.000000 91.068 -153.1318
81.199997 91.128 -153.6635
82.500000 91.191 -154.2670
83.800003 91.255 -154.8945
85.000000 91.311 -155.4899
86.199997 91.358 -156.0723
87.500000 91.405 -156.6928
88.500000 91.436 -157.1729
90.000000 91.477 -157.8768
91.199997 91.510 -158.4253
92.500000 91.544 -158.9902
93.800003 91.575 -159.5581
95.000000 91.602 -160.1311
96.199997 91.627 -160.7184
97.500000 91.656 -161.3335
98.800003 91.680 -161.9194
100.000000 91.694 -162.4397
101.500000 91.706 -163.0923
103.000000 91.719 -163.7457
104.400002 91.733 -164.3261
106.000000 91.749 -164.9457
107.500000 91.763 -165.5312
109.000000 91.774 -166.1219
110.599998 91.782 -166.7415
112.000000 91.785 -167.2828
113.800003 91.787 -167.9629
115.000000 91.787 -168.4137
117.199997 91.785 -169.2174
118.000000 91.780 -169.4887
120.599998 91.763 -170.3646
122.000000 91.755 -170.8903
124.099998 91.734 -171.5877
125.000000 91.724 -171.8676
126.500000 91.709 -172.3387
128.000000 91.694 -172.7962
131.500000 91.654 -173.8065
132.000000 91.648 -173.9375
134.000000 91.623 -174.4383
136.000000 91.597 -174.9543
138.000000 91.566 -175.4371
140.000000 91.534 -175.8949
143.000000 91.480 -176.5130
145.000000 91.442 -176.8602
147.500000 91.391 -177.2547
150.000000 91.341 -177.5728
152.500000 91.300 -177.7579
155.000000 91.279 -177.8436
157.500000 91.281 -177.9489
160.000000 91.299 -178.1296
162.500000 91.323 -178.4109
165.000000 91.348 -178.7642
167.500000 91.373 -179.1650
170.000000 91.395 -179.6301
172.500000 91.408 179.8545
175.000000 91.411 179.3307
177.500000 91.402 178.7827
180.000000 91.386 178.2547
182.500000 91.372 177.7780
185.000000 91.362 177.3198
187.500000 91.350 176.8558
190.000000 91.334 176.4131
192.500000 91.314 175.9986
195.000000 91.296 175.5873
197.500000 91.280 175.1739
200.000000 91.261 174.7614
203.000000 91.239 174.2751
206.000000 91.215 173.7773
209.000000 91.186 173.2834
212.000000 91.154 172.8022
214.000000 91.130 172.4703
218.000000 91.079 171.8132
220.000000 91.055 171.5396
224.000000 91.007 171.0371
227.000000 90.969 170.6807
230.000000 90.931 170.3694
233.000000 90.897 170.0823
236.000000 90.867 169.7687
240.000000 90.832 169.2562
243.000000 90.808 168.8451
247.000000 90.767 168.3380
250.000000 90.732 167.9980
254.000000 90.688 167.5222
258.000000 90.642 167.0306
262.000000 90.591 166.5296
265.000000 90.549 166.1339
269.000000 90.490 165.6519
272.000000 90.443 165.3114
276.000000 90.374 164.8874
280.000000 90.301 164.5318
285.000000 90.220 164.1646
290.000000 90.149 163.7931
295.000000 90.081 163.4061
300.000000 90.010 163.0031
304.000000 89.953 162.6626
307.000000 89.909 162.4293
311.000000 89.850 162.1322
315.000000 89.790 161.8450
320.000000 89.714 161.4924
325.000000 89.639 161.1201
330.000000 89.557 160.7460
335.000000 89.472 160.3893
340.000000 89.382 160.0481
345.000000 89.293 159.7563
350.000000 89.207 159.4515
355.000000 89.116 159.1423
360.000000 89.017 158.8660
365.000000 88.913 158.6299
370.000000 88.808 158.4337
375.000000 88.698 158.2478
382.000000 88.531 158.1413
387.000000 88.413 158.2015
395.000000 88.244 158.4907
400.000000 88.150 158.7079
406.000000 88.055 158.9492
412.000000 87.966 159.1549
418.000000 87.879 159.3326
425.000000 87.783 159.5717
431.000000 87.703 159.8185
437.000000 87.629 160.1048
444.000000 87.557 160.4385
450.000000 87.507 160.7052
455.000000 87.474 160.8845
462.000000 87.428 161.0086
468.000000 87.376 161.0420
475.000000 87.311 161.1515
482.000000 87.246 161.2657
487.000000 87.196 161.3326
494.000000 87.125 161.4424
500.000000 87.059 161.5758
508.000000 86.967 161.8587
515.000000 86.893 162.1729
522.000000 86.827 162.5015
530.000000 86.763 162.9280
538.000000 86.718 163.3567
545.000000 86.684 163.6516
552.000000 86.648 163.9413
560.000000 86.618 164.2938
570.000000 86.593 164.5878
580.000000 86.566 164.7955
590.000000 86.539 164.9139
600.000000 86.501 164.9589
608.000000 86.466 164.9922
615.000000 86.437 165.0036
622.000000 86.403 164.9451
630.000000 86.349 164.8289
640.000000 86.262 164.7396
650.000000 86.165 164.7514
660.000000 86.049 164.7265
670.000000 85.903 164.8185
680.000000 85.744 165.1628
690.000000 85.586 165.7720
700.000000 85.441 166.6284
710.000000 85.321 167.6825
720.000000 85.228 168.9302
730.000000 85.183 170.2486
740.000000 85.195 171.5196
750.000000 85.248 172.6616
762.000000 85.346 173.7691
775.000000 85.481 174.5664
788.000000 85.607 174.8288
800.000000 85.675 174.8198
812.000000 85.714 174.8937
825.000000 85.753 174.9486
838.000000 85.779 174.8849
850.000000 85.794 174.8796
862.000000 85.804 174.8086
875.000000 85.791 174.6548
885.000000 85.770 174.6344
900.000000 85.760 174.5582
912.000000 85.741 174.3095
925.000000 85.680 173.8781
938.000000 85.534 173.3545
950.000000 85.308 173.4124
962.000000 85.089 174.5685
975.000000 84.994 176.5328
988.000000 85.051 178.2015
1000.000000 85.165 179.0737
1015.000000 85.298 179.5355
1030.000000 85.393 179.7090
1044.000000 85.449 179.8093
1060.000000 85.503 179.7756
1075.000000 85.517 179.5602
1090.000000 85.497 179.3938
1106.000000 85.445 179.3387
1120.000000 85.394 179.3906
1138.000000 85.303 179.6807
1150.000000 85.251 -179.9348
1172.000000 85.220 -179.2440
1180.000000 85.214 -179.0540
1206.000000 85.169 -178.6002
1220.000000 85.126 -178.2975
1241.000000 85.062 -177.6698
1250.000000 85.044 -177.3185
1265.000000 85.037 -176.7181
1280.000000 85.040 -176.2629
1315.000000 84.983 -175.5476
1320.000000 84.972 -175.3636
1340.000000 84.960 -174.6249
1360.000000 84.944 -174.1259
1380.000000 84.899 -173.4868
1400.000000 84.873 -172.6496
1430.000000 84.881 -171.5025
1450.000000 84.887 -170.8540
1475.000000 84.881 -170.0349
1500.000000 84.884 -169.0349
1525.000000 84.917 -168.0056
1550.000000 84.998 -167.0911
1575.000000 85.079 -166.7551
1600.000000 85.071 -166.5151
1625.000000 85.031 -165.9418
1650.000000 84.993 -165.1407
1675.000000 84.989 -164.3820
1700.000000 84.929 -163.7496
1725.000000 84.854 -162.4192
1750.000000 84.869 -160.8915
1775.000000 84.902 -159.7697
1800.000000 84.918 -158.6667
1825.000000 84.926 -157.5762
1850.000000 84.898 -156.4109
1875.000000 84.850 -154.6564
1900.000000 84.901 -152.3382
1925.000000 85.036 -150.5312
1950.000000 85.138 -149.1282
1975.000000 85.187 -147.4924
2000.000000 85.255 -145.2180
2030.000000 85.460 -142.0687
2060.000000 85.789 -139.1991
2090.000000 86.164 -136.8032
2120.000000 86.571 -134.3897
2140.000000 86.911 -132.7556
2180.000000 87.678 -130.7147
2200.000000 88.059 -129.9709
2240.000000 88.891 -129.0254
2270.000000 89.541 -129.2072
2300.000000 90.138 -130.2904
2330.000000 90.625 -131.7952
2360.000000 91.034 -133.1754
2400.000000 91.601 -134.7858
2430.000000 92.024 -136.5504
2470.000000 92.485 -139.2910
2500.000000 92.779 -141.5273
2540.000000 93.027 -144.6220
2580.000000 93.182 -146.9485
2620.000000 93.343 -148.8144
2650.000000 93.488 -149.9278
2690.000000 93.739 -151.6604
2720.000000 93.884 -153.3139
2760.000000 94.001 -155.1709
2800.000000 94.145 -156.4642
2850.000000 94.401 -158.1144
2900.000000 94.707 -159.8100
2950.000000 95.082 -162.1415
3000.000000 95.409 -165.2174
3040.000000 95.609 -168.0247
3070.000000 95.711 -170.1395
3110.000000 95.819 -172.8696
3150.000000 95.895 -175.5607
3200.000000 95.978 -178.7342
3250.000000 96.050 177.8716
3300.000000 96.075 174.3400
3350.000000 96.036 170.7657
3400.000000 95.932 167.2360
3450.000000 95.762 163.9451
3500.000000 95.539 161.0193
3550.000000 95.321 158.6886
3600.000000 95.136 156.2877
3650.000000 94.914 153.9630
3700.000000 94.683 151.8738
3750.000000 94.449 149.9460
3820.000000 94.114 147.4210
3870.000000 93.864 145.7785
3950.000000 93.470 143.5221
4000.000000 93.216 142.1631
4060.000000 92.915 140.9060
4120.000000 92.644 139.7044
4180.000000 92.370 138.5822
4250.000000 92.064 137.5194
4310.000000 91.830 136.6394
4370.000000 91.594 135.8141
4440.000000 91.374 135.0640
4500.000000 91.232 134.0466
4550.000000 91.101 132.8278
4620.000000 90.838 130.8732
4680.000000 90.535 129.2816
4750.000000 90.107 127.7560
4820.000000 89.618 126.8140
4870.000000 89.252 126.6326
4940.000000 88.769 127.1906
5000.000000 88.441 128.1941
5080.000000 88.141 129.7682
5150.000000 88.008 131.0342
5220.000000 87.968 131.7360
5300.000000 87.936 131.7171
5380.000000 87.877 131.2111
5450.000000 87.775 130.4134
5520.000000 87.598 129.7698
5600.000000 87.415 129.7849
