* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:22:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) L3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.046	-88.8850
20.600000	78.099	-89.1437
20.900000	78.226	-89.7035
21.200001	78.360	-90.3581
21.400000	78.444	-90.8248
21.799999	78.600	-91.8055
22.000000	78.670	-92.3055
22.400000	78.798	-93.2981
22.700001	78.886	-94.0089
23.000000	78.969	-94.6604
23.299999	79.049	-95.2227
23.600000	79.129	-95.6738
24.000000	79.242	-96.0934
24.299999	79.337	-96.3083
24.700001	79.485	-96.5770
25.000000	79.609	-96.8830
25.400000	79.779	-97.5758
25.799999	79.934	-98.6682
26.200001	80.056	-100.0786
26.500000	80.121	-101.2086
26.900000	80.183	-102.6021
27.200001	80.223	-103.4295
27.600000	80.289	-104.1469
28.000000	80.388	-104.4531
28.500000	80.562	-104.5051
29.000000	80.761	-104.5865
29.500000	80.938	-104.9896
30.000000	81.059	-105.7864
30.400000	81.114	-106.6224
30.700001	81.140	-107.2988
31.100000	81.171	-108.1884
31.500000	81.214	-109.0172
32.000000	81.302	-109.9481
32.500000	81.420	-110.7756
33.000000	81.545	-111.5032
33.500000	81.659	-112.1196
34.000000	81.758	-112.6445
34.500000	81.849	-113.1552
35.000000	81.939	-113.7460
35.500000	82.030	-114.4735
36.000000	82.120	-115.3164
36.500000	82.206	-116.1988
37.000000	82.288	-117.0324
37.500000	82.366	-117.7670
38.200001	82.472	-118.6381
38.700001	82.546	-119.2035
39.500000	82.657	-120.1291
40.000000	82.720	-120.7549
40.599998	82.790	-121.5645
41.200001	82.851	-122.4182
41.799999	82.899	-123.2572
42.500000	82.949	-124.1411
43.099998	82.998	-124.8277
43.700001	83.053	-125.5116
44.400002	83.116	-126.3340
45.000000	83.166	-127.0328
